"Hs_symbol","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Hs_Avg_TPM","FoldChange"
"A1BG","A1bg",0,0,0,0,0,0,0,12.383067,11.034331,14.333404,126,71,81,21.339172,0.0447644165146318
"A1CF","A1cf",0,0,0,0,0,0,0,0,0.018194,0.01632,0,2,2,25.9035856666667,0.0371697666024865
"A2M","A2m",9.174995,13.394599,8.530091,939,2038,276,10.3665616666667,93.505878,154.962182,63.431646,2246,2504,1541,2.80286666666667,2.9889456199709
"A3GALT2","A3galt2",0.056162,0.071851,0.07206,3,8,1,0.066691,0.251325,0.112836,0.205214,3,1,2,31.34975,0.0329737014969204
"A4GALT","A4galt",5.98487,2.435029,3.312794,65,77,18,3.91089766666667,1.677651,1.425484,2.068745,11,6,11,15.4402076666667,0.298712629805994
"A4GNT","A4gnt",0,0,0,0,0,0,0,0.079778,0.049504,0.045031,2,1,1,13.7070106666667,0.0679947830776034
"AAAS","Aaas",26.517031,23.542026,30.96651,193,273,81,27.0085223333333,22.626138,22.03279,25.95966,485,382,454,4.99417633333333,4.67262235473108
"AACS","Aacs",92.666198,156.723171,157.539085,567,1030,238,135.642818,20.326116,20.425959,26.161884,720,608,707,18.556026,6.98724873857296
"AADAC","Aadac",0,0,0,0,0,0,0,0,0,0,0,0,0,6.87484866666667,0.126986567276256
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0,0,0,0,0,0,10.766603,0.0849862955349135
"AADAT","Aadat",0.102189,0.086571,0.345332,4,4,3,0.178030666666667,11.191628,12.930531,10.028336,298,198,233,23.18006,0.0487190960926758
"AAGAB","Aagab",17.426509,15.6387,13.707991,736,985,210,15.5910666666667,19.083715,24.987378,20.768264,460,421,405,37.2516393333333,0.433734787732583
"AAK1","Aak1",69.489029,46.415298,28.507961,7387,8738,1634,48.1374293333333,8.82358,11.990978,8.52265,1360,1207,1223,21.7024766666667,2.16440831785901
"AAMDC","Aamdc",38.24271,41.233439,42.468014,297,480,107,40.6480543333333,11.840577,16.196803,14.120167,61,65,52,175.753678,0.235627653153183
"AANAT","Aanat",4.817009,2.713429,1.020571,21,20,6,2.85033633333333,0.527125,0,0.383865,5,0,3,0.146671333333333,3.35783778786947
"AAR2","Aar2",11.180055,9.270863,11.847764,628,826,234,10.7662273333333,9.802296,9.159607,9.720694,356,271,317,1.12813166666667,5.52890007588816
"AARD","Aard",8.095531,6.271673,6.228319,196,227,47,6.86517433333333,0.430968,0.085659,1.087127,14,2,11,4.09296266666667,1.54432200825086
"AARS2","Aars2",9.453422,6.039625,6.693012,476,556,153,7.395353,5.386935,4.813326,4.864937,386,295,304,55.302048,0.149112746307204
"AARSD1","Aarsd1",20.364092,16.374867,24.548975,536,628,183,20.4293113333333,74.878567,67.118873,80.955658,446,311,417,10.9592553333333,1.79186000599926
"AASDH","Aasdh",10.338272,7.965028,6.807299,253,277,58,8.37019966666667,5.458335,2.72435,3.019545,133,107,128,1.503734,3.74249008347798
"AASDHPPT","Aasdhppt",7.37912,6.932505,6.263653,392,582,102,6.858426,49.305585,36.802533,43.42734,1280,906,1184,323.327237666667,0.0242299291805909
"AASS","Aass",0.727559,1.359941,0.620717,39,83,12,0.902739,9.710755,9.041474,7.927698,771,591,561,7.66031,0.219707955027014
"AATF","Aatf",5.791477,4.306441,4.535828,176,197,48,4.87791533333333,15.593698,15.462792,19.291505,279,197,205,19.5606413333333,0.285881906018366
"AATK","Aatk",118.038677,125.518116,98.177824,7807,12349,2727,113.911539,5.175648,2.801113,2.12947,197,66,153,13.7411343333333,7.79529827227452
"ABAT","Abat",168.964922,122.107798,135.354847,10783,12924,3096,142.142522333333,19.311736,14.714566,12.931931,1137,753,789,0.501137666666667,95.3560259740779
"ABCA1","Abca1",6.043864,5.208708,5.365657,945,1230,203,5.53940966666667,13.944394,12.167811,12.461129,2286,1610,1812,15.6002666666667,0.393934013108223
"ABCA13","Abca13",0.047409,0.010958,0,7,6,0,0.0194556666666667,0.064986,0.353211,0.084842,4,8,5,4.59273066666667,0.182282274514441
"ABCA17P","Abca17",0.181091,0.162112,0.027633,10,16,1,0.123612,1.321805,0.403783,0.722064,13,4,7,0.592088666666667,0.705747125474168
"ABCA2","Abca2",187.735036,204.759133,180.525361,10708,19126,3021,191.00651,50.768809,33.180849,36.909447,1020,646,751,53.3607073333333,3.53208262767148
"ABCA3","Abca3",14.947317,12.397739,14.833255,1948,2418,589,14.059437,21.599438,17.726576,24.450837,1930,1121,1708,14.5759906666667,0.966836544928592
"ABCA4","Abca4",0.320539,0.548091,0.211687,20,22,5,0.360105666666667,1.22204,0.556301,1.285668,23,10,13,25.8367566666667,0.0506807019775241
"ABCA5","Abca5",10.426741,9.657139,7.69426,1834,2418,419,9.25938,6.679427,7.075997,6.759744,323,230,276,208.214448333333,0.0490376266157972
"ABCA6","Abca6",1.102142,1.064141,0.65707,128,183,24,0.941117666666667,1.179883,0.523131,0.304506,17,18,12,94.9927196666667,0.0202215092291079
"ABCA7","Abca7",6.531162,5.344626,6.635365,985,1230,314,6.17038433333333,24.152072,12.964013,24.639795,710,377,537,0.0279926666666667,6.97513179406598
"ABCA8","Abca8b",2.986576,2.668696,2.137732,492,660,110,2.597668,8.680828,3.745783,8.184944,258,141,202,92.3266466666667,0.0385492046323033
