"Hs_symbol","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Hs_Avg_TPM","FoldChange"
"CCDC34","Ccdc34",5.382715,4.961779,3.626793,141,219,23,4.65709566666667,6.522879,3.535356,6.757838,126,57,80,187.921732666667,0.0299441233510601
"CCDC38","Ccdc38",0.109228,0.28491,0.175254,8,18,4,0.189797333333333,0.460612,0.393368,0.736384,11,13,13,15.0986466666667,0.0739066679310932
"CCDC39","Ccdc39",5.575928,3.318946,5.268924,214,260,50,4.721266,6.250056,6.149101,3.827515,134,83,80,0.991136,2.87336776593864
"CCDC40","Ccdc40",2.239035,2.332615,1.834473,58,81,17,2.13537433333333,13.798501,16.900769,14.273402,197,149,145,0,3.13537433333333
"CCDC42","Ccdc42",0.054393,0,0,1,0,0,0.018131,0,0,0,0,0,0,25.664439,0.0381831022209018
"CCDC43","Ccdc43",15.818934,8.747247,6.891779,250,353,58,10.4859866666667,12.87122,12.160281,13.947227,444,311,315,11.1117306666667,0.948335707156852
"CCDC47","Ccdc47",69.443348,51.71168,56.439781,2479,3156,684,59.1982696666667,27.833271,28.592399,31.404177,1157,839,900,74.4783416666667,0.797556866478585
"CCDC50","Ccdc50",9.995998,7.559202,6.452337,1277,1573,286,8.00251233333333,17.834097,18.440735,17.732754,2171,1771,1637,86.856248,0.102468663735029
"CCDC51","Ccdc51",2.856491,2.51518,3.277982,85,113,31,2.88321766666667,7.235962,9.212163,9.596057,169,143,139,48.187478,0.0789472813927697
"CCDC54","Ccdc54",0,0,0,0,0,0,0,0.909093,0,0,17,0,0,3.62052166666667,0.216425778763076
"CCDC57","Ccdc57",2.549161,1.361803,1.606275,89,115,24,1.83907966666667,62.698739,49.210571,92.277468,646,419,383,7.15378166666667,0.348191769504089
"CCDC59","Ccdc59",11.902017,9.52649,8.195817,365,517,95,9.87477466666667,17.204564,8.605038,15.312559,160,72,101,27.5679783333333,0.380663081572626
"CCDC6","Ccdc6",10.604204,9.336648,9.524392,1172,1492,326,9.821748,10.603751,12.326473,12.160169,1114,980,879,3.71573133333333,2.29481860501807
"CCDC60","Ccdc60",0.303024,0.228599,0.166286,22,22,4,0.232636333333333,0.255706,0,0.378232,1,0,1,58.312651,0.0207820138292813
