"Hs_symbol","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Hs_Avg_TPM","FoldChange"
"EML5","Eml5",13.33698,16.409158,14.851205,1254,278,537,14.865781,2.017136,1.489203,1.996063,81,101,99,6.66533733333333,2.06980858246204
"EML6","Eml6",7.754613,5.960382,6.436062,922,208,394,6.717019,13.007885,12.883856,13.378404,193,238,131,239.557816666667,0.0320796850708586
"EMP1","Emp1",3.663264,3.232943,3.175379,353,87,135,3.35719533333333,0.847197,1.769646,4.486692,3,19,46,3.607705,0.945632442470456
"EMP2","Emp2",13.517344,12.137821,13.140857,1942,425,738,12.9320073333333,0.553229,0.592206,1.132357,34,40,49,0.923714,7.2422446025414
"EMP3","Emp3",64.579295,51.160395,52.366674,625,131,186,56.0354546666667,16.64868,22.4079,38.543682,19,19,21,4.63147266666667,10.127982153632
"EMSY","Emsy",11.702132,9.454817,9.698539,1269,272,447,10.2851626666667,13.013318,10.027329,11.319968,268,275,229,0,11.2851626666667
"EMX1","Emx1",0,0,0,0,0,0,0,0.106447,0.092337,0,2,1,0,9.64845666666667,0.093910322528742
"EMX2","Emx2",0,0,0,0,0,0,0,0.527815,0.29194,0.17814,10,6,4,0.277662333333333,0.782679409035303
"EN1","En1",0.011061,0,0,1,0,0,0.003687,0,0,0.288649,0,0,5,14.8679176666667,0.0632525969118443
"EN2","En2",0.016364,0,0,2,0,0,0.00545466666666667,0.075494,0.134623,1.114795,3,6,31,0,1.00545466666667
"ENAH","Enah",51.994779,57.171937,60.939879,8756,2239,3698,56.7021983333333,25.978409,24.648762,34.998969,2660,2775,2356,40.951548,1.37544860879349
"ENAM","Enam",0,0,0.014726,0,0,1,0.00490866666666667,0,0.048219,0,0,4,0,1.648568,0.379415845342338
"ENC1","Enc1",1.88651,1.901944,1.82792,372,91,143,1.87212466666667,21.301377,47.059077,61.54959,1268,2864,2680,0.0425626666666667,2.75487005097695
"ENDOD1","Endod1",122.963959,107.231287,129.262298,19122,4371,7740,119.819181333333,24.013843,27.888948,19.16426,1473,1861,834,0.180445,102.350538426893
"ENDOG","Endog",8.527803,8.006004,6.293124,254,56,86,7.608977,15.302961,16.844562,17.115353,138,182,103,26.5633516666667,0.31233418577361
"ENDOU","Endou",0.230582,0.29726,0.342198,19,4,13,0.290013333333333,0.033821,0.062051,0,1,2,0,0.146168333333333,1.12550076268611
"ENDOV","Endov",6.42661,5.427001,6.586272,942,215,369,6.14662766666667,26.884558,28.963972,31.202673,259,313,223,1.21392466666667,3.22803561217229
"ENG","Eng",4.62788,9.950101,6.874482,462,107,214,7.150821,0.349086,1.530968,0.85394,10,31,22,12.4205563333333,0.607338533333032
"ENGASE","Engase",5.209769,5.829348,5.995137,404,105,138,5.67808466666667,19.153385,27.755241,54.023002,289,330,270,40.6689516666667,0.160265243054071
"ENHO","Enho",21.147559,18.272567,16.850156,778,160,270,18.7567606666667,21.039958,27.097152,33.584236,222,322,250,50.3161656666667,0.385000718779346
"ENKD1","Enkd1",1.190646,1.045586,1.105387,68,13,28,1.113873,13.286595,17.033512,27.918754,37,64,34,5.94923633333333,0.304187812675244
"ENKUR","Enkur",0.458698,0.302432,0.491416,19,2,8,0.417515333333333,0.338299,0.253407,0.334832,5,5,5,0.0490016666666667,1.35129941007402
"ENO1","Eno1",811.248837,970.472838,759.327119,20377,4750,7180,847.016264666667,291.956801,303.160348,257.231713,4579,5079,2814,0.230052333333333,689.414784790999
"ENO2","Eno2",490.315057,512.477201,470.355882,22980,5923,8732,491.04938,585.825481,680.609832,710.619816,9408,11433,7665,28.029537,16.9499561773927
"ENO3","Eno3",13.131741,13.826225,24.959357,263,61,203,17.3057743333333,4.430383,4.168303,4.31521,29,31,19,81.970462,0.220630015695626
"ENO4","Eno4",0.374612,0.235714,0.441837,34,6,10,0.350721,0.500635,0.306469,0.341913,13,10,9,8.25486533333333,0.145947126333119
"ENOPH1","Enoph1",14.92387,13.631436,15.121171,1013,234,394,14.5588256666667,29.988982,32.501409,32.570291,626,745,506,10.7748586666667,1.32135986572068
"ENOX1","Enox1",18.331977,18.610739,17.411,1963,498,798,18.1179053333333,11.86867,11.817424,17.979652,310,303,304,10.2661466666667,1.69693382298118
"ENOX2","Enox2",6.930699,6.549409,5.822455,737,158,226,6.43418766666667,8.151297,4.951287,4.35816,205,148,88,16.3127043333333,0.429406493840082
"ENPEP","Enpep",1.32606,1.616253,1.192413,119,47,70,1.378242,0.33079,0.392627,0.299467,3,3,3,41.4965506666667,0.0559631773094808
"ENPP1","Enpp1",2.649675,3.031498,4.564577,643,180,280,3.41525,0.522414,0.446406,0.751581,25,41,43,0,4.41525
"ENPP2","Enpp2",6.532158,6.755053,7.249369,795,201,345,6.84552666666667,4.481892,4.880236,10.30327,135,188,187,0.173216333333333,6.68719522884242
"ENPP3","Enpp3",0.186958,0.207956,0.386275,32,5,16,0.260396333333333,0.068575,0.217462,0,3,3,0,0.431963666666667,0.880187369744717
"ENPP4","Enpp4",9.398368,7.985002,8.614843,1726,361,621,8.666071,4.475453,4.632941,5.180777,267,292,222,0,9.666071
"ENPP5","Enpp5",47.82959,46.327013,48.719688,5514,1307,2201,47.6254303333333,1.770119,1.821725,0.940872,48,65,22,64.1426146666667,0.746445787940023
"ENPP6","Enpp6",0.078098,0.038873,0.245375,13,2,7,0.120782,0.117088,0.306796,0.252442,6,3,9,0.01665,1.10242659715733
"ENPP7","Enpp7",0,0,0,0,0,0,0,0,0,0,0,0,0,1.098779,0.476467508012992
"ENSA","Ensa",51.363134,52.3578,48.548579,7803,1930,2961,50.7565043333333,113.890158,99.924667,117.623888,1474,1566,1079,0.117053333333333,46.3330646701441
"ENTPD1","Entpd1",11.950885,14.979429,22.793434,470,102,199,16.5745826666667,3.485078,3.461232,4.426208,373,412,281,0,17.5745826666667
"ENTPD2","Entpd2",8.353709,11.265372,10.143747,573,158,254,9.92094266666667,0.11513,0.10333,0.323522,2,1,2,3.79867266666667,2.27582571791727
"ENTPD4","Entpd4",62.766771,62.298305,62.470338,6837,1635,2732,62.5118046666667,46.364173,64.248261,56.569648,2015,2126,1401,1.17258433333333,29.2332977331298
"ENTPD5","Entpd5",16.754639,22.583113,15.362352,2034,458,782,18.233368,4.77795,4.963821,5.165804,241,291,183,52.7842553333333,0.357602199394586
"ENTPD7","Entpd7",2.357088,2.455802,2.418934,487,96,196,2.410608,3.764727,3.224106,5.10589,383,408,323,0.0212596666666667,3.33960902532461
"ENTPD8","Entpd8",0,0,0,0,0,0,0,0.169644,0.152557,0.043491,3,3,1,0.639313666666667,0.610011384845812
"ENTR1","Entr1",40.051618,41.341248,47.537066,1774,452,734,42.976644,31.146452,32.18058,28.522107,256,252,190,77.9517306666667,0.557006713198839
"ENY2","Eny2",35.996969,39.842018,39.60263,1280,322,557,38.480539,46.974684,52.149773,46.97406,496,560,404,1.57295666666667,15.3444243781797
"EOGT","Eogt",10.756324,7.340801,13.210086,898,203,371,10.435737,4.753978,5.119421,5.151004,115,130,89,69.4306086666667,0.162368850936997
"EOMES","Eomes",0,0,0,0,0,0,0,0.128301,0.070486,0.217891,5,2,5,0,1
"EP300","Ep300",11.237275,11.900096,13.538312,1559,342,627,12.2252276666667,35.345261,29.94395,38.352837,1005,1040,791,4.71322566666667,2.31484426456811
"EP400","Ep400",14.502259,12.484847,10.6317,2167,527,835,12.539602,13.619971,11.868545,14.325126,1103,1207,843,15.4418376666667,0.823484714695213
"EPAS1","Epas1",51.526111,63.647162,44.191391,4562,967,1730,53.1215546666667,2.469114,4.704828,1.906782,34,111,18,56.2533723333333,0.945298983465411
"EPB41","Epb41",30.771257,30.287887,39.349145,5446,1348,2508,33.4694296666667,84.841629,70.492406,121.558038,1171,1303,993,0.342652,25.6726461262238
"EPB41L1","Epb41l1",65.759561,58.559168,70.137658,13376,2993,5174,64.8187956666667,347.315941,457.38543,419.791383,6624,7964,5197,0,65.8187956666667
"EPB41L2","Epb41l2",30.091877,37.022646,39.293425,2789,736,1224,35.469316,16.64385,14.006758,14.84112,221,227,119,5.81752766666667,5.34934624149918
"EPB41L3","Epb41l3",394.565487,374.645088,393.133992,37795,9001,15300,387.448189,176.124474,203.827197,172.415126,4143,4706,3011,18.40629,20.0166126034394
"EPB41L4A","Epb41l4a",4.568822,4.059324,5.041141,327,79,133,4.556429,31.180146,26.144462,37.090159,234,205,269,17.83814,0.29495634919371
"EPB41L4B","Epb41l4b",11.023875,11.986252,10.329003,1644,377,654,11.1130433333333,6.438955,6.911263,5.769737,453,524,288,5.25873333333333,1.93538255877121
"EPB41L5","Epb41l5",2.393137,2.01005,2.331672,435,125,172,2.244953,7.727651,5.174139,13.089967,587,471,491,19.8590696666667,0.155565567010187
"EPB42","Epb42",0.032748,0.135008,0.252411,2,3,8,0.140055666666667,0,0,0,0,0,0,0.134521666666667,1.00487782663178
"EPC1","Epc1",5.964392,5.926819,7.589297,750,178,355,6.49350266666667,18.556674,18.773128,23.38629,693,679,566,47.7824793333333,0.15361053331183
"EPC2","Epc2",8.457112,8.70445,9.241738,915,215,340,8.8011,10.562628,11.344558,9.546101,385,505,323,1.006934,4.88361849467895
"EPCAM","Epcam",0.030347,0.123853,0,2,2,0,0.0514,7.269221,10.232979,6.152085,87,132,46,0.402242,0.749799250058121
"EPDR1","Epdr1",166.57893,177.421972,162.135957,11198,2613,4331,168.712286333333,11.471381,15.201114,11.008442,240,410,169,10.5037846666667,14.7527349694828
"EPG5","Epg5",5.326198,4.160528,5.403436,2085,429,810,4.96338733333333,5.727724,6.30043,5.391244,432,462,336,9.60055766666667,0.56255411468447
"EPGN","Epgn",0.030368,0,0,2,0,0,0.0101226666666667,0.142354,4.979529,0,3,11,0,58.0203033333333,0.0171148335338387
"EPHA1","Epha1",0.015704,0,0.150807,2,0,5,0.0555036666666667,1.230378,1.533709,2.179898,7,11,10,7.84834933333333,0.119288200194628
"EPHA10","Epha10",1.573666,1.317923,1.618765,213,54,79,1.50345133333333,15.508257,23.864894,32.873664,561,634,461,0.0437686666666667,2.39847335265222
"EPHA2","Epha2",0.663506,1.446697,1.924912,80,21,65,1.34503833333333,0.741787,2.414998,3.071494,24,59,33,13.579682,0.160842899957169
"EPHA3","Epha3",0.274409,0.315188,0.301038,63,17,24,0.296878333333333,9.516318,7.151527,9.10203,716,580,492,0.257212,1.03155102984487
"EPHA4","Epha4",1.307887,0.992568,1.423894,269,58,94,1.24144966666667,41.083453,21.142374,46.454541,1159,759,740,2.12485766666667,0.717296563800826
"EPHA5","Epha5",3.182422,2.362309,3.28332,758,144,315,2.94268366666667,9.998824,11.017973,17.357773,859,1001,1050,11.0428496666667,0.327387933570208
"EPHA6","Epha6",3.943628,2.814407,3.582188,535,102,196,3.446741,5.395813,4.135256,7.040565,140,153,138,0.712252666666667,2.59701216214585
"EPHA7","Epha7",1.458452,0.777325,1.315488,166,37,77,1.183755,2.622816,2.534792,2.032304,220,233,129,0.559807,1.40001615584492
"EPHA8","Epha8",0.465531,0.302938,0.28105,95,15,23,0.349839666666667,8.099504,7.022227,8.232756,250,229,194,0,1.34983966666667
"EPHB1","Ephb1",1.053363,1.097926,1.018848,143,36,62,1.05671233333333,12.429354,10.67258,18.50452,718,689,741,2.22399966666667,0.637938134608988
"EPHB2","Ephb2",1.44983,1.349021,1.031847,191,52,71,1.27689933333333,13.604635,12.494804,17.209385,1295,1440,1303,1.530543,0.899767098734672
"EPHB3","Ephb3",1.741455,2.250345,2.453147,263,51,102,2.14831566666667,1.472515,1.520598,2.952418,53,73,61,35.7601646666667,0.0856447650660687
"EPHB4","Ephb4",1.660507,1.756414,1.75746,284,72,120,1.72479366666667,0.600956,1.140722,2.58268,8,17,39,38.065573,0.0697492307783804
"EPHB6","Ephb6",21.044694,24.011174,23.895243,1422,377,504,22.9837036666667,13.358324,14.597972,10.84711,350,443,191,5.39612233333333,3.74972560197541
"EPHX1","Ephx1",77.786946,81.163262,71.110285,3136,702,1077,76.686831,24.492245,22.80368,23.943607,435,451,277,62.2246983333333,1.22874182159667
"EPHX2","Ephx2",1.947064,2.933998,2.206528,155,57,69,2.36253,6.695904,9.579348,12.198776,88,130,84,4.86045866666667,0.573765671128358
"EPHX3","Ephx3",0.146867,0.134356,0.209845,13,2,8,0.163689333333333,0.239467,0.299822,0.544435,5,7,8,9.82515766666667,0.107498603638506
"EPHX4","Ephx4",9.697615,10.970197,9.610785,325,61,128,10.0928656666667,1.138897,1.453816,0.776498,18,25,9,24.7675476666667,0.430497531630322
"EPM2A","Epm2a",10.553531,11.523292,11.627805,1319,364,576,11.234876,12.308211,4.73914,5.499363,180,161,120,36.2857133333333,0.328138445163179
"EPM2AIP1","Epm2aip1",29.001762,28.665893,38.66157,8133,2015,3444,32.1097416666667,21.371143,23.354648,28.950605,1360,1408,1098,8.35145833333334,3.54059660926326
"EPN1","Epn1",92.736742,98.935068,106.638977,4544,960,1744,99.436929,61.624922,75.0463,75.183143,903,1382,879,4.41892166666667,18.5344862277335
"EPN2","Epn2",28.666835,29.975628,28.097939,3053,747,1167,28.9134673333333,27.36384,26.947168,30.590271,662,671,551,5.42760666666667,4.6539044600323
"EPN3","Epn3",15.567013,17.513382,19.646599,1744,407,672,17.5756646666667,0,0.41063,0.070434,0,5,1,0,18.5756646666667
"EPO","Epo",0,0.207175,0,0,1,0,0.0690583333333333,0.058473,0.101772,0.084768,1,2,1,0,1.06905833333333
"EPOP","Epop",0.292999,0.268514,0.244792,19,4,8,0.268768333333333,0.269772,0.203735,0.486983,9,8,11,35.7256653333333,0.034547184423144
"EPOR","Epor",0.1494,0.296543,0.108487,5,5,3,0.18481,4.516002,2.393024,1.891674,98,75,39,56.466785,0.020617300933052
"EPPIN","Wfdc6a",0.121749,0.380532,0.368881,3,2,4,0.290387333333333,0.143346,0.114284,0.17374,4,3,3,0.0536173333333333,1.22472105622155
"EPPK1","Eppk1",0.021733,0.009296,0.018509,12,1,4,0.0165126666666667,0.236923,0.851503,0.473825,42,181,57,14.6218986666667,0.0650697260529322
"EPS15","Eps15",229.717355,168.412458,212.222138,12037,2754,4734,203.450650333333,60.229236,66.677488,66.465154,2100,2662,1835,1.770513,73.7952322668522
"EPS15L1","Eps15l1",21.714973,20.561885,22.337042,2465,550,925,21.5379666666667,18.448769,23.302415,23.665275,495,633,442,0.0525843333333333,21.4120293765852
"EPS8","Eps8",3.553039,4.465848,3.602565,221,59,98,3.87381733333333,3.364899,4.69978,4.263304,80,105,79,146.055064333333,0.0331428050807263
"EPS8L1","Eps8l1",21.20217,22.159626,30.373599,325,58,79,24.578465,41.76377,39.638828,57.459878,157,175,136,0,25.578465
"EPS8L2","Eps8l2",1.494096,2.125353,1.284176,114,29,51,1.63454166666667,18.369372,25.640767,22.181917,108,149,56,1.37963133333333,1.10712177544589
"EPS8L3","Eps8l3",0.010906,0.045524,0.439492,1,1,1,0.165307333333333,0.037135,0,0.970589,1,0,1,0,1.16530733333333
"EPSTI1","Epsti1",0.279602,0.226739,0.28508,20,4,8,0.263807,0.2824,0.309193,0.321903,1,6,3,9.61967333333333,0.119006202952884
"EPX","Epx",0.026885,0.03705,0.137243,3,1,1,0.0670593333333333,0.368385,0.566321,0.518008,13,22,13,0.0922013333333333,0.976980434620723
"EPYC","Epyc",1.210972,1.805672,1.907282,75,28,46,1.64130866666667,0,0.055041,0,0,1,0,22.5516066666667,0.112149829268548
"EQTN","Eqtn",0.19942,0.447148,0.210702,8,4,3,0.285756666666667,0,0.483089,0.156829,0,1,1,12.2700273333333,0.0968917873618045
"ERAL1","Eral1",8.858293,8.612746,8.412467,668,149,265,8.62783533333333,27.668848,40.044415,45.765732,413,486,333,85.2114346666667,0.111677010950566
"ERAP1","Erap1",14.52675,9.829032,14.547031,629,155,246,12.9676043333333,8.998012,13.913075,17.591659,274,377,431,1.72812366666667,5.11985746980434
"ERAS","Eras",0.053085,0.109417,0,2,1,0,0.0541673333333333,0.209026,0.443599,0.979818,3,6,10,1.95292666666667,0.35699069172053
"ERBB2","Erbb2",3.162061,3.27514,1.616774,402,76,130,2.68465833333333,2.588962,2.874371,5.345254,65,109,103,49.3277806666667,0.0732132091764136
"ERBB3","Erbb3",10.13555,10.560567,11.050573,2632,668,1119,10.58223,5.958621,4.339028,2.184874,60,40,28,25.192225,0.442201073028351
"ERBB4","Erbb4",0.089379,0.186765,0.130299,44,15,26,0.135481,0.0435,0.040614,0.795458,7,7,19,54.166493,0.0205828019555276
"ERBIN","Erbin",5.536262,6.122007,5.731866,1361,368,565,5.79671166666667,13.703345,13.058829,17.933326,294,268,301,3.547804,1.49450408739397
"ERC1","Erc1",12.185896,10.274045,11.41952,3405,716,1269,11.2931536666667,59.141056,57.460117,57.556413,2961,3127,2309,14.1743906666667,0.810125028194433
"ERC2","Erc2",24.832987,25.368677,27.494368,4468,997,1688,25.8986773333333,22.037343,22.969787,25.583102,939,891,712,32.5635476666667,0.801425332044011
"ERCC1","Ercc1",36.111714,33.528625,35.863403,448,113,178,35.167914,42.266484,45.829278,52.246978,399,417,379,705.022972333333,0.0512276730606495
"ERCC2","Ercc2",34.092395,33.582724,33.702107,801,174,302,33.7924086666667,20.530165,22.367588,19.149841,556,645,476,2.77386666666667,9.21929992227247
"ERCC3","Ercc3",17.701994,15.907188,19.628549,1659,372,657,17.7459103333333,39.494748,44.80317,41.310313,663,743,499,0.580708666666667,11.8591810930372
"ERCC4","Ercc4",5.113635,5.428203,5.501692,727,177,299,5.34784333333333,7.38253,6.303088,6.957561,189,218,144,1.55956833333333,2.480044486668
"ERCC5","Ercc5",7.394202,9.080169,6.407424,922,231,375,7.627265,17.236005,23.542068,26.266692,608,644,466,0.952362666666667,4.41888443540544
"ERCC6","Ercc6",3.898562,2.575876,3.959829,686,154,309,3.478089,7.455619,7.925535,10.126372,272,263,231,7.73398033333333,0.51272029808784
"ERCC6L","Ercc6l",0.168606,0.136727,0.146775,37,7,13,0.150702666666667,0.140435,0.097547,0.123775,8,6,5,37.570648,0.0298336358431589
"ERCC6L2","Ercc6l2",7.980964,9.640494,9.654167,972,222,433,9.091875,6.423272,7.159118,10.678028,304,318,284,0.083899,9.31071529727401
"ERCC8","Ercc8",3.608406,4.61323,3.152718,202,48,74,3.79145133333333,10.251354,8.903586,11.538175,211,225,240,0.34402,3.56501490553216
"EREG","Ereg",0,0,0,0,0,0,0,0.39141,0.751675,0.562665,16,31,9,200.297387666667,0.00496777435411097
"ERF","Erf",7.561648,5.933624,8.827037,746,153,317,7.44076966666667,93.839582,56.12044,96.331122,257,245,186,387.616121,0.0217200708116447
"ERFE","Erfe",0.048068,0,0.246409,2,0,3,0.098159,1.201689,0.614103,0.272669,9,4,2,217.998417,0.00501446090361466
"ERG","Erg",0.862556,0.996806,0.757859,88,24,36,0.872407,0,0,0,0,0,0,33.5278383333333,0.0542289089147052
"ERG28","Erg28",27.422529,35.722448,28.724023,742,202,286,30.623,19.313524,15.185821,14.39339,566,484,299,17.798234,1.68223249056268
"ERGIC1","Ergic1",37.07823,29.27816,32.530942,2666,567,1027,32.962444,55.148896,54.14933,55.946213,1697,1718,1151,2.85837733333333,8.80226091590143
"ERGIC2","Ergic2",69.430693,73.86513,76.496855,1759,472,795,73.264226,79.039278,71.501603,91.130022,377,374,286,63.143122,1.15778938854894
"ERGIC3","Ergic3",125.140765,109.278535,113.976381,2196,481,779,116.131893666667,107.431525,93.390146,135.276206,787,919,714,0.149148333333333,101.929307356608
"ERH","Erh",14.71174,24.700252,18.642385,358,96,155,19.351459,277.434793,320.396097,120.399174,568,594,399,3.256853,4.78086957665675
"ERI1","Eri1",3.341645,2.448161,4.696133,433,84,178,3.495313,2.647008,2.559778,2.171849,104,102,63,0,4.495313
"ERI2","Eri2",1.948652,2.056759,2.290275,240,53,97,2.098562,3.459862,4.952619,7.597677,66,87,66,0,3.098562
"ERI3","Eri3",534.634634,469.373351,490.369867,2815,649,1060,498.125950666667,79.838341,82.001931,84.488066,667,729,536,1.530545,197.240495887908
"ERICH4","Erich4",0.033205,0,0.170205,1,0,2,0.0678033333333333,0,0,0,0,0,0,11.10065,0.0882434690147499
"ERICH5","Erich5",0,0.04295,0.081057,0,1,3,0.0413356666666667,4.095865,5.572763,6.925855,49,88,70,114.233310333333,0.00903675910771298
"ERICH6","Erich6",0.844296,0.898095,1.26803,73,19,43,1.00347366666667,0.308296,0.066384,0.101224,1,1,1,0,2.00347366666667
"ERLEC1","Erlec1",32.178837,25.346695,34.738069,1522,340,665,30.7545336666667,19.52519,23.971451,20.443768,599,773,430,36.3242216666667,0.850775508468964
"ERLIN1","Erlin1",12.218234,52.559078,27.758372,760,198,284,30.845228,3.804322,3.273674,2.879722,139,152,93,72.836633,0.431293068306622
"ERLIN2","Erlin2",28.259168,26.267864,25.486615,1334,344,535,26.6712156666667,8.473695,11.010628,12.14875,395,440,304,0,27.6712156666667
"ERMAP","Ermap",0.122705,0.954423,0.158225,17,12,7,0.411784333333333,3.132883,3.050107,4.140145,88,125,106,27.842663,0.0489477803534761
"ERMN","Ermn",0.105389,0.220615,0.310103,15,8,18,0.212035666666667,0.243763,0.019154,0.682594,2,1,2,3.17230633333333,0.290495368708546
"ERMP1","Ermp1",39.026646,36.736591,42.052166,6545,1521,2741,39.271801,2.990911,3.897713,4.325945,200,288,205,6.44550433333333,5.40887483198474
"ERN1","Ern1",1.924786,1.286314,2.053076,548,89,231,1.75472533333333,2.904826,3.290028,7.692286,120,146,96,0.819551666666667,1.51395829192356
"ERN2","Ern2",0.123552,0.102218,0.12729,15,3,6,0.117686666666667,0.140095,0.751404,0.201462,5,10,1,12.2697903333333,0.0842279070422891
"ERP27","Erp27",0,0,0,0,0,0,0,1.560168,2.877064,0.269386,4,34,3,21.8987393333333,0.0436705263745378
"ERP29","Erp29",59.862643,54.970019,57.147043,2122,469,787,57.3265683333333,105.360485,141.342337,83.913487,1086,1328,679,0,58.3265683333333
"ERP44","Erp44",22.059198,25.023668,21.593723,1062,266,433,22.8921963333333,8.059929,8.759078,9.262658,519,605,425,17.440783,1.29561723780022
"ERRFI1","Errfi1",8.325956,8.349609,9.123196,1024,242,445,8.599587,11.388698,12.17103,14.443784,411,457,351,1.06587966666667,4.64673095674014
"ESAM","Esam",78.401546,33.318948,46.381494,486,101,185,52.7006626666667,0.611425,0.392402,0.615948,10,10,8,0,53.7006626666667
"ESCO1","Esco1",5.723387,5.611267,7.730181,728,184,307,6.354945,12.013594,9.648299,13.218369,207,211,178,0.95312,3.76574148029819
"ESCO2","Esco2",0.260972,0.134254,0.365169,18,5,10,0.253465,0.031855,0.146316,0.573413,1,4,4,0,1.253465
"ESD","Esd",129.933781,116.198144,137.367545,2983,694,1225,127.833156666667,63.886608,63.471208,81.765789,807,877,741,20.8607973333333,5.89334207267097
"ESF1","Esf1",8.974587,9.534345,9.190136,1082,281,464,9.23302266666667,3.461467,4.745072,5.207752,134,176,153,5.220437,1.64506491532133
"ESM1","Esm1",0.188921,0.050618,0.1292,15,1,4,0.122913,0.17836,0.179571,0,2,2,0,0,1.122913
"ESPL1","Espl1",0.722075,2.711884,3.266586,65,13,26,2.233515,0.036858,0.033572,0.458579,2,2,17,21.946669,0.140914352318413
"ESPN","Espn",0.730019,1.106526,0.720735,61,18,27,0.852426666666667,0.803276,0.220782,0.825588,7,5,3,0,1.85242666666667
"ESPNL","Espnl",0.095448,0.099432,0.142436,20,5,12,0.112438666666667,0.035726,0.138431,0.068623,2,8,2,0.089819,1.02075543431218
"ESR1","Esr1",3.173403,2.645206,2.456207,583,153,216,2.758272,0.337515,0.257267,0.258515,19,21,14,19.9277213333333,0.17958343099752
"ESR2","Esr2",0.154854,0.208491,0.173477,19,6,8,0.178940666666667,0.282399,1.190788,0.39773,15,11,9,4.06428333333333,0.232795163514416
"ESRP1","Esrp1",0.013347,0,0,2,0,0,0.004449,0.201219,0.49215,0.29683,1,4,4,10.9702483333333,0.0839121271363209
"ESRP2","Esrp2",0.094095,0.02833,0.060778,8,1,3,0.0610676666666667,0,0.069768,0.053873,0,3,1,45.8837816666667,0.0226318703173439
"ESRRA","Esrra",20.785902,19.419536,19.40799,1252,298,517,19.8711426666667,8.526671,10.897612,17.498846,136,163,122,0.523069666666667,13.7033407751757
"ESRRB","Esrrb",1.034263,0.821398,1.164831,185,35,82,1.00683066666667,1.27808,1.057847,0.881068,43,56,28,6.97538833333333,0.251627956256258
"ESRRG","Esrrg",8.399365,7.147431,8.320173,1465,360,611,7.95565633333333,5.314296,7.187076,7.295261,287,353,237,0.143181666666667,7.83397476924782
"ESS2","Ess2",6.997405,9.580594,8.782127,747,158,313,8.45337533333333,5.828072,7.694517,9.13034,256,356,281,28.368666,0.32188643955886
"ESYT1","Esyt1",70.583705,64.875559,67.968772,10937,2439,4077,67.8093453333333,75.228352,77.945164,81.410787,1861,2213,1451,8.62353133333333,7.15011391868141
"ESYT2","Esyt2",31.877282,28.986249,30.461956,3197,762,1343,30.441829,9.0993,9.967203,10.627723,645,783,548,124.297739,0.250936922333451
"ESYT3","Esyt3",2.728408,4.011405,2.158781,242,55,79,2.966198,1.882736,1.925916,1.301611,40,38,25,156.133688,0.0252409146026026
"ETAA1","Etaa1",2.922534,2.187719,3.006605,491,92,201,2.70561933333333,1.754028,1.578246,2.375969,111,110,101,0,3.70561933333333
"ETDC","Etd",0,0,0,0,0,0,0,0,0,0,0,0,0,125.233837,0.00792180625864997
"ETF1","Etf1",24.601842,27.221539,24.15374,3757,1027,1453,25.325707,46.523664,53.522624,62.14448,1285,1493,1023,0.008365,26.1073192742707
"ETFA","Etfa",87.151974,99.287384,92.935413,2652,636,1022,93.1249236666667,99.38346,109.340957,142.016398,571,708,534,0.069464,88.011306286763
"ETFB","Etfb",170.026794,138.598785,165.460694,1625,349,604,158.028757666667,37.181948,40.076834,49.509685,506,490,480,42.7556443333333,3.63447413675766
"ETFDH","Etfdh",18.993011,16.869227,20.40809,1713,383,734,18.756776,12.15438,14.12918,15.674137,154,181,127,23.7666916666667,0.797715587770268
"ETFRF1","Etfrf1",17.92426,17.010602,17.292771,855,195,325,17.409211,38.906084,13.493215,24.691121,149,155,105,0.025151,17.9575603984194
"ETHE1","Ethe1",6.954173,6.898191,5.803203,381,91,129,6.55185566666667,6.073303,9.560749,6.189401,59,83,42,78.782424,0.0946556307522903
"ETNK1","Etnk1",98.640619,97.385941,100.442335,26127,6383,10570,98.822965,14.474282,15.180068,17.091589,1286,1436,1102,2.131072,31.8814019607342
"ETNK2","Etnk2",0.756354,0.411351,1.046931,37,9,19,0.738212,60.407327,64.968925,64.595638,765,890,608,14.448423,0.112517115824703
"ETNPPL","Etnppl",0.635723,0.616714,1.308622,65,15,52,0.853686333333333,0.053643,0,0,1,0,0,61.813604,0.0295109055250728
"ETS1","Ets1",3.553933,3.22083,3.894272,647,152,251,3.556345,1.374606,2.794075,2.378392,24,64,36,2.45875566666667,1.31733647563233
"ETS2","Ets2",6.773849,6.881216,7.22531,757,162,281,6.960125,11.717465,12.013008,12.562792,471,463,331,27.992552,0.274557582926815
"ETV1","Etv1",33.108937,30.253988,33.102493,6447,1538,2580,32.1551393333333,9.483574,10.299062,15.755423,469,380,435,9.28362066666667,3.22407257210512
"ETV2","Etv2",0,0,0,0,0,0,0,1.759479,2.430281,1.546577,8,15,7,40.5399136666667,0.0240732325065577
"ETV3","Etv3",5.810686,5.765144,5.325605,1241,307,457,5.63381166666667,3.063142,3.188447,5.195424,215,236,238,631.644564666667,0.0104858431371523
