"Hs_symbol","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Hs_Avg_TPM","FoldChange"
"HEMGN","Hemgn",0.021727,0.044349,0.194461,2,1,7,0.0868456666666667,0.076385,0,0,2,0,0,0.770928666666667,0.613715101643469
"HEMK1","Hemk1",23.33913,10.555096,16.474476,247,59,89,16.7895673333333,2.823028,5.309711,3.943992,113,189,123,11.5747943333333,1.41470046044226
"HENMT1","Henmt1",0.037342,0,0.376233,2,0,3,0.137858333333333,7.727634,7.62343,9.789071,132,137,108,2.75126533333333,0.303326539773779
"HEPACAM","Hepacam",3.605199,4.947057,5.946359,492,136,252,4.83287166666667,0.0506,0.090692,0.072019,2,4,2,11.3251553333333,0.473249343226668
"HEPACAM2","Hepacam2",0.362216,0.637537,0.491075,35,11,23,0.496942666666667,0,0,0,0,0,0,12.784124,0.108599042395923
"HEPH","Heph",0.056792,0.042212,0.065857,11,2,5,0.0549536666666667,4.655219,6.008038,5.618607,200,280,178,15.469953,0.0640532287291085
"HEPHL1","Hephl1",0.026938,0.018401,0.011465,6,1,1,0.0189346666666667,0.114453,0.0471,0.107189,9,4,6,26.3661,0.0372334628122629
"HERC2","Herc2",50.202211,51.316049,52.158868,12068,3026,5182,51.2257093333333,94.300871,89.637727,88.664718,2727,2988,2119,17.4039666666667,2.83774200851628
"HERC4","Herc4",17.329906,20.167934,14.458279,1019,264,387,17.3187063333333,17.175691,15.902116,19.640181,717,745,596,68.62068,0.26312162324949
"HERC6","Herc6",3.620546,3.332031,2.377462,269,84,113,3.110013,1.601948,1.916791,2.431816,80,98,55,1.17051333333333,1.89356726672953
"HERPUD1","Herpud1",38.04244,39.366634,39.404067,1707,390,678,38.9377136666667,87.903413,90.676142,99.032853,590,670,414,0.107764333333333,36.0525361441197
"HERPUD2","Herpud2",7.72186,6.895717,7.825576,780,169,336,7.481051,6.096854,8.596307,7.900386,137,182,120,3.575482,1.85358635439938
"HES1","Hes1",4.796002,5.492566,2.881527,160,43,60,4.39003166666667,0.528067,0.934802,1.911623,9,17,22,34.0193603333333,0.153915765889537
"HES2","Hes2",0.054781,0.0398,0.049284,2,1,2,0.047955,0.811617,0.641549,0.2061,14,9,5,6.581916,0.138217701172105
"HES3","Hes3",0.622309,0.263309,0.414121,38,2,12,0.433246333333333,0,0.356252,0.331111,0,2,1,12.6423683333333,0.105058469197858
"HES5","Hes5",2.16699,1.572995,2.598656,63,8,20,2.11288033333333,0.080209,0.069137,0.348847,1,1,3,304.208903666667,0.0101991793028851
"HES6","Hes6",11.214951,9.826301,10.91276,540,115,225,10.6513373333333,12.455661,13.871561,11.363429,152,173,104,9.452306,1.11471452647228
"HES7","Hes7",0.034134,0.22104,0.037517,2,3,1,0.0975636666666667,0.866975,0.617322,1.497962,8,6,9,0.534542,0.715238596706162
"HESX1","Hesx1",0.025325,0,0,1,0,0,0.00844166666666667,0.293725,0.890209,0.928038,2,8,4,30.2406603333333,0.0322797807698922
"HEXA","Hexa",30.390832,27.837317,26.001163,2377,527,811,28.0764373333333,24.99931,27.511222,30.415037,460,529,356,0.750547,16.6099152626769
"HEXB","Hexb",53.927497,52.748841,48.062964,3539,864,1322,51.5797673333333,36.018235,39.663162,21.755451,297,307,163,0.973171,26.6473444690467
"HEXIM1","Hexim1",13.63995,12.006534,12.160411,1983,429,697,12.6022983333333,7.396699,6.84713,8.494156,351,354,287,23.9666853333333,0.54481795046989
"HEXIM2","Hexim2",2.181989,2.435992,3.133036,127,24,60,2.58367233333333,4.243997,4.815433,8.292476,29,56,45,0.514735666666667,2.36587307752486
"HEY1","Hey1",8.941283,8.935455,9.549324,748,156,298,9.14202066666667,8.295579,10.622408,9.44622,233,308,186,0.0195696666666667,9.94735425959122
"HEY2","Hey2",12.319706,10.888934,12.338059,1241,271,488,11.8488996666667,0,0.327221,0.089808,0,12,2,10.5225913333333,1.11510503974019
"HEYL","Heyl",3.33535,4.375472,1.997255,395,69,150,3.23602566666667,0.203487,0.571116,0.182557,11,34,7,2.43541933333333,1.23304471904352
"HFE","Hfe",3.377409,4.411788,5.324219,250,53,122,4.37113866666667,0.677239,0.347941,0.357457,8,11,5,7.34711733333333,0.643472285362228
"HFM1","Hfm1",1.745592,2.306784,1.903613,199,56,94,1.98532966666667,2.378673,3.469385,2.993669,65,69,50,1.85180233333333,1.04682208572894
"HGD","Hgd",0.021416,0,0.044952,1,0,1,0.0221226666666667,0.92071,0.233441,0.260779,3,1,1,30.9047876666667,0.0320366547286116
"HGF","Hgf",3.195122,3.630135,4.34905,367,88,189,3.724769,0,0,0.040541,0,0,1,1.267907,2.08331690849757
"HGFAC","Hgfac",0.077143,0.207163,0,5,1,0,0.0947686666666667,7.464932,5.561055,8.959333,119,103,97,2.06781933333333,0.356855651430147
"HGH1","Hgh1",3.013325,1.853965,2.50928,153,33,44,2.45885666666667,8.059897,14.440276,7.383413,136,196,116,65.0824573333333,0.0523415261212139
"HGS","Hgs",39.126092,41.852262,36.530892,3697,744,1375,39.1697486666667,130.140227,146.221825,127.906685,696,984,618,9.90122766666667,3.68488301455221
"HGSNAT","Hgsnat",43.619016,52.971108,45.862406,3541,809,1413,47.4841766666667,44.230138,39.903446,38.928861,1866,1803,1254,0.159272666666667,41.8229274792413
"HHAT","Hhat",1.374958,1.425326,1.42006,135,30,49,1.40678133333333,2.08257,2.605781,2.326539,77,105,64,18.9458963333333,0.120665488936246
"HHATL","Hhatl",10.560129,10.236776,10.994368,562,157,251,10.597091,1.069859,0.788166,2.612101,4,10,9,43.484654,0.260698689485142
"HHEX","Hhex",0.410624,0.389537,0.308009,23,5,7,0.36939,0,0.115428,0,0,1,0,37.199612,0.0358482698724793
"HHIP","Hhip",0.275535,0.115944,0.387488,54,11,27,0.259655666666667,0.2405,0.976108,0.401761,8,15,13,14.348512,0.0820702141462747
"HHIPL1","Hhipl1",1.090885,1.167074,1.063856,208,52,87,1.10727166666667,0.730162,0.633459,0.530653,62,60,29,14.1283106666667,0.139293257066024
"HHIPL2","Hhipl2",4.326289,11.193848,0.464432,39,12,18,5.32818966666667,0.075839,0,0.213944,1,0,3,0.295641666666667,4.88421284177081
"HHLA1","Hhla1",0.045604,0,0.087383,4,0,3,0.044329,1.528376,1.885822,1.844895,45,59,38,1.77077166666667,0.376909080081782
"HIBADH","Hibadh",36.853935,31.009661,33.310227,2090,437,757,33.7246076666667,5.949557,5.655683,5.247881,99,120,84,0.155233666666667,30.0585142803721
"HIBCH","Hibch",29.413404,33.798156,24.722537,1010,269,395,29.3113656666667,110.576878,55.05521,124.899752,282,262,193,9.18208366666667,2.97693150625915
"HIC1","Hic1",0.639484,0.716463,0.797176,63,16,25,0.717707666666667,1.33037,1.858634,0.939254,41,43,29,814.562393333333,0.00210616340418312
"HIC2","Hic2",0.662069,0.718007,0.799143,177,48,72,0.726406333333333,6.655369,6.46895,8.192802,605,661,528,63.629185,0.0267124880707274
"HID1","Hid1",28.829343,28.838623,29.971312,2997,702,1207,29.2130926666667,101.018376,98.061661,125.585194,1100,1283,909,50.1900853333333,0.590213758580958
"HIF1A","Hif1a",23.854909,23.708824,25.506601,3788,1014,1579,24.356778,45.625155,42.614332,52.011509,1101,1033,756,147.689685333333,0.170534882383772
"HIF1AN","Hif1an",13.212546,11.9652,12.420503,3551,781,1302,12.5327496666667,12.236967,15.483603,14.492817,854,1030,714,31.8491013333333,0.411967119871691
"HIF3A","Hif3a",1.03773,0.372662,2.097768,184,25,89,1.16938666666667,6.294824,4.684622,4.643905,42,78,51,5.28797666666667,0.345005521118876
"HIGD1A","Higd1a",110.636605,152.947379,95.733683,2243,592,846,119.772555666667,47.803089,45.780508,44.544393,650,663,440,52.5266053333333,2.25630889376533
"HIGD1B","Higd1b",1.062431,0.729301,1.594978,15,3,8,1.12890333333333,0.315431,0.288346,0,1,1,0,261.461555666667,0.00811129587312627
"HIGD1C","Higd1c",0.28482,0.367092,0,3,1,0,0.217304,0,0,0,0,0,0,8.359098,0.130066380328532
"HIGD2A","Higd2a",86.273952,82.600904,76.403532,1566,363,539,81.7594626666667,45.104604,50.379194,57.564689,260,319,236,7.23004033333333,10.0557785034751
"HIKESHI","Hikeshi",116.748068,110.751142,118.585895,1095,244,403,115.361701666667,42.585459,40.163671,50.383946,271,269,210,47.6461866666667,2.39200047609076
"HILPDA","Hilpda",5.194114,3.364184,3.725365,167,27,43,4.09455433333333,4.983147,4.639956,9.238748,61,64,54,29.7830673333333,0.165498593046857
"HINFP","Hinfp",6.306901,5.929021,9.572415,709,163,310,7.26944566666667,16.524733,18.059092,23.75737,304,341,298,4.912396,1.39866234715446
"HINT1","Hint1",328.496094,279.267744,330.459545,5707,1177,2256,312.741127666667,174.570339,203.536266,171.250601,1616,1983,1107,2.088058,101.598197853365
"HINT2","Hint2",30.927402,32.947048,32.394902,365,85,158,32.089784,15.337454,14.135948,17.985947,65,94,65,0,33.089784
"HINT3","Hint3",44.210432,40.752673,44.251349,787,180,297,43.0714846666667,28.101479,26.046576,29.448099,1185,1174,890,39.5832456666667,1.08595268669862
"HIP1","Hip1",13.04821,13.158252,16.413421,3419,796,1454,14.2066276666667,23.441716,21.996041,31.983764,2588,2367,2133,11.3596436666667,1.23034515207572
"HIP1R","Hip1r",32.068429,21.802814,31.141183,2425,547,940,28.3374753333333,48.282454,45.669699,72.208256,1040,1284,1063,212.907360666667,0.137150377817293
"HIPK1","Hipk1",14.529452,15.101676,12.876667,4064,886,1599,14.169265,4.860391,6.213566,6.550607,456,594,419,0.094133,13.8641874433913
"HIPK2","Hipk2",2.58273,1.836447,2.117999,650,110,254,2.17905866666667,12.475099,11.722311,12.527002,2580,2653,1850,0.213376666666667,2.62000972492741
"HIPK3","Hipk3",17.679712,16.530018,15.970326,4820,1066,1911,16.7266853333333,5.423145,5.003399,6.129554,529,526,429,8.464308,1.87300385124125
"HIPK4","Hipk4",8.376531,7.881884,8.18017,1009,232,390,8.146195,1.008644,1.106902,0.824312,31,38,18,0,9.146195
"HIRA","Hira",23.741071,20.132483,22.02455,1387,280,514,21.9660346666667,22.92845,22.230891,23.943033,670,699,529,12.683836,1.67833308340342
"HIRIP3","Hirip3",8.158131,8.906477,8.644816,230,60,100,8.569808,4.188486,3.286057,4.553526,78,96,87,3.21141033333333,2.27235231016435
"HIVEP1","Hivep1",15.10268,17.211211,21.209159,2959,653,1206,17.8410166666667,4.566505,4.930996,4.99486,352,320,238,29.067495,0.626624089125704
"HIVEP2","Hivep2",8.400287,8.909774,8.631765,3497,896,1398,8.64727533333333,27.951495,24.511054,27.812353,969,1132,759,0,9.64727533333333
"HIVEP3","Hivep3",9.939335,9.51298,11.445141,1650,353,742,10.299152,3.679792,4.503905,3.983611,361,484,330,204.994719,0.054851658600044
"HJV","Hjv",0.038902,0,0.568349,3,0,18,0.202417,0,0,0,0,0,0,3.45315033333333,0.270014913037968
"HK1","Hk1",102.014992,133.105062,98.412307,14033,3595,5442,111.177453666667,354.31958,307.889567,272.492911,4650,5077,3285,1.722212,41.2081989450736
"HK2","Hk2",0.800428,2.451177,1.188352,158,43,51,1.47998566666667,0.263624,0.873659,1.347044,19,30,15,16.3253213333333,0.143142260911217
"HK3","Hk3",0.360434,0.135924,0.10336,17,4,5,0.199906,1.448972,1.970719,1.231214,10,9,3,11.8695076666667,0.0932363561278944
"HKDC1","Hkdc1",0.084813,0.17539,0.034464,6,4,2,0.0982223333333333,0.124121,0.951372,0.397729,6,16,1,2.74681066666667,0.293108574474718
"HLCS","Hlcs",11.934994,12.469971,11.102893,1485,361,641,11.8359526666667,6.632713,6.510718,6.353697,425,427,395,13.2132916666667,0.903095002037412
"HLF","Hlf",3.996722,1.472103,3.149695,366,86,165,2.87284,2.112245,2.568517,3.275488,95,81,102,36.427576,0.103475576403879
"HLTF","Hltf",6.556469,5.559362,8.547885,1102,248,443,6.88790533333333,20.124658,17.303956,19.789461,955,1069,763,30.3126323333333,0.251908087744396
"HLX","Hlx",0.563413,0.308865,0.468825,36,6,16,0.447034333333333,0.040023,0.034528,0.397729,1,1,1,0.172582,1.2340581156229
"HMBOX1","Hmbox1",119.884968,105.544635,123.682724,9969,2060,4026,116.370775666667,18.381249,20.885868,30.974911,190,229,197,3.780281,24.5531121845487
"HMBS","Hmbs",20.298012,25.339108,23.652817,413,99,204,23.0966456666667,8.158257,9.846227,11.91718,123,121,102,52.686054,0.448843673008016
"HMCES","Hmces",5.703369,4.738955,4.521974,241,41,75,4.98809933333333,22.110074,22.700885,24.019882,435,456,344,68.531887,0.0861201901989706
"HMCN1","Hmcn1",1.191096,2.98372,1.780641,443,107,190,1.98515233333333,0.767393,0.554408,2.601092,39,45,33,14.6992906666667,0.190145682165852
"HMCN2","Hmcn2",0.09541,0.254883,0.149743,21,22,24,0.166678666666667,5.672048,7.305776,9.921584,404,656,551,0.055359,1.10548037839888
"HMG20A","Hmg20a",16.806099,16.702618,16.518486,2450,573,913,16.6757343333333,29.844521,26.870781,35.939516,613,592,592,24.0999506666667,0.7042139073527
"HMG20B","Hmg20b",24.089704,18.794152,32.640613,555,108,277,25.174823,5.611609,5.137609,8.254694,63,64,59,13.2842816666667,1.83242137132319
"HMGA1","Hmga1",39.523566,47.37716,32.721682,1861,401,658,39.874136,35.262,44.716071,40.844324,805,1108,664,964.438891666667,0.042337362160165
"HMGA2","Hmga2",0.269204,0.218125,0.200649,26,8,12,0.229326,1.235656,2.792035,3.46086,33,91,109,1.822589,0.435531350827202
"HMGB1","Hmgb1",103.174189,103.804516,109.315241,3490,843,1424,105.431315333333,121.290875,153.406933,161.248975,2355,2736,2150,1.177937,48.8679495014472
"HMGB2","Hmgb2",1.776653,2.312449,1.794378,73,19,25,1.96116,2.232765,2.836104,5.418284,27,35,45,6.95958366666667,0.372024483190097
"HMGB3","Hmgb3",17.939158,20.470075,20.067935,987,237,437,19.4923893333333,56.992803,65.130432,81.599814,1357,1554,1250,13.0619103333333,1.45729768200532
"HMGB4","Hmgb4",0,0.185808,0.347609,0,1,3,0.177805666666667,0,0,0,0,0,0,29.1214696666667,0.0391018658684527
"HMGCL","Hmgcl",8.544691,8.354984,8.636557,379,84,129,8.51207733333333,4.468511,6.975639,6.081324,78,112,74,86.965175,0.108134580910381
