"Hs_symbol","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Hs_Avg_TPM","FoldChange"
"A1BG","A1bg",0,0,0,0,0,0,0,6.574087,5.356817,5.122674,51,37,35,3.30626433333333,0.232219836636441
"A1CF","A1cf",0.021395,0,0.042279,3,0,2,0.0212246666666667,0.063683,0.066053,0,4,2,0,16.1244153333333,0.059635593203513
"A2M","A2m",3.753913,2.653814,3.40167,502,126,232,3.269799,47.469149,41.973869,31.55372,2028,1448,1149,1.48072333333333,1.72119113108139
"A3GALT2","A3galt2",17.905758,17.130012,16.379825,2525,593,913,17.1385316666667,0,0,0,0,0,0,14.8929526666667,1.14129400918118
"A4GALT","A4galt",28.058994,17.27297,23.239305,1310,267,451,22.8570896666667,33.003692,32.717969,29.75239,1208,1099,1075,12.358464,1.78591563121828
"A4GNT","A4gnt",0,0,0,0,0,0,0,0,0,0,0,0,0,2.25089866666667,0.307607250343905
"AAAS","Aaas",33.451231,34.79836,31.647085,470,93,173,33.298892,17.868209,17.289999,16.874782,598,489,514,3.297399,7.98131427870672
"AACS","Aacs",469.859096,671.240799,464.155304,5609,1393,2129,535.085066333333,6.792635,7.2732,5.012077,382,296,228,9.04946033333333,53.3446621561536
"AADAC","Aadac",0,0,0,0,0,0,0,0.114227,0.093886,0.189067,3,2,4,0.485872,0.673005480956637
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0,0,0,0,0,0,3.22497266666667,0.236687921768015
"AADAT","Aadat",0.208399,0.235488,0.043062,7,3,1,0.162316333333333,2.803781,1.273732,1.256284,72,50,52,8.58759633333333,0.121231254729853
"AAGAB","Aagab",21.937984,24.420551,19.456147,1783,449,667,21.9382273333333,13.5382,8.893211,8.17232,443,347,312,55.846109,0.403514466281823
"AAK1","Aak1",55.611076,53.619672,62.888283,11469,2482,4642,57.3730103333333,8.140723,4.98695,5.632312,1061,924,810,19.618997,2.83103054592487
"AAMDC","Aamdc",35.667489,38.821012,35.238074,533,133,194,36.575525,43.508279,45.757314,41.928473,288,290,250,105.933304666667,0.35139216090937
"AANAT","Aanat",0.412679,0.342473,2.807437,16,3,6,1.18752966666667,0.384486,0.191591,0.957074,4,2,7,0.195217333333333,1.8302358957311
"AAR2","Aar2",13.047905,11.955033,10.001512,1331,273,464,11.66815,9.629091,8.985329,7.802869,494,440,373,0,12.66815
"AARD","Aard",2.57551,1.792836,2.300635,113,19,43,2.22299366666667,0.509473,0.537165,0.417107,11,13,17,0.182879666666667,2.72470121643819
"AARS2","Aars2",6.79198,7.088157,7.718581,883,233,341,7.19957266666667,2.873718,2.217694,1.513002,289,218,155,5.08377433333333,1.34777725428452
"AARSD1","Aarsd1",20.141048,21.056957,18.232245,980,245,334,19.8100833333333,42.269472,45.211996,38.782538,410,412,304,4.02409666666667,4.14205472426552
"AASDH","Aasdh",6.960489,8.130195,6.147941,341,79,114,7.07954166666667,1.51679,1.429238,0.686802,72,62,45,5.38488366666667,1.26541720859336
"AASDHPPT","Aasdhppt",9.569516,9.23858,10.046699,1046,255,433,9.618265,15.491333,11.332325,7.790263,438,436,306,121.357049,0.0867809830882731
"AASS","Aass",0.446771,0.225671,0.515404,40,8,17,0.395948666666667,10.663442,6.340196,5.078783,777,556,484,8.239964,0.151077284139491
"AATF","Aatf",8.28501,7.465639,8.82369,481,118,197,8.19144633333333,18.011852,16.629179,17.421425,333,266,229,87.4279296666667,0.103942796896647
"AATK","Aatk",101.175735,106.182921,113.743123,10769,2643,4798,107.033926333333,0.807211,1.215351,1.261386,81,68,60,7.41496433333333,12.8383106634677
"ABAT","Abat",24.548925,25.806704,29.076187,2980,710,1214,26.477272,3.072307,1.855792,1.672802,274,169,145,0.722117333333333,15.9555167746991
"ABCA1","Abca1",14.538765,14.680589,13.673699,4922,1115,1967,14.2976843333333,1.876267,0.885241,0.804978,396,171,159,25.6683846666667,0.573626206631638
"ABCA13","Abca13",0.026318,0.017482,0.051169,15,3,14,0.0316563333333333,0.174113,0.034944,0.058673,5,3,5,0.328574333333333,0.776513821959027
"ABCA17P","Abca17",0.241964,0.12923,0.257969,35,5,6,0.209721,0.02167,0.266152,1.014407,2,4,5,0.812543,0.667416441982342
"ABCA2","Abca2",70.353022,71.44658,66.893322,9729,2082,3846,69.564308,24.315816,17.365586,16.698512,805,444,402,52.444161,1.32033708977114
"ABCA3","Abca3",29.995284,25.735844,33.069807,7843,1645,2919,29.6003116666667,2.864033,2.329955,1.427765,295,201,155,1.15103666666667,14.225843817942
"ABCA4","Abca4",0.218113,0.144422,0.457021,16,3,4,0.273185333333333,0.012157,0.012809,0,1,1,0,31.344221,0.0393636109935476
"ABCA5","Abca5",22.448123,21.41967,24.32496,6816,1769,2833,22.7309176666667,4.156998,3.19961,2.228167,168,152,100,13.4566326666667,1.64152456618644
"ABCA6","Abca6",20.340663,20.054591,22.962028,4456,1036,1929,21.119094,0.307074,0.113031,0.186072,11,7,9,214.166965,0.102799674661954
"ABCA7","Abca7",28.284582,28.185107,28.557071,8307,2009,3301,28.3422533333333,11.353326,7.85688,8.990523,435,267,221,0.009045,29.0792316827627
"ABCA8","Abca8b",12.161258,12.465005,14.473483,3737,944,1732,13.0332486666667,3.234198,1.719767,1.436738,96,64,65,61.5321443333333,0.224416559135749
"ABCA9","Abca9",2.510507,2.960071,2.962372,676,194,314,2.81098333333333,0.287344,0.110486,0.190728,11,7,5,23.8153686666667,0.153573512629391
"ABCB1","Abcb1a",40.156561,54.850987,5.961506,1174,289,483,33.6563513333333,0.03239,0.180298,0.191402,3,5,3,1.137784,16.2113437715566
"ABCB10","Abcb10",5.679646,5.373036,5.311046,963,220,368,5.454576,4.005154,2.663769,2.895076,137,128,111,1.70077,2.38990213901961
"ABCB11","Abcb11",0,0,0.012404,0,0,1,0.00413466666666667,0.266721,0.007328,0.0069,3,1,1,5.94528533333333,0.144577885353018
"ABCB4","Abcb4",2.85706,2.376162,2.887682,430,81,174,2.706968,11.373936,10.12465,10.942716,248,158,162,13.3101653333333,0.259044386535856
"ABCB5","Abcb5",0,0,0,0,0,0,0,0.238192,0,0.073851,1,0,5,20.783434,0.0459064443191097
"ABCB6","Abcb6",11.693171,5.646987,10.839573,709,152,266,9.39324366666667,8.326215,7.061364,8.704006,123,101,86,134.693941333333,0.0765932772277251
"ABCB7","Abcb7",7.456802,7.129243,7.31946,1722,415,663,7.301835,13.831658,11.114692,9.446497,350,248,280,0.630597333333333,5.0912845435783
"ABCB8","Abcb8",25.498487,22.60307,29.797684,1350,316,528,25.9664136666667,11.02178,6.985446,5.674411,471,342,268,0.0341556666666667,26.0757780824099
"ABCB9","Abcb9",15.429411,12.471241,16.112352,1637,348,695,14.6710013333333,4.324097,2.790693,3.029996,187,127,124,0.289378,12.1539233128945
"ABCC1","Abcc1",8.351031,6.08049,11.592946,994,209,349,8.67482233333333,4.111846,2.414281,2.166516,483,341,276,0.104014333333333,8.76331225168272
"ABCC10","Abcc10",2.622562,2.513981,2.584121,288,85,131,2.57355466666667,14.897475,9.350053,15.513101,250,167,160,0,3.57355466666667
"ABCC12","Abcc12",0.581075,0.452147,0.584976,67,15,32,0.539399333333333,0.174113,0,0.046512,1,0,1,13.957216,0.102920178015303
"ABCC2","Abcc2",0.140255,0.055143,0.014914,11,3,2,0.070104,0.206724,0.320286,0.182112,3,4,1,0.0342316666666667,1.03468500771104
"ABCC3","Abcc3",0.786365,0.247674,1.21136,64,13,30,0.748466333333333,0.348225,0.325404,0.504307,2,3,3,0,1.74846633333333
"ABCC5","Abcc5",198.841532,203.71343,188.884774,9456,2400,3630,197.146578666667,26.815209,20.139758,16.661965,1688,1220,1081,12.58667,14.5838957350599
"ABCC6","Abcc6",0.085526,0.0381,0.217017,4,2,4,0.113547666666667,2.370812,3.482122,1.641663,98,80,51,8.88939033333333,0.112600234102736
"ABCC9","Abcc9",0.457331,0.586749,0.748134,144,44,89,0.597404666666667,5.937915,4.245439,2.802442,581,434,370,0,1.59740466666667
"ABCD1","Abcd1",3.015163,2.892315,3.204815,439,97,175,3.037431,9.855316,6.357848,6.647314,690,437,443,14.570826,0.259294593620146
"ABCD2","Abcd2",12.532056,12.875819,24.69632,1069,277,522,16.7013983333333,0.210704,0.12733,0.165506,19,13,17,1.20856033333333,8.0149036755618
"ABCD3","Abcd3",23.050902,26.579739,25.839073,2983,814,1204,25.1565713333333,10.323186,7.852999,5.423063,539,489,336,0,26.1565713333333
