"Hs_symbol","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Hs_Avg_TPM","FoldChange"
"ABCB4","Abcb4",2.85706,2.376162,2.887682,430,81,174,2.706968,2.033786,0.852535,0.451585,44,12,10,0.370088,2.70564226531434
"ABCB5","Abcb5",0,0,0,0,0,0,0,0.028091,0.34729,0.350931,3,10,12,135.154633666667,0.00734459028730669
"ABCB6","Abcb6",11.693171,5.646987,10.839573,709,152,266,9.39324366666667,54.080406,38.532465,32.137188,870,459,384,81.0146936666667,0.126724166146472
"ABCB7","Abcb7",7.456802,7.129243,7.31946,1722,415,663,7.301835,11.18593,7.852267,6.075745,297,164,171,0.421135333333333,5.84169206498279
"ABCB8","Abcb8",25.498487,22.60307,29.797684,1350,316,528,25.9664136666667,18.529731,23.651367,21.054635,617,605,535,0.0338166666666667,26.084328620484
"ABCB9","Abcb9",15.429411,12.471241,16.112352,1637,348,695,14.6710013333333,15.865448,14.222772,16.455124,442,382,371,1.56304333333333,6.11421630275467
"ABCC1","Abcc1",8.351031,6.08049,11.592946,994,209,349,8.67482233333333,5.953924,4.982028,4.693158,660,375,308,0.242104,7.78905979960884
"ABCC10","Abcc10",2.622562,2.513981,2.584121,288,85,131,2.57355466666667,35.009112,58.850277,42.406563,641,664,643,0.205172333333333,2.96518146644035
"ABCC12","Abcc12",0.581075,0.452147,0.584976,67,15,32,0.539399333333333,0,0.024085,0,0,1,0,14.3204853333333,0.100479802032381
"ABCC2","Abcc2",0.140255,0.055143,0.014914,11,3,2,0.070104,0.146712,0.308158,0.143396,16,10,4,0.723067666666667,0.621045836273019
"ABCC3","Abcc3",0.786365,0.247674,1.21136,64,13,30,0.748466333333333,0.822929,0,0.384356,11,0,3,0.0271823333333333,1.70219665641965
"ABCC5","Abcc5",198.841532,203.71343,188.884774,9456,2400,3630,197.146578666667,24.407761,29.952643,29.4664,1378,1518,1344,19.9038253333333,9.47896260646138
"ABCC6","Abcc6",0.085526,0.0381,0.217017,4,2,4,0.113547666666667,0.709936,0.292227,1.18336,40,15,21,22.040551,0.0483299061149478
"ABCC9","Abcc9",0.457331,0.586749,0.748134,144,44,89,0.597404666666667,1.933667,0.299867,0.41351,229,35,44,0,1.59740466666667
"ABCD1","Abcd1",3.015163,2.892315,3.204815,439,97,175,3.037431,7.188261,4.56707,5.591021,256,128,147,12.7466093333333,0.293703771024457
"ABCD2","Abcd2",12.532056,12.875819,24.69632,1069,277,522,16.7013983333333,0.823714,0.905926,0.985813,90,77,76,6.260462,2.43805398793263
"ABCD3","Abcd3",23.050902,26.579739,25.839073,2983,814,1204,25.1565713333333,22.412866,15.820691,18.169306,1142,727,822,0.244473666666667,21.0181798409555
"ABCD4","Abcd4",7.701302,7.200632,7.596608,671,162,279,7.499514,63.780985,46.864754,55.905635,1013,556,577,11.4227743333333,0.684188070388893
"ABCE1","Abce1",34.359215,33.442045,35.396792,5248,1252,2130,34.3993506666667,47.892143,47.474433,56.270122,1284,1130,1197,74.918402,0.466281556699082
"ABCF1","Abcf1",48.874882,43.044373,42.180863,2775,693,1070,44.7000393333333,48.558347,63.90383,48.560484,990,770,800,18.717929,2.31768961807974
"ABCF2","Abcf2",34.216991,31.769168,33.397482,3604,812,1372,33.1278803333333,15.544121,48.430262,33.217097,485,502,554,2.28080666666667,10.4022832799251
"ABCF3","Abcf3",239.440985,240.481862,262.081136,2543,620,992,247.334661,38.478334,54.941591,52.139742,684,676,609,120.43151,2.0450594825017
"ABCG1","Abcg1",18.773829,17.063098,18.789429,2286,536,842,18.2087853333333,9.640229,12.006134,8.714856,505,488,311,52.408327,0.359658997244631
"ABCG2","Abcg2",54.978868,56.39503,59.840227,2779,666,1263,57.071375,0.524925,0.589011,0.449804,43,28,26,13.726669,3.94327970568226
"ABCG5","Abcg5",0.010563,0.043488,0,1,1,0,0.018017,0.143393,0,0.032884,8,0,1,55.182183,0.0181199260270823
"ABCG8","Abcg8",0.091383,0.209021,0.104162,14,7,6,0.134855333333333,0.175022,0.165036,0.187492,13,11,10,36.5177673333333,0.0302484772947843
"ABHD1","Abhd1",0.248361,0.11232,0.155026,13,1,3,0.171902333333333,0.980869,0.239741,0.305691,35,9,12,32.5293466666667,0.0349515409585474
"ABHD10","Abhd10",17.746552,16.650794,17.367814,1666,373,628,17.2550533333333,21.945498,27.924148,27.804594,652,596,653,23.189846,0.754657691220247
"ABHD11","Abhd11",21.328858,20.942596,21.510674,760,193,291,21.2607093333333,9.519305,7.909704,9.968295,144,94,107,0.793785666666667,12.4099047879559
"ABHD12","Abhd12",214.181303,199.363481,208.134202,7251,1684,2832,207.226328666667,61.002748,58.3518,58.606077,751,570,568,0.162103666666667,179.180510860907
"ABHD13","Abhd13",3.425154,2.566317,3.608387,713,132,298,3.19995266666667,3.390322,2.495253,3.321503,307,176,213,23.5291876666667,0.171222656198032
"ABHD14A","Abhd14a",19.7553,20.709479,18.454951,796,192,283,19.63991,15.051411,20.447943,23.789903,233,218,216,7.28496833333333,2.49124790458865
"ABHD14B","Abhd14b",18.377497,14.011024,14.704548,754,156,268,15.6976896666667,7.978791,5.158438,4.171231,200,107,84,35.539614,0.456974987931363
"ABHD15","Abhd15",1.258226,1.963905,0.849918,121,26,37,1.35734966666667,1.666242,0.980568,1.679204,104,46,69,138.210739,0.0169336768384418
"ABHD16A","Abhd16a",70.646955,78.385633,75.72245,2758,659,1094,74.918346,38.772235,39.606803,45.286219,679,661,613,13.532581,5.22400983005015
"ABHD16B","Abhd16b",0.100346,0.059159,0.073675,7,1,2,0.0777266666666667,0,0,0,0,0,0,12.3178646666667,0.0809233832630927
"ABHD17A","Abhd17a",54.32776,41.861233,48.254641,1996,396,869,48.147878,19.891946,16.379027,21.502911,759,552,573,17.5959036666667,2.64294109503794
"ABHD17B","Abhd17b",22.041201,20.581638,22.935141,1825,435,732,21.85266,8.626714,9.022235,10.593376,391,316,341,65.3800016666667,0.344270253483221
"ABHD17C","Abhd17c",11.283472,13.469857,8.899621,714,148,294,11.21765,13.219325,17.660275,23.594158,422,387,432,12.5338163333333,0.902749800875333
"ABHD18","Abhd18",3.17983,3.46159,2.752458,273,75,108,3.13129266666667,5.486353,3.54464,4.951791,236,155,188,0.616735,2.55533075406091
"ABHD2","Abhd2",36.723837,35.505954,38.19751,10887,2566,4419,36.8091003333333,36.149134,28.486848,25.146828,3943,2908,2699,29.3014216666667,1.24776654868724
"ABHD3","Abhd3",14.353249,12.050526,13.142816,749,205,280,13.182197,9.642693,6.919606,4.384585,104,59,62,110.301950333333,0.127420920815191
"ABHD4","Abhd4",50.359455,48.462447,50.512159,4010,834,1505,49.7780203333333,39.666519,10.931269,10.1797,306,154,175,7.10910433333333,6.26185312779919
"ABHD5","Abhd5",30.875776,28.899154,33.675929,1450,328,540,31.1502863333333,7.984091,8.165592,14.175874,242,266,255,49.767848,0.633280463913565
"ABHD6","Abhd6",12.397356,10.977638,11.245281,974,215,348,11.5400916666667,8.283415,13.65003,12.504431,185,149,202,0.716666,7.30491060384878
"ABHD8","Abhd8",37.222072,31.595592,35.732559,2814,569,1151,34.8500743333333,6.351783,4.187949,6.20397,187,106,136,1.21588,16.1787074811512
