"Hs_symbol","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","FoldChange"
"ABCA8",8.680828,3.745783,8.184944,6.87051833333333,258,141,202,"Abca8b",1.19705,1.355302,1.389084,299,302,226,1.313812,3.40153752047847
"ABCA9",2.080644,1.631188,5.048676,2.92016933333333,56,70,42,"Abca9",1.730124,1.818871,1.712961,360,349,256,1.75398533333333,1.42345323552921
"ABCB1",0.242278,0.606745,0.127132,0.325385,1,5,2,"Abcb1b",1.448958,1.10462,1.336334,101,103,68,1.29663733333333,0.577098081949378
"ABCB1",0.242278,0.606745,0.127132,0.325385,1,5,2,"Abcb1a",22.341597,11.92902,15.633074,306,260,232,16.6345636666667,0.0751583665495097
"ABCB10",4.487977,5.694735,6.12157,5.43476066666667,229,188,232,"Abcb10",3.70404,4.009373,4.926604,497,533,463,4.213339,1.23428778881762
"ABCB11",1.580405,3.39585,0.543683,1.83997933333333,8,15,6,"Abcb11",0,0,0,0,0,0,0,2.83997933333333
"ABCB4",0.391427,0.466284,0.700631,0.519447333333333,11,23,7,"Abcb4",2.855218,3.428858,3.224924,367,397,282,3.16966666666667,0.364404988408346
"ABCB5",0.218901,0.076822,0,0.0985743333333333,4,2,0,"Abcb5",0,0,0,0,0,0,0,1.09857433333333
"ABCB6",17.599676,11.88309,16.193697,15.2254876666667,250,162,216,"Abcb6",4.179214,5.497167,4.20283,223,255,203,4.62640366666667,2.88381151227981
"ABCB7",5.349743,5.631146,5.087587,5.35615866666667,135,114,121,"Abcb7",3.502681,3.231758,4.404847,659,544,597,3.71309533333333,1.34861661331414
"ABCB8",25.451568,21.496367,20.678115,22.5420166666667,717,431,556,"Abcb8",15.227893,15.429945,18.285769,744,727,657,16.3145356666667,1.35966780281546
"ABCB9",20.038858,11.346602,23.406662,18.2640406666667,473,230,418,"Abcb9",1.277403,0.974135,1.355097,117,101,104,1.20221166666667,8.74758814434277
"ABCC1",8.866004,11.470193,9.218329,9.85150866666667,759,724,593,"Abcc1",2.436638,4.138721,7.941157,446,428,346,4.83883866666667,1.85850462500648
"ABCC10",67.229562,58.653056,74.269479,66.7173656666667,908,586,738,"Abcc10",0.487548,0.662952,0.381423,47,52,34,0.510641,44.826908356563
"ABCC12",0,0,0,0,0,0,0,"Abcc12",0,0,0,0,0,0,0,1
"ABCC2",1.027977,1.07924,0.751123,0.95278,20,15,18,"Abcc2",0.003846,0.018808,0,1,1,0,0.00755133333333333,1.9381444253957
"ABCC3",0.387771,0.982346,0.063447,0.477854666666667,3,5,1,"Abcc3",0.252275,0.270166,0.237298,18,12,7,0.253246333333333,1.17922121721747
"ABCC4",3.039078,1.546278,3.664319,2.74989166666667,130,109,125,"Abcc4",1.07834,1.027357,0.899832,184,175,110,1.001843,1.87321966141534
"ABCC5",47.052923,36.864191,46.334162,43.417092,2382,1605,1925,"Abcc5",10.385666,13.130438,7.183393,582,426,255,10.2331656666667,3.95410281643076
"ABCC6",0.700877,0.769524,0.372597,0.614332666666667,31,27,18,"Abcc6",0,0,0,0,0,0,0,1.61433266666667
"ABCC8",29.752164,6.667184,22.439929,19.619759,265,116,210,"Abcc8",5.196664,5.907268,4.973336,286,348,267,5.35908933333333,3.24256476346613
"ABCC9",0.152849,0.551804,0.203548,0.302733666666667,19,57,23,"Abcc9",19.684747,22.99213,23.672163,4837,5123,4198,22.1163466666667,0.0563555169617344
"ABCD1",7.294446,8.044954,7.763412,7.70093733333333,256,196,196,"Abcd1",2.313105,2.752033,3.025499,286,317,273,2.696879,2.35358996962934
"ABCD2",0.010725,0,0.024448,0.0117243333333333,1,0,2,"Abcd2",0.907229,0.389841,2.345446,72,65,60,1.214172,0.45693122907043
"ABCD3",11.69952,13.13055,9.707609,11.5125596666667,544,496,467,"Abcd3",13.628574,15.300532,16.369644,1441,1359,1208,15.0995833333333,0.777197732860581
"ABCD4",70.916088,64.134004,67.343217,67.4644363333333,895,680,780,"Abcd4",0.85394,1.106506,1.124445,67,57,53,1.028297,33.7546406336613
"ABCE1",31.583438,49.79339,37.572001,39.6496096666667,980,1003,995,"Abce1",6.423351,6.420801,6.784214,778,717,590,6.54278866666667,5.38920172141462
"ABCF1",79.412855,49.138765,60.340286,62.9639686666667,982,733,819,"Abcf1",14.572771,13.528038,17.357068,822,833,714,15.1526256666667,3.95997344250141
"ABCF2",41.126604,23.175533,34.428163,32.9101,544,392,458,"Abcf2",7.208005,7.781313,7.405033,605,609,448,7.46478366666667,4.00602086660927
"ABCF3",48.291703,49.874702,42.97229,47.0462316666667,634,530,501,"Abcf3",56.843927,45.142544,60.394936,472,407,364,54.1271356666667,0.871553203075603
"ABCG1",4.150456,4.415328,3.848561,4.138115,183,146,140,"Abcg1",0.251662,0.952119,0.477321,40,67,36,0.560367333333333,3.29288808489967
"ABCG2",2.961168,3.343736,4.879457,3.72812033333333,130,124,137,"Abcg3",0.080428,0.035451,0.075727,7,3,5,0.0638686666666667,4.44427069005385
"ABCG4",3.253555,1.724564,3.36298,2.78036633333333,122,50,91,"Abcg4",0.127302,0.011319,0.156331,3,1,1,0.0983173333333333,3.44196182524055
"ABCG5",0,0.053623,0,0.0178743333333333,0,2,0,"Abcg5",0,0,0,0,0,0,0,1.01787433333333
"ABCG8",0.166037,0.120609,0.140823,0.142489666666667,13,5,8,"Abcg8",0,0,0,0,0,0,0,1.14248966666667
"ABHD1",0.539133,1.449996,2.556852,1.515327,16,11,17,"Abhd1",0.884254,0.707662,0.256382,35,26,7,0.616099333333333,1.55641856173032
"ABHD10",17.896254,16.509149,18.709231,17.704878,474,316,439,"Abhd10",2.955729,5.14223,4.358272,111,153,102,4.152077,3.63055094091179
