"Hs_symbol","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","FoldChange"
"ABCA7",24.152072,12.964013,24.639795,20.5852933333333,710,377,537,"Abca7",6.006372,6.820605,6.873234,281,1214,685,6.566737,2.852655422454
"ABCA8",8.680828,3.745783,8.184944,6.87051833333333,258,141,202,"Abca8b",3.153485,3.895227,4.491881,163,747,478,3.84686433333333,1.62383714336822
"ABCA9",2.080644,1.631188,5.048676,2.92016933333333,56,70,42,"Abca9",1.270159,1.202612,1.247372,56,199,117,1.24004766666667,1.75003835483858
"ABCB1",0.242278,0.606745,0.127132,0.325385,1,5,2,"Abcb1b",2.13694,1.316029,0.596432,14,59,33,1.34980033333333,0.56404154055075
"ABCB1",0.242278,0.606745,0.127132,0.325385,1,5,2,"Abcb1a",27.54529,43.96477,12.947455,267,1104,708,28.152505,0.045463846074291
"ABCB10",4.487977,5.694735,6.12157,5.43476066666667,229,188,232,"Abcb10",6.396777,7.750892,7.766959,180,805,458,7.304876,0.774817187717994
"ABCB11",1.580405,3.39585,0.543683,1.83997933333333,8,15,6,"Abcb11",0,0,0,0,0,0,0,2.83997933333333
"ABCB4",0.391427,0.466284,0.700631,0.519447333333333,11,23,7,"Abcb4",0.981707,0.995733,1.250511,17,64,51,1.07598366666667,0.731916805382701
"ABCB5",0.218901,0.076822,0,0.0985743333333333,4,2,0,"Abcb5",0,0.027506,0,0,1,0,0.00916866666666667,1.08859338346481
"ABCB6",17.599676,11.88309,16.193697,15.2254876666667,250,162,216,"Abcb6",10.008954,6.259513,8.472193,70,339,192,8.24688666666666,1.75469736480675
"ABCB7",5.349743,5.631146,5.087587,5.35615866666667,135,114,121,"Abcb7",11.190542,11.707649,12.115453,431,1655,976,11.6712146666667,0.501621891339857
"ABCB8",25.451568,21.496367,20.678115,22.5420166666667,717,431,556,"Abcb8",15.25636,20.988503,21.001584,152,712,401,19.082149,1.17228572831855
"ABCB9",20.038858,11.346602,23.406662,18.2640406666667,473,230,418,"Abcb9",17.894203,17.928554,14.740825,208,975,536,16.8545273333333,1.07894430958706
