"Hs_symbol","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","FoldChange"
"ABCA5",6.679427,7.075997,6.759744,6.83838933333333,323,230,276,"Abca5",22.448123,21.41967,24.32496,6816,1769,2833,22.7309176666667,0.3303028329302
"ABCA6",1.179883,0.523131,0.304506,0.669173333333333,17,18,12,"Abca6",20.340663,20.054591,22.962028,4456,1036,1929,21.119094,0.075463006456473
"ABCA7",24.152072,12.964013,24.639795,20.5852933333333,710,377,537,"Abca7",28.284582,28.185107,28.557071,8307,2009,3301,28.3422533333333,0.735638571725235
"ABCA8",8.680828,3.745783,8.184944,6.87051833333333,258,141,202,"Abca8b",12.161258,12.465005,14.473483,3737,944,1732,13.0332486666667,0.56084792055515
"ABCA9",2.080644,1.631188,5.048676,2.92016933333333,56,70,42,"Abca9",2.510507,2.960071,2.962372,676,194,314,2.81098333333333,1.02865034833529
"ABCB1",0.242278,0.606745,0.127132,0.325385,1,5,2,"Abcb1b",1.29574,1.66082,2.204825,117,36,57,1.72046166666667,0.48719120590439
"ABCB1",0.242278,0.606745,0.127132,0.325385,1,5,2,"Abcb1a",40.156561,54.850987,5.961506,1174,289,483,33.6563513333333,0.0382436393044415
"ABCB10",4.487977,5.694735,6.12157,5.43476066666667,229,188,232,"Abcb10",5.679646,5.373036,5.311046,963,220,368,5.454576,0.996930033307636
"ABCB11",1.580405,3.39585,0.543683,1.83997933333333,8,15,6,"Abcb11",0,0,0.012404,0,0,1,0.00413466666666667,2.82828531631215
"ABCB4",0.391427,0.466284,0.700631,0.519447333333333,11,23,7,"Abcb4",2.85706,2.376162,2.887682,430,81,174,2.706968,0.409889519772853
"ABCB5",0.218901,0.076822,0,0.0985743333333333,4,2,0,"Abcb5",0,0,0,0,0,0,0,1.09857433333333
"ABCB6",17.599676,11.88309,16.193697,15.2254876666667,250,162,216,"Abcb6",11.693171,5.646987,10.839573,709,152,266,9.39324366666667,1.56115724667413
"ABCB7",5.349743,5.631146,5.087587,5.35615866666667,135,114,121,"Abcb7",7.456802,7.129243,7.31946,1722,415,663,7.301835,0.76563297953605
"ABCB8",25.451568,21.496367,20.678115,22.5420166666667,717,431,556,"Abcb8",25.498487,22.60307,29.797684,1350,316,528,25.9664136666667,0.873012516891228
"ABCB9",20.038858,11.346602,23.406662,18.2640406666667,473,230,418,"Abcb9",15.429411,12.471241,16.112352,1637,348,695,14.6710013333333,1.22927949892332
"ABCC1",8.866004,11.470193,9.218329,9.85150866666667,759,724,593,"Abcc1",8.351031,6.08049,11.592946,994,209,349,8.67482233333333,1.1216235598745
"ABCC10",67.229562,58.653056,74.269479,66.7173656666667,908,586,738,"Abcc10",2.622562,2.513981,2.584121,288,85,131,2.57355466666667,18.9495815744249
"ABCC12",0,0,0,0,0,0,0,"Abcc12",0.581075,0.452147,0.584976,67,15,32,0.539399333333333,0.649604023041022
"ABCC2",1.027977,1.07924,0.751123,0.95278,20,15,18,"Abcc2",0.140255,0.055143,0.014914,11,3,2,0.070104,1.82485066872005
"ABCC3",0.387771,0.982346,0.063447,0.477854666666667,3,5,1,"Abcc3",0.786365,0.247674,1.21136,64,13,30,0.748466333333333,0.845229123656751
"ABCC4",3.039078,1.546278,3.664319,2.74989166666667,130,109,125,"Abcc4",7.38802,4.529168,6.372067,1235,251,481,6.09641833333333,0.528420322834218
"ABCC5",47.052923,36.864191,46.334162,43.417092,2382,1605,1925,"Abcc5",198.841532,203.71343,188.884774,9456,2400,3630,197.146578666667,0.224162800583708
"ABCC6",0.700877,0.769524,0.372597,0.614332666666667,31,27,18,"Abcc6",0.085526,0.0381,0.217017,4,2,4,0.113547666666667,1.44972030833585
"ABCC8",29.752164,6.667184,22.439929,19.619759,265,116,210,"Abcc8",7.000264,4.430874,5.406411,502,87,201,5.61251633333333,3.11829233540898
"ABCC9",0.152849,0.551804,0.203548,0.302733666666667,19,57,23,"Abcc9",0.457331,0.586749,0.748134,144,44,89,0.597404666666667,0.815531401560949
"ABCD1",7.294446,8.044954,7.763412,7.70093733333333,256,196,196,"Abcd1",3.015163,2.892315,3.204815,439,97,175,3.037431,2.15506774811343
"ABCD2",0.010725,0,0.024448,0.0117243333333333,1,0,2,"Abcd2",12.532056,12.875819,24.69632,1069,277,522,16.7013983333333,0.0571550514982856
"ABCD3",11.69952,13.13055,9.707609,11.5125596666667,544,496,467,"Abcd3",23.050902,26.579739,25.839073,2983,814,1204,25.1565713333333,0.478371553641702
"ABCD4",70.916088,64.134004,67.343217,67.4644363333333,895,680,780,"Abcd4",7.701302,7.200632,7.596608,671,162,279,7.499514,8.05510013082317
"ABCE1",31.583438,49.79339,37.572001,39.6496096666667,980,1003,995,"Abce1",34.359215,33.442045,35.396792,5248,1252,2130,34.3993506666667,1.14831512163707
"ABCF1",79.412855,49.138765,60.340286,62.9639686666667,982,733,819,"Abcf1",48.874882,43.044373,42.180863,2775,693,1070,44.7000393333333,1.39964800030296
"ABCF2",41.126604,23.175533,34.428163,32.9101,544,392,458,"Abcf2",34.216991,31.769168,33.397482,3604,812,1372,33.1278803333333,0.993618697346386
"ABCF3",48.291703,49.874702,42.97229,47.0462316666667,634,530,501,"Abcf3",239.440985,240.481862,262.081136,2543,620,992,247.334661,0.193473724019003
"ABCG1",4.150456,4.415328,3.848561,4.138115,183,146,140,"Abcg1",18.773829,17.063098,18.789429,2286,536,842,18.2087853333333,0.267487762023335
"ABCG2",2.961168,3.343736,4.879457,3.72812033333333,130,124,137,"Abcg3",0.086155,0.200865,0.045136,10,6,2,0.110718666666667,4.25681180592985
"ABCG4",3.253555,1.724564,3.36298,2.78036633333333,122,50,91,"Abcg4",18.519571,16.468391,21.177021,2011,443,752,18.721661,0.191686001160518
"ABCG5",0,0.053623,0,0.0178743333333333,0,2,0,"Abcg5",0.010563,0.043488,0,1,1,0,0.018017,0.999859858266938
"ABCG8",0.166037,0.120609,0.140823,0.142489666666667,13,5,8,"Abcg8",0.091383,0.209021,0.104162,14,7,6,0.134855333333333,1.00672714231417
"ABHD1",0.539133,1.449996,2.556852,1.515327,16,11,17,"Abhd1",0.248361,0.11232,0.155026,13,1,3,0.171902333333333,2.14636231062486
"ABHD10",17.896254,16.509149,18.709231,17.704878,474,316,439,"Abhd10",17.746552,16.650794,17.367814,1666,373,628,17.2550533333333,1.02464110394273
"ABHD11",8.315591,5.793527,10.881287,8.330135,88,44,86,"Abhd11",21.328858,20.942596,21.510674,760,193,291,21.2607093333333,0.419130175067198
"ABHD12",34.456652,32.027544,41.779576,36.087924,424,313,435,"Abhd12",214.181303,199.363481,208.134202,7251,1684,2832,207.226328666667,0.178113518292738
"ABHD12B",3.893477,1.544872,5.021108,3.48648566666667,34,27,39,"Abhd12b",0.170078,0.151447,0.182774,12,2,5,0.168099666666667,3.84084149212153
"ABHD13",3.072772,3.602061,3.056116,3.24364966666667,238,226,207,"Abhd13",3.425154,2.566317,3.608387,713,132,298,3.19995266666667,1.01040416487233
"ABHD14A",19.98651,11.809536,18.625674,16.80724,220,94,202,"Abhd14a",19.7553,20.709479,18.454951,796,192,283,19.63991,0.862757637993577
"ABHD14B",6.270991,5.484107,6.977415,6.244171,142,105,131,"Abhd14b",18.377497,14.011024,14.704548,754,156,268,15.6976896666667,0.433842713849295
"ABHD15",2.267084,2.653537,2.449372,2.45666433333333,118,109,110,"Abhd15",1.258226,1.963905,0.849918,121,26,37,1.35734966666667,1.46633500418337
"ABHD16A",43.283793,44.460669,44.105033,43.9498316666667,632,478,592,"Abhd16a",70.646955,78.385633,75.72245,2758,659,1094,74.918346,0.592081282522497
"ABHD16B",0,0,0,0,0,0,0,"Abhd16b",0.100346,0.059159,0.073675,7,1,2,0.0777266666666667,0.927879054058234
"ABHD17A",22.251861,16.580488,18.393927,19.0754253333333,855,595,608,"Abhd17a",54.32776,41.861233,48.254641,1996,396,869,48.147878,0.40846982922301
"ABHD17B",6.982168,5.876005,6.383279,6.41381733333333,292,190,217,"Abhd17b",22.041201,20.581638,22.935141,1825,435,732,21.85266,0.324418134840029
"ABHD17C",5.189827,4.249834,4.998582,4.81274766666667,101,79,94,"Abhd17c",11.283472,13.469857,8.899621,714,148,294,11.21765,0.475766425349119
"ABHD18",3.285167,2.22549,2.818459,2.776372,157,105,137,"Abhd18",3.17983,3.46159,2.752458,273,75,108,3.13129266666667,0.914089682018816
"ABHD2",43.040132,37.278752,34.676228,38.331704,4800,3122,3837,"Abhd2",36.723837,35.505954,38.19751,10887,2566,4419,36.8091003333333,1.0402708250988
"ABHD3",3.984849,5.25904,2.915345,4.053078,43,53,50,"Abhd3",14.353249,12.050526,13.142816,749,205,280,13.182197,0.35629726480319
"ABHD4",36.086594,26.455903,21.679738,28.0740783333333,296,237,316,"Abhd4",50.359455,48.462447,50.512159,4010,834,1505,49.7780203333333,0.572572111761663
"ABHD5",2.814933,3.503613,4.082079,3.466875,117,93,117,"Abhd5",30.875776,28.899154,33.675929,1450,328,540,31.1502863333333,0.138937331807486
"ABHD6",11.831495,8.409419,12.306665,10.849193,138,99,156,"Abhd6",12.397356,10.977638,11.245281,974,215,348,11.5400916666667,0.944904815289096
"ABHD8",3.366122,1.881682,2.264601,2.504135,60,36,33,"Abhd8",37.222072,31.595592,35.732559,2814,569,1151,34.8500743333333,0.0977441487964186
"ABI1",12.69711,14.372399,14.823763,13.964424,447,426,457,"Abi1",73.499723,76.395454,73.837698,3519,880,1307,74.577625,0.198000717805038
"ABI2",23.445738,22.714472,18.676018,21.612076,1466,1126,1250,"Abi2",33.5103,22.271769,32.250394,3171,695,1283,29.3441543333333,0.745187219640536
"ABI3",0,0.122185,0,0.0407283333333333,0,1,0,"Abi3",0.648225,0.232863,1.080233,18,6,10,0.653773666666667,0.629305179003737
"ABI3BP",2.697237,9.393819,2.628398,4.90648466666667,50,93,34,"Abi3bp",1.766439,2.649653,2.136867,308,112,149,2.18431966666667,1.85486549246155
"ABITRAM",13.474933,12.693075,15.766697,13.978235,185,143,177,"Abitram",3.739558,3.621243,4.375773,439,119,176,3.91219133333333,3.04919617001889
"ABL1",20.002516,27.75208,18.375548,22.0433813333333,1348,1318,1125,"Abl1",8.536541,8.902709,11.083969,1262,319,543,9.50773966666667,2.19299126780168
"ABL2",7.647104,11.288064,8.405532,9.11356666666667,1295,1485,1218,"Abl2",5.264426,4.654585,6.798877,2047,472,841,5.57262933333333,1.53873984881139
"ABLIM1",13.234586,13.893529,13.950169,13.6927613333333,1252,905,1223,"Ablim1",44.867705,42.117908,43.063424,9236,2061,3536,43.349679,0.331293521500648
"ABLIM2",2.618199,1.169305,2.227903,2.00513566666667,73,27,55,"Ablim2",27.7936,29.426839,21.693994,1532,345,560,26.304811,0.110058834198364
"ABLIM3",39.693627,31.45544,35.010631,35.386566,1694,1071,1302,"Ablim3",13.169178,12.081958,12.860354,2375,528,912,12.70383,2.65521142629469
"ABO",0.081458,0.061784,0.056364,0.0665353333333333,8,5,5,"Abo",0.10168,0,0.037192,7,0,1,0.0462906666666667,1.01934898906359
"ABR",198.031654,211.438013,200.361185,203.276950666667,1298,1199,1252,"Abr",59.447352,52.550682,58.358209,10128,2156,3916,56.7854143333333,3.53509537005829
"ABRA",0,0,0,0,0,0,0,"Abra",0.017227,0,0.044071,2,0,2,0.0204326666666667,0.979976467498427
"ABRACL",16.160065,20.958007,19.636272,18.9181146666667,132,135,145,"Abracl",37.088713,47.865666,52.35161,184,56,84,45.768663,0.425885911398978
"ABRAXAS1",3.82892,6.035163,5.406464,5.09018233333333,107,132,131,"Abraxas1",3.576158,3.463709,2.394861,158,35,60,3.14490933333333,1.46931617643747
"ABRAXAS2",5.545332,5.945653,7.320012,6.27033233333333,243,210,286,"Abraxas2",19.151046,15.849001,18.553229,1604,384,645,17.851092,0.385671680629076
"ABT1",4.559478,4.690372,4.720066,4.65663866666667,202,168,186,"Abt1",1.783222,1.437852,1.858162,334,66,136,1.69307866666667,2.10043573426992
"ABTB1",6.145615,3.499741,5.352266,4.99920733333333,109,78,105,"Abtb1",46.710301,42.045226,46.427737,1463,361,559,45.061088,0.130244585914543
"ABTB2",1.812701,1.607969,1.602889,1.67451966666667,139,98,106,"Abtb2",16.08518,16.368571,14.737303,2968,692,1128,15.7303513333333,0.15986034084879
"ACAA1",38.003127,38.829187,39.570663,38.8009923333333,550,465,521,"Acaa1a",25.849155,26.174187,25.673361,1300,309,546,25.898901,1.47965124423981
"ACAA1",38.003127,38.829187,39.570663,38.8009923333333,550,465,521,"Acaa1b",0.255714,0.200968,0.42739,5,3,3,0.294690666666667,30.7417002053515
"ACAA2",13.362606,16.013843,12.490575,13.9556746666667,285,274,234,"Acaa2",48.921519,40.774913,50.141634,1806,371,659,46.6126886666667,0.314111113769911
"ACACA",42.363631,48.905645,32.241697,41.1703243333333,1667,1457,1400,"Acaca",28.483863,24.922881,36.571534,7673,1813,3098,29.9927593333333,1.3606508500835
"ACACB",3.811888,6.196471,2.56891,4.192423,69,75,51,"Acacb",2.097291,2.286744,2.776692,428,116,205,2.386909,1.5330860675619
"ACAD10",21.73928,19.257871,23.277153,21.424768,392,285,343,"Acad12",3.621239,3.400602,3.793902,278,56,108,3.60524766666667,4.86939457400156
"ACAD10",21.73928,19.257871,23.277153,21.424768,392,285,343,"Acad10",5.900381,5.058764,3.772682,398,85,139,4.910609,3.79398603426483
"ACAD11",13.192374,11.007639,9.386726,11.1955796666667,340,270,275,"Acad11",8.306437,8.234552,10.686786,908,217,371,9.075925,1.21036824576073
"ACAD8",26.483493,20.192299,24.101738,23.59251,534,375,468,"Acad8",19.029721,18.683449,17.581744,1000,249,370,18.431638,1.26559119720118
"ACAD9",19.252462,17.316786,16.985834,17.851694,406,304,324,"Acad9",35.76316,32.365758,33.771603,1593,407,659,33.9668403333333,0.539130611181617
"ACADL",0.207989,0.400506,0.246715,0.28507,5,7,5,"Acadl",73.220247,63.531695,77.515492,4260,1046,1720,71.422478,0.0177440766387474
"ACADM",27.650351,25.508799,28.982212,27.380454,462,377,403,"Acadm",104.286834,133.069582,89.941463,2042,555,727,109.099293,0.257771446361604
"ACADS",4.599063,3.579749,4.281652,4.153488,112,71,98,"Acads",9.784882,10.757871,9.318308,551,138,214,9.953687,0.470479757181303
"ACADSB",2.345294,3.480124,2.567987,2.79780166666667,193,175,184,"Acadsb",96.232375,126.89331,108.03208,1698,455,653,110.385921666667,0.0340958858160905
"ACADVL",487.069067,525.545782,529.790065,514.134971333333,2890,2306,2580,"Acadvl",42.023617,41.941155,42.073591,3114,819,1237,42.0127876666667,11.9763214448094
"ACAN",13.521626,21.358045,13.180758,16.020143,1180,1435,924,"Acan",0.130892,0.191164,0.119876,36,15,14,0.147310666666667,14.8348163182771
"ACAP1",8.203837,7.799579,5.089685,7.03103366666667,31,27,34,"Acap1",0.091783,0.232758,0.226778,10,6,5,0.183773,6.78426832396639
"ACAP2",4.317336,5.926497,4.813944,5.019259,442,447,434,"Acap2",20.793923,20.213468,20.579347,2488,592,1000,20.5289126666667,0.279589549792714
"ACAP3",268.243739,185.674788,241.306196,231.741574333333,3432,1616,2456,"Acap3",26.341607,23.504182,26.967993,2641,611,998,25.604594,8.74817237704636
"ACAT1",56.259875,44.471839,63.751794,54.827836,369,255,375,"Acat1",45.268253,39.492711,43.532401,3117,754,1257,42.764455,1.27564335029421
"ACAT2",25.297509,32.783013,27.509826,28.530116,501,530,488,"Acat2",118.574216,110.048324,111.242826,6929,1639,2550,113.288455333333,0.258382317915423
"ACAT2",25.297509,32.783013,27.509826,28.530116,501,530,488,"Acat3",0.439284,0.279318,1.026169,16,4,8,0.581590333333333,18.6711535709521
"ACBD3",54.125804,44.820301,37.958539,45.6348813333333,793,793,708,"Acbd3",19.496714,17.2792,18.511416,2687,586,1015,18.42911,2.40025823793953
"ACBD4",3.937219,4.63266,2.073499,3.54779266666667,64,68,45,"Acbd4",125.69735,116.889252,125.849008,2023,465,730,122.81187,0.0367314754770012
"ACBD5",7.912379,6.095147,7.392269,7.133265,308,226,288,"Acbd5",54.568877,48.479724,53.439881,5713,1396,2284,52.1628273333333,0.152987818894659
"ACBD6",24.856558,25.060157,20.197148,23.3712876666667,434,305,343,"Acbd6",31.172844,27.736285,33.386355,1047,224,446,30.7651613333333,0.767233240559437
"ACBD7",0.811197,0.918754,0.914356,0.881435666666667,39,38,35,"Acbd7",2.097597,1.943282,1.424488,26,6,7,1.821789,0.666752782247952
"ACCS",23.189882,13.116107,20.465664,18.9238843333333,320,206,258,"Accs",5.583149,6.109839,6.953522,303,83,147,6.21550333333333,2.76126049880558
"ACCSL",0,0,0,0,0,0,0,"Accsl",0.399985,0.65421,0.94449,14,3,7,0.666228333333333,0.600157841512318
"ACD",8.520872,12.288536,11.733328,10.8475786666667,141,109,166,"Acd",9.397863,8.513551,9.52039,513,112,212,9.14393466666667,1.16794705959594
"ACE",1.303784,1.277742,1.252099,1.277875,41,16,21,"Ace",1.529936,1.266676,2.28227,228,53,111,1.69296066666667,0.845862707240928
"ACE2",0,0.275135,0.093605,0.122913333333333,0,1,2,"Ace2",0.39351,0.513533,0.554108,55,13,29,0.487050333333333,0.75512799275344
"ACER1",0.050862,0,0,0.016954,1,0,0,"Acer1",0.010316,0,0,1,0,0,0.00343866666666667,1.01346901787055
"ACER2",0.79589,1.105758,0.950331,0.950659666666667,33,37,35,"Acer2",1.42388,1.059207,1.465725,188,45,74,1.31627066666667,0.842155320938313
"ACER3",2.862275,3.818158,3.438456,3.372963,324,261,332,"Acer3",11.530842,8.637076,12.811604,2090,500,908,10.993174,0.364620991907563
"ACHE",23.639298,15.646921,24.253111,21.1797766666667,666,324,578,"Ache",38.543926,55.551307,51.784107,3098,717,1169,48.6264466666667,0.44693461161233
"ACIN1",177.532807,182.921232,142.933279,167.795772666667,3282,2682,2593,"Acin1",47.715773,48.866846,39.717388,3077,703,1044,45.4333356666667,3.63522823082127
"ACKR1",7.550579,5.560224,10.119254,7.74335233333333,197,125,214,"Ackr1",401.909922,315.577281,419.361754,3251,659,1169,378.949652333333,0.0230118708614127
"ACKR2",0.359601,0.085355,0.268785,0.237913666666667,6,3,9,"Ackr2",0.230189,0,0.108776,12,0,5,0.112988333333333,1.11224316517244
"ACKR3",0.58853,1.270426,0.550161,0.803039,17,15,14,"Ackr3",1.643219,1.944276,2.196828,207,60,91,1.92810766666667,0.615769365493505
"ACKR4",0,0,0,0,0,0,0,"Ackr4",0.241529,0.299142,0.237301,17,5,6,0.259324,0.794076822168084
"ACLY",146.457605,153.677986,123.036365,141.057318666667,4402,3834,3894,"Acly",260.392702,266.512395,241.396209,29254,7300,11058,256.100435333333,0.552536282105038
"ACMSD",0,0.090128,0.068505,0.0528776666666667,0,2,1,"Acmsd",0.189202,0.252901,0.032532,16,5,1,0.158211666666667,0.909054620125567
"ACO1",7.828545,10.438737,8.19943,8.82223733333333,589,574,554,"Aco1",7.573506,6.423898,6.797077,1067,248,407,6.93149366666667,1.23838431273202
"ACO2",44.21915,38.397711,34.421423,39.0127613333333,1102,814,929,"Aco2",152.882375,199.289559,138.928187,10153,2348,3906,163.700040333333,0.242943239433046
"ACOD1",0,0,0,0,0,0,0,"Acod1",0,0,0,0,0,0,0,1
"ACOT1",3.574162,4.075885,3.688916,3.77965433333333,68,59,57,"Acot3",0.045948,0,0.019346,4,0,1,0.0217646666666667,4.67784264739369
"ACOT1",3.574162,4.075885,3.688916,3.77965433333333,68,59,57,"Acot2",1.608437,2.231103,1.605401,127,42,54,1.81498033333333,1.69793524904437
"ACOT1",3.574162,4.075885,3.688916,3.77965433333333,68,59,57,"Acot1",7.148477,6.705464,7.257272,166,41,75,7.037071,0.594701021470799
"ACOT1",3.574162,4.075885,3.688916,3.77965433333333,68,59,57,"Acot5",0.022455,0,0.05176,1,0,1,0.0247383333333333,4.66426811397381
"ACOT11",0.37798,0.458171,0.465699,0.43395,35,34,33,"Acot11",5.597158,7.963591,11.898845,600,147,282,8.48653133333333,0.151156407923458
"ACOT12",0.838379,0.711122,0.64397,0.731157,19,13,12,"Acot12",0.253707,0.347489,0.164709,20,3,8,0.255301666666667,1.37907647696902
"ACOT13",12.191412,9.46509,13.396844,11.6844486666667,229,175,231,"Acot13",205.896612,167.600238,198.430747,1013,228,414,190.642532333333,0.066188066460132
"ACOT2",21.539035,15.077116,15.11408,17.2434103333333,178,108,135,"Acot1",7.148477,6.705464,7.257272,166,41,75,7.037071,2.26990782255542
"ACOT2",21.539035,15.077116,15.11408,17.2434103333333,178,108,135,"Acot5",0.022455,0,0.05176,1,0,1,0.0247383333333333,17.8029939350371
"ACOT2",21.539035,15.077116,15.11408,17.2434103333333,178,108,135,"Acot3",0.045948,0,0.019346,4,0,1,0.0217646666666667,17.8548064231359
"ACOT2",21.539035,15.077116,15.11408,17.2434103333333,178,108,135,"Acot2",1.608437,2.231103,1.605401,127,42,54,1.81498033333333,6.48083047590267
"ACOT4",0.146906,0.447474,0.101508,0.231962666666667,5,12,3,"Acot4",0.992779,0.335627,0.515927,108,21,53,0.614777666666667,0.762930211445002
"ACOT6",0,0.122286,0,0.040762,0,1,0,"Acot6",2.60611,2.315262,2.593869,342,74,141,2.50508033333333,0.296929571086388
"ACOT7",38.203304,38.030315,39.780133,38.6712506666667,695,547,661,"Acot7",344.989077,443.110743,384.06596,14119,3064,5131,390.721926666667,0.101274010888915
