"Hs_symbol","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Hs_Avg_TPM","FoldChange"
"MCUR1","Mcur1",5.640599,5.764871,4.966038,98,449,247,5.45716933333333,5.876498,9.599232,10.406696,236,206,187,12.332404,0.484321457205567
"MDC1","Mdc1",3.864959,4.998299,3.859159,151,601,341,4.24080566666667,47.376805,15.7688,50.182071,653,587,523,24.339341,0.206824860467629
"MDFI","Mdfi",5.921254,4.905756,6.002763,25,121,83,5.60992433333333,24.553456,37.630771,23.878936,312,436,252,0.51715,4.35680343626756
"MDFIC","Mdfic",2.057017,3.957065,2.60049,28,157,97,2.871524,2.631301,2.143692,1.682635,92,108,67,0.498875,2.58295321491118
"MDGA1","Mdga1",17.231456,10.501424,16.452405,114,501,303,14.7284283333333,45.92517,30.691103,13.614772,894,330,652,7.736793,1.80025191547211
"MDGA2","Mdga2",11.764338,11.562109,13.282673,274,1060,593,12.20304,2.480522,3.895379,3.512448,180,151,148,0.0984136666666667,12.020098074769
"MDH1","Mdh1",745.026909,691.52626,683.945615,3955,15043,8463,706.832928,100.740544,91.568772,121.495116,1143,860,1208,0.44776,488.915930817263
"MDH1B","Mdh1b",0.190061,0.52778,0.44373,2,21,10,0.387190333333333,0.742516,0.291139,1.022785,15,6,12,0.550291,0.894793515109959
"MDH2","Mdh2",289.515224,320.604041,316.529702,1254,5429,3041,308.882989,85.81628,84.823537,96.876514,1235,926,1142,0.387145,223.396248409503
"MDK","Mdk",20.928441,23.477713,27.485593,80,343,224,23.9639156666667,40.509941,41.995305,46.790037,332,306,323,85.7042556666667,0.287920304196372
"MDM1","Mdm1",7.860257,3.931477,5.645697,40,166,76,5.812477,4.518638,5.111403,6.854525,82,79,72,37.7189646666667,0.17594677591844
"MDM2","Mdm2",22.920376,20.242869,22.167293,210,790,474,21.776846,68.830401,110.161257,86.186962,1293,1363,1247,3.58320333333333,4.96963462963677
"MDM4","Mdm4",15.475897,20.220258,24.292189,403,2210,1146,19.9961146666667,13.443287,10.512566,8.952584,972,709,807,0,20.9961146666667
"MDP1","Mdp1",13.556865,14.016978,13.87456,144,566,317,13.8161343333333,9.814879,7.27945,10.027782,49,28,42,0,14.8161343333333
"ME1","Me1",28.114296,26.867607,27.190341,499,1783,1040,27.390748,1.6234,2.720776,2.003243,79,107,86,0.0179823333333333,27.8892344890072
"ME2","Me2",6.911827,7.049735,8.947213,119,458,328,7.63625833333333,23.514141,26.558065,24.376191,974,864,938,0,8.63625833333333
"ME3","Me3",23.179997,22.068716,24.388545,151,671,385,23.2124193333333,6.627298,9.650677,6.498091,149,182,117,7.19398133333333,2.9549029157336
"MEA1","Mea1",44.341801,48.791534,51.653203,172,759,439,48.2621793333333,21.212075,24.977115,22.18493,282,263,262,12.7172543333333,3.59125653984739
"MEAF6","Meaf6",39.703941,47.386075,48.615504,303,1359,752,45.2351733333333,17.341177,18.854597,21.43885,373,343,387,0.569992666666667,29.4492925444662
"MEAK7","Meak7",1.507846,3.228829,2.68234,31,179,90,2.473005,10.871522,9.776653,9.515245,352,274,318,3.360279,0.796509810496071
"MECOM","Mecom",2.493005,2.26403,1.270099,23,120,76,2.00904466666667,0.580636,0.774774,0.179756,12,19,4,1.263747,1.329231873821
"MECP2","Mecp2",15.038815,15.214414,17.267584,1005,4078,2590,15.840271,14.769877,31.10593,29.393954,868,743,694,0.0425963333333333,16.1522446047352
"MECR","Mecr",18.855046,17.115247,17.525335,50,227,138,17.831876,11.926151,9.258203,11.696287,116,81,117,0,18.831876
"MED1","Med1",9.799217,15.176434,18.125105,260,1075,632,14.3669186666667,7.638545,9.813042,7.398364,898,879,756,0,15.3669186666667
"MED10","Med10",24.292621,19.077042,20.342999,70,235,149,21.237554,18.032395,18.922812,17.356118,224,190,191,3.12034466666667,5.39701306541184
"MED11","Med11",7.996498,5.589244,7.148569,30,100,66,6.911437,8.080941,7.604314,8.612014,77,57,65,0.731157,4.57002859937025
"MED12","Med12",5.939863,7.827784,9.630002,197,869,593,7.79921633333333,35.180765,37.309714,34.14333,756,677,617,105.914524666667,0.082301411906073
