"Hs_symbol","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Hs_Avg_TPM","FoldChange"
"ABCD4","Abcd4",4.797787,5.916789,4.686713,66,317,152,5.133763,49.321733,40.153747,59.337327,485,502,452,7.31561533333333,0.737619857836939
"ABCE1","Abce1",21.471621,21.878849,23.233798,536,2036,1236,22.194756,40.838605,40.205738,45.232008,918,1004,713,42.16418,0.537361210151565
"ABCF1","Abcf1",62.771934,40.780579,54.400409,408,1580,966,52.650974,46.260735,63.760304,59.860432,625,761,519,22.990304,2.23636073973885
"ABCF2","Abcf2",35.004874,31.624163,32.51526,585,2023,1175,33.048099,26.268774,19.429182,42.181654,443,535,432,3.782833,7.11881410034597
"ABCF3","Abcf3",165.753745,270.992357,262.995844,349,1659,960,233.247315333333,49.775637,52.727308,46.588001,554,722,457,125.126357,1.8572431718878
"ABCG1","Abcg1",29.852875,28.362905,37.823919,513,2100,1285,32.013233,7.097047,8.637267,8.443098,274,360,227,41.110303,0.783970445427571
"ABCG2","Abcg2",17.188758,17.152966,20.431548,142,476,266,18.2577573333333,0.071606,0.158845,0.025076,4,11,1,15.829827,1.14426353481431
"ABCG5","Abcg5",0,0.0174,0.094988,0,1,2,0.0374626666666667,0.093551,0.161392,0.087861,3,7,2,106.982320666667,0.00960770856063778
"ABCG8","Abcg8",0,0.017747,0,0,1,0,0.00591566666666667,0.279919,0.336852,0.476524,19,25,16,28.449329,0.0341575071767057
"ABHD1","Abhd1",0.959765,1.019278,1.583523,7,31,26,1.187522,1.219066,0.595476,1.404846,17,18,14,36.4106556666667,0.0584732333881309
"ABHD10","Abhd10",15.744209,13.053989,13.082247,155,575,337,13.9601483333333,20.734833,22.479951,21.319982,502,570,353,52.0153973333333,0.282184970514729
"ABHD11","Abhd11",10.616167,13.349118,17.343117,58,295,193,13.7694673333333,5.79209,6.6316,4.983045,56,74,48,1.01128866666667,7.34328571433306
"ABHD12","Abhd12",194.435324,224.464164,226.37899,1076,4396,2480,215.092826,62.698382,74.955257,56.465736,591,762,413,0.094133,197.501424415496
"ABHD13","Abhd13",8.065108,8.209743,8.759599,280,1053,639,8.34481666666667,2.86622,3.359063,3.388676,195,241,166,18.541765,0.478197167280779
"ABHD14A","Abhd14a",9.111682,11.625296,10.462999,55,273,135,10.3999923333333,25.012009,25.594496,21.460029,268,287,164,6.37133133333333,1.54653098847725
"ABHD14B","Abhd14b",9.900957,11.07616,10.725091,59,304,184,10.5674026666667,1.988993,2.13046,2.242736,33,40,33,43.3670903333333,0.260720335270127
"ABHD15","Abhd15",0.570942,0.544336,0.246583,10,30,9,0.453953666666667,0.139043,0.156659,0.265244,6,8,8,171.852216666667,0.00841154192121536
"ABHD16A","Abhd16a",84.799733,87.707752,104.500541,575,2204,1387,92.3360086666667,34.317671,41.166479,61.739668,552,678,517,1.33119033333333,40.037918539756
"ABHD16B","Abhd16b",0,0.023675,0,0,1,0,0.00789166666666667,0,0,0,0,0,0,13.7652813333333,0.0682609185638273
"ABHD17A","Abhd17a",50.597266,51.472563,50.283643,341,1219,660,50.7844906666667,13.189788,17.685175,18.251272,437,578,391,27.7386756666667,1.80190942920624
"ABHD17B","Abhd17b",18.422878,19.350962,20.248798,254,954,572,19.3408793333333,9.608137,10.13461,9.429544,351,345,244,83.284592,0.241335680112604
"ABHD17C","Abhd17c",8.088749,7.811635,8.308212,110,387,234,8.069532,26.356909,23.923575,30.757178,465,485,360,9.65143666666667,0.851484385048527
"ABHD18","Abhd18",4.632635,4.799454,5.02948,98,410,194,4.820523,3.898036,4.946809,4.114577,195,202,135,0.774971333333333,3.2792208475104
"ABHD2","Abhd2",11.033863,14.096476,15.211377,518,2535,1550,13.4472386666667,24.811763,18.501694,16.975591,1534,1881,1288,18.620664,0.736327713815734
"ABHD3","Abhd3",55.682784,53.328998,62.270616,427,1662,1021,57.0941326666667,2.112366,4.383957,4.812756,34,41,40,113.561289333333,0.507100897735474
"ABHD4","Abhd4",31.723046,34.102686,39.716449,385,1661,1007,35.180727,5.832204,5.914283,14.836758,103,107,75,4.12357966666667,7.06161109104774
"ABHD5","Abhd5",21.566522,17.853184,20.208764,143,531,290,19.8761566666667,6.272151,9.717485,9.994526,224,264,185,34.890834,0.5816570511197
"ABHD6","Abhd6",17.385249,17.188792,18.917148,233,860,531,17.8303963333333,12.738211,13.156293,8.173231,201,211,124,2.239496,5.81275492648651
"ABHD8","Abhd8",65.067793,67.246917,70.625685,840,3106,1873,67.6467983333333,7.19407,9.390167,9.704944,145,236,124,0.103042,62.234074797998
"ABI1","Abi1",61.894673,67.568242,60.34268,492,1777,1100,63.2685316666667,19.731057,19.365981,20.50402,618,612,424,74.8551316666667,0.847253577372781
"ABI2","Abi2",21.449798,32.690883,39.515265,634,2558,1589,31.2186486666667,50.424881,51.894418,63.248999,3251,3183,2502,23.8258956666667,1.29778393896685
"ABI3","Abi3",0.868416,1.488242,0.946114,10,26,22,1.100924,0,0.209091,0.075429,0,3,1,19.957815,0.100245373861731
"ABITRAM","Abitram",7.381211,4.320135,5.156999,87,384,238,5.61944833333333,12.878776,15.022405,19.706706,130,158,143,9.75406533333333,0.6155298603976
"ABL1","Abl1",17.901029,13.698011,17.087719,305,1363,769,16.2289196666667,23.387004,25.535463,27.529949,995,1264,955,3.58069533333333,3.76120182918372
"ABL2","Abl2",4.995949,5.682749,8.350547,342,1365,865,6.34308166666667,4.876134,5.408775,4.808567,785,862,542,0,7.34308166666667
"ABLIM1","Ablim1",34.801176,35.93125,43.941288,1345,5168,3521,38.2245713333333,100.860799,75.151885,120.837451,7750,6453,5627,2.363428,11.662081463713
"ABLIM2","Ablim2",45.109793,56.693162,60.767226,382,1889,1015,54.1900603333333,19.980956,30.901303,25.59889,462,672,364,50.8898673333333,1.06359995061849
"ABLIM3","Ablim3",9.713718,10.446052,13.010561,280,1148,806,11.056777,48.422608,52.934019,47.138285,1626,2148,1222,6.19063333333333,1.67673366740992
"ABO","Abo",0,0.04772,0,0,2,0,0.0159066666666667,0.839964,0.413628,1.770949,23,39,31,151.788392,0.00664910896285018
"ABR","Abr",72.847619,78.817078,72.995401,1670,6447,3704,74.8866993333333,591.586845,672.731938,685.513728,3340,3625,3006,1389.66802333333,0.0545685225086561
"ABRA","Abra",0.104979,0.014323,0.024908,2,1,1,0.04807,0.028665,0.053548,0.080009,1,2,2,535.157017,0.00195478183958935
"ABRACL","Abracl",23.553344,24.607412,18.383949,18,67,32,22.1815683333333,19.223716,14.20645,19.051796,138,111,99,11.5527636666667,1.84673024593708
"ABRAXAS1","Abraxas1",2.527091,2.89354,2.878353,15,97,65,2.766328,4.102444,3.794132,3.584166,77,83,56,0.999892666666667,1.88326506855868
"ABRAXAS2","Abraxas2",17.910056,12.732544,10.244335,210,637,376,13.6289783333333,9.187908,9.791007,10.77312,353,405,295,35.14397,0.404741879028046
"ABT1","Abt1",2.169662,2.135689,2.150485,66,245,139,2.15194533333333,4.88843,4.285503,5.231131,188,179,143,2.10201733333333,1.01609533237081
"ABTB1","Abtb1",20.252164,25.862883,30.335142,130,636,382,25.4833963333333,2.982307,4.057105,10.245762,62,115,92,8.11133266666667,2.90664355064341
"ABTB2","Abtb2",4.467642,5.02184,4.513611,139,562,291,4.66769766666667,1.344934,1.96267,3.69669,85,140,90,0,5.66769766666667
"ACAA1","Acaa1b",0.263199,0.567147,0.28493,3,22,6,0.371758666666667,46.486176,54.061449,53.958237,591,740,475,11.3941106666667,0.110678265150233
"ACAA2","Acaa2",16.960302,15.003065,16.159893,87,361,209,16.0410866666667,7.463552,10.616386,8.612113,146,199,117,87.1742526666667,0.193266017587795
"ACACA","Acaca",19.485886,15.979125,16.156752,704,2629,1715,17.2072543333333,87.127535,78.297049,72.405289,3380,3012,2176,1.909915,6.25697119446215
"ACACB","Acacb",2.347324,2.448333,1.442423,63,283,136,2.07936,3.694984,3.933355,3.564281,62,63,54,1.682011,1.14815338192125
"ACAD10","Acad10",0.953402,2.089012,1.322435,20,83,38,1.45494966666667,11.611479,11.630295,14.269463,185,171,157,11.8460196666667,0.191105862389177
"ACAD11","Acad11",11.510665,10.029851,9.42974,198,617,402,10.3234186666667,6.956361,6.78533,9.702243,123,171,123,28.4638313333333,0.384315893563243
"ACAD8","Acad8",22.587965,18.479586,22.129273,169,624,442,21.065608,28.56967,26.216904,35.090426,521,559,449,0.17684,18.7498793378879
"ACAD9","Acad9",33.288168,40.760278,41.790665,258,1076,590,38.613037,16.730664,15.138342,15.036653,348,375,288,0.081864,36.6155422493031
"ACADL","Acadl",23.989554,27.786441,27.839466,286,1063,571,26.538487,0.288112,0.704497,0.707281,9,17,9,18.6455233333333,1.40176907139319
"ACADM","Acadm",53.479148,49.461303,49.645235,187,658,428,50.8618953333333,34.991444,30.116255,36.311604,538,526,442,0.361587666666667,38.0892810672247
"ACADS","Acads",7.376174,4.693633,4.113654,41,181,88,5.394487,1.771714,2.673468,3.757556,38,59,46,28.0018226666667,0.22048569407155
"ACADSB","Acadsb",192.571336,128.986745,179.660881,434,1410,912,167.072987333333,5.696079,5.142362,5.947202,415,396,308,2.81618,44.0422064298155
"ACADVL","Acadvl",27.327889,26.55274,25.529242,288,1140,639,26.469957,236.028354,256.563668,245.533457,1257,1410,953,17.6677166666667,1.47152206616949
"ACAN","Acan",1.886721,2.604057,2.264707,54,340,200,2.25182833333333,0.108891,0.370897,0.103268,8,10,6,3.98894966666667,0.65180620182645
"ACAP1","Acap1",0,0.039392,0.070892,0,2,3,0.0367613333333333,9.140538,8.118628,5.692809,23,41,22,0.258482,0.823818960726759
"ACAP2","Acap2",22.737422,25.4554,28.768513,509,2068,1130,25.6537783333333,19.442193,11.477702,6.945933,361,356,272,59.4039493333333,0.441258868459859
"ACAT1","Acat1",27.981588,41.326883,51.020392,423,1692,1035,40.109621,122.137156,118.34408,129.991315,655,741,527,6.29316433333333,5.63673312722557
"ACAT2","Acat2",21.793864,27.314291,29.301711,186,906,543,26.136622,150.038137,113.788996,97.188096,2596,2136,1199,33.8141496666667,0.779471055873077
"ACBD3","Acbd3",11.640037,11.430117,12.696939,265,965,610,11.9223643333333,55.57853,50.960754,31.733687,687,749,476,93.2477886666667,0.137110530826743
"ACBD5","Acbd5",36.358403,38.338337,37.022115,721,2219,1388,37.2396183333333,22.086031,24.008406,24.78825,786,939,654,58.196314,0.64597971984089
"ACBD6","Acbd6",35.945392,35.894611,35.871149,188,692,414,35.9037173333333,44.648742,40.179244,47.697377,561,617,466,0.328216333333333,27.7844176488318
"ACBD7","Acbd7",0.489517,0.389686,0.926633,1,3,4,0.601945333333333,1.043718,2.012931,2.647439,46,68,57,10.4382076666667,0.140052128796519
"ACCS","Accs",4.011864,4.156498,4.12503,21,102,76,4.09779733333333,2.852259,6.929111,6.720408,40,71,38,5.38913033333333,0.79788595119701
"ACCSL","Accsl",0,0.036953,0.308815,0,2,4,0.115256,0,0.041683,0,0,1,0,0.0218153333333333,1.09144574720938
"ACD","Acd",12.505277,15.687622,17.331572,102,490,312,15.1748236666667,10.823814,17.900748,15.750557,143,186,143,14.7655226666667,1.02596177803007
"ACE","Ace",7.222874,11.540329,13.795783,209,1077,644,10.8529953333333,7.650195,4.932748,4.196313,104,116,46,7.34964133333333,1.41958137603036
"ACE2","Ace2",0.85973,0.864133,0.577398,15,60,28,0.767087,0.257103,0.077158,0.190801,1,1,1,0.266672333333333,1.3950624431417
"ACER1","Acer1",0,0.018434,0.02977,0,1,1,0.016068,0.061841,0,0.249022,1,0,3,0,1.016068
"ACER2","Acer2",4.509376,2.843414,1.85398,75,244,99,3.06892333333333,1.702671,1.924675,1.809561,61,75,46,90.6698553333333,0.0443867105335529
"ACER3","Acer3",5.509058,6.757561,6.453785,157,709,365,6.24013466666667,5.618697,5.605735,6.031901,410,489,347,1.13353,3.39350028669232
"ACHE","Ache",62.86421,90.196685,78.823217,529,2718,1405,77.294704,123.812487,148.175891,116.216143,2791,3847,1730,34.2847416666667,2.21893941408574
"ACIN1","Acin1",53.375948,57.667286,55.722878,628,2276,1280,55.588704,89.895784,89.267185,92.097629,1572,1683,1229,9.22705566666667,5.53323516018801
"ACKR1","Ackr1",233.645771,184.25091,183.13379,246,1171,640,200.343490333333,9.846748,12.019005,14.314649,231,292,219,243.496532666667,0.823502436363112
"ACKR2","Ackr2",0.05344,0.027932,0.673087,1,2,1,0.251486333333333,0.432002,0.122803,0.473199,14,5,6,0.588990666666667,0.78759829090668
"ACKR3","Ackr3",2.177535,2.34772,3.084983,44,180,134,2.536746,0,0.074184,0.633304,0,2,7,10.1824796666667,0.316275647747657
"ACKR4","Ackr4",1.74279,0.892203,0.91059,13,41,19,1.181861,0.106321,0,0,3,0,0,80.0208846666667,0.0269296121484792
"ACLY","Acly",62.900693,84.057985,88.066181,1466,6929,3937,78.3416196666667,254.093676,248.408509,244.338036,6921,7108,4396,0.0215826666666667,77.6653933700259
"ACMSD","Acmsd",0,0.12895,0.079902,0,6,3,0.0696173333333333,0.255707,0.275251,0.059046,1,2,1,3.448074,0.240467522197997
"ACO1","Aco1",6.130113,9.373893,10.179954,158,755,490,8.56132,9.414829,8.829655,9.906688,628,626,488,5.19530633333333,1.54331674425139
"ACO2","Aco2",282.147415,284.798699,303.885091,2956,11701,6722,290.277068333333,76.722101,90.811985,92.660824,1805,2351,1468,6.22008466666667,40.3426111715957
"ACOD1","Acod1",0,0.015449,0,0,1,0,0.00514966666666667,0,0,0,0,0,0,0,1.00514966666667
"ACOT1","Acot3",0.109079,0.207848,0.217536,1,10,7,0.178154333333333,2.580575,3.185492,1.979403,39,58,23,0,1.17815433333333
"ACOT11","Acot11",18.795607,22.115918,27.499553,496,1856,1128,22.8036926666667,0.582734,0.576701,0.609753,40,51,26,0.104451666666667,21.5524982985524
"ACOT12","Acot12",0.049362,0.069376,0.069691,1,3,3,0.0628096666666667,0.331608,0.188218,0.467097,5,2,2,24.8123303333333,0.0411744950162126
"ACOT13","Acot13",91.817633,140.443014,291.317742,173,570,376,174.526129666667,4.473594,5.647834,5.032359,165,201,127,0,175.526129666667
"ACOT2","Acot2",1.585568,1.620148,1.475092,22,79,41,1.56026933333333,14.610747,12.124256,16.719956,110,123,100,2.16443566666667,0.809076120681655
"ACOT4","Acot4",0.107848,1.515178,1.377756,5,43,25,1.00026066666667,0.210825,0.819407,0.499504,6,26,10,9.039828,0.199232563213898
"ACOT6","Acot6",1.879721,2.153377,2.397557,42,175,111,2.14355166666667,0.113721,0.104565,0.160646,1,1,1,3.375098,0.718510000614082
"ACOT7","Acot7",251.136288,215.300178,179.593733,1118,4564,2557,215.343399666667,141.034258,158.621084,147.569266,2164,2658,1722,98.3865763333333,2.17678692282418
"ACOT8","Acot8",10.297145,8.541505,9.081612,50,177,114,9.306754,15.109551,19.026084,18.961389,206,295,187,15.260072,0.633868902917527
"ACOT9","Acot9",5.697424,9.097912,8.198204,61,348,179,7.66451333333333,19.733347,15.220957,15.831859,376,398,279,35.6773823333333,0.236235870231633
"ACOX1","Acox1",43.253675,46.046219,46.908816,1058,3903,2410,45.4029033333333,26.69153,36.454793,34.43575,665,715,462,26.745508,1.67244742223978
"ACOX2","Acox2",0.063548,0.608585,0.661379,1,12,5,0.444504,0,0.720589,0,0,2,0,57.9517596666667,0.0245031532250728
"ACOX3","Acox3",9.973444,19.362258,19.637784,198,866,525,16.3244953333333,9.956542,12.099373,8.284384,181,210,142,15.4454126666667,1.0534545824106
"ACOXL","Acoxl",0.106043,0.028109,0.049084,1,2,1,0.0610786666666667,0.165362,0.317846,0.200234,4,5,4,0.798546666666667,0.589964489847358
"ACP1","Acp1",70.115091,40.378466,30.815997,259,1021,517,47.1031846666667,61.586263,66.10944,74.714785,798,920,684,37.79657,1.23988240884869
"ACP2","Acp2",27.545288,17.097309,16.681153,483,1845,1102,20.44125,115.861262,97.504509,108.715051,595,540,395,0.343451333333333,15.9598263576847
"ACP4","Acp4",0.146144,0,0,1,0,0,0.0487146666666667,0.140216,0.12039,0.201053,2,2,2,3.97132866666667,0.210952591748443
"ACP5","Acp5",0,0.131785,0.116811,0,4,2,0.0828653333333333,0.900021,1.872376,0.519606,4,9,1,0.278413,0.847038737351179
"ACP6","Acp6",3.569569,7.034978,8.482897,33,199,122,6.36248133333333,5.681603,4.537779,4.413437,128,125,95,0.136560666666667,6.47786039871167
"ACP7","Acp7",0.80189,0.547356,0.878533,3,17,13,0.742593,0.348403,0.256502,0.265236,13,11,7,64.0608963333333,0.0267840300120058
"ACR","Acr",0.262898,0.331001,0.321071,1,11,6,0.30499,0,0.561401,0,0,4,0,10.252389,0.115974483285283
"ACRBP","Acrbp",4.871569,6.490464,4.630272,25,115,59,5.33076833333333,0.871936,1.387368,0.356541,8,10,2,3.504024,1.40558050608375
"ACRV1","Acrv1",0,0.036969,0,0,3,0,0.012323,0.419432,0.594965,0.365907,5,9,3,10.3117143333333,0.0894933314410963
"ACSBG1","Acsbg1",94.207837,117.349815,128.950509,1456,5807,3500,113.502720333333,0.253329,0.789068,1.028992,21,18,25,40.2530823333333,2.77561612022413
"ACSBG2","Acsbg2",0,0.015367,0.027109,0,1,1,0.0141586666666667,0.326791,0.354839,0.057953,2,2,1,76.3923933333333,0.0131041129881929
"ACSF2","Acsf2",13.151681,17.421665,16.907815,103,469,261,15.8270536666667,0.770281,0.767876,3.321446,2,5,7,1.372005,7.09402116212515
"ACSF3","Acsf3",6.433811,7.398949,7.850011,91,401,238,7.22759033333333,15.821189,18.561092,20.415246,217,288,178,0.0650203333333333,7.72528943891838
"ACSL1","Acsl1",34.24096,29.027217,22.595622,239,1064,585,28.6212663333333,62.19037,73.44608,83.471369,894,1047,659,0.0770176666666667,27.5030459110389
"ACSL3","Acsl3",164.82735,125.218524,133.505579,1233,3872,2280,141.183817666667,130.996535,121.985228,113.197501,2784,3004,2053,26.8095743333333,5.1127649766376
"ACSL4","Acsl4",15.650734,15.820655,27.954734,343,1313,799,19.8087076666667,61.049607,65.37075,77.690858,3385,3357,2270,14.52366,1.34045113502013
"ACSL5","Acsl5",23.386902,25.908157,26.057943,121,580,317,25.1176673333333,0.344508,0.341116,0.484939,7,4,5,5.10368066666667,4.27900290982894
"ACSL6","Acsl6",139.440799,134.120983,127.066489,2061,7719,4466,133.542757,16.646079,21.155853,18.209522,1030,1182,804,27.3279526666667,4.74946984637953
"ACSM1","Acsm1",0,0,0,0,0,0,0,0.124507,0.048926,0,1,1,0,112.344829333333,0.0088226344852408
"ACSM2B","Acsm2",0.021506,0.029627,0.030493,1,5,3,0.0272086666666667,0.143928,1.678159,1.180417,5,15,6,3.854172,0.211613570072644
