"Hs_symbol","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","FoldChange"
"ABCC2","Abcc2",0.003846,0.018808,0,1,1,0,0.00755133333333333,0.76203,0.4974,0.26218,0.507203333333333,0.668490648242551
"ABCC3","Abcc3",0.252275,0.270166,0.237298,18,12,7,0.253246333333333,0.34788,1.1606,1.76972,1.09273333333333,0.598856200821892
"ABCC5","Abcc5",10.385666,13.130438,7.183393,582,426,255,10.2331656666667,56.07537,36.86278,41.27163,44.7365933333333,0.245605648518641
"ABCC6","Abcc6",0,0,0,0,0,0,0,1.49093,1.93433,0.74285,1.38937,0.418520363108267
"ABCC9","Abcc9",19.684747,22.99213,23.672163,4837,5123,4198,22.1163466666667,4.50591,6.68725,4.85035,5.34783666666667,3.64161018635745
"ABCD1","Abcd1",2.313105,2.752033,3.025499,286,317,273,2.696879,5.74835,9.11898,4.91589,6.59440666666667,0.48678970751281
"ABCD2","Abcd2",0.907229,0.389841,2.345446,72,65,60,1.214172,2.31922,2.81859,2.81844,2.65208333333333,0.60627641756988
"ABCD3","Abcd3",13.628574,15.300532,16.369644,1441,1359,1208,15.0995833333333,15.57189,20.36572,16.73588,17.55783,0.86753587748855
"ABCD4","Abcd4",0.85394,1.106506,1.124445,67,57,53,1.028297,152.14069,105.3933,111.73274,123.08891,0.0163455138738829
"ABCE1","Abce1",6.423351,6.420801,6.784214,778,717,590,6.54278866666667,13.71652,12.73894,10.83681,12.4307566666667,0.561605638004511
"ABCF1","Abcf1",14.572771,13.528038,17.357068,822,833,714,15.1526256666667,49.05146,56.31661,38.89016,48.0860766666667,0.329067360106121
"ABCF2","Abcf2",7.208005,7.781313,7.405033,605,609,448,7.46478366666667,28.19506,21.08419,28.0315,25.77025,0.316201143682508
"ABCF3","Abcf3",56.843927,45.142544,60.394936,472,407,364,54.1271356666667,78.67118,63.80522,52.65465,65.0436833333333,0.83470716477806
"ABCG1","Abcg1",0.251662,0.952119,0.477321,40,67,36,0.560367333333333,18.12303,12.51787,7.14443,12.59511,0.114774160218883
"ABCG2","Abcg2",10.269557,11.087051,8.296503,328,289,209,9.88437033333333,17.85798,27.32931,8.2587,17.81533,0.57848415804205
"ABCG5","Abcg5",0,0,0,0,0,0,0,0.28162,0.1658,0.28403,0.243816666666667,0.803977006257621
"ABCG8","Abcg8",0,0,0,0,0,0,0,0.29819,0,0.15294,0.150376666666667,0.86928049653302
"ABHD1","Abhd1",0.884254,0.707662,0.256382,35,26,7,0.616099333333333,10.0886,9.45058,8.8923,9.47716,0.1542497521593
"ABHD10","Abhd10",2.955729,5.14223,4.358272,111,153,102,4.152077,22.52954,22.41058,17.95939,20.9665033333333,0.234542426794979
"ABHD11","Abhd11",8.843995,9.876887,10.511257,261,260,220,9.74404633333333,16.91372,21.94082,33.27512,24.04322,0.429020163275063
"ABHD12","Abhd12",14.072634,12.994731,16.910777,328,371,288,14.6593806666667,139.31873,160.19007,140.39784,146.635546666667,0.106067820523079
"ABHD13","Abhd13",1.612849,1.579601,1.789031,270,250,213,1.66049366666667,2.55114,2.18303,2.97138,2.56851666666667,0.74554609524966
"ABHD14A","Abhd14a",2.996884,2.658814,3.062354,93,81,73,2.90601733333333,100.62092,85.88421,147.54227,111.349133333333,0.0347667776105082
"ABHD14B","Abhd14b",2.264105,1.928432,2.675018,78,66,63,2.289185,17.4604,16.66286,17.12915,17.0841366666667,0.181882334812407
"ABHD15","Abhd15",0.151803,0.17299,0.243191,13,15,13,0.189328,2.79963,4.11736,1.83527,2.91742,0.303599818247724
"ABHD16A","Abhd16a",14.283377,10.868275,15.117416,382,329,324,13.4230226666667,76.41823,54.02305,65.08639,65.17589,0.217949810220409
"ABHD16B","Abhd16b",0.017708,0,0.024841,1,0,1,0.014183,8.61424,10.05851,6.77301,8.48192,0.106959666396679
"ABHD2","Abhd2",1.304402,1.438202,1.694681,300,309,284,1.479095,19.76305,20.08939,15.7964,18.5496133333333,0.126810436489451
"ABHD3","Abhd3",0.888587,0.607436,0.76617,29,24,18,0.754064333333333,9.04495,19.39856,10.05027,12.83126,0.126818838871754
"ABHD4","Abhd4",7.115654,8.510248,7.961919,372,402,389,7.862607,36.0804,28.37937,21.43328,28.6310166666667,0.29909898467878
"ABHD5","Abhd5",15.998376,19.309326,20.137932,581,531,496,18.481878,7.91847,8.78738,8.08391,8.26325333333333,2.10313561542093
"ABHD6","Abhd6",1.14656,1.497619,1.057626,62,71,46,1.233935,19.4483,16.1931,16.18967,17.2770233333333,0.122226412871388
"ABHD8","Abhd8",1.768592,1.567081,2.48411,113,106,108,1.93992766666667,83.24335,93.48336,137.25167,104.65946,0.0278245569934454
"ABI1","Abi1",6.582961,5.608406,7.829215,235,207,167,6.67352733333333,43.51847,43.99217,49.00597,45.5055366666667,0.165002446662086
"ABI2","Abi2",3.10948,2.06312,2.241759,181,174,166,2.471453,73.75113,74.22297,58.16045,68.7115166666667,0.0497974103274662
"ABI3","Abi3",1.239273,1.75973,1.679233,55,64,50,1.559412,6.44411,3.67523,2.97138,4.36357333333333,0.477184116061929
"ABL1","Abl1",4.576983,4.469049,5.447473,515,535,499,4.83116833333333,25.67705,28.43464,26.69875,26.9368133333333,0.208727039256684
"ABL2","Abl2",1.102341,1.060429,1.307922,344,316,270,1.15689733333333,8.54797,5.94115,4.17305,6.22072333333333,0.298709316748968
"ABLIM1","Ablim1",34.740714,33.153558,32.594338,6250,5160,4006,33.4962033333333,67.88682,57.25614,45.24804,56.797,0.59685110530535
"ABLIM2","Ablim2",3.791717,5.042325,4.622022,160,167,153,4.48535466666667,193.90317,178.5662,144.28686,172.252076666667,0.0316611192904797
"ABLIM3","Ablim3",4.102483,4.042407,4.089614,594,546,424,4.078168,18.85193,25.06338,17.26024,20.39185,0.237387977196923
"ABO","Abo",0,0,0,0,0,0,0,0.89456,2.68043,0.69915,1.42471333333333,0.412419887436865
"ABR","Abr",2.378324,2.984923,3.713034,327,330,296,3.025427,299.60981,317.03652,304.52305,307.05646,0.0130671728163078
"ABRA","Abra",4.116302,4.098666,3.441195,388,344,235,3.88538766666667,0.14909,0.05527,0,0.06812,4.57381910896404
"ABRACL","Abracl",31.510388,28.625277,45.292012,127,91,115,35.142559,18.95132,11.68887,21.1711,17.27043,1.97819969207074
"ABT1","Abt1",0.499136,0.4238,0.530647,73,58,56,0.484527666666667,8.41545,8.04128,6.16125,7.53932666666667,0.173845986295563
"ABTB1","Abtb1",5.82147,7.44892,5.830129,156,143,134,6.36683966666667,115.24856,79.80489,91.19524,95.41623,0.0764066347197631
"ABTB2","Abtb2",1.685686,1.76883,2.249357,255,274,221,1.901291,6.80856,6.24512,9.94102,7.6649,0.334832600491639
"ACAA1","Acaa1b",0.028191,0.028929,0,1,1,0,0.01904,99.64354,88.26067,80.7517,89.55197,0.0112536480432176
"ACAA2","Acaa2",248.985981,224.128048,293.242253,7301,6225,5954,255.452094,63.01646,61.15243,33.38436,52.51775,4.79190724572689
"ACACA","Acaca",1.200972,0.900763,0.781195,175,153,147,0.960976666666667,36.95839,37.99575,40.70358,38.5525733333333,0.0495789907306495
"ACACB","Acacb",15.474208,14.95871,16.499206,4311,3965,3460,15.6440413333333,20.49195,31.50193,31.19952,27.7311333333333,0.579303334129991
"ACAD10","Acad10",0.598761,1.056781,1.076999,53,41,50,0.910847,24.91503,22.63165,26.08699,24.5445566666667,0.0748044691060731
"ACAD11","Acad11",20.220395,25.148927,24.795126,1888,1884,1652,23.3881493333333,18.22243,17.18789,9.94102,15.1171133333333,1.51318346089271
"ACAD8","Acad8",12.259437,10.062579,9.130213,439,390,308,10.4840763333333,43.56816,32.08223,31.52725,35.72588,0.312697104421551
"ACAD9","Acad9",14.866479,14.620374,16.037408,450,448,379,15.1747536666667,27.96314,25.78184,27.98781,27.2442633333333,0.572673943581936
"ACADL","Acadl",202.319337,208.242625,216.801061,9518,8357,7420,209.121007666667,1.32527,1.63036,0.52436,1.15999666666667,97.2783944111025
"ACADM","Acadm",734.222656,649.816797,808.160715,11829,9984,9558,730.733389333333,52.48059,49.82279,36.42129,46.2415566666667,15.4891887770845
"ACADS","Acads",43.777134,43.427381,54.486167,1956,1744,1558,47.2302273333333,17.75858,19.89596,16.93251,18.1956833333333,2.51255589581338
"ACADSB","Acadsb",128.314701,142.932978,153.196559,1614,1467,1364,141.481412666667,15.12461,11.57834,8.215,11.6393166666667,11.2728730851747
"ACADVL","Acadvl",139.431027,132.111617,154.831617,9440,8497,7659,142.124753666667,850.20868,1070.84452,774.50407,898.51909,0.159112524967832
"ACAN","Acan",0.015363,0.024935,0.010729,4,3,2,0.017009,0.71233,1.18823,1.63863,1.17973,0.466575676804008
"ACAP1","Acap1",0.252565,0.107747,0.114382,16,5,7,0.158231333333333,120.28457,95.39005,24.71054,80.1283866666667,0.0142765236795867
"ACAP2","Acap2",2.510354,3.088726,3.307991,345,341,264,2.96902366666667,6.75886,7.87548,5.09068,6.57500666666667,0.52396305921843
"ACAT1","Acat1",93.491079,94.716414,110.493341,5260,5078,4190,99.5669446666667,91.26122,90.63713,80.1181,87.3388166666667,1.13842304506003
"ACAT2","Acat2",0.66719,0.447738,1.304108,34,26,33,0.806345333333333,14.59451,10.77698,17.1073,14.1595966666667,0.1191552369797
"ACBD3","Acbd3",2.402008,2.812018,2.585089,261,286,201,2.599705,8.61424,9.22951,9.74439,9.19604666666667,0.35304909026832
"ACBD5","Acbd5",2.76439,3.148991,3.874531,318,223,239,3.26263733333333,27.4496,28.9044,23.68367,26.6792233333333,0.154001334575019
"ACBD6","Acbd6",7.456026,9.740249,9.378408,138,215,119,8.85822766666667,159.59532,134.10426,263.79763,185.832403333333,0.0527650851286129
"ACBD7","Acbd7",0.204416,0.219119,0.143098,2,2,1,0.188877666666667,60.8629,83.23141,60.76041,68.2849066666667,0.017159259120986
"ACCS","Accs",0.560678,1.577455,1.883585,37,56,40,1.34057266666667,16.40018,12.6284,11.6015,13.54336,0.160937545839934
"ACCSL","Accsl",0,0,0,0,0,0,0,0,0.0829,0,0.0276333333333333,0.973109734341042
"ACD","Acd",1.489058,1.256628,1.749415,61,49,54,1.498367,21.63499,14.56273,22.17613,19.45795,0.122122060128214
"ACE","Ace",5.44445,6.520775,5.744452,634,788,585,5.90322566666667,35.79878,27.88197,7.51585,23.7322,0.279118948846713
"ACE2","Ace2",0.168836,0.249512,0.378854,15,17,20,0.265734,0.66263,0.829,0,0.49721,0.84539510155556
"ACE3P","Ace3",0,0,0,0,0,0,0,0,0,0,0,1
"ACER1","Acer1",0.013295,0,0,1,0,0,0.00443166666666667,0.6295,0.3316,0.37142,0.444173333333333,0.695506310415186
"ACER2","Acer2",2.221571,2.142382,1.847638,289,254,156,2.07053033333333,1.95477,1.13296,1.42015,1.50262666666667,1.22692304618614
"ACER3","Acer3",0.926464,1.225774,1.221333,111,103,103,1.12452366666667,22.21479,21.27762,19.8602,21.1175366666667,0.0960560707408495
"ACHE","Ache",0.171761,0.250681,0.356746,15,19,19,0.259729333333333,124.93958,128.46708,62.90155,105.43607,0.0118355491078667
"ACIN1","Acin1",11.374627,9.188783,8.456991,624,549,377,9.673467,84.9662,86.90664,82.0626,84.6451466666667,0.124624306401639
"ACLY","Acly",5.502024,5.385161,3.778894,400,366,307,4.888693,34.88766,21.19472,31.22137,29.10125,0.195629517046634
"ACMSD","Acmsd",0,0.051825,0.043596,0,3,2,0.031807,0.0497,0.2487,0,0.0994666666666667,0.938461375212224
"ACO1","Aco1",3.025734,3.427605,3.641342,344,340,322,3.36489366666667,16.64867,16.08256,13.32753,15.35292,0.266918303683175
"ACO2","Aco2",417.561995,438.868693,454.781168,22690,21156,18663,437.070618666667,194.64864,168.23135,188.20215,183.694046666667,2.37187189610551
"ACOT1","Acot3",0.184964,0.130714,0.304544,11,9,16,0.206740666666667,2.23639,3.31599,4.85035,3.46757666666667,0.270110790861265
"ACOT11","Acot11",3.849478,4.688608,4.957258,323,275,216,4.498448,4.55561,7.12938,9.43851,7.04116666666667,0.683787344290837
"ACOT12","Acot12",0,0,0,0,0,0,0,0.0497,0,0,0.0165666666666667,0.983703315080172
"ACOT13","Acot13",395.632453,377.75228,442.9371,1311,1270,1043,405.440611,37.93578,57.75354,36.3339,44.00774,9.03046033859954
"ACOT2","Acot2",7.7519,7.104215,8.971836,492,470,388,7.94265033333333,8.051,10.61118,19.33584,12.6660066666667,0.654371869665901
"ACOT4","Acot4",0.165596,0.144667,0.185633,33,17,26,0.165298666666667,2.96529,3.31599,4.67556,3.65228,0.25047904826594
"ACOT6","Acot6",0.552336,0.322506,0.388205,56,33,27,0.421015666666667,1.62345,0.19343,0.26218,0.69302,0.839337790851063
"ACOT7","Acot7",12.066454,10.657095,11.339034,443,375,355,11.3541943333333,154.75809,102.10494,213.74293,156.868653333333,0.0782561583473316
"ACOT8","Acot8",1.641596,1.505389,1.975407,52,44,36,1.707464,66.89287,65.57375,49.87991,60.7821766666667,0.0438227357156349
"ACOT9","Acot9",4.072205,4.855018,4.790514,198,221,169,4.572579,13.46803,14.06534,14.22331,13.9188933333333,0.373524957615265
"ACOX1","Acox1",32.90367,31.658302,34.80923,3684,3423,2793,33.123734,62.50292,72.70314,76.18538,70.4638133333333,0.477496685501996
