"Hs_symbol","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","Spinal_cord","dHs_Avg__TPM","FoldChange"
"ABCB7",9.39283,10.44538,6.99149,8.94323333333333,9.12409,9.12409,0.982136007614841
"ABCB8",32.81693,34.40342,28.81804,32.0127966666667,16.97577,16.97577,1.83651641441044
"ABCB9",28.26133,22.82508,50.88493,33.9904466666667,19.58265,19.58265,1.69999716589782
"ABCC1",4.15803,4.17262,3.45205,3.92756666666667,4.2517,4.2517,0.93828030288605
"ABCC10",43.66756,37.52598,47.14886,42.7808,35.25497,35.25497,1.20758064342627
"ABCC11",0.89456,2.32119,0.45882,1.22485666666667,1.45861,1.45861,0.904924598316393
"ABCC12",0.19879,0.11053,5.26547,1.85826333333333,0.83793,0.83793,1.55515353323213
"ABCC13",0,0.11053,0.41512,0.175216666666667,0.49655,0.49655,0.785283930818661
"ABCC2",0.76203,0.4974,0.26218,0.507203333333333,0.83793,0.83793,0.820054808035852
"ABCC3",0.34788,1.1606,1.76972,1.09273333333333,9.86891,9.86891,0.192543073163117
"ABCC4",2.20326,1.54746,0.76469,1.50513666666667,2.23447,2.23447,0.774512259092422
"ABCC5",56.07537,36.86278,41.27163,44.7365933333333,21.22747,21.22747,2.057660783406
"ABCC6",1.49093,1.93433,0.74285,1.38937,1.48965,1.48965,0.959721245958267
"ABCC6P1",0.23192,1.46456,0.89578,0.864086666666667,0.62069,0.62069,1.15018089003243
"ABCC6P2",0.59637,0.4974,1.17981,0.75786,0,0,1.75786
"ABCC8",81.60333,51.53605,127.72577,86.95505,40.15839,40.15839,2.13698956640432
"ABCC9",4.50591,6.68725,4.85035,5.34783666666667,2.14137,2.14137,2.02072238121159
"ABCD1",5.74835,9.11898,4.91589,6.59440666666667,6.26893,6.26893,1.04477642055525
"ABCD1P2",0,0,0,0,0,0,1
"ABCD1P3",0,0,0,0,0,0,1
"ABCD1P4",0,0,0,0,0,0,1
"ABCD1P5",0,0,0,0,0,0,1
"ABCD2",2.31922,2.81859,2.81844,2.65208333333333,0.62069,0.62069,2.25341264111788
"ABCD3",15.57189,20.36572,16.73588,17.55783,22.4378,22.4378,0.791790611746836
"ABCD4",152.14069,105.3933,111.73274,123.08891,114.29935,114.29935,1.07623251995783
"ABCE1",13.71652,12.73894,10.83681,12.4307566666667,12.13441,12.13441,1.02256261732858
"ABCF1",49.05146,56.31661,38.89016,48.0860766666667,29.32742,29.32742,1.61853783363922
"ABCF2",28.19506,21.08419,28.0315,25.77025,13.28268,13.28268,1.87431560463442
"ABCF3",78.67118,63.80522,52.65465,65.0436833333333,52.78936,52.78936,1.22782058260841
"ABCG1",18.12303,12.51787,7.14443,12.59511,10.27236,10.27236,1.20605711669961
"ABCG2",17.85798,27.32931,8.2587,17.81533,26.44123,26.44123,0.685659134084004
"ABCG4",5.40046,4.36606,10.35614,6.70755333333333,1.36551,1.36551,3.25830511531692
"ABCG5",0.28162,0.1658,0.28403,0.243816666666667,0.06207,0.06207,1.17112494154497
"ABCG8",0.29819,0,0.15294,0.150376666666667,0,0,1.15037666666667
"ABHD1",10.0886,9.45058,8.8923,9.47716,8.37926,8.37926,1.11705614302194
"ABHD10",22.52954,22.41058,17.95939,20.9665033333333,12.59993,12.59993,1.61519238211765
"ABHD11",16.91372,21.94082,33.27512,24.04322,12.19648,12.19648,1.89771969494896
"ABHD12",139.31873,160.19007,140.39784,146.635546666667,242.09863,242.09863,0.607307193243609
"ABHD12B",20.59134,26.11344,20.07868,22.2611533333333,3.19653,3.19653,5.54294937325203
"ABHD13",2.55114,2.18303,2.97138,2.56851666666667,2.0793,2.0793,1.15887268751556
"ABHD14A",100.62092,85.88421,147.54227,111.349133333333,68.67892,68.67892,1.61238339132313
"ABHD14A-ACY1",1.17617,2.54226,0.61176,1.44339666666667,2.66895,2.66895,0.665966193779328
"ABHD14B",17.4604,16.66286,17.12915,17.0841366666667,19.67575,19.67575,0.874654446231293
"ABHD15",2.79963,4.11736,1.83527,2.91742,2.48274,2.48274,1.12480977621068
"ABHD16A",76.41823,54.02305,65.08639,65.17589,94.22016,94.22016,0.694977723204834
"ABHD16B",8.61424,10.05851,6.77301,8.48192,4.31377,4.31377,1.78440542213908
"ABHD2",19.76305,20.08939,15.7964,18.5496133333333,5.2448,5.2448,3.13054274489709
"ABHD3",9.04495,19.39856,10.05027,12.83126,7.97582,7.97582,1.54094667673817
"ABHD4",36.0804,28.37937,21.43328,28.6310166666667,24.02055,24.02055,1.18426719902906
"ABHD5",7.91847,8.78738,8.08391,8.26325333333333,29.73087,29.73087,0.30143153556451
"ABHD6",19.4483,16.1931,16.18967,17.2770233333333,34.57222,34.57222,0.513800469392502
"ABHD8",83.24335,93.48336,137.25167,104.65946,21.91022,21.91022,4.61189198532358
"ABI1",43.51847,43.99217,49.00597,45.5055366666667,28.64467,28.64467,1.56876553750359
"ABI2",73.75113,74.22297,58.16045,68.7115166666667,34.38601,34.38601,1.97003043481496
"ABI3",6.44411,3.67523,2.97138,4.36357333333333,12.78613,12.78613,0.389055763534316
"ABI3BP",23.63946,15.9444,9.15448,16.2461133333333,4.40687,4.40687,3.18966672646713
"ABL1",25.67705,28.43464,26.69875,26.9368133333333,29.04811,29.04811,0.929736124279808
"ABL2",8.54797,5.94115,4.17305,6.22072333333333,3.69308,3.69308,1.53858944090732
"ABLIM1",67.88682,57.25614,45.24804,56.797,41.71011,41.71011,1.35323931500059
"ABLIM2",193.90317,178.5662,144.28686,172.252076666667,26.78261,26.78261,6.23598994718879
"ABLIM3",18.85193,25.06338,17.26024,20.39185,56.73071,56.73071,0.370545416815418
"ABO",0.89456,2.68043,0.69915,1.42471333333333,1.36551,1.36551,1.02502772481762
"ABP1",0.21536,0.38687,0.15294,0.251723333333333,0.06207,0.06207,1.17856952303834
"ABR",299.60981,317.03652,304.52305,307.05646,123.85792,123.85792,2.46725606193023
"ABRA",0.14909,0.05527,0,0.06812,0.06207,0.06207,1.00569642302296
"ABRACL",18.95132,11.68887,21.1711,17.27043,5.05859,5.05859,3.01562409735599
"ABT1",8.41545,8.04128,6.16125,7.53932666666667,4.43791,4.43791,1.57033247454751
"ABT1P1",0,0,0,0,0,0,1
"ABTB1",115.24856,79.80489,91.19524,95.41623,48.9411,48.9411,1.93059884543993
"ABTB2",6.80856,6.24512,9.94102,7.6649,42.02045,42.02045,0.201413513805644
"AC000041.8",0,0,0,0,0,0,1
"AC000059.1",0,0,0,0,0,0,1
"AC000077.2",0,0,0,0,0,0,1
"AC000078.5",0.61294,1.29876,0.85209,0.921263333333333,0,0,1.92126333333333
"AC000081.2",0,0,0,0,0,0,1
"AC000089.3",0.38101,0.22107,1.02687,0.542983333333333,0.68275,0.68275,0.916941514386173
"AC000094.3",0,0,0,0,0,0,1
"AC000110.1",0,0,0,0,0,0,1
"AC000111.4",0,0,0,0,0,0,1
"AC000111.5",0,0,0,0,0,0,1
"AC000362.1",0,0,0,0,0,0,1
"AC000367.1",0,0,0,0,0.15517,0.15517,0.865673450660942
"AC000374.1",0,0,0,0,0,0,1
"AC002055.4",12.32499,16.1931,10.57463,13.0309066666667,19.36541,19.36541,0.68895773110714
"AC002056.3",0,0,0,0,0,0,1
"AC002069.5",0,0,0,0,0,0,1
"AC002069.6",0,0,0,0,0,0,1
"AC002075.3",0,0,0,0,0,0,1
"AC002075.4",1.72285,6.57672,0,2.76652333333333,3.04136,3.04136,0.931994015216
"AC002076.9",0.6792,0,0,0.2264,0,0,1.2264
"AC002127.2",0,0,0,0,0,0,1
"AC002128.4",0,0,1.17981,0.39327,0.34138,0.34138,1.03868404180769
"AC002310.10",0.44728,0,0,0.149093333333333,0,0,1.14909333333333
"AC002310.11",0.76203,0,0.85209,0.53804,0.93103,0.93103,0.796486848987328
"AC002310.13",0.66263,2.18303,1.63863,1.49476333333333,0,0,2.49476333333333
"AC002310.17",0,2.01723,0,0.67241,0,0,1.67241
"AC002314.4",0,0,0,0,0,0,1
"AC002365.1",0,0,0,0,0,0,1
"AC002366.3",0,0,0,0,0,0,1
"AC002398.9",12.39125,3.03966,5.39656,6.94249,10.7689,10.7689,0.674871058467656
"AC002400.1",0.18222,0,0.96133,0.381183333333333,0,0,1.38118333333333
"AC002429.4",0,0,0,0,0,0,1
"AC002472.13",0.97738,11.63361,0.41512,4.34203666666667,0.24827,0.24827,4.27955223362467
"AC002486.2",0,0,0,0,0,0,1
"AC002486.3",0,0,0,0,0,0,1
"AC002511.4",0,0,0,0,0.21724,0.21724,0.82153067595544
"AC002519.6",0.29819,0,0,0.0993966666666667,0.31034,0.31034,0.839016336726854
"AC002523.1",0,0,0,0,0,0,1
"AC002542.2",0,0,0,0,0,0,1
"AC002543.2",0,0,0,0,0,0,1
"AC002553.1",0,0,0,0,0,0,1
"AC002553.4",0,0,0,0,0,0,1
"AC002984.2",0.39758,0,0.83024,0.409273333333333,0,0,1.40927333333333
"AC002994.1",0.29819,0,0,0.0993966666666667,1.1793,1.1793,0.50447238409887
"AC003009.2",0,0,0,0,0,0,1
"AC003029.1",13.07045,15.22593,15.42497,14.5737833333333,6.67238,6.67238,2.0298503636855
"AC003045.1",0,0,0,0,0,0,1
"AC003079.1",1.15961,4.89109,0,2.0169,0,0,3.0169
"AC003080.4",0,0,0,0,0,0,1
"AC003087.4",0,0,0,0,0,0,1
"AC003101.1",0,0,0,0,0,0,1
"AC003102.1",0.18222,1.18823,0.87394,0.74813,0.31034,0.31034,1.33410412564678
"AC003682.1",0.48041,1.51983,0,0.666746666666667,0,0,1.66674666666667
"AC003958.6",0,0,0,0,0,0,1
"AC003989.3",0,0,0,0,0,0,1
"AC003989.4",0.26505,0,0,0.08835,0,0,1.08835
"AC004006.2",0,0,0,0,0,0,1
"AC004014.4",0,0,0,0,0,0,1
