"Hs_symbol","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","Heart","dHs_Avg__TPM","FoldChange"
"ABCA9",4.27399,5.11216,7.20997,5.53204,44.49278,44.49278,0.143584102796092
"ABCB1",56.67174,57.67064,29.77937,48.0405833333333,11.91703,11.91703,3.79658352836011
"ABCB10",4.88692,5.44375,6.03016,5.45361,14.34598,14.34598,0.420540753995509
"ABCB10P1",0.11596,0,0,0.0386533333333333,0.0759,0.0759,0.965380921399139
"ABCB10P3",0,0,0,0,0,0,1
"ABCB10P4",0,0,0,0,0.20241,0.20241,0.831663076654386
"ABCB11",0,0.13817,0,0.0460566666666667,0.06325,0.06325,0.983829453718943
"ABCB4",0.6295,3.48179,2.20669,2.10599333333333,7.66637,7.66637,0.358396114328529
"ABCB5",0.08283,0,0.08739,0.05674,0,0,1.05674
"ABCB6",81.18919,69.71874,70.61404,73.8406566666667,17.10385,17.10385,4.13396358601439
"ABCB7",9.39283,10.44538,6.99149,8.94323333333333,55.72667,55.72667,0.175283219221811
"ABCB8",32.81693,34.40342,28.81804,32.0127966666667,6.61636,6.61636,4.33445854275095
"ABCB9",28.26133,22.82508,50.88493,33.9904466666667,0.8223,0.8223,19.2012548244892
"ABCC1",4.15803,4.17262,3.45205,3.92756666666667,6.17358,6.17358,0.686904818328738
"ABCC10",43.66756,37.52598,47.14886,42.7808,5.79406,5.79406,6.44398194893775
"ABCC11",0.89456,2.32119,0.45882,1.22485666666667,0.10121,0.10121,2.02037455768352
"ABCC12",0.19879,0.11053,5.26547,1.85826333333333,0.24036,0.24036,2.30438206112204
"ABCC13",0,0.11053,0.41512,0.175216666666667,0,0,1.17521666666667
"ABCC2",0.76203,0.4974,0.26218,0.507203333333333,0.22771,0.22771,1.227654196295
"ABCC3",0.34788,1.1606,1.76972,1.09273333333333,1.12592,1.12592,0.984389503524749
"ABCC4",2.20326,1.54746,0.76469,1.50513666666667,2.60606,2.60606,0.694701881462501
"ABCC5",56.07537,36.86278,41.27163,44.7365933333333,58.93997,58.93997,0.763039977052597
"ABCC6",1.49093,1.93433,0.74285,1.38937,0.55663,0.55663,1.53496335031446
"ABCC6P1",0.23192,1.46456,0.89578,0.864086666666667,0.16446,0.16446,1.60081640130762
"ABCC6P2",0.59637,0.4974,1.17981,0.75786,0.15181,0.15181,1.52617185126019
"ABCC8",81.60333,51.53605,127.72577,86.95505,1.54339,1.54339,34.5818179673585
"ABCC9",4.50591,6.68725,4.85035,5.34783666666667,61.837,61.837,0.101020683143159
"ABCD1",5.74835,9.11898,4.91589,6.59440666666667,0.64519,0.64519,4.61612741790715
"ABCD1P2",0,0,0,0,0,0,1
"ABCD1P3",0,0,0,0,0,0,1
"ABCD1P4",0,0,0,0,0,0,1
"ABCD1P5",0,0,0,0,0,0,1
"ABCD2",2.31922,2.81859,2.81844,2.65208333333333,4.75669,4.75669,0.634406809005406
"ABCD3",15.57189,20.36572,16.73588,17.55783,69.59193,69.59193,0.262888831627071
"ABCD4",152.14069,105.3933,111.73274,123.08891,31.47513,31.47513,3.82104428835235
