"Hs_symbol","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Hs_Avg_TPM","FoldChange"
"CXCL16","Cxcl16",0.91408,0.652245,0.908543,22,30,32,0.824956,0.941305,2.161776,0.962689,16,33,7,2.905839,0.467237896902561
"CXCL17","Cxcl17",0,0,0,0,0,0,0,0,0,0,0,0,0,42.752555,0.0228558080779511
"CXCL2","Cxcl1",0,0.049934,0,0,1,0,0.0166446666666667,0.461003,0,0.116463,2,0,1,6.424405,0.136932813695733
"CXCL3","Cxcl2",0,0.227385,0,0,1,0,0.075795,0.085961,0,0,1,0,0,0.093649,0.983674835344795
"CXCL6","Cxcl5",0.250328,0.209664,0.162775,6,7,5,0.207589,0.243084,0.108076,0,4,2,0,5.50336233333333,0.185686870591607
"CXCL9","Cxcl9",0,0.288227,0,0,3,0,0.0960756666666667,0,0,0,0,0,0,12.0636186666667,0.0839029134755311
"CXCR1","Cxcr1",0,0,0,0,0,0,0,0,0,0,0,0,0,47.0761723333333,0.0208003248067787
"CXCR2","Cxcr2",0.273284,0.125688,0.107748,12,10,9,0.168906666666667,0,0.092016,0,0,4,0,45.3853706666667,0.0251998992325971
"CXCR3","Cxcr3",0.042024,0,0.045682,1,0,2,0.0292353333333333,0,0,0,0,0,0,0.460953333333333,0.704495694592116
"CXCR4","Cxcr4",0.852353,1.431028,1.618166,16,41,48,1.30051566666667,1.048821,4.102218,13.653199,21,89,192,12.386562,0.171852613588662
"CXCR5","Cxcr5",0.052573,0.287098,0,2,2,0,0.113223666666667,0,0,0,0,0,0,35.9913823333333,0.030094135348479
"CXCR6","Cxcr6",0,0.021683,0.086094,0,1,4,0.0359256666666667,0.055792,0.02558,0,2,1,0,0.409947333333333,0.73472649805832
"CXXC1","Cxxc1",14.90687,15.634131,18.593812,344,614,572,16.378271,36.458787,32.509457,37.770468,352,369,279,55.366819,0.308306754014272
"CXXC4","Cxxc4",6.725335,3.608633,3.699315,533,533,520,4.677761,10.32836,13.976918,7.516508,583,716,385,5.76172466666667,0.839691244452722
"CXXC5","Cxxc5",26.897117,19.32995,20.380806,864,1136,1078,22.2026243333333,100.31187,91.271219,80.774933,900,1066,513,0.439626666666667,16.1171120753529
"CXorf65","Gm614",0,0,0,0,0,0,0,0,0.677055,0,0,3,0,3.68463133333333,0.213463969487745
"CYB561","Cyb561",25.109192,20.045863,19.295842,862,1317,1193,21.4836323333333,29.13724,27.838105,25.008513,991,1004,491,36.516891,0.599293591074307
"CYB561A3","Cyb561a3",4.556735,3.441655,2.964033,120,213,190,3.654141,12.074344,13.036087,17.91063,278,255,248,20.027249,0.221338559314155
"CYB561D1","Cyb561d1",4.469429,3.504418,3.224493,229,314,309,3.73278,9.037397,9.568148,13.549899,444,512,353,36.7063363333333,0.125516835105937
"CYB561D2","Cyb561d2",10.495574,15.959831,15.434845,93,298,295,13.9634166666667,3.468756,5.073342,4.263963,44,56,42,8.589725,1.56035930818315
"CYB5A","Cyb5a",40.236045,57.060995,58.396407,369,818,820,51.8978156666667,32.595125,32.639979,45.340807,196,210,148,43.5707646666667,1.18682764503315
"CYB5B","Cyb5b",37.078557,27.682141,24.711123,2420,3171,2841,29.8239403333333,77.346926,65.670151,75.163043,1342,1183,857,0,30.8239403333333
"CYB5D1","Cyb5d1",26.416699,15.719956,14.913129,266,288,273,19.0165946666667,10.152193,6.637909,9.029058,301,278,218,2.12072966666667,6.41407516981338
"CYB5D2","Cyb5d2",5.28373,11.199626,8.88919,175,301,289,8.45751533333333,28.947223,26.522861,31.018373,507,529,320,82.9363633333333,0.112674828378912
"CYB5R1","Cyb5r1",22.675876,15.828116,17.221797,179,259,302,18.575263,27.225414,36.06524,32.004505,496,630,361,4.21093466666667,3.75657425245017
"CYB5R2","Cyb5r2",0.073868,0.377637,0.334637,3,11,11,0.262047333333333,0.019642,0.937094,1.811831,2,9,13,0.232969,1.0235839938663
"CYB5R3","Cyb5r3",21.070665,16.466919,17.710693,590,842,924,18.4160923333333,76.510464,84.454769,84.977005,1599,1938,1341,8.36738033333333,2.07273449378821
"CYB5R4","Cyb5r4",19.316353,18.240915,14.02,520,866,683,17.1924226666667,8.755017,6.461075,7.470087,472,409,343,0.251450333333333,14.5370712541262
"CYB5RL","Cyb5rl",3.491795,5.328413,5.079583,50,111,85,4.63326366666667,1.159083,1.768534,1.16836,71,79,48,0.805661,3.11977922027815
"CYBA","Cyba",4.591549,5.744425,7.547804,36,84,112,5.96125933333333,41.454023,60.024111,25.495161,38,66,30,1.65956533333333,2.61744249937584
"CYBB","Cybb",0.875309,0.226105,0.257827,14,22,17,0.453080333333333,0.520138,0.324074,0.539955,11,20,22,28.6983606666667,0.0489279643965084
"CYBC1","Cybc1",7.120915,7.781191,10.265946,230,373,426,8.38935066666667,96.564468,55.672736,80.869942,498,523,394,6.026179,1.3363380959504
"CYBRD1","Cybrd1",0.48092,0.300577,0.395291,39,43,57,0.392262666666667,0.652176,3.078261,2.242701,14,54,39,0.541345666666667,0.903277374294366
"CYC1","Cyc1",151.326805,219.502596,219.729061,1275,3460,3680,196.852820666667,38.044999,46.925883,46.143694,375,512,336,18.2897423333333,10.2568928733055
"CYCS","Cycs",17.238816,16.011855,15.192286,700,1174,1087,16.1476523333333,133.351783,167.244062,132.397219,3126,3864,2585,14.7846853333333,1.08634742924661
"CYFIP1","Cyfip1",34.429414,22.668888,17.644276,1181,1530,1462,24.9141926666667,24.241625,25.454599,28.370449,525,484,390,184.883882333333,0.139410648956624
"CYFIP2","Cyfip2",147.717536,63.687187,60.703521,13907,10323,10286,90.702748,133.320601,106.809452,126.179922,4615,4870,3407,44.9146313333333,1.997244567516
"CYGB","Cygb",20.32156,24.411861,25.318263,648,1468,1556,23.3505613333333,14.24424,26.908001,32.651784,292,582,441,17.3058566666667,1.33020605245279
"CYHR1","Cyhr1",43.493494,46.445948,44.210335,1543,2583,2538,44.7165923333333,17.355094,19.756832,23.934471,455,568,416,33.7294876666667,1.31636241720928
"CYLD","Cyld",24.420924,10.389351,8.434877,2499,1682,1359,14.4150506666667,7.888141,9.180482,21.297868,734,766,545,37.1767693333333,0.403780910115076
"CYP11A1","Cyp11a1",2.632462,1.51224,0.92641,33,35,38,1.69037066666667,0.501782,0.923584,1.137073,5,11,6,14.4840206666667,0.173751425717119
"CYP11B2","Cyp11b2",0,0,0,0,0,0,0,0,0,0,0,0,0,2.78159866666667,0.264438426217624
"CYP17A1","Cyp17a1",0,0,0.021962,0,0,1,0.00732066666666667,4.70665,0.034228,0.100553,2,1,1,68.738801,0.0144441925043516
"CYP19A1","Cyp19a1",6.293136,0.067242,0.054943,3,4,3,2.13844033333333,1.299456,0.684432,0.058584,9,5,2,0.389107666666667,2.25932115173218
"CYP1A1","Cyp1a1",0,0.044163,0.029144,0,3,2,0.0244356666666667,1.511132,2.658485,2.558112,34,62,39,1.41786466666667,0.423694378262693
"CYP1A2","Cyp1a2",0.036736,0,0,1,0,0,0.0122453333333333,0.195202,0.135008,0.155233,8,6,5,5.96771466666667,0.1452765191686
"CYP1B1","Cyp1b1",0.872023,0.617749,0.520649,68,84,72,0.670140333333333,3.438784,3.287045,6.440588,136,133,105,3.88312266666667,0.342023014235153
"CYP20A1","Cyp20a1",5.108434,4.614833,5.14598,162,252,280,4.95641566666667,4.522747,4.22417,3.665065,226,266,170,297.809608666667,0.0199338156936957
"CYP24A1","Cyp24a1",0.018724,0,0.020932,1,0,2,0.0132186666666667,1.902007,0.639706,0.084333,16,6,2,1.833129,0.35763237984104
"CYP26A1","Cyp26a1",0.249229,0.0444,0.108774,6,2,5,0.134134333333333,0,0.829922,1.5376,0,9,15,83.9950706666667,0.0133435306828696
"CYP26B1","Cyp26b1",2.397342,1.241636,1.565995,154,143,181,1.734991,0.471179,0.514052,0.715596,28,34,29,2.853338,0.709771891279716
"CYP27A1","Cyp27a1",4.862882,5.20075,3.704433,61,149,120,4.589355,0.759196,0.924036,0.306118,15,21,4,0.0770216666666667,5.18964025793353
"CYP27B1","Cyp27b1",0.243261,0,0,1,0,0,0.081087,1.32863,0.524925,1.489597,20,9,15,49.6946663333333,0.0213254584395825
"CYP2A13","Cyp2a5",0.757989,0.180702,0,3,1,0,0.312897,0.340733,0,0.233632,7,0,4,7.22271666666667,0.159667060561899
"CYP2B6","Cyp2b10",0,0.140062,0,0,1,0,0.0466873333333333,0.155487,0,0.199456,4,0,2,0.018209,1.02796904499305
"CYP2C18","Cyp2c55",0.035694,0,0,1,0,0,0.011898,0,0.031785,0,0,1,0,0.283963,0.788105264715572
"CYP2C8","Cyp2c29",0,0,0,0,0,0,0,5.012123,6.485787,8.080839,107,144,104,6.834088,0.127647276875113
"CYP2E1","Cyp2e1",0,0.1061,0.215468,0,4,4,0.107189333333333,2.510416,1.54171,1.126923,21,18,8,41.795624,0.0258715548424608
"CYP2J2","Cyp2j6",5.448019,6.729057,7.529664,296,636,709,6.56891333333333,0.050122,0.092204,0,1,2,0,1.591007,2.92122457922087
"CYP2R1","Cyp2r1",0.373906,0.054204,0.286967,10,1,6,0.238359,24.168046,19.149811,34.933964,241,226,197,40.3889303333333,0.0299200532612621
"CYP2S1","Cyp2s1",2.172848,2.378665,1.599958,59,103,94,2.05049033333333,5.346407,5.219312,7.681488,93,149,87,0.942382333333333,1.57048912615385
"CYP2U1","Cyp2u1",2.743113,1.688427,1.870198,114,117,124,2.10057933333333,4.47291,5.806138,5.154233,249,355,210,36.6771093333333,0.0822934505378898
"CYP2W1","Cyp2w1",0,0,0,0,0,0,0,0.289783,0.130853,0.05565,2,4,1,9.57612,0.0945526336690582
"CYP39A1","Cyp39a1",1.150691,1.09733,1.546719,40,60,78,1.26491333333333,0.286497,0.840484,0.401317,8,6,8,36.5818326666667,0.060266175772269
"CYP3A5","Cyp3a16",0,0,0,0,0,0,0,1.864275,2.107854,1.399577,63,71,49,5.15740033333333,0.162406201621561
"CYP3A7","Cyp3a13",0.366032,0.079225,0.06583,16,6,5,0.170362333333333,0.236994,0.131389,0.244541,1,1,1,0.216001333333333,0.962467968785122
"CYP46A1","Cyp46a1",61.412903,56.253789,46.802126,1746,3024,2547,54.8229393333333,22.093553,26.406129,25.96964,397,507,330,0.042774,53.53311391858
"CYP4A11","Cyp4a10",0,0,0,0,0,0,0,0.723709,4.482674,1.149683,19,45,21,196.665252666667,0.00505905811218299
"CYP4A22","Cyp4a12a",0,0,0,0,0,0,0,0.144141,0.310229,0.441153,5,11,10,10.6660876666667,0.0857185398029611
"CYP4B1","Cyp4b1",0.418519,0.324467,0.164427,8,12,7,0.302471,0,0,0,0,0,0,17.9112413333333,0.0688728453644256
"CYP4F12","Cyp4f14",2.750581,3.983439,3.662093,81,169,163,3.465371,0,0.049179,0,0,2,0,4.01924466666667,0.889649996473573
"CYP4X1","Cyp4x1",4.08514,3.264408,2.597025,258,334,290,3.31552433333333,7.683381,10.874285,9.748311,216,280,166,2.54531633333333,1.21724662275082
"CYP7A1","Cyp7a1",0,0,0,0,0,0,0,0.028101,0,0,1,0,0,50.3835293333333,0.0194614891770637
"CYP7B1","Cyp7b1",5.253733,5.457834,5.78751,162,293,307,5.49969233333333,0.715148,1.105073,0.809575,70,73,57,0.56663,4.14883688767184
"CYP8B1","Cyp8b1",0,0,0,0,0,0,0,0.020636,0.018728,0.066163,1,1,2,0.640827333333333,0.609448648060064
"CYREN","Cyren",1.449156,0.743571,0.798736,32,42,44,0.997154333333333,21.000864,21.194911,10.315842,101,123,96,23.4956033333333,0.0815311346349093
"CYS1","Cys1",5.534338,7.980418,6.444796,100,240,241,6.653184,0.032991,0.251457,0,1,3,0,66.4507003333333,0.113463373429466
"CYSLTR1","Cysltr1",0.15213,0.219976,0.134665,6,13,9,0.168923666666667,0.888939,0.886214,1.111208,35,38,31,25.8081236666667,0.0436033376002406
"CYSLTR2","Cysltr2",0.409442,0.023889,0.072903,6,1,3,0.168744666666667,0.063489,0.230698,0.04468,4,7,2,2.83713066666667,0.304588185338489
"CYSRT1","Cysrt1",3.740705,3.630548,4.735658,15,28,38,4.035637,1.569218,1.307009,2.50328,22,21,14,0.0933236666666667,4.60580627084813
"CYSTM1","Cystm1",43.386732,78.58012,91.523811,266,739,788,71.1635543333333,37.787326,47.813777,39.831378,292,388,215,6.57428033333333,9.52744698605249
"CYTH1","Cyth1",46.468822,38.165645,32.958184,813,1126,1128,39.1975503333333,35.895335,43.066018,38.143034,708,879,629,26.2630826666667,1.47443159032346
"CYTH2","Cyth2",82.422722,86.056223,83.189496,667,1220,1179,83.8894803333333,95.633547,78.531537,116.444687,1337,1258,1182,92.5293246666667,0.907624219846286
"CYTH3","Cyth3",13.624877,10.723684,11.322347,502,787,789,11.8903026666667,20.870235,31.443044,28.115444,652,892,622,7.67556666666667,1.4858167958289
"CYTH4","Cyth4",7.840357,11.837804,8.541808,110,181,209,9.40665633333333,2.209247,0.106898,0.226024,3,2,2,0.295561333333333,8.03254625279544
"CYTIP","Cytip",0.010581,0.319444,0.159547,1,8,5,0.163190666666667,0.072185,0.674611,0.050598,2,4,1,7.449271,0.137667577080516
"CYYR1","Cyyr1",1.580568,0.740207,1.811936,132,106,164,1.37757033333333,0.103891,0.168962,0.423038,4,7,7,12.5897353333333,0.174953394971685
"CZIB","Czib",36.516752,63.168109,61.195272,265,516,517,53.626711,16.297593,15.838098,18.200987,189,203,142,131.736134666667,0.411543632313697
"D2HGDH","D2hgdh",15.239229,8.195483,11.869418,113,204,201,11.7680433333333,22.413544,28.163167,52.015344,121,138,113,0,12.7680433333333
"DAAM1","Daam1",11.772821,5.585272,5.374849,1046,872,833,7.57764733333333,76.660324,81.010298,94.843935,1697,1773,1561,89.9323473333333,0.0943299891059669
"DAAM2","Daam2",13.099532,5.945316,6.246843,1419,1157,1184,8.43056366666667,0.118893,0.350453,0.400855,10,26,16,9.6593,0.884726357890918
"DAB1","Dab1",23.622689,11.581579,11.341811,1404,992,888,15.5153596666667,15.316986,8.574942,6.324382,817,586,284,74.021195,0.220142583261526
"DAB2","Dab2",7.018874,2.906314,2.200926,219,172,181,4.042038,1.840989,5.493052,2.129032,50,160,38,30.3274986666667,0.160946076597072
"DAB2IP","Dab2ip",22.381974,12.206159,11.175525,1503,1481,1406,15.2545526666667,36.571653,45.466158,39.245731,1331,1625,1048,11.5315426666667,1.29709111631587
"DACH1","Dach1",2.268538,1.019807,0.766584,167,131,94,1.351643,3.841696,5.425092,8.423833,248,384,366,0.449307666666667,1.62259750230167
"DACH2","Dach2",0.28866,0.291553,0.307703,14,23,13,0.295972,6.937689,8.056353,6.38376,420,493,285,177.521789,0.00725946119663858
"DACT1","Dact1",2.244341,1.133117,1.060724,105,103,101,1.479394,12.344281,13.184064,15.215619,479,526,431,42.0361373333333,0.0576119083549723
"DACT2","Dact2",13.591292,15.00526,12.157574,415,925,821,13.5847086666667,0.612802,1.056841,1.287993,20,31,26,16.287376,0.843662373437511
"DACT3","Dact3",40.981255,35.401417,33.349226,1179,2098,2111,36.5772993333333,27.478841,28.67913,35.420623,619,777,522,14.1920383333333,2.4734863425722
"DAD1","Dad1",44.213093,67.026309,64.057652,448,1243,1206,58.4323513333333,97.249812,114.950136,95.443888,435,503,265,121.376101,0.485653251310346
"DAG1","Dag1",18.881729,8.318705,7.879739,1602,1134,1224,11.693391,15.526975,16.263293,15.696155,875,1006,773,26.097128,0.468440456125092
"DAGLA","Dagla",18.801611,5.81672,5.398199,1604,881,880,10.00551,8.286893,10.088742,10.803429,630,865,579,3.45576466666667,2.46994866724709
"DAGLB","Daglb",6.816243,5.324117,4.917498,447,667,602,5.68595266666667,12.150044,13.916065,11.529684,309,379,255,48.5925836666667,0.134817591106079
"DALRD3","Dalrd3",36.931845,41.420351,40.313211,386,924,874,39.5551356666667,15.840419,17.582544,20.547822,184,207,144,10.734859,3.45595423572338
"DAND5","Dand5",4.586633,4.956971,5.467442,80,160,180,5.003682,0.228584,0.139759,0.40299,5,3,6,0,6.003682
"DAO","Dao",0.259143,0.490764,1.17375,4,22,51,0.641219,0.633513,0.429643,0.678402,12,7,6,0.657696,0.990060300561743
"DAP","Dap",5.343865,7.697457,5.602302,57,137,119,6.21454133333333,20.764634,19.039391,13.706643,313,384,274,0,7.21454133333333
"DAP3","Dap3",54.549249,72.97107,70.09712,673,1471,1403,65.8724796666667,232.217401,182.660333,238.051173,645,714,491,2.29082866666667,20.3208633570106
"DAPK1","Dapk1",24.642893,10.313781,9.39414,1356,1359,1137,14.7836046666667,23.402411,34.549869,58.154411,1000,1415,1040,0.086312,14.5295317244647
"DAPK2","Dapk2",0.942481,1.505367,1.20666,23,40,40,1.21816933333333,0.905627,0.487005,0.353479,11,18,6,1.90172266666667,0.76443188689753
"DAPK3","Dapk3",28.95495,37.082526,43.940328,238,570,584,36.659268,22.637973,23.623009,26.769068,260,381,261,1.85529733333333,13.1892631847331
"DAPL1","Dapl1",0.576677,1.100426,0.650281,3,10,6,0.775794666666667,0.484836,0,0,2,0,0,23.570806,0.0722725443628779
"DAPP1","Dapp1",1.573863,1.906338,1.08135,56,87,59,1.520517,0.054591,0.025105,0.037451,2,1,1,18.9632606666667,0.126257781335721
"DARS2","Dars2",13.290737,14.559593,11.658075,247,419,400,13.1694683333333,4.591405,6.577826,6.408848,135,184,133,25.0882553333333,0.543135911247726
"DAXX","Daxx",15.40726,11.74939,10.077419,231,396,357,12.4113563333333,10.404687,15.032457,15.173047,233,303,194,489.353467333333,0.0273503854398495
"DAZAP1","Dazap1",25.226879,16.870451,16.620364,309,451,445,19.5725646666667,27.180549,24.40248,30.183122,530,576,403,92.007732,0.221191982905966
"DAZAP2","Dazap2",63.322075,65.149809,62.524418,1519,2787,2628,63.665434,22.32021,25.377412,26.012901,350,450,269,11.647053,5.11308318230342
"DAZL","Dazl",1.394441,1.367167,0.668401,52,56,33,1.14333633333333,0,0,0,0,0,0,44.0676483333333,0.0475582022270299
"DBF4","Dbf4",0.513911,0.284327,0.404327,18,16,19,0.400855,4.473373,3.35277,4.140706,73,82,57,38.4861023333333,0.0354771658183499
"DBH","Dbh",0.162114,0.118439,0.116777,6,8,8,0.132443333333333,1.189454,1.073086,1.235707,42,42,31,56.134957,0.0198204985668114
"DBI","Dbi",290.233075,438.787426,528.06422,824,2264,2744,419.028240333333,98.374431,92.007431,78.80311,514,536,292,2.40134933333333,123.488709676787
"DBIL5P","Dbil5",1.49647,0.21091,1.34944,8,2,13,1.01894,1.648082,4.338967,0.491594,12,21,12,25.7177993333333,0.0755653553203072
"DBN1","Dbn1",72.583663,54.534913,46.685845,1785,2397,2349,57.934807,165.609503,172.121509,215.188056,2814,3124,2498,19.9880556666667,2.80801651834765
"DBNDD1","Dbndd1",8.454008,12.657712,13.682335,180,511,541,11.5980183333333,41.824869,50.688015,57.231997,1001,1344,944,34.1109163333333,0.358806310086904
"DBNDD2","Dbndd2",63.095204,79.42518,89.530077,1665,2963,3202,77.3501536666667,19.171068,19.707865,17.367004,226,270,149,29.227831,2.5919872870358
"DBNL","Dbnl",23.897032,26.974431,25.69825,688,1439,1406,25.5232376666667,43.975844,45.837996,45.11589,1590,1956,1348,38.7455603333333,0.667325795490735
"DBP","Dbp",35.659979,50.229148,53.072264,560,1595,1728,46.3204636666667,3.259137,3.817114,6.898023,38,47,49,2.856104,12.2715735018212
"DBR1","Dbr1",8.774861,6.204423,6.966479,130,184,177,7.31525433333333,3.497137,3.184094,7.634145,91,92,91,0.132582333333333,7.34185417572291
"DBT","Dbt",10.163713,5.511779,5.731156,249,303,299,7.13554933333333,3.308743,3.454977,3.370277,329,392,262,0.007775,8.07278344207123
"DBX1","Dbx1",0,0,0,0,0,0,0,0,0,0.114258,0,0,1,54.504808,0.0180164572409655
"DCAF1","Dcaf1",45.364729,28.98234,13.216202,473,517,461,29.187757,4.701637,5.21695,5.901351,302,365,262,5.81632366666667,4.42874465419311
"DCAF10","Dcaf10",3.774711,3.527947,2.92649,332,387,311,3.409716,11.248481,13.548712,11.574674,340,421,271,7.97302666666667,0.491441312258814
"DCAF11","Dcaf11",276.51863,205.409753,204.603041,908,1728,1650,228.843808,41.330585,39.794073,46.935966,773,800,657,30.4542226666667,7.30724807399469
"DCAF12","Dcaf12",12.646583,10.222701,10.053728,645,929,927,10.9743373333333,12.640317,12.935495,18.143816,533,593,483,16.9155713333333,0.668375968063834
"DCAF12L1","Dcaf12l1",16.543798,10.9639,9.130499,838,1009,823,12.2127323333333,0.047359,0.086589,0,2,4,0,0.300203666666667,10.1620482021919
"DCAF12L2","Dcaf12l2",0.696513,0.35504,0.211796,27,25,15,0.421116333333333,0.834964,1.217871,1.020922,28,46,24,2.74797666666667,0.379168938262689
"DCAF13","Dcaf13",10.538459,11.384094,10.251334,263,388,395,10.724629,11.716469,11.600675,16.03733,253,286,225,7.582198,1.36615689826779
"DCAF15","Dcaf15",4.717046,5.518193,5.247939,149,323,312,5.16105933333333,36.828101,37.482862,51.568395,475,544,429,81.015418,0.0751207453863533
"DCAF17","Dcaf17",1.771508,1.72111,2.15135,175,155,166,1.88132266666667,15.353257,20.410044,24.200866,394,395,361,44.312415,0.0635879298568983
"DCAF5","Dcaf5",35.232285,17.437752,18.698922,1316,1348,1319,23.789653,19.935509,24.07981,21.185474,1264,1368,978,8.398483,2.63762279508299
"DCAF6","Dcaf6",40.904719,29.491083,29.217904,1158,1722,1556,33.2045686666667,16.18622,18.703162,22.873551,551,610,516,11.538072,2.72805648800443
"DCAF7","Dcaf7",38.358859,15.847238,15.637424,3371,2484,2490,23.2811736666667,56.891329,53.345791,58.71429,3466,3830,2815,22.36814,1.03907173042727
"DCAF8","Dcaf8",58.292607,57.150871,60.806871,1875,3309,3288,58.7501163333333,77.27403,84.404744,98.520556,1049,1151,874,4.78882966666667,10.3216228104598
"DCAKD","Dcakd",15.300962,12.813514,12.989328,290,483,482,13.701268,11.16503,14.831849,19.880932,246,328,252,0.486142666666667,9.89223197055106
"DCBLD1","Dcbld1",2.602805,4.118673,5.625658,114,241,244,4.115712,8.40813,3.999006,5.36011,193,113,84,8.03080666666667,0.566473426884715
"DCBLD2","Dcbld2",8.200273,2.910823,2.419319,584,441,370,4.51013833333333,27.045209,37.104043,26.244016,1140,1606,684,86.1056003333333,0.0632581408341976
"DCC","Dcc",4.738226,0.670022,0.605385,434,190,170,2.00454433333333,4.835809,5.094664,5.142037,373,672,488,0,3.00454433333333
"DCDC2C","Dcdc2c",0,0.078255,0,0,3,0,0.026085,0.080592,0.109524,0,2,3,0,19.2454346666667,0.0506822904469129
"DCHS1","Dchs1",2.648645,0.554031,1.0928,255,148,189,1.43182533333333,13.584147,13.459193,16.34578,1954,2161,1660,14.1435056666667,0.16058536159736
"DCK","Dck",8.101517,7.533202,6.812981,348,563,498,7.48256666666667,220.650659,291.30269,261.583665,422,500,361,36.2267893333333,0.22786189243216
"DCLK1","Dclk1",197.844588,77.028827,65.096085,12222,8511,6979,113.323166666667,98.010315,86.517399,85.305408,7666,7383,5031,0.401919,81.5476262656164
"DCLK2","Dclk2",18.737428,10.372869,10.559176,931,858,925,13.2231576666667,26.045665,35.779229,40.09941,1097,1062,922,11.5016843333333,1.13769931214335
"DCLK3","Dclk3",9.541081,5.398426,3.716719,409,429,301,6.218742,0.302209,0.303602,0.193366,22,24,10,16.759431,0.406473720920451
"DCLRE1A","Dclre1a",3.136556,3.533554,2.994175,115,115,105,3.22142833333333,1.994564,2.485522,3.076593,117,156,128,12.071952,0.322937869824899
"DCLRE1B","Dclre1b",3.303546,4.150056,2.220023,105,179,134,3.22454166666667,2.345888,2.522861,3.887844,93,102,105,1.05674833333333,2.05399056277344
"DCLRE1C","Dclre1c",2.609206,2.399694,1.684358,116,94,87,2.231086,25.939573,15.037071,39.690736,133,158,120,100.601247333333,0.0318016371334444
"DCN","Dcn",17.121136,19.023002,15.375756,412,750,627,17.173298,1.403149,6.307057,3.423727,8,12,20,16.443406,1.04184343355879
"DCP1A","Dcp1a",7.150303,4.971121,3.812178,344,318,289,5.31120066666667,4.917087,7.732561,8.499445,276,338,256,60.6791343333333,0.102323107074736
"DCP1B","Dcp1b",3.957495,3.063163,2.914015,131,193,175,3.31155766666667,5.198978,6.766449,6.125847,103,121,76,11.4796546666667,0.345486937085118
"DCP2","Dcp2",11.028589,2.892166,3.673993,1478,671,645,5.864916,3.628468,3.999615,5.703048,492,565,498,2.81570466666667,1.79912142047332
"DCPS","Dcps",9.804845,11.831403,11.962441,137,305,323,11.199563,5.365319,5.748069,5.074496,132,128,88,4.046968,2.41720633061276
"DCST1","Dcst1",1.442168,0.995607,0.732435,48,58,44,1.05673666666667,0,0,0.110578,0,0,2,347.719503333333,0.00589796855927693
"DCSTAMP","Dcstamp",0.704866,0.403969,0.100234,2,3,5,0.403023,0.041638,0.200633,0.307318,1,2,1,1.048908,0.684766226692463
"DCT","Dct",1.431286,0.474243,0.686178,44,26,38,0.863902333333333,0.029935,0.030268,0.083828,2,2,4,3.31368466666667,0.432090539147739
"DCTD","Dctd",4.307906,2.642083,3.668721,63,92,100,3.53957,21.327655,27.925766,32.600261,315,422,309,8.66487833333333,0.469697583708158
"DCTN1","Dctn1",115.937304,67.920043,58.869886,4480,5113,4961,80.9090776666667,256.620026,315.842368,294.519166,6078,7405,5286,0.128060333333333,72.6105468354086
"DCTN2","Dctn2",89.750067,115.171693,114.146834,2185,5117,5164,106.356198,404.626756,480.2059,491.176188,1895,2226,1550,16.1487093333333,6.26030775338428
"DCTN3","Dctn3",89.225809,130.653695,124.940009,547,1154,1300,114.939837666667,85.207157,95.560361,112.578343,679,801,617,1.86750466666667,40.4323100200709
"DCTN4","Dctn4",27.358374,26.309948,24.033516,1366,2339,2121,25.9006126666667,38.240915,41.53609,47.109697,1465,1689,1199,186.200419,0.143699532353433
"DCTN5","Dctn5",41.15881,42.488711,38.330008,792,1497,1343,40.6591763333333,42.922273,43.5832,41.469888,2793,3163,2385,10.1371996666667,3.74054318681366
"DCTN6","Dctn6",86.116241,123.326552,115.751802,538,1149,1059,108.398198333333,32.630009,41.278496,41.513021,321,420,301,9.01621866666667,10.9221056342753
"DCTPP1","Dctpp1",9.304977,10.030145,11.945572,63,127,154,10.426898,30.405516,28.645023,32.622301,267,275,189,0.0179123333333333,11.2258174164966
"DCUN1D1","Dcun1d1",60.064319,34.351471,27.817475,759,889,824,40.7444216666667,15.81988,11.457384,16.983076,407,452,334,31.195319,1.2965991008403
"DCUN1D2","Dcun1d2",12.902228,12.004426,9.914866,491,851,717,11.6071733333333,30.912555,31.958732,22.42885,352,374,267,34.0260726666667,0.359936823443275
"DCUN1D3","Dcun1d3",8.43487,4.71485,3.338919,308,238,212,5.496213,4.303774,3.577363,4.290321,222,212,155,70.307901,0.091100886562346
"DCUN1D4","Dcun1d4",43.896031,27.758053,27.342116,1573,1911,1658,32.9987333333333,26.806474,26.654412,26.734872,868,916,727,50.4903153333333,0.66029374870275
"DCUN1D5","Dcun1d5",34.548324,29.092685,33.137396,345,543,607,32.2594683333333,56.212096,37.843417,50.715026,365,434,331,20.1908233333333,1.56952223187175
"DCX","Dcx",2.737446,0.640843,0.729349,338,158,164,1.36921266666667,135.048942,125.256849,168.817363,16363,16214,14476,14.1287846666667,0.156602973660321
"DCXR","Dcxr",4.592007,7.764897,7.812541,45,140,143,6.72314833333333,102.384954,121.389681,101.925102,248,291,193,7.734026,0.884259828552529
