"Mm_genes","Human_Symbol","mDRG1_read","mDRG1_TPM","mDRG2_read","mDRG2_TPM","mDRG3_read","mDRG3_TPM","mDRG_Avg_TPM","Hs_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","FoldChange"
"Abca12","ABCA12",22,0.0197793,21,0.0174382,18,0.0170492,0.0180889,"ABCA12",0.056593,0.012085,0.019841,6,3,5,0.0295063333333333,0.988909797867522
"Abca13","ABCA13",33,0.0104036,46,0.0133944,39,0.0129533,0.0122504333333,"ABCA13",0.007846,0.009002,0.008991,2,4,4,0.008613,1.00360637165424
"Abca2","ABCA2",6105,47.7645,6781,49.0013,6154,50.7248,49.1635333333,"ABCA2",103.016126,33.995107,47.446613,4424,2855,3399,61.4859486666667,0.802797019229059
"Abca3","ABCA3",5164,13.7592,5259,12.9421,4945,13.8809,13.5274,"ABCA3",15.899095,4.777714,6.130924,1470,804,955,8.935911,1.46211052011235
"Abca4","ABCA4",23,0.0263103,36,0.038036,19,0.0228979,0.0290814,"ABCA4",1.503687,0.819555,0.594934,84,61,75,0.972725333333333,0.521654678738855
"Abca5","ABCA5",5255,11.9334,5299,11.1142,4575,10.9453,11.3309666667,"ABCA5",8.437813,3.190949,3.230402,934,644,646,4.95305466666667,2.07136795429506
"Abca6","ABCA6",3334,6.90352,3785,7.23878,3311,7.22284,7.12171333333,"ABCA6",0.744271,0.261836,0.29088,56,30,41,0.432329,5.67028478326558
"Abca7","ABCA7",5065,41.2041,5622,42.2423,4588,39.3214,40.9226,"ABCA7",2.326388,0.985227,1.206147,237,188,232,1.50592066666667,16.7294202716181
"Abca8b","ABCA8",3612,8.80695,3441,7.74921,3247,8.34073,8.29896333333,"ABCA8",2.621557,1.038747,0.94953,304,198,190,1.53661133333333,3.66589993947174
"Abca9","ABCA9",644,1.48195,645,1.37089,506,1.22671,1.35985,"ABCA9",2.00727,0.817394,0.714638,198,138,123,1.17976733333333,1.08261554520651
"Abcb10","ABCB10",678,3.43177,729,3.40809,632,3.37015,3.40333666667,"ABCB10",6.080809,6.701589,6.717685,367,738,755,6.50002766666667,0.587109389774696
"Abcb11","ABCB11",4,0.00595041,5,0.00686992,5,0.00783612,0.00688548333333,"ABCB11",0.013403,0.0077,0.13836,1,1,1,0.0531543333333333,0.956066410652693
"Abcb1b","ABCB1",263,0.598806,225,0.473159,247,0.592476,0.554813666667,"ABCB1",2.4332,1.327262,2.14074,30,60,49,1.96706733333333,0.524023721740165
"Abcb4","ABCB4",753,1.7839,737,1.61264,630,1.57239,1.65631,"ABCB4",1.083928,0.701036,1.304195,65,75,81,1.02971966666667,1.30870781991405
"Abcb5","ABCB5",8,0.0125933,3,0.00436179,3,0.00497524,0.00731011,"ABCB5",0,0,0,0,0,0,0,1.00731011
"Abcb6","ABCB6",537,9.60665,500,8.26156,495,9.32925,9.06582,"ABCB6",9.396261,8.069201,9.543446,170,375,348,9.00296933333333,1.00628320097486
"Abcb7","ABCB7",11285,13.1497,11821,12.7222,10002,12.2785,12.7168,"ABCB7",9.304969,6.351937,6.056985,796,927,836,7.23796366666667,1.66507167972862
"Abcb8","ABCB8",816,7.72636,935,8.17695,799,7.97032,7.95787666667,"ABCB8",21.123623,23.448565,21.308368,425,891,876,21.9601853333333,0.390148273483884
"Abcb9","ABCB9",1104,5.00017,1193,4.99058,1097,5.23439,5.07504666667,"ABCB9",13.886122,10.841195,11.737911,471,761,775,12.155076,0.461802475840504
"Abcc1","ABCC1",688,0.935223,722,0.906482,654,0.936588,0.926097666667,"ABCC1",10.519469,1.171945,2.39971,274,180,219,4.69704133333333,0.338087360433462
"Abcc10","ABCC10",269,1.66128,280,1.59714,283,1.84128,1.6999,"ABCC10",1.597096,1.12677,1.004533,82,102,115,1.24279966666667,1.20380791923903
"Abcc12","ABCC12",74,0.11669,54,0.0786487,49,0.0814034,0.0922473666667,"ABCC12",0.053002,0.104746,0.147696,3,8,12,0.101814666666667,0.991316779228479
"Abcc2","ABCC2",5,0.0132546,2,0.00489691,1,0.00279281,0.00698144,"ABCC2",0,0.004608,0.018311,0,1,4,0.00763966666666667,0.999346763839851
"Abcc3","ABCC3",49,0.153014,57,0.164401,62,0.203972,0.173795666667,"ABCC3",1.461523,0.214629,0.317509,29,21,26,0.664553666666667,0.705171416321813
"Abcc4","ABCC4",979,0.679779,989,0.634273,939,0.686902,0.666984666667,"ABCC4",2.782009,1.147171,1.115621,203,176,168,1.68160033333333,0.621637999498185
"Abcc5","ABCC5",6994,11.4156,6910,10.4171,6254,10.7541,10.8622666667,"ABCC5",86.190976,31.297927,40.065383,1665,1327,1402,52.5180953333333,0.221649641916753
"Abcc6","ABCC6",10,0.0247353,11,0.0251307,6,0.0156355,0.0218338333333,"ABCC6",0.373831,0.133197,0.189503,12,15,27,0.232177,0.82929143567304
"Abcc8","ABCC8",311,0.639245,322,0.611304,324,0.70161,0.650719666667,"ABCC8",9.077188,3.798732,7.06148,338,209,235,6.6458,0.215898881303068
"Abcc9","ABCC9",102,0.13832,135,0.169089,103,0.147152,0.151520333333,"ABCC9",2.051365,0.582775,0.654602,234,116,131,1.09624733333333,0.549324650303511
"Abcd1","ABCD1",366,2.58941,332,2.16947,324,2.41495,2.39127666667,"ABCD1",2.686316,1.6366,1.846768,138,162,188,2.05656133333333,1.109507154228
"Abcd2","ABCD2",764,2.5818,867,2.7061,689,2.45298,2.58029333333,"ABCD2",17.561996,16.181786,14.615399,695,907,808,16.119727,0.209132618372361
"Abcd3","ABCD3",2309,6.33971,2291,5.80986,2118,6.12654,6.09203666667,"ABCD3",22.337243,19.371378,19.426874,1135,1664,1589,20.3784983333333,0.331736895458747
"Abcd4","ABCD4",536,5.2158,553,4.97023,537,5.50522,5.23041666667,"ABCD4",4.359746,3.381328,3.474536,149,205,205,3.73853666666667,1.31483981341708
"Abce1","ABCE1",3754,20.6038,3987,20.2113,3518,20.342,20.3857,"ABCE1",23.623258,18.664945,16.190277,1327,1826,1551,19.4928266666667,1.04357004272064
"Abcf1","ABCF1",1730,20.7457,1826,20.2245,1763,22.273,21.0810666667,"ABCF1",42.586641,27.88631,16.795441,940,1220,942,29.089464,0.733847125581898
"Abcf2","ABCF2",2279,29.1777,2356,27.8597,2138,28.8376,28.625,"ABCF2-H2BE1",31.257595,33.14353,31.918211,1170,2228,2179,32.1064453333333,0.89484085958851
"Abcf2","ABCF2",2279,29.1777,2356,27.8597,2138,28.8376,28.625,"ABCF2",31.257595,33.14353,31.918211,1170,2228,2179,32.1064453333333,0.89484085958851
