"Mm_genes","Human_Symbol","mDRG1_read","mDRG1_TPM","mDRG2_read","mDRG2_TPM","mDRG3_read","mDRG3_TPM","mDRG_Avg_TPM","Hs_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","FoldChange"
"Coil","COIL",479,3.48025,464,3.11378,426,3.26083,3.28495333333,"COIL",5.412147,6.930356,7.016966,205,469,457,6.45315633333333,0.574917946396223
"Col11a1","COL11A1",878,0.716554,972,0.732682,684,0.588105,0.679113666667,"COL11A1",1.621563,0.427723,0.502912,117,39,67,0.850732666666667,0.90726969751457
"Col11a2","COL11A2",163,0.92844,139,0.731267,106,0.636087,0.765264666667,"COL11A2",6.40886,2.436247,3.12473,192,134,172,3.98994566666667,0.353764306184563
"Col12a1","COL12A1",530,0.686416,674,0.806244,562,0.766817,0.753159,"COL12A1",1.631904,1.191512,1.194702,140,63,93,1.33937266666667,0.749414159180567
"Col13a1","COL13A1",47,0.051783,35,0.0356166,31,0.0359828,0.0411274666667,"COL13A1",1.249151,0.496243,0.757111,35,22,31,0.834168333333333,0.567629179800854
"Col14a1","COL14A1",543,0.395573,681,0.458215,549,0.421351,0.425046333333,"COL14A1",0.269235,0.159169,0.149951,19,16,27,0.192785,1.19472187639264
"Col15a1","COL15A1",1346,1.9895,1299,1.77338,1324,2.06172,1.94153333333,"COL15A1",6.141891,4.842989,2.137538,91,85,81,4.37413933333333,0.54734965933708
"Col16a1","COL16A1",1555,4.69151,1543,4.29975,1378,4.38001,4.45709,"COL16A1",8.92323,3.859069,4.052468,193,123,164,5.611589,0.825382521508823
"Col17a1","COL17A1",3,0.0101774,2,0.00626673,1,0.00357405,0.00667272666667,"COL17A1",0.799124,0.13119,0.068166,5,14,11,0.332826666666667,0.755291555791203
"Col18a1","COL18A1",730,0.990658,760,0.952598,781,1.1166,1.019952,"COL18A1",1.909924,1.901488,1.398246,102,140,154,1.73655266666667,0.738137447382096
"Col19a1","COL19A1",193,0.0920052,189,0.083217,150,0.0753339,0.0835187,"COL19A1",1.787968,0.350568,0.344669,131,45,44,0.827735,0.592820458107986
"Col1a1","COL1A1",1464,13.5101,1933,16.4757,1676,16.2943,15.4267,"COL1A1",1.615136,1.189095,0.774303,142,85,130,1.19284466666667,7.49104587739457
"Col1a2","COL1A2",3868,16.3445,4867,18.9951,4019,17.8915,17.7437,"COL1A2",4.617009,1.84763,2.910657,359,279,362,3.12509866666667,4.54381858825841
"Col20a1","COL20A1",158,0.770462,153,0.689097,145,0.744914,0.734824333333,"COL20A1",1.980207,0.346087,0.261473,46,14,23,0.862589,0.931404799090406
"Col23a1","COL23A1",925,0.488329,1131,0.551479,1059,0.588994,0.542934,"COL23A1",2.132336,1.242163,2.426819,175,143,162,1.93377266666667,0.525921458581544
"Col25a1","COL25A1",359,0.118964,424,0.129772,294,0.102639,0.117125,"COL25A1",12.654669,3.723694,3.759452,1063,594,574,6.712605,0.144844057228394
"Col26a1","COL26A1",116,0.127283,145,0.146951,144,0.166463,0.146899,"COL26A1",2.547712,2.419681,2.941457,51,64,65,2.63628333333333,0.315404190175866
"Col27a1","COL27A1",462,0.592675,496,0.587694,462,0.624397,0.601588666667,"COL27A1",0.497427,0.267879,0.232415,46,42,36,0.332573666666667,1.20187626900452
"Col28a1","COL28A1",2666,2.12406,2714,1.99715,2313,1.94145,2.02088666667,"COL28A1",0.270911,0.078121,0.078,12,8,9,0.142344,2.64446319731184
"Col2a1","COL2A1",34,0.181381,39,0.192164,37,0.20795,0.193831666667,"COL2A1",0.198499,0.400897,0.152607,10,9,22,0.250667666666667,0.954555473436722
"Col3a1","COL3A1",2592,10.54,3351,12.5856,2555,10.9456,11.3570666667,"COL3A1",4.188562,1.279092,2.030531,76,56,105,2.499395,3.53120086949316
"Col4a1","COL4A1",2936,3.9832,3199,4.00853,3392,4.84815,4.27996,"COL4A1",16.900773,5.847928,5.547387,540,252,296,9.43202933333333,0.506129711802958
"Col4a2","COL4A2",1560,1.77404,1910,2.00617,1863,2.23201,2.00407333333,"COL4A2",5.805485,1.173588,1.824119,521,216,239,2.93439733333333,0.763540913338527
"Col4a3","COL4A3",85,0.0976237,88,0.0933499,45,0.0544494,0.0818076666667,"COL4A3",0.503105,0.029628,0.149137,16,7,7,0.22729,0.881460507839793
"Col4a4","COL4A4",163,0.182761,163,0.168802,119,0.140568,0.164043666667,"COL4A4",0.063341,0.027912,0.034665,10,8,10,0.0419726666666667,1.11715374491621
"Col4a5","COL4A5",98,0.0711269,125,0.0837939,83,0.0634643,0.0727950333333,"COL4A5",1.303232,0.587142,0.796674,83,84,107,0.895682666666667,0.565914882378327
"Col4a6","COL4A6",26,0.0130735,18,0.00835958,12,0.00635685,0.00926331,"COL4A6",0.272329,0.123851,0.10618,28,23,20,0.167453333333333,0.864499917198689
"Col5a1","COL5A1",732,0.742132,872,0.816548,782,0.835258,0.797979333333,"COL5A1",1.328405,0.612662,0.630256,142,78,74,0.857107666666667,0.968161063359457
"Col5a2","COL5A2",952,1.14576,1030,1.14495,964,1.2223,1.17100333333,"COL5A2",0.731169,0.325939,0.646537,74,53,56,0.567881666666667,1.38467295044375
"Col5a3","COL5A3",2837,9.78116,2750,8.75706,2484,9.02249,9.18690333333,"COL5A3",0.255232,0.101904,0.148329,23,18,27,0.168488333333333,8.71801886482678
"Col6a1","COL6A1",332,2.96538,609,5.02405,453,4.2627,4.08404333333,"COL6A1",4.359706,2.80048,2.130397,268,318,246,3.096861,1.24096066069364
"Col6a2","COL6A2",555,3.09093,716,3.68301,511,2.9982,3.25738,"COL6A2",2.339733,1.373505,1.321392,140,154,152,1.67821,1.58963636159973
"Col6a3","COL6A3",719,1.42981,751,1.37938,629,1.31778,1.37565666667,"COL6A3",0.64706,0.271491,0.356276,47,25,44,0.424942333333333,1.66719495315483
"Col6a5","COL6A5",84,0.124683,86,0.117902,36,0.0562954,0.0996268,"COL6A5",0.08925,0.067258,0.06618,13,8,9,0.0742293333333333,1.02364249967729
"Col6a6","COL6A6",5948,6.57763,7529,7.69007,7344,8.55608,7.60792666667,"COL6A6",0.043636,0.012185,0.018431,6,3,4,0.0247506666666667,8.40002055784952
"Col8a1","COL8A1",225,0.267643,265,0.291148,241,0.302019,0.286936666667,"COL8A1",1.217976,0.687264,0.614851,95,96,85,0.840030333333333,0.699410571311415
"Col8a2","COL8A2",71,0.400169,111,0.577833,81,0.480965,0.486322333333,"COL8A2",1.326492,1.209444,1.094861,69,145,135,1.21026566666667,0.672463204649305
"Col9a1","COL9A1",2,0.00413477,5,0.00954743,4,0.00871216,0.00746478666667,"COL9A1",0.067072,0.072457,0.108134,3,6,9,0.0825543333333333,0.930636694755586
"Col9a2","COL9A2",142,1.38284,153,1.37616,142,1.45685,1.40528333333,"COL9A2",4.438496,3.61335,4.811985,99,143,186,4.28794366666667,0.454861754388962
"Colca2","COLCA2",9,0.168056,9,0.15522,12,0.236068,0.186448,"COLCA2",0.671154,0.755371,0.774682,11,22,23,0.733735666666667,0.684330387158212
"Colec10","COLEC10",19,0.0530534,12,0.0309482,5,0.0147087,0.0329034333333,"COLEC10",0,0,0,0,0,0,0,1.0329034333333
"Colec11","COLEC11",6,0.0318868,3,0.0147257,5,0.0279946,0.0248690333333,"COLEC11",0.293097,0.410461,0.288843,5,11,10,0.330800333333333,0.7701148005924
"Colec12","COLEC12",125,0.110832,167,0.136762,119,0.111159,0.119584333333,"COLEC12",4.460014,3.334886,3.822819,274,336,328,3.872573,0.2297727162493
"Colgalt1","COLGALT1",1548,17.2678,1666,17.1646,1388,16.3117,16.9147,"COLGALT1",11.138632,12.677821,11.66975,477,1027,949,11.8287343333333,1.39645108664006
"Colgalt2","COLGALT2",1340,1.87596,1480,1.91371,1248,1.84068,1.87678333333,"COLGALT2",1.605427,1.145316,1.113987,93,122,121,1.28824333333333,1.25720166707066
"Colq","COLQ",98,0.222825,124,0.260408,99,0.237147,0.240126666667,"COLQ",0.22488,0.314826,0.351715,9,24,27,0.297140333333333,0.956046647227581
"Commd10","COMMD10",1239,0.698097,1180,0.614075,1067,0.633363,0.648511666667,"COMMD10",15.003655,15.004045,15.863765,220,396,405,15.2904883333333,0.101194736028498
"Commd2","COMMD2",318,6.69967,320,6.22689,305,6.76971,6.56542333333,"COMMD2",7.303399,8.001078,8.158483,121,194,191,7.82098666666667,0.857661803516689
"Commd3","COMMD3",820,33.0747,943,35.1308,750,31.8704,33.3586333333,"COMMD3",55.747677,70.705327,64.838614,354,767,825,63.7638726666667,0.530521599752698
"Commd4","COMMD4",601,28.2926,623,27.0882,509,25.2441,26.8749666667,"COMMD4",95.400407,180.741221,171.169179,267,579,651,149.103602333333,0.185704848074188
"Commd5","COMMD5",210,23.3481,259,26.5966,194,22.7236,24.2227666667,"COMMD5",9.405465,14.339111,14.453042,119,335,331,12.7325393333333,1.83671541398583
"Commd6","COMMD6",491,9.88939,473,8.79922,428,9.08188,9.25683,"COMMD6",26.477851,34.025205,37.078502,245,503,549,32.527186,0.305925764243978
"Commd7","FO393400.1",779,7.62874,827,7.48024,705,7.27358,7.46085333333,"COMMD7",9.408241,11.07804,10.565188,250,479,462,10.3504896666667,0.745417473765669
"Commd7","COMMD7",779,7.62874,827,7.48024,705,7.27358,7.46085333333,"COMMD7",9.408241,11.07804,10.565188,250,479,462,10.3504896666667,0.745417473765669
"Commd8","COMMD8",601,8.03105,644,7.94838,598,8.41866,8.13269666667,"COMMD8",54.538448,56.429221,58.089712,447,766,731,56.3524603333333,0.159238097434541
"Commd9","COMMD9",490,4.93847,578,5.38045,496,5.2665,5.19514,"COMMD9",17.98416,33.13021,37.734963,160,523,550,29.6164443333333,0.202346815082479
"Comp","COMP",124,2.26183,202,3.40318,138,2.65193,2.77231333333,"COMP",0.23279,0.338396,0.120993,6,6,7,0.230726333333333,3.06511141523474
"Comt","COMT",1354,10.525,1466,10.5253,1316,10.7772,10.6091666667,"COMT",34.826306,39.844377,33.925068,771,1602,1398,36.1985836666667,0.31208625496951
"Comtd1","COMTD1",212,10.5361,241,11.0626,205,10.7335,10.7774,"COMTD1",11.334471,16.302402,17.878706,58,204,223,15.1718596666667,0.728265038329234
"Cop1","COP1",1866,2.51143,1879,2.33577,1726,2.44733,2.43151,"COP1",109.231158,83.658306,69.237189,850,1100,959,87.375551,0.0388287253790361
"Copa","COPA",6787,26.4661,7134,25.6945,6224,25.5697,25.9101,"COPA",48.813304,35.357113,32.240513,3173,4045,3773,38.8036433333333,0.67607127756228
"Copb1","COPB1",2424,9.60914,2450,8.97042,2065,8.62414,9.0679,"COPB1",24.090323,19.238304,17.952192,906,1413,1334,20.4269396666667,0.469871113496547
"Copb2","COPB2",2915,18.3454,3085,17.9324,2758,18.2863,18.1880333333,"COPB2",41.648934,28.307597,24.3518,1415,2110,1891,31.4361103333333,0.591563943275319
"Cope","COPE",1358,20.1197,1566,21.4293,1224,19.105,20.218,"COPE",79.814291,120.71831,128.216439,601,1608,1716,109.583013333333,0.191873953877907
"Copg1","COPG1",6692,40.2862,6957,38.6827,6212,39.3981,39.4556666667,"COPG1",129.62205,92.672297,96.045194,3913,4565,4795,106.113180333333,0.377690836373293
"Copg2","COPG2",5469,5.6877,5782,5.55395,5008,5.48703,5.57622666667,"COPG2",41.118789,33.419971,54.900005,1266,1885,1903,43.146255,0.148964542217001
"Coprs","COPRS",486,13.7448,474,12.3816,431,12.8417,12.9893666667,"COPRS",25.259755,29.148298,31.893899,223,462,518,28.7673173333333,0.469957252447293
"Cops2","COPS2",5039,27.1223,5269,26.1942,4563,25.8748,26.3971,"COPS2",42.963699,47.538633,47.109378,1173,2105,1787,45.87057,0.584526708337449
"Cops3","COPS3",2011,14.1592,2038,13.2533,1905,14.1308,13.8477666667,"COPS3",43.151442,63.702756,52.921552,641,1392,1468,53.2585833333333,0.273648255345775
"Cops4","COPS4",1998,10.5139,1966,9.55536,1808,10.0233,10.0308533333,"COPS4",41.735674,50.538654,46.855044,707,1550,1570,46.3764573333333,0.232834068948817
"Cops5","COPS5",3173,36.297,3514,37.1277,2938,35.4076,36.2774333333,"COPS5",54.815886,68.028849,72.59514,705,1469,1591,65.146625,0.563557601514817
"Cops6","COPS6",1752,76.042,1954,78.3319,1704,77.9171,77.4303333333,"COPS6",61.470118,83.0071,81.354675,859,2089,2068,75.2772976666667,1.0282264282099
"Cops7a","COPS7A",1642,35.7639,1760,35.4061,1600,36.7143,35.9614333333,"COPS7A",86.271806,111.059853,99.881838,1073,2380,2240,99.0711656666667,0.369351481888571
"Cops7b","COPS7B",535,3.13678,568,3.07591,529,3.26761,3.1601,"COPS7B",25.277865,12.689466,27.923923,214,368,351,21.9637513333333,0.181159425549142
"Cops8","COPS8",1773,26.5598,1884,26.067,1698,26.7977,26.4748333333,"COPS8",110.765252,125.077115,105.354424,848,1745,1487,113.732263666667,0.239469112307616
"Copz2","COPZ2",111,1.52005,138,1.74545,113,1.63026,1.63192,"COPZ2",4.675801,7.037498,6.974648,48,92,107,6.22931566666667,0.364062121693676
"Coq10b","COQ10B",606,4.71864,650,4.67469,519,4.25751,4.55028,"COQ10B",12.632328,15.258362,13.665545,278,632,494,13.8520783333333,0.373703927183255
"Coq2","COQ2",1389,10.5586,1561,10.9598,1331,10.6592,10.7258666667,"COQ2",26.462113,30.053646,37.964473,550,1170,1365,31.4934106666667,0.36086906317683
"Coq3","COQ3",656,3.1338,652,2.8768,607,3.05492,3.02184,"COQ3",5.325037,6.072012,6.038216,206,380,403,5.811755,0.590426402593752
"Coq4","COQ4",241,3.58186,266,3.65147,240,3.75791,3.66374666667,"COQ4",33.574191,84.216818,60.171496,134,353,289,59.320835,0.0773156848155368
"Coq5","COQ5",522,4.68129,551,4.56396,562,5.30977,4.85167333333,"COQ5",16.486886,16.852315,14.5335,360,607,593,15.957567,0.345077411950075
"Coq6","COQ6",282,3.60535,295,3.48349,256,3.44812,3.51232,"COQ6",19.502292,26.866092,31.161838,145,369,357,25.8434073333333,0.168097885039979
"Coq7","COQ7",438,2.86866,444,2.68586,383,2.6427,2.73240666667,"COQ7",18.643814,19.589548,23.393027,203,385,458,20.5421296666667,0.173260802178039
"Coq8a","COQ8A",708,3.19767,739,3.08276,661,3.14518,3.14187,"COQ8A",35.681818,40.90736,37.76091,363,747,766,38.116696,0.105884965335518
"Coq9","COQ9",545,5.1034,594,5.13742,503,4.96221,5.06767666667,"COQ9",105.957466,115.484801,132.034872,488,1047,1205,117.825713,0.0510636672272272
"Corin","CORIN",23,0.0174606,18,0.0126212,22,0.0175954,0.0158924,"CORIN",0.173954,0.31618,0.063921,3,5,8,0.184685,0.857521113207308
"Coro1a","CORO1A",1964,38.0325,2344,41.9243,1824,37.2119,39.0562333333,"CORO1A",82.039266,114.864175,99.711662,756,1834,1699,98.871701,0.401076910999043
"Coro1b","CORO1B",1689,48.3936,1836,48.5876,1635,49.3537,48.7783,"CORO1B",62.401992,90.86263,105.414604,468,1323,1400,86.2264086666667,0.570679233054595
"Coro1c","CORO1C",3035,7.1025,2867,6.19691,2454,6.05022,6.44987666667,"CORO1C",225.180279,179.668062,161.822833,1122,1391,1426,188.890391333333,0.0392325099461852
"Coro2a","CORO2A",4596,10.9297,4876,10.71,4371,10.951,10.8635666667,"CORO2A",11.459776,7.088694,6.20043,442,504,501,8.24963333333333,1.28259858949724
"Coro2b","CORO2B",5358,7.07434,5636,6.87304,5121,7.12331,7.02356333333,"CORO2B",94.843762,40.858754,42.979195,2366,1945,1874,59.5605703333333,0.132488239281223
"Coro6","CORO6",798,15.3402,842,14.9498,859,17.3966,15.8955333333,"CORO6",11.945627,4.822517,5.005561,203,248,294,7.25790166666667,2.04598383648711
"Coro7","CORO7-PAM16",2781,8.04616,2938,7.85117,2643,8.05617,7.9845,"CORO7-PAM16",33.002693,16.419106,20.490174,609,597,653,23.303991,0.369671795879121
"Coro7","CORO7-PAM16",2781,8.04616,2938,7.85117,2643,8.05617,7.9845,"CORO7",33.002693,16.419106,20.490174,609,597,653,23.303991,0.369671795879121
"Coro7","CORO7",2781,8.04616,2938,7.85117,2643,8.05617,7.9845,"CORO7-PAM16",33.002693,16.419106,20.490174,609,597,653,23.303991,0.369671795879121
"Coro7","CORO7",2781,8.04616,2938,7.85117,2643,8.05617,7.9845,"CORO7",33.002693,16.419106,20.490174,609,597,653,23.303991,0.369671795879121
"Cort","CORT",1,0.0897162,3,0.248592,2,0.189036,0.1757814,"CORT",6.070471,6.581804,5.688784,39,83,74,6.11368633333333,0.16528440317793
"Cotl1","COTL1",519,2.5717,582,2.66362,493,2.57362,2.60298,"COTL1",285.356979,397.128173,392.207466,569,1344,1340,358.230872666667,0.0100297058915179
"Cox10","COX10",439,0.583153,495,0.607321,490,0.685738,0.625404,"COX10",5.925638,5.571456,5.132792,254,414,406,5.54329533333333,0.248407555703584
"Cox11","COX11",227,5.21267,262,5.55688,195,4.71751,5.16235333333,"COX11",10.53741,10.13788,9.717269,138,231,237,10.130853,0.553628130146899
"Cox14","COX14",721,28.7971,766,28.2578,638,26.846,27.9669666667,"COX14",13.80887,13.980836,20.854521,294,594,725,16.2147423333333,1.68268371990736
"Cox15","AL133353.2",974,7.65552,1037,7.52817,915,7.57671,7.5868,"",10.293571,7.188081,10.825809,303,423,407,9.43582033333333,0.822819838376545
"Cox15","AL133353.2",974,7.65552,1037,7.52817,915,7.57671,7.5868,"COX15",10.293571,7.188081,10.825809,303,423,407,9.43582033333333,0.822819838376545
"Cox16","COX16",1312,1.61484,1326,1.50742,1269,1.64551,1.58925666667,"COX16",25.920596,29.754673,28.467616,154,267,261,28.0476283333333,0.0891383157673745
"Cox18","COX18",334,5.58739,329,5.08339,311,5.48109,5.38395666667,"COX18",8.149761,6.596538,7.034953,81,145,122,7.26041733333333,0.772837062470048
"Cox19","COX19",636,6.48148,728,6.85241,572,6.14125,6.49171333333,"COX19",27.25233,33.946662,29.543606,248,453,443,30.2475326666667,0.239753756344474
"Cox20","COX20",627,27.3053,586,23.5707,525,24.087,24.9876666667,"COX20",32.238094,35.16452,37.076234,116,223,237,34.8262826666667,0.725379937083993
"Cox4i1","COX4I1",5193,134.648,5738,137.415,4926,134.561,135.541333333,"COX4I1",710.871215,1080.987074,1286.624466,3398,9133,10897,1026.16091833333,0.132930810446479
"Cox4i2","COX4I2",25,0.357131,28,0.369437,28,0.421395,0.382654333333,"COX4I2",1.307461,4.034854,3.366254,10,57,48,2.90285633333333,0.3542672891964
"Cox5a","COX5A",3386,47.1208,3222,41.4139,2873,42.1216,43.5521,"COX5A",186.115604,272.076484,273.590145,1184,3050,3106,243.927411,0.181899199514259
"Cox5b","COX5B",2167,150.622,2353,151.058,2128,155.827,152.502333333,"COX5B",568.304999,961.088552,1050.651519,1068,3213,3586,860.015023333333,0.178280667785251
"Cox6a1","COX6A1",3043,141.408,3502,150.308,3008,147.263,146.326333333,"COX6A1",289.84619,441.999366,497.627985,1406,4147,4800,409.824513666667,0.358611349693064
"Cox6a2","COX6A2",5,0.814318,5,0.752123,6,1.02948,0.865307,"COX6A2",6.137465,7.81751,8.00705,42,99,103,7.320675,0.22417736541807
"Cox6b1","COX6B1",2984,49.8486,3146,48.5409,2725,47.9584,48.7826333333,"COX6B1",968.690451,1378.958141,1447.458562,1403,3532,3784,1265.035718,0.0393216657520084
"Cox6b2","COX6B2",21,2.50145,26,2.86049,15,1.88238,2.41477333333,"COX6B2",6.811064,7.3546,9.434189,17,36,48,7.86661766666667,0.385126940362791
"Cox6c","COX6C",3198,40.1552,3552,41.1937,3034,40.135,40.4946333333,"COX6C",239.421528,231.705262,259.489718,972,1708,1900,243.538836,0.169685249230924
"Cox7a1","COX7A1",29,2.32613,38,2.81523,30,2.53514,2.55883333333,"COX7A1",4.762472,6.693387,10.609661,11,28,45,7.35517333333333,0.425943686785273
"Cox7a2","COX7A2",2625,90.1779,2782,88.272,2586,93.593,90.6809666667,"COX7A2",372.951764,498.44077,525.388719,1134,2667,2899,465.593751,0.196489915414019
"Cox7a2l","COX7A2L",3060,30.8142,3312,30.8046,2887,30.6281,30.7489666667,"COX7A2L",120.897441,160.570384,182.048591,1282,3002,3478,154.505472,0.204166234527747
"Cox7b","COX7B",2778,63.8677,2848,60.4761,2353,56.9921,60.4453,"COX7B",390.883679,418.262791,531.510225,975,1808,2219,446.885565,0.137189730595582
"Cox7b2","COX7B2",7,0.0103098,12,0.016324,7,0.0108616,0.0124984666667,"COX7B2",0.630329,1.092551,0.369574,3,9,3,0.697484666666667,0.596469874838359
"Cox7c","COX7C",1940,144.139,2190,150.286,1930,151.071,148.498666667,"COX7C",193.54276,306.155105,347.160851,224,624,702,282.286238666667,0.527730070372074
"Cox8a","COX8A",3259,205.287,3512,204.327,3068,203.599,204.404333333,"COX8A",409.42663,604.848148,643.214959,1926,5447,5922,552.496579,0.371103166895996
"Cox8b","COX8C",0,0,0,0,5,0.544328,0.181442666667,"COX8C",3.931672,3.69,5.760915,7,12,19,4.46086233333333,0.216347271648916
"Cp","CP",2052,6.11397,2267,6.23867,1848,5.80085,6.05116333333,"CP",14.888309,9.666736,12.378469,336,412,386,12.3111713333333,0.529717720308561
"Cpa2","CPA2",5,0.0338958,2,0.0125228,3,0.021426,0.0226148666667,"CPA2",3.162139,2.89282,4.743641,18,36,49,3.59953333333333,0.222330134941233
"Cpa3","CPA3",23,0.134395,37,0.199688,23,0.141589,0.158557333333,"CPA3",0.103436,0.059799,0,2,2,0,0.0544116666666667,1.09877135274458
"Cpa4","CPA4",3,0.0193608,2,0.0119214,1,0.00679901,0.0126937366667,"CPA4",0.074669,0.056496,0.111297,3,4,8,0.0808206666666667,0.936967406248739
"Cpa5","CPA5",1,0.007485,0,0,1,0.00788562,0.00512354,"CPA5",0,0,0.022535,0,0,1,0.00751166666666667,0.997629678399092
"Cpa6","CPA6",139,0.0545866,141,0.0511429,121,0.0500612,0.0519302333333,"CPA6",0.185708,0.140147,0.252148,13,10,16,0.192667666666667,0.881997779208095
"Cpb1","CPB1",150,0.847519,182,0.949783,153,0.910739,0.902680333333,"CPB1",0,0,0.202263,0,0,4,0.067421,1.78250224919034
"Cpb2","CPB2",1,0.00376091,1,0.00347366,2,0.00792441,0.00505299333333,"CPB2",0,0.11858,0,0,2,0,0.0395266666666667,0.966837143828278
"Cpd","CPD",5101,11.542,4915,10.2717,4747,11.3159,11.0432,"CPD",28.690085,7.522168,7.665855,2045,963,1016,14.626036,0.770713698598928
"Cpe","CPE",17862,27.5819,18999,27.0969,16367,26.6261,27.1016333333,"CPE",1715.589676,1568.738449,1333.432566,26153,42769,38264,1539.25356366667,0.0182448098132637
"Cpeb1","AC245033.1",6551,9.37638,6991,9.24191,5781,8.71715,9.11181333333,"",33.272471,20.715457,24.841237,543,725,736,26.2763883333333,0.370716724287606
"Cpeb1","AC245033.1",6551,9.37638,6991,9.24191,5781,8.71715,9.11181333333,"CPEB1",33.272471,20.715457,24.841237,543,725,736,26.2763883333333,0.370716724287606
"Cpeb1","CPEB1",6551,9.37638,6991,9.24191,5781,8.71715,9.11181333333,"",33.272471,20.715457,24.841237,543,725,736,26.2763883333333,0.370716724287606
"Cpeb1","CPEB1",6551,9.37638,6991,9.24191,5781,8.71715,9.11181333333,"CPEB1",33.272471,20.715457,24.841237,543,725,736,26.2763883333333,0.370716724287606
"Cpeb2","CPEB2",4420,12.1302,4671,11.84,4086,11.8138,11.928,"CPEB2",15.034888,4.961995,5.988122,1172,768,695,8.66166833333333,1.33807118542847
"Cpeb3","CPEB3",1456,1.20647,1429,1.09366,1328,1.1593,1.15314333333,"CPEB3",18.975069,4.758862,4.996447,1171,498,475,9.57679266666667,0.203572425137513
"Cpeb4","CPEB4",3067,7.50546,3253,7.35262,3008,7.75506,7.53771333333,"CPEB4",27.220937,7.494375,7.540576,1902,971,814,14.085296,0.565962599164776
"Cped1","CPED1",382,0.219195,419,0.222063,362,0.218837,0.220031666667,"CPED1",1.711356,0.914543,1.416776,104,119,121,1.34755833333333,0.519702385812351
"Cphx1","CPHXL",11,0.0945715,9,0.0714669,13,0.117748,0.0945954666667,"CPHXL",0,0.024684,0.024237,0,1,1,0.016307,1.07703230093535
"Cphx1","CPHXL",11,0.0945715,9,0.0714669,13,0.117748,0.0945954666667,"",0,0.024684,0.024237,0,1,1,0.016307,1.07703230093535
"Cphx1","AC025287.4",11,0.0945715,9,0.0714669,13,0.117748,0.0945954666667,"CPHXL",0,0.024684,0.024237,0,1,1,0.016307,1.07703230093535
"Cphx1","AC025287.4",11,0.0945715,9,0.0714669,13,0.117748,0.0945954666667,"",0,0.024684,0.024237,0,1,1,0.016307,1.07703230093535
"Cplane1","CPLANE1",1873,2.84858,1918,2.69423,1773,2.84082,2.79454333333,"CPLANE1",20.044989,9.864354,18.66337,610,286,336,16.1909043333333,0.220729710302229
"Cplane2","CPLANE2",140,1.69747,161,1.80299,112,1.43066,1.64370666667,"CPLANE2",1.387978,1.56078,2.598128,14,11,18,1.848962,0.927954345010569
"Cplx1","CPLX1",17288,85.2612,18363,83.646,16259,84.4781,84.4617666667,"CPLX1",234.215327,212.697586,205.214527,7081,10962,11270,217.375813333333,0.391351795614148
"Cplx2","CPLX2",6894,85.131,7114,81.1381,6523,84.8609,83.71,"CPLX2",163.26059,74.903775,68.777592,12229,10177,9461,102.313985666667,0.819927713110491
"Cplx3","CPLX3",1,0.0246755,2,0.0455818,2,0.0519925,0.0407499333333,"CPLX3",11.707586,13.100839,9.256211,163,318,266,11.3548786666667,0.0842379728213141
"Cplx4","CPLX4",0,0,1,0.00987563,0,0,0.00329187666667,"CPLX4",0,0.125151,0.022558,0,1,1,0.0492363333333333,0.956211527177388
"Cpm","CPM",35,0.0938986,43,0.10655,37,0.104577,0.1016752,"CPM",3.712182,3.214572,2.604541,263,358,291,3.17709833333333,0.263741744169298
"Cpn1","CPN1",123,0.631098,127,0.601853,122,0.659471,0.630807333333,"CPN1",0.237103,0.215806,0.170261,6,10,8,0.207723333333333,1.35031533160161
"Cpn2","CPN2",1,0.0139551,0,0,0,0,0.0046517,"CPN2",0,0.008021,0,0,1,0,0.00267366666666667,1.0019727588338
"Cpne1","CPNE1",2376,9.19092,2379,8.49967,2001,8.15462,8.61507,"CPNE1",12.511187,9.311296,8.860009,254,420,446,10.2274973333333,0.856385863611279
"Cpne2","CPNE2",1331,5.50272,1410,5.38411,1295,5.64044,5.50909,"CPNE2",31.728519,20.800005,21.45811,292,451,453,24.6622113333333,0.25364493789922
"Cpne3","CPNE3",8759,26.7324,8968,25.2798,7778,25.0089,25.6737,"CPNE3",2.990327,1.953822,1.876312,249,284,263,2.273487,8.148405660386
"Cpne4","CPNE4",3192,1.01676,3236,0.952052,3033,1.01783,0.995547333333,"CPNE4",26.934454,16.076292,15.59649,927,1063,831,19.5357453333333,0.0971743319242402
"Cpne5","CPNE5",104,0.195392,94,0.163116,107,0.211788,0.190098666667,"CPNE5",29.363813,16.969284,14.955452,728,822,675,20.4295163333333,0.0555354889095568
"Cpne6","CPNE6",6255,138.948,6969,142.985,6291,147.228,143.053666667,"CPNE6",63.167186,52.055657,47.989077,1854,2701,2551,54.4039733333333,2.60006021229404
"Cpne7","CPNE7",10,0.087152,10,0.0804956,7,0.0642717,0.0773064333333,"CPNE7",28.456775,28.138803,24.433394,904,1710,1490,27.0096573333333,0.0384619640473514
"Cpne8","CPNE8",1878,1.51853,1895,1.41524,1796,1.52995,1.48790666667,"CPNE8",18.345231,11.674661,12.171352,300,332,316,14.063748,0.165158542659503
"Cpne9","CPNE9",138,0.918436,161,0.98967,124,0.869432,0.925846,"CPNE9",29.871738,31.191045,35.372614,451,883,1083,32.1451323333333,0.0581034337299423
