"Mm_genes","Human_Symbol","mDRG1_read","mDRG1_TPM","mDRG2_read","mDRG2_TPM","mDRG3_read","mDRG3_TPM","mDRG_Avg_TPM","Hs_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","FoldChange"
"Abca12","ABCA12",22,0.0197793,21,0.0174382,18,0.0170492,0.0180889,"ABCA12",0.053165,0.004381,0.024994,1,1,3,0.0275133333333333,0.990827921129977
"Abca13","ABCA13",33,0.0104036,46,0.0133944,39,0.0129533,0.0122504333333,"ABCA13",0.017552,0.016355,0.008251,2,7,2,0.0140526666666667,0.998222741882539
"Abca2","ABCA2",6105,47.7645,6781,49.0013,6154,50.7248,49.1635333333,"ABCA2",103.919269,141.830863,150.084623,2467,11301,6734,131.944918333333,0.377325692190241
"Abca3","ABCA3",5164,13.7592,5259,12.9421,4945,13.8809,13.5274,"ABCA3",14.196218,14.904171,16.151148,510,2327,1416,15.0838456666667,0.903229258790243
"Abca4","ABCA4",23,0.0263103,36,0.038036,19,0.0228979,0.0290814,"ABCA4",3.31164,3.390653,2.172063,59,262,184,2.95811866666667,0.259992558754344
"Abca5","ABCA5",5255,11.9334,5299,11.1142,4575,10.9453,11.3309666667,"ABCA5",13.295437,11.964834,10.439489,513,2184,1254,11.89992,0.955894816921345
"Abca6","ABCA6",3334,6.90352,3785,7.23878,3311,7.22284,7.12171333333,"ABCA6",0.473301,0.609906,0.589233,17,75,45,0.55748,5.21465016136965
"Abca7","ABCA7",5065,41.2041,5622,42.2423,4588,39.3214,40.9226,"ABCA7",6.006372,6.820605,6.873234,281,1214,685,6.566737,5.54038021937329
"Abca8b","ABCA8",3612,8.80695,3441,7.74921,3247,8.34073,8.29896333333,"ABCA8",3.153485,3.895227,4.491881,163,747,478,3.84686433333333,1.91855242767541
"Abca9","ABCA9",644,1.48195,645,1.37089,506,1.22671,1.35985,"ABCA9",1.270159,1.202612,1.247372,56,199,117,1.24004766666667,1.0534820464386
"Abcb10","ABCB10",678,3.43177,729,3.40809,632,3.37015,3.40333666667,"ABCB10",6.396777,7.750892,7.766959,180,805,458,7.304876,0.530211006963861
"Abcb11","ABCB11",4,0.00595041,5,0.00686992,5,0.00783612,0.00688548333333,"ABCB11",0,0,0,0,0,0,0,1.00688548333333
"Abcb1b","ABCB1",263,0.598806,225,0.473159,247,0.592476,0.554813666667,"ABCB1",2.13694,1.316029,0.596432,14,59,33,1.34980033333333,0.66167905613555
"Abcb4","ABCB4",753,1.7839,737,1.61264,630,1.57239,1.65631,"ABCB4",0.981707,0.995733,1.250511,17,64,51,1.07598366666667,1.2795428223504
"Abcb5","ABCB5",8,0.0125933,3,0.00436179,3,0.00497524,0.00731011,"ABCB5",0,0.027506,0,0,1,0,0.00916866666666667,0.998158329000834
"Abcb6","ABCB6",537,9.60665,500,8.26156,495,9.32925,9.06582,"ABCB6",10.008954,6.259513,8.472193,70,339,192,8.24688666666666,1.08856314161235
"Abcb7","ABCB7",11285,13.1497,11821,12.7222,10002,12.2785,12.7168,"ABCB7",11.190542,11.707649,12.115453,431,1655,976,11.6712146666667,1.08251658273014
"Abcb8","ABCB8",816,7.72636,935,8.17695,799,7.97032,7.95787666667,"ABCB8",15.25636,20.988503,21.001584,152,712,401,19.082149,0.446061657378899
"Abcb9","ABCB9",1104,5.00017,1193,4.99058,1097,5.23439,5.07504666667,"ABCB9",17.894203,17.928554,14.740825,208,975,536,16.8545273333333,0.340252449883019
"Abcc1","ABCC1",688,0.935223,722,0.906482,654,0.936588,0.926097666667,"ABCC1",13.812049,12.232982,11.724043,122,577,317,12.5896913333333,0.141732260095017
