"Mm_genes","Human_Symbol","mDRG1_read","mDRG1_TPM","mDRG2_read","mDRG2_TPM","mDRG3_read","mDRG3_TPM","mDRG_Avg_TPM","Hs_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","FoldChange"
"Flcn","FLCN",749,6.24706,693,5.33853,628,5.5182,5.70126333333,"FLCN",16.437913,16.95784,17.125527,305,1228,704,16.8404266666667,0.375622369270503
"Flcn","FLCN",749,6.24706,693,5.33853,628,5.5182,5.70126333333,"",16.437913,16.95784,17.125527,305,1228,704,16.8404266666667,0.375622369270503
"Flg","FLG",358,2.75565,402,2.85799,365,2.9599,2.85784666667,"FLG",0,0.321679,0.258949,0,5,1,0.193542666666667,3.23226540149102
"Fli1","FLI1",152,0.195526,179,0.212671,162,0.219543,0.209246666667,"FLI1",0.495219,0.982659,1.942842,11,79,70,1.14024,0.565005170759821
"Flii","FLII",3251,38.3977,3307,36.0759,3087,38.4122,37.6286,"FLII",20.959514,25.181781,22.97371,388,1845,969,23.038335,1.60695821902806
"Flna","FLNA",3049,17.9527,3327,18.0934,2995,18.5786,18.2082333333,"FLNA",25.747393,50.174938,39.198639,396,2156,1176,38.3736566666667,0.487844791656384
"Flnb","FLNB",2348,2.72712,2463,2.6422,2350,2.87553,2.74828333333,"FLNB",3.653546,24.536291,5.916117,233,1522,817,11.3686513333333,0.303047052771908
"Flnc","FLNC",236,1.27949,200,1.0015,144,0.822493,1.03449433333,"FLNC",0.491954,0.562819,0.533204,31,137,73,0.529325666666667,1.33032118513018
"Flot1","FLOT1",5742,93.2033,6799,101.931,5407,92.4631,95.8658,"FLOT1",58.754971,67.637724,58.322652,255,1117,604,61.5717823333333,1.54807480924828
"Flot2","FLOT2",8017,55.2929,9132,58.1725,7504,54.5248,55.9967333333,"FLOT2",24.370277,26.626209,28.467493,412,1707,1033,26.487993,2.07351381868076
"Flrt1","AP006333.1",231,2.6115,256,2.67309,227,2.70363,2.66274,"FLRT1",2.27085,2.140447,2.765332,92,331,241,2.39220966666667,1.07975047532931
"Flrt2","FLRT2",351,0.585852,390,0.601229,334,0.587315,0.591465333333,"FLRT2",3.091035,4.096183,4.132583,147,696,398,3.773267,0.333412175211024
"Flrt3","FLRT3",722,5.45149,565,3.94023,458,3.64324,4.34498666667,"FLRT3",3.978817,4.759381,6.412999,105,458,362,5.050399,0.883410609229243
"Flt1","FLT1",796,0.751462,844,0.735921,732,0.72803,0.738471,"FLT1",20.688813,15.057834,12.498341,530,1927,1165,16.0816626666667,0.101774109108973
"Flt3","FLT3",731,1.62666,731,1.50242,700,1.64105,1.59004333333,"FLT3",7.799544,7.010296,8.045679,192,655,425,7.61850633333333,0.300521138252533
"Flt4","FLT4",55,0.196345,67,0.220916,50,0.188049,0.20177,"FLT4",0.67488,0.749266,0.903485,29,122,83,0.775877,0.676719164671878
"Flvcr1","FLVCR1",1120,8.5582,1102,7.77751,974,7.84092,8.05887666667,"FLVCR1",3.885087,5.708996,5.747677,93,433,226,5.11392,1.48168060208017
"Flvcr2","FLVCR2",74,0.171305,96,0.20526,82,0.199984,0.192183,"FLVCR2",1.180294,1.682071,1.215007,27,89,60,1.359124,0.505349867154079
"Flywch1","FLYWCH1",6534,53.9147,7054,53.7599,5942,51.6541,53.1095666667,"FLYWCH1",154.734583,159.04533,153.413669,1857,7932,4384,155.731194,0.34523801730688
"Flywch2","FLYWCH2",136,2.30291,169,2.64313,153,2.72943,2.55849,"FLYWCH2",13.54787,12.827796,13.596948,40,148,81,13.3242046666667,0.248424962000217
"Fmc1","FMC1",147,3.83587,143,3.44649,112,3.07899,3.45378333333,"FMC1",39.694086,43.229418,41.098987,66,274,147,41.3408303333333,0.105188851948983
"Fmn1","FMN1",5419,2.16198,5160,1.90141,4864,2.04442,2.03593666667,"FMN1",3.130024,2.289832,2.071593,109,501,275,2.49714966666667,0.868117454510812
"Fmn2","FMN2",1151,0.556693,1219,0.544552,1143,0.582413,0.561219333333,"FMN2",24.186133,23.984791,27.600436,397,1578,1015,25.25712,0.0594588947048648
"Fmnl1","FMNL1",2521,14.0774,2535,13.0744,2407,14.1602,13.7706666667,"FMNL1",15.075828,26.793583,27.662193,293,1069,671,23.1772013333333,0.610933683475413
"Fmnl2","FMNL2",3023,1.70033,3005,1.56111,2934,1.7386,1.66668,"FMNL2",13.002549,12.557067,13.499097,465,1693,1016,13.019571,0.190211241128562
"Fmnl3","FMNL3",225,0.655714,272,0.732143,227,0.696951,0.694936,"FMNL3",2.499671,2.906597,2.601779,60,263,167,2.669349,0.461917359182787
"Fmo1","FMO1",835,3.49796,856,3.31205,612,2.701,3.17033666667,"FMO1",6.367427,3.337027,3.283171,46,95,49,4.32920833333333,0.782543373390982
"Fmo2","FMO2",280,1.78036,364,2.13769,249,1.66799,1.86201333333,"FMO2",2.674193,7.735287,20.320414,28,105,61,10.243298,0.254552830791286
"Fmo3","FMO3",2,0.0101018,1,0.00466513,0,0,0.00492231,"FMO3",0,0,0,0,0,0,0,1.00492231
"Fmo4","FMO4",41,0.306162,34,0.234499,30,0.236011,0.258890666667,"FMO4",0,0.085091,0,0,2,0,0.0283636666666667,1.22416875223486
"Fmo5","FMO5",303,1.77606,315,1.70538,312,1.9267,1.80271333333,"FMO5",1.494452,1.563901,1.91357,35,97,86,1.65730766666667,1.05471916876141
"Fmod","FMOD",17,0.239346,62,0.80624,13,0.192826,0.412804,"FMOD",4.778455,5.543922,4.360005,99,439,195,4.89412733333333,0.239696891516086
"Fmr1","FMR1",2019,7.94884,2166,7.87627,1869,7.75212,7.85907666667,"FMR1",20.484731,21.982913,18.579083,510,1650,948,20.348909,0.414966248002181
"Fmr1nb","FMR1NB",11,0.0399565,14,0.0469696,7,0.0267878,0.0379046333333,"FMR1NB",0,0.084843,0,0,1,0,0.028281,1.00935895278946
"Fn1","FN1",744,1.70617,1211,2.56501,749,1.80957,2.02691666667,"FN1",11.914092,13.838031,16.653361,331,1499,849,14.1351613333333,0.199992362156298
"Fn3k","FN3K",197,1.96265,175,1.61031,181,1.89977,1.82424333333,"FN3K",21.452193,19.88615,23.57804,141,524,333,21.6387943333333,0.124752373812221
"Fn3krp","FN3KRP",466,7.31467,463,6.7125,385,6.36668,6.79795,"FN3KRP",11.501271,10.075661,11.187744,188,624,393,10.9215586666667,0.654104905074493
"Fnbp1","FNBP1",7167,9.60582,7711,9.54559,7058,9.96604,9.70581666667,"FNBP1",124.332989,114.879141,116.67702,1659,7167,4083,118.629716666667,0.0894912816394979
"Fnbp1l","FNBP1L",1154,2.21133,1163,2.05837,1052,2.12377,2.13115666667,"FNBP1L",7.54586,13.994027,14.422774,237,1090,592,11.9875536666667,0.241089026234887
"Fnbp4","FNBP4",1360,5.92069,1353,5.44034,1256,5.76059,5.70720666667,"FNBP4",22.888616,20.647183,27.865153,239,938,657,23.8003173333333,0.270448421143993
"Fndc1","FNDC1",210,0.367321,242,0.390964,228,0.420151,0.392812,"FNDC1",0.074431,0.645127,0.323768,3,50,27,0.347775333333333,1.0334155593687
"Fndc10","FNDC10",422,30.6066,493,33.0252,389,29.7233,31.1183666667,"FNDC10",17.918191,19.711432,19.573516,232,920,519,19.067713,1.60049960185797
"Fndc11","FNDC11",1,0.0546126,1,0.0504415,2,0.115071,0.0733750333333,"FNDC11",0,0.119747,0,0,3,0,0.0399156666666667,1.03217507701743
"Fndc3a","FNDC3A",1498,1.35131,1439,1.19894,1352,1.28488,1.27837666667,"FNDC3A",14.92602,13.749343,12.214953,373,1493,825,13.6301053333333,0.155732075385604
"Fndc3b","FNDC3B",772,0.405973,824,0.400223,846,0.468699,0.424965,"FNDC3B",1.511386,2.000275,1.720019,72,359,175,1.74389333333333,0.519322301158451
"Fndc4","FNDC4",605,24.4599,600,22.405,518,22.0634,22.9761,"FNDC4",111.796173,124.620559,133.443785,416,1592,953,123.286839,0.192909403706051
"Fndc5","FNDC5",1083,22.1318,1073,20.2527,936,20.1516,20.8453666667,"FNDC5",58.902035,54.560541,57.765621,1065,3749,2246,57.0760656666667,0.376150939564048
"Fndc7","FNDC7",231,0.986851,226,0.89175,205,0.922651,0.933750666667,"FNDC7",0.100692,0.01422,0,2,1,0,0.038304,1.86241280652583
"Fndc8","FNDC8",56,1.00158,34,0.561657,40,0.753705,0.772314,"FNDC8",0.506319,0.603541,0.60036,7,32,18,0.570073333333333,1.12880969466394
"Fndc9","AC008676.3",88,3.14565,64,2.11301,75,2.82444,2.69436666667,"",0.750677,0.538504,0.476127,11,30,15,0.588436,2.32578880525876
"Fndc9","AC008676.3",88,3.14565,64,2.11301,75,2.82444,2.69436666667,"FNDC9",0.750677,0.538504,0.476127,11,30,15,0.588436,2.32578880525876
"Fndc9","FNDC9",88,3.14565,64,2.11301,75,2.82444,2.69436666667,"",0.750677,0.538504,0.476127,11,30,15,0.588436,2.32578880525876
"Fndc9","FNDC9",88,3.14565,64,2.11301,75,2.82444,2.69436666667,"FNDC9",0.750677,0.538504,0.476127,11,30,15,0.588436,2.32578880525876
"Fnip1","FNIP1",778,1.50871,767,1.37378,632,1.29118,1.39122333333,"FNIP1",9.886816,9.390364,9.996085,416,1447,881,9.757755,0.22227902878714
"Fnip2","FNIP2",441,0.612103,403,0.516637,338,0.49425,0.540996666667,"FNIP2",4.836663,4.717764,5.83867,185,689,470,5.13103233333333,0.251343751408531
"Fnta","FNTA",2269,20.8027,2289,19.3832,2044,19.7429,19.9762666667,"FNTA",66.280343,66.804783,65.449269,397,1545,859,66.1781316666667,0.312248437791971
"Fntb","FNTB",6788,6.76121,7198,6.622,6716,7.04754,6.81025,"CHURC1-FNTB",17.579287,19.278087,15.142354,156,802,460,17.3332426666667,0.42601574320513
"Fntb","FNTB",6788,6.76121,7198,6.622,6716,7.04754,6.81025,"FNTB",17.579287,19.278087,15.142354,156,802,460,17.3332426666667,0.42601574320513
"Fntb","CHURC1-FNTB",6788,6.76121,7198,6.622,6716,7.04754,6.81025,"CHURC1-FNTB",17.579287,19.278087,15.142354,156,802,460,17.3332426666667,0.42601574320513
"Fntb","CHURC1-FNTB",6788,6.76121,7198,6.622,6716,7.04754,6.81025,"FNTB",17.579287,19.278087,15.142354,156,802,460,17.3332426666667,0.42601574320513
"Focad","FOCAD",992,0.486649,1067,0.483463,900,0.465147,0.478419666667,"FOCAD",6.248031,7.946596,7.121843,129,617,352,7.10549,0.182397321650758
"Folh1","FOLH1",766,2.087,739,1.85966,689,1.97768,1.97478,"FOLH1",8.94599,5.741467,3.929528,91,339,161,6.20566166666667,0.412839255798161
"Folr1","FOLR1",2,0.0249172,2,0.0230141,3,0.0393762,0.0291025,"FOLR1",15.540071,21.996128,20.19825,27,191,131,19.2448163333333,0.0508328889260196
"Folr2","FOLR2",21,0.189422,31,0.258267,17,0.161549,0.203079333333,"FOLR2",1.398563,1.234688,0.850286,2,10,3,1.161179,0.556677319802293
"Fos","FOS",97,4.44896,79,3.34664,105,5.07364,4.28974666667,"FOS",9.455138,12.82638,17.121658,118,435,356,13.134392,0.374246495121262
"Fosb","FOSB",18,0.379794,17,0.331298,3,0.0666869,0.259259633333,"FOSB",0.707633,0.78107,0.566676,17,66,30,0.685126333333333,0.747279066514894
"Fosl1","FOSL1",96,1.77382,79,1.34822,85,1.65463,1.59222333333,"FOSL1",0,0.438404,0.517445,0,3,2,0.318616333333333,1.96586624008904
"Fosl2","FOSL2",397,2.79548,384,2.49742,386,2.8635,2.7188,"FOSL2",1.826795,1.55379,1.291684,75,266,125,1.557423,1.45412002629209
"Foxa1","FOXA1",2,0.0493589,0,0,0,0,0.0164529666667,"FOXA1",0,0.027575,0,0,2,0,0.00919166666666667,1.00719516444683
"Foxa3","FOXA3",4,0.0605398,0,0,1,0.015945,0.0254949333333,"FOXA3",0,0.020247,0.03582,0,1,1,0.018689,1.0066810708011
"Foxc1","FOXC1",54,1.43417,65,1.59447,68,1.90265,1.64376333333,"FOXC1",0.483712,0.67966,0.790207,18,87,58,0.651193,1.60112314752424
"Foxc2","FOXC2",45,2.56309,41,2.1569,21,1.26013,1.99337333333,"FOXC2",0.242045,0.361241,0.283145,4,20,9,0.295477,2.31063410105313
"Foxd1","FOXD1",22,0.674289,48,1.35881,28,0.904118,0.979072333333,"FOXD1",0.387129,0.257755,0.273688,12,28,17,0.306190666666667,1.51514812028438
"Foxd2","FOXD2",27,1.61676,30,1.6592,22,1.38787,1.55461,"FOXD2",0.065515,0.058398,0.101668,1,3,3,0.0751936666666667,2.37595335538001
"Foxd3","FOXD3",212,14.1585,202,12.4603,216,15.1977,13.9388333333,"FOXD3",0.158814,0.17833,0.21905,2,7,5,0.185398,12.6023777105242
"Foxe1","FOXE1",2,0.110705,0,0,0,0,0.0369016666667,"FOXE1",0,0,0,0,0,0,0,1.0369016666667
"Foxf1","FOXF1",6,0.24774,14,0.533909,15,0.652499,0.478049333333,"FOXF1",0.442175,0.43502,0.367555,7,25,12,0.414916666666667,1.04461935331857
"Foxf2","FOXF2",12,0.333305,8,0.205232,14,0.409669,0.316068666667,"FOXF2",1.242226,1.2277,1.729211,18,62,50,1.39971233333333,0.548427679595624
"Foxh1","FOXH1",0,0,0,0,3,0.284541,0.094847,"FOXH1",0,0,0,0,0,0,0,1.094847
"Foxi2","FOXI2",2,0.0936404,7,0.30271,5,0.246631,0.214327133333,"FOXI2",0,0,0.05603,0,0,2,0.0186766666666667,1.192063363252
"Foxi3","FOXI3",2,0.0684343,2,0.0632075,0,0,0.0438806,"FOXI3",0,0,0,0,0,0,0,1.0438806
"Foxj1","FOXJ1",636,21.0206,717,21.8878,569,19.8128,20.9070666667,"FOXJ1",5.633219,5.981587,5.389687,99,383,195,5.66816433333333,3.28532195242839
"Foxj2","FOXJ2",638,3.89044,598,3.36802,617,3.96376,3.74074,"FOXJ2",6.645648,7.89226,7.948031,218,894,532,7.495313,0.558041828476479
"Foxj3","FOXJ3",1508,2.54087,1587,2.46975,1349,2.39463,2.46841666667,"FOXJ3",14.369468,21.991287,24.099397,321,1330,811,20.153384,0.163965097341872
"Foxk1","FOXK1",838,2.1493,905,2.14386,848,2.29136,2.19484,"FOXK1",4.083362,5.078802,5.5854,210,988,613,4.91585466666667,0.540047073502595
"Foxk2","FOXK2",1734,5.39268,1768,5.07847,1545,5.06207,5.17774,"FOXK2",19.129203,21.534144,22.579385,496,1842,1084,21.0809106666667,0.279777410146671
"Foxl1","FOXL1",2,0.114757,1,0.0529962,0,0,0.0559177333333,"FOXL1",0.057134,0,0,1,0,0,0.0190446666666667,1.03618395529928
"Foxl2","FOXL2",0,0,2,0.0880557,2,0.10044,0.0628319,"FOXL2",0.351174,0.222739,0.181175,7,15,7,0.251696,0.849113442880699
"Foxm1","FOXM1",58,0.683014,57,0.619971,33,0.409411,0.570798666667,"FOXM1",0.157666,0.467966,0.661262,5,23,19,0.428964666666667,1.09925647800039
"Foxn1","FOXN1",1,0.00535536,1,0.00494633,3,0.016926,0.00907589666667,"FOXN1",0,0,0,0,0,0,0,1.00907589666667
"Foxn2","FOXN2",382,1.19001,374,1.0761,349,1.1454,1.13717,"FOXN2",5.598442,6.043059,8.068166,190,727,575,6.569889,0.282325143737246
"Foxn3","FOXN3",1454,0.604206,1441,0.553069,1324,0.579632,0.578969,"FOXN3",17.313155,20.909265,21.616253,749,2801,1648,19.9462243333333,0.075382034245058
"Foxn4","FOXN4",0,0,0,0,1,0.00832398,0.00277466,"FOXN4",0,0,0,0,0,0,0,1.00277466
"Foxo1","FOXO1",552,1.0093,610,1.03016,462,0.889953,0.976471,"FOXO1",3.312142,2.792401,2.737526,195,605,337,2.94735633333333,0.500707519944361
"Foxo3","FOXO3",2590,4.23528,2707,4.08851,2349,4.04678,4.12352333333,"FOXO3",20.41004,20.461387,22.972955,968,3502,2237,21.2814606666667,0.229945577176404
"Foxo4","FOXO4",408,9.97877,489,11.0464,392,10.1006,10.3752566667,"FOXO4",6.469483,5.908675,7.08495,129,463,311,6.48770266666667,1.5191918233265
"Foxo6","FOXO6",68,0.520656,63,0.44553,47,0.379126,0.448437333333,"FOXO6",0.910964,0.454016,0.562699,13,21,15,0.642559666666667,0.88181718005556
"Foxp1","AC097634.4",550,0.142898,555,0.133184,576,0.157663,0.144581666667,"",5.016009,8.690046,16.020096,155,563,335,9.908717,0.104923582366927
"Foxp1","AC097634.4",550,0.142898,555,0.133184,576,0.157663,0.144581666667,"FOXP1",5.016009,8.690046,16.020096,155,563,335,9.908717,0.104923582366927
"Foxp1","FOXP1",550,0.142898,555,0.133184,576,0.157663,0.144581666667,"",5.016009,8.690046,16.020096,155,563,335,9.908717,0.104923582366927
"Foxp1","FOXP1",550,0.142898,555,0.133184,576,0.157663,0.144581666667,"FOXP1",5.016009,8.690046,16.020096,155,563,335,9.908717,0.104923582366927
"Foxp2","FOXP2",76,0.0218188,117,0.031024,85,0.0257087,0.0261838333333,"FOXP2",3.24466,5.313942,3.424381,75,380,216,3.99432766666667,0.205469865379938
"Foxp3","FOXP3",206,1.4801,210,1.3936,186,1.40793,1.42721,"FOXP3",0,0.058674,0.104378,0,4,2,0.0543506666666667,2.30208988028019
"Foxp4","FOXP4",254,0.685464,271,0.675484,227,0.645388,0.668778666667,"FOXP4",10.448172,13.304237,11.561943,180,833,494,11.7714506666667,0.130664770214592
"Foxq1","FOXQ1",8,0.256385,14,0.414405,14,0.472688,0.381159333333,"FOXQ1",0.471016,0.685869,0.623912,15,77,40,0.593599,0.866691892585902
"Foxred1","FOXRED1",565,12.8019,604,12.6403,484,11.5536,12.3319333333,"FOXRED1",13.786816,18.610756,17.85599,147,605,319,16.7511873333333,0.751044596789601
"Foxred2","FOXRED2",142,1.36039,151,1.33612,148,1.49376,1.39675666667,"FOXRED2",5.6276,7.271056,7.123954,159,763,430,6.67420333333333,0.312313417115175
"Foxs1","FOXS1",33,3.90686,41,4.48325,38,4.7396,4.37657,"FOXS1",0.258836,0.203167,0.302402,2,6,5,0.254801666666667,4.28479666773368
"Fpgs","FPGS",250,1.80166,289,1.92364,277,2.10308,1.94279333333,"FPGS",2.019823,4.18202,5.656601,18,93,74,3.95281466666667,0.594165849397824
"Fpgt","FPGT",857,15.6745,845,14.2747,706,13.6039,14.5177,"FPGT",16.271911,12.001483,11.515947,157,523,313,13.2631136666667,1.08796020018163
"Fpr1","FPR1",2,0.0415553,10,0.191907,5,0.109449,0.114303766667,"FPR1",0,0.171635,0.242304,0,5,4,0.137979666666667,0.979194795220711
"Fpr2","FPR2",9,0.227913,15,0.350844,6,0.160075,0.246277333333,"FPR2",0.22211,0.126961,0,1,3,0,0.116357,1.11637884057967
"Fra10ac1","FRA10AC1",503,2.18831,434,1.74392,410,1.87918,1.93713666667,"FRA10AC1",7.183348,9.238259,9.211092,61,285,165,8.544233,0.307739413598767
"Fras1","FRAS1",246,0.09295,219,0.0764281,189,0.075235,0.0815377,"FRAS1",0.321536,4.070812,3.596515,36,241,116,2.66295433333333,0.295263768417169
"Frat2","FRAT2",110,7.90051,106,7.03174,114,8.62603,7.85276,"FRAT2",1.471239,1.437508,1.246239,18,58,29,1.38499533333333,3.71185631949524
"Frem1","FREM1",219,0.220119,233,0.216304,186,0.196957,0.211126666667,"FREM1",0.678799,1.453936,1.748402,42,222,155,1.29371233333333,0.528020296645889
"Frem2","FREM2",165,0.178565,191,0.190916,169,0.192683,0.187388,"FREM2",0.26316,0.345237,0.427772,23,69,50,0.345389666666667,0.882560665819494
"Frem3","FREM3",7,0.0128916,14,0.0238139,9,0.017462,0.0180558333333,"FREM3",0.090808,0.178694,0.073706,4,30,7,0.114402666666667,0.913543967351089
"Frg1","FRG1",433,3.42606,499,3.64672,412,3.43438,3.50238666667,"",19.212484,15.398563,16.635109,106,317,193,17.082052,0.248997551089334
"Frg2f1","FRG2",269,4.52735,246,3.82403,229,4.06042,4.13726666667,"FRG2",7.807341,5.649966,5.933471,39,105,62,6.46359266666667,0.68831016054958
"Frg2f1","FRG2",269,4.52735,246,3.82403,229,4.06042,4.13726666667,"FRG2C",7.807341,5.649966,5.933471,39,105,62,6.46359266666667,0.68831016054958
"Frg2f1","FRG2",269,4.52735,246,3.82403,229,4.06042,4.13726666667,"FRG2B",7.807341,5.649966,5.933471,39,105,62,6.46359266666667,0.68831016054958
"Frg2f1","FRG2B",269,4.52735,246,3.82403,229,4.06042,4.13726666667,"FRG2",7.807341,5.649966,5.933471,39,105,62,6.46359266666667,0.68831016054958
"Frg2f1","FRG2B",269,4.52735,246,3.82403,229,4.06042,4.13726666667,"FRG2C",7.807341,5.649966,5.933471,39,105,62,6.46359266666667,0.68831016054958
"Frg2f1","FRG2B",269,4.52735,246,3.82403,229,4.06042,4.13726666667,"FRG2B",7.807341,5.649966,5.933471,39,105,62,6.46359266666667,0.68831016054958
"Frg2f1","FRG2C",269,4.52735,246,3.82403,229,4.06042,4.13726666667,"FRG2",7.807341,5.649966,5.933471,39,105,62,6.46359266666667,0.68831016054958
"Frg2f1","FRG2C",269,4.52735,246,3.82403,229,4.06042,4.13726666667,"FRG2C",7.807341,5.649966,5.933471,39,105,62,6.46359266666667,0.68831016054958
"Frg2f1","FRG2C",269,4.52735,246,3.82403,229,4.06042,4.13726666667,"FRG2B",7.807341,5.649966,5.933471,39,105,62,6.46359266666667,0.68831016054958
"Frk","FRK",98,0.118943,98,0.109859,94,0.120195,0.116332333333,"FRK",0.092614,0.169511,0.308346,3,19,21,0.190157,0.937970648690047
"Frmd3","FRMD3",3401,2.7963,3544,2.69132,3028,2.62287,2.70349666667,"FRMD3",1.182635,2.347053,2.677385,24,165,102,2.06902433333333,1.20673421401242
"Frmd4a","FRMD4A",415,0.108014,424,0.101928,479,0.131345,0.113762333333,"FRMD4A",12.839019,38.305812,36.130468,293,1228,747,29.0917663333333,0.0370121953293004
"Frmd4b","FRMD4B",1166,0.547286,1323,0.573549,1182,0.58449,0.568441666667,"FRMD4B",12.691252,8.187125,6.714266,117,596,324,9.19754766666667,0.153805769576725
"Frmd5","FRMD5",169,0.100285,180,0.098654,172,0.107528,0.102155666667,"FRMD5",15.145813,15.939505,15.180607,237,1057,560,15.421975,0.0671146842366403
"Frmd6","FRMD6",940,1.90165,890,1.66298,895,1.90752,1.82405,"FRMD6",4.898375,4.591541,4.587983,147,521,259,4.692633,0.496088541102158
"Frmd7","FRMD7",158,0.515938,154,0.464468,143,0.491949,0.490785,"FRMD7",0.154341,0.266225,0.361355,2,13,10,0.260640333333333,1.18256171929556
"Frmd8","FRMD8",899,5.45626,866,4.85454,757,4.84033,5.05037666667,"FRMD8",5.197284,7.495357,6.719621,161,764,339,6.470754,0.809874969336428
"Frmpd1","FRMPD1",3828,5.87897,3880,5.50371,3672,5.94122,5.77463333333,"FRMPD1",2.330539,3.184232,3.150588,77,402,224,2.888453,1.74224385207433
"Frmpd2","FRMPD2",5,0.00749266,2,0.00276816,0,0,0.00342027333333,"FRMPD2",0.293348,0.262852,0.866314,6,28,14,0.474171333333333,0.680667335366262
"Frmpd3","FRMPD3",809,1.34718,822,1.26428,791,1.38771,1.33305666667,"FRMPD3",7.170291,7.024615,7.023087,258,1095,532,7.07266433333333,0.289007020524368
"Frmpd4","FRMPD4",1874,0.263004,1796,0.232806,1773,0.262147,0.252652333333,"FRMPD4",10.28988,9.14947,10.933718,563,1852,1274,10.124356,0.112604480954493
"Frrs1","FRRS1",33,0.105142,33,0.0971118,27,0.0906298,0.0976278666667,"FRRS1",0.824709,0.483255,0.919969,8,41,10,0.742644333333333,0.62986338960352
"Frrs1l","FRRS1L",1492,6.97107,1558,6.72346,1308,6.43846,6.71099666667,"FRRS1L",54.151188,51.578386,60.608545,2539,8931,5974,55.4460396666667,0.136608284871819
"Frs2","FRS2",1398,2.74286,1321,2.39384,1284,2.65403,2.59691,"FRS2",8.981305,10.178325,10.09186,392,1607,920,9.75049666666667,0.334580820917111
"Frs3","FRS3",388,3.94711,437,4.10605,338,3.6225,3.89188666667,"FRS3",15.881986,18.419032,17.198251,95,430,222,17.166423,0.269281776972275
"Fry","FRY",3307,1.3539,3426,1.29549,3229,1.39272,1.34737,"FRY",22.640485,36.486611,42.020731,927,4225,2593,33.7159423333333,0.0676164851716013
"Fryl","FRYL",6623,4.34407,6961,4.21704,6132,4.23729,4.26613333333,"FRYL",26.059012,43.958973,37.950067,490,1983,1135,35.9893506666667,0.142368904520285
"Frzb","FRZB",1154,5.02331,1189,4.78037,1058,4.85192,4.8852,"FRZB",1.925841,2.981669,2.239586,38,151,68,2.38236533333333,1.73996579908183
"Fscn1","FSCN1",484,5.84919,640,7.14374,528,6.72246,6.57179666667,"FSCN1",51.850149,79.815664,65.89616,326,1474,783,65.853991,0.113258708319598
"Fscn2","FSCN2",24,0.561419,13,0.280876,15,0.369668,0.403987666667,"FSCN2",0,0.290194,0.131129,0,4,3,0.140441,1.23109189047658
"Fsd1","FSD1",1006,15.0526,1088,15.0361,933,14.7075,14.9320666667,"FSD1",75.349971,121.091948,89.485367,135,665,349,95.3090953333333,0.165426397284263
"Fsd1l","FSD1L",4443,9.12898,4328,8.21349,3924,8.49413,8.6122,"FSD1L",6.408484,7.287993,7.677658,200,959,456,7.12471166666667,1.18308198424272
"Fsd2","FSD2",24,0.110742,22,0.0937599,30,0.145836,0.1167793,"FSD2",0.186268,0.098235,0.121482,5,10,7,0.135328333333333,0.983661965628152
"Fshr","FSHR",45,0.0323766,56,0.0372136,51,0.0386574,0.0360825333333,"FSHR",0,0.017486,0,0,1,0,0.00582866666666667,1.03007854883168
"Fsip1","FSIP1",38,0.0466082,36,0.0407827,25,0.0323045,0.0398984666667,"FSIP1",0.213504,0.261923,0.18288,2,9,4,0.219435666666667,0.852770256842878
"Fsip2","FSIP2",3,0.00713015,2,0.00439038,1,0.00250392,0.00467481666667,"FSIP2",0,0,0.017753,0,0,1,0.00591766666666667,0.998764461504971
"Fst","FST",86,2.0036,57,1.22654,62,1.52177,1.58397,"FST",0,0.193472,0.148567,0,10,5,0.114013,2.31951512235495
"Fstl1","FSTL1",53262,138.606,55231,132.752,47479,130.17,133.842666667,"FSTL1",37.856266,57.952879,41.938765,408,1468,787,45.91597,2.87413148799865
"Fstl3","FSTL3",177,5.12633,150,4.01254,162,4.94302,4.69396333333,"FSTL3",0.739907,0.366899,0.461073,7,14,7,0.522626333333333,3.73956709448521
"Fstl4","FSTL4",77,0.0281929,58,0.0196142,50,0.0192869,0.0223646666667,"FSTL4",1.5788,1.833725,2.305056,47,207,147,1.90586033333333,0.351828563451272
"Fstl5","FSTL5",1074,0.262201,1167,0.263146,972,0.25,0.258449,"FSTL5",13.201499,10.05678,11.625939,273,925,592,11.6280726666667,0.0996548747554984
"Ftcd","FTCD",5,0.0528245,0,0,2,0.0222607,0.0250284,"FTCD",0,0.01359,0,0,1,0,0.00453,1.02040596099669
"Fth1","FTH1",21052,725.941,23057,734.354,22691,824.339,761.544666667,"FTH1",5046.139091,4883.236331,4745.988706,9067,30524,17068,4891.78804266667,0.15585074604037
"Ftl1","FTL",9384,750.377,10151,749.713,9143,770.237,756.775666667,"FTL",204.987497,222.092257,233.464568,845,3766,2191,220.181440666667,3.42603639972222
"Fto","FTO",1166,0.509907,1218,0.491966,1099,0.506331,0.502734666667,"FTO",53.988608,58.734346,62.239211,1127,4819,2882,58.3207216666667,0.0253323733165474
"Ftsj1","FTSJ1",411,4.64305,504,5.25881,356,4.23697,4.71294333333,"FTSJ1",10.907561,11.866248,9.888969,116,418,225,10.8875926666667,0.4805803406563
"Ftsj3","FTSJ3",613,13.7133,653,13.4924,522,12.3026,13.1694333333,"FTSJ3",13.190454,11.096726,11.405282,127,486,283,11.8974873333333,1.09861967428953
