"Mm_genes","Human_Symbol","mDRG1_read","mDRG1_TPM","mDRG2_read","mDRG2_TPM","mDRG3_read","mDRG3_TPM","mDRG_Avg_TPM","Hs_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","FoldChange"
"Akap7","AKAP7",578,0.64642,584,0.603246,499,0.587938,0.612534666667,"AKAP7",10.270986,15.787766,10.675909,270,268,220,12.244887,0.121747710393226
"Akap8","AKAP8",1829,16.1597,1782,14.5419,1540,14.3346,15.0120666667,"AKAP8",10.432145,10.967748,6.761669,532,406,282,9.38718733333333,1.54152092889631
"Akap8l","AKAP8L",1444,7.67961,1483,7.28464,1489,8.34278,7.76901,"AKAP8L",13.591946,13.864708,16.250898,334,280,232,14.569184,0.563228618789527
"Akap9","AKAP9",3172,3.2124,3100,2.8997,2902,3.09626,3.06945333333,"AKAP9",4.444839,5.099548,5.017615,654,636,495,4.85400066666667,0.695157647743691
"Akip1","AKIP1",124,2.26423,136,2.29367,104,2.00067,2.18619,"AKIP1",4.039754,3.376137,3.19544,61,52,39,3.53711033333333,0.702250940778679
"Akirin1","AKIRIN1",2919,28.698,3055,27.7411,2474,25.6248,27.3546333333,"AKIRIN1",3.66173,3.748211,4.031643,331,299,247,3.81386133333333,5.8902056727226
"Akirin2","AKIRIN2",1446,14.0516,1425,12.7899,1248,12.7766,13.2060333333,"AKIRIN2",7.491619,6.426118,6.739804,287,243,180,6.885847,1.80145941625548
"Akna","AKNA",91,0.389843,103,0.40755,87,0.392656,0.396683,"AKNA",0.398901,0.387632,0.422534,77,71,58,0.403022333333333,0.995481658999488
"Aknad1","AKNAD1",8,0.0291117,4,0.0134441,6,0.0230024,0.0218527333333,"AKNAD1",0,0,0.016302,0,0,2,0.005434,1.01632999613431
"Akr1a1","AKR1A1",9611,98.3267,10609,100.247,8980,96.7884,98.4540333333,"AKR1A1",42.133316,39.754477,35.503521,1288,1188,1033,39.130438,2.47826932099022
"Akr1b3","AKR1B1",846,8.72761,1107,10.5479,837,9.09692,9.45747666667,"AKR1B1",47.156014,53.727014,67.14614,1746,1718,1592,56.0097226666667,0.183433214152161
"Akr1b8","AKR1B10",98,1.06033,105,1.0493,90,1.0259,1.04517666667,"AKR1B10",0.47846,0.434757,0.844802,19,16,20,0.586006333333333,1.2895135559589
"Akr1d1","AKR1D1",11,0.0441813,13,0.0482263,15,0.0634719,0.0519598333333,"AKR1D1",0.024053,0.02644,0,2,2,0,0.016831,1.03454736660596
"Akr1e1","AKR1E2",597,5.02903,595,4.62936,530,4.70359,4.78732666667,"AKR1E2",12.485194,12.483608,9.803645,222,194,194,11.5908156666667,0.459646683732457
"Akr7a5","AKR7L",314,6.34331,334,6.232,313,6.66154,6.41228333333,"AKR7L",6.502004,8.148765,8.645979,240,308,220,7.76558266666667,0.845612164667281
"Akt1","AKT1",4475,32.9738,4912,33.4295,4252,33.0076,33.1369666667,"AKT1",39.34413,37.251325,38.075777,1640,1680,1425,38.223744,0.870313824878624
"Akt1s1","AKT1S1",858,20.7074,888,19.7946,801,20.3664,20.2894666667,"AKT1S1",15.037209,22.146027,16.334972,255,327,215,17.8394026666667,1.13004998318595
"Akt2","AKT2",1568,4.93897,1606,4.6723,1462,4.85156,4.82094333333,"AKT2",26.947262,22.796341,24.60986,1705,1626,1360,24.7844876666667,0.225753693793774
"Akt3","AKT3",7137,4.65175,7717,4.64563,6804,4.67207,4.65648333333,"AKT3",1.970857,2.157147,1.933602,262,269,192,2.02053533333333,1.87267577071768
"Aktip","AKTIP",3959,6.96736,3867,6.28567,3555,6.59123,6.61475333333,"AKTIP",14.257196,10.410042,12.114959,477,443,387,12.2607323333333,0.574233243075791
"Alad","ALAD",245,3.53732,294,3.92058,264,4.01566,3.82452,"ALAD",7.166249,8.932813,10.091555,263,304,258,8.73020566666667,0.495829190592306
"Alas1","ALAS1",835,8.52629,979,9.23317,839,9.02567,8.92837666667,"ALAS1",57.49609,73.586132,79.587225,1545,1733,1564,70.223149,0.139398170483448
"Alas2","ALAS2",153,1.02076,574,3.53703,236,1.65878,2.07219,"ALAS2",5.802187,3.593465,19.863647,353,210,896,9.75309966666667,0.285702736441979
"Alb","ALB",1,0.00988215,0,0,3,0.0312332,0.0137051166667,"ALB",0.016334,0.017604,0,1,1,0,0.0113126666666667,1.00236568776293
"Alcam","ALCAM",6079,4.60074,6392,4.46815,5235,4.17404,4.41431,"ALCAM",0.785329,0.190414,0.639277,28,15,14,0.53834,3.5195795467842
"Aldh16a1","ALDH16A1",236,2.63501,275,2.83595,261,3.07012,2.84702666667,"ALDH16A1",9.299978,5.44305,8.286418,104,74,85,7.676482,0.443385541129458
"Aldh18a1","ALDH18A1",2219,9.01429,2188,8.20949,1967,8.41826,8.54734666667,"ALDH18A1",2.0403,2.506147,2.422413,87,101,66,2.32295333333333,2.87315099219068
"Aldh1a1","ALDH1A1",291,0.299606,324,0.308104,286,0.310218,0.305976,"ALDH1A1",4.352898,4.628863,4.164475,252,233,175,4.38207866666667,0.242652714849455
"Aldh1a2","ALDH1A2",25,0.0482285,30,0.053454,15,0.0304859,0.0440561333333,"ALDH1A2",0.522315,0.636803,0.508116,37,42,26,0.555744666666667,0.67109735659277
"Aldh1a3","ALDH1A3",84,0.355945,118,0.461828,91,0.406246,0.408006333333,"ALDH1A3",0.097427,0.154639,0.367282,9,4,10,0.206449333333333,1.16706627823547
"Aldh1b1","ALDH1B1",73,2.02942,78,2.00281,56,1.64014,1.89079,"ALDH1B1",3.944245,3.795525,3.079856,155,138,119,3.606542,0.627540137482737
"Aldh1l1","ALDH1L1",227,0.309662,252,0.31751,258,0.370788,0.332653333333,"ALDH1L1",1.032685,0.195793,1.069726,23,20,25,0.766068,0.754587781066754
"Aldh1l2","ALDH1L2",267,0.887555,252,0.773712,264,0.924553,0.86194,"ALDH1L2",0.854908,1.885642,1.284664,135,99,128,1.341738,0.795110298419379
"Aldh2","AC002996.1",1843,10.2903,2222,11.4589,1767,10.394,10.7144,"ALDH2",71.829189,68.98007,73.346721,2094,2000,1596,71.3853266666667,0.161833903906307
"Aldh2","ALDH2",1843,10.2903,2222,11.4589,1767,10.394,10.7144,"ALDH2",71.829189,68.98007,73.346721,2094,2000,1596,71.3853266666667,0.161833903906307
"Aldh3a1","ALDH3A1",7,0.0998129,8,0.105359,5,0.0751108,0.0934275666667,"ALDH3A1",0.055743,0,0.129152,3,0,5,0.0616316666666667,1.02995002974983
"Aldh3a2","ALDH3A2",2198,7.74495,2320,7.55046,2003,7.4356,7.57700333333,"ALDH3A2",6.595499,6.832572,7.414873,272,284,252,6.947648,1.0791876204545
"Aldh3b1","ALDH3B1",209,1.98791,255,2.24019,205,2.05422,2.09410666667,"ALDH3B1",0.270082,0.306304,0.40267,17,18,17,0.326352,2.33279451206769
"Aldh3b3","ALDH3B2",11,0.126852,21,0.223675,21,0.255133,0.201886666667,"ALDH3B2",0.008034,0.045498,0.059075,1,1,3,0.0375356666666667,1.15840515683509
"Aldh4a1","ALDH4A1",660,3.81875,665,3.55381,606,3.69397,3.68884333333,"ALDH4A1",12.424718,12.495292,14.500516,1450,1376,1201,13.1401753333333,0.331597255535917
"Aldh5a1","ALDH5A1",585,3.01823,637,3.0355,548,2.97866,3.01079666667,"ALDH5A1",3.138249,2.753406,2.888262,572,476,377,2.926639,1.02143249396494
"Aldh6a1","ALDH6A1",1410,10.7869,1553,10.9735,1362,10.9774,10.9126,"ALDH6A1",27.164111,25.994638,33.084855,2861,2497,2531,28.747868,0.400452227366344
"Aldh7a1","ALDH7A1",1677,4.11421,1720,3.89742,1530,3.95448,3.98870333333,"ALDH7A1",7.347513,13.39723,12.466987,336,314,240,11.0705766666667,0.413294531909688
"Aldh8a1","ALDH8A1",6,0.048264,3,0.0222889,2,0.0169491,0.0291673333333,"ALDH8A1",0.011756,0,0,1,0,0,0.00391866666666667,1.02515011176201
"Aldh9a1","ALDH9A1",1184,9.91088,1276,9.8652,1184,10.4413,10.07246,"ALDH9A1",6.051512,3.518544,5.161032,364,273,244,4.91036266666667,1.87339772945687
"Aldoart1","AC093512.2",787,59.5271,886,61.8968,746,59.446,60.2899666667,"ALDOA",0.015386,0.01659,0,1,1,0,0.0106586666666667,60.6435868885836
"Aldoart1","ALDOA",787,59.5271,886,61.8968,746,59.446,60.2899666667,"ALDOA",0.015386,0.01659,0,1,1,0,0.0106586666666667,60.6435868885836
"Aldob","ALDOB",14,0.16034,17,0.179828,15,0.180988,0.173718666667,"ALDOB",1.928725,1.023323,1.34077,47,46,38,1.43093933333333,0.482825157572971
"Aldoc","ALDOC",2545,82.0538,2840,84.5715,2508,85.1888,83.9380333333,"ALDOC",0.273399,0,0.153658,2,0,2,0.142352333333333,74.3536217809917
"Alg1","ALG1L",597,8.20579,684,8.68355,583,8.44226,8.44386666667,"ALG1L2",2.955572,3.162016,2.287147,109,111,68,2.80157833333333,2.48419625708182
"Alg1","ALG1L",597,8.20579,684,8.68355,583,8.44226,8.44386666667,"ALG1",2.955572,3.162016,2.287147,109,111,68,2.80157833333333,2.48419625708182
"Alg1","ALG1",597,8.20579,684,8.68355,583,8.44226,8.44386666667,"ALG1L2",2.955572,3.162016,2.287147,109,111,68,2.80157833333333,2.48419625708182
"Alg1","ALG1",597,8.20579,684,8.68355,583,8.44226,8.44386666667,"ALG1",2.955572,3.162016,2.287147,109,111,68,2.80157833333333,2.48419625708182
"Alg1","ALG1L2",597,8.20579,684,8.68355,583,8.44226,8.44386666667,"ALG1L2",2.955572,3.162016,2.287147,109,111,68,2.80157833333333,2.48419625708182
"Alg1","ALG1L2",597,8.20579,684,8.68355,583,8.44226,8.44386666667,"ALG1",2.955572,3.162016,2.287147,109,111,68,2.80157833333333,2.48419625708182
"Alg10b","ALG10",1416,23.9904,1456,22.784,1210,21.5975,22.7906333333,"ALG10",2.783092,2.44225,3.130117,631,511,508,2.785153,6.28525011625686
"Alg10b","ALG10",1416,23.9904,1456,22.784,1210,21.5975,22.7906333333,"ALG10B",2.783092,2.44225,3.130117,631,511,508,2.785153,6.28525011625686
"Alg10b","ALG10B",1416,23.9904,1456,22.784,1210,21.5975,22.7906333333,"ALG10",2.783092,2.44225,3.130117,631,511,508,2.785153,6.28525011625686
"Alg10b","ALG10B",1416,23.9904,1456,22.784,1210,21.5975,22.7906333333,"ALG10B",2.783092,2.44225,3.130117,631,511,508,2.785153,6.28525011625686
"Alg11","ALG11",1119,15.9236,1067,14.024,957,14.3472,14.7649333333,"ALG11",0.53347,1.302295,2.19627,87,81,61,1.34401166666667,6.72562067735727
"Alg12","ALG12",373,4.11318,373,3.79903,335,3.89186,3.93469,"ALG12",0.715394,0.81644,0.758626,48,52,37,0.763486666666667,2.79825761843016
"Alg14","ALG14",748,1.62778,781,1.56978,594,1.36183,1.51979666667,"ALG14",1.801123,4.972831,2.45893,91,116,87,3.077628,0.61795648516
"Alg2","ALG2",3769,63.1254,3662,56.6488,3388,59.7813,59.8518333333,"ALG2",2.226672,1.331747,1.903352,90,71,65,1.82059033333333,21.574148012266
"Alg3","ALG3",241,5.8795,220,4.95725,228,5.86006,5.56560333333,"ALG3",1.528161,1.025291,1.49398,58,42,39,1.349144,2.79489181307319
"Alg5","ALG5",484,4.76053,482,4.37877,390,4.04128,4.39352666667,"ALG5",1.889248,2.253072,2.116949,82,93,64,2.086423,1.74750080163024
"Alg6","ALG6",418,1.35735,421,1.26268,361,1.235,1.28501,"ALG6",3.247326,2.080643,2.120767,94,78,75,2.482912,0.656063087439476
"Alg8","ALG8",191,1.44047,186,1.29563,178,1.41428,1.38346,"ALG8",1.402344,0.875989,1.869172,35,23,33,1.38250166666667,1.00040223826356
"Alg9","ALG9",297,0.672714,296,0.619243,279,0.665767,0.652574666667,"",3.923449,7.873307,8.084229,75,74,65,6.626995,0.216674413273773
"Alg9","ALG9",297,0.672714,296,0.619243,279,0.665767,0.652574666667,"ALG9",3.923449,7.873307,8.084229,75,74,65,6.626995,0.216674413273773
"Alg9","AP001781.2",297,0.672714,296,0.619243,279,0.665767,0.652574666667,"",3.923449,7.873307,8.084229,75,74,65,6.626995,0.216674413273773
"Alg9","AP001781.2",297,0.672714,296,0.619243,279,0.665767,0.652574666667,"ALG9",3.923449,7.873307,8.084229,75,74,65,6.626995,0.216674413273773
"Alk","ALK",118,0.0248957,115,0.0224096,108,0.0240055,0.0237702666667,"ALK",0,0,0,0,0,0,0,1.0237702666667
"Alkal1","ALKAL1",135,0.589999,136,0.548973,105,0.483449,0.540807,"ALKAL1",0,0,0,0,0,0,0,1.540807
"Alkal2","ALKAL2",335,5.45421,376,5.65419,466,7.99314,6.36718,"ALKAL2",0,0.02317,0.112104,0,1,3,0.0450913333333333,7.04931690180826
"Alkbh1","ALKBH1",331,2.82617,300,2.36585,260,2.33877,2.51026333333,"ALKBH1",1.609538,1.718858,0.832982,76,62,47,1.387126,1.47049771705809
"Alkbh2","ALKBH2",77,2.78386,107,3.57301,79,3.00903,3.12196666667,"ALKBH2",0.171871,0.128833,0.535805,4,3,10,0.278836333333333,3.22321673167194
"Alkbh3","ALKBH3",987,5.06284,975,4.6193,788,4.25841,4.64685,"ALKBH3",10.98825,11.609059,12.299661,198,198,180,11.6323233333333,0.447015948768464
"Alkbh4","ALKBH4",134,3.8022,152,3.98353,150,4.48399,4.08990666667,"ALKBH4",0.344953,0.903665,0.484355,19,30,19,0.577657666666667,3.22624278651283
"Alkbh5","ALKBH5",1572,11.0242,1524,9.87134,1395,10.3066,10.4007133333,"ALKBH5",7.549329,8.011716,8.786591,1120,1101,844,8.11587866666667,1.25064338284669
"Alkbh6","ALKBH6",379,10.5269,449,11.5187,362,10.5929,10.8795,"ALKBH6",4.673608,3.041307,4.056346,91,71,59,3.92375366666667,2.41269178034292
"Alkbh7","ALKBH7",124,9.70056,169,12.2112,132,10.8791,10.9302866667,"ALKBH7",9.809829,10.430087,10.759742,170,197,133,10.3332193333333,1.05268294169606
"Alkbh8","ALKBH8",825,2.28595,737,1.88614,733,2.13974,2.10394333333,"ALKBH8",1.205961,1.390855,3.152213,189,151,127,1.916343,1.06432725277171
"Allc","ALLC",3,0.016185,4,0.0199318,3,0.0170513,0.0177227,"ALLC",0,0,0.063038,0,0,2,0.0210126666666667,0.996777741575521
"Alms1","ALMS1",312,0.420274,284,0.353339,278,0.394518,0.389377,"ALMS1",0.212717,0.117513,0.204386,58,33,44,0.178205333333333,1.17923163364846
"Alox12","ALOX12",31,0.346224,41,0.422936,36,0.423587,0.397582333333,"ALOX12",0.438406,0.469994,0.746029,42,39,50,0.551476333333333,0.900808026075594
"Alox12b","ALOX12B",20,0.242438,19,0.212726,9,0.114936,0.190033333333,"ALOX12B",0,0,0,0,0,0,0,1.190033333333
"Alox15","ALOX15",0,0,1,0.0181922,0,0,0.00606406666667,"ALOX15",0,0.013684,0.017719,0,1,1,0.0104676666666667,0.995642017903924
"Alox5","ALOX5",25,0.075931,18,0.0504948,14,0.0447972,0.0570743333333,"ALOX5",3.67794,4.193225,3.621332,139,151,118,3.83083233333333,0.218818261614951
"Alox5ap","ALOX5AP",41,0.272099,67,0.410688,40,0.27967,0.320819,"ALOX5AP",3.759175,6.331407,8.20367,35,60,47,6.098084,0.186081060748224
"Alox8","ALOX15B",4,0.0446259,3,0.0309132,4,0.0470145,0.0408512,"ALOX15B",0,0,0,0,0,0,0,1.0408512
"Aloxe3","ALOXE3",7,0.04679,6,0.0370426,5,0.0352102,0.0396809333333,"ALOXE3",0,0,0.008829,0,0,1,0.002943,1.03663013085818
"Alpk1","ALPK1",447,0.629466,436,0.567082,385,0.571175,0.589241,"ALPK1",0.583357,0.240285,0.26447,48,40,32,0.362704,1.16624079770809
"Alpk2","ALPK2",7,0.00845247,8,0.00892217,13,0.0165376,0.01130408,"ALPK2",10.829524,9.1688,7.857272,1771,1414,1039,9.28519866666667,0.0983261590539363
"Alpk3","ALPK3",9,0.0290938,11,0.0328432,11,0.0374623,0.0331331,"ALPK3",9.602706,11.012265,7.362036,1704,1614,1131,9.325669,0.100054834219458
"Alpl","ALPL",185,0.525391,189,0.495756,139,0.415882,0.479009666667,"ALPL",10.053321,15.376877,5.351165,272,354,226,10.2604543333333,0.131345469985951
"Alppl2","ALPP",1,0.0479781,0,0,0,0,0.0159927,"ALPP",0,0,0,0,0,0,0,1.0159927
"Alppl2","ALPP",1,0.0479781,0,0,0,0,0.0159927,"ALPG",0,0,0,0,0,0,0,1.0159927
"Alppl2","ALPP",1,0.0479781,0,0,0,0,0.0159927,"ALPI",0,0,0,0,0,0,0,1.0159927
"Alppl2","ALPG",1,0.0479781,0,0,0,0,0.0159927,"ALPP",0,0,0,0,0,0,0,1.0159927
"Alppl2","ALPG",1,0.0479781,0,0,0,0,0.0159927,"ALPG",0,0,0,0,0,0,0,1.0159927
"Alppl2","ALPG",1,0.0479781,0,0,0,0,0.0159927,"ALPI",0,0,0,0,0,0,0,1.0159927
"Als2","ALS2",1373,2.8679,1432,2.76268,1295,2.84975,2.82677666667,"ALS2",0.876001,1.193944,1.261822,175,191,151,1.110589,1.81313210040894
"Als2cl","ALS2CL",123,0.923997,114,0.79098,84,0.664797,0.793258,"ALS2CL",2.864148,2.498496,2.488322,233,175,147,2.61698866666667,0.495787563982783
"Alx3","ALX3",5,0.0722171,6,0.0800417,2,0.030433,0.0608972666667,"ALX3",0,0,0,0,0,0,0,1.0608972666667
"Alx4","ALX4",12,0.0478106,16,0.0588786,15,0.0629619,0.0565503666667,"ALX4",0.039307,0.044556,0.045285,7,8,6,0.0430493333333333,1.01294381090319
"Amacr","AMACR",360,3.75733,373,3.59568,345,3.7935,3.71550333333,"AMACR",7.732539,8.132627,8.863791,250,275,227,8.24298566666667,0.51017101003799
"Ambn","AMBN",1,0.0123761,0,0,0,0,0.00412536666667,"AMBN",0,0,0,0,0,0,0,1.00412536666667
"Ambp","AMBP",2,0.0269343,1,0.0124386,3,0.0425639,0.0273122666667,"AMBP",0,0.028623,0,0,1,0,0.009541,1.01760331345304
"Ambra1","AMBRA1",1502,1.23532,1509,1.14628,1433,1.24165,1.20775,"AMBRA1",17.841576,11.129068,4.502516,255,229,189,11.15772,0.181592436739783
"Amd2","AMD1",2188,105.531,2207,98.3169,1957,99.4411,101.096333333,"AMD1",0.149193,0.44476,0.279396,15,41,20,0.291116333333333,79.0760140640567
"Amdhd1","AMDHD1",1,0.00929618,2,0.0171723,0,0,0.00882282666667,"AMDHD1",0,0,0,0,0,0,0,1.00882282666667
"Amdhd2","AMDHD2",292,5.71226,307,5.547,246,5.06995,5.44307,"",2.125947,1.04628,3.01239,38,46,48,2.061539,2.10451998161709
"Amdhd2","AMDHD2",292,5.71226,307,5.547,246,5.06995,5.44307,"AMDHD2",2.125947,1.04628,3.01239,38,46,48,2.061539,2.10451998161709
"Amdhd2","AC093525.1",292,5.71226,307,5.547,246,5.06995,5.44307,"",2.125947,1.04628,3.01239,38,46,48,2.061539,2.10451998161709
"Amdhd2","AC093525.1",292,5.71226,307,5.547,246,5.06995,5.44307,"AMDHD2",2.125947,1.04628,3.01239,38,46,48,2.061539,2.10451998161709
"Amer1","AMER1",1086,6.86447,1056,6.16504,1020,6.79237,6.60729333333,"AMER1",0.357228,0.335238,0.455989,101,88,93,0.382818333333333,5.50129626571579
"Amer2","AMER2",2993,31.0958,3029,29.0663,2687,29.4108,29.8576333333,"AMER2",0,0.109692,0.004071,0,1,1,0.037921,29.7302331615797
"Amer3","AMER3",727,9.99619,775,9.8423,631,9.14057,9.65968666667,"AMER3",0,0,0,0,0,0,0,10.65968666667
"Amfr","AMFR",4133,15.5491,4190,14.5596,3714,14.7206,14.9431,"AMFR",26.80517,27.273104,35.345524,1381,1423,1133,29.8079326666667,0.517499832672966
"Amh","AMH",2,0.129018,3,0.178746,2,0.135924,0.147896,"AMH",0,0.018294,0,0,1,0,0.006098,1.14093855668136
"Amigo1","AMIGO1",4954,129.184,5184,124.857,4595,126.236,126.759,"AMIGO1",1.484857,1.535501,2.277493,236,224,200,1.76595033333333,46.1899110986688
"Amigo2","AMIGO2",1190,58.3935,1178,53.3898,1107,57.2281,56.3371333333,"AMIGO2",0.550383,0.498886,0.337772,50,43,22,0.462347,39.2089793553103
"Amigo3","AMIGO3",1339,81.7243,1561,87.9971,1224,78.7039,82.8084333333,"AMIGO3",0.18719,0.249635,0.542557,16,20,33,0.326460666666667,63.1819966014572
"Ammecr1","AMMECR1",280,0.375994,290,0.35968,282,0.398948,0.378207333333,"AMMECR1",1.018496,1.058854,1.156173,183,177,148,1.077841,0.663288159841393
"Ammecr1l","AMMECR1L",1184,8.01848,1121,7.01198,1039,7.4131,7.48118666667,"AMMECR1L",1.919406,2.011467,1.864096,194,194,136,1.93165633333333,2.89296755906814
"Amn","AMN",3,0.0873269,2,0.0537714,3,0.0920009,0.0776997333333,"AMN",0,0,0,0,0,0,0,1.0776997333333
"Amn1","AMN1",602,2.96002,538,2.44329,457,2.36732,2.59021,"AMN1",3.447014,2.226612,4.170096,89,53,60,3.28124066666667,0.838591025249534
"Amot","AMOT",406,1.07247,389,0.949078,375,1.0436,1.021716,"AMOT",0.81532,0.985419,1.380778,179,198,188,1.06050566666667,0.981174685760793
"Amotl1","AMOTL1",3874,5.83252,3943,5.483,3523,5.58795,5.63449,"AMOTL1",4.02326,3.232556,4.380656,1173,891,848,3.878824,1.35985434194798
"Amotl2","AMOTL2",411,3.8091,463,3.96329,389,3.79816,3.85685,"AMOTL2",9.184775,10.49586,10.961401,482,464,375,10.214012,0.433105475542562
"Ampd1","AMPD1",11,0.0664138,11,0.0613413,20,0.127215,0.0849900333333,"AMPD1",0,0,0,0,0,0,0,1.0849900333333
"Ampd2","AMPD2",1304,16.0757,1451,16.5217,1292,16.7802,16.4592,"AMPD2",1.937602,1.162087,0.885212,63,54,56,1.32830033333333,7.49868895779625
"Ampd3","AMPD3",1824,6.40501,1928,6.25312,1662,6.14851,6.26888,"AMPD3",4.672523,7.039086,5.287948,514,455,366,5.666519,1.09035615138875
"Amph","AMPH",4804,3.67815,4958,3.50613,4423,3.5677,3.58399333333,"AMPH",0.192938,0.205886,0.173218,20,13,13,0.190680666666667,3.84989314235107
"Amt","AMT",224,6.37923,231,6.07613,157,4.71047,5.72194333333,"AMT",1.13994,0.666753,1.046368,58,33,32,0.951020333333333,3.44534765654928
"Amt","AMT",224,6.37923,231,6.07613,157,4.71047,5.72194333333,"",1.13994,0.666753,1.046368,58,33,32,0.951020333333333,3.44534765654928
"Amz1","AMZ1",2532,10.5322,2761,10.6076,2352,10.3071,10.4823,"AMZ1",0.051296,0.292561,0.076918,4,11,5,0.140258333333333,10.0699110581666
"Amz2","AMZ2",1830,10.5714,1768,9.43319,1574,9.57922,9.86127,"AMZ2",14.065909,13.83857,15.658216,544,496,413,14.5208983333333,0.699783592852604
"Anapc1","ANAPC1",2646,5.31367,2647,4.90969,2355,4.98241,5.06859,"ANAPC1",7.916505,5.241215,8.233047,829,773,613,7.13025566666667,0.746420561518217
"Anapc10","ANAPC10",361,0.833291,372,0.793098,352,0.856004,0.827464333333,"ANAPC10",1.79781,1.467705,2.65758,40,41,45,1.974365,0.614404867369338
"Anapc13","ANAPC13",193,3.68454,263,4.63743,207,4.16333,4.16176666667,"ANAPC13",48.43599,52.620102,49.972601,299,298,217,50.3428976666667,0.100535164574889
"Anapc16","ANAPC16",1126,11.1124,1203,10.9656,1010,10.5011,10.8597,"ANAPC16",13.408086,12.563257,15.398203,313,287,255,13.7898486666667,0.80188109204453
"Anapc2","ANAPC2",2645,30.5498,2926,31.2142,2576,31.3453,31.0364333333,"ANAPC2",7.854162,5.84886,8.287892,392,337,270,7.33030466666667,3.84576970653814
"Anapc4","ANAPC4",2619,12.0314,2657,11.2737,2322,11.2379,11.5143333333,"ANAPC4",13.872262,11.040008,15.59555,395,349,296,13.5026066666667,0.862902347207927
"Anapc5","ANAPC5",5185,23.7525,5432,22.9835,4782,23.0789,23.2716333333,"ANAPC5",48.087084,48.674043,59.026216,1643,1596,1416,51.9291143333333,0.458568665639175
"Anapc7","ANAPC7",780,5.21374,865,5.3403,737,5.18999,5.24801,"ANAPC7",4.603887,5.854832,3.507175,315,304,230,4.655298,1.10480650179708
"Ang2","ANG",0,0,0,0,1,0.0427494,0.0142498,"ANG",0,0,0,0,0,0,0,1.0142498
"Angel1","ANGEL1",1973,11.7966,2115,11.6798,1906,12.0059,11.8274333333,"ANGEL1",1.333373,1.239268,1.853992,61,55,46,1.47554433333333,5.1816617301407
"Angel2","ANGEL2",667,4.73774,709,4.65143,631,4.72192,4.70369666667,"ANGEL2",4.268065,3.536941,3.264487,312,261,242,3.689831,1.21618383832381
"Angpt1","ANGPT1",85,0.0522993,114,0.0647854,71,0.0460235,0.0543694,"ANGPT1",2.728915,2.770998,3.526909,379,348,354,3.00894066666667,0.263004491128246
"Angpt2","ANGPT2",570,1.72454,537,1.50061,519,1.65429,1.62648,"ANGPT2",0.345791,0.197498,0.479747,33,22,27,0.341012,1.95858053470066
"Angpt4","ANGPT4",25,0.113696,43,0.180622,13,0.0622864,0.118868133333,"ANGPT4",0,0,0.0361,0,0,2,0.0120333333333333,1.10556450709759
"Angptl1","ANGPTL1",89,0.613474,112,0.713049,87,0.631786,0.652769666667,"ANGPTL1",0.517387,0.322105,0.414023,29,18,19,0.417838333333333,1.16569684131853
"Angptl2","ANGPTL2",696,3.41324,701,3.17519,646,3.33759,3.30867333333,"ANGPTL2",7.870929,9.832857,11.2634,885,1037,879,9.65572866666667,0.404352763486595
"Angptl3","ANGPTL3",7,0.0716759,13,0.122946,12,0.129449,0.108023633333,"ANGPTL3",0.661862,0.473308,0.861555,13,8,13,0.665575,0.665249918696546
"Angptl4","ANGPTL4",423,8.12442,435,7.71678,494,9.99592,8.61237333333,"ANGPTL4",1.408796,0.50685,0.52435,66,18,21,0.813332,5.30094507422248
"Angptl6","ANGPTL6",220,5.7679,228,5.52109,198,5.46896,5.58598333333,"ANGPTL6",0.52538,0.549816,0.539238,23,27,15,0.538144666666667,4.28177106877897
"Angptl7","ANGPTL7",152,4.46983,178,4.83462,154,4.77103,4.69182666667,"ANGPTL7",0.422033,0.564999,0.324204,29,36,16,0.437078666666667,3.96069247891092
"Angptl8","ANGPTL8",3,0.253334,5,0.389975,5,0.444821,0.36271,"ANGPTL8",0,0,0,0,0,0,0,1.36271
"Ank","ANKH",3090,3.74004,3196,3.57288,3004,3.83055,3.71449,"ANKH",27.244319,25.673488,29.621756,2333,2077,1856,27.5131876666667,0.165344192838582
"Ank1","ANK1",12146,10.7323,12734,10.3925,11857,11.0377,10.7208333333,"ANK1",196.953388,198.284886,270.957749,2579,2643,2232,222.065341,0.0525443947533741
"Ank2","ANK2",38158,10.2511,38122,9.45923,34970,9.89749,9.86927333333,"ANK2",56.102465,67.179872,63.676709,1814,1864,1656,62.319682,0.171657105500467
"Ankar","ANKAR",5,0.013473,3,0.00746639,1,0.00283882,0.00792607,"ANKAR",0,0,0,0,0,0,0,1.00792607
"Ankdd1a","ANKDD1A",2,0.00978496,11,0.0497069,8,0.0412347,0.03357552,"ANKDD1A",0,0,0,0,0,0,0,1.03357552
"Ankef1","ANKEF1",65,0.167635,82,0.195326,48,0.130417,0.164459333333,"ANKEF1",0.242843,0,0,1,0,0,0.0809476666666667,1.07725782592589
"Ankfy1","ANKFY1",2892,5.46456,3041,5.30723,2801,5.57589,5.44922666667,"ANKFY1",1.611264,2.093547,1.939947,393,396,322,1.881586,2.23808231531872
"Ankhd1","ANKHD1-EIF4EBP3",2448,3.84073,2525,3.65897,2134,3.52728,3.67566,"ANKHD1-EIF4EBP3",6.393944,7.182742,7.651518,511,425,322,7.076068,0.578952529869734
