"Mm_genes","Human_Symbol","mDRG1_read","mDRG1_TPM","mDRG2_read","mDRG2_TPM","mDRG3_read","mDRG3_TPM","mDRG_Avg_TPM","Hs_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","FoldChange"
"Abca12","ABCA12",22,0.0197793,21,0.0174382,18,0.0170492,0.0180889,"ABCA12",0.051568,0.062896,0.025504,6,4,4,0.046656,0.972706314204476
"Abca13","ABCA13",33,0.0104036,46,0.0133944,39,0.0129533,0.0122504333333,"ABCA13",0,0.008671,0.020031,0,2,9,0.00956733333333333,1.002657673155
"Abca2","ABCA2",6105,47.7645,6781,49.0013,6154,50.7248,49.1635333333,"ABCA2",70.793903,64.467713,73.797361,3005,3072,5630,69.6863256666667,0.709663896944575
"Abca3","ABCA3",5164,13.7592,5259,12.9421,4945,13.8809,13.5274,"ABCA3",12.440613,14.573469,13.367221,1059,1205,2137,13.4604343333333,1.0046309581803
"Abca4","ABCA4",23,0.0263103,36,0.038036,19,0.0228979,0.0290814,"ABCA4",0.439082,0.77363,1.185749,28,34,93,0.799487,0.571874873227759
"Abca5","ABCA5",5255,11.9334,5299,11.1142,4575,10.9453,11.3309666667,"ABCA5",8.935283,8.340698,7.057679,796,757,1332,8.11122,1.35338260591886
"Abca6","ABCA6",3334,6.90352,3785,7.23878,3311,7.22284,7.12171333333,"ABCA6",0.966663,0.329321,0.453163,46,18,64,0.583049,5.13042447411925
"Abca7","ABCA7",5065,41.2041,5622,42.2423,4588,39.3214,40.9226,"ABCA7",2.309955,1.912394,2.638304,217,179,482,2.28688433333333,12.7545102743196
"Abca8b","ABCA8",3612,8.80695,3441,7.74921,3247,8.34073,8.29896333333,"ABCA8",2.974527,2.640509,3.550569,320,277,701,3.05520166666667,2.29309516460464
"Abca9","ABCA9",644,1.48195,645,1.37089,506,1.22671,1.35985,"ABCA9",1.698239,1.660878,1.876446,155,148,323,1.74518766666667,0.85963157588619
"Abcb10","ABCB10",678,3.43177,729,3.40809,632,3.37015,3.40333666667,"ABCB10",5.054004,5.39951,5.054574,279,300,557,5.16936266666667,0.713742554066633
"Abcb11","ABCB11",4,0.00595041,5,0.00686992,5,0.00783612,0.00688548333333,"ABCB11",0,0,0.007618,0,0,1,0.00253933333333333,1.00433514163035
"Abcb1b","ABCB1",263,0.598806,225,0.473159,247,0.592476,0.554813666667,"ABCB1",2.074675,1.93475,1.983411,34,29,83,1.997612,0.518684094761764
"Abcb4","ABCB4",753,1.7839,737,1.61264,630,1.57239,1.65631,"ABCB4",0.897442,1.328882,1.276568,43,52,115,1.16763066666667,1.22544400245306
"Abcb5","ABCB5",8,0.0125933,3,0.00436179,3,0.00497524,0.00731011,"ABCB5",0,0,0.009704,0,0,1,0.00323466666666667,1.00406230313679
"Abcb6","ABCB6",537,9.60665,500,8.26156,495,9.32925,9.06582,"ABCB6",5.173687,6.132512,9.585194,137,184,314,6.96379766666667,1.26394722986642
"Abcb7","ABCB7",11285,13.1497,11821,12.7222,10002,12.2785,12.7168,"ABCB7",8.209769,8.052259,6.710854,661,619,1003,7.65762733333333,1.58436017997541
"Abcb8","ABCB8",816,7.72636,935,8.17695,799,7.97032,7.95787666667,"ABCB8",22.042302,24.258646,16.042844,379,360,657,20.781264,0.411265235418385
"Abcb9","ABCB9",1104,5.00017,1193,4.99058,1097,5.23439,5.07504666667,"ABCB9",15.792623,16.120037,13.85818,451,546,923,15.2569466666667,0.37368927826566
"Abcc1","ABCC1",688,0.935223,722,0.906482,654,0.936588,0.926097666667,"ABCC1",5.026846,16.533466,9.187015,253,247,546,10.249109,0.1712222422831
"Abcc10","ABCC10",269,1.66128,280,1.59714,283,1.84128,1.6999,"ABCC10",1.786212,1.580769,1.672029,107,92,172,1.67967,1.00754943705755
"Abcc12","ABCC12",74,0.11669,54,0.0786487,49,0.0814034,0.0922473666667,"ABCC12",0.617592,0.291296,0.461868,23,11,36,0.456918666666667,0.7496968716625
