"Mm_genes","Human_Symbol","mDRG1_read","mDRG1_TPM","mDRG2_read","mDRG2_TPM","mDRG3_read","mDRG3_TPM","mDRG_Avg_TPM","Hs_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","FoldChange"
"Adipor1","ADIPOR1",4317,37.2781,4661,37.1746,4173,37.9634,37.4720333333,"ADIPOR1",16.358458,17.226754,15.113167,686,718,1234,16.232793,2.23248972661019
"Adipor2","ADIPOR2",2375,5.71019,2327,5.16747,2135,5.4079,5.42852,"ADIPOR2",17.97067,12.038416,14.485406,955,672,1555,14.8314973333333,0.406058875205992
"Adk","ADK",5347,2.09574,5780,2.09242,5056,2.08774,2.09196666667,"ADK",40.745647,46.482709,41.440945,480,502,869,42.889767,0.0704484639134676
"Adm","ADM",28,2.01197,43,2.85382,17,1.28693,2.05090666667,"ADM",0.938939,0.71616,1.104422,16,12,22,0.919840333333333,1.58914604183403
"Adm2","ADM2",7,0.539992,1,0.0712498,1,0.0812705,0.230837433333,"ADM2",0,0,0,0,0,0,0,1.230837433333
"Adnp","ADNP",2819,16.7464,2745,15.0614,2457,15.3772,15.7283333333,"ADNP",20.968264,15.299125,13.544238,1347,965,1349,16.6038756666667,0.950264228744553
"Adnp2","ADNP2",598,3.68723,615,3.50243,517,3.35841,3.51602333333,"ADNP2",4.250314,4.84775,3.968298,302,337,537,4.355454,0.843256861758126
"Ado","ADO",868,29.5571,916,28.8093,857,30.7445,29.7036333333,"ADO",11.327023,13.063599,10.136207,663,779,1204,11.508943,2.45453459443376
"Adora1","ADORA1",3607,15.4613,3730,14.7674,3226,14.5683,14.9323333333,"ADORA1",35.862294,39.998988,31.524166,2327,2411,3838,35.7951493333333,0.433000915119718
"Adora2a","ADORA2A",133,1.15271,116,0.928587,105,0.958745,1.01334733333,"ADORA2A",29.881172,32.896398,31.273367,539,869,1294,31.3503123333333,0.0622357927362412
"Adora2b","ADORA2B",78,0.692977,82,0.672873,96,0.898544,0.754798,"ADORA2B",0.972689,0.94328,1.402977,23,22,64,1.10631533333333,0.833112674170661
"Adpgk","ADPGK",1234,5.89407,1290,5.69095,1182,5.94788,5.8443,"ADPGK",4.372676,4.667824,4.383292,154,172,327,4.47459733333333,1.25019240380054
"Adprh","ADPRH",1875,33.5505,2051,33.8968,1710,32.2357,33.2276666667,"ADPRH",20.460839,29.436998,22.276133,594,694,1163,24.05799,1.365938236335
"Adprm","ADPRM",458,4.83906,469,4.57681,374,4.16304,4.52630333333,"ADPRM",9.537624,11.449098,10.716602,100,106,198,10.5677746666667,0.477732622961132
"Adra1a","ADRA1A",92,0.105058,74,0.0780489,87,0.104665,0.0959239666667,"ADRA1A",2.927121,2.923332,2.813915,168,153,310,2.88812266666667,0.28186455537069
"Adra1b","ADRA1B",39,0.0478113,25,0.0283075,25,0.0322887,0.0361358333333,"ADRA1B",5.501385,6.354655,5.447414,154,182,313,5.767818,0.153097472971835
"Adra1d","ADRA1D",58,0.547774,66,0.575722,47,0.467644,0.53038,"ADRA1D",6.88608,5.796355,5.714702,132,122,247,6.132379,0.214567958320779
"Adra2a","ADRA2A",276,8.86542,236,7.00159,212,7.17414,7.68038333333,"ADRA2A",3.541914,3.450572,3.619188,152,162,338,3.53722466666667,1.91314822849783
"Adra2b","ADRA2B",13,0.50267,11,0.39285,15,0.611047,0.502189,"ADRA2B",0.387645,0.353287,0.286327,21,19,30,0.342419666666667,1.11901593614913
"Adra2c","ADRA2C",307,13.8314,338,14.065,242,11.4865,13.1276333333,"ADRA2C",5.26442,6.706082,5.477276,158,229,397,5.815926,2.07273866137925
"Adrb1","ADRB1",26,0.369715,34,0.446547,25,0.374522,0.396928,"ADRB1",6.113933,7.118309,6.526915,160,235,373,6.58638566666667,0.184136169894166
"Adrb2","ADRB2",28,2.02698,30,2.0059,14,1.06774,1.70020666667,"ADRB2",0.786558,0.759934,0.757129,22,21,41,0.767873666666667,1.5273753535575
"Adrb3","ADRB3",20,0.124962,17,0.0981051,12,0.0789902,0.100685766667,"",0.31446,0.259353,0.491523,11,9,24,0.355112,0.812247081176316
"Adrb3","ADRB3",20,0.124962,17,0.0981051,12,0.0789902,0.100685766667,"ADRB3",0.31446,0.259353,0.491523,11,9,24,0.355112,0.812247081176316
"Adrb3","AC144573.1",20,0.124962,17,0.0981051,12,0.0789902,0.100685766667,"",0.31446,0.259353,0.491523,11,9,24,0.355112,0.812247081176316
"Adrb3","AC144573.1",20,0.124962,17,0.0981051,12,0.0789902,0.100685766667,"ADRB3",0.31446,0.259353,0.491523,11,9,24,0.355112,0.812247081176316
"Adsl","ADSL",765,5.28721,825,5.2664,735,5.35176,5.30179,"ADSL",17.436064,24.448458,16.665253,166,203,417,19.5165916666667,0.307155793827029
"Adss","ADSS2",2294,10.6125,2363,10.0968,2033,9.90845,10.2059166667,"ADSS2",23.421343,22.782284,24.0588,838,810,1657,23.420809,0.45886754475251
"Adssl1","ADSS1",31,0.225722,50,0.336261,35,0.268487,0.276823333333,"ADSS1",8.595569,10.395475,7.220462,180,188,263,8.73716866666667,0.131128809312296
"Adtrp","ADTRP",38,0.0697676,46,0.0780051,37,0.0715675,0.0731134,"ADTRP",0.254661,0,0,2,0,0,0.084887,0.989147625513072
"Aebp1","AEBP1",220,3.36679,322,4.55139,157,2.53126,3.48314666667,"AEBP1",3.786127,4.96105,4.815202,153,198,443,4.520793,0.812047592921886
"Aebp2","AEBP2",1026,2.85333,1097,2.81778,925,2.71013,2.79374666667,"AEBP2",22.756323,19.767092,22.090415,828,769,1447,21.5379433333333,0.16832710112724
"Aen","AEN",1346,13.6045,1331,12.4254,1401,14.9184,13.6494333333,"AEN",24.413214,17.565064,17.651239,216,252,408,19.8765056666667,0.701718648092081
"Afap1","AFAP1",517,0.725492,523,0.677858,484,0.715536,0.706295333333,"AFAP1",2.393401,3.422973,4.55253,220,206,456,3.45630133333333,0.382894962818119
"Afap1l1","AFAP1L1",199,0.547227,213,0.54099,172,0.498296,0.528837666667,"AFAP1L1",6.794219,6.48644,5.871648,291,284,501,6.38410233333333,0.207044485253883
"Afap1l2","AFAP1L2",1041,1.68537,932,1.39365,1014,1.72952,1.60284666667,"AFAP1L2",2.520357,2.849148,2.427505,104,96,208,2.59900333333333,0.723213185873682
"Afdn","AFDN",3095,3.29899,3287,3.23604,2890,3.24535,3.26012666667,"AFDN",89.350537,81.558464,79.839139,1129,1091,2261,83.5827133333333,0.0503663987448736
"Aff1","AFF1",1257,1.19729,1191,1.04778,1147,1.15099,1.13202,"AFF1",2.299451,2.20895,2.638307,275,260,593,2.382236,0.630358141773667
"Aff2","AFF2",1699,0.519357,1960,0.55338,1657,0.533628,0.535455,"AFF2",2.082206,2.508984,1.968925,109,122,218,2.186705,0.481831547005449
"Aff3","AFF3",2288,0.728254,2428,0.713789,2296,0.769914,0.737319,"AFF3",7.45718,7.792619,7.313308,569,635,1142,7.52103566666667,0.203885896968627
"Aff4","AFF4",7014,15.3333,6836,13.8028,6271,14.4428,14.5263,"AFF4",42.512612,49.443813,41.37965,3026,3070,5446,44.4453583333333,0.341647652684735
"Afg1l","AFG1L",408,0.381521,445,0.384338,380,0.374357,0.380072,"AFG1L",6.090634,5.691297,5.833005,164,160,314,5.87164533333333,0.200835743559912
"Afg3l2","AFG3L2",2284,7.98256,2472,7.97975,2134,7.8575,7.93993666667,"AFG3L2",19.610099,20.580652,19.349601,829,862,1602,19.846784,0.428840087117034
"Afm","AFM",9,0.0403583,8,0.0331341,7,0.0330699,0.0355207666667,"AFM",0,0,0.039541,0,0,2,0.0131803333333333,1.0220498094943
"Afmid","AFMID",135,1.49826,150,1.53759,150,1.75384,1.59656333333,"AFMID",1.20278,1.043133,2.758787,14,11,33,1.66823333333333,0.973139530524567
"Afp","AFP",6,0.0512495,6,0.0473352,5,0.0449937,0.0478594666667,"AFP",0,0,0,0,0,0,0,1.0478594666667
"Aftph","AFTPH",2279,6.25989,2306,5.85028,2056,5.94962,6.01993,"AFTPH",71.182837,72.36101,64.610325,1169,1187,2119,69.384724,0.0997365564721117
"Aga","AGA",319,4.23358,313,3.83668,267,3.73312,3.93446,"AGA",3.401045,3.098589,3.457643,50,43,95,3.31909233333333,1.14247615451919
"Agap1","AGAP1",1602,0.561513,1661,0.537727,1568,0.579012,0.559417333333,"AGAP1",16.89842,22.480385,18.997449,1499,1628,2949,19.4587513333333,0.076222507812207
"Agap2","AGAP2",507,4.39959,548,4.39217,500,4.57107,4.45427666667,"AGAP2",148.754883,141.447654,145.784861,8737,9170,19013,145.329132666667,0.0372740312695947
"Agap3","AGAP3",3239,10.0804,3535,10.1614,3201,10.4954,10.2457333333,"AGAP3",123.648467,142.845335,134.770877,1690,1956,3708,133.754893,0.0834532467277459
"Agbl1","AGBL1",470,0.0815235,490,0.0785012,437,0.0798566,0.0799604333333,"AGBL1",0.149239,0.130584,0.045441,7,6,4,0.108421333333333,0.974323031193884
"Agbl2","AGBL2",1779,5.33962,1755,4.86526,1545,4.88547,5.03011666667,"AGBL2",0.720312,0.408376,0.659235,25,19,40,0.595974333333333,3.77832935074562
"Agbl3","AGBL3",399,0.783626,446,0.809032,378,0.782117,0.791591666667,"AGBL3",4.599685,6.341742,6.050667,68,76,132,5.66403133333333,0.26884502443821
"Agbl4","AGBL4",895,0.109668,852,0.0964251,832,0.107405,0.104499366667,"AGBL4",5.045594,3.661603,6.043323,125,123,239,4.91684,0.186670480639497
"Agbl5","AGBL5",719,6.10745,760,5.96265,738,6.60437,6.22482333333,"AGBL5",6.385497,6.330723,6.640116,119,121,266,6.452112,0.969500100552702
"Ager","AGER",12,0.605694,10,0.466194,11,0.584936,0.552274666667,"AGER",0.138287,0.311383,0.144309,2,5,5,0.197993,1.29572932952613
"Agfg1","AGFG1",5317,13.3751,5209,12.1027,4703,12.4638,12.6472,"AGFG1",16.440259,15.78028,17.202923,1309,1244,2551,16.4744873333333,0.780978562613816
"Agfg2","AGFG2",1297,5.87515,1397,5.84481,1201,5.73147,5.81714333333,"AGFG2",20.351582,22.925077,20.422026,333,399,734,21.232895,0.306624186068886
"Aggf1","AC008581.2",1165,7.32949,1144,6.64766,1022,6.77396,6.91703666667,"",16.883596,14.78473,15.032847,703,612,1226,15.5670576666667,0.477878258527419
"Aggf1","AC008581.2",1165,7.32949,1144,6.64766,1022,6.77396,6.91703666667,"AGGF1",16.883596,14.78473,15.032847,703,612,1226,15.5670576666667,0.477878258527419
"Aggf1","AGGF1",1165,7.32949,1144,6.64766,1022,6.77396,6.91703666667,"",16.883596,14.78473,15.032847,703,612,1226,15.5670576666667,0.477878258527419
"Aggf1","AGGF1",1165,7.32949,1144,6.64766,1022,6.77396,6.91703666667,"AGGF1",16.883596,14.78473,15.032847,703,612,1226,15.5670576666667,0.477878258527419
"Agk","AGK",950,2.0596,1020,2.04246,944,2.15613,2.08606333333,"AGK",13.066571,13.184347,13.536224,374,384,661,13.2623806666667,0.216377854823536
"Agl","AGL",4441,10.1115,4434,9.32453,4005,9.60689,9.68097333333,"AGL",5.952045,5.902564,5.424494,552,561,1028,5.759701,1.58009552986589
"Agmat","AGMAT",2,0.024652,6,0.0683075,4,0.0519429,0.0483008,"AGMAT",0.483801,0.713231,0.362629,8,12,12,0.519887,0.689722854396412
"Agmo","AGMO",160,0.072919,148,0.0622985,135,0.0648184,0.0666786333333,"AGMO",2.562905,2.493074,3.921171,72,76,166,2.99238333333333,0.26717841055676
"Ago1","AGO1",952,4.40126,1005,4.29142,856,4.16925,4.28731,"AGO1",10.102871,11.018849,9.866727,927,983,1762,10.3294823333333,0.466685930075005
"Ago2","AGO2",3821,6.65664,3772,6.06939,3406,6.25125,6.32576,"AGO2",8.576221,7.301729,8.800441,1679,1446,3045,8.22613033333333,0.794023034070152
"Ago3","AGO3",2773,4.39838,2652,3.88518,2554,4.26784,4.1838,"AGO3",7.889952,5.811331,5.775352,1066,804,1953,6.49221166666667,0.691891824554699
"Ago4","AGO4",360,1.27186,377,1.23019,283,1.05333,1.18512666667,"AGO4",2.179594,2.286546,2.305582,180,167,357,2.25724066666667,0.670852077045376
"Agpat1","AGPAT1",1712,28.9201,1879,29.3169,1742,31.0019,29.7463,"AGPAT1",40.892057,42.60137,42.601792,996,984,1847,42.0317396666667,0.714502835306395
"Agpat2","AGPAT2",86,1.17489,102,1.28705,82,1.18021,1.21405,"AGPAT2",0.195043,0.732356,0.786113,3,11,16,0.571170666666667,1.40917218413786
"Agpat3","AGPAT3",5107,9.51427,5538,9.52922,4713,9.25019,9.43122666667,"AGPAT3",53.886857,54.238058,53.88657,2874,3009,5422,54.0038283333333,0.189645466192914
"Agpat4","AGPAT4",1264,1.94353,1242,1.76385,1150,1.86289,1.85675666667,"AGPAT4",30.084233,29.038451,24.686814,340,367,651,27.9364993333333,0.0987250266095307
"Agpat5","AGPAT5",1268,4.3652,1265,4.02226,1209,4.38485,4.25743666667,"AGPAT5",12.589569,13.436129,12.187822,677,692,1264,12.73784,0.382697474033036
"Agps","AGPS",2232,3.49312,2232,3.22633,2059,3.39484,3.37143,"AGPS",18.770232,12.079461,13.396216,571,562,1050,14.7486363333333,0.277575144125177
"Agr2","AGR2",1,0.0138815,0,0,0,0,0.00462716666667,"AGR2",0,0,0.066134,0,0,1,0.0220446666666667,0.982958181214523
"Agr3","AGR3",0,0,0,0,1,0.00678012,0.00226004,"AGR3",0,0,0,0,0,0,0,1.00226004
"Agrn","AGRN",1874,9.03325,2049,9.12245,2108,10.7051,9.62026666667,"AGRN",25.093171,25.072062,28.711339,1861,1731,3722,26.2921906666667,0.389132070649098
"Agrp","AGRP",1940,4.25916,1956,3.9663,1815,4.198,4.14115333333,"AGRP",0.792249,0.649438,0.833049,5,4,10,0.758245333333333,2.92402501281391
"Agt","AGT",86,1.01328,103,1.12089,84,1.04269,1.05895333333,"AGT",3.785009,5.214297,2.980628,92,125,139,3.99331133333333,0.412342270666213
"Agtpbp1","AGTPBP1",10438,11.6146,10136,10.4171,9343,10.9526,10.9947666667,"AGTPBP1",241.133259,270.023076,238.937433,2380,2489,4513,250.031256,0.0477819649147595
"Agtr1b","AGTR1",128,0.376943,156,0.424311,135,0.418835,0.406696333333,"AGTR1",0.097972,0.13155,0.03716,2,4,2,0.088894,1.29185791576866
"Agtrap","AGTRAP",985,13.935,1131,14.7784,940,14.0101,14.2411666667,"AGTRAP",2.889104,1.570837,4.124947,87,86,171,2.86162933333333,3.94682279190787
"Agxt2","AGXT2",1,0.00300665,1,0.00277701,1,0.00316757,0.00298374333333,"AGXT2",0,0,0,0,0,0,0,1.00298374333333
"Ahctf1","AHCTF1",1191,3.14447,1180,2.87748,983,2.73422,2.91872333333,"AHCTF1",21.537011,23.081081,25.291576,846,803,1749,23.3032226666667,0.161242950660398
"Ahcyl1","AHCYL1",5357,24.8618,5666,24.2875,4796,23.4496,24.1996333333,"AHCYL1",132.769139,120.502065,130.501118,4446,4484,8331,127.924107333333,0.195460987510632
"Ahcyl2","AHCYL2",2964,3.18808,3175,3.1542,2848,3.22726,3.18984666667,"AHCYL2",191.358417,239.94316,206.761829,1697,1737,3368,212.687802,0.0196073272664857
"Ahdc1","AHDC1",701,1.62752,699,1.49893,674,1.64859,1.59168,"AHDC1",16.558571,13.40259,13.520211,606,617,1172,14.4937906666667,0.167272170881703
"Ahnak","AHNAK",21602,38.2607,22489,36.7895,19552,36.4833,37.1778333333,"AHNAK",2.990021,2.223722,3.194715,734,578,1587,2.80281933333333,10.0393497526046
"Ahnak2","AHNAK2",18410,93.7959,19360,91.1025,17709,95.0535,93.3173,"AHNAK2",0.393895,0.345094,0.40043,19,24,54,0.379806333333333,68.3554624453335
"Ahr","AHR",516,2.16074,545,2.10787,510,2.24992,2.17284333333,"AHR",1.736652,1.579471,1.877405,104,118,225,1.731176,1.16171324489158
"Ahr","AHR",516,2.16074,545,2.10787,510,2.24992,2.17284333333,"",1.736652,1.579471,1.877405,104,118,225,1.731176,1.16171324489158
"Ahr","AC019117.4",516,2.16074,545,2.10787,510,2.24992,2.17284333333,"AHR",1.736652,1.579471,1.877405,104,118,225,1.731176,1.16171324489158
"Ahr","AC019117.4",516,2.16074,545,2.10787,510,2.24992,2.17284333333,"",1.736652,1.579471,1.877405,104,118,225,1.731176,1.16171324489158
"Ahrr","AHRR",82,0.156711,93,0.164159,69,0.138925,0.153265,"AHRR",3.933703,0.999051,0.938568,18,16,16,1.95710733333333,0.389997680165369
"Ahrr","AHRR",82,0.156711,93,0.164159,69,0.138925,0.153265,"AHRR",3.933703,0.999051,0.938568,18,16,16,1.95710733333333,0.389997680165369
"Ahsa1","AHSA1",3493,72.0938,3347,63.8043,3269,71.0817,68.9932666667,"AHSA1",65.86239,58.658672,54.093532,958,799,1449,59.538198,1.15618351683841
"Ahsg","AHSG",1,0.0189905,1,0.01754,0,0,0.0121768333333,"AHSG",0,0,0,0,0,0,0,1.0121768333333
"AI429214","C8orf48",32,2.57341,39,2.8968,37,3.13477,2.86832666667,"C8orf48",1.417308,1.251445,1.222115,35,30,57,1.296956,1.68411004245184
"AI467606","C16orf54",16,0.944956,37,2.01831,17,1.05775,1.34033866667,"C16orf54",0.607233,0.813104,1.018624,15,20,30,0.812987,1.29087448871393
"AI593442","C11orf87",2340,53.8936,2420,51.4792,2367,57.4333,54.2687,"C11orf87",25.434623,32.007186,25.370395,2050,2519,3901,27.604068,1.93219719656659
"AI597479","C2orf49",845,7.60829,841,6.99392,657,6.23217,6.94479333333,"C2orf49",7.738572,8.232624,8.034703,373,387,736,8.00196633333333,0.882561991363072
"AI661453","C6orf132",23,0.10492,15,0.0632001,23,0.110536,0.0928853666667,"C6orf132",0.116703,0.11782,0.113736,3,5,15,0.116086333333333,0.979212211480683
"AI837181","C11orf68",684,48.923,798,52.7175,774,58.3233,53.3212666667,"C11orf68",19.146983,19.44256,16.82422,350,359,609,18.4712543333333,2.78981855697432
"AI854703","AC073111.4",433,9.70337,469,9.70738,406,9.58527,9.66534,"",6.434992,5.900202,7.772626,232,272,482,6.70260666666667,1.38464035118847
"Aicda","AICDA",2,0.0299054,1,0.0138107,3,0.047259,0.0303250333333,"AICDA",0,0,0,0,0,0,0,1.0303250333333
"Aida","AIDA",2185,11.7399,2283,11.3296,1888,10.6871,11.2522,"AIDA",30.041199,31.32997,26.487796,541,532,955,29.2863216666667,0.404545660408965
"Aif1","AIF1",31,0.947515,32,0.903377,29,0.933827,0.928239666667,"AIF1",6.200755,5.493265,9.587987,32,29,82,7.09400233333333,0.23823067837848
"Aif1l","AIF1L",547,3.64312,659,4.05384,584,4.09773,3.93156333333,"AIF1L",21.84435,24.453708,23.236528,78,83,164,23.1781953333333,0.20396738736456
"Aifm1","AIFM1",821,3.2995,855,3.1737,749,3.17125,3.21481666667,"AIFM1",9.689708,9.016589,9.313852,240,235,424,9.34004966666667,0.407620543666957
"Aifm2","AIFM2",204,1.31939,205,1.22459,200,1.36275,1.30224333333,"AIFM2",4.27655,1.787375,2.582051,74,56,124,2.881992,0.593057207055038
"Aifm3","AIFM3",504,4.37624,542,4.34675,542,4.95809,4.56036,"AIFM3",35.085297,28.378836,39.941082,680,630,1592,34.468405,0.156769383906606
"Aig1","AIG1",1102,0.770705,1116,0.720885,1071,0.789115,0.760235,"AIG1",17.399743,22.920169,17.862367,306,332,542,19.394093,0.0863110215296164
"Aim2","AIM2",349,0.470363,406,0.505392,388,0.550914,0.508889666667,"AIM2",4.329673,5.380162,4.64459,51,42,91,4.78480833333333,0.260836587786746
"Aimp1","AIMP1",864,5.61325,895,5.37055,773,5.29084,5.42488,"AIMP1",60.224228,72.693712,55.252922,306,296,576,62.7236206666667,0.100824151747561
"Aimp2","AIMP2",569,12.362,585,11.7389,557,12.749,12.2833,"AIMP2",12.282019,9.582215,12.661026,107,120,258,11.50842,1.06194867137496
"Aip","AIP",1608,21.8677,1907,23.9532,1623,23.253,23.0246333333,"AIP",80.587529,78.018733,58.581796,435,480,821,72.3960193333333,0.327328832701272
"Aipl1","AIPL1",2,0.0325147,0,0,2,0.034255,0.0222565666667,"AIPL1",0,0,0.125907,0,0,7,0.041969,0.981081554889541
"Aire","AIRE",2,0.0228433,7,0.0738452,4,0.048132,0.0482735,"AIRE",0.163417,0.082392,0.07321,2,2,4,0.106339666666667,0.947515063939074
"Ajap1","AJAP1",10,0.0141626,11,0.014389,7,0.0104444,0.0129986666667,"AJAP1",24.945569,22.824381,22.912161,408,433,803,23.5607036666667,0.0412446923514461
"Ajm1","AJM1",440,10.7682,438,9.90056,444,11.4477,10.7054866667,"AJM1",16.70289,21.402226,17.194473,824,930,1959,18.4331963333333,0.602344898179299
"Ajuba","AJUBA",93,1.43099,106,1.50645,89,1.44274,1.46006,"AJUBA",0.612032,0.661837,0.601556,23,24,39,0.625141666666667,1.51375110887769
"Ak1","AK1",2004,23.3846,2207,23.7865,1833,22.534,23.2350333333,"AK1",84.075974,71.104917,68.035919,825,891,1472,74.4056033333333,0.321395655786588
"AK157302","ISCA1",1309,105.597,1304,97.1593,1136,96.546,99.7674333333,"ISCA1",0,0,0,0,0,0,0,100.7674333333
"Ak2","AK2",580,4.59949,604,4.42398,539,4.50313,4.50886666667,"AK2",21.38676,14.725214,14.09171,162,125,290,16.7345613333333,0.310628865474992
"Ak3","AK3",2911,16.6543,2969,15.6887,2739,16.5089,16.2839666667,"AK3",25.695085,24.127644,25.276421,970,899,1842,25.03305,0.663923999174127
"Ak4","AK4",160,0.52041,203,0.609841,148,0.507144,0.545798333333,"AK4",16.734074,17.317543,19.605248,497,482,926,17.8856216666667,0.0818505400889901
"Ak5","AK5",2119,1.60007,2309,1.61037,1943,1.5457,1.58538,"AK5",56.417755,55.426913,56.009267,1190,1329,2499,55.9513116666667,0.0453963205471387
"Ak7","AK7",35,0.0710367,38,0.0712349,33,0.0705623,0.0709446333333,"AK7",1.045669,0.881944,0.661752,34,29,43,0.863121666666667,0.574811968801447
"Ak8","AK8",63,0.0865309,70,0.0888022,66,0.0955034,0.0902788333333,"AK8",0.705409,1.509869,0.95651,14,12,25,1.05726266666667,0.529965789492429
"Ak9","AK9",30,0.0356652,30,0.0329412,27,0.0338167,0.0341410333333,"AK9",0.087478,0.115213,0.12285,9,11,23,0.108513666666667,0.932907788537234
"Akap1","AKAP1",588,2.70049,596,2.52817,558,2.69987,2.64284333333,"AKAP1",13.69206,14.403141,12.467808,454,534,920,13.521003,0.25086719790155
"Akap10","AKAP10",1267,3.3361,1200,2.91836,1124,3.11798,3.12414666667,"AKAP10",6.486811,7.515574,6.934097,321,342,662,6.97882733333333,0.516886316043018
"Akap11","AKAP11",9711,33.8226,10001,32.1722,8632,31.6736,32.5561333333,"AKAP11",55.314222,52.359627,50.867441,3933,4035,7319,52.8470966666667,0.623174421845337
"Akap12","AKAP12",28458,47.4475,30183,46.48,25044,43.9903,45.9726,"AKAP12",3.870214,3.635803,3.730669,302,307,574,3.745562,9.89821648099846
"Akap13","AKAP13",1560,0.80958,1626,0.779383,1447,0.79113,0.793364333333,"AKAP13",6.430486,5.85718,9.995951,490,376,994,7.42787233333333,0.21278968907016
"Akap14","AKAP14",7,0.0598767,6,0.047403,5,0.0450582,0.0507793,"AKAP14",0.087852,0.089095,0.137366,2,2,6,0.104771,0.951128604932606
"Akap3","AKAP3",5,0.0365869,5,0.0337925,17,0.131054,0.0671444666667,"AKAP3",0.076316,0.04929,0.03794,3,2,3,0.0545153333333333,1.01197624437897
"Akap5","AKAP5",37,0.619965,51,0.789279,50,0.882631,0.763958333333,"AKAP5",20.19412,20.795818,20.878584,1748,1837,3569,20.6228406666667,0.0815784734543358
"Akap6","AKAP6",16351,5.56275,15857,4.98266,14658,5.25369,5.26636666667,"AKAP6",18.754874,20.018481,17.827737,3513,3671,6207,18.8670306666667,0.315415361852934
"Akap7","AKAP7",578,0.64642,584,0.603246,499,0.587938,0.612534666667,"AKAP7",17.020401,21.161492,28.349085,322,374,685,22.1769926666667,0.0695748016085866
"Akap8","AKAP8",1829,16.1597,1782,14.5419,1540,14.3346,15.0120666667,"AKAP8",40.910827,27.912643,38.276848,951,753,1824,35.700106,0.436294834317372
"Akap8l","AKAP8L",1444,7.67961,1483,7.28464,1489,8.34278,7.76901,"AKAP8L",113.330973,89.142047,113.825502,1084,950,2454,105.432840666667,0.0823900775838856
"Akap9","AKAP9",3172,3.2124,3100,2.8997,2902,3.09626,3.06945333333,"AKAP9",22.146263,23.65187,24.338762,1687,1659,3238,23.378965,0.166924778526488
"Akip1","AKIP1",124,2.26423,136,2.29367,104,2.00067,2.18619,"AKIP1",4.319547,3.015911,1.957712,18,14,25,3.09772333333333,0.777551274406845
"Akirin1","AKIRIN1",2919,28.698,3055,27.7411,2474,25.6248,27.3546333333,"AKIRIN1",19.310728,23.897308,22.74108,675,702,1306,21.9830386666667,1.23371995080981
"Akirin2","AKIRIN2",1446,14.0516,1425,12.7899,1248,12.7766,13.2060333333,"AKIRIN2",32.870669,31.084751,29.951466,521,497,944,31.3022953333333,0.439784021126218
"Akna","AKNA",91,0.389843,103,0.40755,87,0.392656,0.396683,"AKNA",0.688156,0.898701,0.792242,52,67,116,0.793033,0.778949969130518
"Aknad1","AKNAD1",8,0.0291117,4,0.0134441,6,0.0230024,0.0218527333333,"AKNAD1",0.04083,0,0.022194,3,0,2,0.021008,1.00082735231585
"Akr1a1","AKR1A1",9611,98.3267,10609,100.247,8980,96.7884,98.4540333333,"AKR1A1",153.980074,182.764249,169.340337,2145,2468,4111,168.694886666667,0.586075604792138
"Akr1b3","AKR1B1",846,8.72761,1107,10.5479,837,9.09692,9.45747666667,"AKR1B1",18.797077,28.429899,23.052643,320,373,629,23.4265396666667,0.428119447509819
"Akr1b8","AKR1B10",98,1.06033,105,1.0493,90,1.0259,1.04517666667,"AKR1B10",0.239457,0.187039,0.177604,4,3,5,0.201366666666667,1.70237507283649
"Akr1d1","AKR1D1",11,0.0441813,13,0.0482263,15,0.0634719,0.0519598333333,"AKR1D1",0.082905,0.028773,0.04432,3,1,3,0.0519993333333333,0.999962452447657
"Akr1e1","AKR1E2",597,5.02903,595,4.62936,530,4.70359,4.78732666667,"AKR1E2",18.853946,26.941446,27.107891,202,242,478,24.3010943333333,0.228738195685291
"Akr7a5","AKR7L",314,6.34331,334,6.232,313,6.66154,6.41228333333,"AKR7L",7.067682,7.249009,8.751387,91,101,232,7.68935933333333,0.853029901168394
"Akt1","AKT1",4475,32.9738,4912,33.4295,4252,33.0076,33.1369666667,"AKT1",81.153373,72.074712,67.613985,1304,1376,2534,73.6140233333333,0.457514085712753
"Akt1s1","AKT1S1",858,20.7074,888,19.7946,801,20.3664,20.2894666667,"AKT1S1",25.86599,51.395746,46.772675,173,235,512,41.3448036666667,0.502764561958728
"Akt2","AKT2",1568,4.93897,1606,4.6723,1462,4.85156,4.82094333333,"AKT2",41.949189,38.622354,39.217055,1272,1100,2054,39.9295326666667,0.142218661051818
"Akt3","AKT3",7137,4.65175,7717,4.64563,6804,4.67207,4.65648333333,"AKT3",28.553126,49.52599,40.495153,1749,2040,3405,39.5247563333333,0.1395809338569
"Aktip","AKTIP",3959,6.96736,3867,6.28567,3555,6.59123,6.61475333333,"AKTIP",46.107194,49.987234,43.657034,1057,1090,1794,46.5838206666667,0.160028203423864
"Alad","ALAD",245,3.53732,294,3.92058,264,4.01566,3.82452,"ALAD",8.62477,9.558136,9.245149,128,137,258,9.142685,0.475664974314001
"Alas1","ALAS1",835,8.52629,979,9.23317,839,9.02567,8.92837666667,"ALAS1",43.558419,49.646164,41.742849,435,499,824,44.9824773333333,0.215916523911877
