"Mm_genes","Human_Symbol","mDRG1_read","mDRG1_TPM","mDRG2_read","mDRG2_TPM","mDRG3_read","mDRG3_TPM","mDRG_Avg_TPM","Hs_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","FoldChange"
"Chp2","CHP2",954,44.4786,1051,45.2586,857,42.0948,43.944,"CHP2",33.867701,41.854167,37.568644,1261,314,514,37.763504,1.15944110728483
"Chpf","CHPF",1815,59.4438,1880,56.87,1657,57.1738,57.8292,"CHPF",26.41029,20.756871,23.748323,2873,556,1116,23.6384946666667,2.38769457289896
"Chpf2","CHPF2",2029,40.2916,2249,41.2493,2040,42.6782,41.4063666667,"CHPF2",26.987685,31.6146,35.406993,3145,859,1458,31.336426,1.31141167755212
"Chpt1","CHPT1",1446,4.37243,1454,4.06082,1305,4.15727,4.19684,"CHPT1",11.904218,11.797374,14.332385,1729,437,744,12.6779923333333,0.379941724878386
"Chrac1","CHRAC1",507,10.9858,517,10.3468,432,9.86165,10.3980833333,"CHRAC1",10.610574,13.632392,11.547204,307,97,130,11.9300566666667,0.881518436240419
"Chrd","CHRD",15,0.251473,17,0.263235,19,0.335581,0.283429666667,"CHRD",0.32829,0.566192,0.567119,37,10,9,0.487200333333333,0.86298371369403
"Chrdl1","CHRDL1",275,0.393065,333,0.439613,261,0.393021,0.408566333333,"CHRDL1",1.497557,1.778047,2.293518,220,66,138,1.856374,0.493130918196637
"Chrdl2","CHRDL2",4,0.0217402,2,0.0100399,0,0,0.0105933666667,"CHRDL2",0.017749,0.073232,0,1,1,0,0.030327,0.980847213231042
"Chrm1","CHRM1",33,0.258695,53,0.383747,61,0.503788,0.382076666667,"CHRM1",0.448937,0.483745,0.544355,101,17,40,0.492345666666667,0.926110282314173
"Chrm2","CHRM2",529,0.585085,553,0.564915,462,0.538331,0.562777,"CHRM2",2.9628,2.726382,2.913851,704,161,272,2.86767766666667,0.404060817546585
"Chrm3","CHRM3",116,0.0370945,113,0.0333752,80,0.0269516,0.0324737666667,"CHRM3",0.611645,0.441841,0.522515,102,19,32,0.525333666666667,0.676883877429244
"Chrm4","CHRM4",85,9.16164,89,8.86012,83,9.4249,9.14888666667,"CHRM4",3.095897,2.949071,2.531734,169,39,54,2.85890066666667,2.62999427643642
"Chrm5","CHRM5",1,0.0970663,5,0.448264,0,0,0.181776766667,"CHRM5",0.016345,0.1348,0,1,2,0,0.0503816666666667,1.12509272026549
"Chrna1","CHRNA1",33,0.299106,28,0.234404,25,0.238724,0.257411333333,"CHRNA1",0.346718,0.343856,0.444706,64,15,32,0.378426666666667,0.912207637692974
"Chrna10","CHRNA10",29,0.809107,42,1.08231,27,0.793626,0.895014333333,"CHRNA10",0.994895,0.598062,0.882659,68,15,32,0.825205333333333,1.03824720360212
"Chrna2","CHRNA2",1,0.00866605,0,0,1,0.00912989,0.00593198,"CHRNA2",0.080279,0.110221,0.051511,12,4,3,0.0806703333333333,0.930840746684697
"Chrna3","CHRNA3",769,7.25479,895,7.79859,523,5.19809,6.75049,"CHRNA3",7.544974,6.068955,7.244138,983,190,365,6.952689,0.974574763328479
"Chrna4","CHRNA4",131,0.807899,107,0.609487,118,0.766675,0.728020333333,"CHRNA4",1.343948,1.30577,1.46822,229,61,89,1.372646,0.728309378361964
"Chrna5","CHRNA5",13,0.0750081,16,0.0852667,10,0.0607867,0.0736871666667,"CHRNA5",0.160978,0.12919,0.131763,14,3,5,0.140643666666667,0.94129937161214
"Chrna6","CHRNA6",1670,24.1497,1805,24.1084,1427,21.7402,23.3327666667,"CHRNA6",24.249935,23.145859,21.410881,2873,667,993,22.9355583333333,1.01659490569783
"Chrna7","CHRNA7",1275,1.73775,1307,1.64531,1276,1.8322,1.73842,"CHRFAM7A",16.441994,13.803851,19.390403,1360,277,629,16.545416,0.156076094177533
"Chrna7","CHRNA7",1275,1.73775,1307,1.64531,1276,1.8322,1.73842,"CHRNA7",16.441994,13.803851,19.390403,1360,277,629,16.545416,0.156076094177533
"Chrna7","CHRFAM7A",1275,1.73775,1307,1.64531,1276,1.8322,1.73842,"CHRFAM7A",16.441994,13.803851,19.390403,1360,277,629,16.545416,0.156076094177533
"Chrna7","CHRFAM7A",1275,1.73775,1307,1.64531,1276,1.8322,1.73842,"CHRNA7",16.441994,13.803851,19.390403,1360,277,629,16.545416,0.156076094177533
"Chrna9","CHRNA9",4,0.0146403,4,0.0135221,3,0.0115679,0.0132434333333,"CHRNA9",0,0,0,0,0,0,0,1.0132434333333
"Chrnb1","CHRNB1",458,5.96958,411,4.94783,440,6.04192,5.65311,"CHRNB1",1.704016,1.29024,0.891719,132,20,30,1.295325,2.8985481358849
"Chrnb2","CHRNB2",3966,33.3853,4167,32.3982,3771,33.4429,33.0754666667,"CHRNB2",17.289348,16.665213,17.416641,4626,1084,1848,17.123734,1.88015707285817
"Chrnb3","CHRNB3",553,2.76694,539,2.49091,391,2.06109,2.43964666667,"CHRNB3",4.539037,4.189558,3.604196,761,175,250,4.11093033333333,0.672998151478749
"Chrnb4","CHRNB4",347,2.61115,401,2.78703,249,1.97399,2.45739,"CHRNB4",3.268106,2.82378,2.420724,513,108,149,2.83753666666667,0.900939925872587
"Chrnd","CHRND",0,0,0,0,1,0.0172777,0.00575923333333,"CHRND",0.0082,0,0,1,0,0,0.00273333333333333,1.00301765175187
"Chrne","CHRNE",3,0.107436,2,0.0661535,3,0.113186,0.0955918333333,"CHRNE",0.243931,0.335911,0.084132,8,1,2,0.221324666666667,0.897052080609715
"Chst1","CHST1",180,1.79733,158,1.45716,159,1.67261,1.64236666667,"CHST1",2.534505,1.6016,1.906904,275,42,83,2.01433633333333,0.876599813182758
"Chst10","CHST10",358,1.6202,310,1.29581,271,1.29211,1.40270666667,"CHST10",4.170947,4.614499,4.035121,522,111,184,4.27352233333333,0.455617045837232
"Chst11","CHST11",1456,1.07405,1462,0.99611,1367,1.06237,1.04417666667,"CHST11",9.327408,8.085062,9.692505,2169,457,893,9.03499166666667,0.203704869378234
"Chst12","CHST12",1083,8.33167,1187,8.4343,1014,8.21836,8.32811,"CHST12",27.650051,30.632247,22.351347,2015,452,681,26.8778816666667,0.334606126517623
"Chst13","CHST13",1,0.00921833,1,0.00851426,1,0.00971172,0.00914810333333,"CHST13",0,0,0,0,0,0,0,1.00914810333333
"Chst14","CHST14",213,15.818,220,15.09,218,17.0558,15.9879333333,"CHST14",4.223949,3.560649,4.520839,340,69,148,4.10181233333333,3.32978404993598
"Chst15","CHST15",2260,4.30665,2212,3.89324,2138,4.29223,4.16404,"CHST15",20.338475,21.039076,20.443307,3487,749,1284,20.6069526666667,0.23899899627987
"Chst2","CHST2",1122,23.4349,1306,25.1946,1016,22.3567,23.6620666667,"CHST2",5.332364,5.008864,5.308897,1578,363,636,5.21670833333333,3.96706188296861
"Chst3","CHST3",283,1.1642,290,1.10188,225,0.975143,1.08040766667,"CHST3",1.286892,1.102371,1.522426,335,70,158,1.30389633333333,0.902995346001535
"Chst4","CHST4",9,0.131931,4,0.0541574,5,0.0772177,0.0877687,"CHST4",0,0.053659,0.214741,0,1,2,0.0894666666666667,0.998441469832334
"Chst7","CHST7",10,0.0408854,13,0.0490915,9,0.0387663,0.0429144,"CHST7",0.107749,0.099683,0.328456,9,2,12,0.178629333333333,0.884853592647731
"Chst8","CHST8",443,0.497364,523,0.542335,465,0.550006,0.529901666667,"CHST8",14.178016,15.036121,16.770259,732,168,304,15.328132,0.0936972867849794
"Chst9","CHST9",149,0.0750279,173,0.0804595,135,0.0716167,0.0757013666667,"CHST9",0.970778,1.104877,1.34217,62,17,34,1.139275,0.502834542855266
"Chsy1","CHSY1",412,0.994744,392,0.874168,383,0.97422,0.947710666667,"CHSY1",3.901967,4.379901,4.343822,611,167,274,4.20856333333333,0.373943934635911
"Chsy3","CHSY3",63,0.0271165,78,0.0310086,58,0.0263005,0.0281418666667,"CHSY3",0.240792,0.50691,0.457861,34,17,26,0.401854333333333,0.73341562116656
"Chtf18","CHTF18",56,1.02328,58,0.978876,37,0.712279,0.904811666667,"CHTF18",1.000309,2.603383,0.746582,62,15,28,1.45009133333333,0.77744516735036
"Chtf8","CHTF8",1302,20.7498,1299,19.1208,1177,19.7616,19.8774,"CHTF8",16.033148,15.02008,13.599969,844,239,225,14.884399,1.31433364271446
"Chtop","CHTOP",2502,36.8333,2702,36.7395,2299,35.6563,36.4097,"CHTOP",39.352826,38.522159,39.309992,3509,826,1389,39.061659,0.933803065918963
"Chuk","CHUK",1230,5.59091,1217,5.10931,1169,5.59804,5.43275333333,"CHUK",22.723415,24.817508,29.30276,1434,356,650,25.614561,0.241700523759531
"Churc1","CHURC1",393,3.4573,426,3.46138,367,3.40138,3.44002,"CHURC1",71.743919,56.112085,64.826902,900,189,337,64.2276353333333,0.0680696146243863
"Ciao1","CIAO1",1205,27.1881,1334,27.7998,1109,26.3613,27.1164,"CIAO1",63.716259,67.194566,66.160262,1855,468,728,65.6903623333333,0.421596149972435
"Ciao2a","CIAO2A",398,5.0039,370,4.29658,353,4.67568,4.65872,"CIAO2A",11.020211,10.329854,10.351386,484,111,178,10.5671503333333,0.489206056542131
"Ciao2b","CIAO2B",326,23.7773,371,24.9928,335,25.7415,24.8372,"CIAO2B",28.451423,25.049583,26.323803,624,122,227,26.6082696666667,0.935850030152198
"Ciao3","CIAO3",724,11.758,759,11.385,652,11.1554,11.4328,"CIAO3",16.212776,12.128849,13.685225,688,185,258,14.00895,0.828359079082814
"Ciapin1","CIAPIN1",1236,10.3389,1394,10.7699,1136,10.011,10.3732666667,"CIAPIN1",95.396609,96.578809,88.706157,1909,485,733,93.560525,0.120274994948473
"Ciart","CIART",51,2.11141,66,2.52372,53,2.31165,2.31559333333,"CIART",6.091299,7.023554,7.303363,118,33,65,6.806072,0.42474542040222
"Cib1","CIB1",230,6.29929,247,6.24821,261,7.53092,6.69280666667,"CIB1",20.461593,15.049814,23.915831,361,62,162,19.8090793333333,0.36968510444127
"Cib2","CIB2",523,5.26252,509,4.73047,450,4.77033,4.92110666667,"CIB2",14.55545,12.204124,14.766435,777,158,310,13.842003,0.398942559617459
"Cib3","CIB3",3,0.0537552,5,0.0827492,7,0.132142,0.0895488,"CIB3",0.278991,0.543337,0.507269,11,2,3,0.443199,0.75495395991821
"Cib4","CIB4",7,0.0180314,10,0.0237917,2,0.00542757,0.0157502233333,"CIB4",0,0,0,0,0,0,0,1.0157502233333
"Cic","CIC",4287,25.1505,4532,24.5571,3941,24.3581,24.6885666667,"CIC",154.796522,89.839916,139.019108,6715,1477,2698,127.885182,0.199313577155053
"Cidea","CIDEA",39,0.250316,53,0.314192,24,0.162286,0.242264666667,"CIDEA",0.658532,0.835473,1.425653,26,8,22,0.973219333333333,0.629562383502729
"Cideb","CIDEB",49,1.72494,59,1.91833,60,2.22522,1.95616333333,"CIDEB",0.069426,0.307336,0.184239,3,3,3,0.187000333333333,2.49044861262044
"Cidec","CIDEC",6,0.0836932,9,0.115951,3,0.0440863,0.0812435,"CIDEC",0.060082,0.123998,0.077106,4,2,2,0.087062,0.994647499406658
"Ciita","CIITA",288,0.924322,279,0.827046,288,0.973794,0.908387333333,"CIITA",0.627283,0.452044,0.589766,74,19,24,0.556364333333333,1.22618290104716
"Cilp","CILP",56,0.563445,73,0.678393,50,0.530002,0.590613333333,"CILP",0.500932,0.810846,0.417668,89,35,29,0.576482,1.00896384058492
"Cilp2","CILP2",6,0.127238,8,0.156693,0,0,0.0946436666667,"CILP2",0.057076,0,0,9,0,0,0.0190253333333333,1.07420652937647
"Cinp","CINP",782,7.33995,793,6.87471,637,6.29898,6.83788,"CINP",31.556028,32.813387,32.683779,1053,261,417,32.3510646666667,0.235011388042245
"Cip2a","CIP2A",131,0.796567,137,0.769426,122,0.781547,0.782513333333,"CIP2A",2.753111,2.60823,2.407881,222,55,61,2.58974066666667,0.496557690054026
"Cipc","CIPC",1965,16.6477,1977,15.4701,1735,15.4858,15.8678666667,"CIPC",23.46394,23.397356,19.648611,2847,649,1183,22.169969,0.728005577681179
"Cir1","CIR1",1008,5.28603,1008,4.8823,915,5.05515,5.07449333333,"CIR1",11.998617,14.225279,10.905431,1307,348,445,12.3764423333333,0.454118754595361
"Cirbp","CIRBP",571,13.0292,782,16.4809,598,14.3756,14.6285666667,"CIRBP",42.089154,57.844076,52.889998,1139,381,580,50.941076,0.30089031399157
"Cisd1","CISD1",1975,21.1771,2074,20.5401,1751,19.7801,20.4991,"CISD1",77.392616,66.248283,81.555139,2808,586,1195,75.065346,0.282639876508285
"Cisd2","CISD2",1096,9.71275,1223,10.0104,955,8.91618,9.54644333333,"CISD2",12.591807,14.375862,12.557187,1497,409,610,13.174952,0.744019685804227
"Cisd3","CISD3",803,44.5754,924,47.3747,804,47.0197,46.3232666667,"CISD3",83.566166,73.17314,72.123999,1422,303,499,76.2877683333333,0.612299561589101
"Cish","CISH",222,5.09786,277,5.87502,297,7.18514,6.05267333333,"CISH",16.151352,17.814408,15.544799,479,107,168,16.5035196666667,0.402928866173182
"Cit","CIT",428,0.405874,441,0.386261,400,0.399624,0.397253,"CIT",3.566475,3.157744,5.332144,620,126,242,4.01878766666667,0.278404485864216
"Cited1","CITED1",22,0.711227,28,0.836061,25,0.85147,0.799586,"CITED1",4.922886,4.708257,3.909966,47,12,18,4.513703,0.326384282940158
"Cited2","CITED2",156,9.85454,200,11.6691,164,10.9144,10.81268,"CITED2",2.647958,1.98449,2.569182,196,36,80,2.40054333333333,3.47376252618454
"Cited4","CITED4",7,0.869866,3,0.344327,4,0.523671,0.579288,"CITED4",0.091745,0,0.24273,3,0,4,0.111491666666667,1.42087255115123
"Ciz1","CIZ1",2243,12.1538,2500,12.5118,2339,13.3523,12.6726333333,"CIZ1",34.403473,40.606406,36.806152,1343,315,564,37.2720103333333,0.357248893230772
"CK137956","C1orf94",43,0.15392,51,0.168614,57,0.214955,0.179163,"C1orf94",0.63493,0.699414,0.735236,60,16,27,0.68986,0.697787390671417
"Ckap2","CKAP2",34,0.298817,36,0.292229,37,0.342588,0.311211333333,"CKAP2",0.981623,0.694244,0.952334,82,11,26,0.876067,0.698914981891905
"Ckap2l","CKAP2L",25,0.133787,22,0.108741,18,0.101482,0.11467,"CKAP2L",0.336301,0.480017,0.259306,43,15,13,0.358541333333333,0.820490310195445
"Ckap4","CKAP4",677,13.5443,803,14.8381,634,13.3629,13.9151,"CKAP4",10.054683,8.777817,8.456395,1149,234,394,9.09629833333333,1.47728400128166
"Ckap5","CKAP5",9534,15.7584,10122,15.4525,8649,15.0608,15.4239,"CKAP5",74.969072,73.110333,77.875634,14662,3555,5816,75.3183463333333,0.21520251406216
"Ckb","CKB",9315,485.484,10261,493.943,8852,486.046,488.491,"CKB",286.552704,269.585365,266.076646,16151,3658,5916,274.071571666667,1.77950413790186
"Cklf","CKLF",270,2.97673,278,2.83084,233,2.7063,2.83795666667,"CKLF",13.349839,14.113634,15.47145,361,84,150,14.311641,0.250656129324741
"Ckm","CKM",48,0.412379,64,0.507843,145,1.3124,0.744207333333,"CKM",0.752742,0,29.043635,37,0,369,9.93212566666667,0.159548781866942
"Ckmt1","CKMT1A",4118,106.101,4479,106.588,3890,105.591,106.093333333,"CKMT1A",213.925918,183.647713,198.240334,6843,1676,2583,198.604655,0.536527233460562
"Ckmt1","CKMT1A",4118,106.101,4479,106.588,3890,105.591,106.093333333,"CKMT1B",213.925918,183.647713,198.240334,6843,1676,2583,198.604655,0.536527233460562
"Ckmt1","CKMT1B",4118,106.101,4479,106.588,3890,105.591,106.093333333,"CKMT1A",213.925918,183.647713,198.240334,6843,1676,2583,198.604655,0.536527233460562
"Ckmt1","CKMT1B",4118,106.101,4479,106.588,3890,105.591,106.093333333,"CKMT1B",213.925918,183.647713,198.240334,6843,1676,2583,198.604655,0.536527233460562
"Ckmt2","CKMT2",15,0.0990738,18,0.109808,34,0.236587,0.1484896,"CKMT2",0.089408,0.147295,1.926239,5,2,42,0.720980666666667,0.667346020931477
"Cks1b","CKS1B",45,2.39849,56,2.75682,63,3.53761,2.89764,"CKS1B",5.552873,4.964252,3.607831,75,18,36,4.70831866666667,0.682800002522634
"Cks2","CKS2",54,1.5438,50,1.32027,56,1.68667,1.51691333333,"CKS2",2.548814,2.358118,2.43666,50,11,19,2.447864,0.729992056916978
"Clasp1","CLASP1",4845,3.36278,5009,3.21107,4449,3.2532,3.27568333333,"CLASP1",43.24196,37.251175,45.949361,7209,1531,2745,42.1474986666667,0.0990945817360475
"Clasp2","CLASP2",10211,8.8931,10377,8.34741,9253,8.49007,8.57686,"CLASP2",58.65821,57.238513,61.110912,12266,3004,5013,59.002545,0.159607563312523
"Clasrp","CLASRP",584,3.865,571,3.49034,534,3.72325,3.69286333333,"CLASRP",13.563182,17.770116,16.046022,733,252,364,15.7931066666667,0.279451767113768
"Clba1","CLBA1",154,3.26711,181,3.54664,139,3.10672,3.30682333333,"CLBA1",3.526714,3.655979,3.810456,235,54,89,3.664383,0.923342558561336
"Clca1","CLCA1",10,0.0535943,8,0.0396007,6,0.0338777,0.0423575666667,"CLCA1",0.058952,0.365673,0.084066,5,1,5,0.169563666666667,0.891236275864731
"Clca2","CLCA2",47,0.249985,40,0.196504,21,0.117674,0.188054333333,"CLCA2",1.881305,0.252933,0.180401,47,10,11,0.771546333333333,0.670631250777146
"Clca4a","CLCA4",8,0.055024,6,0.0381161,4,0.0289845,0.0407082,"CLCA4",0,0.033741,0,0,1,0,0.011247,1.02913353513039
"Clcc1","CLCC1",341,2.12317,392,2.25429,310,2.03346,2.13697333333,"CLCC1",10.567493,9.331922,16.286031,421,119,200,12.0618153333333,0.24016365667983
"Clcf1","CLCF1",48,0.805148,46,0.712668,26,0.459464,0.659093333333,"CLCF1",0.384017,0.697849,0.69598,33,10,19,0.592615333333333,1.04174140397137
"Clcn1","CLCN1",483,2.57863,488,2.40634,419,2.35668,2.44721666667,"CLCN1",1.255916,0.83146,0.751441,32,8,23,0.946272333333333,1.77118926659459
"Clcn2","CLCN2",563,5.91103,636,6.16746,611,6.75833,6.27894,"CLCN2",8.996119,10.064781,13.812102,737,190,364,10.9576673333333,0.608725748684205
"Clcn3","CLCN3",4933,10.501,4963,9.75792,4522,10.1413,10.1334066667,"CLCN3",33.029839,33.227294,34.892584,6616,1710,2915,33.7165723333333,0.320694294350315
"Clcn4","CLCN4",4266,35.7074,4490,34.7119,3986,35.1494,35.1895666667,"CLCN4",32.174734,32.376212,37.892354,6031,1471,2436,34.1477666666667,1.0296405746036
"Clcn5","CLCN5",1844,1.72883,1768,1.53097,1533,1.51418,1.59132666667,"CLCN5",6.614126,6.61174,6.963252,2197,581,950,6.729706,0.335242590943304
"Clcn6","CLCN6",3429,15.3983,3778,15.6698,3185,15.0681,15.3787333333,"CLCN6",25.700999,27.646144,26.144886,5306,1357,2022,26.497343,0.595647853441694
"Clcn7","CLCN7",1129,6.10263,1221,6.09584,1197,6.8165,6.33832333333,"CLCN7",13.659124,16.774616,14.924265,1707,394,676,15.119335,0.455249756477547
"Clcnkb","CLCNKA",1,0.013309,1,0.0122925,1,0.0140213,0.0132076,"CLCNKB",0,0.606306,0,0,1,0,0.202102,0.842863251204973
"Clcnkb","CLCNKA",1,0.013309,1,0.0122925,1,0.0140213,0.0132076,"CLCNKA",0,0.606306,0,0,1,0,0.202102,0.842863251204973
"Clcnkb","CLCNKB",1,0.013309,1,0.0122925,1,0.0140213,0.0132076,"CLCNKB",0,0.606306,0,0,1,0,0.202102,0.842863251204973
"Clcnkb","CLCNKB",1,0.013309,1,0.0122925,1,0.0140213,0.0132076,"CLCNKA",0,0.606306,0,0,1,0,0.202102,0.842863251204973
"Cldn1","CLDN1",321,3.27777,406,3.82908,295,3.17351,3.42678666667,"CLDN1",3.27675,2.431803,3.220869,429,79,166,2.976474,1.11324421250334
"Cldn10","CLDN10",11,0.0194937,18,0.0294625,8,0.0149361,0.0212974333333,"CLDN10",0.057512,0.235508,0.146974,3,2,4,0.146664666666667,0.890667919769598
"Cldn11","CLDN11",84,0.905072,126,1.25392,74,0.84,0.999664,"CLDN11",1.931153,2.642531,1.891,140,47,54,2.15489466666667,0.633829085049221
"Cldn12","CLDN12",728,4.44466,709,3.99805,623,4.00718,4.14996333333,"CLDN12",6.362647,8.737977,10.08422,853,206,346,8.394948,0.548163048196754
"Cldn14","CLDN14",15,0.0259238,23,0.0367138,32,0.0582641,0.0403005666667,"CLDN14",1.907639,0.444743,1.619843,22,6,7,1.324075,0.447619188996353
"Cldn15","CLDN15",29,0.48697,25,0.387738,18,0.318435,0.397714333333,"CLDN15",0.279085,0.244435,0.152271,15,3,3,0.225263666666667,1.14074576057208
"Cldn16","CLDN16",0,0,0,0,1,0.00832949,0.00277649666667,"CLDN16",0,0,0.081642,0,0,1,0.027214,0.976209919906339
"Cldn18","CLDN18",7,0.0390716,2,0.0103107,1,0.0058804,0.0184209,"CLDN18",0,0,0,0,0,0,0,1.0184209
"Cldn19","CLDN19",1240,27.3963,1698,34.65,1389,32.3308,31.4590333333,"CLDN19",13.071395,15.966836,16.331502,1369,388,708,15.1232443333333,2.01318249988893
"Cldn2","CLDN2",1,0.0146992,7,0.0950358,6,0.0929158,0.0675502666667,"CLDN2",0.023908,0.065522,0.061188,3,2,3,0.050206,1.01651510909926
"Cldn23","CLDN23",4,0.33595,3,0.232719,0,0,0.189556333333,"CLDN23",0.041411,0.112132,0,3,2,0,0.051181,1.13163797037142
"Cldn3","CLDN3",3,0.369839,0,0,0,0,0.123279666667,"CLDN3",0.064412,0,0.205058,3,0,4,0.0898233333333333,1.03069885944847
"Cldn34c1","CLDN34",617,1.12266,634,1.06548,559,1.07157,1.08657,"CLDN34",7.115108,3.966493,7.375431,395,87,173,6.152344,0.291732332784888
"Cldn5","CLDN5",291,31.8968,321,32.4978,215,24.8277,29.7407666667,"CLDN5",6.44592,6.172352,7.09275,343,80,155,6.57034066666667,4.06068471952077
"Cldn6","CLDN6",1,0.0485332,0,0,2,0.102262,0.0502650666667,"CLDN6",0,0,0,0,0,0,0,1.0502650666667
"Cldn7","CLDN7",2,0.0999093,0,0,2,0.105257,0.0683887666667,"CLDN7",0.052878,0.085847,0.271748,1,1,2,0.136824333333333,0.939801106767331
"Cldn7","CLDN7",2,0.0999093,0,0,2,0.105257,0.0683887666667,"",0.052878,0.085847,0.271748,1,1,2,0.136824333333333,0.939801106767331
"Cldn9","CLDN9",59,6.34604,66,6.55676,42,4.75931,5.88737,"CLDN9",1.718421,1.130908,1.631001,94,15,35,1.49344333333333,2.76219230969757
"Cldnd1","CLDND1",1526,37.3461,1650,37.2966,1339,34.5235,36.3887333333,"CLDND1",44.468899,51.009541,42.428506,2061,539,830,45.968982,0.79603031066971
"Cldnd2","CLDND2",2,0.12159,3,0.168454,6,0.384292,0.224778666667,"CLDND2",0.132099,0.816225,0.169631,2,3,1,0.372651666666667,0.892272013657507
"Clec10a","CLEC10A",14,0.148444,22,0.215453,16,0.178731,0.180876,"CLEC10A",1.208976,4.203743,1.61895,14,11,4,2.34388966666667,0.353144426914405
"Clec11a","CLEC11A",22,0.809914,33,1.12208,23,0.892048,0.941347333333,"CLEC11A",0.255118,0.135514,0.143309,31,4,7,0.177980333333333,1.64803034346046
"Clec12a","CLEC12A",15,0.102956,29,0.183845,15,0.108466,0.131755666667,"CLEC12A",0.535034,0.573328,0.529805,42,9,12,0.546055666666667,0.732027760104584
"Clec12b","CLEC12B",2,0.0299631,1,0.0138373,1,0.0157834,0.0198612666667,"CLEC12B",0.020826,0.085097,0.106132,1,1,2,0.070685,0.952531572466879
"Clec14a","CLEC14A",95,3.22574,105,3.29299,82,2.93335,3.15069333333,"CLEC14A",0.518986,0.618398,0.647784,98,29,48,0.595056,2.60222420612819
"Clec16a","CLEC16A",2239,1.74157,2245,1.61287,2085,1.70859,1.68767666667,"CLEC16A",24.998482,20.068296,22.668528,2374,512,887,22.5784353333333,0.113988762556707
"Clec18a","CLEC18B",121,0.560489,145,0.620361,116,0.566087,0.582312333333,"CLEC18A",1.261985,1.3851,1.442619,101,26,46,1.36323466666667,0.669553623113038
"Clec18a","CLEC18B",121,0.560489,145,0.620361,116,0.566087,0.582312333333,"CLEC18C",1.261985,1.3851,1.442619,101,26,46,1.36323466666667,0.669553623113038
"Clec18a","CLEC18B",121,0.560489,145,0.620361,116,0.566087,0.582312333333,"CLEC18B",1.261985,1.3851,1.442619,101,26,46,1.36323466666667,0.669553623113038
"Clec18a","CLEC18A",121,0.560489,145,0.620361,116,0.566087,0.582312333333,"CLEC18A",1.261985,1.3851,1.442619,101,26,46,1.36323466666667,0.669553623113038
"Clec18a","CLEC18A",121,0.560489,145,0.620361,116,0.566087,0.582312333333,"CLEC18C",1.261985,1.3851,1.442619,101,26,46,1.36323466666667,0.669553623113038
"Clec18a","CLEC18A",121,0.560489,145,0.620361,116,0.566087,0.582312333333,"CLEC18B",1.261985,1.3851,1.442619,101,26,46,1.36323466666667,0.669553623113038
"Clec18a","CLEC18C",121,0.560489,145,0.620361,116,0.566087,0.582312333333,"CLEC18A",1.261985,1.3851,1.442619,101,26,46,1.36323466666667,0.669553623113038
"Clec18a","CLEC18C",121,0.560489,145,0.620361,116,0.566087,0.582312333333,"CLEC18C",1.261985,1.3851,1.442619,101,26,46,1.36323466666667,0.669553623113038
"Clec18a","CLEC18C",121,0.560489,145,0.620361,116,0.566087,0.582312333333,"CLEC18B",1.261985,1.3851,1.442619,101,26,46,1.36323466666667,0.669553623113038
"Clec1a","CLEC1A",79,0.450311,78,0.410653,77,0.462402,0.441122,"CLEC1A",0.679938,0.602782,1.155429,104,24,55,0.812716333333333,0.79500690400355
"Clec1b","CLEC1B",9,0.11603,5,0.0595376,5,0.0679111,0.0811595666667,"CLEC1B",0.124495,0.90363,0.332657,9,3,6,0.453594,0.743783729615491
"Clec2g","CLEC2D",13,0.0400921,12,0.0341816,13,0.042238,0.0388372333333,"CLEC2D",0.010711,0,0,1,0,0,0.00357033333333333,1.03514143336903
"Clec2l","CLEC2L",2374,20.7015,2410,19.4103,2535,23.2886,21.1334666667,"CLEC2L",145.327027,149.049989,151.528642,4049,879,1664,148.635219333333,0.147916157474896
"Clec3a","CLEC3A",1,0.0199986,0,0,0,0,0.0066662,"CLEC3A",0,0,0,0,0,0,0,1.0066662
"Clec3b","CLEC3B",56,1.33987,109,2.40877,48,1.20992,1.65285333333,"CLEC3B",1.663998,5.138434,2.732318,57,43,38,3.17825,0.634919723168791
"Clec4a1","CLEC4A",17,0.206589,28,0.314276,17,0.217646,0.246170333333,"CLEC4A",0.451904,0.355718,0.487242,26,5,11,0.431621333333333,0.870460857433204
"Clec4a2","CLEC4C",16,0.0660956,23,0.0877557,21,0.0913936,0.0817483,"CLEC4C",0.646286,0,1.206266,20,0,4,0.617517333333333,0.668770762271069
"Clec4d","CLEC4D",5,0.0589924,7,0.0762815,7,0.0870098,0.0740945666667,"CLEC4D",0.102887,0,0,3,0,0,0.0342956666666667,1.0384792291824
"Clec4e","CLEC4E",8,0.153634,8,0.1419,8,0.161857,0.152463666667,"CLEC4E",0.184668,0.386764,0.226778,9,5,2,0.26607,0.910268521224735
"Clec4f","CLEC4F",2,0.0266545,0,0,0,0,0.00888483333333,"CLEC4F",0,0,0.025452,0,0,1,0.008484,1.0003974612719
"Clec4g","CLEC4G",3,0.0342675,2,0.0211002,7,0.0842371,0.0465349333333,"CLEC4G",0.096357,0,0.05696,2,0,1,0.0511056666666667,0.995651499674755
"Clec4n","CLEC6A",7,0.0632437,11,0.0917924,3,0.0285551,0.0611970666667,"CLEC6A",0.051096,0,0.49732,2,0,1,0.182805333333333,0.897186575643921
