"Mm_genes","Human_Symbol","mDRG1_read","mDRG1_TPM","mDRG2_read","mDRG2_TPM","mDRG3_read","mDRG3_TPM","mDRG_Avg_TPM","Hs_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","FoldChange"
"Abca13","ABCA13",33,0.0104036,46,0.0133944,39,0.0129533,0.0122504333333,"ABCA13",0.026318,0.017482,0.051169,15,3,14,0.0316563333333333,0.981189569265443
"Abca2","ABCA2",6105,47.7645,6781,49.0013,6154,50.7248,49.1635333333,"ABCA2",70.353022,71.44658,66.893322,9729,2082,3846,69.564308,0.710891026286264
"Abca3","ABCA3",5164,13.7592,5259,12.9421,4945,13.8809,13.5274,"ABCA3",29.995284,25.735844,33.069807,7843,1645,2919,29.6003116666667,0.474746798602868
"Abca4","ABCA4",23,0.0263103,36,0.038036,19,0.0228979,0.0290814,"ABCA4",0.218113,0.144422,0.457021,16,3,4,0.273185333333333,0.808273055821148
"Abca5","ABCA5",5255,11.9334,5299,11.1142,4575,10.9453,11.3309666667,"ABCA5",22.448123,21.41967,24.32496,6816,1769,2833,22.7309176666667,0.519616090700973
"Abca6","ABCA6",3334,6.90352,3785,7.23878,3311,7.22284,7.12171333333,"ABCA6",20.340663,20.054591,22.962028,4456,1036,1929,21.119094,0.367181103047439
"Abca7","ABCA7",5065,41.2041,5622,42.2423,4588,39.3214,40.9226,"ABCA7",28.284582,28.185107,28.557071,8307,2009,3301,28.3422533333333,1.4287450770652
"Abca8b","ABCA8",3612,8.80695,3441,7.74921,3247,8.34073,8.29896333333,"ABCA8",12.161258,12.465005,14.473483,3737,944,1732,13.0332486666667,0.66263796460886
"Abca9","ABCA9",644,1.48195,645,1.37089,506,1.22671,1.35985,"ABCA9",2.510507,2.960071,2.962372,676,194,314,2.81098333333333,0.619223385040606
"Abcb10","ABCB10",678,3.43177,729,3.40809,632,3.37015,3.40333666667,"ABCB10",5.679646,5.373036,5.311046,963,220,368,5.454576,0.682203860744687
"Abcb11","ABCB11",4,0.00595041,5,0.00686992,5,0.00783612,0.00688548333333,"ABCB11",0,0,0.012404,0,0,1,0.00413466666666667,1.00273948978955
"Abcb1b","ABCB1",263,0.598806,225,0.473159,247,0.592476,0.554813666667,"ABCB1",1.29574,1.66082,2.204825,117,36,57,1.72046166666667,0.571525666293282
"Abcb4","ABCB4",753,1.7839,737,1.61264,630,1.57239,1.65631,"ABCB4",2.85706,2.376162,2.887682,430,81,174,2.706968,0.716572141976947
"Abcb5","ABCB5",8,0.0125933,3,0.00436179,3,0.00497524,0.00731011,"ABCB5",0,0,0,0,0,0,0,1.00731011
"Abcb6","ABCB6",537,9.60665,500,8.26156,495,9.32925,9.06582,"ABCB6",11.693171,5.646987,10.839573,709,152,266,9.39324366666667,0.968496488953032
"Abcb7","ABCB7",11285,13.1497,11821,12.7222,10002,12.2785,12.7168,"ABCB7",7.456802,7.129243,7.31946,1722,415,663,7.301835,1.65226121694782
"Abcb8","ABCB8",816,7.72636,935,8.17695,799,7.97032,7.95787666667,"ABCB8",25.498487,22.60307,29.797684,1350,316,528,25.9664136666667,0.332186429289367
"Abcb9","ABCB9",1104,5.00017,1193,4.99058,1097,5.23439,5.07504666667,"ABCB9",15.429411,12.471241,16.112352,1637,348,695,14.6710013333333,0.38766167760754
"Abcc1","ABCC1",688,0.935223,722,0.906482,654,0.936588,0.926097666667,"ABCC1",8.351031,6.08049,11.592946,994,209,349,8.67482233333333,0.199083518053958
"Abcc10","ABCC10",269,1.66128,280,1.59714,283,1.84128,1.6999,"ABCC10",2.622562,2.513981,2.584121,288,85,131,2.57355466666667,0.755522232578131
"Abcc12","ABCC12",74,0.11669,54,0.0786487,49,0.0814034,0.0922473666667,"ABCC12",0.581075,0.452147,0.584976,67,15,32,0.539399333333333,0.70952828354265
"Abcc2","ABCC2",5,0.0132546,2,0.00489691,1,0.00279281,0.00698144,"ABCC2",0.140255,0.055143,0.014914,11,3,2,0.070104,0.941012686617375
"Abcc3","ABCC3",49,0.153014,57,0.164401,62,0.203972,0.173795666667,"ABCC3",0.786365,0.247674,1.21136,64,13,30,0.748466333333333,0.671328720656141
"Abcc4","ABCC4",979,0.679779,989,0.634273,939,0.686902,0.666984666667,"ABCC4",7.38802,4.529168,6.372067,1235,251,481,6.09641833333333,0.234905073005185
