"Hs_symbol","Heart","dHs_Avg_TPM","Spinal_cord","dHs_Avg__TPM","FoldChange"
"SRR",10.614,10.614,8.34823,8.34823,1.24237422485326
"SRRD",25.9594,25.9594,5.92755,5.92755,3.89162113589942
"SRRM1",81.71137,81.71137,41.12046,41.12046,1.96368629402433
"SRRM1P2",0,0,0,0,1
"SRRM1P3",0,0,0,0,1
"SRRM2",455.12437,455.12437,424.39414,424.39414,1.07223942953234
"SRRM3",0.49338,0.49338,32.08947,32.08947,0.0451315781123119
"SRRM4",0.48073,0.48073,2.11033,2.11033,0.476068455758714
"SRRM5",0.67049,0.67049,0.71379,0.71379,0.974734360685965
"SRRT",34.46072,34.46072,103.84079,103.84079,0.338234002242829
"SRSF1",174.98555,174.98555,106.78905,106.78905,1.63268485991852
"SRSF10",97.03146,97.03146,32.61706,32.61706,2.91612234978312
"SRSF10P1",0.27832,0.27832,0,0,1.27832
"SRSF11",148.38097,148.38097,103.59252,103.59252,1.42821848063322
"SRSF12",0.0759,0.0759,1.36551,1.36551,0.454827922942621
"SRSF1P1",0,0,0,0,1
"SRSF2",243.2871,243.2871,86.49261,86.49261,2.79208838323602
"SRSF3",153.12501,153.12501,108.86835,108.86835,1.40281536948539
"SRSF4",100.852,100.852,60.23759,60.23759,1.66322678603126
"SRSF5",463.15762,463.15762,301.93277,301.93277,1.53221330264137
"SRSF6",85.70902,85.70902,37.086,37.086,2.2766638659875
"SRSF7",58.67431,58.67431,65.60652,65.60652,0.895922951687012
"SRSF8",21.06354,21.06354,22.49987,22.49987,0.938879236353222
"SRSF9",61.92556,61.92556,152.28534,152.28534,0.410512577393246
"SRSF9P1",0.22771,0.22771,0,0,1.22771
"SRXN1",29.21065,29.21065,4.71721,4.71721,5.28415958133425
"SRY",0,0,0,0,1
"SS18",51.67843,51.67843,29.14121,29.14121,1.74772114324541
"SS18L1",9.62724,9.62724,8.28616,8.28616,1.14441706798074
"SS18L2",18.79906,18.79906,31.31362,31.31362,0.612715628889614
"SSB",150.67076,150.67076,40.40667,40.40667,3.6629547848209
"SSBP1",254.95112,254.95112,61.6962,61.6962,4.08240244225328
"SSBP2",65.75874,65.75874,181.83,181.83,0.365141060001094
"SSBP3",50.59046,50.59046,298.92244,298.92244,0.172012671009212
"SSBP4",0.78435,0.78435,32.49292,32.49292,0.0532754385105867
"SSC5D",0.35422,0.35422,2.32757,2.32757,0.406969650525759
"SSFA2",88.11267,88.11267,118.67519,118.67519,0.744621086459107
"SSH1",12.85319,12.85319,5.21376,5.21376,2.22943757081059
"SSH2",23.07502,23.07502,20.54471,20.54471,1.11744460705203
"SSH3",6.5278,6.5278,53.62728,53.62728,0.137802943877125
"SSNA1",1.80906,1.80906,113.05798,113.05798,0.0246283512999266
