"Hs_symbol","Heart","dHs_Avg_TPM","DRG","dHs_Avg__TPM","FoldChange"
"PSMB3P2",0,0,0.02091,0.02091,0.979518272913381
"PSMB4",203.66487,203.66487,579.14774,579.14774,0.352780603782064
"PSMB5",133.71872,133.71872,365.29169,365.29169,0.367790817203633
"PSMB6",119.29683,119.29683,370.81136,370.81136,0.323542642699244
"PSMB7",204.62633,204.62633,563.93727,563.93727,0.36398081861372
"PSMB8",17.73639,17.73639,104.52885,104.52885,0.177547561638358
"PSMB9",9.29832,9.29832,64.75164,64.75164,0.156624534384237
"PSMC1",246.91788,246.91788,126.2103,126.2103,1.94888212668314
"PSMC1P1",3.93439,3.93439,13.31831,13.31831,0.344620978313781
"PSMC1P10",0,0,0.02091,0.02091,0.979518272913381
"PSMC1P11",0,0,0.02091,0.02091,0.979518272913381
"PSMC1P12",0,0,0,0,1
"PSMC1P13",0,0,0,0,1
"PSMC1P2",0,0,0,0,1
"PSMC1P3",0,0,0.02091,0.02091,0.979518272913381
"PSMC1P4",0,0,0,0,1
"PSMC1P5",0,0,1.57854,1.57854,0.387816361196646
"PSMC1P6",0,0,0,0,1
"PSMC1P7",0,0,0,0,1
"PSMC1P8",0,0,0,0,1
"PSMC1P9",0.13916,0.13916,0.03136,0.03136,1.10452218430034
"PSMC2",134.42716,134.42716,118.86119,118.86119,1.12986663990237
"PSMC3",286.28709,286.28709,272.35625,272.35625,1.05096221505819
"PSMC3IP",34.33421,34.33421,13.94554,13.94554,2.36419761346863
"PSMC4",46.54221,46.54221,149.20895,149.20895,0.316507172175826
"PSMC5",176.55425,176.55425,336.50156,336.50156,0.526084234988425
"PSMC6",177.78138,177.78138,108.35499,108.35499,1.63487171458751
"PSMD1",143.16885,143.16885,144.33742,144.33742,0.9919596068239
"PSMD10",32.4872,32.4872,58.19703,58.19703,0.565690542245109
"PSMD10P1",0.16446,0.16446,0.11499,0.11499,1.04436811092476
"PSMD10P2",0,0,0,0,1
"PSMD10P3",0,0,0,0,1
"PSMD11",77.71373,77.71373,39.47404,39.47404,1.94479547878097
"PSMD12",72.07148,72.07148,37.31008,37.31008,1.90736954869319
"PSMD13",123.24387,123.24387,262.55046,262.55046,0.471423460994908
"PSMD14",78.9788,78.9788,90.66694,90.66694,0.872493398383321
"PSMD2",199.62927,199.62927,416.24414,416.24414,0.480843829226697
"PSMD3",39.07825,39.07825,120.64881,120.64881,0.329458627667628
