"Hs_symbol","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Hs_Avg__TPM","FoldChange"
"SNAPC3",13.44845,6.856034,7.095261,531,435,335,0.448577,14.02723,15.08299,14.978694,717,629,685,0.251250666666667,1.15770327927897
"SNAPC4",1.577826,1.078716,1.090144,186,116,119,0,8.448314,7.049003,5.334024,501,343,346,0.00617833333333333,0.993859604079462
"SNAPC5",17.570394,17.55062,15.514409,205,242,204,1.23305866666667,8.918639,9.11684,8.781689,94,83,83,3.77033766666667,0.468113333416719
"SNAPIN",25.436824,23.850604,21.819483,432,386,347,0.059024,12.487211,13.999469,12.742864,148,137,135,0.688457333333333,0.627213953881373
"SNCA",6.718847,4.035129,5.6161,43,34,29,0.765413666666667,99.106028,88.161107,86.750536,614,554,534,1.14996433333333,0.821136257609235
"SNCA.AS1",0,0,0,0,0,0,1.77265033333333,0.440494,0.293254,0,5,3,0,4.134212,0.540034251280106
"SNCAIP",1.856378,0.394467,0.167285,31,18,9,0.104587,0.498736,0.561297,0.186158,16,19,9,0.738436,0.635391236720823
"SNCB",0.13778,0.182713,0.736178,1,2,6,2.64564533333333,1.224263,1.463176,2.686959,21,9,31,13.8066196666667,0.246217260617599
"SNCG",4.752005,2.83791,2.083415,52,35,24,0,82.477352,53.161377,84.508791,671,349,608,0,1
"SND1",63.598904,51.253578,38.911983,1625,1299,1126,6.719821,191.229734,205.966014,188.837554,3742,3076,3301,24.4629856666667,0.303178154402606
"SND1.IT1",0,0.180449,0,0,1,0,1.14554433333333,0.06391,0.154572,0.076494,2,5,2,4.52389566666667,0.388411451411072
