"Hs_symbol","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Hs_Avg__TPM","FoldChange"
"A1BG",6.574087,5.356817,5.122674,51,37,35,3.30626433333333,12.383067,11.034331,14.333404,126,71,81,21.339172,0.192767410239436
"A1BG.AS1",2.337322,2.003968,1.253341,87,70,50,0.0794916666666667,6.440296,4.571839,4.757617,156,94,113,4.04482766666667,0.213979889501346
"A1CF",0.063683,0.066053,0,4,2,0,16.1244153333333,0,0.018194,0.01632,0,2,2,25.9035856666667,0.63651052114404
"A2M",47.469149,41.973869,31.55372,2028,1448,1149,1.48072333333333,93.505878,154.962182,63.431646,2246,2504,1541,2.80286666666667,0.652329821362832
"A2M.AS1",1.058558,0.498442,0.612746,47,23,23,0.915345333333333,1.34759,0.843674,1.358533,46,17,41,2.850321,0.497450818602743
"A2ML1",0.229587,0.095002,0,6,4,0,0.0162356666666667,0.645592,0.320555,0.729682,6,8,9,0.0117503333333333,1.00443324127066
"A2MP1",0.062851,0.01158,0.048479,2,1,1,0.0559523333333333,0.165659,0.426102,0.092535,3,3,1,3.729439,0.223272217557586
"A3GALT2",0,0,0,0,0,0,14.8929526666667,0.251325,0.112836,0.205214,3,1,2,31.34975,0.491285177371283
"A4GALT",33.003692,32.717969,29.75239,1208,1099,1075,12.358464,1.677651,1.425484,2.068745,11,6,11,15.4402076666667,0.812548373527236
"A4GNT",0,0,0,0,0,0,2.25089866666667,0.079778,0.049504,0.045031,2,1,1,13.7070106666667,0.22104414964727
"AA06",0,0,0,0,0,0,1.19543366666667,0,0,0,0,0,0,1.85247766666667,0.769658494550878
"AAAS",17.868209,17.289999,16.874782,598,489,514,3.297399,22.626138,22.03279,25.95966,485,382,454,4.99417633333333,0.716929025945127
"AACS",6.792635,7.2732,5.012077,382,296,228,9.04946033333333,20.326116,20.425959,26.161884,720,608,707,18.556026,0.513880495624895
"AACSP1",0.016684,0.017346,0.035141,1,1,2,1.00310933333333,1.03341,0.522627,0.873839,38,18,33,2.101905,0.645767466551469
"AADAC",0.114227,0.093886,0.189067,3,2,4,0.485872,0,0,0,0,0,0,6.87484866666667,0.188685784691905
"AADACL2",0,0,0,0,0,0,0.428366666666667,0.013978,0.017282,0.015789,1,1,1,5.63401333333333,0.215309586353962
"AADACL3",0,0,0,0,0,0,3.22497266666667,0,0,0,0,0,0,10.766603,0.359064775676265
"AADACL4",0,0,0,0,0,0,9.55361766666667,0,0,0,0,0,0,35.3640196666667,0.290221426657645
"AADACP1",0.189514,0,0,2,0,0,7.256178,0,0,0,0,0,0,18.972467,0.41337797679175
"AADAT",2.803781,1.273732,1.256284,72,50,52,8.58759633333333,11.191628,12.930531,10.028336,298,198,233,23.18006,0.396508376461156
"AAGAB",13.5382,8.893211,8.17232,443,347,312,55.846109,19.083715,24.987378,20.768264,460,421,405,37.2516393333333,1.48610909207394
"AAK1",8.140723,4.98695,5.632312,1061,924,810,19.618997,8.82358,11.990978,8.52265,1360,1207,1223,21.7024766666667,0.908226767622857
"AAMDC",43.508279,45.757314,41.928473,288,290,250,105.933304666667,11.840577,16.196803,14.120167,61,65,52,175.753678,0.604984891271494
"AAMP",48.914554,44.434024,32.481351,986,865,668,0.0628246666666667,50.785242,57.93435,59.245556,665,551,649,0.755233,0.605517709994438
"AANAT",0.384486,0.191591,0.957074,4,2,7,0.195217333333333,0.527125,0,0.383865,5,0,3,0.146671333333333,1.04233645560745
"AAR2",9.629091,8.985329,7.802869,494,440,373,0,9.802296,9.159607,9.720694,356,271,317,1.12813166666667,0.469895737967341
"AARD",0.509473,0.537165,0.417107,11,13,17,0.182879666666667,0.430968,0.085659,1.087127,14,2,11,4.09296266666667,0.23225767477319
"AARS1",22.672867,16.865167,16.478736,1180,877,706,15.8662736666667,28.854614,28.801712,24.508809,1167,916,940,33.34819,0.491038208029787
"AARS2",2.873718,2.217694,1.513002,289,218,155,5.08377433333333,5.386935,4.813326,4.864937,386,295,304,55.302048,0.108056004167616
"AARSD1",42.269472,45.211996,38.782538,410,412,304,4.02409666666667,74.878567,67.118873,80.955658,446,311,417,10.9592553333333,0.420101128927593
"AASDH",1.51679,1.429238,0.686802,72,62,45,5.38488366666667,5.458335,2.72435,3.019545,133,107,128,1.503734,2.55014457073582
"AASDHPPT",15.491333,11.332325,7.790263,438,436,306,121.357049,49.305585,36.802533,43.42734,1280,906,1184,323.327237666667,0.377264178859238
"AASS",10.663442,6.340196,5.078783,777,556,484,8.239964,9.710755,9.041474,7.927698,771,591,561,7.66031,1.06693224607433
"AATBC",0.16705,0.020132,0.02015,11,2,2,1.01422433333333,0.270135,0.323838,0.313939,9,8,8,1.518894,0.799646326258006
"AATF",18.011852,16.629179,17.421425,333,266,229,87.4279296666667,15.593698,15.462792,19.291505,279,197,205,19.5606413333333,4.30083518471311
"AATK",0.807211,1.215351,1.261386,81,68,60,7.41496433333333,5.175648,2.801113,2.12947,197,66,153,13.7411343333333,0.570849172326245
"ABALON",0.126228,0.106777,0.026797,5,4,1,8.11983866666667,0.221339,0.4943,0.206463,6,11,5,15.5915,0.549669328672312
"ABAT",3.072307,1.855792,1.672802,274,169,145,0.722117333333333,19.311736,14.714566,12.931931,1137,753,789,0.501137666666667,1.14720812859047
"ABCA1",1.876267,0.885241,0.804978,396,171,159,25.6683846666667,13.944394,12.167811,12.461129,2286,1610,1812,15.6002666666667,1.60650338950378
"ABCA10",0.159011,0.678309,0.402902,12,6,3,1.07182866666667,5.207727,2.056644,5.225361,145,54,111,12.1603086666667,0.157430096751024
"ABCA11P",1.985955,1.111808,0.940415,66,38,32,10.3198766666667,4.636006,3.841444,3.107302,111,76,68,17.1830653333333,0.622550513851753
"ABCA12",0,0.006599,0,0,1,0,51.448996,0.045246,0.050407,0.030483,6,6,4,227.11408,0.229924413258489
"ABCA13",0.174113,0.034944,0.058673,5,3,5,0.328574333333333,0.064986,0.353211,0.084842,4,8,5,4.59273066666667,0.237553784102602
"ABCA17P",0.02167,0.266152,1.014407,2,4,5,0.812543,1.321805,0.403783,0.722064,13,4,7,0.592088666666667,1.13846862800355
"ABCA2",24.315816,17.365586,16.698512,805,444,402,52.444161,50.768809,33.180849,36.909447,1020,646,751,53.3607073333333,0.983139543646605
"ABCA3",2.864033,2.329955,1.427765,295,201,155,1.15103666666667,21.599438,17.726576,24.450837,1930,1121,1708,14.5759906666667,0.138099509219018
"ABCA4",0.012157,0.012809,0,1,1,0,31.344221,1.22204,0.556301,1.285668,23,10,13,25.8367566666667,1.20522093640973
"ABCA5",4.156998,3.19961,2.228167,168,152,100,13.4566326666667,6.679427,7.075997,6.759744,323,230,276,208.214448333333,0.0690995903095252
"ABCA6",0.307074,0.113031,0.186072,11,7,9,214.166965,1.179883,0.523131,0.304506,17,18,12,94.9927196666667,2.24149253971722
"ABCA7",11.353326,7.85688,8.990523,435,267,221,0.009045,24.152072,12.964013,24.639795,710,377,537,0.0279926666666667,0.981568286155089
"ABCA8",3.234198,1.719767,1.436738,96,64,65,61.5321443333333,8.680828,3.745783,8.184944,258,141,202,92.3266466666667,0.670035263954982
"ABCA9",0.287344,0.110486,0.190728,11,7,5,23.8153686666667,2.080644,1.631188,5.048676,56,70,42,70.524086,0.346951216778452
"ABCA9.AS1",0,0,0.171932,0,0,1,45.8245276666667,0,0.188498,0,0,1,0,119.573126,0.388349620019528
"ABCB1",0.03239,0.180298,0.191402,3,5,3,1.137784,0.242278,0.606745,0.127132,1,5,2,1.80413866666667,0.762367434040352
"ABCB10",4.005154,2.663769,2.895076,137,128,111,1.70077,4.487977,5.694735,6.12157,229,188,232,19.2221996666667,0.133554709404429
"ABCB11",0.266721,0.007328,0.0069,3,1,1,5.94528533333333,1.580405,3.39585,0.543683,8,15,6,17.6704116666667,0.371994225801306
"ABCB4",11.373936,10.12465,10.942716,248,158,162,13.3101653333333,0.391427,0.466284,0.700631,11,23,7,0.284030333333333,11.1447252933537
"ABCB5",0.238192,0,0.073851,1,0,5,20.783434,0.218901,0.076822,0,4,2,0,124.477910666667,0.173603735384692
"ABCB6",8.326215,7.061364,8.704006,123,101,86,134.693941333333,17.599676,11.88309,16.193697,250,162,216,60.1961696666667,2.21736004185316
"ABCB7",13.831658,11.114692,9.446497,350,248,280,0.630597333333333,5.349743,5.631146,5.087587,135,114,121,0.477899333333333,1.10332097495138
"ABCB8",11.02178,6.985446,5.674411,471,342,268,0.0341556666666667,25.451568,21.496367,20.678115,717,431,556,0.047523,0.987239102785014
"ABCB9",4.324097,2.790693,3.029996,187,127,124,0.289378,20.038858,11.346602,23.406662,473,230,418,1.25770333333333,0.571101606204535
"ABCC1",4.111846,2.414281,2.166516,483,341,276,0.104014333333333,8.866004,11.470193,9.218329,759,724,593,0.0985743333333333,1.00495187247229
"ABCC10",14.897475,9.350053,15.513101,250,167,160,0,67.229562,58.653056,74.269479,908,586,738,0.04034,0.961224215160428
"ABCC11",0.152197,0,0.378463,2,0,3,8.845367,0.446327,0.700426,0.435039,5,6,8,34.3256816666667,0.278702817199706
"ABCC12",0.174113,0,0.046512,1,0,1,13.957216,0,0,0,0,0,0,18.1321966666667,0.781782471746144
"ABCC13",0,0.021593,0,0,1,0,24.316599,0,0.032583,0.030135,0,1,1,49.239418,0.503919034253144
"ABCC2",0.206724,0.320286,0.182112,3,4,1,0.0342316666666667,1.027977,1.07924,0.751123,20,15,18,0.845947666666667,0.560271390864638
"ABCC3",0.348225,0.325404,0.504307,2,3,3,0,0.387771,0.982346,0.063447,3,5,1,0.884872666666667,0.530539817190127
"ABCC4",0.874694,0.850797,0.835235,82,50,37,19.8153023333333,3.039078,1.546278,3.664319,130,109,125,9.677439,1.94946581603822
"ABCC5",26.815209,20.139758,16.661965,1688,1220,1081,12.58667,47.052923,36.864191,46.334162,2382,1605,1925,20.949055,0.619009337759644
"ABCC5.AS1",0.393644,0.205992,0,2,1,0,0.0971743333333333,0,0,0,0,0,0,0,1.09717433333333
"ABCC6",2.370812,3.482122,1.641663,98,80,51,8.88939033333333,0.700877,0.769524,0.372597,31,27,18,24.1202313333333,0.393682295441706
"ABCC6P1",1.554418,1.274452,1.425343,38,40,29,0.576252,0.068151,0,0.668788,3,0,10,2.42895733333333,0.459688426180475
"ABCC6P2",2.969539,3.945743,2.768744,30,40,28,401.224228,0.199733,0,0.688996,2,0,5,137.036246,2.91390297588939
"ABCC8",0.18336,0.761856,0.182109,9,6,1,0.593260666666667,29.752164,6.667184,22.439929,265,116,210,1.981242,0.534428492107205
"ABCC9",5.937915,4.245439,2.802442,581,434,370,0,0.152849,0.551804,0.203548,19,57,23,0.021795,0.978669889752837
"ABCD1",9.855316,6.357848,6.647314,690,437,443,14.570826,7.294446,8.044954,7.763412,256,196,196,11.7826246666667,1.21812432157256
"ABCD2",0.210704,0.12733,0.165506,19,13,17,1.20856033333333,0.010725,0,0.024448,1,0,2,7.79499266666667,0.251115653763289
"ABCD3",10.323186,7.852999,5.423063,539,489,336,0,11.69952,13.13055,9.707609,544,496,467,0.182089333333333,0.845959752618809
"ABCD4",36.841234,32.142947,25.91358,577,476,396,0.035787,70.916088,64.134004,67.343217,895,680,780,6.02768366666667,0.147386685162408
"ABCE1",25.279482,10.850918,4.462396,450,444,265,18.7739536666667,31.583438,49.79339,37.572001,980,1003,995,51.5015293333333,0.376635765048317
"ABCF1",30.647549,12.146954,19.277681,895,681,599,8.455803,79.412855,49.138765,60.340286,982,733,819,16.7136716666667,0.533813834756449
"ABCF2",6.164294,6.22041,10.611419,480,500,342,1.52677933333333,41.126604,23.175533,34.428163,544,392,458,2.61348133333333,0.699264531969355
"ABCF2.1",4.069336,1.886728,2.946105,184,81,125,4.60622233333333,6.221399,6.723693,6.848703,199,174,194,1.90225933333333,1.93167518455162
"ABCF3",42.225453,35.384299,25.704264,787,609,496,90.6919753333333,48.291703,49.874702,42.97229,634,530,501,89.6533366666667,1.01145725799907
"ABCG1",4.885127,3.443918,3.219942,306,199,192,16.9057156666667,4.150456,4.415328,3.848561,183,146,140,70.685971,0.24977991393416
"ABCG2",0.576877,0.198017,0.199392,10,14,4,7.015284,2.961168,3.343736,4.879457,130,124,137,19.632322,0.388481916868106
"ABCG4",0.753032,0.371896,0.214828,40,26,15,63.5423413333333,3.253555,1.724564,3.36298,122,50,91,59.5710193333333,1.06556472127611
"ABCG5",0,0.01593,0,0,1,0,10.5729776666667,0,0.053623,0,0,2,0,13.9772976666667,0.772701319305643
"ABCG8",0.035989,0.06211,0.039485,4,5,3,7.553478,0.166037,0.120609,0.140823,13,5,8,30.739424,0.269490649861825
"ABHD1",0.548215,0.837679,0.573511,17,19,15,12.967623,0.539133,1.449996,2.556852,16,11,17,46.7447953333333,0.29254755209409
"ABHD10",4.682414,3.63352,2.996599,164,141,99,6.34839,17.896254,16.509149,18.709231,474,316,439,11.2268,0.601006804724049
"ABHD11",16.413349,19.071503,13.597818,302,309,281,0,8.315591,5.793527,10.881287,88,44,86,0,1
"ABHD12",31.484105,29.04836,22.06709,638,567,468,0.107916333333333,34.456652,32.027544,41.779576,424,313,435,0.0118706666666667,1.09491891585618
"ABHD12B",0.21345,0.366161,0.189974,7,7,3,6.00339566666667,3.893477,1.544872,5.021108,34,27,39,8.678612,0.723595043035785
"ABHD13",1.172633,1.326137,0.716184,82,109,59,8.10472266666667,3.072772,3.602061,3.056116,238,226,207,17.24049,0.499149017743858
"ABHD14A",8.546513,7.684425,5.406513,139,127,86,2.20865933333333,19.98651,11.809536,18.625674,220,94,202,5.444609,0.497882700615869
"ABHD14A.ACY1",2.555792,7.592045,3.544598,22,61,25,10.8137673333333,5.286409,7.547299,9.72672,36,39,52,0.519447333333333,7.77504232898716
"ABHD14B",8.124944,8.387924,5.480449,292,279,180,11.920216,6.270991,5.484107,6.977415,142,105,131,19.3044256666667,0.636325115130483
"ABHD15",1.644095,1.578787,1.43262,123,111,101,57.0980066666667,2.267084,2.653537,2.449372,118,109,110,121.178592,0.475517074764347
"ABHD16A",19.452254,20.109003,15.952975,486,433,358,0.04322,43.283793,44.460669,44.105033,632,478,592,14.1200143333333,0.0689959663398026
"ABHD16B",0,0,0,0,0,0,8.18705733333333,0,0,0,0,0,0,15.0845016666667,0.571174508463168
"ABHD17A",21.413135,20.573032,17.57639,715,597,525,4.32983033333333,22.251861,16.580488,18.393927,855,595,608,20.7973786666667,0.24451703183392
"ABHD17B",2.046774,1.634046,1.489593,103,84,78,3.44931766666667,6.982168,5.876005,6.383279,292,190,217,32.975061,0.130958342257772
"ABHD17C",1.848624,2.204347,1.707873,50,65,54,1.76255833333333,5.189827,4.249834,4.998582,101,79,94,7.683484,0.318139393512251
"ABHD18",8.712244,6.827573,4.421348,367,326,288,0.113742,3.285167,2.22549,2.818459,157,105,137,0.378546333333333,0.807910458335459
"ABHD2",3.332886,2.82704,2.375777,614,430,406,38.1171863333333,43.040132,37.278752,34.676228,4800,3122,3837,25.8453793333333,1.4571292082568
"ABHD3",2.331696,3.741765,1.156728,72,76,34,32.086452,3.984849,5.25904,2.915345,43,53,50,188.800944,0.174321851634205
"ABHD4",15.0237,23.747182,16.357654,409,343,303,4.40507566666667,36.086594,26.455903,21.679738,296,237,316,4.14297433333333,1.05096298685268
"ABHD5",7.210165,4.691474,4.783658,177,215,128,10.395547,2.814933,3.503613,4.082079,117,93,117,67.8293946666667,0.16556221444613
"ABHD6",2.357982,2.891814,1.502824,64,48,45,0.079272,11.831495,8.409419,12.306665,138,99,156,0.832805333333333,0.588863410844141
"ABHD8",4.748047,3.701303,3.322699,184,148,137,0.0717826666666667,3.366122,1.881682,2.264601,60,36,33,0.113022333333333,0.962948033088285
"ABI1",10.258949,6.855637,7.216852,359,321,284,27.1435236666667,12.69711,14.372399,14.823763,447,426,457,37.131495,0.738065047453992
"ABI2",21.727203,10.892244,9.493522,933,760,670,22.248018,23.445738,22.714472,18.676018,1466,1126,1250,19.2788783333333,1.1464153794831
"ABI3",0.029558,0.160231,0.222847,1,5,7,0.849044666666667,0,0.122185,0,0,1,0,33.885931,0.0530025891144102
"ABI3BP",0.659504,0.308934,0,5,4,0,4.14641166666667,2.697237,9.393819,2.628398,50,93,34,14.584957,0.330216609944234
"ABITRAM",13.449005,10.517363,5.073883,184,198,136,15.4211246666667,13.474933,12.693075,15.766697,185,143,177,22.294948,0.70492214306152
"ABL1",7.760499,5.097737,3.86969,787,524,458,6.07615,20.002516,27.75208,18.375548,1348,1318,1125,0.541266,4.5911283321633
"ABL2",1.446018,0.98648,1.194757,315,194,136,0,7.647104,11.288064,8.405532,1295,1485,1218,0,1
"ABLIM1",59.262507,38.678189,34.133185,7498,5439,4652,1.242575,13.234586,13.893529,13.950169,1252,905,1223,3.43806866666667,0.505304259225071
"ABLIM2",6.864886,5.835002,6.004859,163,143,105,0.375775,2.618199,1.169305,2.227903,73,27,55,19.619759,0.0667211968869277
"ABLIM3",1.439051,0.939932,0.795889,79,55,65,0,39.693627,31.45544,35.010631,1694,1071,1302,0,1
"ABO",0.108377,0.428422,0.100191,15,12,11,32.133593,0.081458,0.061784,0.056364,8,5,5,418.292288333333,0.0790226625242845
"ABR",137.5781,52.298863,84.704982,1454,973,842,58.4552836666667,198.031654,211.438013,200.361185,1298,1199,1252,521.419259666667,0.113807602929116
"ABRA",1.22541,0.904378,0.700678,55,43,33,0.143714666666667,0,0,0,0,0,0,10.242749,0.101729093717797
"ABRACL",1.304502,3.067132,2.188819,11,29,19,2.930831,16.160065,20.958007,19.636272,132,135,145,14.463645,0.254198217819925
"ABRAXAS1",1.870927,1.13124,1.242214,62,58,36,0.970076,3.82892,6.035163,5.406464,107,132,131,1.09453433333333,0.940579473273534
"ABRAXAS2",2.908321,2.115077,1.946772,158,120,108,19.409946,5.545332,5.945653,7.320012,243,210,286,24.0521246666667,0.81469920302435
"ABT1",3.32542,2.791458,2.174212,199,168,128,1.20228266666667,4.559478,4.690372,4.720066,202,168,186,0.332005333333333,1.65335874531033
"ABTB1",4.435767,2.908722,2.928956,118,103,97,117.910354,6.145615,3.499741,5.352266,109,78,105,35.8245523333333,3.22910521555379
"ABTB2",6.950399,6.045716,4.152189,790,633,438,0.0212173333333333,1.812701,1.607969,1.602889,139,98,106,0.0702403333333333,0.954194400572333
"ACAA1",73.219918,69.137641,52.278734,1732,1479,1295,0.441026,38.003127,38.829187,39.570663,550,465,521,2.87314266666667,0.372056008264779
"ACAA2",33.764452,29.686524,22.134757,1017,904,664,19.4534313333333,13.362606,16.013843,12.490575,285,274,234,37.1715246666667,0.535829561746438
"ACACA",7.1497,4.870629,6.747958,693,417,430,0.974021333333333,42.363631,48.905645,32.241697,1667,1457,1400,0.334099666666667,1.47966556221812
"ACACB",26.02878,14.841445,7.767875,1315,753,655,1.045542,3.811888,6.196471,2.56891,69,75,51,1.88246233333333,0.70965090379325
"ACAD10",20.02537,13.653281,10.050915,659,558,399,14.3326123333333,21.73928,19.257871,23.277153,392,285,343,11.2976903333333,1.24678796731234
"ACAD11",6.08628,6.516346,6.250521,364,279,315,9.801573,13.192374,11.007639,9.386726,340,270,275,16.9703503333333,0.601077485949959
"ACAD8",17.886304,13.41606,11.385466,633,534,433,0.348885333333333,26.483493,20.192299,24.101738,534,375,468,1.015644,0.66920812074619
"ACAD9",9.950716,8.300763,6.289277,369,346,279,0.00452933333333333,19.252462,17.316786,16.985834,406,304,324,0.0922513333333333,0.919686982910527
"ACADL",0.430319,0.363646,0.199827,20,21,12,19.283423,0.207989,0.400506,0.246715,5,7,5,19.901956,0.970407889098992
"ACADM",55.824798,42.128201,34.763102,1043,919,796,0.271208333333333,27.650351,25.508799,28.982212,462,377,403,0,1.27120833333333
"ACADS",15.466497,14.289382,12.849752,587,501,461,11.872711,4.599063,3.579749,4.281652,112,71,98,30.3830136666667,0.410180842946664
"ACADSB",6.230585,3.533107,3.515221,558,395,389,0.199794666666667,2.345294,3.480124,2.567987,193,175,184,1.14748833333333,0.558696710032573
"ACADVL",539.418883,513.721339,438.661315,4271,3691,3049,17.5133453333333,487.069067,525.545782,529.790065,2890,2306,2580,17.40622,1.00582006155166
"ACAN",0,0.022851,0,0,2,0,3.04950066666667,13.521626,21.358045,13.180758,1180,1435,924,7.561401,0.472995093521103
"ACAP1",14.853065,11.82895,6.245988,42,44,28,0.534163333333333,8.203837,7.799579,5.089685,31,27,34,0.385942333333333,1.10694600809509
"ACAP2",2.720509,0.953916,0.841565,159,108,106,26.4081756666667,4.317336,5.926497,4.813944,442,447,434,44.5875936666667,0.60122005708556
"ACAP3",32.135196,15.329502,11.519368,755,449,440,0.030983,268.243739,185.674788,241.306196,3432,1616,2456,0.0479163333333333,0.983840949134298
"ACAT1",106.632562,103.500411,97.170077,946,923,785,5.969076,56.259875,44.471839,63.751794,369,255,375,3.553206,1.53058658009324
"ACAT2",7.765272,8.394048,3.664681,210,229,100,22.2122423333333,25.297509,32.783013,27.509826,501,530,488,22.0492936666667,1.0070695731081
"ACBD3",26.857783,13.437707,11.62415,382,312,276,94.706676,54.125804,44.820301,37.958539,793,793,708,87.7579663333333,1.07828829291301
"ACBD3.AS1",0.324008,0.319377,0,2,2,0,19.6104036666667,0,1.337289,0,0,5,0,62.280542,0.325698911786607
"ACBD4",4.538466,2.387986,1.850638,119,81,68,2.57489266666667,3.937219,4.63266,2.073499,64,68,45,1.06667933333333,1.72977617233959
"ACBD5",7.618894,5.044549,4.657079,439,324,287,24.477655,7.912379,6.095147,7.392269,308,226,288,57.1031753333333,0.438489890678723
"ACBD6",23.154423,24.794667,23.033485,532,463,433,0.176179,24.856558,25.060157,20.197148,434,305,343,0.174427666666667,1.0014912228169
"ACBD7",0.572654,0.568327,0.510339,37,38,33,6.53185033333333,0.811197,0.918754,0.914356,39,38,35,11.1193056666667,0.621475399704554
"ACCS",8.564602,4.575821,7.352098,163,107,122,12.768286,23.189882,13.116107,20.465664,320,206,258,6.32711866666667,1.87908598541418
"ACCSL",0,0,0,0,0,0,0.00512366666666667,0,0,0,0,0,0,0,1.00512366666667
"ACD",6.047245,4.588355,4.00999,85,83,68,8.21773166666667,8.520872,12.288536,11.733328,141,109,166,13.9484126666667,0.61663615209267
"ACE",1.157448,0.481306,0.687591,31,27,17,3.13386766666667,1.303784,1.277742,1.252099,41,16,21,4.61045833333333,0.736814609620426
"ACE2",0.292,0.608641,1.089188,17,9,22,0.00736633333333333,0,0.275135,0.093605,0,1,2,0.032435,0.975718891100489
"ACER1",0,0,0,0,0,0,0,0.050862,0,0,1,0,0,0,1
"ACER2",0.086941,0.071304,0.036141,5,4,2,18.880558,0.79589,1.105758,0.950331,33,37,35,42.3160396666667,0.458965273672026
"ACER3",5.889447,3.785697,2.608854,373,369,276,0.568908666666667,2.862275,3.818158,3.438456,324,261,332,0.936543333333333,0.810159338890773
"ACHE",0.074404,0.220625,0.154447,5,9,7,25.9771216666667,23.639298,15.646921,24.253111,666,324,578,18.5912026666667,1.37700181686991
"ACIN1",48.187336,30.018075,26.134553,1665,1167,1053,0,177.532807,182.921232,142.933279,3282,2682,2593,5.776554,0.147567628030412
"ACKR1",0,0,0,0,0,0,34.58212,7.550579,5.560224,10.119254,197,125,214,93.5780606666667,0.376219598384519
"ACKR2",2.083034,1.740608,0.931254,43,37,20,0.056822,0.359601,0.085355,0.268785,6,3,9,0.0201403333333333,1.03595747121066
"ACKR3",4.479841,2.665596,2.943872,125,78,87,0.0230306666666667,0.58853,1.270426,0.550161,17,15,14,5.565056,0.155829693861967
"ACKR4",0,0,0,0,0,0,27.5920056666667,0,0,0,0,0,0,83.4959306666667,0.338383226755157
"ACLY",20.336467,13.559479,13.590368,1109,844,693,0.014085,146.457605,153.677986,123.036365,4402,3834,3894,0,1.014085
"ACMSD",0.044606,0.168465,0.027939,1,1,1,2.473935,0,0.090128,0.068505,0,2,1,111.293037,0.0309363349038285
"ACO1",8.895559,7.661565,6.460032,708,594,504,23.015551,7.828545,10.438737,8.19943,589,574,554,8.036804,2.65752704163994
"ACO2",146.738618,107.939366,96.620982,7447,5908,4897,0.216119666666667,44.21915,38.397711,34.421423,1102,814,929,1.38018433333333,0.51093507743728
"ACOD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ACOT1",6.652744,7.561148,4.666439,192,191,127,0.0160763333333333,3.574162,4.075885,3.688916,68,59,57,0.555757666666667,0.653107071302664
"ACOT11",20.174206,15.320592,11.474642,1325,899,708,0.0559843333333333,0.37798,0.458171,0.465699,35,34,33,0.009225,1.0463319213588
"ACOT12",0.102651,0,0,1,0,0,10.6504483333333,0.838379,0.711122,0.64397,19,13,12,28.4359543333333,0.395789727127696
"ACOT13",28.624228,30.396445,27.420034,613,576,520,0.006508,12.191412,9.46509,13.396844,229,175,231,0.128003666666667,0.892291425766642
"ACOT2",88.207517,93.696934,77.668179,1144,999,964,0.306412,21.539035,15.077116,15.11408,178,108,135,0.579736666666667,0.82698086811937
"ACOT4",0.124947,0.174781,0.261237,6,8,12,3.80938333333333,0.146906,0.447474,0.101508,5,12,3,8.40042833333333,0.511613211951157
"ACOT6",0.188194,0,0.040322,5,0,1,12.6457773333333,0,0.122286,0,0,1,0,60.099307,0.223337677681571
"ACOT7",18.509861,18.078012,11.411107,521,479,300,33.1908626666667,38.203304,38.030315,39.780133,695,547,661,105.878071333333,0.319905311165576
"ACOT8",14.918157,12.104523,11.463739,289,242,204,1.29594133333333,9.983366,11.016138,11.40912,177,144,156,4.974236,0.384307103591712
"ACOT9",29.935853,23.797934,22.855973,918,759,709,2.03923233333333,23.22135,28.851472,24.154281,541,489,487,3.387781,0.692658164419175
"ACOX1",26.743277,25.166,14.165662,569,533,438,18.3481623333333,33.537489,28.271905,20.230548,771,581,655,18.5512403333333,0.989613037508737
"ACOX2",17.904677,19.718667,13.035042,296,273,205,38.0836203333333,5.459635,7.803665,5.815802,51,58,35,72.0220853333333,0.535230131472188
"ACOX3",11.241262,6.789727,5.371668,239,160,120,2.683347,8.870189,7.235071,11.373044,158,135,150,15.2750176666667,0.22631907844524
"ACOXL",0.725081,0.07677,0.356086,14,3,7,17.4300403333333,0.239138,0.162594,0.206492,7,4,5,6.31179633333333,2.52058994713976
"ACOXL.AS1",0.208242,0.234062,0.294801,10,13,16,0.110388,0.293391,0.058293,0.342878,10,2,13,0,1.110388
"ACP1",30.223411,32.418039,30.824921,582,628,585,19.0402076666667,58.248272,76.17287,65.299677,903,859,858,32.6087256666667,0.596279902589186
"ACP2",43.214406,45.839884,42.704658,569,466,395,0,169.629988,98.736759,157.367625,899,467,753,0.231051666666667,0.812313590954076
"ACP4",0,0.080253,0,0,2,0,3.587013,0.556063,0.142491,0.132265,10,2,2,5.758203,0.678732645349659
"ACP5",0.224677,1.062225,0,1,4,0,0.19397,7.63295,1.018418,10.927006,32,7,35,0.237713666666667,0.964657684693363
"ACP6",5.616296,6.558338,5.860511,182,148,113,0.334708,24.331622,19.56541,23.987726,367,301,340,0.0874,1.22743056832812
"ACP7",0.015824,0.016768,0.030042,1,1,2,93.1555226666667,0.259018,0.140654,0.195719,11,5,8,85.97565,1.08255037664756
"ACPP",0.862381,0.252187,0.58269,9,11,11,6.49879633333333,0,0.025974,0.047048,0,1,2,5.63797466666667,1.12968137269179
"ACR",0,0.037509,0.037908,0,1,1,2.11296733333333,0.050784,0.062833,0,1,1,0,6.30690966666667,0.426030630641892
