"Hs_symbol","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Hs_Avg_TPM","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Hs_Avg__TPM","FoldChange"
"NPIPB6",0.300978,0.273516,0.730875,11,7,21,130.410121,0.535597,0.923521,0.582088,16,32,25,632.454514333333,0.207449971586831
"NPIPB8",0,0,0,0,0,0,1.20646833333333,2.747436,0.839476,2.283396,12,5,14,9.64468166666667,0.207283637259232
"NPIPB9",0.501305,0.597637,0,20,23,0,59.275628,0.281712,0.83082,0.842424,9,35,39,161.922525666667,0.369964974170126
"NPL",1.703476,3.429804,1.114395,12,20,8,7.53967333333333,2.485398,1.400006,1.817824,24,30,33,16.810578,0.479471993179184
"NPLOC4",202.524118,128.453741,114.090743,1752,1273,1194,0,253.96745,207.44556,209.110358,1507,1714,1711,0,1
"NPM1",603.830017,468.552428,468.83482,2108,2263,1624,0.00599466666666667,918.414559,931.567921,845.443598,2842,3935,3817,0.0396453333333333,0.967632551613755
"NPM2",0,0,0,0,0,0,0.014284,149.494936,144.597577,126.156211,203,214,269,0.0536973333333333,0.962595204442009
"NPM3",23.661474,21.456321,10.811916,127,107,51,0.196319333333333,15.750427,25.057052,19.0797,61,115,94,1.142142,0.558468735188112
"NPNT",46.518209,30.827066,37.032177,1703,1332,1261,0,3.266666,0.523467,0.22543,70,10,5,0,1
"NPPA",1834.869426,1849.829849,1606.776562,26564,25305,21798,0.0751106666666667,0.119737,0.069747,0,1,1,0,0.141783,0.941606826048966
"NPPB",495.827647,480.517811,426.944118,5508,5016,4445,298.631537666667,9.20986,0.091364,0.603025,73,1,7,450.119795,0.664195056363392
"NPPC",0,0,0,0,0,0,0.581155666666667,0.512213,0.679427,1.119336,6,11,15,5.62923233333333,0.238512634218029
"NPR1",0.171203,0.059924,0.292521,10,5,4,0.0207253333333333,0,0.011229,0,0,1,0,0,1.02072533333333
"NPR2",8.728562,10.736474,7.537413,214,181,130,0.757570666666667,22.517347,16.82871,17.408372,480,558,536,6.49452766666667,0.234513867295973
"NPR3",0.656906,0.235311,0.610334,38,16,23,4.041803,0.268412,0.056485,0.178486,28,8,11,7.62684366666667,0.584431942296702
"NPRL2",16.466549,12.133493,11.988358,207,164,139,0,19.572365,26.673954,21.561387,251,382,395,0,1
"NPRL3",8.456506,7.110117,7.022663,340,331,308,6.528863,12.602502,13.320094,12.85151,385,561,598,8.10675866666667,0.826733558621443
"NPS",0,0,0,0,0,0,0.00837466666666667,0.059009,0,0.04113,1,0,1,16.5943973333333,0.0573122595541399
"NPSR1",0,0,0,0,0,0,3.042685,0,0,0.035863,0,0,1,6.35765966666667,0.54945256822833
"NPSR1.AS1",0.013314,0,0.012077,1,0,1,0,0.0392,0.03856,0.165994,3,4,2,0,1
"NPTN",105.796108,109.153082,76.742357,1935,1697,1387,15.7354943333333,148.356397,152.824666,169.829036,2407,3244,3679,19.8607503333333,0.802247956852814
"NPTN.IT1",4.86623,1.764402,0.828145,218,78,36,3.57957433333333,0.955615,2.490039,1.16135,33,117,58,5.62720933333333,0.691026056819894
"NPTX1",0.178233,0,0.036067,5,0,3,47.9205383333333,20.945224,13.279087,26.101597,1311,998,2457,123.870185666667,0.391771166769334
"NPTX2",0,0.038529,0.01898,0,2,1,4.73471133333333,16.424438,38.259219,68.018802,631,2002,4026,9.562912,0.542910073787733
"NPTXR",7.962779,6.359003,6.300634,1026,757,755,5.295159,29.164387,17.147006,19.284337,2639,2134,2651,17.177028,0.346324987781281
"NPVF",0,0,0,0,0,0,4.198241,0,0,0,0,0,0,2.590506,1.44777393492728
"NPW",0.176931,0.415851,1.175526,2,2,5,0.0345646666666667,2.342455,0.266146,3.317175,12,2,39,0,1.03456466666667
"NPY",0.138237,0.146084,0,1,1,0,0.0973976666666667,0,0,0,0,0,0,0.597497,0.686948186235509
"NPY1R",0.153561,0.13784,0.364223,7,3,2,0.891556666666667,10.183956,12.311363,6.691642,355,511,302,0.286700666666667,1.47008291490743
"NPY2R",0,0,0,0,0,0,0.574128,0.057687,0,0,3,0,0,21.6007656666667,0.0696493217626536
"NPY4R",0.272665,0.17248,0.056246,10,6,2,0.00980533333333333,0.004584,0.075869,0,0,3,0,0.00994033333333333,0.999866328736912
"NPY4R2",0,0,0.00222,0,0,0,0.0402536666666667,0.398248,0.138924,0.177833,12,5,7,0.0642963333333333,0.977409800340695
"NPY5R",0,0,0,0,0,0,1.89994766666667,1.868156,4.296357,2.721023,45,139,99,4.972094,0.485583057913467
"NPY6R",14.830922,10.571306,8.385776,725,570,479,0,0.10662,0,0.04683,5,0,3,0.00922133333333333,0.990862922702123
"NQO1",7.573341,7.436287,5.917092,139,141,126,6.678235,2.518516,2.163205,1.805967,41,52,45,12.4925213333333,0.569073400760975
"NQO2",30.90179,30.092196,25.713443,541,474,425,0.397076,19.22158,18.623867,25.80261,305,397,499,37.9776686666667,0.0358429851705001
"NR0B1",0,0.029509,0,0,1,0,0.456059,0.076638,0.055204,0.202223,2,2,2,3.27109466666667,0.34091002743715
"NR0B2",0.269883,0.190602,0.2875,6,4,6,0.157262666666667,0,0,0.042989,0,0,1,0.944627666666667,0.595107581005653
"NR1D1",2.49896,2.899252,2.576706,143,158,139,0.131741666666667,0.821767,0.971483,0.819326,34,56,50,73.1335663333333,0.0152662514788229
"NR1D2",3.466133,2.635421,1.374094,205,185,127,4.450696,6.881832,2.831072,4.245615,279,293,404,10.0839773333333,0.491763546250486
"NR1H2",10.843043,8.724749,6.707418,392,305,248,29.582509,24.563366,14.219902,12.210109,162,204,275,27.8633456666667,1.05956216417831
"NR1H3",3.525124,4.249537,3.092761,36,43,32,0.126231,10.338925,7.704654,8.618713,74,82,101,0.111834,1.01294887546162
"NR1H4",0.036502,0,0,1,0,0,3.05713,0.151517,0.154034,0.072673,2,2,1,5.72752966666667,0.603063858655597
"NR1I2",0.034624,0.018098,0,2,1,0,0.601699666666667,0.069546,0.027234,0.154225,3,2,8,17.3299796666667,0.0873814208086319
"NR1I3",0.593297,0.524705,0.761242,9,9,7,3.17453866666667,2.358256,2.858474,2.813993,34,55,54,6.72059533333333,0.540701654008892
"NR2C1",21.751435,18.879023,10.736314,249,230,168,0.157347666666667,39.185304,38.682194,31.664484,410,580,484,0.482255666666667,0.780801647579016
"NR2C2",4.590059,3.26989,2.308366,548,414,285,3.10781566666667,9.953794,9.398564,8.248712,1068,1542,1334,10.4286486666667,0.35943144167584
"NR2C2AP",2.972675,2.896638,2.114457,49,46,43,1.227099,2.899987,3.988687,1.982148,34,54,42,21.622435,0.0984464758104068
"NR2E1",0,0,0,0,0,0,1.32811833333333,0.024726,0.054381,0.034211,1,3,2,6.472243,0.311568873406999
"NR2E3",0.168901,0.074883,0.128436,7,3,5,2.12842566666667,0.642122,0.120935,0.113366,8,5,5,3.99003833333333,0.626934195228293
"NR2F1",0.077063,0.578006,0.30714,4,12,3,2.54780333333333,13.413808,6.764856,7.069992,416,201,269,6.94781466666667,0.446387275261074
"NR2F1.AS1",0.7073,0.679954,0.396007,41,33,18,2.06416766666667,9.373692,5.541536,7.09055,202,127,190,4.32048266666667,0.575919114606645
"NR2F2",1.233868,1.303852,0.519404,24,21,25,4.213118,28.569994,6.274532,22.592974,768,234,834,18.6346396666667,0.265506171159851
"NR2F2.AS1",0.242813,0,0,4,0,0,6.72001266666667,1.117373,0.021759,0.358848,9,2,8,39.1040013333333,0.192499810742077
"NR2F6",14.388234,16.612146,13.876822,629,593,543,106.479460333333,11.378514,12.63059,15.297858,279,438,732,659.359168,0.162759094658823
"NR3C1",2.808266,1.963875,1.483146,303,210,175,0.0699873333333333,3.180032,2.190671,2.164802,320,261,266,0,1.06998733333333
"NR3C2",2.736041,0.591023,0.608361,105,69,71,0.0162543333333333,0.064224,0.015838,0,6,1,0,1.50403766666667,0.405846264559652
"NR4A1",31.028347,21.229456,16.369159,1167,752,529,0.0328176666666667,7.144569,11.684554,12.246059,165,364,368,0.509692666666667,0.684124450936813
"NR4A1AS",2.304948,3.031866,1.849766,16,20,12,5.041976,0,0.142039,0.225364,0,1,2,1.009664,3.00646078150377
"NR4A2",0.440888,0.257861,0.455279,25,16,24,0.01956,0.720439,0.110346,0.199881,23,5,6,1.29842766666667,0.443590205072076
"NR4A3",0.26195,0.134646,0.115503,24,13,12,0.780749333333333,0.341907,0.27664,0.194439,27,27,23,5.62355766666667,0.268850883913192
"NR5A1",0,0,0,0,0,0,1.61366533333333,0.175694,0.062461,0.071567,3,4,5,9.53975633333333,0.247981570984453
"NR5A2",0.260134,0.077348,0.160222,12,3,9,72.8850743333333,0.062893,0.095756,0.028433,2,6,3,112.229097,0.652527276918347
"NR6A1",0.832634,0.550426,0.417293,117,83,62,0,2.637478,4.33924,3.431026,301,683,511,0,1
"NRAP",6.151983,3.68123,3.406208,743,425,390,0.077305,0,0,0,0,0,0,0.951541333333333,0.552027764720672
"NRARP",0.334552,0.453514,0.503724,17,21,24,3.26051433333333,0.519116,0.395167,0.43043,18,19,24,10.819313,0.360470556396411
"NRAS",5.11975,3.8361,4.101171,369,305,317,0,14.337519,10.99688,9.967701,991,1035,976,0,1
"NRAV",2.994147,2.887433,2.578486,146,96,92,17.4489836666667,5.915626,5.991283,5.093672,214,321,291,8.40573533333333,1.96146106740689
"NRBF2",4.811729,4.42126,2.901706,155,145,94,0,9.669212,9.731089,8.550483,257,352,326,0.0484393333333333,0.953798630217994
"NRBP1",28.27941,24.479968,18.841813,1211,1012,817,0.235813,55.546454,57.740193,45.565659,1618,2181,1982,0.284176,0.962339274367377
"NRBP2",15.524511,12.515582,10.835973,974,801,719,4.26239733333333,31.845094,28.386384,24.868395,1301,1646,1757,4.10812666666667,1.0302010260774
"NRCAM",0.381317,0.57647,0.407606,12,13,10,1.65013866666667,82.153177,139.642363,72.632969,3143,7449,4252,4.399653,0.490797958066318
"NRDC",70.129542,68.445503,54.464096,2017,1603,1206,3.64508033333333,91.405826,83.896221,79.107468,2676,4131,3471,8.990405,0.464954156846828
