"Hs_symbol","Brain_2_Hippocampus","dHs_Avg_TPM","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","FoldChange"
"ABCC5",24.9566,24.9566,26.815209,20.139758,16.661965,21.205644,1.16891903697997
"ABCC6",0.18671,0.18671,2.370812,3.482122,1.641663,2.498199,0.339234560412372
"ABCC6P1",0.4564,0.4564,1.554418,1.274452,1.425343,1.418071,0.602298278255684
"ABCC6P2",0.58087,0.58087,2.969539,3.945743,2.768744,3.22800866666667,0.373904153145066
"ABCC8",42.46564,42.46564,0.18336,0.761856,0.182109,0.375775,31.5935672620886
"ABCC9",2.36497,2.36497,5.937915,4.245439,2.802442,4.32859866666667,0.631492482451296
"ABCD1",4.41875,4.41875,9.855316,6.357848,6.647314,7.62015933333333,0.628613670636714
"ABCD2",0.6846,0.6846,0.210704,0.12733,0.165506,0.167846666666667,1.44248388772499
"ABCD3",18.04842,18.04842,10.323186,7.852999,5.423063,7.866416,2.14837878123472
"ABCD4",110.40653,110.40653,36.841234,32.142947,25.91358,31.632587,3.41396561663959
"ABCE1",12.79985,12.79985,25.279482,10.850918,4.462396,13.530932,0.949687879621211
"ABCF1",50.45259,50.45259,30.647549,12.146954,19.277681,20.690728,2.37210065056369
"ABCF2",18.83674,18.83674,6.164294,6.22041,10.611419,7.66537433333333,2.2891959697221
"ABCF3",38.0054,38.0054,42.225453,35.384299,25.704264,34.4380053333333,1.10066578615561
"ABCG1",17.71649,17.71649,4.885127,3.443918,3.219942,3.84966233333333,3.85933879795205
"ABCG2",17.34308,17.34308,0.576877,0.198017,0.199392,0.324762,13.8463210750308
"ABCG4",5.18633,5.18633,0.753032,0.371896,0.214828,0.446585333333333,4.27650540721644
"ABCG5",0.10373,0.10373,0,0.01593,0,0.00531,1.09790015020243
"ABCG8",0.18671,0.18671,0.035989,0.06211,0.039485,0.0458613333333333,1.13467241036415
"ABHD1",7.0949,7.0949,0.548215,0.837679,0.573511,0.653135,4.89669627707356
"ABHD10",14.95737,14.95737,4.682414,3.63352,2.996599,3.77084433333333,3.34476853258609
"ABHD11",16.18134,16.18134,16.413349,19.071503,13.597818,16.36089,0.989657788281591
