"Hs_symbol","Brain_2_Hippocampus","dHs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","FoldChange"
"ABCD4",110.40653,110.40653,63.780985,46.864754,55.905635,55.5171246666667,1.97119953743342
"ABCE1",12.79985,12.79985,47.892143,47.474433,56.270122,50.545566,0.2677213787894
"ABCF1",50.45259,50.45259,48.558347,63.90383,48.560484,53.6742203333333,0.941075879752981
"ABCF2",18.83674,18.83674,15.544121,48.430262,33.217097,32.39716,0.593964876055329
"ABCF3",38.0054,38.0054,38.478334,54.941591,52.139742,48.519889,0.78767139401302
"ABCG1",17.71649,17.71649,9.640229,12.006134,8.714856,10.1204063333333,1.6830760890362
"ABCG2",17.34308,17.34308,0.524925,0.589011,0.449804,0.521246666666667,12.0579261745849
"ABCG4",5.18633,5.18633,9.828186,11.963485,13.918554,11.9034083333333,0.47943379300947
"ABCG5",0.10373,0.10373,0.143393,0,0.032884,0.058759,1.04247519973856
"ABCG8",0.18671,0.18671,0.175022,0.165036,0.187492,0.17585,1.00923587192244
"ABHD1",7.0949,7.0949,0.980869,0.239741,0.305691,0.508767,5.36524194922079
"ABHD10",14.95737,14.95737,21.945498,27.924148,27.804594,25.8914133333333,0.593400198130159
"ABHD11",16.18134,16.18134,9.519305,7.909704,9.968295,9.13243466666667,1.69567735349161
"ABHD12",147.18796,147.18796,61.002748,58.3518,58.606077,59.3202083333333,2.45668846468672
"ABHD12B",6.05763,6.05763,1.215684,4.568525,10.647778,5.477329,1.08958955149569
"ABHD13",1.72186,1.72186,3.390322,2.495253,3.321503,3.069026,0.668921751790232
"ABHD14A",73.3969,73.3969,15.051411,20.447943,23.789903,19.7630856666667,3.58313312358181
"ABHD14B",11.78333,11.78333,7.978791,5.158438,4.171231,5.76948666666667,1.88837509097194
"ABHD15",2.28198,2.28198,1.666242,0.980568,1.679204,1.44200466666667,1.34396958564371
"ABHD16A",50.39035,50.39035,38.772235,39.606803,45.286219,41.2217523333333,1.21715341405734
"ABHD16B",4.23204,4.23204,0,0,0,0,5.23204
"ABHD2",9.37688,9.37688,36.149134,28.486848,25.146828,29.9276033333333,0.335521633802641
"ABHD3",4.41875,4.41875,9.642693,6.919606,4.384585,6.98229466666667,0.678846149670245
"ABHD4",21.57512,21.57512,39.666519,10.931269,10.1797,20.2591626666667,1.06190071330498
"ABHD5",4.89589,4.89589,7.984091,8.165592,14.175874,10.108519,0.530753919581899
"ABHD6",33.79411,33.79411,8.283415,13.65003,12.504431,11.479292,2.78814775710032
"ABHD8",42.59012,42.59012,6.351783,4.187949,6.20397,5.581234,6.62339615944366
"ABI1",26.90666,26.90666,15.274284,15.178726,16.016221,15.4897436666667,1.69236469432888
"ABI2",41.15869,41.15869,55.693149,35.541915,32.008028,41.0810306666667,1.00184547127537
"ABI3",5.29005,5.29005,0.080843,0.106816,0.123214,0.103624333333333,5.69944845362537
"ABI3BP",6.14061,6.14061,15.784185,1.403237,1.486131,6.22451766666667,0.988385706764368
"ABL1",41.69807,41.69807,25.90656,19.930765,26.375471,24.070932,1.70309065494653
"ABL2",4.06608,4.06608,6.897981,5.749299,4.319143,5.65547433333333,0.76118992370341
"ABLIM1",28.96045,28.96045,40.278722,80.432426,57.957359,59.556169,0.494754712769231
"ABLIM2",57.71345,57.71345,8.029056,12.377298,11.75464,10.7203313333333,5.0095384106604
"ABLIM3",20.45487,20.45487,55.789335,56.612711,66.861423,59.7544896666667,0.353140485875422
"ABO",1.24472,1.24472,0.183863,0.173732,0.075984,0.144526333333333,1.96126549003241
"ABR",149.67739,149.67739,197.043613,257.031715,274.908047,242.994458333333,0.617544312396439
"ABRA",0.26969,0.26969,0.063103,0.063272,0,0.042125,1.21836631881972
"ABRACL",10.60085,10.60085,11.912176,11.774747,14.945013,12.877312,0.835958001088395
"ABT1",5.91241,5.91241,4.02236,4.495368,5.868998,4.79557533333333,1.19270471047856
"ABTB1",51.5106,51.5106,8.227788,5.243431,7.957303,7.14284066666667,6.44868322365144
"ABTB2",17.65426,17.65426,3.451672,3.840048,4.832426,4.041382,3.70022743763516
"ACAA1",79.76571,79.76571,37.51069,45.687812,49.761725,44.3200756666667,1.78211772182463
"ACAA2",30.05995,30.05995,24.508458,12.44024,15.340642,17.42978,1.68531311822496
"ACACA",42.25819,42.25819,52.07295,52.263549,60.592741,54.9764133333333,0.772793171695412
"ACACB",19.58357,19.58357,5.82404,4.214339,4.586609,4.874996,3.50358876840086
"ACAD10",21.69959,21.69959,24.09517,13.699953,18.003391,18.5995046666667,1.15817161637792
"ACAD11",21.80332,21.80332,21.296656,12.759557,10.656436,14.9042163333333,1.4337908591074
"ACAD8",25.95238,25.95238,29.394922,40.292933,40.865493,36.851116,0.712063020810272
"ACAD9",22.19748,22.19748,20.618117,20.88167,21.133159,20.8776486666667,1.06032784205664
"ACADL",1.59739,1.59739,0.63777,0.16945,0.095375,0.300865,1.99666375834541
"ACADM",29.87324,29.87324,31.38729,31.831206,37.816546,33.6783473333333,0.890274259705686
"ACADS",12.34346,12.34346,3.919399,3.709052,4.464577,4.03100933333333,2.6522431416678
"ACADSB",7.24011,7.24011,7.753468,4.374615,3.829584,5.31922233333333,1.30397532565584
"ACADVL",537.46943,537.46943,417.243124,362.292121,441.590667,407.041970666667,1.31964226405494
"ACAN",1.57664,1.57664,0.61022,0.60714,1.230414,0.815924666666667,1.41891348649926
"ACAP1",64.37269,64.37269,11.702953,8.178989,5.156753,8.34623166666667,6.99455056663657
