"Hs_symbol","Brain_2_Hippocampus","dHs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","FoldChange"
"CSNK1G1",1.80484,1.80484,14.649752,18.96803,12.867997,15.4952596666667,0.170039154076972
"CSNK1G2",63.89555,63.89555,76.040317,80.710608,59.949334,72.2334196666667,0.886146656750186
"CSNK1G3",7.21937,7.21937,22.777219,22.330182,21.941863,22.3497546666667,0.352010979016139
"CSNK2A1",22.30121,22.30121,87.817487,77.576184,88.198984,84.530885,0.272430362435745
"CSNK2A2",17.0319,17.0319,33.500202,26.631976,30.798166,30.3101146666667,0.57591293395029
"CSNK2B",114.16143,114.16143,77.24698,68.92399,86.101994,77.4243213333333,1.46844024968377
"CSPG4",10.47638,10.47638,19.963663,9.766432,10.058546,13.2628803333333,0.804632706142735
"CSPG5",66.82064,66.82064,9.330537,8.819865,10.2138,9.454734,6.48707465919267
"CSPP1",7.0534,7.0534,4.214143,3.691214,4.361453,4.08893666666667,1.58253099370464
"CSRNP1",13.06954,13.06954,2.45416,1.078061,1.281342,1.604521,5.40196834657889
"CSRNP2",12.61315,12.61315,18.796168,24.556377,30.652928,24.668491,0.530344771728108
"CSRNP3",15.18557,15.18557,4.146397,5.990799,6.048607,5.39526766666667,2.53086670388516
"CSRP1",660.77954,660.77954,110.800637,130.546366,107.595297,116.3141,5.64109122432853
"CSRP2",20.12295,20.12295,94.97729,60.067025,16.835852,57.293389,0.362355841071446
"CSRP3",3.1118,3.1118,1.257415,0.136623,0,0.464679333333333,2.80730389678014
"CST1",0,0,6.82398,9.242739,11.003913,9.023544,0.0997651130179106
"CST11",0,0,0,0,0,0,1
"CST13P",0,0,0,0,0,0,1
"CST2",0,0,1.976119,2.733624,1.861064,2.190269,0.313453191564724
"CST3",1324.7331,1324.7331,122.40245,129.553267,134.746108,128.900608333333,10.2057497421266
"CST4",0,0,0,0,0,0,1
"CST5",0,0,0,0.129137,0,0.0430456666666667,0.958730793825901
"CST6",3.40223,3.40223,0,0,0,0,4.40223
"CST7",1.88782,1.88782,0.077489,0,0.117138,0.0648756666666667,2.7118846738602
"CST8",0,0,0,0,0,0,1
"CST9",0,0,0,0,0,0,1
"CST9L",0,0,0,0,0,0,1
"CSTA",4.29428,4.29428,0,0,0,0,5.29428
"CSTB",43.50291,43.50291,57.011135,59.499074,68.400197,61.636802,0.71049141365806
"CSTF1",4.35651,4.35651,10.784864,9.769943,12.399509,10.984772,0.446943004005416
"CSTF2",5.3108,5.3108,7.493075,5.27581,5.702942,6.15727566666667,0.88173214137763
"CSTF2T",12.67538,12.67538,5.953909,4.204846,5.819715,5.32615666666667,2.16172009650936
"CSTF3",29.79026,29.79026,26.965258,25.306414,30.34445,27.5387073333333,1.07889469695906
"CSTL1",1.53515,1.53515,0.49387,0.65481,0,0.382893333333333,1.833221651224
"CT45A1",0,0,0,0,0,0,1
"CT45A2",0,0,0,0,0,0,1
"CT45A3",0,0,0.10197,0,0,0.03399,0.967127341657076
"CT45A5",0,0,0,0,0,0,1
"CT45A6",3.67192,3.67192,0,0,0,0,4.67192
"CT47A1",0,0,0,0,0,0,1
"CT47A10",0,0,0,0,0,0,1
"CT47A11",0,0,0,0,0,0,1
"CT47A12",0,0,0,0,0,0,1
"CT47A6",0,0,0,0,0,0,1
"CT47A7",0,0,0,0,0,0,1
"CT47B1",0,0,0,0,0,0,1
"CT62",0,0,0.112119,0.051647,0.16934,0.111035333333333,0.900061384186401
"CTAG1A",0,0,0.072035,0,0,0.0240116666666667,0.976551373926404
"CTAG1B",0,0,7e-06,0,0,2.33333333333333e-06,0.999997666672111
"CTAG2",0,0,0,0,0,0,1
"CTAGE1",0.06224,0.06224,0,0,0,0,1.06224
"CTAGE10P",0,0,0,0.018231,0,0.006077,0.993959706861403
"CTAGE11P",0,0,0,0,0.035706,0.011902,0.988237991426047
"CTAGE4",0,0,1.892914,2.056103,1.640779,1.86326533333333,0.34925160038725
"CTAGE7P",0.41491,0.41491,0.234103,0.39682,0.368753,0.333225333333333,1.06126846274548
"CTAGE8",0,0,0.137452,0,0,0.0458173333333333,0.956189927367813
"CTAGE9",0,0,0,0,0,0,1
"CTBP1",241.97327,241.97327,104.74024,100.136336,108.878533,104.585036333333,2.30120932319358
"CTBP2",31.94777,31.94777,44.313254,32.567443,31.8988,36.2598323333333,0.884270484774144
"CTBS",3.65117,3.65117,4.319457,2.991809,2.981619,3.43096166666667,1.04969763900011
"CTC1",20.37189,20.37189,26.188452,22.792099,29.1925,26.0576836666667,0.789863990698095
"CTCF",14.83289,14.83289,10.785775,11.651321,14.69446,12.3771853333333,1.18357409316499
"CTCFL",0,0,0.350023,0.182037,0.304977,0.279012333333333,0.781853289400128
"CTDNEP1",99.63971,99.63971,67.077894,54.291029,57.431956,59.600293,1.66071325760752
"CTDP1",12.03228,12.03228,6.152829,5.479495,4.883278,5.50520066666667,2.00336325776679
"CTDSP1",67.00734,67.00734,21.216398,11.563256,13.673103,15.4842523333333,4.12559445371266
"CTDSP2",51.24091,51.24091,58.794537,23.778978,24.374914,35.6494763333333,1.42542036685217
"CTDSPL",6.03688,6.03688,14.024815,8.540807,11.817795,11.461139,0.564706003199226
"CTDSPL2",7.34384,7.34384,13.658787,7.388658,13.70707,11.5848383333333,0.663007325084165
"CTF1",3.23627,3.23627,0.992476,0.175543,0.415034,0.527684333333333,2.77300087954471
"CTH",2.73838,2.73838,4.551121,1.85745,2.399398,2.93598966666667,0.949794160198083
"CTHRC1",2.34422,2.34422,14.194013,4.48104,2.337947,7.00433333333333,0.41780119102153
"CTIF",125.28091,125.28091,56.559234,69.101718,67.815772,64.4922413333333,1.92818122313562
"CTLA4",0.72609,0.72609,0.030131,0,0.044117,0.0247493333333333,1.68440216924594
"CTNNA1",860.84728,860.84728,625.273908,426.840259,509.892619,520.668928666667,1.65209624848234
"CTNNA2",234.46347,234.46347,48.437224,72.763404,67.385179,62.8619356666667,3.68707067115885
"CTNNA3",74.22671,74.22671,1.425378,1.740626,2.032468,1.732824,27.5270965126184
"CTNNAL1",6.92893,6.92893,7.875709,4.113086,6.95423,6.31434166666667,1.08402510592774
"CTNNB1",123.87023,123.87023,270.687236,315.381998,373.357998,319.809077333333,0.389235339093148
"CTNNBIP1",38.52404,38.52404,25.318234,21.801833,21.39443,22.8381656666667,1.65801515740228
"CTNNBL1",35.72342,35.72342,24.715521,30.083579,33.5656,29.4549,1.20582960377476
"CTNND1",27.96467,27.96467,61.947275,52.794861,48.104199,54.2821116666667,0.523942901722851
"CTNND2",589.54015,589.54015,59.689538,79.304306,86.015215,75.0030196666667,7.76995641212659
"CTNS",13.06954,13.06954,11.435425,13.536114,13.02367,12.6650696666667,1.02959884897769
"CTPS1",10.37265,10.37265,19.566381,30.169513,30.724081,26.8199916666667,0.408794155521853
"CTPS2",4.50173,4.50173,14.708169,14.727892,17.127177,15.5210793333333,0.333012746261655
"CTR9",10.18595,10.18595,17.504627,23.294752,23.104246,21.3012083333333,0.501584929067745
"CTRB1",0.72609,0.72609,0,0.063939,0.186813,0.083584,1.59294526312681
"CTRB2",0,0,0.049812,0.21131,0.045428,0.102183333333333,0.907290075758721
"CTRC",0.31118,0.31118,0.958025,0.067841,0.025986,0.350617333333333,0.970800512950621
"CTRL",18.52556,18.52556,3.740665,1.425168,3.567611,2.911148,4.992283595507
"CTSA",74.7246,74.7246,46.596218,70.227077,81.813507,66.2122673333333,1.12664849743054
"CTSB",232.90757,232.90757,236.366157,311.245545,289.024101,278.878601,0.835746531404164
"CTSC",13.60892,13.60892,131.021686,110.767126,154.169484,131.986098666667,0.109852985736634
"CTSD",441.46014,441.46014,197.919739,246.237078,282.928214,242.361677,1.81811756663725
"CTSE",0.2282,0.2282,0,0,0.186922,0.0623073333333333,1.15616259199315
"CTSF",124.92824,124.92824,36.453001,38.754532,33.647008,36.284847,3.37746430875793
"CTSG",0.33192,0.33192,0,0,0,0,1.33192
"CTSH",99.49449,99.49449,2.788449,1.698605,1.993389,2.16014766666667,31.8005677582788
"CTSK",4.83366,4.83366,5.893199,5.19117,2.78454,4.62296966666667,1.03746958383616
"CTSO",13.33923,13.33923,2.942467,2.173346,3.443945,2.85325266666667,3.72133136351124
"CTSS",17.82022,17.82022,1.974428,1.285518,1.255116,1.50502066666667,7.51299989274872
"CTSW",0.91279,0.91279,0.901006,0.41156,0.723603,0.678723,1.13943157983777
"CTSZ",45.20403,45.20403,8.8661,12.543859,17.856791,13.0889166666667,3.27945938592392
"CTTN",216.91294,216.91294,117.035223,90.406244,95.733704,101.058390333333,2.13517908021353
"CTTNBP2",24.33425,24.33425,5.276106,5.673187,8.892293,6.613862,3.32738497230446
"CTTNBP2NL",5.62198,5.62198,8.202311,12.278741,10.105669,10.1955736666667,0.591481972890417
"CTU1",4.41875,4.41875,0.884489,1.234586,1.096452,1.07184233333333,2.61542585206371
"CTU2",34.83137,34.83137,9.900549,21.538683,17.285676,16.241636,2.07818851992932
"CTXN1",372.21231,372.21231,32.005287,43.767264,53.529695,43.1007486666667,8.46272050438206
"CTXN2",0.33192,0.33192,2.862477,3.669375,3.885335,3.47239566666667,0.297809071305334
"CTXN3",3.19478,3.19478,1.209237,5.71635,8.80551,5.243699,0.671842124356091
"CUBN",0.2282,0.2282,5.646822,10.589128,9.771733,8.66922766666667,0.127021520470973
"CUEDC1",99.88866,99.88866,53.670227,52.407985,62.939608,56.3392733333333,1.75950363747198
"CUEDC2",80.47105,80.47105,57.739842,66.496426,88.183444,70.8065706666667,1.1345904593912
"CUL1",20.12295,20.12295,21.139737,28.828219,27.082805,25.683587,0.791608339613411
"CUL2",12.63389,12.63389,27.490037,29.449048,28.94987,28.6296516666667,0.460143445268313
"CUL3",36.88516,36.88516,76.502387,67.573407,102.836036,82.3039433333333,0.454782312626017
"CUL4A",17.88246,17.88246,39.736269,29.693079,27.617716,32.3490213333333,0.566207320186827
"CUL4B",13.23551,13.23551,18.664142,20.707096,26.329587,21.900275,0.621630526270973
"CUL5",11.97004,11.97004,14.50402,6.674047,7.292896,9.490321,1.23638161310793
"CUL7",6.47254,6.47254,14.996248,11.168208,12.817392,12.9939493333333,0.533983639786414
"CUL9",55.28624,55.28624,20.311849,23.070476,29.106958,24.1630943333333,2.23685685291249
"CUTA",204.83917,204.83917,114.08163,138.599023,165.323787,139.334813333333,1.46677196563533
"CUTC",20.76605,20.76605,11.503951,6.480877,9.143554,9.042794,2.16733012745258
"CUX1",207.3286,207.3286,16.744877,13.662323,16.596146,15.667782,12.4988795749788
"CUX2",1.72186,1.72186,2.59895,6.264893,6.172051,5.01196466666667,0.452740518435072
"CUZD1",0.58087,0.58087,0,0.118741,0.197521,0.105420666666667,1.43010715076191
"CWC15",52.52712,52.52712,44.441593,37.883889,44.597577,42.3076863333333,1.23597274599269
"CWC22",7.11564,7.11564,5.184042,5.204464,4.837854,5.07545333333333,1.33580813722543
"CWC25",5.47676,5.47676,10.795901,6.335586,8.07227,8.40125233333333,0.688925237868132
"CWC27",98.22903,98.22903,13.987868,15.340346,17.579106,15.6357733333333,5.96479814985056
"CWF19L1",83.47912,83.47912,9.432503,6.498476,6.900491,7.61049,9.81118612297326
"CWF19L2",4.64695,4.64695,2.380498,1.912681,2.143875,2.14568466666667,1.79514178895236
"CWH43",0.60161,0.60161,0,0,0,0,1.60161
"CX3CL1",26.05611,26.05611,2.058214,1.06816,0.790171,1.305515,11.7353866706571
"CX3CR1",8.56781,8.56781,0,0,0.026247,0.008749,9.48482724642106
"CXADR",8.96197,8.96197,17.379818,27.419486,11.930262,18.9098553333333,0.500353710924335
"CXCL1",1.47292,1.47292,1.560767,0.871659,0.801383,1.07793633333333,1.19008458552387
"CXCL10",0,0,0.792184,0.36729,0.162186,0.440553333333333,0.694177700235558
"CXCL11",1.05801,1.05801,0.043897,0,0.14382,0.0625723333333333,1.93681873265412
"CXCL12",14.70842,14.70842,95.48425,38.888803,46.118692,60.163915,0.256824959618756
"CXCL13",0,0,0.175191,0,0,0.058397,0.944825051469345
"CXCL14",40.93049,40.93049,0.265622,0.839693,0.474576,0.526630333333333,27.4660401306494
"CXCL16",21.57512,21.57512,2.07441,1.600535,2.86424,2.17972833333333,7.09970086543033
"CXCL17",0,0,0.10175,0,0,0.0339166666666667,0.967195937777061
"CXCL2",4.12832,4.12832,0.501215,0,0.275241,0.258818666666667,4.07391480266154
"CXCL3",0.43565,0.43565,0.549649,0,0.089956,0.213201666666667,1.18335643565717
"CXCL5",0.18671,0.18671,0.344298,0,0,0.114766,1.0645373109693
"CXCL6",0.16596,0.16596,0.594837,0.907453,0.883327,0.795205666666667,0.649485472138104
"CXCL9",0.08298,0.08298,0,0.027177,0,0.009059,1.07325736156161
"CXCR1",0.29043,0.29043,0,0,0,0,1.29043
"CXCR2",0.41491,0.41491,0.021193,0.050725,0,0.0239726666666667,1.38178493045713
"CXCR3",0,0,0,0,0,0,1
"CXCR4",19.874,19.874,10.827439,0.566258,3.559238,4.98431166666667,3.48812046609649
"CXCR5",0,0,0,0,0,0,1
"CXCR6",0.2282,0.2282,0.094335,0.038821,0.073604,0.06892,1.14901021591887
"CXXC1",99.16257,99.16257,34.8533,26.679071,37.075205,32.869192,2.95733568134723
"CXXC1P1",0,0,0,0.040157,0,0.0133856666666667,0.986791142694275
"CXXC4",3.90012,3.90012,6.46109,7.115917,7.91172,7.162909,0.60029090119711
"CXXC5",128.80761,128.80761,94.659553,61.232191,102.711364,86.201036,1.48860169505326
"CXorf21",0.97503,0.97503,0.035487,0.092958,0,0.042815,1.89394091953031
"CXorf38",2.11602,2.11602,3.620478,2.762952,3.714277,3.36590233333333,0.713717294179813
"CXorf40A",26.80294,26.80294,16.515971,10.537855,14.473425,13.842417,1.87320838647775
"CXorf40B",36.0346,36.0346,17.358368,16.58611,19.43053,17.7916693333333,1.97079883341214
"CXorf51A",0,0,0,0,0,0,1
"CXorf51B",0,0,0,0,0,0,1
"CXorf56",31.94777,31.94777,14.532234,16.912086,20.794694,17.4130046666667,1.78937498775775
"CXorf58",0.14522,0.14522,0.039087,0.540668,0.545655,0.375136666666667,0.83280449700757
"CXorf65",0,0,2.964792,0,4.988826,2.651206,0.273882109089435
"CXorf66",0,0,0,0,0,0,1
"CYB561",11.82483,11.82483,13.708109,27.684429,26.407117,22.599885,0.543427648058455
"CYB561D1",7.38533,7.38533,6.938449,6.644945,8.583687,7.389027,0.999559305268656
"CYB561D2",12.09451,12.09451,5.228052,3.464405,5.908219,4.866892,2.2319330234816
"CYB5A",31.80256,31.80256,42.71194,31.006119,36.81436,36.8441396666667,0.866780439162492
"CYB5B",56.26127,56.26127,69.112001,60.788821,77.542681,69.1478343333333,0.816294195597001
"CYB5D1",7.34384,7.34384,9.375225,5.988676,8.095058,7.819653,0.946050825355601
"CYB5D2",26.80294,26.80294,12.700897,21.282444,19.132505,17.705282,1.486368395836
"CYB5R1",34.97659,34.97659,41.127721,34.655321,38.289414,38.024152,0.921905746984585
"CYB5R2",158.78458,158.78458,6.084414,8.92488,10.008589,8.33929433333333,17.108849373095
"CYB5R3",162.60172,162.60172,80.068703,78.271226,80.672383,79.6707706666667,2.02801731839164
"CYB5R4",8.15291,8.15291,6.143541,5.363915,10.017383,7.17494633333333,1.11962936841298
"CYB5RL",3.56819,3.56819,5.035766,2.875901,2.902882,3.60484966666667,0.992038900437502
"CYBA",192.55794,192.55794,86.659417,100.445712,149.652367,112.252498666667,1.70908317501845
"CYBB",4.58471,4.58471,0.152846,0.734132,0.329594,0.405524,3.97340066765135
"CYBRD1",16.28507,16.28507,18.037269,7.092855,8.517815,11.2159796666667,1.41495569505287
"CYC1",110.59323,110.59323,44.492835,49.091071,49.046059,47.5433216666667,2.29883794863234
"CYCS",83.00198,83.00198,117.620106,125.260182,130.678797,124.519695,0.669233461728855
"CYCSP52",0,0,0,1.086291,1.221502,0.769264333333333,0.565206668760443
"CYFIP1",26.55399,26.55399,43.866742,27.297294,24.597296,31.920444,0.836987192517817
"CYFIP2",111.07038,111.07038,74.272645,101.953282,100.009413,92.0784466666667,1.20404222474132
"CYGB",8.1944,8.1944,31.003736,19.910824,22.606583,24.5070476666667,0.360465080873138
"CYHR1",78.20981,78.20981,23.679185,21.657317,24.612256,23.3162526666667,3.25748424668176
"CYLC1",0,0,0,0,0,0,1
"CYLC2",0,0,0,0.042987,0,0.014329,0.985873419768142
"CYLD",27.71573,27.71573,9.024207,8.795248,10.453731,9.42439533333333,2.75466624986658
"CYMP",1.01652,1.01652,0,0,0,0,2.01652
"CYP11A1",2.13677,2.13677,1.184998,1.041433,0.400964,0.875798333333333,1.67223200077478
"CYP11B1",0.4564,0.4564,0,0,0,0,1.4564
"CYP11B2",0,0,0,0,0,0,1
"CYP17A1",21.30543,21.30543,0,0,0.193189,0.0643963333333333,20.9559440421472
"CYP19A1",0,0,0.146572,0.35229,0.387984,0.295615333333333,0.771834026869086
"CYP1A1",1.51441,1.51441,1.331007,1.990054,2.719505,2.013522,0.834375856555884
"CYP1A2",0,0,0.104239,0.200696,0.10984,0.138258333333333,0.878535188994882
"CYP1B1",3.1118,3.1118,8.345412,3.082035,2.939845,4.78909733333333,0.710266171605798
"CYP20A1",4.02459,4.02459,3.646775,3.328133,4.551934,3.84228066666667,1.03764947674106
"CYP21A1P",0.35267,0.35267,0.877691,0.732929,0.867424,0.826014666666667,0.74077718251259
"CYP21A2",1.03727,1.03727,0.363957,0.648898,0.52425,0.512368333333333,1.34707263772824
"CYP24A1",0.41491,0.41491,0.337776,0.548205,0.596094,0.494025,0.947045732166463
"CYP26A1",1.34844,1.34844,6.452,0,14.943571,7.131857,0.288795043985648
"CYP26B1",7.57204,7.57204,2.591524,1.769605,0.795468,1.71886566666667,3.15280011995199
"CYP26C1",0.49789,0.49789,0.975085,0,0,0.325028333333333,1.13045884553412
"CYP27A1",63.58437,63.58437,3.967919,3.964838,3.245854,3.72620366666667,13.6651686120735
"CYP27B1",0.20745,0.20745,0.781594,0.926154,0.942714,0.883487333333333,0.641071473447658
"CYP27C1",0.06224,0.06224,8.42945,3.403896,4.588986,5.47411066666667,0.164075045159356
"CYP2A13",0,0,0,0.042875,0,0.0142916666666667,0.985909707102658
"CYP2A6",0.70534,0.70534,0.249932,0.71743,0.36565,0.444337333333333,1.18070755400631
"CYP2A7",0.12447,0.12447,0.157364,0.499294,0.280489,0.312382333333333,0.856815861841074
"CYP2B6",1.90857,1.90857,0.06737,0.123615,0.143374,0.111453,2.61690777747687
"CYP2C18",0,0,0,0,0,0,1
"CYP2C19",0.10373,0.10373,0.040008,0.056978,0.057606,0.0515306666666667,1.04964128483176
"CYP2C8",1.12025,1.12025,1.52283,3.078811,3.093768,2.56513633333333,0.594717789660966
"CYP2C9",0,0,0.26461,0.088124,0,0.117578,0.894792130840085
"CYP2D6",4.02459,4.02459,2.444289,4.38415,3.606747,3.47839533333333,1.12196213733104
"CYP2E1",13.42221,13.42221,3.305716,3.042188,3.572613,3.306839,3.34867637262503
"CYP2F1",0.8713,0.8713,0.053655,0,0.298047,0.117234,1.67494007522148
"CYP2G1P",0.6846,0.6846,0.180814,0.029171,0.177977,0.129320666666667,1.49169323622874
"CYP2J2",20.60009,20.60009,1.220219,0.122699,0.494207,0.612375,13.3964431351268
"CYP2R1",10.97427,10.97427,21.582243,26.43233,31.736148,26.5835736666667,0.434108725167482
"CYP2S1",0.93354,0.93354,0.188439,0,0,0.062813,1.81926641845743
"CYP2U1",2.94583,2.94583,4.742433,6.262769,7.335812,6.11367133333333,0.554682640665528
"CYP2W1",0.43565,0.43565,0.503634,0.224076,0.077624,0.268444666666667,1.13181917802747
"CYP39A1",1.47292,1.47292,0.413282,1.290852,0.471072,0.725068666666667,1.43351974781294
"CYP3A4",0,0,0,0.032202,0.087401,0.0398676666666667,0.961660826714168
"CYP3A43",0,0,0.071941,0.110962,0.074355,0.0857526666666667,0.921020072711465
"CYP3A5",2.73838,2.73838,1.523471,1.512927,1.257004,1.431134,1.53771038535926
"CYP3A7",0.12447,0.12447,0.239179,0,0,0.0797263333333333,1.04143982163382
"CYP46A1",53.58513,53.58513,9.306125,9.04226,11.276892,9.87509233333333,5.01927968305066
"CYP4A11",0.72609,0.72609,3.150092,0.856846,0.608199,1.538379,0.67999695868899
"CYP4A22",0.70534,0.70534,0,0.109399,0.171221,0.09354,1.55946741774421
"CYP4B1",1.9708,1.9708,0.504797,0.223838,0.498985,0.409206666666667,2.10813649287306
"CYP4F11",2.80062,2.80062,0.019047,0,0,0.006349,3.77664209931147
"CYP4F12",4.10757,4.10757,0.066326,0,0.170598,0.0789746666666667,4.73372559874745
"CYP4F2",0.12447,0.12447,0,0,0,0,1.12447
"CYP4F22",0.20745,0.20745,0,0,0,0,1.20745
"CYP4F29P",0.2282,0.2282,0.310056,5.397445,4.024791,3.24409733333333,0.289390158504062
"CYP4F3",2.36497,2.36497,0.010687,0.525903,0.062666,0.199752,2.80472130907054
"CYP4F30P",0,0,0.055831,0,0,0.0186103333333333,0.981729683349635
"CYP4F8",0.80907,0.80907,0.056017,0.217886,0.173104,0.149002333333333,1.57447025782077
"CYP4V2",19.27239,19.27239,3.871129,4.075313,4.55084,4.16576066666667,3.92437654551295
"CYP4X1",3.48521,3.48521,2.757381,7.506528,10.62408,6.962663,0.563280148864771
"CYP4Z1",0.26969,0.26969,0,0.232984,0.257521,0.163501666666667,1.0912661634921
"CYP4Z2P",0,0,0,0,0.127023,0.042341,0.959378936451699
"CYP51A1",51.80103,51.80103,55.769854,67.2513,70.10088,64.3740113333333,0.80767615330769
"CYP7A1",0,0,0,0,0,0,1
"CYP7B1",1.92931,1.92931,2.442434,1.248326,1.638437,1.776399,1.05507529717451
"CYP8B1",0.31118,0.31118,0.062298,0.02435,0.045331,0.043993,1.25592796120281
"CYS1",4.33577,4.33577,0.388801,0.181393,0.174423,0.248205666666667,4.27475226438378
"CYSLTR1",5.18633,5.18633,1.522782,0.915484,1.132463,1.190243,2.8244948163286
"CYSLTR2",1.24472,1.24472,0.080952,0,0.876607,0.319186333333333,1.70159434136042
"CYSTM1",88.95588,88.95588,38.467748,42.430008,43.665636,41.5211306666667,2.11555710277757
"CYTH1",166.83376,166.83376,27.628552,28.639713,27.285079,27.8511146666667,5.81723659342382
"CYTH2",45.53595,45.53595,86.170661,92.175179,96.409616,91.585152,0.502628650434143
"CYTH3",20.57935,20.57935,36.856572,32.032737,45.498562,38.1292903333333,0.551488407179648
"CYTH4",5.66347,5.66347,0.130857,2.023807,0.193637,0.782767,3.73771221926365
"CYTIP",2.17826,2.17826,0.02624,0.034387,0,0.020209,3.11530284480925
"CYTL1",12.3642,12.3642,53.090751,35.671238,30.318708,39.6935656666667,0.328410641364539
"CYYR1",15.45525,15.45525,1.005308,0.414524,0.191878,0.537236666666667,10.7044350143439
"D2HGDH",43.62738,43.62738,98.229111,50.648712,55.502846,68.1268896666667,0.645586402269731
"DAAM1",21.78257,21.78257,56.913538,60.320072,38.832088,52.0218993333333,0.429682268769223
"DAAM2",274.12849,274.12849,12.654633,13.112188,12.971722,12.9128476666667,19.7751385332258
"DAB1",27.54977,27.54977,14.336401,8.13873,8.376781,10.2839706666667,2.53011735348952
"DAB2",6.55552,6.55552,23.371941,10.683909,10.254723,14.770191,0.47910136281799
"DAB2IP",49.58129,49.58129,34.921212,46.717251,29.672651,37.1037046666667,1.32746383698089
"DACH1",1.26546,1.26546,11.539699,18.390534,19.511531,16.480588,0.129598615332619
"DACH2",12.75836,12.75836,5.716469,6.730666,6.233996,6.22704366666667,1.90373278958556
"DACT1",3.09105,3.09105,5.807294,5.309253,3.72571,4.947419,0.687869813779725
"DACT2",1.68037,1.68037,0.274478,0.049514,0.285931,0.203307666666667,2.22750180544017
"DACT3",86.52868,86.52868,30.140562,25.146096,32.009261,29.0986396666667,2.90806099442877
"DAD1",146.52411,146.52411,116.286665,107.138049,161.052907,128.159207,1.14218810587773
"DAG1",15.0196,15.0196,84.921319,87.999527,85.634354,86.1850666666667,0.183742475775668
"DAGLA",5.99539,5.99539,14.040977,13.561557,15.487908,14.3634806666667,0.455325856931465
"DAGLB",21.13947,21.13947,10.127164,7.875304,10.445922,9.48279666666667,2.11198124927858
"DALRD3",66.05306,66.05306,17.939197,13.163379,17.954224,16.3522666666667,3.86422484670591
"DANCR",36.76068,36.76068,83.151059,82.206173,74.365656,79.9076293333333,0.466713464615665
"DAND5",2.57242,2.57242,0.267239,0.15781,0.400045,0.275031333333333,2.80182918380568
"DAO",3.00807,3.00807,0.192397,0.061642,0.478793,0.244277333333333,3.22120309727306
"DAOA",0,0,0,0,0,0,1
"DAP",228.82074,228.82074,44.811831,42.876547,35.271251,40.986543,5.47367617286329
"DAP3",68.87442,68.87442,183.78714,237.748515,274.234776,231.923477,0.299988738361483
"DAPK1",16.24358,16.24358,31.829608,48.373952,40.067695,40.0904183333333,0.419649657983932
"DAPK2",52.00849,52.00849,0.638131,2.402281,1.488766,1.509726,21.1212259824379
"DAPK3",28.753,28.753,31.225468,26.192704,25.126832,27.5150013333333,1.04341569730945
"DAPL1",2.67614,2.67614,0.243929,0,0,0.0813096666666667,3.39971065951197
"DAPP1",1.24472,1.24472,0.021943,0,0.091324,0.0377556666666667,2.16305251043357
"DARS2",3.65117,3.65117,7.267834,6.871392,6.954623,7.031283,0.579131628159536
"DAXX",31.65734,31.65734,21.375268,18.644542,20.669008,20.229606,1.53829232629188
"DAZ1",0,0,0.027768,0,0.078524,0.0354306666666667,0.965781710154744
"DAZ3",0,0,0,0,0,0,1
"DAZ4",0,0,0,0.080835,0,0.026945,0.973761983358408
"DAZAP1",113.47683,113.47683,37.412395,30.721226,34.552677,34.228766,3.24952710520715
"DAZAP2",207.05891,207.05891,50.786515,35.274059,37.735629,41.265401,4.92267682495193
"DAZL",0,0,0.039981,0,0,0.013327,0.986848273064864
"DBF4",1.84633,1.84633,7.997299,2.97965,8.187821,6.38825666666667,0.385250557528907
"DBF4B",16.69997,16.69997,5.574612,6.968701,6.693148,6.41215366666667,2.38796587280683
"DBH",0.60161,0.60161,1.201018,3.329529,2.86885,2.46646566666667,0.462029673451259
"DBI",390.8001,390.8001,111.645855,124.686319,140.740631,125.690935,3.09256617294679
"DBIL5P",5.97465,5.97465,0.399775,1.045471,0.287892,0.577712666666667,4.42073525006032
"DBIL5P2",0,0,0,0,3.548173,1.18272433333333,0.458143057613169
"DBN1",50.84675,50.84675,181.256486,171.050766,185.195085,179.167445666667,0.287769801076734
"DBNDD1",42.27894,42.27894,26.658421,34.702431,39.209748,33.5235333333333,1.25360691161391
"DBNDD2",1662.30075,1662.30075,13.787938,14.846696,15.706023,14.780219,105.40416137444
"DBNL",73.77031,73.77031,54.903173,59.247266,58.563334,57.5712576666667,1.27656999317862
"DBP",19.62506,19.62506,2.848032,1.11159,2.492233,2.15061833333333,6.54635307037613
"DBR1",4.37726,4.37726,6.635256,3.3495,5.099279,5.02801166666667,0.892045386994661
"DBT",7.07415,7.07415,4.230365,3.872096,4.21944,4.10730033333333,1.58090370117912
"DBX1",0,0,0.317101,0,0,0.105700333333333,0.904404177020838
"DBX2",1.07876,1.07876,0,0,0.060691,0.0202303333333333,2.03753988886823
"DCAF10",9.04495,9.04495,13.893618,13.892198,12.288435,13.3580836666667,0.699602414444769
"DCAF11",45.47371,45.47371,43.09433,40.229822,47.082558,43.4689033333333,1.04508333951118
"DCAF12",8.89974,8.89974,14.479203,14.624896,15.865552,14.9898836666667,0.619125204809182
"DCAF12L1",0,0,0.050995,0.111072,0.074373,0.0788133333333333,0.926944420412552
"DCAF12L2",1.34844,1.34844,0.682117,0.273545,0.620069,0.525243666666667,1.53971463794528
