"Hs_symbol","Brain_2_Hippocampus","dHs_Avg_TPM","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","FoldChange"
"ABCC5",24.9566,24.9566,40.658816,35.616212,29.02946,35.101496,0.718989595334221
"ABCC6",0.18671,0.18671,1.563937,2.080382,1.038311,1.56087666666667,0.463399903418491
"ABCC6P1",0.4564,0.4564,0.326616,0.114229,0.382804,0.274549666666667,1.1426781066986
"ABCC6P2",0.58087,0.58087,0.427513,0.600883,0.259824,0.429406666666667,1.10596238066144
"ABCC8",42.46564,42.46564,59.334917,46.332088,44.755074,50.140693,0.849922780670962
"ABCC9",2.36497,2.36497,2.011239,0.868414,0.975146,1.284933,1.47267775466502
"ABCD1",4.41875,4.41875,10.618352,6.729346,8.415782,8.58782666666667,0.56516979169419
"ABCD2",0.6846,0.6846,1.015291,0.95263,0.78988,0.919267,0.877730925400166
"ABCD3",18.04842,18.04842,11.715671,11.503515,12.736033,11.985073,1.46694747114629
"ABCD4",110.40653,110.40653,58.610022,52.354869,50.095508,53.6867996666667,2.03717406538795
"ABCE1",12.79985,12.79985,47.293811,49.347163,47.386876,48.0092833333333,0.281576245588846
"ABCF1",50.45259,50.45259,49.941811,50.936379,55.648464,52.1755513333333,0.967598618347502
"ABCF2",18.83674,18.83674,19.522918,29.608502,27.332976,25.488132,0.748891616819185
"ABCF3",38.0054,38.0054,46.460597,40.982435,31.451225,39.631419,0.959981240133405
"ABCG1",17.71649,17.71649,2.981022,2.516257,2.216058,2.57111233333333,5.2410812802771
"ABCG2",17.34308,17.34308,0,0.032841,0.010415,0.0144186666666667,18.0823565286654
"ABCG4",5.18633,5.18633,12.913126,10.418173,10.808669,11.3799893333333,0.499703984666869
"ABCG5",0.10373,0.10373,0.106507,0.151389,0.042838,0.100244666666667,1.00316778025736
"ABCG8",0.18671,0.18671,0.375379,0.464493,0.42013,0.420000666666667,0.83571087525311
"ABHD1",7.0949,7.0949,0.400221,0.717874,0.22597,0.448021666666667,5.59031690363749
"ABHD10",14.95737,14.95737,22.938499,24.352688,21.626771,22.9726526666667,0.665648905103785
"ABHD11",16.18134,16.18134,6.937606,7.064101,6.864255,6.95532066666667,2.15972940877053
"ABHD12",147.18796,147.18796,64.546737,62.306897,62.683147,63.178927,2.30898157583719
"ABHD12B",6.05763,6.05763,1.904262,0.479376,0.66991,1.01784933333333,3.49760008510711
"ABHD13",1.72186,1.72186,2.367033,2.196661,1.88721,2.15030133333333,0.863999888264657
"ABHD14A",73.3969,73.3969,22.540257,19.428712,18.954588,20.3078523333333,3.49152504138654
"ABHD14B",11.78333,11.78333,3.320588,2.072545,1.528819,2.30731733333333,3.86516584639797
"ABHD15",2.28198,2.28198,0.626613,0.218831,0.501833,0.449092333333333,2.2648522281879
"ABHD16A",50.39035,50.39035,37.200716,47.134845,37.037113,40.457558,1.23958941334654
"ABHD16B",4.23204,4.23204,0,0,0,0,5.23204
