"Hs_symbol","Brain_2_Hippocampus","dHs_Avg_TPM","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","FoldChange"
"ABCF2",18.83674,18.83674,26.268774,19.429182,42.181654,29.2932033333333,443,535,432,0.654824773125677
"ABCF3",38.0054,38.0054,49.775637,52.727308,46.588001,49.696982,554,722,457,0.769383076886115
"ABCG1",17.71649,17.71649,7.097047,8.637267,8.443098,8.05913733333333,274,360,227,2.06603447009598
"ABCG2",17.34308,17.34308,0.071606,0.158845,0.025076,0.0851756666666667,4,11,1,16.9033277868683
"ABCG4",5.18633,5.18633,11.183928,15.998495,13.278866,13.4870963333333,433,622,404,0.427023459888638
"ABCG5",0.10373,0.10373,0.093551,0.161392,0.087861,0.114268,3,7,2,0.990542670165526
"ABCG8",0.18671,0.18671,0.279919,0.336852,0.476524,0.364431666666667,19,25,16,0.869746744370977
"ABHD1",7.0949,7.0949,1.219066,0.595476,1.404846,1.07312933333333,17,18,14,3.90467679456564
"ABHD10",14.95737,14.95737,20.734833,22.479951,21.319982,21.5115886666667,502,570,353,0.708851349244328
"ABHD11",16.18134,16.18134,5.79209,6.6316,4.983045,5.802245,56,74,48,2.52583375047503
"ABHD12",147.18796,147.18796,62.698382,74.955257,56.465736,64.7064583333333,591,762,413,2.25530280826022
"ABHD12B",6.05763,6.05763,3.562703,1.658765,4.615794,3.27908733333333,22,21,30,1.64933067503024
"ABHD13",1.72186,1.72186,2.86622,3.359063,3.388676,3.204653,195,241,166,0.647344739268615
"ABHD14A",73.3969,73.3969,25.012009,25.594496,21.460029,24.022178,268,287,164,2.97323838076765
"ABHD14B",11.78333,11.78333,1.988993,2.13046,2.242736,2.12072966666667,33,40,33,4.0962631709315
"ABHD15",2.28198,2.28198,0.139043,0.156659,0.265244,0.186982,6,8,8,2.7649787444123
"ABHD16A",50.39035,50.39035,34.317671,41.166479,61.739668,45.7412726666667,552,678,517,1.09946407250158
"ABHD16B",4.23204,4.23204,0,0,0,0,0,0,0,5.23204
"ABHD2",9.37688,9.37688,24.811763,18.501694,16.975591,20.0963493333333,1534,1881,1288,0.491880364514252
"ABHD3",4.41875,4.41875,2.112366,4.383957,4.812756,3.769693,34,41,40,1.13607940804576
"ABHD4",21.57512,21.57512,5.832204,5.914283,14.836758,8.86108166666667,103,107,75,2.28931477936244
"ABHD5",4.89589,4.89589,6.272151,9.717485,9.994526,8.66138733333333,224,264,185,0.61025293744908
"ABHD6",33.79411,33.79411,12.738211,13.156293,8.173231,11.3559116666667,201,211,124,2.81598889168707
"ABHD8",42.59012,42.59012,7.19407,9.390167,9.704944,8.76306033333333,145,236,124,4.46480084233151
"ABI1",26.90666,26.90666,19.731057,19.365981,20.50402,19.8670193333333,618,612,424,1.3373572695848
"ABI2",41.15869,41.15869,50.424881,51.894418,63.248999,55.1894326666667,3251,3183,2502,0.750295705067865
"ABI3",5.29005,5.29005,0,0.209091,0.075429,0.09484,0,3,1,5.74517737751635
"ABI3BP",6.14061,6.14061,0.99652,1.116168,1.795284,1.30265733333333,15,18,16,3.10103023000093
"ABL1",41.69807,41.69807,23.387004,25.535463,27.529949,25.4841386666667,995,1264,955,1.61221289985694
"ABL2",4.06608,4.06608,4.876134,5.408775,4.808567,5.03115866666667,785,862,542,0.839984533651798
"ABLIM1",28.96045,28.96045,100.860799,75.151885,120.837451,98.950045,7750,6453,5627,0.299754242231707
"ABLIM2",57.71345,57.71345,19.980956,30.901303,25.59889,25.4937163333333,462,672,364,2.2161273738003
"ABLIM3",20.45487,20.45487,48.422608,52.934019,47.138285,49.498304,1626,2148,1222,0.424863179563417
"ABO",1.24472,1.24472,0.839964,0.413628,1.770949,1.00818033333333,23,39,31,1.1177880605344
"ABR",149.67739,149.67739,591.586845,672.731938,685.513728,649.944170333333,3340,3625,3006,0.231475135452617
"ABRA",0.26969,0.26969,0.028665,0.053548,0.080009,0.054074,1,2,2,1.20455489842269
"ABRACL",10.60085,10.60085,19.223716,14.20645,19.051796,17.4939873333333,138,111,99,0.627276843598285
"ABT1",5.91241,5.91241,4.88843,4.285503,5.231131,4.801688,188,179,143,1.19144807511193
"ABTB1",51.5106,51.5106,2.982307,4.057105,10.245762,5.76172466666667,62,115,92,7.76585894703195
"ABTB2",17.65426,17.65426,1.344934,1.96267,3.69669,2.33476466666667,85,140,90,5.59387598965004
"ACAA1",79.76571,79.76571,46.486176,54.061449,53.958237,51.501954,591,740,475,1.5383372207442
"ACAA2",30.05995,30.05995,7.463552,10.616386,8.612113,8.89735033333333,146,199,117,3.13820860674125
"ACACA",42.25819,42.25819,87.127535,78.297049,72.405289,79.2766243333333,3380,3012,2176,0.538864088509485
"ACACB",19.58357,19.58357,3.694984,3.933355,3.564281,3.73087333333333,62,63,54,4.35090279314179
"ACAD10",21.69959,21.69959,11.611479,11.630295,14.269463,12.5037456666667,185,171,157,1.68098471048909
"ACAD11",21.80332,21.80332,6.956361,6.78533,9.702243,7.81464466666667,123,171,123,2.58698119576308
"ACAD8",25.95238,25.95238,28.56967,26.216904,35.090426,29.959,521,559,449,0.870583029167609
"ACAD9",22.19748,22.19748,16.730664,15.138342,15.036653,15.6352196666667,348,375,288,1.39447993262648
"ACADL",1.59739,1.59739,0.288112,0.704497,0.707281,0.56663,9,17,9,1.65794731366053
"ACADM",29.87324,29.87324,34.991444,30.116255,36.311604,33.8064343333333,538,526,442,0.886998067780629
"ACADS",12.34346,12.34346,1.771714,2.673468,3.757556,2.734246,38,59,46,3.57326753513293
"ACADSB",7.24011,7.24011,5.696079,5.142362,5.947202,5.59521433333333,415,396,308,1.24940746176407
"ACADVL",537.46943,537.46943,236.028354,256.563668,245.533457,246.041826333333,1257,1410,953,2.17966907868242
"ACAN",1.57664,1.57664,0.108891,0.370897,0.103268,0.194352,8,10,6,2.15735394590539
"ACAP1",64.37269,64.37269,9.140538,8.118628,5.692809,7.65065833333333,23,41,22,7.55696127173366
"ACAP2",4.87515,4.87515,19.442193,11.477702,6.945933,12.6219426666667,361,356,272,0.431300449852625
"ACAP3",304.41664,304.41664,237.983872,241.790025,300.03488,259.936259,2282,2631,2345,1.170464546286
"ACAT1",101.6935,101.6935,122.137156,118.34408,129.991315,123.490850333333,655,741,527,0.824908013119283
"ACAT2",21.38841,21.38841,150.038137,113.788996,97.188096,120.338409666667,2596,2136,1199,0.184512143034543
"ACBD3",9.95775,9.95775,55.57853,50.960754,31.733687,46.0909903333333,687,749,476,0.232693131370473
"ACBD4",21.11872,21.11872,2.513592,3.070246,3.546908,3.043582,36,57,47,5.47008073534801
"ACBD5",28.48331,28.48331,22.086031,24.008406,24.78825,23.6275623333333,786,939,654,1.19716720643904
"ACBD6",200.71085,200.71085,44.648742,40.179244,47.697377,44.175121,561,617,466,4.46508709960068
"ACBD7",18.40109,18.40109,1.043718,2.012931,2.647439,1.90136266666667,46,68,57,6.68688896527701
"ACCS",17.9032,17.9032,2.852259,6.929111,6.720408,5.50059266666667,40,71,38,2.90791947277833
"ACCSL",0,0,0,0.041683,0,0.0138943333333333,0,1,0,0.986296073588208
"ACD",14.29352,14.29352,10.823814,17.900748,15.750557,14.8250396666667,143,186,143,0.966412743483592
"ACE",3.2985,3.2985,7.650195,4.932748,4.196313,5.59308533333333,104,116,46,0.6519709335882
"ACE2",0.97503,0.97503,0.257103,0.077158,0.190801,0.175020666666667,1,1,1,1.68084703191036
"ACE3P",0,0,0,0.036847,0,0.0122823333333333,0,1,0,0.987866691999959
"ACER1",0.53938,0.53938,0.061841,0,0.249022,0.103621,1,0,3,1.39484478820175
"ACER2",0.56012,0.56012,1.702671,1.924675,1.809561,1.81230233333333,61,75,46,0.554748321867244
"ACER3",38.85596,38.85596,5.618697,5.605735,6.031901,5.752111,410,489,347,5.90274063918677
"ACHE",73.60435,73.60435,123.812487,148.175891,116.216143,129.401507,2791,3847,1730,0.572112636704421
"ACIN1",97.73114,97.73114,89.895784,89.267185,92.097629,90.4201993333333,1572,1683,1229,1.07997073644534
"ACLY",35.35,35.35,254.093676,248.408509,244.338036,248.946740333333,6921,7108,4396,0.145430982422587
"ACMSD",0.12447,0.12447,0.255707,0.275251,0.059046,0.196668,1,2,1,0.939667476693619
"ACO1",8.81676,8.81676,9.414829,8.829655,9.906688,9.383724,628,626,488,0.945398779859711
"ACO2",127.9778,127.9778,76.722101,90.811985,92.660824,86.7316366666667,1805,2351,1468,1.47014013302917
"ACOT1",1.84633,1.84633,2.580575,3.185492,1.979403,2.58182333333333,39,58,23,0.794659516987158
"ACOT11",2.94583,2.94583,0.582734,0.576701,0.609753,0.589729333333333,40,51,26,2.48207661346124
"ACOT12",0,0,0.331608,0.188218,0.467097,0.328974333333333,5,2,2,0.752459979788925
"ACOT13",33.44144,33.44144,4.473594,5.647834,5.032359,5.05126233333333,165,201,127,5.69161244427953
"ACOT2",8.81676,8.81676,14.610747,12.124256,16.719956,14.4849863333333,110,123,100,0.633953417115275
"ACOT4",0.53938,0.53938,0.210825,0.819407,0.499504,0.509912,6,26,10,1.01951636916589
"ACOT6",0,0,0.113721,0.104565,0.160646,0.126310666666667,1,1,1,0.887854505506474
"ACOT7",128.33047,128.33047,141.034258,158.621084,147.569266,149.074869333333,2164,2658,1722,0.861772997534599
"ACOT8",41.69807,41.69807,15.109551,19.026084,18.961389,17.699008,206,295,187,2.28344038357543
"ACOT9",7.92471,7.92471,19.733347,15.220957,15.831859,16.928721,376,398,279,0.497788436776946
"ACOX1",45.41148,45.41148,26.69153,36.454793,34.43575,32.5273576666667,665,715,462,1.38428684006145
"ACOX2",6.45179,6.45179,0,0.720589,0,0.240196333333333,0,2,0,6.00855670970376
"ACOX3",11.70035,11.70035,9.956542,12.099373,8.284384,10.113433,181,210,142,1.14279269061144
"ACOXL",0.20745,0.20745,0.165362,0.317846,0.200234,0.227814,4,5,4,0.983414425963542
"ACP1",49.4983,49.4983,61.586263,66.10944,74.714785,67.4701626666667,798,920,684,0.737522711109084
