"Hs_symbol","Brain_2_Hippocampus","dHs_Avg_TPM","DRG","dHs_Avg__TPM","FoldChange"
"WNT9A",2.4272,2.4272,9.75352,9.75352,0.318704944985456
"WNT9B",1.63888,1.63888,0.31362,0.31362,2.00886101003334
"WRAP53",10.47638,10.47638,8.74994,8.74994,1.17707185890375
"WRAP73",19.4591,19.4591,20.02973,20.02973,0.97286555747506
"WRB",66.01157,66.01157,87.23805,87.23805,0.759440740134217
"WRBP1",0,0,0.28226,0.28226,0.77987303666963
"WRN",1.14099,1.14099,1.63081,1.63081,0.813813996449762
"WRNIP1",33.71112,33.71112,45.67322,45.67322,0.743705276816127
"WSB1",354.14314,354.14314,39.6413,39.6413,8.7384788380293
"WSB2",78.06459,78.06459,149.07305,149.07305,0.526840695248081
"WSCD1",23.33847,23.33847,2.4044,2.4044,7.1491217248267
"WSCD2",21.24319,21.24319,2.5194,2.5194,6.320165369097
"WT1",0,0,0.03136,0.03136,0.969593546385355
"WT1-AS",0,0,0,0,1
"WTAP",24.04381,24.04381,53.78547,53.78547,0.457125036985171
"WTAPP1",0,0,0.06272,0.06272,0.940981632038542
"WTIP",4.81291,4.81291,15.17911,15.17911,0.35928490504113
"WWC1",54.72612,54.72612,4.39065,4.39065,10.3375511301977
"WWC2",8.31887,8.31887,1.97579,1.97579,3.13156170294275
"WWC3",11.40992,11.40992,5.3315,5.3315,1.96002842928216
"WWOX",115.42689,115.42689,16.72629,16.72629,6.56803482285351
"WWP1",14.89513,14.89513,23.09273,23.09273,0.65974798206762
"WWP2",40.30813,40.30813,17.99121,17.99121,2.17511838371541
"WWTR1",42.73533,42.73533,9.59671,9.59671,4.12725553497265
"XAB2",32.42492,32.42492,39.08725,39.08725,0.833804264448172
"XAF1",33.91858,33.91858,21.30511,21.30511,1.56549687493135
"XAGE1A",0,0,0,0,1
"XAGE1B",0,0,0,0,1
"XAGE1C",0,0,0,0,1
"XAGE1D",0,0,0,0,1
"XAGE1E",0,0,0,0,1
"XAGE2",0,0,0,0,1
"XAGE2B",0,0,0,0,1
"XAGE3",0.76758,0.76758,0.03136,0.03136,1.71383416071983
"XAGE5",0,0,0.04182,0.04182,0.959858708798065
"XBP1",14.35575,14.35575,45.38051,45.38051,0.33108195662359
"XBP1P1",1.03727,1.03727,0.45997,0.45997,1.39541908395378
"XCL1",0,0,0.82586,0.82586,0.547687117303627
"XCL2",0,0,0.50179,0.50179,0.665872059342518
"XCR1",0,0,0.02091,0.02091,0.979518272913381
"XDH",0.04149,0.04149,0.01045,0.01045,1.03071898659013
"XG",0.66385,0.66385,0.10454,0.10454,1.50637369402647
"XGPY",0,0,0,0,1
"XIAP",75.96932,75.96932,18.20029,18.20029,4.00875820104801
"XIRP1",1.57664,1.57664,0.03136,0.03136,2.49829351535836
"XIRP2",1.49366,1.49366,0.03136,0.03136,2.41783664287931
"XIST",382.52273,382.52273,137.2392,137.2392,2.77434135903564
"XK",0.47714,0.47714,6.41871,6.41871,0.19911008787242
"XKR3",0,0,0,0,1
"XKR4",0.49789,0.49789,0.44952,0.44952,1.03336966720018
"XKR5",0.04149,0.04149,0.02091,0.02091,1.02015848605656
"XKR6",3.69266,3.69266,3.39753,3.39753,1.06711267461507
"XKR7",0.43565,0.43565,0.17772,0.17772,1.21900791359576
"XKR8",8.54707,8.54707,5.35241,5.35241,1.50290519661042
"XKR9",1.68037,1.68037,0.60633,0.60633,1.66862973361638
"XKRX",0.29043,0.29043,0.01045,0.01045,1.27708446731654
"XKRYP1",0,0,0,0,1
"XKRYP2",0,0,0,0,1
"XKRYP3",0,0,0,0,1
"XKRYP4",0,0,0,0,1
"XKRYP5",0,0,0,0,1
"XKRYP6",0,0,0,0,1
"XPA",17.84096,17.84096,18.94252,18.94252,0.944763249579291
"XPC",19.58357,19.58357,12.97333,12.97333,1.47306118155085
"XPNPEP1",22.79909,22.79909,33.55712,33.55712,0.68868846709448
"XPNPEP2",0.14522,0.14522,0.49133,0.49133,0.767918569330732
"XPNPEP3",128.51718,128.51718,188.17075,188.17075,0.684657538229351
"XPO1",49.83023,49.83023,30.14914,30.14914,1.63183413731487
"XPO4",3.27776,3.27776,2.47758,2.47758,1.23009679144693
"XPO5",15.80792,15.80792,20.94968,20.94968,0.76574783778169
"XPO6",185.29709,185.29709,101.37176,101.37176,1.81980938883927
"XPO7",18.19363,18.19363,14.93867,14.93867,1.20421779232521
"XPOT",14.18979,14.18979,31.20498,31.20498,0.471659662573925
"XPOTP1",0,0,0.02091,0.02091,0.979518272913381
"XPR1",3.13254,3.13254,4.02476,4.02476,0.822435300392457
"XRCC1",27.01039,27.01039,13.74692,13.74692,1.89940611327654
"XRCC2",0.99577,0.99577,0.14636,0.14636,1.74096269932656
"XRCC3",38.12988,38.12988,7.32821,7.32821,4.69847422195166
"XRCC4",27.15561,27.15561,12.93151,12.93151,2.02100203064851
"XRCC5",37.96391,37.96391,60.67461,60.67461,0.631765810922842
"XRCC6",69.37231,69.37231,202.51354,202.51354,0.345786870003834
"XRCC6BP1",3.33999,3.33999,7.3073,7.3073,0.522430874050534
"XRN1",3.81714,3.81714,1.79808,1.79808,1.72158766010979
"XRN2",10.12371,10.12371,13.61102,13.61102,0.761323302548351
"XRRA1",7.38533,7.38533,7.1923,7.1923,1.02356236954213
"XX-2136C111.2",0,0,0,0,1
"XX-2136C48.2",0,0,0.02091,0.02091,0.979518272913381
"XX-2136C48.3",0,0,0,0,1
"XX-2136C48.7",0,0,0,0,1
"XX-2136C48.8",0,0,0,0,1
"XX-2136C48.9",0,0,0,0,1
"XX-C2158C6.2",0,0,0,0,1
"XX-CR54.2",20.49636,20.49636,0,0,21.49636
"XX-FW84067D5.1",0,0,0,0,1
"XX-FW84067D5.2",0,0,0,0,1
"XXYLT1",20.62084,20.62084,4.11885,4.11885,4.22376901061762
"XXbac-B33L19.10",0,0,0.03136,0.03136,0.969593546385355
"XXbac-B444P24.10",17.32233,17.32233,8.87539,8.87539,1.8553525481019
"XXbac-B476C20.10",0,0,0.15681,0.15681,0.864446192546745
"XXbac-B476C20.11",0,0,0.53315,0.53315,0.652251899683658
"XXbac-B476C20.12",1.5559,1.5559,0,0,2.5559
