"Hs_symbol","Brain_2_Hippocampus","dHs_Avg_TPM","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg__TPM","FoldChange"
"CABP2",0,0,0,0,0,0,1
"CABP4",6.20285,6.20285,0.89456,0.80136,0.78654,0.827486666666667,3.94139674525669
"CABP5",0,0,0,0,0,0,1
"CABP7",26.76145,26.76145,2.43518,1.9896,1.22351,1.88276333333333,9.63015231912899
"CABS1",0,0,0,0,0,0,1
"CABYR",9.58433,9.58433,8.26635,4.67002,4.85035,5.92890666666667,1.52756134685992
"CABYRP1",0,0,0,0,0,0,1
"CACFD1",20.22667,20.22667,16.61554,23.62645,23.2904,21.1774633333333,0.957127949259
"CACHD1",4.70918,4.70918,23.12591,16.3589,10.2032,16.56267,0.32507471813796
"CACNA1A",52.77606,52.77606,117.65061,113.60038,168.3638,133.20493,0.400701077076677
"CACNA1B",9.79179,9.79179,25.27947,15.41937,25.58448,22.09444,0.467289529427862
"CACNA1C",3.04956,3.04956,7.57059,9.09135,9.30742,8.65645333333333,0.419363078783929
"CACNA1D",4.33577,4.33577,7.35523,8.28998,12.89056,9.51192333333333,0.50759217231734
"CACNA1E",6.53477,6.53477,26.35625,17.32606,7.20997,16.9640933333333,0.419435028542122
"CACNA1F",0.33192,0.33192,0.81173,1.7409,2.18484,1.57915666666667,0.516416864944226
"CACNA1G",3.13254,3.13254,2.40205,1.63036,10.90235,4.97825333333333,0.691262107772839
"CACNA1H",20.18518,20.18518,62.13847,52.50322,9.30742,41.31637,0.500637932790549
"CACNA1I",4.02459,4.02459,24.69967,8.01365,10.68387,14.46573,0.324885407930954
"CACNA1S",0.16596,0.16596,0.54667,0.35923,0.24033,0.382076666666667,0.843629031674557
"CACNA2D1",11.65886,11.65886,13.15328,7.79258,11.6889,10.8782533333333,1.06571729401292
"CACNA2D2",4.64695,4.64695,27.86375,16.13783,9.54775,17.8497766666667,0.29957649365607
"CACNA2D3",80.51254,80.51254,158.40258,88.84097,156.65306,134.632203333333,0.600982200367803
"CACNA2D4",4.12832,4.12832,2.31922,3.17783,1.3983,2.29845,1.55476663281238
"CACNB1",35.72342,35.72342,62.81767,55.87447,76.75344,65.1485266666667,0.5551661064963
"CACNB2",12.136,12.136,40.22186,24.98048,46.51525,37.2391966666667,0.343521860945649
"CACNB3",52.11221,52.11221,83.97225,79.47329,183.11147,115.519003333333,0.455824444773687
"CACNB4",4.19055,4.19055,18.90163,10.27958,9.06709,12.7494333333333,0.377510103446688
"CACNG1",0.43565,0.43565,2.45174,1.9067,0.89578,1.75140666666667,0.521787643169191
"CACNG2",4.6262,4.6262,5.93057,6.05169,16.21152,9.39792666666667,0.541088640107098
"CACNG3",37.42453,37.42453,53.70646,44.65537,82.63066,60.33083,0.626512473416714
"CACNG4",21.015,21.015,90.83051,87.708,24.66685,67.73512,0.320287503680797
"CACNG5",0.99577,0.99577,0.6792,0.60793,0.37142,0.55285,1.28523038284445
"CACNG6",0.99577,0.99577,0.21536,0.85663,3.05878,1.37692333333333,0.83964424599307
"CACNG7",82.71154,82.71154,49.6147,60.65503,129.67028,79.9800033333333,1.03373100215152
"CACNG8",32.17597,32.17597,28.67547,17.63003,56.65291,34.31947,0.939311093852767
"CACTIN",37.1341,37.1341,29.20558,26.50031,30.65331,28.7864,1.28025206134343
"CACTIN-AS1",0.66385,0.66385,0.38101,0.38687,0.43697,0.401616666666667,1.18709347539151
"CACUL1",17.23935,17.23935,15.05835,12.49024,8.14945,11.8993466666667,1.4139747129312
"CACYBP",207.82649,207.82649,275.17519,290.81255,329.84535,298.61103,0.696991996589712
"CAD",27.54977,27.54977,26.73727,35.14952,26.6769,29.52123,0.93540692822668
"CADM1",92.15066,92.15066,85.39691,112.68848,117.39147,105.158953333333,0.877464001623226
"CADM2",80.32583,80.32583,45.32414,40.06824,72.29637,52.5629166666667,1.51832340471875
"CADM3",47.71421,47.71421,138.77205,97.60071,112.23525,116.20267,0.415640787023026
"CADM4",267.38627,267.38627,130.34004,171.29865,154.51191,152.0502,1.75358326875757
"CADPS",45.84713,45.84713,44.8603,32.02696,95.1935,57.3602533333333,0.802723211848064
"CADPS2",5.60123,5.60123,5.58269,9.34005,27.76932,14.2306866666667,0.43341644040562
"CAGE1",0,0,0,0.5803,0,0.193433333333333,0.837918610172332
"CALB1",4.29428,4.29428,109.15233,121.00609,10.48723,80.2152166666667,0.0651882764990879
"CALB2",27.77797,27.77797,19.54769,13.31924,35.43811,22.7683466666667,1.21076869180636
"CALCA",0,0,0.34788,0.44213,1.24536,0.678456666666667,0.595785413981495
"CALCB",0.80907,0.80907,0.38101,0.9119,0,0.43097,1.26422636393495
"CALCOCO1",79.43378,79.43378,166.43701,126.09062,95.45568,129.32777,0.617165320944262
"CALCOCO2",61.13642,61.13642,67.17449,65.04872,55.23276,62.4853233333333,0.978752516920315
"CALCP",0,0,0,9.22951,0,3.07650333333333,0.245308274820496
"CALCR",0.29043,0.29043,0.14909,0.11053,0.06555,0.10839,1.16423821939931
"CALCRL",11.82483,11.82483,8.61424,9.06371,6.1831,7.95368333333333,1.43235242107066
"CALD1",150.27901,150.27901,234.50605,543.18721,242.32065,340.004636666667,0.443627428291762
"CALHM1",0.80907,0.80907,0.38101,0.0829,3.27726,1.24705666666667,0.80508428062191
"CALHM2",7.26086,7.26086,9.74071,9.80981,12.2788,10.6097733333333,0.711543607512292
"CALHM3",0,0,0.13253,0.1658,0,0.0994433333333333,0.909551197120967
"CALM1",540.00036,540.00036,986.06515,916.20874,800.32888,900.86759,0.599866727664534
"CALM1P1",0,0,0,0,0,0,1
"CALM1P2",0,0,0,0,0,0,1
"CALM2",1377.84109,1377.84109,1698.23067,1434.80234,1252.56899,1461.86733333333,0.942560585352693
"CALM2P1",0,0,0,0,0,0,1
"CALM2P2",0,0,1.4081,0.52503,0,0.644376666666667,0.608133173056457
"CALM2P3",0,0,0.39758,1.02243,0,0.473336666666667,0.678731496082588
"CALM2P4",0,0,0,0,0,0,1
"CALM3",1010.46244,1010.46244,1861.90118,1580.76127,1246.2985,1562.98698333333,0.646720497535258
"CALML3",1.72186,1.72186,0.49698,0.4974,0.6773,0.557226666666667,1.74788941023358
"CALML4",5.64272,5.64272,8.29949,7.84785,7.60324,7.91686,0.744961791482652
"CALML5",9.87477,9.87477,2.79963,1.54746,1.09242,1.81317,3.86566400182001
"CALML6",0.97503,0.97503,2.88246,3.59233,2.01005,2.82828,0.515905315180708
"CALN1",67.11107,67.11107,97.07583,100.75091,33.27512,77.0339533333333,0.872838900126637
"CALR",370.55268,370.55268,261.27645,302.72249,387.83102,317.276653333333,1.16738905008804
"CALR3",0,0,0.11596,0.80136,0,0.305773333333333,0.765829699896868
"CALR4P",0,0,0.26505,1.10533,0,0.456793333333333,0.686439165473025
"CALU",30.57858,30.57858,27.23424,36.53118,23.203,28.9894733333333,1.05298881540878
"CALY",313.4616,313.4616,764.01661,358.21009,600.76556,574.330753333333,0.546575336322771
"CAMK1",35.5782,35.5782,93.81236,108.48822,88.70452,97.0017,0.373240464196029
"CAMK1D",27.46679,27.46679,68.26783,61.48403,66.92166,65.55784,0.427700027524932
"CAMK1G",9.83328,9.83328,67.37328,38.93528,40.72542,49.0113266666667,0.2166165291356
"CAMK2A",247.30481,247.30481,216.58181,192.96313,671.31406,360.286333333333,0.687279830679083
"CAMK2B",239.87799,239.87799,729.57622,763.23095,606.88311,699.89676,0.343671142095164
"CAMK2D",52.1537,52.1537,28.21163,17.76819,45.66316,30.54766,1.68486981284824
"CAMK2G",55.51444,55.51444,46.93103,61.42876,145.96919,84.7763266666667,0.658858244415378
"CAMK2N1",372.75169,372.75169,262.65142,280.58823,1063.42736,535.55567,0.696575790541921
"CAMK2N2",28.62852,28.62852,15.77068,18.15506,51.38745,28.43773,1.00648113832147
"CAMK4",43.5444,43.5444,156.53064,109.42775,46.82113,104.25984,0.423185138795575
"CAMKK1",18.29736,18.29736,75.75559,52.30978,60.76041,62.9419266666667,0.301795097614095
"CAMKK2",31.69883,31.69883,100.30617,92.76489,127.74762,106.93956,0.302936476672686
"CAMKMT",19.02345,19.02345,33.97654,30.92163,45.09511,36.6644266666667,0.531627633076941
"CAMKV",56.07457,56.07457,466.82541,280.50534,140.87851,296.069753333333,0.192125146904331
"CAMLG",64.91207,64.91207,85.51287,69.77401,115.01,90.09896,0.723521651619294
"CAMP",0,0,0.19879,0,1.04872,0.415836666666667,0.706296159396917
"CAMSAP1",23.11027,23.11027,21.96631,19.06696,23.07191,21.3683933333333,1.07787222983382
"CAMSAP2",11.0365,11.0365,16.59897,12.04811,14.81322,14.4867666666667,0.777211942238858
"CAMSAP3",6.24434,6.24434,9.92294,9.45058,19.77281,13.0487766666667,0.515656286087069
"CAMTA1",189.57062,189.57062,116.35847,261.18968,253.944,210.497383333333,0.901054268362501
"CAMTA2",131.27631,131.27631,154.11202,149.3302,256.30362,186.581946666667,0.705165461551879
"CAND1",17.75798,17.75798,31.35914,24.06858,21.69546,25.7077266666667,0.702342817646529
"CAND2",5.55974,5.55974,7.13988,3.84102,8.95785,6.64625,0.857902893575282
"CANT1",12.94507,12.94507,23.58976,13.89954,8.01836,15.16922,0.862445436452717
"CANX",246.76543,246.76543,374.43771,323.5856,176.86283,291.628713333333,0.846688717514096
"CAP1",215.25331,215.25331,343.82404,316.95362,183.4392,281.40562,0.765754272170646
"CAP1P2",0,0,0,0,0,0,1
