"Hs_symbol","Brain_2_Hippocampus","dHs_Avg_TPM","Spinal_cord","dHs_Avg__TPM","FoldChange"
"TMEM205",114.43112,114.43112,119.29588,119.29588,0.959560044782914
"TMEM206",36.76068,36.76068,65.17204,65.17204,0.570644036363395
"TMEM207",0,0,0,0,1
"TMEM208",53.0665,53.0665,52.07557,52.07557,1.01867017160626
"TMEM209",5.9539,5.9539,9.43443,9.43443,0.666437936715278
"TMEM210",0,0,0.86896,0.86896,0.535056930057358
"TMEM211",0,0,0.34138,0.34138,0.745500902056091
"TMEM212",2.59316,2.59316,3.10343,3.10343,0.875647933558024
"TMEM213",0.47714,0.47714,0.43448,0.43448,1.02973899949808
"TMEM214",35.41224,35.41224,29.73087,29.73087,1.18487501330096
"TMEM215",0,0,0.15517,0.15517,0.865673450660942
"TMEM216",6.92893,6.92893,9.6827,9.6827,0.74222153575407
"TMEM217",1.9708,1.9708,1.70689,1.70689,1.09749564998947
"TMEM218",17.82022,17.82022,18.68265,18.68265,0.95618323752137
"TMEM219",208.76003,208.76003,243.77448,243.77448,0.856952203514026
"TMEM220",8.69228,8.69228,14.55509,14.55509,0.623093791164178
"TMEM221",1.61813,1.61813,0.83793,0.83793,1.42449930084388
"TMEM222",65.14027,65.14027,52.23074,52.23074,1.24252020543017
"TMEM223",21.05649,21.05649,21.56884,21.56884,0.97729834586093
"TMEM225",0,0,0.37241,0.37241,0.728645229924002
"TMEM229A",7.19862,7.19862,5.61721,5.61721,1.23898440581454
"TMEM229B",11.24396,11.24396,4.96549,4.96549,2.05246509507182
"TMEM230",57.31928,57.31928,155.54395,155.54395,0.372542535179418
"TMEM231",9.56359,9.56359,12.63096,12.63096,0.774970361588619
"TMEM232",7.75875,7.75875,6.36203,6.36203,1.18971941162967
"TMEM233",0.49789,0.49789,0.31034,0.31034,1.14313079048186
"TMEM234",16.26432,16.26432,10.24132,10.24132,1.53579117043194
"TMEM235",98.47797,98.47797,41.95838,41.95838,2.31568252806554
"TMEM236",0,0,0,0,1
"TMEM237",7.9662,7.9662,8.47237,8.47237,0.946563531618803
"TMEM238",0.8713,0.8713,0.74482,0.74482,1.07248885271833
"TMEM239",0,0,0,0,1
