"Hs_symbol","Spinal_cord","dHs_Avg_TPM","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","FoldChange"
"ABCB8",16.97577,16.97577,22.108301,23.197393,18.535002,21.280232,526,651,446,0.806803537772856
"ABCB9",19.58265,19.58265,13.147339,16.158433,16.129464,15.1450786666667,347,428,305,1.27485597468752
"ABCC1",4.2517,4.2517,4.341232,5.649856,8.644544,6.21187733333333,333,452,284,0.728201514982322
"ABCC10",35.25497,35.25497,47.610062,53.34286,79.775617,60.2428463333333,605,657,496,0.591987018413073
"ABCC11",1.45861,1.45861,0.569528,0.322889,0.314366,0.402261,8,11,9,1.75331839079886
"ABCC12",0.83793,0.83793,0.051357,0.030371,0,0.0272426666666667,2,1,0,1.78918775440272
"ABCC13",0.49655,0.49655,0.084804,0,0,0.028268,3,0,0,1.45540851217776
"ABCC2",0.83793,0.83793,0.295949,0.49826,0.480955,0.425054666666667,6,12,3,1.28972596139002
"ABCC3",9.86891,9.86891,0.450343,0.479305,0,0.309882666666667,4,3,0,8.29762105918902
"ABCC4",2.23447,2.23447,4.728571,5.721667,5.325962,5.25873333333333,242,283,134,0.5167930678199
"ABCC5",21.22747,21.22747,41.572952,43.888857,45.250485,43.5707646666667,1760,2095,1575,0.498700665475083
"ABCC6",1.48965,1.48965,0.688326,0.691802,0.278854,0.552994,12,21,8,1.60312918143921
"ABCC6P1",0.62069,0.62069,0.625841,0.060185,0.401571,0.362532333333333,5,1,3,1.18946902055168
"ABCC6P2",0,0,0,0.457876,0,0.152625333333333,0,3,0,0.867584609743091
"ABCC8",40.15839,40.15839,44.948896,46.276289,61.444417,50.8898673333333,566,656,646,0.793187420110446
"ABCC9",2.14137,2.14137,1.51249,0.676152,0.605353,0.931331666666667,166,81,48,1.6265305717385
"ABCD1",6.26893,6.26893,6.614678,7.050127,8.893207,7.51933733333333,192,234,142,0.853227160234528
"ABCD1P2",0,0,0,0,0,0,0,0,0,1
"ABCD2",0.62069,0.62069,1.111828,0.947205,1.460715,1.17324933333333,91,82,86,0.745745080944846
"ABCD3",22.4378,22.4378,14.822618,16.086553,17.331049,16.0800733333333,639,817,573,1.3722306422572
"ABCD4",114.29935,114.29935,49.321733,40.153747,59.337327,49.604269,485,502,452,2.27845105321055
"ABCE1",12.13441,12.13441,40.838605,40.205738,45.232008,42.092117,918,1004,713,0.304798439120547
"ABCF1",29.32742,29.32742,46.260735,63.760304,59.860432,56.627157,625,761,519,0.526269585015273
"ABCF2",13.28268,13.28268,26.268774,19.429182,42.181654,29.2932033333333,443,535,432,0.471481336682673
"ABCF3",52.78936,52.78936,49.775637,52.727308,46.588001,49.696982,554,722,457,1.06099727987753
"ABCG1",10.27236,10.27236,7.097047,8.637267,8.443098,8.05913733333333,274,360,227,1.2443083248692
"ABCG2",26.44123,26.44123,0.071606,0.158845,0.025076,0.0851756666666667,4,11,1,25.2873620768619
"ABCG4",1.36551,1.36551,11.183928,15.998495,13.278866,13.4870963333333,433,622,404,0.163283928371292
"ABCG5",0.06207,0.06207,0.093551,0.161392,0.087861,0.114268,3,7,2,0.953154896308608
"ABCG8",0,0,0.279919,0.336852,0.476524,0.364431666666667,19,25,16,0.732905886333626
"ABHD1",8.37926,8.37926,1.219066,0.595476,1.404846,1.07312933333333,17,18,14,4.5242039892028
"ABHD10",12.59993,12.59993,20.734833,22.479951,21.319982,21.5115886666667,502,570,353,0.604130174967957
"ABHD11",12.19648,12.19648,5.79209,6.6316,4.983045,5.802245,56,74,48,1.94001833218298
"ABHD12",242.09863,242.09863,62.698382,74.955257,56.465736,64.7064583333333,591,762,413,3.69976766616676
"ABHD12B",3.19653,3.19653,3.562703,1.658765,4.615794,3.27908733333333,22,21,30,0.980706789344955
