"Hs_symbol","Spinal_cord","dHs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","FoldChange"
"ABCD4",114.29935,114.29935,63.780985,46.864754,55.905635,55.5171246666667,2.0400781299478
"ABCE1",12.13441,12.13441,47.892143,47.474433,56.270122,50.545566,0.254811635980484
"ABCF1",29.32742,29.32742,48.558347,63.90383,48.560484,53.6742203333333,0.554693232296725
"ABCF2",13.28268,13.28268,15.544121,48.430262,33.217097,32.39716,0.427661513733503
"ABCF3",52.78936,52.78936,38.478334,54.941591,52.139742,48.519889,1.086217297458
"ABCG1",10.27236,10.27236,9.640229,12.006134,8.714856,10.1204063333333,1.01366439877392
"ABCG2",26.44123,26.44123,0.524925,0.589011,0.449804,0.521246666666667,18.0386459351322
"ABCG4",1.36551,1.36551,9.828186,11.963485,13.918554,11.9034083333333,0.183324431723143
"ABCG5",0.06207,0.06207,0.143393,0,0.032884,0.058759,1.00312724614383
"ABCG8",0,0,0.175022,0.165036,0.187492,0.17585,0.850448611642641
"ABHD1",8.37926,8.37926,0.980869,0.239741,0.305691,0.508767,6.21650659114363
"ABHD10",12.59993,12.59993,21.945498,27.924148,27.804594,25.8914133333333,0.505735040082187
"ABHD11",12.19648,12.19648,9.519305,7.909704,9.968295,9.13243466666667,1.30239971281664
"ABHD12",242.09863,242.09863,61.002748,58.3518,58.606077,59.3202083333333,4.03013578230071
"ABHD12B",3.19653,3.19653,1.215684,4.568525,10.647778,5.477329,0.64787970473632
"ABHD13",2.0793,2.0793,3.390322,2.495253,3.321503,3.069026,0.756765869768343
"ABHD14A",68.67892,68.67892,15.051411,20.447943,23.789903,19.7630856666667,3.3559038920628
"ABHD14B",19.67575,19.67575,7.978791,5.158438,4.171231,5.76948666666667,3.05425669893237
"ABHD15",2.48274,2.48274,1.666242,0.980568,1.679204,1.44200466666667,1.42618073074935
"ABHD16A",94.22016,94.22016,38.772235,39.606803,45.286219,41.2217523333333,2.25523941423022
"ABHD16B",4.31377,4.31377,0,0,0,0,5.31377
"ABHD2",5.2448,5.2448,36.149134,28.486848,25.146828,29.9276033333333,0.201916712804883
"ABHD3",7.97582,7.97582,9.642693,6.919606,4.384585,6.98229466666667,1.12446613095883
"ABHD4",24.02055,24.02055,39.666519,10.931269,10.1797,20.2591626666667,1.17693017322978
"ABHD5",29.73087,29.73087,7.984091,8.165592,14.175874,10.108519,2.76642367898007
"ABHD6",34.57222,34.57222,8.283415,13.65003,12.504431,11.479292,2.85049985207494
"ABHD8",21.91022,21.91022,6.351783,4.187949,6.20397,5.581234,3.48114350591394
"ABI1",28.64467,28.64467,15.274284,15.178726,16.016221,15.4897436666667,1.79776414959836
