"Hs_symbol","Spinal_cord","dHs_Avg_TPM","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","FoldChange"
"ABCC5",21.22747,21.22747,40.658816,35.616212,29.02946,35.101496,0.615693875954614
"ABCC6",1.48965,1.48965,1.563937,2.080382,1.038311,1.56087666666667,0.972186607971489
"ABCC6P1",0.62069,0.62069,0.326616,0.114229,0.382804,0.274549666666667,1.27157853662823
"ABCC6P2",0,0,0.427513,0.600883,0.259824,0.429406666666667,0.699590972478091
"ABCC8",40.15839,40.15839,59.334917,46.332088,44.755074,50.140693,0.804807044753969
"ABCC9",2.14137,2.14137,2.011239,0.868414,0.975146,1.284933,1.37481930542384
"ABCD1",6.26893,6.26893,10.618352,6.729346,8.415782,8.58782666666667,0.758141573968101
"ABCD2",0.62069,0.62069,1.015291,0.95263,0.78988,0.919267,0.844431754414576
"ABCD3",22.4378,22.4378,11.715671,11.503515,12.736033,11.985073,1.8049802261412
"ABCD4",114.29935,114.29935,58.610022,52.354869,50.095508,53.6867996666667,2.10835797126155
"ABCE1",12.13441,12.13441,47.293811,49.347163,47.386876,48.0092833333333,0.267998409825077
"ABCF1",29.32742,29.32742,49.941811,50.936379,55.648464,52.1755513333333,0.57032638570856
"ABCF2",13.28268,13.28268,19.522918,29.608502,27.332976,25.488132,0.539210541536111
"ABCF3",52.78936,52.78936,46.460597,40.982435,31.451225,39.631419,1.32383661028427
"ABCG1",10.27236,10.27236,2.981022,2.516257,2.216058,2.57111233333333,3.15654030112186
"ABCG2",26.44123,26.44123,0,0.032841,0.010415,0.0144186666666667,27.051187938182
"ABCG4",1.36551,1.36551,12.913126,10.418173,10.808669,11.3799893333333,0.191075285794538
"ABCG5",0.06207,0.06207,0.106507,0.151389,0.042838,0.100244666666667,0.965303474924062
"ABCG8",0,0,0.375379,0.464493,0.42013,0.420000666666667,0.7042250214906
"ABHD1",8.37926,8.37926,0.400221,0.717874,0.22597,0.448021666666667,6.47729258194802
"ABHD10",12.59993,12.59993,22.938499,24.352688,21.626771,22.9726526666667,0.567310184196275
"ABHD11",12.19648,12.19648,6.937606,7.064101,6.864255,6.95532066666667,1.65882439601639
"ABHD12",242.09863,242.09863,64.546737,62.306897,62.683147,63.178927,3.78782633745186
"ABHD12B",3.19653,3.19653,1.904262,0.479376,0.66991,1.01784933333333,2.07970433207104
"ABHD13",2.0793,2.0793,2.367033,2.196661,1.88721,2.15030133333333,0.977462050191177
"ABHD14A",68.67892,68.67892,22.540257,19.428712,18.954588,20.3078523333333,3.2701052602564
"ABHD14B",19.67575,19.67575,3.320588,2.072545,1.528819,2.30731733333333,6.25151683862208
"ABHD15",2.48274,2.48274,0.626613,0.218831,0.501833,0.449092333333333,2.403394124644
"ABHD16A",94.22016,94.22016,37.200716,47.134845,37.037113,40.457558,2.29681063221331
"ABHD16B",4.31377,4.31377,0,0,0,0,5.31377
"ABHD2",5.2448,5.2448,13.588883,13.921576,10.695473,12.7353106666667,0.454652985400257
"ABHD3",7.97582,7.97582,1.597983,1.039653,1.180823,1.27281966666667,3.94920025184576
"ABHD4",24.02055,24.02055,25.455379,4.883742,6.507743,12.282288,1.88375301002357
"ABHD5",29.73087,29.73087,10.403327,7.362645,6.909279,8.22508366666667,3.33122940782
"ABHD6",34.57222,34.57222,11.668832,13.764524,17.829011,14.420789,2.30677042530055
"ABHD8",21.91022,21.91022,9.661101,10.705984,15.55678,11.9746216666667,1.76577171871293
"ABI1",28.64467,28.64467,25.555257,19.141618,16.288946,20.328607,1.38990183465803
"ABI2",34.38601,34.38601,43.432644,40.900572,32.384224,38.9058133333333,0.886738222935606
"ABI3",12.78613,12.78613,0.107534,0.068506,0,0.05868,13.0219990932104
"ABI3BP",4.40687,4.40687,1.876574,1.343379,0.53984,1.25326433333333,2.39957199872836
"ABL1",29.04811,29.04811,18.289946,25.341736,17.462119,20.3646003333333,1.40644381505787
"ABL2",3.69308,3.69308,4.651018,3.942953,3.604234,4.06606833333333,0.926375187069789
"ABLIM1",41.71011,41.71011,78.965193,95.017141,84.824801,86.269045,0.489407326503917
"ABLIM2",26.78261,26.78261,29.024891,22.325349,27.889239,26.4131596666667,1.01347711602113
"ABLIM3",56.73071,56.73071,59.162438,43.070208,35.850085,46.027577,1.22759269523922
"ABO",1.36551,1.36551,0.94183,1.656334,1.424069,1.34074433333333,1.01058025274866
"ABR",123.85792,123.85792,475.702567,515.55903,441.250144,477.503913666667,0.260933957766912
"ABRA",0.06207,0.06207,0.023562,0,0.016861,0.0134743333333333,1.04794957806858
"ABRACL",5.05859,5.05859,17.048097,16.217016,13.732567,15.6658933333333,0.36353226789723
"ABT1",4.43791,4.43791,3.263841,4.270345,3.155402,3.563196,1.19168889523921
"ABTB1",48.9411,48.9411,3.761994,3.647191,4.428543,3.94590933333333,10.097455621238
"ABTB2",42.02045,42.02045,1.172037,1.371578,1.223632,1.255749,19.0714702743967
"ACAA1",75.50647,75.50647,39.895704,46.043135,40.381622,42.1068203333333,1.77481125743899
"ACAA2",75.22716,75.22716,13.144815,9.897038,9.823666,10.955173,6.37608171793081
"ACACA",32.49292,32.49292,100.200507,77.444775,45.429501,74.358261,0.444449215726992
"ACACB",5.52411,5.52411,5.011705,4.261474,2.549066,3.94074833333333,1.32047000977247
"ACAD10",18.43438,18.43438,12.856185,11.636386,10.582543,11.6917046666667,1.53126632792222
"ACAD11",18.15507,18.15507,18.399625,10.629317,9.67092,12.899954,1.37806715043805
"ACAD8",12.44476,12.44476,23.137744,24.865645,22.47821,23.4938663333333,0.54890313423909
"ACAD9",16.85163,16.85163,17.669058,19.626573,12.870046,16.7218923333333,1.0073207569613
"ACADL",1.24137,1.24137,0.160831,0.314712,0.317482,0.264341666666667,1.77275657292003
"ACADM",40.59287,40.59287,31.655912,30.807253,30.544017,31.002394,1.29967995519335
"ACADS",15.76543,15.76543,3.004861,4.19166,2.473391,3.223304,3.96974264698918
"ACADSB",5.80342,5.80342,3.572105,3.466148,3.181139,3.406464,1.5439635953
"ACADVL",558.18304,558.18304,223.022625,188.605112,238.198574,216.608770333333,2.56967142980241
"ACAN",2.23447,2.23447,0.292759,0.315011,0.284229,0.297333,2.49316867758702
"ACAP1",87.42364,87.42364,11.286318,12.913279,6.490646,10.230081,7.87382032240017
"ACAP2",12.22752,12.22752,11.321554,4.989484,5.03907,7.11670266666667,1.62966669388078
"ACAP3",106.66491,106.66491,201.068487,222.065102,155.227804,192.787131,0.555583383914177
"ACAT1",92.14086,92.14086,109.114332,109.952951,112.925312,110.664198333333,0.83411569142297
"ACAT2",32.58602,32.58602,119.603573,70.690947,60.766009,83.686843,0.396590766761727
"ACBD3",12.25855,12.25855,65.899098,64.268898,51.033552,60.400516,0.215935481714844
"ACBD4",16.63439,16.63439,3.64765,3.399864,4.113433,3.72031566666667,3.73584972812906
"ACBD5",44.13078,44.13078,28.434973,21.567845,22.642447,24.2150883333333,1.78983231799109
"ACBD6",167.8025,167.8025,45.008644,45.056697,44.61445,44.8932636666667,3.67815418894702
"ACBD7",9.15512,9.15512,1.034596,0.949647,0.691054,0.891765666666667,5.36806443786114
"ACCS",16.07577,16.07577,5.273883,5.411674,5.203006,5.29618766666667,2.7120808501949
"ACCSL",0,0,0,0,0,0,1
"ACD",14.86543,14.86543,12.408905,8.62736,10.509139,10.5151346666667,1.37778935802864
"ACE",5.30687,5.30687,5.405634,2.557996,4.848241,4.27062366666667,1.19660791566033
"ACE2",0.0931,0.0931,0.05341,0,0.099057,0.0508223333333333,1.04023293503152
"ACER1",0,0,0.145606,0.072291,0.066789,0.0948953333333333,0.913329310625125
"ACER2",2.94826,2.94826,0.989215,1.238033,0.764366,0.997204666666667,1.97689303750208
"ACER3",43.29286,43.29286,5.100368,4.487993,5.453281,5.01388066666667,7.365104573076
"ACHE",34.35498,34.35498,150.826048,123.139185,143.64468,139.203304333333,0.252169377662766
"ACIN1",77.08922,77.08922,80.771096,83.773455,54.064282,72.869611,1.05712239367282
"ACLY",28.27225,28.27225,258.665498,200.768091,176.389823,211.941137333333,0.137466392668777
"ACMSD",0.34138,0.34138,0.069346,0.050982,0.281347,0.133891666666667,1.18298779277856
"ACO1",7.69651,7.69651,12.481148,12.32891,11.425298,12.078452,0.664949490964221
"ACO2",73.39614,73.39614,69.325062,71.569862,65.685688,68.860204,1.06492875400135
"ACOT1",1.36551,1.36551,2.514575,1.663513,2.042674,2.07358733333333,0.769625113412536
"ACOT11",1.61378,1.61378,1.059936,0.383645,0.558014,0.667198333333333,1.56776788204563
"ACOT12",0,0,0.137311,0.78691,0.64326,0.522493666666667,0.656817182162334
"ACOT13",37.45841,37.45841,14.096614,5.754241,11.441671,10.430842,3.36444244439736
"ACOT2",7.4172,7.4172,9.413227,10.383521,11.05022,10.2823226666667,0.746052054056954
"ACOT4",0.65172,0.65172,0.689296,0.540441,0.531756,0.587164333333333,1.04067358704507
"ACOT6",0.37241,0.37241,0.172208,0.138878,0.065032,0.125372666666667,1.21951602402523
"ACOT7",54.80659,54.80659,144.140782,166.680788,158.146086,156.322552,0.354727210374772
"ACOT8",44.47216,44.47216,21.302306,21.395702,21.651743,21.449917,2.02549345728093
"ACOT9",12.19648,12.19648,15.355328,9.120068,8.944808,11.140068,1.08701862295994
"ACOX1",43.5101,43.5101,32.7541,26.088828,22.676301,27.1730763333333,1.57988071566531
"ACOX2",11.35856,11.35856,0.363302,0.170177,0,0.177826333333333,10.4926844053693
"ACOX3",11.85511,11.85511,12.315552,13.017171,11.277513,12.203412,0.973620303600312
"ACOXL",0,0,0.066887,0.263478,0.058643,0.129669333333333,0.885214788516286
"ACP1",54.83762,54.83762,61.38661,54.776346,47.901782,54.688246,1.00268232545877
"ACP2",24.85848,24.85848,93.073029,93.19527,67.827959,84.6987526666667,0.301736947100957
"ACP5",37.21013,37.21013,5.678997,0.947109,4.648666,3.75825733333333,8.03027817186853
"ACP6",6.70341,6.70341,7.807588,6.333138,5.476793,6.539173,1.02178448485
"ACPP",1.36551,1.36551,0.058078,0.051093,0.026328,0.0451663333333333,2.263285684352
"ACR",1.05517,1.05517,0.12567,0.035491,0.308103,0.156421333333333,1.7771809813263
"ACRBP",2.88619,2.88619,0.628518,0.288323,1.583194,0.833345,2.11972651083129
"ACRV1",1.86206,1.86206,0.438865,0.108582,0.152571,0.233339333333333,2.3205778998913
"ACSBG1",144.6509,144.6509,0.55242,0.59011,0.153687,0.432072333333333,101.706384942846
"ACSBG2",1.45861,1.45861,0.197015,0.231607,0.314471,0.247697666666667,1.97051743037109
"ACSF2",25.57227,25.57227,3.790468,0.103387,0.401622,1.43182566666667,10.9268811347085
"ACSF3",30.53776,30.53776,15.936521,17.370704,11.494527,14.9339173333333,1.9792847760057
"ACSL1",69.45478,69.45478,66.084552,37.18949,48.558232,50.610758,1.36511810192751
"ACSL3",27.62053,27.62053,73.488712,65.270923,63.439938,67.3998576666667,0.418429671878508
"ACSL4",11.26545,11.26545,54.339586,41.762906,53.930897,50.0111296666667,0.240446547256429
"ACSL5",6.39307,6.39307,0.142479,0.46299,0.406441,0.337303333333333,5.52834186210558
