"Hs_symbol","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Hs_Avg_TPM","FoldChange"
"ABAT","Abat",1.074213,3.316001,2.055263,167,195,173,2.14849233333333,20.235765,20.679629,22.875907,1501,1015,1095,0.294678,2.43187289297674
"ABCA1","Abca1",1.851094,1.818334,1.49918,577,504,336,1.72286933333333,9.443781,4.284659,2.688057,1855,645,360,20.1129566666667,0.128966746643885
"ABCA13","Abca13",0,0,0,0,0,0,0,0.473253,0.153458,0.298046,16,13,6,19.4391393333333,0.0489257391757755
"ABCA17P","Abca17",0,0,0,0,0,0,0,3.708489,2.524203,3.578368,36,18,16,0.322248333333333,0.756287585917421
"ABCA2","Abca2",8.286462,6.684126,6.658147,789,757,638,7.20957833333333,65.073528,68.481942,65.791533,2021,1255,1196,94.1297176666667,0.0862987774451259
"ABCA3","Abca3",1.153333,1.46847,1.264998,231,222,189,1.29560033333333,27.609577,42.459618,39.449413,3105,3571,2969,25.8438886666667,0.0855166835863051
"ABCA4","Abca4",0.723448,0.577212,0.748856,43,29,37,0.683172,1.143229,0.018773,0.021485,17,1,2,28.9589186666667,0.0561826686312532
"ABCA5","Abca5",0.467171,0.588468,0.652318,130,114,130,0.569319,12.626236,11.918269,12.828291,670,562,506,49.0491633333333,0.0313555491337218
"ABCA6","Abca6",1.363668,1.287738,1.481468,213,189,180,1.37762466666667,1.147123,0.606076,1.259058,36,30,11,190.939684,0.0123873532409622
"ABCA7","Abca7",0.693706,0.552311,0.58948,167,127,101,0.611832333333333,22.668326,32.522392,34.714621,715,882,818,0.154254,1.39642776488826
"ABCA8","Abca8b",1.19705,1.355302,1.389084,299,302,226,1.313812,41.403634,26.861255,35.063602,1731,991,983,136.190888,0.0168656390648918
"ABCA9","Abca9",1.730124,1.818871,1.712961,360,349,256,1.75398533333333,1.381284,1.137468,5.074584,58,43,31,55.988788,0.0483250377834555
"ABCB1","Abcb1a",22.341597,11.92902,15.633074,306,260,232,16.6345636666667,0.30007,0.314046,0.298593,3,1,5,4.06970533333333,3.47841985030557
"ABCB10","Abcb10",3.70404,4.009373,4.926604,497,533,463,4.213339,4.896031,7.84716,8.051324,306,313,320,11.1683663333333,0.428433764828305
"ABCB11","Abcb11",0,0,0,0,0,0,0,1.175122,1.322998,0.805546,11,4,8,37.654127,0.0258704587999103
"ABCB4","Abcb4",2.855218,3.428858,3.224924,367,397,282,3.16966666666667,2.033786,0.852535,0.451585,44,12,10,0.370088,3.04335682574161
"ABCB5","Abcb5",0,0,0,0,0,0,0,0.028091,0.34729,0.350931,3,10,12,135.154633666667,0.00734459028730669
"ABCB6","Abcb6",4.179214,5.497167,4.20283,223,255,203,4.62640366666667,54.080406,38.532465,32.137188,870,459,384,81.0146936666667,0.0686023859277476
"ABCB7","Abcb7",3.502681,3.231758,4.404847,659,544,597,3.71309533333333,11.18593,7.852267,6.075745,297,164,171,0.421135333333333,3.31642963395933
"ABCB8","Abcb8",15.227893,15.429945,18.285769,744,727,657,16.3145356666667,18.529731,23.651367,21.054635,617,605,535,0.0338166666666667,16.7481684373438
"ABCB9","Abcb9",1.277403,0.974135,1.355097,117,101,104,1.20221166666667,15.865448,14.222772,16.455124,442,382,371,1.56304333333333,0.859217492746254
"ABCC1","Abcc1",2.436638,4.138721,7.941157,446,428,346,4.83883866666667,5.953924,4.982028,4.693158,660,375,308,0.242104,4.70076472394153
"ABCC10","Abcc10",0.487548,0.662952,0.381423,47,52,34,0.510641,35.009112,58.850277,42.406563,641,664,643,0.205172333333333,1.253464718877
"ABCC12","Abcc12",0,0,0,0,0,0,0,0,0.024085,0,0,1,0,14.3204853333333,0.0652720836346003
"ABCC2","Abcc2",0.003846,0.018808,0,1,1,0,0.00755133333333333,0.146712,0.308158,0.143396,16,10,4,0.723067666666667,0.584742754347237
"ABCC3","Abcc3",0.252275,0.270166,0.237298,18,12,7,0.253246333333333,0.822929,0,0.384356,11,0,3,0.0271823333333333,1.22008166677321
"ABCC5","Abcc5",10.385666,13.130438,7.183393,582,426,255,10.2331656666667,24.407761,29.952643,29.4664,1378,1518,1344,19.9038253333333,0.537373685798752
"ABCC6","Abcc6",0,0,0,0,0,0,0,0.709936,0.292227,1.18336,40,15,21,22.040551,0.0434017398281838
"ABCC9","Abcc9",19.684747,22.99213,23.672163,4837,5123,4198,22.1163466666667,1.933667,0.299867,0.41351,229,35,44,0,23.1163466666667
"ABCD1","Abcd1",2.313105,2.752033,3.025499,286,317,273,2.696879,7.188261,4.56707,5.591021,256,128,147,12.7466093333333,0.268930243840978
"ABCD2","Abcd2",0.907229,0.389841,2.345446,72,65,60,1.214172,0.823714,0.905926,0.985813,90,77,76,6.260462,0.304962962412034
"ABCD3","Abcd3",13.628574,15.300532,16.369644,1441,1359,1208,15.0995833333333,22.412866,15.820691,18.169306,1142,727,822,0.244473666666667,12.9368613933441
"ABCD4","Abcd4",0.85394,1.106506,1.124445,67,57,53,1.028297,63.780985,46.864754,55.905635,1013,556,577,11.4227743333333,0.16327246600283
"ABCE1","Abce1",6.423351,6.420801,6.784214,778,717,590,6.54278866666667,47.892143,47.474433,56.270122,1284,1130,1197,74.918402,0.0993538913881073
"ABCF1","Abcf1",14.572771,13.528038,17.357068,822,833,714,15.1526256666667,48.558347,63.90383,48.560484,990,770,800,18.717929,0.819184695647634
"ABCF2","Abcf2",7.208005,7.781313,7.405033,605,609,448,7.46478366666667,15.544121,48.430262,33.217097,485,502,554,2.28080666666667,2.58009219277373
"ABCF3","Abcf3",56.843927,45.142544,60.394936,472,407,364,54.1271356666667,38.478334,54.941591,52.139742,684,676,609,120.43151,0.453977189830437
"ABCG1","Abcg1",0.251662,0.952119,0.477321,40,67,36,0.560367333333333,9.640229,12.006134,8.714856,505,488,311,52.408327,0.0292158062418494
"ABCG2","Abcg2",10.269557,11.087051,8.296503,328,289,209,9.88437033333333,0.524925,0.589011,0.449804,43,28,26,13.726669,0.739092481357008
"ABCG5","Abcg5",0,0,0,0,0,0,0,0.143393,0,0.032884,8,0,1,55.182183,0.0177992371709729
"ABCG8","Abcg8",0,0,0,0,0,0,0,0.175022,0.165036,0.187492,13,11,10,36.5177673333333,0.0266540381018764
"ABHD1","Abhd1",0.884254,0.707662,0.256382,35,26,7,0.616099333333333,0.980869,0.239741,0.305691,35,9,12,32.5293466666667,0.0481995473815774
"ABHD10","Abhd10",2.955729,5.14223,4.358272,111,153,102,4.152077,21.945498,27.924148,27.804594,652,596,653,23.189846,0.212985109537283
"ABHD11","Abhd11",8.843995,9.876887,10.511257,261,260,220,9.74404633333333,9.519305,7.909704,9.968295,144,94,107,0.793785666666667,5.98959314537207
"ABHD12","Abhd12",14.072634,12.994731,16.910777,328,371,288,14.6593806666667,61.002748,58.3518,58.606077,751,570,568,0.162103666666667,13.4750290493304
"ABHD13","Abhd13",1.612849,1.579601,1.789031,270,250,213,1.66049366666667,3.390322,2.495253,3.321503,307,176,213,23.5291876666667,0.108462363402359
"ABHD14A","Abhd14a",2.996884,2.658814,3.062354,93,81,73,2.90601733333333,15.051411,20.447943,23.789903,233,218,216,7.28496833333333,0.471458329854811
"ABHD14B","Abhd14b",2.264105,1.928432,2.675018,78,66,63,2.289185,7.978791,5.158438,4.171231,200,107,84,35.539614,0.0900169607703026
"ABHD15","Abhd15",0.151803,0.17299,0.243191,13,15,13,0.189328,1.666242,0.980568,1.679204,104,46,69,138.210739,0.00854336388516693
"ABHD16A","Abhd16a",14.283377,10.868275,15.117416,382,329,324,13.4230226666667,38.772235,39.606803,45.286219,679,661,613,13.532581,0.992461192314474
"ABHD16B","Abhd16b",0.017708,0,0.024841,1,0,1,0.014183,0,0,0,0,0,0,12.3178646666667,0.0761520728272906
"ABHD17A","Abhd17a",5.672737,6.770556,6.724789,179,222,144,6.38936066666667,19.891946,16.379027,21.502911,759,552,573,17.5959036666667,0.397364968066175
"ABHD17B","Abhd17b",1.521296,1.357875,1.700168,97,77,81,1.52644633333333,8.626714,9.022235,10.593376,391,316,341,65.3800016666667,0.0380603535688372
"ABHD17C","Abhd17c",4.881013,3.750363,3.185882,225,242,149,3.939086,13.219325,17.660275,23.594158,422,387,432,12.5338163333333,0.364944068868084
"ABHD18","Abhd18",9.310011,9.508344,9.476552,916,811,624,9.43163566666667,5.486353,3.54464,4.951791,236,155,188,0.616735,6.45228541886374
"ABHD2","Abhd2",1.304402,1.438202,1.694681,300,309,284,1.479095,36.149134,28.486848,25.146828,3943,2908,2699,29.3014216666667,0.0818144781215711
"ABHD3","Abhd3",0.888587,0.607436,0.76617,29,24,18,0.754064333333333,9.642693,6.919606,4.384585,104,59,62,110.301950333333,0.0157595112042526
"ABHD4","Abhd4",7.115654,8.510248,7.961919,372,402,389,7.862607,39.666519,10.931269,10.1797,306,154,175,7.10910433333333,1.09292057861055
"ABHD5","Abhd5",15.998376,19.309326,20.137932,581,531,496,18.481878,7.984091,8.165592,14.175874,242,266,255,49.767848,0.38374441240842
"ABHD6","Abhd6",1.14656,1.497619,1.057626,62,71,46,1.233935,8.283415,13.65003,12.504431,185,149,202,0.716666,1.30132186459102
"ABHD8","Abhd8",1.768592,1.567081,2.48411,113,106,108,1.93992766666667,6.351783,4.187949,6.20397,187,106,136,1.21588,1.32675400593293
"ABI1","Abi1",6.582961,5.608406,7.829215,235,207,167,6.67352733333333,15.274284,15.178726,16.016221,630,503,508,61.643825,0.122494552868273
"ABI2","Abi2",3.10948,2.06312,2.241759,181,174,166,2.471453,55.693149,35.541915,32.008028,3195,2224,2142,23.091872,0.144092289714971
"ABI3","Abi3",1.239273,1.75973,1.679233,55,64,50,1.559412,0.080843,0.106816,0.123214,1,1,1,67.2956426666667,0.0374754801340962
"ABITRAM","Abitram",0.446832,0.177343,0.347871,40,22,34,0.324015333333333,15.771021,15.579426,12.779188,218,171,188,17.302452,0.0723408717768162
"ABL1","Abl1",4.576983,4.469049,5.447473,515,535,499,4.83116833333333,25.90656,19.930765,26.375471,2130,1113,1157,1.902864,2.00876387365489
"ABL2","Abl2",1.102341,1.060429,1.307922,344,316,270,1.15689733333333,6.897981,5.749299,4.319143,1188,807,647,0,2.15689733333333
"ABLIM1","Ablim1",34.740714,33.153558,32.594338,6250,5160,4006,33.4962033333333,40.278722,80.432426,57.957359,4547,5302,4617,2.11902333333333,11.0599375659261
"ABLIM2","Ablim2",3.791717,5.042325,4.622022,160,167,153,4.48535466666667,8.029056,12.377298,11.75464,245,279,223,20.475542,0.255423340033358
"ABLIM3","Ablim3",4.102483,4.042407,4.089614,594,546,424,4.078168,55.789335,56.612711,66.861423,2333,2247,2011,0.0896073333333333,4.66054866248453
"ABO","Abo",0,0,0,0,0,0,0,0.183863,0.173732,0.075984,22,16,6,176.944523333333,0.0056197290102981
"ABR","Abr",2.378324,2.984923,3.713034,327,330,296,3.025427,197.043613,257.031715,274.908047,1875,1447,1461,967.458404,0.00415653060923823
"ABRA","Abra",4.116302,4.098666,3.441195,388,344,235,3.88538766666667,0.063103,0.063272,0,3,2,0,84.6679683333333,0.0570270050955062
"ABRACL","Abracl",31.510388,28.625277,45.292012,127,91,115,35.142559,11.912176,11.774747,14.945013,113,90,104,12.372652,2.70272186848203
"ABRAXAS1","Abraxas1",2.62357,2.493772,2.986119,96,98,87,2.70115366666667,7.491499,5.007126,3.562498,275,121,99,1.305515,1.60534790130043
"ABRAXAS2","Abraxas2",4.709873,4.263116,4.741499,222,212,183,4.571496,7.8423,8.782454,8.707067,412,353,319,40.735399,0.133495692709204
"ABT1","Abt1",0.499136,0.4238,0.530647,73,58,56,0.484527666666667,4.02236,4.495368,5.868998,215,183,215,0.757992333333333,0.844444903722561
"ABTB1","Abtb1",5.82147,7.44892,5.830129,156,143,134,6.36683966666667,8.227788,5.243431,7.957303,219,121,132,16.019151,0.432855884918505
"ABTB2","Abtb2",1.685686,1.76883,2.249357,255,274,221,1.901291,3.451672,3.840048,4.832426,318,267,292,0.286513666666667,2.25515754334518
"ACAA1","Acaa1b",0.028191,0.028929,0,1,1,0,0.01904,37.51069,45.687812,49.761725,672,620,569,5.97435133333333,0.146112513020327
"ACAA2","Acaa2",248.985981,224.128048,293.242253,7301,6225,5954,255.452094,24.508458,12.44024,15.340642,617,249,284,58.23203,4.32961851889932
"ACACA","Acaca",1.200972,0.900763,0.781195,175,153,147,0.960976666666667,52.07295,52.263549,60.592741,2805,2326,1935,5.477393,0.30274165341931
"ACACB","Acacb",15.474208,14.95871,16.499206,4311,3965,3460,15.6440413333333,5.82404,4.214339,4.586609,290,101,72,2.25061966666667,5.12026722289565
"ACAD10","Acad10",0.598761,1.056781,1.076999,53,41,50,0.910847,24.09517,13.699953,18.003391,465,241,262,17.560885,0.102950209540116
"ACAD11","Acad11",20.220395,25.148927,24.795126,1888,1884,1652,23.3881493333333,21.296656,12.759557,10.656436,568,268,245,21.7210943333333,1.073370365685
"ACAD8","Acad8",12.259437,10.062579,9.130213,439,390,308,10.4840763333333,29.394922,40.292933,40.865493,722,686,705,0.689141333333333,6.79876580290104
"ACAD9","Acad9",14.866479,14.620374,16.037408,450,448,379,15.1747536666667,20.618117,20.88167,21.133159,574,471,475,0.0975493333333333,14.7371541081828
"ACADL","Acadl",202.319337,208.242625,216.801061,9518,8357,7420,209.121007666667,0.63777,0.16945,0.095375,23,5,4,20.6669163333333,9.69778091326302
"ACADM","Acadm",734.222656,649.816797,808.160715,11829,9984,9558,730.733389333333,31.38729,31.831206,37.816546,662,516,582,0.0799946666666667,677.53426189759
"ACADS","Acads",43.777134,43.427381,54.486167,1956,1744,1558,47.2302273333333,3.919399,3.709052,4.464577,114,83,88,42.0700743333333,1.11980831423842
"ACADSB","Acadsb",128.314701,142.932978,153.196559,1614,1467,1364,141.481412666667,7.753468,4.374615,3.829584,527,304,282,0,142.481412666667
"ACADVL","Acadvl",139.431027,132.111617,154.831617,9440,8497,7659,142.124753666667,417.243124,362.292121,441.590667,2854,1977,2042,21.3632396666667,6.40000088538156
"ACAN","Acan",0.015363,0.024935,0.010729,4,3,2,0.017009,0.61022,0.60714,1.230414,58,65,66,6.38825666666667,0.137652093840811
"ACAP1","Acap1",0.252565,0.107747,0.114382,16,5,7,0.158231333333333,11.702953,8.178989,5.156753,76,54,37,0.286290333333333,0.900443160706849
"ACAP2","Acap2",2.510354,3.088726,3.307991,345,341,264,2.96902366666667,18.902318,8.651381,7.061189,805,452,432,43.3981663333333,0.0893961168771692
"ACAT1","Acat1",93.491079,94.716414,110.493341,5260,5078,4190,99.5669446666667,113.018886,107.505607,145.26679,828,668,739,5.72257333333333,14.959590573451
"ACAT2","Acat2",0.66719,0.447738,1.304108,34,26,33,0.806345333333333,94.414141,82.903806,86.300184,2278,1511,1430,29.2640943333333,0.0596860858758227
"ACBD3","Acbd3",2.402008,2.812018,2.585089,261,286,201,2.599705,43.967242,69.083492,58.658097,939,748,717,110.271016333333,0.0323507874612775
"ACBD5","Acbd5",2.76439,3.148991,3.874531,318,223,239,3.26263733333333,15.374346,21.627524,21.759596,885,847,801,69.6416526666667,0.0603416988762598
"ACBD6","Acbd6",7.456026,9.740249,9.378408,138,215,119,8.85822766666667,30.045769,28.430908,40.527744,567,434,470,0.168356333333333,8.43768924377808
"ACBD7","Acbd7",0.204416,0.219119,0.143098,2,2,1,0.188877666666667,1.327791,0.639002,1.059258,81,30,45,9.54563233333333,0.112736498778625
"ACCS","Accs",0.560678,1.577455,1.883585,37,56,40,1.34057266666667,14.477036,14.943544,19.448083,190,194,188,5.07421866666667,0.385329010216732
"ACCSL","Accsl",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0243106666666667,0.976266315037235
"ACD","Acd",1.489058,1.256628,1.749415,61,49,54,1.498367,13.137008,9.048602,13.611827,198,130,153,16.123027,0.145906853969219
"ACE","Ace",5.44445,6.520775,5.744452,634,788,585,5.90322566666667,6.841322,8.479831,10.149919,209,183,161,7.08539466666667,0.853789573825792
"ACE2","Ace2",0.168836,0.249512,0.378854,15,17,20,0.265734,0,0.095415,0.225191,0,0,1,0.0951363333333333,1.15577756072379
"ACER1","Acer1",0.013295,0,0,1,0,0,0.00443166666666667,0,0,0,0,0,0,0,1.00443166666667
"ACER2","Acer2",2.221571,2.142382,1.847638,289,254,156,2.07053033333333,2.060095,1.631226,2.154176,103,62,73,68.53546,0.0441577625765808
"ACER3","Acer3",0.926464,1.225774,1.221333,111,103,103,1.12452366666667,7.649808,4.8069,3.760922,518,375,350,2.440747,0.617460006988792
"ACHE","Ache",0.171761,0.250681,0.356746,15,19,19,0.259729333333333,52.081818,67.700639,62.028934,1662,1679,1380,28.58467,0.0425804760821511
"ACIN1","Acin1",11.374627,9.188783,8.456991,624,549,377,9.673467,122.816081,100.430979,109.79734,3076,1982,1940,2.00431066666667,3.55271747307092
"ACKR1","Ackr1",0.082963,0.172283,0.044259,3,5,1,0.099835,2.616941,4.886551,6.520383,86,122,141,174.24852,0.00627585899156238
"ACKR2","Ackr2",1.140292,0.306534,0.79591,18,14,17,0.747578666666667,0.123068,0.277159,0.172717,7,9,4,0.156066666666667,1.51165907387117
"ACKR3","Ackr3",7.941244,7.112321,8.687354,750,644,565,7.91363966666667,2.012493,0.697493,1.28327,52,13,22,4.96819266666667,1.49352411433545
"ACKR4","Ackr4",0.754575,1.177246,1.223792,37,56,45,1.051871,0.105038,0.101865,0.037545,4,3,1,82.8883526666667,0.0244595457506858
"ACLY","Acly",5.502024,5.385161,3.778894,400,366,307,4.888693,200.668971,184.300449,184.729433,7551,5465,5135,0.0219273333333333,5.76234024467493
"ACMSD","Acmsd",0,0.051825,0.043596,0,3,2,0.031807,0.185122,0.039662,0.088863,6,1,2,104.427182666667,0.00978691618140177
"ACO1","Aco1",3.025734,3.427605,3.641342,344,340,322,3.36489366666667,9.64322,6.563351,6.68116,860,462,416,12.6569093333333,0.319610649827848
"ACO2","Aco2",417.561995,438.868693,454.781168,22690,21156,18663,437.070618666667,71.653142,76.994982,73.567485,2492,1993,1982,1.56342266666667,170.892855229493
"ACOD1","Acod1",0,0.025515,0,0,2,0,0.008505,0,0,0,0,0,0,0,1.008505
"ACOT1","Acot3",0.184964,0.130714,0.304544,11,9,16,0.206740666666667,4.205801,4.758707,5.368048,99,81,76,0.401354666666667,0.861124378696423
"ACOT11","Acot11",3.849478,4.688608,4.957258,323,275,216,4.498448,1.265227,0.289037,0.841305,109,23,34,0.0814696666666667,5.08423691341012
"ACOT12","Acot12",0,0,0,0,0,0,0,0.237945,0.109798,0.174106,8,3,2,23.5366613333333,0.0407553410146102
"ACOT13","Acot13",395.632453,377.75228,442.9371,1311,1270,1043,405.440611,11.326065,11.195552,12.209772,355,281,284,0.194048666666667,340.388647754726
"ACOT2","Acot2",7.7519,7.104215,8.971836,492,470,388,7.94265033333333,24.173517,18.076715,19.437196,254,164,153,1.51372533333333,3.55752882574283
"ACOT4","Acot4",0.165596,0.144667,0.185633,33,17,26,0.165298666666667,0.591094,0.748843,1.193545,24,23,33,8.85511633333333,0.118243014821168
"ACOT6","Acot6",0.552336,0.322506,0.388205,56,33,27,0.421015666666667,0.245134,0.088672,0.12044,3,1,1,36.710618,0.0376821102922966
"ACOT7","Acot7",12.066454,10.657095,11.339034,443,375,355,11.3541943333333,80.632403,114.029529,128.44021,1778,1946,1942,114.444618,0.107014034498631
"ACOT8","Acot8",1.641596,1.505389,1.975407,52,44,36,1.707464,20.763417,18.37889,19.993785,370,284,270,5.99927766666667,0.386820487618889
"ACOT9","Acot9",4.072205,4.855018,4.790514,198,221,169,4.572579,18.917753,21.089502,23.207269,535,461,410,7.34865366666667,0.667482353741587
"ACOX1","Acox1",32.90367,31.658302,34.80923,3684,3423,2793,33.123734,21.711569,42.59937,35.250653,754,736,847,24.672672,1.32918513507281
"ACOX2","Acox2",0.180945,0.256774,0.112875,6,4,5,0.183531333333333,5.471821,1.789143,2.323278,63,12,15,61.9235546666667,0.0188090348614761
"ACOX3","Acox3",5.436548,3.876888,8.096525,278,282,221,5.80332033333333,11.236717,10.706481,12.961887,231,182,207,20.9269013333333,0.310272766311531
"ACOXL","Acoxl",0.021636,0,0,2,0,0,0.007212,0.106301,0.156535,0.132989,4,4,4,3.325087,0.232876702827018
"ACP1","Acp1",5.66495,7.242556,7.48916,190,232,154,6.79888866666667,74.872622,58.654584,76.070071,1230,785,941,32.0318893333333,0.236101804167665
"ACP2","Acp2",1.730692,1.916966,2.292059,251,242,234,1.97990566666667,104.027156,109.16421,127.822959,638,547,541,0.25094,2.3821331691901
"ACP4","Acp4",0,0,0,0,0,0,0,0.279935,0.062067,0,6,1,0,4.81031933333333,0.172107580088254
"ACP5","Acp5",0.07349,0.157873,0.034358,3,6,1,0.0885736666666667,0,2.031601,2.612106,0,11,8,0.187026666666667,0.917059150594764
"ACP6","Acp6",3.884854,3.981793,3.69741,158,166,131,3.85468566666667,17.588665,10.559517,14.810767,472,247,242,0.602221,3.02997256100542
"ACP7","Acp7",0,0,0,0,0,0,0,0.15024,0.124344,0.170202,8,5,6,79.7568523333333,0.0123828501372538
"ACR","Acr",0.021936,0,0.11907,1,0,2,0.047002,0.041913,0,0.163679,1,0,1,8.31229433333333,0.112432228033457
"ACRBP","Acrbp",0.973677,0.635086,0.428227,20,12,5,0.678996666666667,0.967429,0.571787,0.527381,14,5,4,2.267959,0.513775315622585
"ACRV1","Acrv1",0,0.020824,0.013454,0,2,1,0.011426,0.120346,0.767177,1.18959,4,7,14,5.148476,0.164500276165996
"ACSBG1","Acsbg1",0.030745,0,0.04316,3,0,3,0.024635,6.630397,3.875408,5.355253,156,78,93,32.7340093333333,0.030373946656484
"ACSBG2","Acsbg2",0.011693,0,0,1,0,0,0.00389766666666667,0.74582,0.53011,0.820644,10,3,4,92.1382493333333,0.0107785756534226
"ACSF2","Acsf2",7.891,12.373069,10.895599,350,367,340,10.386556,42.632059,13.17411,6.555456,402,55,44,1.35264933333333,4.83988660726885
"ACSF3","Acsf3",2.997409,3.249149,4.273128,216,222,220,3.506562,22.250491,16.962759,21.849371,350,268,226,3.623156,0.974780431376315
"ACSL1","Acsl1",205.487387,212.938162,241.722004,10340,9955,9069,220.049184333333,85.585307,101.814344,82.647096,1143,969,970,0.0864153333333333,203.466554227573
"ACSL3","Acsl3",1.316494,1.101578,1.23888,64,36,54,1.218984,127.281776,105.351012,89.76463,3228,2050,1832,38.1292903333333,0.0567090274599153
"ACSL4","Acsl4",3.808227,3.388927,6.217699,163,151,156,4.47161766666667,69.219653,62.683685,53.413498,3943,2820,2527,11.3800783333333,0.441969551350442
"ACSL5","Acsl5",6.898301,9.129866,3.381648,183,235,138,6.46993833333333,0.206791,0.83348,0.182037,6,12,5,11.1325353333333,0.615694752011987
"ACSL6","Acsl6",2.786717,1.936377,3.098567,152,129,148,2.60722033333333,13.388689,15.367533,10.761177,980,1036,796,22.599885,0.152849064024394
"ACSM1","Acsm1",0,0,0,0,0,0,0,0.060423,0,0,2,0,0,136.466925666667,0.00727447707985283
"ACSM2B","Acsm2",0,0,0.156331,0,0,1,0.0521103333333333,0.4576,0.459343,0.100414,8,5,3,10.370608,0.0925289424570202
"ACSM3","Acsm3",0.028766,0.030908,0.038958,1,1,1,0.0328773333333333,1.696961,2.786466,2.358993,15,14,19,0.829955333333333,0.56442761990912
"ACSM4","Acsm4",0,0,0,0,0,0,0,0.215017,0.529825,0.278182,8,15,7,11.1502983333333,0.0823025058781136
"ACSM5","Acsm5",0.870292,1.135048,0.688642,49,59,32,0.897994,0.201606,0,0.029441,1,0,1,29.724931,0.0617737432835895
