"Hs_symbol","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Hs_Avg_TPM","FoldChange"
"AARSD1","Aarsd1",5.291274,6.979547,7.711043,237,286,216,6.66062133333333,63.27632,66.968262,84.250953,365,428,308,13.0359566666667,0.545785479056528
"AASDH","Aasdh",3.447906,4.855747,2.951467,154,158,113,3.75170666666667,3.182292,4.853213,4.954761,105,133,96,9.05523233333333,0.472560604185609
"AASDHPPT","Aasdhppt",3.367854,3.157,3.978166,303,256,259,3.50100666666667,129.667907,110.451006,134.287207,3231,3083,2547,143.578193333333,0.0311319886000328
"AASS","Aass",0.008662,0,0.177648,1,0,3,0.0621033333333333,4.313875,2.742641,4.506,299,175,207,43.404743,0.0239186911482256
"AATF","Aatf",2.063696,1.49725,2.21789,90,70,80,1.92627866666667,14.476301,19.209898,14.950782,208,297,163,72.099048,0.0400316932536066
"AATK","Aatk",0.725985,0.457374,0.57906,57,59,43,0.587473,14.223841,16.332434,12.634368,449,556,369,49.9149603333333,0.031178910670008
"ABAT","Abat",1.074213,3.316001,2.055263,167,195,173,2.14849233333333,28.063871,26.832749,35.879571,1227,1323,1029,0.639692,1.92017301623313
"ABCA1","Abca1",1.851094,1.818334,1.49918,577,504,336,1.72286933333333,4.057191,3.554462,2.51638,570,529,255,13.8334303333333,0.183563024340672
"ABCA13","Abca13",0,0,0,0,0,0,0,0.087452,0.016383,0.151556,5,2,6,22.7370223333333,0.0421282832344023
"ABCA17P","Abca17",0,0,0,0,0,0,0,2.031216,2.837622,4.432733,10,18,15,0.140757,0.876610882072168
"ABCA2","Abca2",8.286462,6.684126,6.658147,789,757,638,7.20957833333333,107.50449,75.111095,79.577059,1545,1840,1190,107.118573666667,0.0759312489512093
"ABCA3","Abca3",1.153333,1.46847,1.264998,231,222,189,1.29560033333333,51.9705,59.537578,54.006441,4138,4756,3097,28.249626,0.0784830661880372
"ABCA4","Abca4",0.723448,0.577212,0.748856,43,29,37,0.683172,0.905126,0.080781,0.014008,7,3,1,29.9432906666667,0.0543953782463472
"ABCA5","Abca5",0.467171,0.588468,0.652318,130,114,130,0.569319,15.166472,15.375498,16.666334,612,687,561,6.02759666666667,0.223308063116884
"ABCA6","Abca6",1.363668,1.287738,1.481468,213,189,180,1.37762466666667,0.380325,0.502694,0.140608,12,17,6,133.001987666667,0.0177432044708252
"ABCA7","Abca7",0.693706,0.552311,0.58948,167,127,101,0.611832333333333,53.395405,36.508479,39.178153,1224,1180,903,0.445913,1.11475056475274
"ABCA8","Abca8b",1.19705,1.355302,1.389084,299,302,226,1.313812,0.39584,0.133049,0.866773,3,4,10,156.648378666667,0.014677042793395
"ABCA9","Abca9",1.730124,1.818871,1.712961,360,349,256,1.75398533333333,1.630893,5.875754,1.09333,74,97,41,69.9769943333333,0.0388010982882655
"ABCB1","Abcb1a",22.341597,11.92902,15.633074,306,260,232,16.6345636666667,1.409905,3.284378,1.946045,27,71,43,6.184727,2.45445145886081
"ABCB10","Abcb10",3.70404,4.009373,4.926604,497,533,463,4.213339,10.325898,7.423625,9.542775,388,332,292,3.860617,1.07256733044385
"ABCB11","Abcb11",0,0,0,0,0,0,0,1.639649,3.496208,2.969016,7,12,8,43.6574986666667,0.0223926558776661
"ABCB4","Abcb4",2.855218,3.428858,3.224924,367,397,282,3.16966666666667,0.520114,0.10443,0.985588,4,3,5,0.312118,3.17781378402451
"ABCB5","Abcb5",0,0,0,0,0,0,0,0,0.258936,0.058403,0,2,3,282.399342,0.00352858970293587
"ABCB6","Abcb6",4.179214,5.497167,4.20283,223,255,203,4.62640366666667,45.798715,35.435408,31.250175,534,550,292,84.7606963333333,0.0656058533479958
"ABCB7","Abcb7",3.502681,3.231758,4.404847,659,544,597,3.71309533333333,7.623563,5.152974,8.512265,182,173,131,0.123838333333333,4.19374850771834
"ABCB8","Abcb8",15.227893,15.429945,18.285769,744,727,657,16.3145356666667,22.108301,23.197393,18.535002,526,651,446,0.159250666666667,14.9359721452248
"ABCB9","Abcb9",1.277403,0.974135,1.355097,117,101,104,1.20221166666667,13.147339,16.158433,16.129464,347,428,305,1.87087366666667,0.767087626403159
"ABCC1","Abcc1",2.436638,4.138721,7.941157,446,428,346,4.83883866666667,4.341232,5.649856,8.644544,333,452,284,0.105779666666667,5.28029122136749
"ABCC10","Abcc10",0.487548,0.662952,0.381423,47,52,34,0.510641,47.610062,53.34286,79.775617,605,657,496,0.021098,1.4794280274763
"ABCC12","Abcc12",0,0,0,0,0,0,0,0.051357,0.030371,0,2,1,0,23.8082643333333,0.0403091480550037
"ABCC2","Abcc2",0.003846,0.018808,0,1,1,0,0.00755133333333333,0.295949,0.49826,0.480955,6,12,3,0.334740666666667,0.754866738157874
"ABCC3","Abcc3",0.252275,0.270166,0.237298,18,12,7,0.253246333333333,0.450343,0.479305,0,4,3,0,0.114704333333333,1.1242858719188
"ABCC5","Abcc5",10.385666,13.130438,7.183393,582,426,255,10.2331656666667,41.572952,43.888857,45.250485,1760,2095,1575,15.5332103333333,0.679430397375335
