"Hs_symbol","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","FoldChange"
"ABCB7",9.39283,10.44538,6.99149,8.94323333333333,6.507055,5.040312,4.209266,5.252211,1.59035472944425
"ABCB8",32.81693,34.40342,28.81804,32.0127966666667,21.51191,19.464312,14.629305,18.5351756666667,1.68991552622673
"ABCB9",28.26133,22.82508,50.88493,33.9904466666667,13.522164,13.523465,13.352624,13.4660843333333,2.41879183477731
"ABCC1",4.15803,4.17262,3.45205,3.92756666666667,11.500209,10.367327,9.302465,10.3900003333333,0.432622170540762
"ABCC10",43.66756,37.52598,47.14886,42.7808,36.128396,35.014973,37.78168,36.3083496666667,1.17348530265106
"ABCC11",0.89456,2.32119,0.45882,1.22485666666667,0.147705,0.168729,0.111362,0.142598666666667,1.94718997279885
"ABCC12",0.19879,0.11053,5.26547,1.85826333333333,0,0,0,0,2.85826333333333
"ABCC13",0,0.11053,0.41512,0.175216666666667,0.065046,0,0.010734,0.02526,1.14626208636508
"ABCC2",0.76203,0.4974,0.26218,0.507203333333333,0.525342,0.194318,0.093136,0.270932,1.18590399276541
"ABCC3",0.34788,1.1606,1.76972,1.09273333333333,0.735677,0.386222,0.301105,0.474334666666667,1.4194425327221
"ABCC4",2.20326,1.54746,0.76469,1.50513666666667,7.050166,6.396275,5.373786,6.273409,0.344424006221384
"ABCC5",56.07537,36.86278,41.27163,44.7365933333333,40.658816,35.616212,29.02946,35.101496,1.26688914313505
"ABCC6",1.49093,1.93433,0.74285,1.38937,1.563937,2.080382,1.038311,1.56087666666667,0.933028142706339
"ABCC6P1",0.23192,1.46456,0.89578,0.864086666666667,0.326616,0.114229,0.382804,0.274549666666667,1.4625453330052
"ABCC6P2",0.59637,0.4974,1.17981,0.75786,0.427513,0.600883,0.259824,0.429406666666667,1.22978298688034
"ABCC8",81.60333,51.53605,127.72577,86.95505,59.334917,46.332088,44.755074,50.140693,1.71986425760793
"ABCC9",4.50591,6.68725,4.85035,5.34783666666667,2.011239,0.868414,0.975146,1.284933,2.77812814059172
"ABCD1",5.74835,9.11898,4.91589,6.59440666666667,10.618352,6.729346,8.415782,8.58782666666667,0.792088439924515
"ABCD2",2.31922,2.81859,2.81844,2.65208333333333,1.015291,0.95263,0.78988,0.919267,1.90285318995915
"ABCD3",15.57189,20.36572,16.73588,17.55783,11.715671,11.503515,12.736033,11.985073,1.42916639744728
"ABCD4",152.14069,105.3933,111.73274,123.08891,58.610022,52.354869,50.095508,53.6867996666667,2.269083412384
"ABCE1",13.71652,12.73894,10.83681,12.4307566666667,47.293811,49.347163,47.386876,48.0092833333333,0.274045155390628
"ABCF1",49.05146,56.31661,38.89016,48.0860766666667,49.941811,50.936379,55.648464,52.1755513333333,0.923094832792017
"ABCF2",28.19506,21.08419,28.0315,25.77025,19.522918,29.608502,27.332976,25.488132,1.01065073218451
"ABCF3",78.67118,63.80522,52.65465,65.0436833333333,46.460597,40.982435,31.451225,39.631419,1.62543383811757
"ABCG1",18.12303,12.51787,7.14443,12.59511,2.981022,2.516257,2.216058,2.57111233333333,3.80696789431715
"ABCG2",17.85798,27.32931,8.2587,17.81533,0,0.032841,0.010415,0.0144186666666667,18.5478940976375
"ABCG4",5.40046,4.36606,10.35614,6.70755333333333,12.913126,10.418173,10.808669,11.3799893333333,0.622581581114986
"ABCG5",0.28162,0.1658,0.28403,0.243816666666667,0.106507,0.151389,0.042838,0.100244666666667,1.1304909756436
"ABCG8",0.29819,0,0.15294,0.150376666666667,0.375379,0.464493,0.42013,0.420000666666667,0.810124032805618
"ABHD1",10.0886,9.45058,8.8923,9.47716,0.400221,0.717874,0.22597,0.448021666666667,7.2354994688155
"ABHD10",22.52954,22.41058,17.95939,20.9665033333333,22.938499,24.352688,21.626771,22.9726526666667,0.916315087811587
"ABHD11",16.91372,21.94082,33.27512,24.04322,6.937606,7.064101,6.864255,6.95532066666667,3.1479837267821
"ABHD12",139.31873,160.19007,140.39784,146.635546666667,64.546737,62.306897,62.683147,63.178927,2.30037418149211
"ABHD12B",20.59134,26.11344,20.07868,22.2611533333333,1.904262,0.479376,0.66991,1.01784933333333,11.5276958240027
"ABHD13",2.55114,2.18303,2.97138,2.56851666666667,2.367033,2.196661,1.88721,2.15030133333333,1.13275407304952
"ABHD14A",100.62092,85.88421,147.54227,111.349133333333,22.540257,19.428712,18.954588,20.3078523333333,5.27266340951584
"ABHD14B",17.4604,16.66286,17.12915,17.0841366666667,3.320588,2.072545,1.528819,2.30731733333333,5.4679169985906
"ABHD15",2.79963,4.11736,1.83527,2.91742,0.626613,0.218831,0.501833,0.449092333333333,2.70336120748689
"ABHD16A",76.41823,54.02305,65.08639,65.17589,37.200716,47.134845,37.037113,40.457558,1.59623222380826
"ABHD16B",8.61424,10.05851,6.77301,8.48192,0,0,0,0,9.48192
"ABHD2",19.76305,20.08939,15.7964,18.5496133333333,13.588883,13.921576,10.695473,12.7353106666667,1.42331060489058
"ABHD3",9.04495,19.39856,10.05027,12.83126,1.597983,1.039653,1.180823,1.27281966666667,6.08550700385527
"ABHD4",36.0804,28.37937,21.43328,28.6310166666667,25.455379,4.883742,6.507743,12.282288,2.23086690084319
"ABHD5",7.91847,8.78738,8.08391,8.26325333333333,10.403327,7.362645,6.909279,8.22508366666667,1.00413759571684
"ABHD6",19.4483,16.1931,16.18967,17.2770233333333,11.668832,13.764524,17.829011,14.420789,1.18521972730016
"ABHD8",83.24335,93.48336,137.25167,104.65946,9.661101,10.705984,15.55678,11.9746216666667,8.1435484374432
"ABI1",43.51847,43.99217,49.00597,45.5055366666667,25.555257,19.141618,16.288946,20.328607,2.18043009872453
"ABI2",73.75113,74.22297,58.16045,68.7115166666667,43.432644,40.900572,32.384224,38.9058133333333,1.74690128689688
"ABI3",6.44411,3.67523,2.97138,4.36357333333333,0.107534,0.068506,0,0.05868,5.06628379995214
"ABI3BP",23.63946,15.9444,9.15448,16.2461133333333,1.876574,1.343379,0.53984,1.25326433333333,7.65383496210609
"ABL1",25.67705,28.43464,26.69875,26.9368133333333,18.289946,25.341736,17.462119,20.3646003333333,1.30762162162921
"ABL2",8.54797,5.94115,4.17305,6.22072333333333,4.651018,3.942953,3.604234,4.06606833333333,1.42531108114412
"ABLIM1",67.88682,57.25614,45.24804,56.797,78.965193,95.017141,84.824801,86.269045,0.662285235274432
"ABLIM2",193.90317,178.5662,144.28686,172.252076666667,29.024891,22.325349,27.889239,26.4131596666667,6.32003310721363
"ABLIM3",18.85193,25.06338,17.26024,20.39185,59.162438,43.070208,35.850085,46.027577,0.454878846936979
"ABO",0.89456,2.68043,0.69915,1.42471333333333,0.94183,1.656334,1.424069,1.34074433333333,1.03587277722058
"ABR",299.60981,317.03652,304.52305,307.05646,475.702567,515.55903,441.250144,477.503913666667,0.64379088906386
"ABRA",0.14909,0.05527,0,0.06812,0.023562,0,0.016861,0.0134743333333333,1.05391914217199
"ABRACL",18.95132,11.68887,21.1711,17.27043,17.048097,16.217016,13.732567,15.6658933333333,1.09627666723736
"ABT1",8.41545,8.04128,6.16125,7.53932666666667,3.263841,4.270345,3.155402,3.563196,1.87134777175179
"ABTB1",115.24856,79.80489,91.19524,95.41623,3.761994,3.647191,4.428543,3.94590933333333,19.4941361642429
"ABTB2",6.80856,6.24512,9.94102,7.6649,1.172037,1.371578,1.223632,1.255749,3.84125184140611
"ACAA1",99.64354,88.26067,80.7517,89.55197,39.895704,46.043135,40.381622,42.1068203333333,2.10064136718473
"ACAA2",63.01646,61.15243,33.38436,52.51775,13.144815,9.897038,9.823666,10.955173,4.47653496942286
"ACACA",36.95839,37.99575,40.70358,38.5525733333333,100.200507,77.444775,45.429501,74.358261,0.524860483886874
"ACACB",20.49195,31.50193,31.19952,27.7311333333333,5.011705,4.261474,2.549066,3.94074833333333,5.81513799023022
"ACAD10",24.91503,22.63165,26.08699,24.5445566666667,12.856185,11.636386,10.582543,11.6917046666667,2.01269705981708
"ACAD11",18.22243,17.18789,9.94102,15.1171133333333,18.399625,10.629317,9.67092,12.899954,1.15950839357694
"ACAD8",43.56816,32.08223,31.52725,35.72588,23.137744,24.865645,22.47821,23.4938663333333,1.49939088832294
"ACAD9",27.96314,25.78184,27.98781,27.2442633333333,17.669058,19.626573,12.870046,16.7218923333333,1.59374985481705
"ACADL",1.32527,1.63036,0.52436,1.15999666666667,0.160831,0.314712,0.317482,0.264341666666667,1.70839633274234
"ACADM",52.48059,49.82279,36.42129,46.2415566666667,31.655912,30.807253,30.544017,31.002394,1.47618820850298
"ACADS",17.75858,19.89596,16.93251,18.1956833333333,3.004861,4.19166,2.473391,3.223304,4.54518152927976
