"Hs_symbol","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","FoldChange"
"ABCA8",21.83378,9.45058,8.78306,13.3558066666667,8.680828,3.745783,8.184944,6.87051833333333,258,141,202,1.8239976147272
"ABCA9",4.27399,5.11216,7.20997,5.53204,2.080644,1.631188,5.048676,2.92016933333333,56,70,42,1.66626475659045
"ABCB1",56.67174,57.67064,29.77937,48.0405833333333,0.242278,0.606745,0.127132,0.325385,1,5,2,37.0010097694884
"ABCB10",4.88692,5.44375,6.03016,5.45361,4.487977,5.694735,6.12157,5.43476066666667,229,188,232,1.00292929827693
"ABCB10P3",0,0,0,0,0,0,0,0,0,0,0,1
"ABCB10P4",0,0,0,0,0.036736,0,0,0.0122453333333333,1,0,0,0.987902800902021
"ABCB11",0,0.13817,0,0.0460566666666667,1.580405,3.39585,0.543683,1.83997933333333,8,15,6,0.368332492560392
"ABCB4",0.6295,3.48179,2.20669,2.10599333333333,0.391427,0.466284,0.700631,0.519447333333333,11,23,7,2.04415991603965
"ABCB5",0.08283,0,0.08739,0.05674,0.218901,0.076822,0,0.0985743333333333,4,2,0,0.961919433156245
"ABCB6",81.18919,69.71874,70.61404,73.8406566666667,17.599676,11.88309,16.193697,15.2254876666667,250,162,216,4.61253665863109
"ABCB7",9.39283,10.44538,6.99149,8.94323333333333,5.349743,5.631146,5.087587,5.35615866666667,135,114,121,1.56434630643791
"ABCB8",32.81693,34.40342,28.81804,32.0127966666667,25.451568,21.496367,20.678115,22.5420166666667,717,431,556,1.40229263848113
"ABCB9",28.26133,22.82508,50.88493,33.9904466666667,20.038858,11.346602,23.406662,18.2640406666667,473,230,418,1.8163607143548
"ABCC1",4.15803,4.17262,3.45205,3.92756666666667,8.866004,11.470193,9.218329,9.85150866666667,759,724,593,0.454090469632395
"ABCC10",43.66756,37.52598,47.14886,42.7808,67.229562,58.653056,74.269479,66.7173656666667,908,586,738,0.646522491963251
"ABCC11",0.89456,2.32119,0.45882,1.22485666666667,0.446327,0.700426,0.435039,0.527264,5,6,8,1.45675971323011
"ABCC12",0.19879,0.11053,5.26547,1.85826333333333,0,0,0,0,0,0,0,2.85826333333333
"ABCC13",0,0.11053,0.41512,0.175216666666667,0,0.032583,0.030135,0.020906,0,1,1,1.15115070992497
"ABCC2",0.76203,0.4974,0.26218,0.507203333333333,1.027977,1.07924,0.751123,0.95278,20,15,18,0.771824441736055
"ABCC3",0.34788,1.1606,1.76972,1.09273333333333,0.387771,0.982346,0.063447,0.477854666666667,3,5,1,1.4160616605512
"ABCC4",2.20326,1.54746,0.76469,1.50513666666667,3.039078,1.546278,3.664319,2.74989166666667,130,109,125,0.6680557438326
"ABCC5",56.07537,36.86278,41.27163,44.7365933333333,47.052923,36.864191,46.334162,43.417092,2382,1605,1925,1.02970706261755
"ABCC6",1.49093,1.93433,0.74285,1.38937,0.700877,0.769524,0.372597,0.614332666666667,31,27,18,1.48009765851648
"ABCC6P1",0.23192,1.46456,0.89578,0.864086666666667,0.068151,0,0.668788,0.245646333333333,3,0,10,1.49648147855772
"ABCC6P2",0.59637,0.4974,1.17981,0.75786,0.199733,0,0.688996,0.296243,2,0,5,1.35611918444304
"ABCC8",81.60333,51.53605,127.72577,86.95505,29.752164,6.667184,22.439929,19.619759,265,116,210,4.26557119314537
"ABCC9",4.50591,6.68725,4.85035,5.34783666666667,0.152849,0.551804,0.203548,0.302733666666667,19,57,23,4.87270485832228
"ABCD1",5.74835,9.11898,4.91589,6.59440666666667,7.294446,8.044954,7.763412,7.70093733333333,256,196,196,0.872826268679405
"ABCD1P2",0,0,0,0,0,0,0,0,0,0,0,1
"ABCD2",2.31922,2.81859,2.81844,2.65208333333333,0.010725,0,0.024448,0.0117243333333333,1,0,2,3.60976128873049
"ABCD3",15.57189,20.36572,16.73588,17.55783,11.69952,13.13055,9.707609,11.5125596666667,544,496,467,1.4831361843123
"ABCD4",152.14069,105.3933,111.73274,123.08891,70.916088,64.134004,67.343217,67.4644363333333,895,680,780,1.81245792188878
"ABCE1",13.71652,12.73894,10.83681,12.4307566666667,31.583438,49.79339,37.572001,39.6496096666667,980,1003,995,0.330403090627463
"ABCF1",49.05146,56.31661,38.89016,48.0860766666667,79.412855,49.138765,60.340286,62.9639686666667,982,733,819,0.767401987241713
"ABCF2",28.19506,21.08419,28.0315,25.77025,41.126604,23.175533,34.428163,32.9101,544,392,458,0.789447686677421
"ABCF3",78.67118,63.80522,52.65465,65.0436833333333,48.291703,49.874702,42.97229,47.0462316666667,634,530,501,1.37458612345561
"ABCG1",18.12303,12.51787,7.14443,12.59511,4.150456,4.415328,3.848561,4.138115,183,146,140,2.64593338218393
"ABCG2",17.85798,27.32931,8.2587,17.81533,2.961168,3.343736,4.879457,3.72812033333333,130,124,137,3.979452440614
"ABCG4",5.40046,4.36606,10.35614,6.70755333333333,3.253555,1.724564,3.36298,2.78036633333333,122,50,91,2.03883768230927
"ABCG5",0.28162,0.1658,0.28403,0.243816666666667,0,0.053623,0,0.0178743333333333,0,2,0,1.22197468384277
"ABCG8",0.29819,0,0.15294,0.150376666666667,0.166037,0.120609,0.140823,0.142489666666667,13,5,8,1.00690334471296
"ABHD1",10.0886,9.45058,8.8923,9.47716,0.539133,1.449996,2.556852,1.515327,16,11,17,4.1653272119291
"ABHD10",22.52954,22.41058,17.95939,20.9665033333333,17.896254,16.509149,18.709231,17.704878,474,316,439,1.17437298085202
"ABHD11",16.91372,21.94082,33.27512,24.04322,8.315591,5.793527,10.881287,8.330135,88,44,86,2.684121933927
"ABHD12",139.31873,160.19007,140.39784,146.635546666667,34.456652,32.027544,41.779576,36.087924,424,313,435,3.98069049825131
"ABHD12B",20.59134,26.11344,20.07868,22.2611533333333,3.893477,1.544872,5.021108,3.48648566666667,34,27,39,5.18471584700631
"ABHD13",2.55114,2.18303,2.97138,2.56851666666667,3.072772,3.602061,3.056116,3.24364966666667,238,226,207,0.840907461022741
"ABHD14A",100.62092,85.88421,147.54227,111.349133333333,19.98651,11.809536,18.625674,16.80724,220,94,202,6.30918285671072
"ABHD14B",17.4604,16.66286,17.12915,17.0841366666667,6.270991,5.484107,6.977415,6.244171,142,105,131,2.49637076025216
"ABHD15",2.79963,4.11736,1.83527,2.91742,2.267084,2.653537,2.449372,2.45666433333333,118,109,110,1.13329488264843
"ABHD16A",76.41823,54.02305,65.08639,65.17589,43.283793,44.460669,44.105033,43.9498316666667,632,478,592,1.47221663677717
"ABHD16B",8.61424,10.05851,6.77301,8.48192,0,0,0,0,0,0,0,9.48192
"ABHD2",19.76305,20.08939,15.7964,18.5496133333333,43.040132,37.278752,34.676228,38.331704,4800,3122,3837,0.4970446572397
"ABHD3",9.04495,19.39856,10.05027,12.83126,3.984849,5.25904,2.915345,4.053078,43,53,50,2.73719503241391
"ABHD4",36.0804,28.37937,21.43328,28.6310166666667,36.086594,26.455903,21.679738,28.0740783333333,296,237,316,1.01915583795806
"ABHD5",7.91847,8.78738,8.08391,8.26325333333333,2.814933,3.503613,4.082079,3.466875,117,93,117,2.07376596240847
"ABHD6",19.4483,16.1931,16.18967,17.2770233333333,11.831495,8.409419,12.306665,10.849193,138,99,156,1.54246988240746
"ABHD8",83.24335,93.48336,137.25167,104.65946,3.366122,1.881682,2.264601,2.504135,60,36,33,30.1527937707879
"ABI1",43.51847,43.99217,49.00597,45.5055366666667,12.69711,14.372399,14.823763,13.964424,447,426,457,3.10773984128401
"ABI2",73.75113,74.22297,58.16045,68.7115166666667,23.445738,22.714472,18.676018,21.612076,1466,1126,1250,3.08293306048797
"ABI3",6.44411,3.67523,2.97138,4.36357333333333,0,0.122185,0,0.0407283333333333,0,1,0,5.1536728284839
"ABI3BP",23.63946,15.9444,9.15448,16.2461133333333,2.697237,9.393819,2.628398,4.90648466666667,50,93,34,2.91986084898553
"ABL1",25.67705,28.43464,26.69875,26.9368133333333,20.002516,27.75208,18.375548,22.0433813333333,1348,1318,1125,1.21235737625543
"ABL2",8.54797,5.94115,4.17305,6.22072333333333,7.647104,11.288064,8.405532,9.11356666666667,1295,1485,1218,0.713964081250597
"ABLIM1",67.88682,57.25614,45.24804,56.797,13.234586,13.893529,13.950169,13.6927613333333,1252,905,1223,3.93370576767462
"ABLIM2",193.90317,178.5662,144.28686,172.252076666667,2.618199,1.169305,2.227903,2.00513566666667,73,27,55,57.6519984067275
"ABLIM3",18.85193,25.06338,17.26024,20.39185,39.693627,31.45544,35.010631,35.386566,1694,1071,1302,0.587905162581157
"ABO",0.89456,2.68043,0.69915,1.42471333333333,0.081458,0.061784,0.056364,0.0665353333333333,8,5,5,2.27344866836729
"ABR",299.60981,317.03652,304.52305,307.05646,198.031654,211.438013,200.361185,203.276950666667,1298,1199,1252,1.50803337818899
"ABRA",0.14909,0.05527,0,0.06812,0,0,0,0,0,0,0,1.06812
"ABRACL",18.95132,11.68887,21.1711,17.27043,16.160065,20.958007,19.636272,18.9181146666667,132,135,145,0.917277076960296
"ABT1",8.41545,8.04128,6.16125,7.53932666666667,4.559478,4.690372,4.720066,4.65663866666667,202,168,186,1.50961147951469
"ABTB1",115.24856,79.80489,91.19524,95.41623,6.145615,3.499741,5.352266,4.99920733333333,109,78,105,16.0714948897138
"ABTB2",6.80856,6.24512,9.94102,7.6649,1.812701,1.607969,1.602889,1.67451966666667,139,98,106,3.23979670368224
"ACAA1",99.64354,88.26067,80.7517,89.55197,38.003127,38.829187,39.570663,38.8009923333333,550,465,521,2.27511840010488
"ACAA2",63.01646,61.15243,33.38436,52.51775,13.362606,16.013843,12.490575,13.9556746666667,285,274,234,3.57842432339618
"ACACA",36.95839,37.99575,40.70358,38.5525733333333,42.363631,48.905645,32.241697,41.1703243333333,1667,1457,1400,0.937924333251314
"ACACB",20.49195,31.50193,31.19952,27.7311333333333,3.811888,6.196471,2.56891,4.192423,69,75,51,5.53328057697405
"ACAD10",24.91503,22.63165,26.08699,24.5445566666667,21.73928,19.257871,23.277153,21.424768,392,285,343,1.13912245008139
"ACAD11",18.22243,17.18789,9.94102,15.1171133333333,13.192374,11.007639,9.386726,11.1955796666667,340,270,275,1.32155369189913
"ACAD8",43.56816,32.08223,31.52725,35.72588,26.483493,20.192299,24.101738,23.59251,534,375,468,1.49337664191252
"ACAD9",27.96314,25.78184,27.98781,27.2442633333333,19.252462,17.316786,16.985834,17.851694,406,304,324,1.4982347651799
"ACADL",1.32527,1.63036,0.52436,1.15999666666667,0.207989,0.400506,0.246715,0.28507,5,7,5,1.6808396948545
"ACADM",52.48059,49.82279,36.42129,46.2415566666667,27.650351,25.508799,28.982212,27.380454,462,377,403,1.6645807239964
"ACADS",17.75858,19.89596,16.93251,18.1956833333333,4.599063,3.579749,4.281652,4.153488,112,71,98,3.72479441755435
"ACADSB",15.12461,11.57834,8.215,11.6393166666667,2.345294,3.480124,2.567987,2.79780166666667,193,175,184,3.32806127755487
"ACADVL",850.20868,1070.84452,774.50407,898.51909,487.069067,525.545782,529.790065,514.134971333333,2890,2306,2580,1.74618137004319
"ACAN",0.71233,1.18823,1.63863,1.17973,13.521626,21.358045,13.180758,16.020143,1180,1435,924,0.128067666646514
"ACAP1",120.28457,95.39005,24.71054,80.1283866666667,8.203837,7.799579,5.089685,7.03103366666667,31,27,34,10.1018611095351
"ACAP2",6.75886,7.87548,5.09068,6.57500666666667,4.317336,5.926497,4.813944,5.019259,442,447,434,1.25846165892956
"ACAP3",343.22767,247.20724,247.32393,279.252946666667,268.243739,185.674788,241.306196,231.741574333333,3432,1616,2456,1.20413788327
"ACAT1",91.26122,90.63713,80.1181,87.3388166666667,56.259875,44.471839,63.751794,54.827836,369,255,375,1.58234355826844
"ACAT2",14.59451,10.77698,17.1073,14.1595966666667,25.297509,32.783013,27.509826,28.530116,501,530,488,0.513360552551391
"ACBD3",8.61424,9.22951,9.74439,9.19604666666667,54.125804,44.820301,37.958539,45.6348813333333,793,793,708,0.218635630136767
"ACBD4",37.10748,34.87319,34.97929,35.65332,3.937219,4.63266,2.073499,3.54779266666667,64,68,45,8.05958465711351
"ACBD5",27.4496,28.9044,23.68367,26.6792233333333,7.912379,6.095147,7.392269,7.133265,308,226,288,3.40321178927938
"ACBD6",159.59532,134.10426,263.79763,185.832403333333,24.856558,25.060157,20.197148,23.3712876666667,434,305,343,7.66608666266205
"ACBD7",60.8629,83.23141,60.76041,68.2849066666667,0.811197,0.918754,0.914356,0.881435666666667,39,38,35,36.8255518347957
"ACCS",16.40018,12.6284,11.6015,13.54336,23.189882,13.116107,20.465664,18.9238843333333,320,206,258,0.729946016383385
"ACCSL",0,0.0829,0,0.0276333333333333,0,0,0,0,0,0,0,1.02763333333333
"ACD",21.63499,14.56273,22.17613,19.45795,8.520872,12.288536,11.733328,10.8475786666667,141,109,166,1.72676211533068
"ACE",35.79878,27.88197,7.51585,23.7322,1.303784,1.277742,1.252099,1.277875,41,16,21,10.8575755912857
"ACE2",0.66263,0.829,0,0.49721,0,0.275135,0.093605,0.122913333333333,0,1,2,1.33332640690585
"ACE3P",0,0,0,0,0,0,0,0,0,0,0,1
"ACER1",0.6295,0.3316,0.37142,0.444173333333333,0.050862,0,0,0.016954,1,0,0,1.4200970086487
"ACER2",1.95477,1.13296,1.42015,1.50262666666667,0.79589,1.105758,0.950331,0.950659666666667,33,37,35,1.28296427584583
"ACER3",22.21479,21.27762,19.8602,21.1175366666667,2.862275,3.818158,3.438456,3.372963,324,261,332,5.05779186027109
"ACHE",124.93958,128.46708,62.90155,105.43607,23.639298,15.646921,24.253111,21.1797766666667,666,324,578,4.79878907707667
"ACIN1",84.9662,86.90664,82.0626,84.6451466666667,177.532807,182.921232,142.933279,167.795772666667,3282,2682,2593,0.507389168067594
"ACLY",34.88766,21.19472,31.22137,29.10125,146.457605,153.677986,123.036365,141.057318666667,4402,3834,3894,0.211895101797829
"ACMSD",0.0497,0.2487,0,0.0994666666666667,0,0.090128,0.068505,0.0528776666666667,0,2,1,1.04424920527329
"ACO1",16.64867,16.08256,13.32753,15.35292,7.828545,10.438737,8.19943,8.82223733333333,589,574,554,1.66488748388351
"ACO2",194.64864,168.23135,188.20215,183.694046666667,44.21915,38.397711,34.421423,39.0127613333333,1102,814,929,4.61587854754738
"ACOT1",2.23639,3.31599,4.85035,3.46757666666667,3.574162,4.075885,3.688916,3.77965433333333,68,59,57,0.934707063544274
"ACOT11",4.55561,7.12938,9.43851,7.04116666666667,0.37798,0.458171,0.465699,0.43395,35,34,33,5.60770366237781
"ACOT12",0.0497,0,0,0.0165666666666667,0.838379,0.711122,0.64397,0.731157,19,13,12,0.587218066684112
"ACOT13",37.93578,57.75354,36.3339,44.00774,12.191412,9.46509,13.396844,11.6844486666667,229,175,231,3.54826143277913
"ACOT2",8.051,10.61118,19.33584,12.6660066666667,21.539035,15.077116,15.11408,17.2434103333333,178,108,135,0.749092763741487
"ACOT4",2.96529,3.31599,4.67556,3.65228,0.146906,0.447474,0.101508,0.231962666666667,5,12,3,3.77631573251138
"ACOT6",1.62345,0.19343,0.26218,0.69302,0,0.122286,0,0.040762,0,1,0,1.62671196680893
"ACOT7",154.75809,102.10494,213.74293,156.868653333333,38.203304,38.030315,39.780133,38.6712506666667,695,547,661,3.97942214274532
"ACOT8",66.89287,65.57375,49.87991,60.7821766666667,9.983366,11.016138,11.40912,10.8028746666667,177,144,156,5.23450247600698
"ACOT9",13.46803,14.06534,14.22331,13.9188933333333,23.22135,28.851472,24.154281,25.4090343333333,541,489,487,0.56491627618897
"ACOX1",62.50292,72.70314,76.18538,70.4638133333333,33.537489,28.271905,20.230548,27.3466473333333,771,581,655,2.52106757081278
"ACOX2",13.50116,16.5247,11.05529,13.6937166666667,5.459635,7.803665,5.815802,6.35970066666667,51,58,35,1.99651009357174
"ACOX3",8.46514,6.68725,23.55258,12.9016566666667,8.870189,7.235071,11.373044,9.15943466666667,158,135,150,1.36834943309182
"ACOXL",0,0.05527,0,0.0184233333333333,0.239138,0.162594,0.206492,0.202741333333333,7,4,5,0.846751753771384
"ACP1",58.74247,61.70509,55.34201,58.5965233333333,58.248272,76.17287,65.299677,66.5736063333333,903,859,858,0.881949722194049
"ACP2",38.03517,21.63685,46.29677,35.32293,169.629988,98.736759,157.367625,141.911457333333,899,467,753,0.254163876555249
"ACP5",4.42308,6.63199,1.9882,4.34775666666667,7.63295,1.018418,10.927006,6.52612466666667,32,7,35,0.710559139466819
"ACP6",9.44253,12.54551,9.70069,10.56291,24.331622,19.56541,23.987726,22.6282526666667,367,301,340,0.489367968216806
"ACR",2.81619,1.3264,1.81342,1.98533666666667,0.050784,0.062833,0,0.0378723333333333,1,1,0,2.87640066199536
"ACRBP",3.9261,2.45936,2.16299,2.84948333333333,0.933344,1.400639,0.994766,1.109583,9,11,8,1.82476031203007
"ACRV1",5.84774,3.01203,4.1075,4.32242333333333,0.230836,0.190941,0.387534,0.269770333333333,4,4,4,4.19164253063087
"ACSBG1",88.3125,109.42775,56.1067,84.61565,1.680716,3.357604,1.221717,2.086679,49,54,34,27.7371407911221
"ACSBG2",0.59637,0.77373,0.10924,0.493113333333333,0.206484,0.414199,0.534768,0.385150333333333,2,2,6,1.07794316429191
"ACSF2",51.30441,52.55848,47.82616,50.5630166666667,52.435691,50.495669,51.622443,51.5179343333333,334,301,283,0.9818173033881
"ACSF3",61.67463,58.77597,55.18907,58.5465566666667,19.896846,16.478566,14.431669,16.9356936666667,339,249,243,3.32000299365803
"ACSL1",34.42382,22.99088,27.48529,28.2999966666667,22.571965,34.049958,24.018834,26.8802523333333,390,247,333,1.05092293700785
"ACSL3",44.29706,41.69861,41.796,42.5972233333333,125.144372,117.20619,162.941162,135.097241333333,2688,1748,2708,0.320338773263991
"ACSL4",16.20139,7.04648,11.47041,11.57276,25.373504,30.774505,32.691471,29.61316,1627,1473,1507,0.410697882871288
"ACSL5",9.19404,8.12418,3.23356,6.85059333333333,0.550356,0.183705,0.680974,0.471678333333333,9,2,6,5.33444921727687
"ACSL6",35.4509,34.34816,47.73876,39.1792733333333,5.279576,2.761154,5.097792,4.37950733333333,259,134,211,7.46895037847952
"ACSM1",0.84486,0,0,0.28162,0,0.132055,0,0.0440183333333333,0,1,0,1.22758380679777
"ACSM2A",0,0.77373,0.08739,0.28704,0.231348,3.931815,1.327585,1.83024933333333,4,10,8,0.454744387655834
"ACSM2B",0.0994,0.46977,0,0.189723333333333,0.259345,0.573845,1.003013,0.612067666666667,6,3,7,0.738010790696751
"ACSM3",0.59637,0.22107,1.02687,0.61477,0.848148,3.771251,3.221045,2.61348133333333,19,43,27,0.446873762735179
"ACSM4",0.16566,0,0.10924,0.0916333333333333,0.291138,0.408874,0.146039,0.282017,9,5,4,0.851496769023604
"ACSM5",7.48776,8.98081,5.4621,7.31022333333333,0,0.083985,0,0.027995,0,1,0,8.08391415652151
"ACSS1",57.94731,78.25742,61.83098,66.0119033333333,2.170075,1.974672,2.210112,2.11828633333333,125,92,110,21.4899775613935
"ACSS2",43.78352,30.83873,37.47001,37.3640866666667,53.386125,66.083436,55.009702,58.1597543333333,306,259,305,0.64848285965668
"ACSS3",12.72257,14.9496,21.32404,16.33207,7.547094,17.434579,3.069008,9.350227,223,394,163,1.67455940821395
"ACTA1",40.80167,32.41383,12.49729,28.57093,0.240853,0.05949,0.233685,0.178009333333333,5,1,4,25.1024581582263
"ACTA2",30.26579,39.46031,26.13069,31.9522633333333,6.327661,72.105899,6.461854,28.2984713333333,99,1023,93,1.12470930508388
"ACTB",3995.79691,3014.15431,4181.63155,3730.52759,1508.849694,1933.919489,1684.423797,1709.06432666667,16993,17349,16522,2.1820977911829
"ACTBL2",0,0,0,0,0.024972,0,0,0.008324,1,0,0,0.991744716975893
"ACTBP1",0,0,0,0,0,0,0,0,0,0,0,1
"ACTBP12",0,0,0,0,0,0,0,0,0,0,0,1
"ACTC1",12.0765,11.13621,6.51082,9.90784333333333,0.053354,2.151921,0.356773,0.854016,1,24,3,5.88335987032115
"ACTG1",1819.21101,1453.84166,1057.48459,1443.51242,1419.3332,1648.589858,1463.03336,1510.318806,26010,23050,24917,0.955795967247429
"ACTG1P10",0,0.55267,0.61176,0.388143333333333,0.214912,0,0,0.0716373333333333,3,0,0,1.29534805307268
"ACTG2",1.52406,3.59233,6.42343,3.84660666666667,7.933159,66.52499,5.367457,26.6085353333333,155,991,99,0.175547402574996
"ACTL10",0.18222,0.80136,0.65545,0.546343333333333,0.108181,0.047738,0.13155,0.095823,3,1,3,1.41112509349898
"ACTL6A",57.40064,40.37221,15.20649,37.65978,127.358034,224.770196,142.955043,165.027757666667,297,293,270,0.232851304765659
"ACTL6B",82.51446,59.10757,87.50286,76.3749633333333,28.097481,15.805406,34.483202,26.1286963333333,158,77,164,2.85214454770028
"ACTL7A",0,0.22107,0,0.07369,0,0,0,0,0,0,0,1.07369
"ACTL7B",0,0.05527,0,0.0184233333333333,0,0,0.060404,0.0201346666666667,0,0,1,0.998322443703511
"ACTL8",0,0,0.13109,0.0436966666666667,0,0,0,0,0,0,0,1.04369666666667
"ACTL9",0,0.22107,0,0.07369,0,0,0,0,0,0,0,1.07369
"ACTN1",196.73593,153.64099,75.39884,141.925253333333,90.571305,205.524402,69.241953,121.77922,1789,3484,1635,1.16408341194327
"ACTN2",204.83663,117.0269,46.4934,122.785643333333,1.088077,0.737005,1.599137,1.14140633333333,35,16,39,57.8057706314184
"ACTN4",605.08392,637.55483,640.02714,627.555296666667,278.496919,323.301901,259.392949,287.063923,4353,4197,3672,2.18199936361579
