"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","FoldChange"
"DGCR6",1151,24.4889,1262,28.82,1011,22.6143,25.3077333333,"Dgcr6",33.725128,33.303376,44.304697,475,691,185,37.111067,0.690291177974629
"DGCR6L",644,19.2549,740,23.748,495,15.5596,19.5208333333,"Dgcr6",33.725128,33.303376,44.304697,475,691,185,37.111067,0.538448145083422
"DGCR8",789,4.35561,764,4.52695,884,5.13053,4.67103,"Dgcr8",23.181681,18.460188,25.515799,548,615,126,22.3858893333333,0.24249794049597
"DGKB",536,0.112855,611,0.138082,321,0.0710555,0.107330833333,"Dgkb",9.253913,5.666587,5.01619,1068,1050,181,6.64556333333333,0.144833125442206
"DGKD",1097,1.62966,986,1.5722,1205,1.88198,1.69461333333,"Dgkd",14.301066,11.684062,8.029864,1127,1346,301,11.3383306666667,0.21839367140725
"DGKE",706,3.47812,984,5.20326,697,3.61003,4.09713666667,"Dgke",11.204315,9.48353,9.328638,1553,2040,438,10.0054943333333,0.463144726832655
"DGKG",958,0.652312,940,0.687002,980,0.701543,0.680285666667,"Dgkg",5.918091,4.005401,3.648567,434,440,90,4.52401966666667,0.304178074673823
"DGKH",14287,11.5262,24595,21.2977,10554,8.95162,13.9251733333,"Dgkh",2.201112,1.636087,2.184925,713,816,111,2.00737466666667,4.96285797001903
"DGKI",7432,2.78585,7489,3.01312,9045,3.5645,3.12115666667,"Dgki",4.397444,4.859729,1.95513,394,590,47,3.73743433333333,0.869913201260204
"DGKK",44,0.0729176,17,0.0302391,27,0.0470416,0.0500661,"Dgkk",2.365573,1.695222,1.409247,372,396,68,1.82334733333333,0.371922394245507
"DGKQ",788,4.91495,799,5.34909,519,3.40329,4.55577666667,"Dgkq",28.422558,20.755435,24.377257,1334,1464,358,24.5184166666667,0.217716355181519
"DGKZ",1879,6.88897,1681,6.61509,1410,5.43482,6.31296,"Dgkz",54.009444,43.801787,64.410268,1469,1837,551,54.073833,0.132784656553685
"DGLUCY",1250,1.32108,1188,1.34764,1235,1.37222,1.34698,"Dglucy",11.193353,6.202471,12.618707,235,300,82,10.0048436666667,0.213267909212462
"DGUOK",789,4.28919,819,4.77885,1164,6.65258,5.24020666667,"Dguok",23.885021,27.10386,30.767837,201,305,74,27.2522393333333,0.220874762989407
"DHCR24",17366,80.7534,14884,74.2884,10617,51.904,68.9819333333,"Dhcr24",43.090833,43.616151,46.943479,3811,5844,1316,44.5501543333333,1.53637093787161
"DHCR7",3752,26.5631,2901,22.0447,1700,12.6533,20.4203666667,"Dhcr7",79.852341,98.906022,100.378828,743,1448,279,93.0457303333333,0.227765434866402
"DHDDS",1315,5.88672,1293,6.21279,1226,5.77001,5.95650666667,"Dhdds",26.533638,22.589561,25.801452,1451,1864,451,24.9748836666667,0.267816663048128
"DHDH",8,0.123999,12,0.199641,3,0.0488863,0.124175433333,"Dhdh",1.337506,1.827835,1.122862,152,191,42,1.429401,0.462737700911871
"DHFR",4658,28.2964,3776,24.6209,3473,22.1807,25.0326666667,"Dhfr",0.909518,1.128326,0.671639,104,195,24,0.903161,13.6786465604854
"DHFR2",431,4.8409,532,6.41358,663,7.82889,6.36112333333,"Dhfr",0.909518,1.128326,0.671639,104,195,24,0.903161,3.8678405733041
"DHH",796,17.071,909,20.9243,867,19.548,19.1811,"Dhh",1.374352,0.007161,2.720513,128,1,50,1.367342,8.5247927844815
"DHODH",473,4.33153,454,4.46249,459,4.41907,4.40436333333,"Dhodh",13.296556,8.974573,12.146941,241,274,61,11.47269,0.433295731179882
"DHRS1",317,6.03067,330,6.73846,318,6.36021,6.37644666667,"Dhrs1",54.585209,70.015502,77.29987,900,1625,354,67.3001936666667,0.108000377021918
"DHRS11",187,3.65995,146,3.06709,137,2.81898,3.18200666667,"Dhrs11",5.766179,5.10174,6.722265,129,165,47,5.86339466666667,0.609320441235979
"DHRS13",238,7.84646,339,11.996,164,5.68432,8.50892666667,"Dhrs13",7.622188,4.397714,6.847153,168,165,46,6.28901833333333,1.30455518587254
"DHRS2",225,2.53187,210,2.53641,349,4.12879,3.06569,"Dhrs2",0.356488,0.047217,0,5,1,0,0.134568333333333,3.58346860259629
"DHRS3",649,2.25402,494,1.84154,1075,3.92519,2.67358333333,"Dhrs3",4.752915,3.30718,4.716864,130,125,38,4.25898633333333,0.698534489440582
"DHRS4",549,6.16942,578,6.97172,527,6.22617,6.45577,"Dhrs4",11.868881,11.684462,15.597852,153,239,60,13.0503983333333,0.530644742100432
"DHRS4L2",579,2.7686,678,3.47978,655,3.29277,3.18038333333,"Dhrs4",11.868881,11.684462,15.597852,153,239,60,13.0503983333333,0.29752774506132
"DHRS7",1866,12.6656,1925,14.0245,1745,12.4523,13.0474666667,"Dhrs7",14.424035,11.508062,16.856755,339,400,130,14.2629506666667,0.920363760159351
"DHRS7B",531,1.32708,529,1.41905,451,1.18499,1.31037333333,"Dhrs7b",5.900962,6.360224,8.126919,214,322,88,6.796035,0.296352355181833
"DHRS7C",1,0.00879476,2,0.0188797,1,0.00924617,0.0123068766667,"Dhrs7c",0,0.033067,0,0,1,0,0.0110223333333333,1.00127053902868
"DHRS9",12,0.0668087,13,0.0776847,10,0.0585315,0.0676749666667,"Dhrs9",0.255941,0,0,1,0,0,0.0853136666666667,0.983747832039985
"DHTKD1",807,2.59789,958,3.31019,975,3.29981,3.06929666667,"Dhtkd1",7.031324,7.482342,9.337255,201,320,62,7.950307,0.45465442321364
"DHX15",2630,6.84594,3330,9.30384,3502,9.58367,8.57781666667,"Dhx15",28.641602,20.150957,22.347475,1408,1633,396,23.7133446666667,0.387556471851766
"DHX16",723,6.35094,767,7.23161,635,5.86423,6.48226,"Dhx16",19.891655,19.305084,23.908687,391,587,151,21.035142,0.339560325955694
"DHX29",1015,3.43376,1144,4.15404,1233,4.38536,3.99105333333,"Dhx29",7.235173,5.994599,4.698652,541,660,154,5.97614133333333,0.715446132015961
"DHX30",1628,6.01455,1791,7.10207,1441,5.59694,6.23785333333,"Dhx30",88.220065,105.839991,83.067605,1723,2206,550,92.375887,0.0775130878631439
"DHX32",861,2.50276,873,2.72377,1081,3.30354,2.84335666667,"Dhx32",10.712213,5.62153,12.004758,322,389,106,9.446167,0.367920277999576
"DHX33",492,3.06249,517,3.45415,610,3.99189,3.50284333333,"Dhx33",7.069487,6.391711,4.582309,550,621,127,6.01450233333333,0.641933400168993
"DHX34",357,1.86785,314,1.76337,349,1.91972,1.85031333333,"Dhx34",2.134356,2.091128,1.865545,148,233,45,2.030343,0.940590993603694
"DHX35",475,1.07177,531,1.28601,623,1.47787,1.27855,"Dhx35",9.556886,12.892939,7.772968,313,465,114,10.0742643333333,0.205751816230502
"DHX36",2463,8.28393,2812,10.1514,2686,9.49765,9.31099333333,"Dhx36",18.981299,14.263637,16.021427,1683,2193,426,16.422121,0.591833413011539
"DHX37",472,1.94904,524,2.32247,515,2.23575,2.16908666667,"Dhx37",9.847651,11.451489,14.147184,292,450,97,11.8154413333333,0.247286580636682
"DHX38",1027,9.29616,1148,11.1536,1223,11.6385,10.6960866667,"Dhx38",4.827852,5.163234,5.543615,475,670,173,5.17823366666667,1.8931117367418
"DHX40",1123,4.5851,1245,5.45605,1396,5.99228,5.34447666667,"Dhx40",6.116114,6.070988,4.792547,423,739,117,5.659883,0.952640859707295
"DHX57",807,1.8027,723,1.73352,1011,2.37432,1.97018,"Dhx57",8.341577,8.113433,6.103424,785,800,195,7.519478,0.348634036028968
"DHX58",466,7.1974,463,7.67558,602,9.77517,8.21605,"Dhx58",1.240172,0.975926,0.621915,30,39,10,0.946004333333333,4.73588359601118
"DHX8",1268,1.75149,1184,1.75542,1340,1.94595,1.81762,"Dhx8",7.497135,5.672533,6.971105,612,759,175,6.713591,0.365279932524294
"DHX9",3044,10.934,3257,12.5571,3318,12.5299,12.007,"Dhx9",33.842797,29.569574,23.142596,2584,3108,600,28.8516556666667,0.435721225825475
"DIABLO",956,8.43965,930,8.81232,836,7.7591,8.33702333333,"Diablo",24.605291,24.836879,21.666718,503,752,168,23.7029626666667,0.377971802788216
"DIAPH1",858,1.44071,885,1.59505,1388,2.45029,1.82868333333,"Diaph1",12.172343,9.991868,7.298425,803,910,215,9.82087866666667,0.26140976351982
"DIAPH2",1329,0.252272,1702,0.346772,1548,0.308925,0.302656333333,"Diaph2",1.804388,1.650032,1.174173,269,422,65,1.54286433333333,0.512279131944646
"DIAPH3",94,0.0329524,67,0.0252101,109,0.0401721,0.0327782,"Diaph3",1.682744,1.478196,0.986522,33,48,8,1.38248733333333,0.4334873833537
"DICER1",1867,4.54374,2625,6.85707,2937,7.51469,6.30516666667,"Dicer1",8.652712,7.446064,5.507808,1325,1641,302,7.20219466666667,0.890635611997586
"DIDO1",1718,4.98436,1911,5.95096,1942,5.92343,5.61958333333,"Dido1",8.830065,7.304089,6.176797,1078,1437,254,7.43698366666667,0.78459122298447
"DIMT1",3861,11.9054,4250,14.0661,4062,13.1681,13.0465333333,"Dimt1",6.686607,4.980897,3.697353,171,199,39,5.121619,2.29457817177123
"DIO1",24,0.211244,34,0.321213,33,0.30537,0.279275666667,"Dio1",0,0.019821,0,0,1,0,0.006607,1.27087896931672
"DIO2",60,0.0551011,98,0.0965997,118,0.113928,0.0885429333333,"Dio2",3.72418,2.679783,2.709328,470,510,107,3.03776366666667,0.269590551403405
"DIO3",34,2.82577,36,3.21145,40,3.49507,3.17743,"Dio3",0,0.015581,0,0,1,0,0.00519366666666667,4.15584592156536
"DIP2A",1923,3.02314,1655,2.79265,1805,2.98328,2.93302333333,"Dip2a",50.292293,50.374323,46.568413,3016,4819,891,49.078343,0.0785374095410865
"DIP2B",2997,2.14867,4279,3.2928,3360,2.53256,2.65801,"Dip2b",10.159293,10.344223,8.444823,1966,2815,537,9.64944633333333,0.343492974705195
"DIP2C",2224,0.935139,2840,1.28174,2628,1.16173,1.126203,"Dip2c",10.95003,7.759747,7.318516,1563,1845,365,8.67609766666667,0.219737653881336
"DIPK1A",7429,10.0775,7486,10.8996,8422,12.0109,10.996,"Dipk1a",23.376335,21.908175,21.90998,605,871,192,22.3981633333333,0.512689813687656
"DIPK1B",724,10.3921,843,12.9877,571,8.61665,10.6654833333,"Dipk1b",24.539365,18.984512,27.815126,691,844,266,23.7796676666667,0.470768352918319
"DIPK1C",345,2.52752,448,3.52284,339,2.61104,2.88713333333,"Dipk1c",1.090827,1.602511,0.435004,50,68,6,1.04278066666667,1.90286377620407
"DIPK2A",324,0.735843,371,0.904387,425,1.01477,0.885,"Dipk2a",5.202996,5.90634,5.294089,405,711,127,5.46780833333333,0.291443392081553
"DIPK2B",621,2.0653,754,2.69155,468,1.63635,2.13106666667,"Dipk2b",0.566072,0.33688,0.330702,43,38,6,0.411218,2.21869807972262
"DIRAS1",2507,64.3507,2456,67.6655,1911,51.57,61.1954,"Diras1",30.885562,25.571295,24.725438,1573,2092,495,27.060765,2.21645418433888
"DIRAS2",1081,5.71735,1044,5.92666,725,4.0313,5.22510333333,"Diras2",19.370468,15.114271,18.502648,2042,2383,613,17.6624623333333,0.333562807637192
"DIS3",982,5.73224,1341,8.40199,1514,9.29131,7.80851333333,"Dis3",8.831955,6.890517,4.860833,343,413,71,6.86110166666667,1.12051894337923
"DIS3L",1290,5.53959,1623,7.48079,1402,6.32957,6.44998333333,"Dis3l",13.951581,10.886963,9.102544,712,888,196,11.313696,0.605016019018985
"DIS3L2",696,0.317381,767,0.375411,742,0.355724,0.349505333333,"Dis3l2",4.817438,5.095417,5.084648,332,522,107,4.99916766666667,0.224948760947505
"DISC1",1679,0.707719,2143,0.969555,2108,0.934155,0.870476333333,"Disc1",0.424234,0.465357,0.222579,20,33,4,0.370723333333333,1.36459071487779
"DISP1",1162,1.51804,1545,2.16644,1473,2.02311,1.90253,"Disp1",2.069956,1.34357,2.307428,163,182,66,1.90698466666667,0.998467598842971
"DISP2",1102,9.43579,942,8.65741,705,6.34635,8.14651666667,"Disp2",101.200713,80.939005,87.455949,14779,17847,4104,89.8652223333333,0.100660257376762
"DISP3",98,0.293174,37,0.118807,76,0.23903,0.217003666667,"Disp3",6.941553,4.226979,4.918371,397,451,113,5.362301,0.191283572824832
"DIXDC1",1471,2.69063,1740,3.41611,1512,2.90758,3.00477333333,"Dixdc1",35.716048,37.998529,29.79162,2122,3239,565,34.5020656666667,0.112803952618738
"DKC1",500,5.84356,573,7.18791,687,8.44116,7.15754333333,"Dkc1",19.313672,15.702149,12.921226,372,466,99,15.9790156666667,0.480448542688193
"DKK2",54,0.0260597,60,0.031079,113,0.0573314,0.0381567,"Dkk2",0.068827,0.045405,0.081658,5,5,2,0.0652966666666667,0.974523559947307
"DKK3",8890,28.9953,10131,35.4665,7762,26.6157,30.3591666667,"Dkk3",24.283095,21.925347,23.973269,1763,2405,548,23.3939036666667,1.28553293868874
"DKKL1",13,0.170323,18,0.25313,25,0.344356,0.255936333333,"Dkkl1",0,0,0.32804,0,0,1,0.109346666666667,1.13214053917591
"DLAT",1084,4.78495,1169,5.53863,1237,5.74058,5.35472,"Dlat",51.299292,41.316464,49.074393,1811,2333,561,47.2300496666667,0.131758520754582
"DLC1",2055,0.688742,2489,0.895385,2383,0.839666,0.807931,"Dlc1",8.018291,5.972497,5.755739,979,1191,243,6.58217566666667,0.238444884355313
"DLD",5970,25.7081,5379,24.8621,6628,30.0066,26.8589333333,"Dld",69.091686,55.67647,54.263842,2230,3054,636,59.6773326666667,0.459132465270749
"DLEC1",452,0.930948,421,0.9307,448,0.970071,0.943906333333,"Dlec1",2.832542,1.551731,2.743977,77,68,18,2.37608333333333,0.575787426258139
"DLEU7",1079,0.580759,1611,0.930701,1089,0.616226,0.709228666667,"Dleu7",5.362405,4.613715,8.746893,118,158,59,6.24100433333333,0.23604856287666
"DLG1",1302,0.885841,1679,1.22613,1785,1.27679,1.129587,"Dlg1",42.239841,39.365665,36.986515,2078,2772,588,39.5306736666667,0.0525426006365993
"DLG2",1748,0.140537,1977,0.170607,1887,0.159499,0.156881,"Dlg2",43.232159,36.018449,24.632594,3294,3769,712,34.627734,0.0324713606540343
"DLG3",320,0.921652,349,1.0789,307,0.929594,0.976715333333,"Dlg3",20.8675,14.588544,10.362554,994,1037,261,15.272866,0.121473091054335
"DLG4",1518,8.11658,1361,7.81088,1072,6.02607,7.31784333333,"Dlg4",197.308824,150.413249,166.792626,3919,4871,1048,171.504899666667,0.0482180120646003
"DLG5",1221,1.56884,1553,2.14178,1327,1.79256,1.83439333333,"Dlg5",15.449698,14.324941,10.386686,1117,1251,222,13.3871083333333,0.197009243807738
"DLGAP2",159,0.0286103,100,0.0193137,84,0.0158907,0.0212715666667,"Dlgap2",3.764651,2.489083,1.947591,243,308,46,2.733775,0.273522525236979
"DLGAP3",223,0.606679,254,0.7417,152,0.434746,0.594375,"Dlgap3",17.594094,12.955562,15.114425,1132,1457,354,15.2213603333333,0.0982886124984051
"DLGAP4",2422,1.90336,1826,1.54024,2055,1.69784,1.71381333333,"Dlgap4",44.097261,38.468877,54.184581,1619,1999,508,45.583573,0.0582568737981949
"DLGAP5",38,0.152621,11,0.0474203,31,0.130897,0.110312766667,"Dlgap5",0.3061,0.353695,0.390431,4,6,1,0.350075333333333,0.822408008837285
"DLK1",0,0,0,0,3,0.0440094,0.0146698,"Dlk1",10.691558,16.422901,18.490805,773,1297,282,15.2017546666667,0.0626271549517764
"DLK2",100,2.78139,64,1.91065,42,1.22814,1.97339333333,"Dlk2",2.812053,1.512355,3.455368,71,57,12,2.59325866666667,0.827492148258925
"DLL1",135,0.96816,137,1.05457,91,0.686109,0.902946333333,"Dll1",3.76026,2.567221,5.536294,142,152,36,3.95459166666667,0.384077328942277
"DLL3",13,0.236892,18,0.352063,11,0.210736,0.266563666667,"Dll3",0.9964,0.865849,1.39257,41,36,19,1.08493966666667,0.607482166950155
"DLL4",154,2.76388,113,2.1768,98,1.84911,2.26326333333,"Dll4",0.693488,0.641266,0.849322,57,69,22,0.728025333333333,1.88843489177049
"DLST",2670,21.3447,2520,21.6232,2404,20.2047,21.0575333333,"Dlst",66.209314,65.553842,73.993357,2339,3083,788,68.5855043333333,0.316984601097931
"DLX1",24,0.849084,24,0.911363,20,0.743888,0.834778333333,"Dlx1",0.011241,0.007476,0,1,1,0,0.006239,1.82340212745978
"DLX2",6,0.302684,2,0.108295,3,0.15911,0.190029666667,"Dlx2",0,0,0,0,0,0,0,1.190029666667
"DLX3",18,0.602411,10,0.35922,6,0.21111,0.390913666667,"Dlx3",0.107876,0.047443,0.057223,6,4,1,0.0708473333333333,1.29889072267413
"DLX4",1,0.0291651,2,0.0626086,3,0.0919863,0.0612533333333,"Dlx4",0.020886,0.027455,0,1,2,0,0.0161136666666667,1.04442383578474
"DLX5",4,0.153413,5,0.205832,15,0.604828,0.321357666667,"Dlx5",0.039362,0,0.252977,1,0,2,0.0974463333333333,1.20402941495423
"DMAC1",710,1.34997,724,1.47756,672,1.3433,1.39027666667,"Dmac1",14.465563,17.02547,18.119451,168,298,66,16.536828,0.13630039974561
"DMAC2",892,16.5778,916,18.2725,669,13.0715,15.9739333333,"Dmac2",32.626112,29.426192,38.224903,560,692,212,33.4257356666667,0.493059422103659
"DMAC2L",1150,8.64661,1326,10.7012,1498,11.8413,10.39637,"Dmac2l",24.780076,25.474505,39.329237,271,390,115,29.8612726666667,0.369277382792747
"DMAP1",647,15.64,716,18.5774,630,16.0107,16.7427,"Dmap1",10.912765,8.901354,11.759355,312,415,100,10.5244913333333,1.53956469633338
"DMBT1",16,0.0336461,37,0.0835136,23,0.0508488,0.0560028333333,"Dmbt1",0,0,0,0,0,0,0,1.0560028333333
"DMBX1",2,0.0483195,0,0,0,0,0.0161065,"Dmbx1",0.191029,0.149448,0.035701,17,21,1,0.125392666666667,0.902890635505592
"DMC1",47,0.16019,41,0.14999,47,0.168412,0.159530666667,"Dmc1",0.613971,0.688188,0.650121,13,16,5,0.65076,0.702422318609004
"DMD",5531,0.431027,6998,0.585349,6841,0.560478,0.525618,"Dmd",18.990444,12.133684,18.015559,1100,1237,262,16.3798956666667,0.087780619012922
"DMGDH",1407,1.03072,1330,1.04578,1070,0.82408,0.96686,"Dmgdh",0.24784,0.072491,0.098313,16,7,2,0.139548,1.72600013338622
"DMKN",33,0.350695,56,0.638769,49,0.547456,0.512306666667,"Dmkn",2.267614,0.594588,0.323759,37,18,4,1.061987,0.733422018018057
"DMP1",1,0.0124058,3,0.0399473,10,0.130426,0.0609263666667,"Dmp1",1.569473,2.684592,2.026342,91,237,37,2.093469,0.342956844457371
"DMPK",1295,17.6251,1348,19.6921,904,12.935,16.7507333333,"Dmpk",25.089421,25.349139,19.237337,337,540,98,23.225299,0.732735366168236
"DMRT1",12,0.016455,16,0.0235493,11,0.015858,0.0186207666667,"Dmrt1",0,0.025739,0,0,1,0,0.00857966666666667,1.0099556835537
"DMRTA1",28,0.548567,46,0.96732,23,0.473738,0.663208333333,"Dmrta1",0.365057,2.210398,0.385173,28,124,5,0.986876,0.837097198482945
"DMRTA2",0,0,0,0,4,0.124646,0.0415486666667,"Dmrta2",0.039286,0.013234,0.192868,2,1,3,0.081796,0.96279581979107
"DMRTB1",0,0,1,0.0231783,1,0.0227028,0.0152937,"Dmrtb1",0.039046,0.0592,0.248373,1,2,2,0.115539666666667,0.910136797765147
"DMTN",2433,12.6754,2514,14.058,1451,7.94738,11.56026,"Dmtn",66.242456,54.072132,62.401545,2576,3081,868,60.9053776666667,0.202894489516428
"DMWD",779,13.7479,800,15.1541,624,11.5777,13.4932333333,"Dmwd",25.008932,22.616312,22.724694,861,1298,290,23.4499793333333,0.592770780527449
"DMXL1",1896,1.56708,2657,2.35714,2889,2.51038,2.14486666667,"Dmxl1",77.710166,109.922456,49.451148,1344,1819,269,79.0279233333333,0.0392971170021614
"DMXL2",2911,2.90395,3484,3.73049,3007,3.15369,3.26271,"Dmxl2",35.419228,31.751084,24.774015,4467,5751,1002,30.648109,0.134690827815336
"DNA2",146,0.43932,107,0.345583,127,0.401763,0.395555333333,"Dna2",1.061344,0.843544,0.700644,67,73,13,0.868510666666667,0.746881116725228
"DNAAF1",466,2.43152,490,2.74428,531,2.91289,2.69623,"Dnaaf1",0.033254,0.098601,0.104842,2,9,2,0.078899,3.42592772817474
"DNAAF2",192,3.33521,219,4.08326,203,3.70729,3.70858666667,"Dnaaf2",0.378801,0.278682,0.249478,27,29,5,0.302320333333333,3.61553647451561
"DNAAF3",13,0.281703,13,0.302365,3,0.0683451,0.217471033333,"Dnaaf3",0.886882,0.607531,0.616743,41,43,9,0.703718666666667,0.714596287023718
"DNAAF4",238,0.425528,226,0.433711,245,0.460528,0.439922333333,"Dnaaf4",1.132486,0.776003,1.378861,39,44,17,1.09578333333333,0.687056868155741
"DNAAF5",418,1.22161,426,1.33631,569,1.74826,1.43539333333,"Dnaaf5",2.135341,3.022547,5.55127,149,239,49,3.56971933333333,0.532941556293246
"DNAH1",607,1.25981,687,1.53044,774,1.68887,1.49304,"Dnah1",0.992639,0.707436,0.555207,114,115,17,0.751760666666667,1.42316244875156
"DNAH10",930,0.933634,594,0.64006,633,0.668091,0.747261666667,"Dnah10",0.91928,0.524038,0.33583,105,120,17,0.593049333333333,1.09680323773212
"DNAH11",178,0.0866676,143,0.0747332,123,0.0629622,0.0747876666667,"Dnah11",0.491696,0.529416,0.311719,53,64,11,0.444277,0.744170035711086
"DNAH12",66,0.0460017,89,0.0665825,72,0.0527595,0.0551145666667,"Dnah12",0.353515,0.227553,0.128895,72,92,11,0.236654333333333,0.853200880979163
"DNAH17",289,0.328489,269,0.328182,326,0.389563,0.348744666667,"Dnah17",0.616022,0.505461,0.231124,47,62,13,0.450869,0.929611609778002
"DNAH2",38,0.0570368,56,0.0902193,32,0.0504963,0.0659174666667,"Dnah2",0.688581,0.731969,0.160633,123,107,16,0.527061,0.69801891782103
"DNAH3",83,0.0640656,74,0.0613082,89,0.0722229,0.0658655666667,"Dnah3",0.171895,0.209065,0.058962,21,39,5,0.146640666666667,0.929555001537855
"DNAH5",64,0.0439818,79,0.0582721,86,0.062134,0.0547959666667,"Dnah5",0.275257,0.219871,0.159155,99,118,18,0.218094333333333,0.865939474310036
"DNAH6",149,0.0858699,192,0.118767,231,0.13996,0.114865633333,"Dnah6",0.566165,0.265409,0.286663,163,113,26,0.372745666666667,0.812142890270521
"DNAH7",80,0.0422061,104,0.0588924,124,0.0687773,0.0566252666667,"Dnah7b",1.948062,2.303365,6.981213,432,517,93,3.74421333333333,0.222718750702617
"DNAH7",80,0.0422061,104,0.0588924,124,0.0687773,0.0566252666667,"Dnah7c",0.415843,0.30408,0.130781,60,80,11,0.283568,0.823193836763381
"DNAH7",80,0.0422061,104,0.0588924,124,0.0687773,0.0566252666667,"Dnah7a",1.912668,1.348155,1.447116,41,37,10,1.569313,0.411248168933369
"DNAH8",25,0.0138438,7,0.00416059,28,0.0163009,0.0114350966667,"Dnah8",0.35947,0.821874,1.488365,18,49,6,0.889903,0.535178311620596
"DNAH9",263,0.12375,286,0.144443,260,0.128618,0.132270333333,"Dnah9",1.021442,0.493582,0.496358,163,152,17,0.670460666666667,0.677819212344818
"DNAJA2",1744,16.6371,1945,19.9155,1736,17.4108,17.9878,"Dnaja2",78.703826,61.629948,69.186649,2546,3073,711,69.840141,0.268037298231803
"DNAJA3",1034,5.83252,1124,6.80522,986,5.84723,6.16165666667,"Dnaja3",17.78628,15.946891,16.055027,910,1273,271,16.596066,0.407003285090542
"DNAJA4",2946,28.4172,2421,25.0659,2794,28.3343,27.2724666667,"Dnaja4",14.138629,13.548923,15.406483,838,1163,313,14.3646783333333,1.84009492768641
"DNAJB1",2495,29.0544,1744,21.7986,1212,14.8382,21.8970666667,"Dnajb1",10.311965,7.907935,10.297965,661,759,210,9.505955,2.1794369637696
"DNAJB11",835,7.92878,689,7.0223,1077,10.7516,8.56756,"Dnajb11",25.480906,18.806676,28.093251,669,841,234,24.1269443333333,0.38076894162207
"DNAJB12",918,7.1852,884,7.42658,1009,8.30282,7.6382,"Dnajb12",9.476277,10.818554,10.6341,509,810,198,10.3096436666667,0.763790642269278
"DNAJB13",10,0.0871404,9,0.0841788,13,0.119097,0.0968054,"Dnajb13",1.208825,0.406174,0.406548,22,25,4,0.673849,0.655259464862123
"DNAJB14",1706,5.91683,2725,10.1442,2106,7.67903,7.91335333333,"Dnajb14",13.604351,12.824056,10.191986,2754,3904,643,12.2067976666667,0.674906480609367
"DNAJB2",3575,81.8115,3606,88.5737,2439,58.6798,76.355,"Dnajb2",65.658254,68.980364,67.377216,2146,3246,725,67.3386113333333,1.1319369605374
"DNAJB4",1778,8.0076,2080,10.0548,2168,10.2652,9.44253333333,"Dnajb4",24.398987,20.808708,21.545986,972,1156,259,22.251227,0.449117516823091
"DNAJB5",165,3.11289,149,3.01722,195,3.8677,3.33260333333,"Dnajb5",18.274605,10.941743,11.101777,566,662,153,13.439375,0.30005476922166
"DNAJB6",2891,6.15478,3094,7.07009,2945,6.59155,6.60547333333,"Dnajb6",74.271273,44.412883,57.510416,1518,2139,507,58.731524,0.127327629097995
"DNAJB7",45,3.0649,35,2.55865,41,2.93579,2.85311333333,"Dnajb7",0.153079,0.076739,0,4,3,0,0.076606,3.57894469595191
"DNAJB9",1151,40.3448,1079,40.5952,1117,41.1627,40.7009,"Dnajb9",14.607359,13.574939,13.304104,673,998,188,13.8288006666667,2.81215594823785
"DNAJC1",517,0.365337,537,0.407304,479,0.355858,0.376166333333,"Dnajc1",7.46811,6.786403,6.737214,388,538,92,6.99724233333333,0.172080109114238
"DNAJC10",2732,6.08586,3290,7.86643,3540,8.29054,7.41427666667,"Dnajc10",30.771271,24.835775,30.255879,1658,2079,490,28.620975,0.284064811056017
"DNAJC11",1463,3.77208,1357,3.7554,1326,3.59433,3.70727,"Dnajc11",36.097021,28.29754,33.26133,1020,1278,302,32.5519636666667,0.140297898709177
"DNAJC12",383,1.61151,328,1.48132,293,1.2961,1.46297666667,"Dnajc12",17.035626,11.229573,12.634204,273,265,74,13.6331343333333,0.168315045195717
"DNAJC13",3091,4.44327,3504,5.4064,3722,5.62494,5.15820333333,"Dnajc13",28.333819,22.270574,43.377013,1181,1467,308,31.3271353333333,0.190496413302051
"DNAJC15",778,1.4934,999,2.05827,946,1.90909,1.82025333333,"Dnajc15",44.011454,39.478245,54.680722,2004,2238,604,46.056807,0.059932951535152
"DNAJC16",810,2.15819,788,2.25357,805,2.25496,2.22224,"Dnajc16",7.318034,6.489026,6.90858,886,1180,267,6.90521333333333,0.407609493144608
"DNAJC17",656,2.70813,726,3.21694,462,2.00514,2.64340333333,"Dnajc17",7.102577,6.875081,7.213624,96,118,38,7.06376066666667,0.451824339032136
"DNAJC18",809,3.93637,1000,5.22262,773,3.95426,4.37108333333,"Dnajc18",26.754245,24.079477,24.013288,2177,2921,638,24.9490033333333,0.206986112889756
"DNAJC2",1021,5.48115,1112,6.40754,1137,6.41719,6.10196,"Dnajc2",12.026752,9.306524,6.489912,425,481,91,9.274396,0.691228953993987
"DNAJC21",1248,7.41428,1536,9.79459,1217,7.60122,8.27003,"Dnajc21",21.348881,17.353579,22.695188,631,902,222,20.4658826666667,0.431849467545771
"DNAJC22",70,1.14729,139,2.44528,75,1.29233,1.6283,"Dnajc22",0.064803,0.237122,0.101942,2,2,1,0.134622333333333,2.31645360996772
"DNAJC24",641,1.77761,843,2.50926,731,2.13124,2.13937,"Dnajc24",14.836028,20.034815,19.107022,93,182,36,17.9926216666667,0.16529418924349
