"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","FoldChange"
"ABCB10",355,1.47221,460,2.04757,446,1.94452,1.82143333333,"Abcb10",7.860339,9.169756,7.734576,712,1245,220,8.25489033333333,0.304858645722472
"ABCB11",19,0.0286572,12,0.0194269,19,0.0301282,0.0260707666667,"Abcb11",0.107312,0.072965,0,3,3,0,0.0600923333333333,0.967906977914219
"ABCB4",69,0.153091,99,0.235763,83,0.193605,0.194153,"Abcb4",1.400501,1.459437,1.017312,106,145,28,1.29241666666667,0.520914464357119
"ABCB5",16,0.0172721,27,0.0312846,21,0.0238333,0.02413,"Abcb5",0,0,0,0,0,0,0,1.02413
"ABCB6",899,17.0286,863,17.5457,699,13.9198,16.1647,"Abcb6",11.256848,9.906954,10.797514,311,438,107,10.653772,1.47288791989409
"ABCB7",498,0.823202,595,1.05569,653,1.13482,1.00457066667,"Abcb7",7.537502,7.121689,6.273685,852,1270,219,6.97762533333333,0.251274105126772
"ABCB8",1140,10.2865,1000,9.68508,836,7.93062,9.30073333333,"Abcb8",32.393634,22.982948,29.272752,764,1061,243,28.2164446666667,0.352566284188651
"ABCB9",1253,3.60629,1433,4.42686,1068,3.23161,3.75492,"Abcb9",13.338002,13.437693,14.346582,897,1194,345,13.7074256666667,0.323300631107502
"ABCC1",825,0.744849,630,0.610513,796,0.755554,0.703638666667,"Abcc1",6.382838,7.348494,2.504568,439,657,118,5.41196666666667,0.265696744108724
"ABCC10",821,6.21923,787,6.39895,608,4.84212,5.8201,"Abcc10",4.048571,3.606159,3.043047,272,388,93,3.56592566666667,1.49369492582629
"ABCC12",22,0.0512362,10,0.0249974,9,0.0220361,0.0327565666667,"Abcc12",0.455108,0.934647,0.773761,35,106,17,0.721172,0.600031006004455
"ABCC2",51,0.127363,49,0.131343,94,0.246796,0.168500666667,"Abcc2",0.077074,0.105317,0.017706,5,9,1,0.066699,1.09543616959142
"ABCC3",107,0.325222,68,0.221843,216,0.690221,0.412428666667,"Abcc3",0.811729,0.712912,0.426075,31,43,6,0.650238666666667,0.855893571758307
"ABCC4",589,0.365351,764,0.508661,1042,0.679517,0.517843,"Abcc4",3.071147,2.167471,3.352535,318,388,87,2.86371766666667,0.392845215657148
"ABCC5",4107,7.32087,3602,6.89163,3384,6.34171,6.85140333333,"Abcc5",183.364476,141.300881,150.092514,4295,5403,1092,158.252623666667,0.0493015634691448
"ABCC6",60,0.140518,55,0.138256,50,0.123109,0.133961,"Abcc6",1.008744,1.57666,0.876534,63,89,18,1.15397933333333,0.526449340739574
"ABCC8",325,0.672859,385,0.855543,185,0.402671,0.643691,"Abcc8",11.549855,10.608686,22.413235,564,647,172,14.8572586666667,0.103655432162129
"ABCC9",94,0.113153,173,0.223523,310,0.392316,0.242997333333,"Abcc9",2.029741,1.735282,2.238094,334,424,115,2.001039,0.414188996988376
"ABCD1",264,2.31762,256,2.41223,305,2.81498,2.51494333333,"Abcd1",3.751694,3.290507,2.928051,253,362,74,3.32341733333333,0.813001166052132
"ABCD2",242,0.605942,370,0.994392,336,0.88449,0.828274666667,"Abcd2",26.320987,26.081769,26.769714,1181,1617,306,26.3908233333333,0.066747707595999
"ABCD3",2126,3.70381,2650,4.95531,2365,4.33166,4.33026,"Abcd3",23.379323,22.163501,20.687641,1616,2217,462,22.0768216666667,0.23097894835749
"ABCD4",1255,12.3263,1060,11.1747,982,10.14,11.2136666667,"Abcd4",9.282074,6.916407,9.782007,391,509,129,8.66016266666667,1.26433343703874
"ABCE1",1529,8.55123,1799,10.7992,1859,10.9305,10.0936433333,"Abce1",20.233439,17.96782,16.699634,1557,2065,408,18.3002976666667,0.57479130762111
