"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","FoldChange"
"ABCC12",22,0.0512362,10,0.0249974,9,0.0220361,0.0327565666667,"Abcc12",0.053002,0.104746,0.147696,3,8,12,0.101814666666667,0.937323306642043
"ABCC2",51,0.127363,49,0.131343,94,0.246796,0.168500666667,"Abcc2",0,0.004608,0.018311,0,1,4,0.00763966666666667,1.15964139297183
"ABCC3",107,0.325222,68,0.221843,216,0.690221,0.412428666667,"Abcc3",1.461523,0.214629,0.317509,29,21,26,0.664553666666667,0.848532970099692
"ABCC4",589,0.365351,764,0.508661,1042,0.679517,0.517843,"Abcc4",2.782009,1.147171,1.115621,203,176,168,1.68160033333333,0.566021334772607
"ABCC5",4107,7.32087,3602,6.89163,3384,6.34171,6.85140333333,"Abcc5",86.190976,31.297927,40.065383,1665,1327,1402,52.5180953333333,0.146705582185392
"ABCC6",60,0.140518,55,0.138256,50,0.123109,0.133961,"Abcc6",0.373831,0.133197,0.189503,12,15,27,0.232177,0.920290672525132
"ABCC8",325,0.672859,385,0.855543,185,0.402671,0.643691,"Abcc8",9.077188,3.798732,7.06148,338,209,235,6.6458,0.214979596641293
"ABCC9",94,0.113153,173,0.223523,310,0.392316,0.242997333333,"Abcc9",2.051365,0.582775,0.654602,234,116,131,1.09624733333333,0.592963107724725
"ABCD1",264,2.31762,256,2.41223,305,2.81498,2.51494333333,"Abcd1",2.686316,1.6366,1.846768,138,162,188,2.05656133333333,1.14996656373219
"ABCD2",242,0.605942,370,0.994392,336,0.88449,0.828274666667,"Abcd2",17.561996,16.181786,14.615399,695,907,808,16.119727,0.106793447504566
"ABCD3",2126,3.70381,2650,4.95531,2365,4.33166,4.33026,"Abcd3",22.337243,19.371378,19.426874,1135,1664,1589,20.3784983333333,0.24932808267871
"ABCD4",1255,12.3263,1060,11.1747,982,10.14,11.2136666667,"Abcd4",4.359746,3.381328,3.474536,149,205,205,3.73853666666667,2.57751865731404
"ABCE1",1529,8.55123,1799,10.7992,1859,10.9305,10.0936433333,"Abce1",23.623258,18.664945,16.190277,1327,1826,1551,19.4928266666667,0.541342759285851
"ABCF1",1386,9.38973,1319,9.59125,1352,9.62952,9.53683333333,"Abcf1",42.586641,27.88631,16.795441,940,1220,942,29.089464,0.350183483937434
"ABCF2",1264,14.0453,1300,15.5048,1236,14.4391,14.6630666667,"Abcf2",31.257595,33.14353,31.918211,1170,2228,2179,32.1064453333333,0.47311230514167
"ABCF2",1281,11.5773,1339,12.9891,1269,12.0575,12.2079666667,"Abcf2",31.257595,33.14353,31.918211,1170,2228,2179,32.1064453333333,0.398954539930674
"ABCF3",1334,29.1675,1379,32.363,1039,23.8835,28.4713333333,"Abcf3",187.359797,215.552443,216.367976,715,1524,1442,206.426738666667,0.142080686042411
"ABCG1",450,0.805841,586,1.12635,828,1.55885,1.16368033333,"Abcg1",17.44561,15.173097,13.007637,975,1194,1038,15.2087813333333,0.133488156131787
"ABCG2",670,0.82732,1233,1.63419,582,0.755544,1.07235133333,"Abcg3",0,0.136891,0.059757,0,10,4,0.0655493333333333,1.94486662278424
"ABCG4",401,5.1503,416,5.73484,237,3.20018,4.69510666667,"Abcg4",18.541567,8.825353,11.627465,718,762,801,12.9981283333333,0.406847724999664
"ABCG5",8,0.0529511,20,0.142087,8,0.055669,0.0835690333333,"Abcg5",0,0.081567,0.025253,0,3,1,0.0356066666666667,1.04631330427894
"ABCG8",24,0.0821356,29,0.106527,16,0.0575676,0.0820767333333,"Abcg8",0,0,0.031248,0,0,2,0.010416,1.07092200968047
"ABHD1",84,2.08923,91,2.42934,76,1.98727,2.16861333333,"Abhd1",0.646129,1.838952,1.144674,11,59,36,1.20991833333333,1.4338146733914
"ABHD10",991,12.057,1290,16.846,1040,13.3026,14.0685333333,"Abhd10",7.407598,8.355175,8.138571,216,388,372,7.96711466666667,1.68042161759279
"ABHD11",188,11.8397,190,12.8433,172,11.3881,12.0237,"Abhd11",14.510702,19.169353,18.676671,173,436,448,17.452242,0.705805831074619
"ABHD12",4523,8.22282,4462,8.70692,3868,7.39297,8.10757,"Abhd12",251.752332,303.428597,281.089441,2928,6286,6265,278.75679,0.0325553134921229
"ABHD12B",111,0.589088,70,0.398745,127,0.708596,0.565476333333,"Abhd12b",1.853474,0.478275,0.82166,43,30,41,1.05113633333333,0.763223930019766
"ABHD13",357,3.93437,470,5.55962,462,5.35287,4.94895333333,"Abhd13",8.435331,5.711411,5.393523,646,763,711,6.51342166666667,0.791776849118234
"ABHD14A",256,4.57571,307,5.88975,216,4.05892,4.84146,"Abhd14a",12.401468,16.017875,14.871911,157,419,397,14.430418,0.37856783918621
"ABHD14A-ACY1",514,6.20219,530,6.86433,401,5.08703,6.05118333333,"Acy1",6.602693,9.864639,8.338537,74,156,177,8.268623,0.760758457144066
"ABHD14B",619,7.25763,689,8.6709,638,7.86436,7.93096333333,"Abhd14b",9.543977,7.060984,8.598408,140,239,266,8.401123,0.949988988903772
"ABHD15",318,8.55867,325,9.38864,418,11.8275,9.92493666667,"Abhd15",0.356555,0.447731,0.224641,13,31,16,0.342975666666667,8.13487313123569
"ABHD16A",1232,13.1221,1310,14.9763,1014,11.3545,13.1509666667,"Abhd16a",41.183855,61.475216,60.134246,564,1496,1639,54.264439,0.256059175172302
"ABHD16B",39,4.56959,46,5.7851,51,6.28234,5.54567666667,"Abhd16b",0.040812,0,0,1,0,0,0.013604,6.45782442321656
"ABHD17A",1446,28.9099,1530,32.833,1345,28.2709,30.0046,"Abhd17a",58.483824,79.896002,84.757266,762,2077,2222,74.3790306666667,0.411315981723158
"ABHD17B",532,1.91708,563,2.17759,736,2.78833,2.29433333333,"Abhd17b",13.462328,12.425725,11.081772,411,633,517,12.323275,0.247261527914871
"ABHD17C",287,0.660257,270,0.666708,448,1.08355,0.803505,"Abhd17c",13.103004,9.007656,13.856976,380,472,433,11.989212,0.138846374976403
"ABHD18",391,0.915378,473,1.18857,664,1.63429,1.24607933333,"Abhd18",3.492566,4.65432,2.618732,161,244,203,3.58853933333333,0.489497674567898
"ABHD2",17724,26.9491,16264,26.543,12739,20.3636,24.6185666667,"Abhd2",19.626201,7.092046,7.529354,2086,1334,1439,11.415867,2.06337315522951
