"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","FoldChange"
"ABCB10",355,1.47221,460,2.04757,446,1.94452,1.82143333333,"Abcb10",6.396777,7.750892,7.766959,180,805,458,7.304876,0.339732144505228
"ABCB11",19,0.0286572,12,0.0194269,19,0.0301282,0.0260707666667,"Abcb11",0,0,0,0,0,0,0,1.0260707666667
"ABCB4",69,0.153091,99,0.235763,83,0.193605,0.194153,"Abcb4",0.981707,0.995733,1.250511,17,64,51,1.07598366666667,0.5752227337691
"ABCB5",16,0.0172721,27,0.0312846,21,0.0238333,0.02413,"Abcb5",0,0.027506,0,0,1,0,0.00916866666666667,1.01482540414453
"ABCB6",899,17.0286,863,17.5457,699,13.9198,16.1647,"Abcb6",10.008954,6.259513,8.472193,70,339,192,8.24688666666666,1.85626801957848
"ABCB7",498,0.823202,595,1.05569,653,1.13482,1.00457066667,"Abcb7",11.190542,11.707649,12.115453,431,1655,976,11.6712146666667,0.158198777260344
"ABCB8",1140,10.2865,1000,9.68508,836,7.93062,9.30073333333,"Abcb8",15.25636,20.988503,21.001584,152,712,401,19.082149,0.512929833023846
"ABCB9",1253,3.60629,1433,4.42686,1068,3.23161,3.75492,"Abcb9",17.894203,17.928554,14.740825,208,975,536,16.8545273333333,0.266314526911214
"ABCC1",825,0.744849,630,0.610513,796,0.755554,0.703638666667,"Abcc1",13.812049,12.232982,11.724043,122,577,317,12.5896913333333,0.125362572620634
"ABCC10",821,6.21923,787,6.39895,608,4.84212,5.8201,"Abcc10",1.510449,2.511756,2.606775,37,240,138,2.20966,2.12486680832238
"ABCC12",22,0.0512362,10,0.0249974,9,0.0220361,0.0327565666667,"Abcc12",1.138639,1.50393,1.752502,20,105,71,1.46502366666667,0.418964158694366
"ABCC2",51,0.127363,49,0.131343,94,0.246796,0.168500666667,"Abcc2",0.035961,0.118254,0.016838,2,5,2,0.0570176666666667,1.10546938193748
"ABCC3",107,0.325222,68,0.221843,216,0.690221,0.412428666667,"Abcc3",0.723344,0.342288,0.608015,4,17,10,0.557882333333333,0.906633727365589
"ABCC4",589,0.365351,764,0.508661,1042,0.679517,0.517843,"Abcc4",2.205931,3.204272,3.149303,78,354,213,2.85316866666667,0.393920726370141
"ABCC5",4107,7.32087,3602,6.89163,3384,6.34171,6.85140333333,"Abcc5",84.855585,97.027185,94.560298,703,3269,1802,92.1476893333333,0.0842898346649629
"ABCC6",60,0.140518,55,0.138256,50,0.123109,0.133961,"Abcc6",4.55294,0.592951,0.217231,22,47,16,1.78770733333333,0.406771896906442
"ABCC8",325,0.672859,385,0.855543,185,0.402671,0.643691,"Abcc8",12.776234,17.791428,14.067764,207,980,564,14.8784753333333,0.103516928766419
"ABCC9",94,0.113153,173,0.223523,310,0.392316,0.242997333333,"Abcc9",2.793501,2.280107,2.219166,120,438,241,2.43092466666667,0.362292225594286
"ABCD1",264,2.31762,256,2.41223,305,2.81498,2.51494333333,"Abcd1",2.605473,3.036115,3.167152,60,263,160,2.93624666666667,0.892968259102157
"ABCD2",242,0.605942,370,0.994392,336,0.88449,0.828274666667,"Abcd2",23.27771,33.025179,31.912742,417,1487,943,29.4052103333333,0.060130308148622
"ABCD3",2126,3.70381,2650,4.95531,2365,4.33166,4.33026,"Abcd3",25.762613,25.372644,25.767711,537,2125,1219,25.6343226666667,0.200127484626103
"ABCD4",1255,12.3263,1060,11.1747,982,10.14,11.2136666667,"Abcd4",4.797787,5.916789,4.686713,66,317,152,5.133763,1.99121920209503
"ABCE1",1529,8.55123,1799,10.7992,1859,10.9305,10.0936433333,"Abce1",21.471621,21.878849,23.233798,536,2036,1236,22.194756,0.478282389920377
"ABCF1",1386,9.38973,1319,9.59125,1352,9.62952,9.53683333333,"Abcf1",62.771934,40.780579,54.400409,408,1580,966,52.650974,0.196395937440577
"ABCF2",1264,14.0453,1300,15.5048,1236,14.4391,14.6630666667,"Abcf2",35.004874,31.624163,32.51526,585,2023,1175,33.048099,0.460027641093854
"ABCF2",1281,11.5773,1339,12.9891,1269,12.0575,12.2079666667,"Abcf2",35.004874,31.624163,32.51526,585,2023,1175,33.048099,0.387920825380001
"ABCF3",1334,29.1675,1379,32.363,1039,23.8835,28.4713333333,"Abcf3",165.753745,270.992357,262.995844,349,1659,960,233.247315333333,0.125812896900707
"ABCG1",450,0.805841,586,1.12635,828,1.55885,1.16368033333,"Abcg1",29.852875,28.362905,37.823919,513,2100,1285,32.013233,0.0655397892514799
"ABCG2",670,0.82732,1233,1.63419,582,0.755544,1.07235133333,"Abcg3",0,0.134471,0.142193,0,10,6,0.0922213333333333,1.89737305991399
"ABCG4",401,5.1503,416,5.73484,237,3.20018,4.69510666667,"Abcg4",20.105773,22.160102,21.120955,279,1363,786,21.1289433333333,0.257360081811558
"ABCG5",8,0.0529511,20,0.142087,8,0.055669,0.0835690333333,"Abcg5",0,0.0174,0.094988,0,1,2,0.0374626666666667,1.04444147066494
"ABCG8",24,0.0821356,29,0.106527,16,0.0575676,0.0820767333333,"Abcg8",0,0.017747,0,0,1,0,0.00591566666666667,1.07571317277423
"ABHD1",84,2.08923,91,2.42934,76,1.98727,2.16861333333,"Abhd1",0.959765,1.019278,1.583523,7,31,26,1.187522,1.44849438466447
"ABHD10",991,12.057,1290,16.846,1040,13.3026,14.0685333333,"Abhd10",15.744209,13.053989,13.082247,155,575,337,13.9601483333333,1.00724491479307
"ABHD11",188,11.8397,190,12.8433,172,11.3881,12.0237,"Abhd11",10.616167,13.349118,17.343117,58,295,193,13.7694673333333,0.881798896741977
"ABHD12",4523,8.22282,4462,8.70692,3868,7.39297,8.10757,"Abhd12",194.435324,224.464164,226.37899,1076,4396,2480,215.092826,0.0421465634402875
"ABHD12B",111,0.589088,70,0.398745,127,0.708596,0.565476333333,"Abhd12b",0.508261,0.346372,0.237091,5,12,5,0.363908,1.1477873385397
