"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","FoldChange"
"ABCB10",355,1.47221,460,2.04757,446,1.94452,1.82143333333,"Abcb10",5.054004,5.39951,5.054574,279,300,557,5.16936266666667,0.457329790089068
"ABCB11",19,0.0286572,12,0.0194269,19,0.0301282,0.0260707666667,"Abcb11",0,0,0.007618,0,0,1,0.00253933333333333,1.0234718305317
"ABCB4",69,0.153091,99,0.235763,83,0.193605,0.194153,"Abcb4",0.897442,1.328882,1.276568,43,52,115,1.16763066666667,0.550902429257629
"ABCB5",16,0.0172721,27,0.0312846,21,0.0238333,0.02413,"Abcb5",0,0,0.009704,0,0,1,0.00323466666666667,1.0208279618195
"ABCB6",899,17.0286,863,17.5457,699,13.9198,16.1647,"Abcb6",5.173687,6.132512,9.585194,137,184,314,6.96379766666667,2.15534104687826
"ABCB7",498,0.823202,595,1.05569,653,1.13482,1.00457066667,"Abcb7",8.209769,8.052259,6.710854,661,619,1003,7.65762733333333,0.231538109633348
"ABCB8",1140,10.2865,1000,9.68508,836,7.93062,9.30073333333,"Abcb8",22.042302,24.258646,16.042844,379,360,657,20.781264,0.472917151792935
"ABCB9",1253,3.60629,1433,4.42686,1068,3.23161,3.75492,"Abcb9",15.792623,16.120037,13.85818,451,546,923,15.2569466666667,0.292485427767904
"ABCC1",825,0.744849,630,0.610513,796,0.755554,0.703638666667,"Abcc1",5.026846,16.533466,9.187015,253,247,546,10.249109,0.151446542714361
"ABCC10",821,6.21923,787,6.39895,608,4.84212,5.8201,"Abcc10",1.786212,1.580769,1.672029,107,92,172,1.67967,2.54512682531804
"ABCC12",22,0.0512362,10,0.0249974,9,0.0220361,0.0327565666667,"Abcc12",0.617592,0.291296,0.461868,23,11,36,0.456918666666667,0.708863569597594
"ABCC2",51,0.127363,49,0.131343,94,0.246796,0.168500666667,"Abcc2",0.040083,0.193498,0.02102,1,2,3,0.084867,1.07709117031581
"ABCC3",107,0.325222,68,0.221843,216,0.690221,0.412428666667,"Abcc3",0.865018,0.524918,1.109957,24,29,63,0.833297666666667,0.770430624741427
"ABCC4",589,0.365351,764,0.508661,1042,0.679517,0.517843,"Abcc4",2.296067,3.830219,3.108326,181,142,318,3.078204,0.372184177152492
"ABCC5",4107,7.32087,3602,6.89163,3384,6.34171,6.85140333333,"Abcc5",110.830973,104.684173,122.928453,2160,1694,4156,112.814533,0.0689841896845458
"ABCC6",60,0.140518,55,0.138256,50,0.123109,0.133961,"Abcc6",0.333086,0.501555,0.344182,20,11,39,0.392941,0.814076834553653
"ABCC8",325,0.672859,385,0.855543,185,0.402671,0.643691,"Abcc8",10.666096,8.249144,8.684561,287,311,529,9.19993366666667,0.161147224454172
"ABCC9",94,0.113153,173,0.223523,310,0.392316,0.242997333333,"Abcc9",1.505095,1.407,1.404328,159,145,281,1.43880766666667,0.50967419461655
"ABCD1",264,2.31762,256,2.41223,305,2.81498,2.51494333333,"Abcd1",2.529592,3.068988,2.866758,117,140,256,2.82177933333333,0.919713836608219
"ABCD2",242,0.605942,370,0.994392,336,0.88449,0.828274666667,"Abcd2",21.283453,23.156367,20.092816,622,705,1081,21.5108786666667,0.0812173835477265
"ABCD3",2126,3.70381,2650,4.95531,2365,4.33166,4.33026,"Abcd3",19.626549,21.477619,17.245859,868,925,1507,19.450009,0.260648296047205
"ABCD4",1255,12.3263,1060,11.1747,982,10.14,11.2136666667,"Abcd4",4.217752,3.505705,4.803078,126,112,295,4.17551166666667,2.35989549504123
"ABCE1",1529,8.55123,1799,10.7992,1859,10.9305,10.0936433333,"Abce1",21.503427,20.802145,20.297685,1111,1057,1987,20.8677523333333,0.507306062561802
"ABCF1",1386,9.38973,1319,9.59125,1352,9.62952,9.53683333333,"Abcf1",40.428047,39.029551,41.36944,829,790,1519,40.2756793333333,0.255279464893523
"ABCF2",1264,14.0453,1300,15.5048,1236,14.4391,14.6630666667,"Abcf2",27.333851,29.129407,25.695858,950,991,1703,27.386372,0.551781209190805
"ABCF2",1281,11.5773,1339,12.9891,1269,12.0575,12.2079666667,"Abcf2",27.333851,29.129407,25.695858,950,991,1703,27.386372,0.465292523704685
