"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","FoldChange"
"CYP7B1",564,0.467023,920,0.817688,705,0.613743,0.632818,"Cyp7b1",3.844946,3.722443,3.931675,110,104,214,3.83302133333333,0.33784622234925
"CYP8B1",97,0.851805,82,0.772899,137,1.26482,0.963174666667,"Cyp8b1",0.039148,0.040108,0.08251,1,1,4,0.053922,1.86273240967263
"CYREN",1298,2.89112,1250,2.98842,1443,3.37906,3.0862,"Cyren",1.47804,1.599084,1.530046,40,34,52,1.53572333333333,1.61145340514278
"CYS1",105,0.75909,107,0.830287,73,0.554836,0.714737666667,"Cys1",3.417208,3.423439,6.40517,59,60,178,4.41527233333333,0.316648464032372
"CYSLTR1",184,0.571724,168,0.560297,179,0.584736,0.572252333333,"Cysltr1",0.734515,0.336092,0.345175,18,14,25,0.471927333333333,1.068158935382
"CYSRT1",25,2.59814,15,1.67323,18,1.96668,2.07935,"Cysrt1",2.422994,5.338462,7.08927,9,20,53,4.950242,0.517516766544957
"CYSTM1",3202,5.23295,3578,6.27633,2376,4.08234,5.19720666667,"Cystm1",55.108553,55.936673,47.249422,283,256,452,52.7648826666667,0.115264952870662
"CYTH1",1819,2.93559,1777,3.07816,2199,3.73101,3.24825333333,"Cyth1",43.177045,40.714791,38.373474,745,704,1394,40.7551033333333,0.101742134354595
"CYTH2",899,11.9825,883,12.6325,747,10.4676,11.6942,"Cyth2",81.581778,87.245916,75.23622,607,638,1041,81.354638,0.154140681184222
"CYTH3",2695,4.24658,2484,4.20119,2243,3.71576,4.05451,"Cyth3",7.550057,10.761,10.715418,357,355,677,9.67549166666667,0.473468591220233
"CYTH4",395,2.07132,359,2.02062,1001,5.51852,3.20348666667,"Cyth4",15.672916,8.084728,4.723077,119,103,177,9.49357366666667,0.400577229473556
"CYTIP",155,0.364235,90,0.227004,241,0.595396,0.395545,"Cytip",0.154184,0.011702,0.180786,2,1,6,0.115557333333333,1.25098456018397
"CYTL1",41,1.46987,116,4.46368,92,3.46753,3.13369333333,"Cytl1",0.460932,0.895138,0.824802,5,9,17,0.726957333333333,2.39362794525516
"CYYR1",556,0.907121,738,1.29237,605,1.03773,1.07907366667,"Cyyr1",1.558082,1.372819,2.530823,121,103,219,1.82057466666667,0.737109955371979
"CZIB",696,18.6032,762,21.8612,707,19.8672,20.1105333333,"Czib",38.286639,58.984943,43.720018,290,252,549,46.9972,0.439828434435759
"D2HGDH",1159,5.91776,925,5.0694,1435,7.70307,6.23007666667,"D2hgdh",12.104178,11.934436,8.951732,101,132,254,10.996782,0.602668004359002
"DAAM1",1156,1.10501,1186,1.21684,1302,1.30845,1.2101,"Daam1",9.961859,10.146082,9.61442,802,801,1466,9.90745366666667,0.202622909758865
"DAAM2",2806,4.35429,3581,5.9645,3986,6.50287,5.60722,"Daam2",11.972552,9.306904,10.550628,1236,913,2137,10.610028,0.569095957391317
"DAB1",1479,0.166487,1354,0.163595,1791,0.211955,0.180679,"Dab1",23.647233,19.771571,19.057112,1148,1084,1966,20.8253053333333,0.0540967918646606
"DAB2",1090,2.10118,984,2.03598,3321,6.73046,3.62254,"Dab2",3.403304,4.133236,3.643474,115,129,249,3.72667133333333,0.977969415262918
"DAB2IP",2614,2.09024,2568,2.20407,2124,1.7856,2.02663666667,"Dab2ip",18.819,22.421649,23.296312,1399,1477,2826,21.5123203333333,0.13444356787108
"DACH1",525,0.213674,688,0.300552,615,0.263151,0.259125666667,"Dach1",3.102742,4.23734,3.439721,211,281,447,3.59326766666667,0.274124165635822
"DACH2",864,0.220623,952,0.260924,1142,0.306578,0.262708333333,"Dach2",0.184001,0.39874,0.101948,8,12,8,0.228229666666667,1.02807183998405
"DACT1",457,5.56165,333,4.34983,657,8.40603,6.10583666667,"Dact1",1.633764,1.831919,1.674233,73,83,153,1.71330533333333,2.61888574771656
"DACT2",1,0.00648282,0,0,0,0,0.00216094,"Dact2",14.462214,19.769101,16.309039,416,593,907,16.8467846666667,0.0561535850136516
"DACT3",270,3.46015,267,3.67268,212,2.85631,3.32971333333,"Dact3",34.864923,33.700507,32.578358,853,953,1974,33.714596,0.124723137591173
"DAD1",1553,11.1567,1657,12.7769,1578,11.9181,11.9505666667,"Dad1",41.336151,38.443429,35.366149,394,365,650,38.3819096666667,0.328845573419755
"DAG1",4573,11.9388,5365,15.0339,5447,14.9505,13.9744,"Dag1",14.656572,16.678916,16.495037,1158,1225,2227,15.9435083333333,0.883783907406032
"DAGLA",791,2.07454,586,1.64962,362,0.99814,1.5741,"Dagla",18.559474,17.587956,17.25175,1239,1288,2425,17.7997266666667,0.136922203478845
"DAGLB",2695,6.27208,2726,6.80957,3779,9.2463,7.44265,"Daglb",5.425482,6.196209,5.815416,349,380,626,5.812369,1.23931190456653
"DALRD3",610,15.6577,671,18.4868,540,14.5724,16.2389666667,"Dalrd3",34.054861,36.149215,32.704494,323,340,764,34.3028566666667,0.48831647901676
"DAND5",8,0.145522,14,0.273342,4,0.0764956,0.165119866667,"Dand5",5.133815,4.359268,3.831349,83,70,123,4.44147733333333,0.21411829826612
"DAO",9,0.037336,12,0.0534326,7,0.0305296,0.0404327333333,"Dao",0.10538,0.053453,0,2,1,0,0.0529443333333333,0.988117510485644
"DAP3",1764,6.0365,1803,6.62251,2058,7.40406,6.68769,"Dap3",40.964135,45.76629,48.149357,494,530,1025,44.9599273333333,0.167269411551579
"DAPK1",1284,1.06105,1322,1.17258,1311,1.13897,1.1242,"Dapk1",24.127963,28.270518,26.082593,1310,1274,2464,26.160358,0.0782095729371461
"DAPK2",493,0.521986,314,0.356847,566,0.630038,0.502957,"Dapk2",1.712848,0.897176,1.212093,25,16,25,1.274039,0.660919623630026
"DAPK3",761,10.4921,751,11.1137,635,9.20432,10.27004,"Dapk3",28.534723,30.650905,30.942877,222,199,411,30.042835,0.363048027024594
"DAPL1",85,0.220106,151,0.419691,71,0.19329,0.277695666667,"Dapl1",0.416776,0.850208,0.871723,2,4,8,0.712902333333333,0.745924412503184
"DAPP1",96,0.314278,55,0.193261,136,0.468079,0.325206,"Dapp1",3.519826,2.077955,2.855297,63,60,129,2.81769266666667,0.34712223211961
"DARS1",1269,2.76356,1517,3.54596,1828,4.18526,3.49826,"Dars",20.843471,18.594702,17.709318,561,487,894,19.0491636666667,0.22436147835327
"DARS2",407,2.0817,377,2.06969,526,2.82844,2.32661,"Dars2",11.266992,13.170115,11.956104,168,193,349,12.1310703333333,0.25333883038882
"DAXX",663,25.9757,561,23.5915,572,23.5607,24.3759666667,"Daxx",8.2749,9.889263,8.753997,178,174,322,8.97272,2.544538166789
"DAZAP1",1892,11.7547,1599,10.663,2042,13.3378,11.9185,"Dazap1",26.401333,22.841112,28.568032,264,247,612,25.9368256666667,0.479585091423232
"DAZAP2",3092,16.5498,3649,20.9637,4482,25.2211,20.9115333333,"Dazap2",44.932716,57.543502,51.765889,1100,1205,2133,51.4140356666667,0.418047056567997
"DAZL",3,0.00627549,3,0.00673578,5,0.010996,0.00800242333333,"Dazl",2.949621,3.419649,1.612481,60,70,97,2.66058366666667,0.275366584982667
"DBF4",115,0.602627,139,0.781819,160,0.881473,0.755306333333,"Dbf4",0.985978,0.548962,0.935982,26,17,36,0.823640666666667,0.96252861949028
"DBH",125,0.950816,107,0.873596,102,0.815689,0.880033666667,"Dbh",0.028982,0.088917,0.121985,1,3,8,0.0799613333333333,1.74083423974469
"DBI",2814,87.1637,2798,93.025,2615,85.1572,88.4486333333,"Dbi",222.361366,233.847997,211.336314,588,615,1084,222.515225666667,0.400190336324993
"DBN1",2069,20.3132,1937,20.4121,1614,16.6594,19.1282333333,"Dbn1",87.365623,67.439144,72.55815,1564,1563,3329,75.787639,0.262128561255803
"DBNDD1",1495,17.1105,1570,19.2869,1001,12.0447,16.1473666667,"Dbndd1",6.587612,6.786987,7.205473,130,129,266,6.860024,2.18159215120717
"DBNDD2",1105,42.3896,1352,55.6692,963,38.8385,45.6324333333,"Dbndd2",49.280248,53.673445,51.101416,1358,1302,2435,51.351703,0.890752939465981
"DBNL",2933,20.6468,2956,22.335,2750,20.3522,21.1113333333,"Dbnl",17.884756,19.90514,18.735442,474,523,950,18.8417793333333,1.11438258443656
"DBP",284,6.75028,287,7.32193,209,5.22261,6.43160666667,"Dbp",44.800671,55.105152,54.724947,631,846,1728,51.54359,0.141436979594847
"DBR1",217,2.72066,230,3.09516,329,4.33659,3.38413666667,"Dbr1",5.388757,5.950905,5.12457,105,93,171,5.48807733333333,0.675722011534285
"DBT",1205,3.34593,1436,4.27981,1506,4.39635,4.00736333333,"Dbt",9.566249,8.311829,7.653873,216,220,428,8.51065033333333,0.526500623809076
"DBX2",4,0.0191829,1,0.00514749,7,0.0352932,0.01987453,"Dbx2",11.708473,12.297159,14.320743,94,126,239,12.7754583333333,0.0740356150279331
"DCAF1",798,1.33873,866,1.55937,1004,1.77077,1.55629,"Dcaf1",37.635014,35.369088,41.537938,417,425,787,38.18068,0.0652436353835615
"DCAF10",1108,2.88419,1460,4.07922,1335,3.65345,3.53895333333,"Dcaf10",4.140432,4.229841,3.550261,308,290,471,3.97351133333333,0.912625513268493
"DCAF11",1376,21.7583,1382,23.4561,1305,21.6948,22.3030666667,"Dcaf11",199.100262,206.188425,193.02871,767,742,1385,199.439132333333,0.116260065564177
"DCAF12",690,2.93913,878,4.01425,1215,5.44106,4.13148,"Dcaf12",11.377014,10.22807,10.796922,534,475,981,10.8006686666667,0.434846545136454
"DCAF12L2",76,4.75712,93,6.24819,47,3.09291,4.69940666667,"Dcaf12l1",12.127665,13.960815,11.499882,569,650,1057,12.529454,0.421259177692611
"DCAF12L2",76,4.75712,93,6.24819,47,3.09291,4.69940666667,"Dcaf12l2",0.260924,0.34799,0.390206,9,12,28,0.33304,4.27549560903649
"DCAF13",792,4.81425,843,5.50012,865,5.52787,5.28074666667,"Dcaf13",11.934382,11.726351,13.287422,367,322,689,12.3160516666667,0.471667339831089
"DCAF15",412,8.03483,380,7.95433,404,8.28322,8.09079333333,"Dcaf15",4.407301,6.363783,5.233008,133,171,297,5.33469733333333,1.43507935027835
"DCAF17",759,2.60832,852,3.14267,912,3.29498,3.01532333333,"Dcaf17",2.870096,4.047137,4.815004,183,185,356,3.91074566666667,0.817660617324443
"DCAF4",415,2.17542,430,2.41938,296,1.63126,2.07535333333,"Dcaf4",9.985273,11.968279,10.293568,182,168,331,10.74904,0.261753584406045
"DCAF4L2",0,0,0,0,3,0.168552,0.056184,"Dcaf4",9.985273,11.968279,10.293568,182,168,331,10.74904,0.0898953446409239
"DCAF5",1503,2.56745,1574,2.88594,1735,3.11587,2.85642,"Dcaf5",18.422556,26.467552,27.556167,1072,1141,2012,24.1487583333333,0.153344350002701
"DCAF6",3911,4.87822,4104,5.49441,4072,5.33973,5.23745333333,"Dcaf6",31.864279,36.87231,34.035624,977,1018,1859,34.2574043333333,0.176911870038968
"DCAF7",1958,7.80907,1965,8.41182,2128,8.9227,8.38119666667,"Dcaf7",30.26649,33.267202,30.031845,2456,2658,4686,31.1885123333333,0.29144548743109
"DCAF8",3399,12.6835,3949,15.8167,3749,14.7076,14.4026,"Dcaf8",44.932203,53.920203,51.005768,1528,1567,2930,49.9527246666667,0.302291979492049
"DCAKD",754,3.48751,756,3.75324,785,3.81726,3.68600333333,"Dcakd",13.878868,12.964175,12.91139,205,212,411,13.2514776666667,0.32880824311224
"DCBLD1",1407,2.11821,1724,2.78582,1684,2.66536,2.52313,"Dcbld1",6.009006,5.840324,5.789683,117,115,225,5.879671,0.512107337691003
"DCBLD2",1268,2.09464,1487,2.63658,1565,2.71795,2.48305666667,"Dcbld2",7.045112,6.807148,7.752595,433,461,827,7.20161833333333,0.424679194411428
"DCC",206,0.0300977,231,0.0362258,196,0.0301065,0.0321433333333,"Dcc",2.567997,3.288204,2.93636,388,416,838,2.93085366666667,0.262574855453357
"DCDC2",18,0.0168787,32,0.0322075,26,0.0256317,0.0249059666667,"Dcdc2a",5.086028,4.56104,3.618379,97,88,179,4.42181566666667,0.189033716687903
"DCDC2B",108,2.65627,99,2.61351,149,3.85277,3.04085,"Dcdc2b",3.491542,4.393573,3.55243,21,20,44,3.812515,0.839654525752128
"DCDC2C",150,0.181431,270,0.35053,211,0.268313,0.266758,"Dcdc2c",2.588669,0.243707,1.983207,11,4,22,1.60519433333333,0.486243188767876
"DCHS1",178,0.901869,174,0.946266,338,1.80044,1.21619166667,"Dchs1",2.56748,2.352748,1.910049,227,186,425,2.276759,0.676336485737889
"DCHS2",98,0.0658334,90,0.0648938,184,0.12995,0.0868924,"Dchs2",0.456236,0.543029,0.539887,71,83,162,0.513050666666667,0.718345012460477
"DCK",642,2.9225,733,3.58149,761,3.64202,3.38200333333,"Dck",6.282141,8.871329,6.184428,251,335,469,7.11263266666667,0.54014566089438
"DCLK1",4213,2.0295,4075,2.107,4570,2.31447,2.15032333333,"Dclk1",203.502012,199.608581,187.517693,11336,10857,19165,196.876095333333,0.0159206867713005
"DCLK2",1461,1.42594,1432,1.50015,1216,1.24774,1.39127666667,"Dclk2",16.832223,18.504774,18.91601,753,827,1595,18.0843356666667,0.125300492950702
"DCLK3",527,1.77296,555,2.00411,488,1.72602,1.83436333333,"Dclk3",16.883478,16.84226,16.146374,664,666,1257,16.6240373333333,0.160823724991164
"DCLRE1A",253,2.24828,289,2.75656,323,3.01766,2.67416666667,"Dclre1a",3.24773,2.341533,2.118896,94,75,161,2.56938633333333,1.02935527946587
"DCLRE1B",102,2.00804,111,2.3455,170,3.51851,2.62401666667,"Dclre1b",2.764111,3.295066,3.000526,91,86,174,3.019901,0.901518884835721
"DCLRE1C",612,1.87328,724,2.37865,688,2.21401,2.15531333333,"Dclre1c",5.42398,2.795064,5.41444,115,121,277,4.54449466666667,0.569089434299513
"DCN",18407,75.9473,24622,109.042,42870,185.961,123.6501,"Dcn",9.178008,5.736625,6.100265,105,125,258,7.004966,15.5715964315151
"DCP1A",555,1.51124,595,1.73899,819,2.34456,1.86493,"Dcp1a",8.241334,7.368616,6.664189,255,274,530,7.424713,0.34006262290478
"DCP1B",314,0.937974,394,1.26327,327,1.02694,1.07606133333,"Dcp1b",4.281936,3.594936,3.744534,135,118,274,3.873802,0.425963412820217
"DCP2",1171,4.49669,1302,5.36646,1349,5.44611,5.10308666667,"Dcp2",8.639454,8.895581,8.236843,1073,1076,1895,8.590626,0.636359573052896
"DCPS",352,1.3384,312,1.27332,357,1.42708,1.34626666667,"Dcps",7.669572,7.720915,6.217722,95,102,183,7.20273633333333,0.286034631777144
"DCST1",26,0.265516,28,0.306913,41,0.440189,0.337539333333,"Dcst1",1.639967,1.654112,1.930372,47,47,103,1.74148366666667,0.487888857262205
"DCST2",57,0.65246,52,0.638885,42,0.505436,0.598927,"Dcst2",0.065595,0.167536,0.22381,2,5,13,0.152313666666667,1.38757965496085
"DCSTAMP",8,0.0793951,5,0.0532616,1,0.0104338,0.0476968333333,"Dcstamp",2.103293,0.713586,0,3,1,0,0.938959666666667,0.540339673560323
"DCT",32,0.130397,54,0.236184,40,0.171362,0.179314333333,"Dct",0.649653,1.320374,1.007602,28,43,87,0.992543,0.591863931334481
"DCTD",1233,7.72694,1433,9.63898,1407,9.26994,8.87862,"Dctd",3.059336,6.227659,3.414359,60,65,119,4.23378466666667,1.88747161550526
"DCTN1",9699,54.7749,9495,57.5559,6977,41.4249,51.2519,"Dctn1",98.876701,103.645851,102.752608,3169,3526,6461,101.758386666667,0.508492802339313
"DCTN2",6066,61.5046,6336,68.9542,4585,48.8746,59.7778,"Dctn2",77.452262,88.566115,83.846447,1722,1937,3507,83.2882746666667,0.721070638120864
"DCTN3",1061,26.5591,1111,29.8505,840,22.1062,26.1719333333,"Dctn3",104.968049,92.300467,90.625563,465,449,805,95.964693,0.28022502307412
"DCTN4",4241,14.622,3858,14.2772,3919,14.2054,14.3682,"Dctn4",23.57611,21.950986,22.701521,1082,983,1870,22.7428723333333,0.647276360848056
"DCTN5",4117,19.9749,3772,19.6434,3322,16.945,18.8544333333,"Dctn5",37.200728,37.842423,35.138685,654,702,1220,36.7272786666667,0.526262005503251
"DCTN6",954,6.10018,1118,7.67319,1102,7.40822,7.06053,"Dctn6",88.360552,94.157512,85.399708,437,449,831,89.305924,0.0892580424734927
"DCTPP1",414,11.2727,437,12.7717,369,10.5631,11.5358333333,"Dctpp1",8.652889,7.535682,9.113755,54,47,111,8.43410866666667,1.32877771247141
"DCUN1D1",834,3.043,1060,4.15129,1072,4.11215,3.76881333333,"Dcun1d1",44.295154,45.536734,46.110297,654,626,1085,45.3140616666667,0.102966856322218
"DCUN1D2",551,2.73985,619,3.30374,639,3.34052,3.12803666667,"Dcun1d2",13.164296,12.91903,13.694801,466,456,896,13.2593756666667,0.289496311982289
"DCUN1D3",475,1.82643,466,1.92325,512,2.06975,1.93981,"Dcun1d3",11.754259,10.019521,7.491826,270,250,448,9.755202,0.273338427302435
"DCUN1D4",1589,3.75954,1884,4.78445,1645,4.0918,4.21193,"Dcun1d4",38.937676,45.945253,37.79806,1336,1374,2416,40.893663,0.124408553150389
"DCUN1D5",1307,5.50078,1449,6.54572,1423,6.29639,6.11429666667,"Dcun1d5",37.55099,35.680517,40.199916,338,313,681,37.8104743333333,0.183308676043666
"DCX",225,0.331285,217,0.342941,175,0.270891,0.315039,"Dcx",4.435996,4.474039,4.740978,500,504,962,4.55033766666667,0.236929548970985
"DCXR",724,49.1384,943,68.6964,633,45.1673,54.3340333333,"Dcxr",2.050316,2.96377,4.034561,18,26,69,3.01621566666667,13.7776548686255
"DDA1",633,8.02442,635,8.6402,546,7.2768,7.98047333333,"Dda1",17.368338,18.552189,21.378062,389,417,874,19.0995296666667,0.446800173051976
"DDAH1",1983,1.33302,2091,1.50871,1901,1.34349,1.39507333333,"Ddah1",28.270384,28.301611,25.518473,1258,1158,2124,27.3634893333333,0.0844421257618421
"DDAH2",710,34.647,726,38.0263,672,34.4758,35.7163666667,"Ddah2",6.311676,5.79249,10.308619,62,57,165,7.47092833333333,4.33439703677106
"DDB1",4899,19.8362,5643,24.5245,4986,21.2246,21.8617666667,"Ddb1",85.015459,106.465876,91.879564,2633,2721,4792,94.453633,0.239506511676722
"DDB2",890,6.27552,800,6.05466,749,5.55238,5.96085333333,"Ddb2",2.233727,3.626286,4.074006,53,79,200,3.31133966666667,1.61454533196449
"DDC",17,0.0277637,30,0.0525884,25,0.0429246,0.0410922333333,"Ddc",4.880363,5.572341,4.304018,64,83,135,4.91890733333333,0.175892639418464
"DDHD1",1185,1.7764,1368,2.20115,1357,2.13866,2.03873666667,"Ddhd1",25.948527,25.084505,28.318837,985,889,1824,26.450623,0.110698276926903
"DDHD2",4260,14.7835,4871,18.1438,4783,17.4505,16.7926,"Ddhd2",26.425964,27.773272,30.865306,726,722,1386,28.3548473333333,0.606121360399512
"DDIAS",88,0.263683,85,0.273375,84,0.264617,0.267225,"Ddias",0.191006,0.173873,0.189902,9,8,17,0.184927,1.06945406763455
"DDIT3",680,23.0671,495,18.0231,387,13.8017,18.2973,"Ddit3",24.874041,20.038956,20.764628,193,163,338,21.8925416666667,0.84295139792618
"DDIT4",4567,377.591,3713,329.501,3665,318.569,341.887,"Ddit4",15.320808,13.338939,14.543505,328,294,632,14.401084,22.2638224686003
"DDIT4L",26,0.924522,35,1.33583,17,0.635522,0.965291333333,"Ddit4l",35.632267,44.326281,48.390324,219,260,453,42.7829573333333,0.0448871308160073
"DDN",2,0.0826587,5,0.221804,4,0.173803,0.1594219,"Ddn",194.061269,202.471459,211.464181,8987,9886,19627,202.665636333333,0.00569277135246522
"DDO",64,0.46968,112,0.882228,70,0.540081,0.630663,"Ddo",2.19728,2.829286,2.200002,83,82,145,2.408856,0.478360775579843
"DDOST",2036,36.3763,2048,39.2745,2327,43.7094,39.7867333333,"Ddost",25.29368,26.967198,24.321997,683,724,1283,25.527625,1.53751922131363
"DDR1",1035,7.61769,1125,8.88743,1427,11.0419,9.18234,"Ddr1",16.296897,17.547101,13.771507,612,724,1134,15.871835,0.603511117788907
"DDR2",2061,2.30756,2465,2.96232,3412,4.01625,3.09537666667,"Ddr2",2.909038,1.67789,1.882366,187,155,369,2.15643133333333,1.29747054004343
"DDRGK1",1005,12.247,977,12.779,752,9.63426,11.55342,"Ddrgk1",79.214451,94.020704,80.81848,369,434,750,84.684545,0.146507401072154
"DDT",780,16.0994,778,17.2359,614,13.3236,15.5529666667,"Ddt",26.206051,28.154214,21.882399,153,163,247,25.4142213333333,0.626668734914061
"DDX1",4207,18.4043,4702,22.0786,3900,17.937,19.4733,"Ddx1",59.216917,63.427853,57.95042,1320,1436,2420,60.1983966666667,0.334539810111583
"DDX10",573,0.362876,661,0.449309,631,0.420118,0.410767666667,"Ddx10",4.937664,5.476903,4.611804,212,230,377,5.00879033333333,0.234783972880676
"DDX11",594,3.35395,236,1.43029,556,3.30053,2.69492333333,"Ddx11",0.556156,0.581948,0.822577,19,25,50,0.653560333333333,2.23452586449119
"DDX17",18699,134.859,20363,157.632,21849,165.666,152.719,"Ddx17",81.811085,72.58566,87.199063,4501,3950,9245,80.531936,1.88538390649769
"DDX18",1060,10.4699,1362,14.4396,1563,16.2306,13.7133666667,"Ddx18",13.589183,11.637587,12.641544,213,180,322,12.6227713333333,1.0800567892304
"DDX19A",856,5.63822,928,6.56079,991,6.86246,6.35382333333,"Ddx19a",8.006586,8.16785,7.819766,182,236,395,7.99806733333333,0.817266981998208
"DDX19B",646,2.47376,688,2.82784,814,3.27709,2.85956333333,"Ddx19b",5.748741,4.597169,4.615602,485,419,834,4.98717066666667,0.644638936855093
"DDX20",252,3.45125,305,4.48349,334,4.80907,4.24793666667,"Ddx20",3.559026,4.288288,3.548045,131,148,256,3.798453,1.09367262046122
"DDX21",1508,9.1161,1636,10.6153,2330,14.8082,11.5132,"Ddx21",4.99661,6.032809,5.116963,331,284,565,5.38212733333333,1.96066285525902
"DDX23",1139,8.6188,1215,9.86824,1217,9.6817,9.38958,"Ddx23",41.262327,34.576555,30.768124,688,660,1220,35.5356686666667,0.284368136102541
"DDX24",3505,18.5969,4074,23.2013,3991,22.2624,21.3535333333,"Ddx24",69.862501,62.760159,73.07126,1577,1732,3087,68.56464,0.32133470874427
"DDX25",273,1.18183,416,1.93298,209,0.951213,1.355341,"Ddx25",4.794476,5.08821,4.437926,478,497,845,4.77353733333333,0.407954580357784
"DDX27",854,6.01997,905,6.8474,981,7.27016,6.71251,"Ddx27",18.017109,25.285053,14.326623,235,219,447,19.209595,0.381626153319747
"DDX28",112,9.02088,126,10.8929,109,9.22987,9.71455,"Ddx28",3.325831,3.773832,3.499502,94,109,200,3.533055,2.36364879755485
"DDX31",455,1.02691,405,0.981108,523,1.24097,1.082996,"Ddx31",2.413962,2.500444,2.252868,58,53,97,2.38909133333333,0.614617841517795
"DDX39A",479,7.90486,509,9.01606,566,9.82004,8.91365333333,"Ddx39a",5.866924,4.397263,5.64453,116,106,226,5.30290566666667,1.57287033276716
"DDX39B",3984,56.9093,4238,64.9779,5399,81.0803,67.6558333333,"Ddx39b",59.713969,52.937634,55.912041,1235,1145,2379,56.1878813333333,1.2005311568219
"DDX3X",6473,36.2572,6319,37.9908,8286,48.7946,41.0142,"Ddx3x",56.577708,56.510457,45.552154,3101,3239,5213,52.8801063333333,0.779772032001496
"DDX3Y",1485,15.8468,1885,21.5907,1945,21.8209,19.7528,"Ddx3y",15.876792,15.222116,15.180104,832,707,1375,15.4263373333333,1.26338571885329
"DDX4",22,0.0485637,26,0.0616031,18,0.0417734,0.0506467333333,"Ddx4",1.192536,0.939024,0.975635,46,37,73,1.03573166666667,0.516102760760038
"DDX41",669,21.7036,716,24.9321,740,25.2391,23.9582666667,"Ddx41",10.970423,10.069987,10.120298,279,242,514,10.3869026666667,2.19183981784277
"DDX42",2255,8.61744,2499,10.2503,2963,11.9042,10.2573133333,"Ddx42",21.405113,21.835704,24.509456,896,946,1773,22.5834243333333,0.477340066234091
"DDX46",1285,2.32961,1592,3.09787,1800,3.43076,2.95274666667,"Ddx46",20.348936,24.508172,21.906922,931,846,1803,22.2546766666667,0.169976419080291
"DDX47",723,7.57875,759,8.53968,861,9.48856,8.53566333333,"Ddx47",24.796141,22.039844,25.614228,396,360,785,24.150071,0.379150553226271
"DDX49",524,9.65127,564,11.1499,429,8.30709,9.70275333333,"Ddx49",24.053143,15.852595,30.354823,195,213,447,23.420187,0.438274831119434
"DDX5",13453,236.299,14722,277.555,19360,357.508,290.454,"Ddx5",323.546444,292.421174,302.756974,10279,9488,18732,306.241530666667,0.948615245366048
"DDX50",950,3.6426,1038,4.27194,1113,4.48664,4.13372666667,"Ddx50",29.221576,28.272857,30.918849,705,739,1416,29.471094,0.168478580607247
"DDX51",504,11.3964,494,11.9896,454,10.7927,11.3929,"Ddx51",16.389518,11.914771,10.506308,162,154,322,12.9368656666667,0.889217152292755
"DDX52",671,3.4776,676,3.76049,792,4.3154,3.85116333333,"Ddx52",6.416863,5.800961,4.740237,242,223,371,5.652687,0.729203603495851
"DDX54",486,2.9995,543,3.5971,594,3.85422,3.48360666667,"Ddx54",8.107478,9.763711,8.473961,349,401,695,8.78171666666667,0.458366033229
"DDX55",513,4.75013,406,4.0351,503,4.89659,4.56060666667,"Ddx55",9.821771,7.086538,9.693937,237,204,457,8.86741533333333,0.563532240087796
"DDX56",1208,21.9031,1173,22.8285,873,16.6415,20.4577,"Ddx56",11.911331,17.584968,10.747556,241,318,465,13.4146183333333,1.48860687836457
"DDX58",1009,2.48595,1165,3.08083,1505,3.89831,3.15503,"Ddx58",2.667305,5.536019,3.628697,62,57,131,3.944007,0.84041749940888
"DDX59",401,1.52252,557,2.26994,572,2.28325,2.02523666667,"Ddx59",1.813233,2.856384,3.017196,52,59,124,2.562271,0.849243829756355
"DDX6",4355,17.5295,4616,19.9428,4653,19.6903,19.0542,"Ddx6",32.70194,31.461118,29.752396,2818,2645,4868,31.3051513333333,0.620774061482496
"DDX60",795,1.35484,1126,2.05968,1514,2.71259,2.04237,"Ddx60",0.380547,0.191186,0.393993,17,10,25,0.321908666666667,2.3014978846244
"DEAF1",1066,2.98048,1072,3.2171,1027,3.01882,3.07213333333,"Deaf1",43.370165,62.215204,42.842611,342,382,664,49.4759933333333,0.0806746547103778
"DECR1",960,3.21107,1120,4.02103,1348,4.74031,3.99080333333,"Decr1",4.619387,4.550693,4.688786,185,178,357,4.619622,0.888103031365811
"DECR2",249,4.0922,243,4.28651,179,3.09278,3.82383,"Decr2",78.820925,48.62525,41.496874,271,259,498,56.3143496666667,0.0841644374934866
"DEDD",725,10.8115,705,11.2844,772,12.1033,11.3997333333,"Dedd",61.938988,70.610374,60.80828,252,268,500,64.4525473333333,0.189446153564525
"DEDD2",483,3.9168,414,3.60351,379,3.23118,3.58383,"Dedd2",4.405859,4.76114,4.234622,192,189,363,4.467207,0.838422616886465
"DEF6",245,1.78681,263,2.05877,654,5.01451,2.95336333333,"Def6",1.028615,3.445622,1.614611,8,16,48,2.029616,1.30490574823014
"DEF8",2436,21.1346,2249,20.9434,1722,15.7068,19.2616,"Def8",20.944355,19.92851,26.730143,491,467,922,22.534336,0.860937822932417
"DEFB123",1,0.0181487,1,0.0194798,4,0.0763208,0.0379831,"Defb36",0,0,0,0,0,0,0,1.0379831
"DEFB131A",6,0.175254,16,0.501623,12,0.368499,0.348458666667,"Defb43",0,0,0,0,0,0,0,1.348458666667
