"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","FoldChange"
"CDH15",148,1.08888,124,0.979221,94,0.727084,0.931728333333,"Cdh15",1.903206,1.083829,2.064327,261,36,113,1.68378733333333,0.719776976864163
"CDH16",1,0.0161818,1,0.0173687,1,0.0170124,0.0168543,"Cdh16",0.163108,0,0,2,0,0,0.0543693333333333,0.964419457065646
"CDH17",30,0.0581413,30,0.0624058,33,0.0672381,0.0625950666667,"Cdh17",0.067093,0.03038,0.035868,9,1,2,0.044447,1.0173757659955
"CDH18",869,0.13744,832,0.14124,633,0.105253,0.127977666667,"Cdh18",8.99004,9.24245,9.909847,928,222,383,9.380779,0.10866021390755
"CDH19",7080,12.0019,19290,35.0986,17806,31.7338,26.2781,"Cdh19",24.216659,22.774289,29.751049,3612,848,1739,25.5806656666667,1.02623840734764
"CDH2",1451,1.12081,1537,1.27432,1344,1.09145,1.16219333333,"Cdh2",19.173554,19.824783,19.376817,3175,781,1266,19.4583846666667,0.105687392653874
"CDH20",84,0.0659983,70,0.0590326,84,0.0693858,0.0648055666667,"Cdh20",1.172633,1.512732,1.458931,197,62,97,1.381432,0.447128268481611
"CDH22",68,0.0881533,73,0.101576,60,0.0817747,0.0905013333333,"Cdh22",0.187441,0.451112,0.194124,26,14,9,0.277559,0.853581974165811
"CDH23",2324,0.96891,2529,1.13171,4254,1.86459,1.32173666667,"Cdh23",0.189151,0.163322,0.260071,16,6,14,0.204181333333333,1.92806232948581
"CDH24",133,2.21771,204,3.6511,187,3.27818,3.04899666667,"Cdh24",0.800515,0.578747,0.798267,110,19,46,0.725843,2.34609791659496
"CDH26",117,0.270407,112,0.277837,168,0.408206,0.318816666667,"Cdh26",0.109126,0.034558,0.086108,13,1,4,0.0765973333333333,1.22498600529105
"CDH3",192,0.388094,187,0.405712,190,0.403764,0.39919,"Cdh3",0.678498,0.52624,0.630289,127,24,46,0.611675666666667,0.868158543892309
"CDH4",902,0.22892,608,0.165623,548,0.146216,0.180253,"Cdh4",3.046733,1.812947,2.710374,660,111,245,2.52335133333333,0.334980218644105
"CDH5",583,2.6688,574,2.82033,706,3.39775,2.96229333333,"Cdh5",2.673287,3.106068,2.903467,453,128,192,2.894274,1.01746649910356
"CDH6",412,0.531341,375,0.519096,494,0.669794,0.573410333333,"Cdh6",2.359796,2.38454,2.382464,821,206,318,2.3756,0.46611278982492
"CDH7",330,0.411538,335,0.448416,288,0.377595,0.412516333333,"Cdh7",1.239996,1.565306,1.059346,117,28,47,1.288216,0.617300260697854
"CDH8",189,0.0847066,362,0.174142,152,0.0716205,0.110156366667,"Cdh8",5.216795,5.44045,6.096616,656,163,282,5.58462033333333,0.16859838691793
"CDH9",16,0.0116198,20,0.0155901,11,0.00839864,0.0118695133333,"Cdh9",3.353731,2.507371,2.606892,415,80,130,2.82266466666667,0.264702662034869
"CDHR1",851,5.92661,768,5.74088,746,5.46202,5.70983666667,"Cdhr1",14.897157,12.661075,12.502843,2730,564,899,13.3536916666667,0.467464177334402
"CDHR2",287,0.937802,251,0.880326,231,0.793559,0.870562333333,"Cdhr2",0.016971,0.116656,0.10185,3,5,7,0.0784923333333333,1.7344233941391
"CDHR3",850,0.930199,795,0.933823,693,0.797312,0.887111333333,"Cdhr3",0.321247,0,0.042109,10,0,2,0.121118666666667,1.68323959759211
"CDHR4",2,0.038219,5,0.102556,5,0.100452,0.080409,"Cdhr4",0.754132,0.459633,0.400273,11,2,3,0.538012666666667,0.702470807565954
"CDHR5",13,0.23871,48,0.946039,33,0.637059,0.607269333333,"Cdhr5",0.043414,0,0,1,0,0,0.0144713333333333,1.58434179510215
"CDIP1",1768,10.9683,1636,10.8939,1096,7.14836,9.67018666667,"Cdip1",46.012063,38.248894,42.500247,3898,832,1491,42.2537346666667,0.246688216610644
"CDIPT",2126,73.4303,2235,82.8571,1449,52.6161,69.6345,"Cdipt",165.218782,140.31603,146.656727,6112,1183,2167,150.730513,0.465526007942779
"CDK10",1079,12.0694,1015,12.1863,694,8.16136,10.8056866667,"Cdk10",34.099501,42.666266,35.302611,1353,310,550,37.356126,0.307791424678811
"CDK11A",1085,8.62407,1061,9.05187,1061,8.86617,8.84737,"Cdk11b",26.984817,33.866197,27.633805,2218,624,911,29.4949396666667,0.322918166346266
"CDK11B",1297,9.52597,1246,9.82263,1205,9.30453,9.55104333333,"Cdk11b",26.984817,33.866197,27.633805,2218,624,911,29.4949396666667,0.34599325162342
"CDK12",1152,1.94594,1200,2.1757,1491,2.64785,2.25649666667,"Cdk12",5.638163,5.182044,7.265392,1132,237,463,6.028533,0.463325229698715
"CDK13",1386,1.62005,1724,2.16293,1826,2.24391,2.00896333333,"Cdk13",9.49877,9.628526,9.6701,1551,379,688,9.599132,0.283887712062648
"CDK14",1961,0.46036,2221,0.559641,1887,0.465726,0.495242333333,"Cdk14",48.887093,76.701913,44.609581,9138,2009,3471,56.7328623333333,0.0258993279200309
"CDK15",94,0.156263,160,0.285489,148,0.25866,0.233470666667,"Cdk15",35.551635,31.140893,32.227803,2211,536,775,32.9734436666667,0.0363069072057959
"CDK16",1857,26.7273,1765,27.2664,1565,23.6808,25.8915,"Cdk16",156.162089,146.226939,144.1655,10240,2298,4043,148.851509333333,0.17945431527274
"CDK17",1055,1.508,1283,1.96841,1356,2.03773,1.83804666667,"Cdk17",22.462437,6.631626,22.849245,967,234,379,17.314436,0.154962274932736
"CDK18",411,2.54624,415,2.7596,426,2.77463,2.69349,"Cdk18",3.114042,4.103433,4.737345,239,60,76,3.98494,0.740929680196753
"CDK19",1173,0.994859,1668,1.51845,1389,1.23852,1.25060966667,"Cdk19",6.687755,6.302405,7.142108,1448,346,622,6.710756,0.291879248503
"CDK20",266,5.59003,275,6.20306,194,4.2862,5.35976333333,"Cdk20",8.116209,11.644069,9.601331,556,133,180,9.787203,0.589565555902675
"CDK2AP1",1523,11.9726,1867,15.7533,2052,16.9591,14.895,"Cdk2ap1",68.337037,65.626789,65.596347,2067,442,788,66.5200576666667,0.235411528800383
"CDK2AP1",1523,11.9726,1867,15.7533,2052,16.9591,14.895,"Gm12184",0,0,0.685913,0,0,12,0.228637666666667,12.9370931978047
"CDK2AP2",614,49.8213,500,43.5469,475,40.5208,44.6296666667,"Cdk2ap2",17.750151,14.70329,20.487623,542,108,224,17.6470213333333,2.44702174417169
"CDK3",167,5.72728,118,4.34364,147,5.30014,5.12368666667,"Cdk3",0.386369,0.955743,0.302766,13,7,4,0.548292666666667,3.95512217974509
"CDK4",803,16.9281,947,21.4281,972,21.5426,19.9662666667,"Cdk4",55.372874,56.288335,50.911349,1099,241,433,54.1908526666667,0.379886623483222
"CDK5",546,23.3617,643,29.5299,292,13.1351,22.0089,"Cdk5",95.283522,93.824238,83.946805,3599,812,1353,91.0181883333333,0.250047304959438
"CDK5R1",653,26.7727,769,33.8412,508,21.8968,27.5035666667,"Cdk5r1",12.034252,9.221279,10.110163,2006,379,695,10.4552313333333,2.48825762110609
"CDK5R2",755,52.971,718,54.07,535,39.4624,48.8344666667,"Cdk5r2",37.557852,35.172036,41.545755,3598,796,1806,38.091881,1.27480349862674
"CDK5RAP1",585,2.39213,607,2.66415,763,3.28013,2.77880333333,"Cdk5rap1",4.912853,5.299197,4.285953,283,55,99,4.83266766666667,0.647868788226291
"CDK5RAP2",1623,1.48214,1692,1.65849,1453,1.395,1.51187666667,"Cdk5rap2",6.104663,6.973511,6.721714,1730,418,658,6.59996266666667,0.330511711286038
"CDK5RAP3",1918,23.9817,1921,25.781,1854,24.3714,24.7113666667,"Cdk5rap3",10.256311,11.147706,12.628602,536,128,258,11.3442063333333,2.0828691592161
"CDK6",1087,0.819677,1247,1.0093,1009,0.799913,0.876296666667,"Cdk6",1.00494,1.110824,0.78895,453,103,154,0.968238,0.953287491993854
"CDK7",451,1.84795,428,1.88234,524,2.25727,1.99585333333,"Cdk7",17.884703,18.577327,20.195833,1050,245,451,18.8859543333333,0.150651725489899
"CDK8",501,0.579113,658,0.816379,542,0.658663,0.684718333333,"Cdk8",12.275141,13.222768,12.933426,1169,283,462,12.810445,0.121988707339481
"CDK9",1200,40.9931,1225,44.9165,1200,43.0972,43.0022666667,"Cdk9",53.639602,63.428736,54.721029,1770,398,719,57.2631223333333,0.755233583517126
"CDKAL1",487,0.121898,648,0.174094,646,0.169996,0.155329333333,"Cdkal1",4.444255,4.803055,3.778522,268,51,101,4.341944,0.216275073893137
"CDKL1",661,1.32643,745,1.60464,748,1.57805,1.50304,"Cdkl1",5.868118,6.510578,5.382003,230,66,100,5.920233,0.361698804072059
"CDKL2",935,3.01255,1092,3.77647,682,2.31018,3.03306666667,"Cdkl2",32.562338,30.975625,31.904576,4535,1143,1862,31.8141796666667,0.122906216386902
"CDKL3",232,0.478526,262,0.580042,290,0.628859,0.562475666667,"Cdkl3",9.119472,8.596161,11.245306,258,68,138,9.65364633333333,0.14666111655859
"CDKL4",64,0.20727,47,0.163378,41,0.139597,0.170081666667,"Cdkl4",0.83062,1.056746,1.117888,85,29,51,1.00175133333333,0.584528980789322
"CDKL5",461,0.353156,631,0.518843,565,0.455043,0.442347333333,"Cdkl5",1.324618,0.979996,1.230307,443,92,175,1.178307,0.662141439812203
"CDKN1A",1909,30.6526,1088,18.7513,1405,23.7179,24.3739333333,"Cdkn1a",22.346632,23.049048,22.579082,1674,421,660,22.658254,1.07251927100368
"CDKN1B",2132,50.938,2451,62.8548,2102,52.7989,55.5305666667,"Cdkn1b",29.206102,31.784301,28.883491,3063,788,1238,29.9579646666667,1.82604274135528
"CDKN1C",401,27.3543,335,24.5282,315,22.5907,24.8244,"Cdkn1c",2.183489,1.92147,1.562674,74,17,42,1.889211,8.93821877322217
"CDKN2AIP",316,12.4616,432,18.2857,410,16.9984,15.9152333333,"Cdkn2aip",2.913849,2.713022,2.773155,383,82,145,2.80000866666667,4.45136704073307
"CDKN2AIPNL",543,9.66299,529,10.1043,405,7.57713,9.11480666667,"Cdkn2aipnl",17.660079,14.67035,17.944186,1042,227,432,16.758205,0.569584970252906
"CDKN2B",261,7.12111,215,6.29631,323,9.26505,7.56082333333,"Cdkn2b",1.855445,1.219683,2.507979,89,14,52,1.86103566666667,2.99221132860047
"CDKN2C",264,3.32041,301,4.06345,301,3.98009,3.78798333333,"Cdkn2c",2.134983,1.50806,2.136362,94,21,43,1.92646833333333,1.63609606801258
"CDKN2D",1368,91.9186,1394,100.536,950,67.1087,86.5211,"Cdkn2d",44.203645,40.152428,48.719011,1989,446,829,44.3583613333333,1.92954721968057
"CDKN3",373,2.78831,155,1.24367,189,1.48536,1.83911333333,"Cdkn3",5.386282,4.449923,5.02828,116,23,39,4.95482833333333,0.476775009186663
"CDNF",49,0.442825,74,0.717808,121,1.14963,0.770087666667,"Cdnf",6.256522,7.313465,5.864949,382,79,143,6.478312,0.236696151038764
"CDO1",1704,24.9591,2687,42.2442,2015,31.0293,32.7442,"Cdo1",9.791507,12.244684,12.417032,328,74,137,11.4844076666667,2.70290757086513
"CDON",315,0.511718,410,0.714899,325,0.555063,0.593893333333,"Cdon",1.27027,1.13943,1.694272,322,71,127,1.36799066666667,0.673099499828969
"CDPF1",115,3.18845,92,2.73785,103,3.00232,2.97620666667,"Cdpf1",12.70756,16.301286,17.186393,321,88,127,15.398413,0.242475089916933
"CDR1",55,12.178,108,25.6672,64,14.8981,17.5811,"Cdr1",0,0,0,0,0,0,0,18.5811
"CDR2",894,1.71195,892,1.8334,886,1.78371,1.77635333333,"Cdr2",22.005259,19.826949,20.512536,2172,475,809,20.7815813333333,0.127463350380407
"CDR2L",1780,17.1151,1717,17.7203,1362,13.7681,16.2011666667,"Cdr2l",26.41632,24.092233,23.30344,3914,863,1412,24.6039976666667,0.671815662953831
"CDRT1",104,0.336271,99,0.343583,76,0.258349,0.312734333333,"Fbxw10",0.177699,0.147211,0.436391,24,3,7,0.253767,1.04703213063751
"CDRT4",473,1.22249,569,1.57847,478,1.29882,1.36659333333,"Cdrt4",0.467761,0,0.239776,10,0,2,0.235845666666667,1.91495863695764
"CDS1",709,1.81594,880,2.41924,595,1.60218,1.94578666667,"Cds1",37.402537,30.656213,33.737803,3144,706,1242,33.9321843333333,0.0843287278734254
"CDS2",13177,32.4186,13815,36.4811,9715,25.128,31.3425666667,"Cds2",315.923619,213.506838,305.013194,49541,11018,18236,278.147883666667,0.115861765605648
"CDSN",21,0.684455,25,0.874593,23,0.788119,0.782389,"Cdsn",0.161662,0.111162,0.068924,18,3,3,0.113916,1.60011078034609
"CDT1",38,1.21363,25,0.857006,27,0.906578,0.992404666667,"Cdt1",0.553251,0.53912,0.646218,31,7,10,0.579529666666667,1.26139110186619
"CDV3",3082,32.5685,2718,30.8287,4073,45.2499,36.2157,"Cdv3",35.26386,31.829649,41.60692,4540,1099,1826,36.2334763333333,0.999522571215908
"CDX1",1,0.00982504,0,0,2,0.0206587,0.0101612466667,"Cdx1",0.017242,0,0,1,0,0,0.00574733333333333,1.00438869006865
"CDYL",510,0.357253,714,0.53684,720,0.530245,0.474779333333,"Cdyl",4.137501,3.243795,3.744759,509,108,208,3.708685,0.31320407573091
"CDYL2",440,0.371894,372,0.337482,377,0.335001,0.348125666667,"Cdyl2",2.621863,1.546987,2.394902,259,37,92,2.18791733333333,0.422886017956237
"CEACAM1",364,1.17911,423,1.47073,371,1.26347,1.30443666667,"Ceacam2",0.054744,0.76632,0.424179,7,7,8,0.415081,1.6284839289553
"CEACAM1",364,1.17911,423,1.47073,371,1.26347,1.30443666667,"Ceacam10",8.706382,7.612378,8.954895,244,51,98,8.42455166666667,0.244514195282145
"CEACAM1",364,1.17911,423,1.47073,371,1.26347,1.30443666667,"Ceacam1",1.737048,1.539691,2.238022,207,49,96,1.83825366666667,0.811920616445958
"CEACAM16",3,0.0453058,1,0.0162096,6,0.0952624,0.0522592666667,"Ceacam16",0.21957,0.064571,0.236348,14,1,6,0.173496333333333,0.896687306791784
"CEACAM18",1,0.0141675,3,0.0456199,0,0,0.0199291333333,"Ceacam18",0.012921,0,0,1,0,0,0.004307,1.0155551373567
"CEACAM19",1045,8.26739,731,6.2074,945,7.85999,7.44492666667,"Ceacam19",0.021534,0.029382,0,3,1,0,0.016972,8.30399132588705
"CEACAM20",9,0.0559296,9,0.0600319,11,0.071867,0.0626095,"Ceacam20",0.036601,0.234279,0.023525,4,3,1,0.098135,0.967649241668829
"CEACAM3",8,0.093372,8,0.100221,5,0.0613529,0.0849819666667,"Ceacam2",0.054744,0.76632,0.424179,7,7,8,0.415081,0.766727817465361
"CEACAM3",8,0.093372,8,0.100221,5,0.0613529,0.0849819666667,"Ceacam10",8.706382,7.612378,8.954895,244,51,98,8.42455166666667,0.115122926271828
"CEACAM3",8,0.093372,8,0.100221,5,0.0613529,0.0849819666667,"Ceacam1",1.737048,1.539691,2.238022,207,49,96,1.83825366666667,0.382270964505064
"CEACAM4",31,0.668271,17,0.393351,150,3.39954,1.487054,"Ceacam5",0,0,0,0,0,0,0,2.487054
"CEACAM4",31,0.668271,17,0.393351,150,3.39954,1.487054,"Psg18",0,0,0,0,0,0,0,2.487054
"CEACAM4",31,0.668271,17,0.393351,150,3.39954,1.487054,"Ceacam3",0.015112,0.030645,0,2,1,0,0.0152523333333333,2.44969050387145
"CEACAM4",31,0.668271,17,0.393351,150,3.39954,1.487054,"Ceacam12",0.018186,0,0,1,0,0,0.006062,2.47206832183305
"CEACAM4",31,0.668271,17,0.393351,150,3.39954,1.487054,"Psg27",0,0,0,0,0,0,0,2.487054
"CEACAM4",31,0.668271,17,0.393351,150,3.39954,1.487054,"Ceacam11",0,0,0,0,0,0,0,2.487054
"CEACAM4",31,0.668271,17,0.393351,150,3.39954,1.487054,"Psg29",0.004693,0.01793,0,1,1,0,0.007541,2.46843949774749
"CEACAM4",31,0.668271,17,0.393351,150,3.39954,1.487054,"Psg19",0.015478,0.112986,0.11897,1,2,3,0.082478,2.29755616280423
"CEACAM4",31,0.668271,17,0.393351,150,3.39954,1.487054,"Psg22",0,0,0,0,0,0,0,2.487054
"CEACAM4",31,0.668271,17,0.393351,150,3.39954,1.487054,"Psg17",0,0,0,0,0,0,0,2.487054
"CEACAM4",31,0.668271,17,0.393351,150,3.39954,1.487054,"Ceacam14",0,0,0,0,0,0,0,2.487054
"CEACAM4",31,0.668271,17,0.393351,150,3.39954,1.487054,"Ceacam13",0,0,0,0,0,0,0,2.487054
"CEACAM4",31,0.668271,17,0.393351,150,3.39954,1.487054,"Psg25",0.015807,0.064502,0.060417,2,2,3,0.0469086666666667,2.37561697518345
"CEACAM4",31,0.668271,17,0.393351,150,3.39954,1.487054,"Psg23",0.235226,0.301089,0.295577,20,6,10,0.277297333333333,1.94712220490557
"CEACAM4",31,0.668271,17,0.393351,150,3.39954,1.487054,"Psg21",0,0,0,0,0,0,0,2.487054
"CEACAM4",31,0.668271,17,0.393351,150,3.39954,1.487054,"Gm5155",0,0,0,0,0,0,0,2.487054
"CEACAM4",31,0.668271,17,0.393351,150,3.39954,1.487054,"Psg26",0,0,0,0,0,0,0,2.487054
"CEACAM4",31,0.668271,17,0.393351,150,3.39954,1.487054,"Psg20",0,0,0,0,0,0,0,2.487054
"CEACAM4",31,0.668271,17,0.393351,150,3.39954,1.487054,"Psg16",9.659723,11.495869,9.775092,1768,513,707,10.310228,0.219894240858805
"CEACAM4",31,0.668271,17,0.393351,150,3.39954,1.487054,"Psg28",0,0,0,0,0,0,0,2.487054
"CEACAM5",1,0.00823508,1,0.00883911,0,0,0.00569139666667,"Ceacam10",8.706382,7.612378,8.954895,244,51,98,8.42455166666667,0.106709733495723
"CEACAM5",1,0.00823508,1,0.00883911,0,0,0.00569139666667,"Ceacam2",0.054744,0.76632,0.424179,7,7,8,0.415081,0.710695286465347
"CEACAM5",1,0.00823508,1,0.00883911,0,0,0.00569139666667,"Ceacam1",1.737048,1.539691,2.238022,207,49,96,1.83825366666667,0.354334571457732
"CEACAM6",9,0.0740425,5,0.0441518,15,0.129738,0.0826441,"Ceacam2",0.054744,0.76632,0.424179,7,7,8,0.415081,0.765075709447021
"CEACAM6",9,0.0740425,5,0.0441518,15,0.129738,0.0826441,"Ceacam10",8.706382,7.612378,8.954895,244,51,98,8.42455166666667,0.114874864958209
"CEACAM6",9,0.0740425,5,0.0441518,15,0.129738,0.0826441,"Ceacam1",1.737048,1.539691,2.238022,207,49,96,1.83825366666667,0.381447265519255
"CEACAM7",0,0,4,0.0222739,2,0.0109085,0.0110608,"Ceacam2",0.054744,0.76632,0.424179,7,7,8,0.415081,0.714489700589578
"CEACAM7",0,0,4,0.0222739,2,0.0109085,0.0110608,"Ceacam10",8.706382,7.612378,8.954895,244,51,98,8.42455166666667,0.107279458563104
"CEACAM7",0,0,4,0.0222739,2,0.0109085,0.0110608,"Ceacam1",1.737048,1.539691,2.238022,207,49,96,1.83825366666667,0.35622636971255
"CEACAM8",3,0.0353809,1,0.0126587,4,0.0495959,0.0325451666667,"Ceacam1",1.737048,1.539691,2.238022,207,49,96,1.83825366666667,0.363795942129215
"CEACAM8",3,0.0353809,1,0.0126587,4,0.0495959,0.0325451666667,"Ceacam10",8.706382,7.612378,8.954895,244,51,98,8.42455166666667,0.109559075400761
"CEACAM8",3,0.0353809,1,0.0126587,4,0.0495959,0.0325451666667,"Ceacam2",0.054744,0.76632,0.424179,7,7,8,0.415081,0.729672129487075
"CEBPA",226,15.1795,239,17.2301,227,16.0293,16.1463,"Cebpa",2.02832,1.388858,1.656234,164,28,62,1.69113733333333,6.37139539020181
"CEBPB",756,71.8176,443,45.1703,737,73.6062,63.5313666667,"Cebpb",1.522969,1.505251,1.731462,45,10,30,1.58656066666667,24.9487156819184
"CEBPD",1380,192.56,1229,184.068,2091,306.746,227.791333333,"Cebpd",0.55036,0.676917,1.253808,80,24,76,0.827028333333333,125.225936105534
"CEBPE",1,0.0755292,1,0.0810691,2,0.158812,0.105136766667,"Cebpe",0.290894,0.184624,0.161564,13,2,3,0.212360666666667,0.91155775426592
"CEBPG",1266,24.5689,1164,24.2463,1094,22.3207,23.7119666667,"Cebpg",8.855428,9.766299,9.776746,1570,423,644,9.46615766666667,2.36113074671179
"CEBPZ",1710,9.96283,2082,13.0199,2133,13.0652,12.0159766667,"Cebpz",12.785592,12.030838,11.664749,1370,324,499,12.160393,0.989026442196673
"CEBPZOS",1243,11.0195,1512,14.3875,1564,14.577,13.328,"Cebpzos",27.750859,27.132646,29.81127,429,105,186,28.2315916666667,0.490154630079158
"CECR2",464,0.408981,391,0.369915,445,0.412366,0.397087333333,"Cecr2",0.883345,0.462416,0.721977,145,26,44,0.689246,0.827047886058632
"CEL",50,0.883747,31,0.588112,20,0.371643,0.614500666667,"Cel",0.072579,0.09967,0.09335,6,2,3,0.088533,1.48318945467616
"CELA1",5,0.0478942,6,0.0616886,4,0.040282,0.0499549333333,"Cela1",22.981372,18.616013,27.537381,304,58,117,23.044922,0.0436663896573796
"CELA2A",17,0.193301,24,0.292913,15,0.179315,0.221843,"Cela2a",0,0,0,0,0,0,0,1.221843
"CELA2B",114,0.781406,106,0.779863,116,0.835926,0.799065,"Cela2a",0,0,0,0,0,0,0,1.799065
"CELA3A",0,0,0,0,1,0.0168718,0.00562393333333,"Cela3b",0.31086,0.254838,0,10,2,0,0.188566,0.846081692841062
"CELA3A",0,0,0,0,1,0.0168718,0.00562393333333,"Cela3a",0,0,0,0,0,0,0,1.00562393333333
"CELA3B",3,0.0242402,8,0.0693817,12,0.101938,0.0651866333333,"Cela3a",0,0,0,0,0,0,0,1.0651866333333
"CELA3B",3,0.0242402,8,0.0693817,12,0.101938,0.0651866333333,"Cela3b",0.31086,0.254838,0,10,2,0,0.188566,0.896194770280573
"CELF1",2199,3.85563,2183,4.10832,2804,5.16876,4.37757,"Celf1",21.251866,14.261423,13.410329,2871,665,1139,16.3078726666667,0.31070080671189
"CELF2",3924,1.27354,4867,1.69545,5339,1.82172,1.59690333333,"Celf2",10.577096,15.333682,15.004062,2046,464,812,13.63828,0.177404950125971
"CELF3",59,0.615505,65,0.727836,54,0.592259,0.6452,"Celf3",22.014017,21.654995,22.351336,818,191,339,22.0067826666667,0.0715093467798801
"CELF4",1605,0.868657,1264,0.734278,990,0.563309,0.722081333333,"Celf4",59.119868,47.541793,64.640771,3848,851,1524,57.1008106666667,0.0296395405429512
"CELF6",376,1.85394,446,2.36038,327,1.69509,1.96980333333,"Celf6",37.378738,28.048842,35.234138,2439,484,825,33.553906,0.0859469645292778
"CELSR1",43,0.0426006,81,0.0861336,66,0.0687431,0.0658257666667,"Celsr1",2.228153,2.921106,3.040285,564,120,211,2.729848,0.285755818110202
"CELSR2",2274,15.1553,2235,15.9879,1485,10.4049,13.8493666667,"Celsr2",10.021656,15.958973,11.193951,2013,482,859,12.3915266666667,1.10886286801505
"CELSR3",478,3.16024,337,2.39146,319,2.21728,2.58966,"Celsr3",12.470369,13.627318,11.944229,2964,616,1122,12.6806386666667,0.26238979681163
"CEMIP",1355,1.3728,948,1.0309,3157,3.36264,1.92211333333,"Cemip",1.224329,1.116693,1.466636,289,67,133,1.26921933333333,1.28771744996444
"CEMIP2",1532,2.00742,1363,1.91697,2001,2.75654,2.22697666667,"Cemip2",5.619043,5.565009,5.688405,1581,378,635,5.62415233333333,0.48715314870275
"CEND1",3071,178.893,3173,198.392,1828,111.951,163.078666667,"Cend1",239.276165,222.396376,218.913554,13931,3145,5082,226.862031666667,0.720079012141111
"CENPA",923,4.38422,850,4.33361,866,4.32461,4.34748,"Cenpa",0.841131,3.208123,0.804326,43,8,18,1.61786,2.0426913585906
"CENPB",837,50.5962,1005,65.2078,915,58.1503,57.9847666667,"Cenpb",18.253715,20.913037,19.546008,3666,1015,1596,19.57092,2.86738593445018
"CENPC",751,1.70961,1099,2.68532,953,2.28081,2.22524666667,"Cenpc1",9.042245,9.614099,9.902774,1096,286,457,9.519706,0.306590950989505
"CENPE",136,0.255208,133,0.267884,139,0.274225,0.265772333333,"Cenpe",0.467484,0.795816,0.490219,60,16,26,0.584506333333333,0.798843341111921
"CENPF",231,0.657502,299,0.913475,270,0.807954,0.792977,"Cenpf",0.056129,0.034049,0.084709,19,4,16,0.0582956666666667,1.69421179399456
"CENPH",75,0.630409,61,0.550341,83,0.733462,0.638070666667,"Cenph",0.679303,0.639274,1.191655,22,5,17,0.836744,0.891833955448881
"CENPI",112,0.298886,79,0.226285,109,0.305811,0.276994,"Cenpi",0.582775,0.663803,1.175536,64,18,19,0.807371333333333,0.70654766757025
"CENPJ",549,2.36167,500,2.30865,457,2.06681,2.24571,"Cenpj",4.430613,7.575449,4.184659,362,96,118,5.396907,0.507387398316092
"CENPK",59,0.227017,57,0.235408,95,0.384298,0.282241,"Cenpk",1.588245,1.182404,0.716991,37,10,12,1.16254666666667,0.592931019600348
"CENPL",95,0.659347,103,0.767305,115,0.839124,0.755258666667,"Cenpl",2.210654,1.757807,1.521857,172,39,55,1.830106,0.620209513942941
"CENPM",25,0.518949,21,0.467891,14,0.305528,0.430789333333,"Cenpm",4.97416,6.856373,8.504174,44,11,13,6.77823566666667,0.183947799301658
"CENPN",239,1.56866,233,1.64145,222,1.53187,1.58066,"Cenpn",1.545566,1.672662,1.248703,99,21,34,1.488977,1.03683561559629
"CENPO",1848,11.0408,1331,8.53526,1997,12.5434,10.7064866667,"Cenpo",2.775649,3.961105,2.745624,173,54,68,3.16079266666667,2.81352319246381
"CENPP",1357,0.80477,2170,1.38131,4947,3.08441,1.75683,"Cenpp",0.262523,0.678298,0.581712,11,7,9,0.507511,1.82872960794316
"CENPQ",177,1.03981,230,1.45026,200,1.23523,1.24176666667,"Cenpq",2.13781,3.188462,2.135612,152,54,63,2.48729466666667,0.642838326252709
"CENPS",93,1.31278,136,2.06058,101,1.49889,1.62408333333,"Cenps",8.295266,2.74255,6.933341,122,13,40,5.99038566666667,0.375384629469418
"CENPT",1732,15.3945,1619,15.4456,1505,14.0635,14.9678666667,"Cenpt",4.104027,5.172756,5.528564,273,65,113,4.93511566666667,2.69040530353607
"CENPU",160,0.697994,166,0.777284,290,1.33005,0.935109333333,"Cenpu",1.26182,1.979215,1.89334,22,5,11,1.71145833333333,0.713678432577672
"CENPV",179,2.81139,232,3.91108,331,5.46556,4.06267666667,"Cenpv",16.358724,10.503431,19.098479,233,41,94,15.3202113333333,0.310209014041975
"CENPW",24,0.481818,28,0.603351,27,0.569867,0.551678666667,"Cenpw",1.78924,1.631182,1.976802,269,59,119,1.79907466666667,0.554354153229806
"CEP104",1081,4.18466,1204,5.00267,981,3.99247,4.39326666667,"Cep104",9.934685,11.838343,14.275593,1833,399,735,12.016207,0.414350099585079
"CEP112",762,0.239169,851,0.286695,816,0.269264,0.265042666667,"Cep112",2.642698,4.596968,4.597637,164,36,70,3.94576766666667,0.255782873747405
"CEP120",725,1.6092,790,1.88209,983,2.29384,1.92837666667,"Cep120",26.284956,23.954928,23.903475,5015,1121,1778,24.714453,0.113880573958544
"CEP126",1610,3.26851,1817,3.95931,1295,2.76396,3.33059333333,"Cep126",6.354458,4.630418,9.040559,650,134,284,6.675145,0.564236028547995
"CEP128",462,0.167264,427,0.165932,576,0.219241,0.184145666667,"Cep128",3.236027,3.071254,2.845049,186,30,90,3.05077666666667,0.292325586945137
"CEP131",273,1.42763,261,1.46499,232,1.2755,1.38937333333,"Cep131",7.955333,10.861064,9.001129,412,98,171,9.27250866666667,0.232598814064114
"CEP135",280,0.578946,286,0.634726,404,0.878213,0.697295,"Cep135",1.411877,1.16159,1.330966,317,64,119,1.30147766666667,0.737480543297328
