"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","FoldChange"
"ABCB10",355,1.47221,460,2.04757,446,1.94452,1.82143333333,"Abcb10",5.679646,5.373036,5.311046,963,220,368,5.454576,0.43712140554701
"ABCB11",19,0.0286572,12,0.0194269,19,0.0301282,0.0260707666667,"Abcb11",0,0,0.012404,0,0,1,0.00413466666666667,1.02184577500232
"ABCB4",69,0.153091,99,0.235763,83,0.193605,0.194153,"Abcb4",2.85706,2.376162,2.887682,430,81,174,2.706968,0.322137390989078
"ABCB5",16,0.0172721,27,0.0312846,21,0.0238333,0.02413,"Abcb5",0,0,0,0,0,0,0,1.02413
"ABCB6",899,17.0286,863,17.5457,699,13.9198,16.1647,"Abcb6",11.693171,5.646987,10.839573,709,152,266,9.39324366666667,1.65152483194932
"ABCB7",498,0.823202,595,1.05569,653,1.13482,1.00457066667,"Abcb7",7.456802,7.129243,7.31946,1722,415,663,7.301835,0.241461154873591
"ABCB8",1140,10.2865,1000,9.68508,836,7.93062,9.30073333333,"Abcb8",25.498487,22.60307,29.797684,1350,316,528,25.9664136666667,0.381983806250914
"ABCB9",1253,3.60629,1433,4.42686,1068,3.23161,3.75492,"Abcb9",15.429411,12.471241,16.112352,1637,348,695,14.6710013333333,0.303421580973639
"ABCC1",825,0.744849,630,0.610513,796,0.755554,0.703638666667,"Abcc1",8.351031,6.08049,11.592946,994,209,349,8.67482233333333,0.176089917516866
"ABCC10",821,6.21923,787,6.39895,608,4.84212,5.8201,"Abcc10",2.622562,2.513981,2.584121,288,85,131,2.57355466666667,1.90849186207123
"ABCC12",22,0.0512362,10,0.0249974,9,0.0220361,0.0327565666667,"Abcc12",0.581075,0.452147,0.584976,67,15,32,0.539399333333333,0.670882820528721
"ABCC2",51,0.127363,49,0.131343,94,0.246796,0.168500666667,"Abcc2",0.140255,0.055143,0.014914,11,3,2,0.070104,1.09195056430683
"ABCC3",107,0.325222,68,0.221843,216,0.690221,0.412428666667,"Abcc3",0.786365,0.247674,1.21136,64,13,30,0.748466333333333,0.807810044574493
"ABCC4",589,0.365351,764,0.508661,1042,0.679517,0.517843,"Abcc4",7.38802,4.529168,6.372067,1235,251,481,6.09641833333333,0.213888602489848
"ABCC5",4107,7.32087,3602,6.89163,3384,6.34171,6.85140333333,"Abcc5",198.841532,203.71343,188.884774,9456,2400,3630,197.146578666667,0.0396242185263167
"ABCC6",60,0.140518,55,0.138256,50,0.123109,0.133961,"Abcc6",0.085526,0.0381,0.217017,4,2,4,0.113547666666667,1.01833180019535
"ABCC8",325,0.672859,385,0.855543,185,0.402671,0.643691,"Abcc8",7.000264,4.430874,5.406411,502,87,201,5.61251633333333,0.248572694136761
"ABCC9",94,0.113153,173,0.223523,310,0.392316,0.242997333333,"Abcc9",0.457331,0.586749,0.748134,144,44,89,0.597404666666667,0.778135534013923
"ABCD1",264,2.31762,256,2.41223,305,2.81498,2.51494333333,"Abcd1",3.015163,2.892315,3.204815,439,97,175,3.037431,0.87058907838425
"ABCD2",242,0.605942,370,0.994392,336,0.88449,0.828274666667,"Abcd2",12.532056,12.875819,24.69632,1069,277,522,16.7013983333333,0.103284194403116
"ABCD3",2126,3.70381,2650,4.95531,2365,4.33166,4.33026,"Abcd3",23.050902,26.579739,25.839073,2983,814,1204,25.1565713333333,0.203782825052733
"ABCD4",1255,12.3263,1060,11.1747,982,10.14,11.2136666667,"Abcd4",7.701302,7.200632,7.596608,671,162,279,7.499514,1.43698412246865
"ABCE1",1529,8.55123,1799,10.7992,1859,10.9305,10.0936433333,"Abce1",34.359215,33.442045,35.396792,5248,1252,2130,34.3993506666667,0.313385503529763
"ABCF1",1386,9.38973,1319,9.59125,1352,9.62952,9.53683333333,"Abcf1",48.874882,43.044373,42.180863,2775,693,1070,44.7000393333333,0.230565082372796
"ABCF2",1264,14.0453,1300,15.5048,1236,14.4391,14.6630666667,"Abcf2",34.216991,31.769168,33.397482,3604,812,1372,33.1278803333333,0.458952226558343
"ABCF2",1281,11.5773,1339,12.9891,1269,12.0575,12.2079666667,"Abcf2",34.216991,31.769168,33.397482,3604,812,1372,33.1278803333333,0.387013976188833
"ABCF3",1334,29.1675,1379,32.363,1039,23.8835,28.4713333333,"Abcf3",239.440985,240.481862,262.081136,2543,620,992,247.334661,0.118675875589111
"ABCG1",450,0.805841,586,1.12635,828,1.55885,1.16368033333,"Abcg1",18.773829,17.063098,18.789429,2286,536,842,18.2087853333333,0.112640143339794
"ABCG2",670,0.82732,1233,1.63419,582,0.755544,1.07235133333,"Abcg3",0.086155,0.200865,0.045136,10,6,2,0.110718666666667,1.86577519179474
"ABCG4",401,5.1503,416,5.73484,237,3.20018,4.69510666667,"Abcg4",18.519571,16.468391,21.177021,2011,443,752,18.721661,0.288774189287099
"ABCG5",8,0.0529511,20,0.142087,8,0.055669,0.0835690333333,"Abcg5",0.010563,0.043488,0,1,1,0,0.018017,1.06439188474583
"ABCG8",24,0.0821356,29,0.106527,16,0.0575676,0.0820767333333,"Abcg8",0.091383,0.209021,0.104162,14,7,6,0.134855333333333,0.95349310308565
"ABHD1",84,2.08923,91,2.42934,76,1.98727,2.16861333333,"Abhd1",0.248361,0.11232,0.155026,13,1,3,0.171902333333333,2.70382031266826
"ABHD10",991,12.057,1290,16.846,1040,13.3026,14.0685333333,"Abhd10",17.746552,16.650794,17.367814,1666,373,628,17.2550533333333,0.825444497923497
"ABHD11",188,11.8397,190,12.8433,172,11.3881,12.0237,"Abhd11",21.328858,20.942596,21.510674,760,193,291,21.2607093333333,0.585053234601928
"ABHD12",4523,8.22282,4462,8.70692,3868,7.39297,8.10757,"Abhd12",214.181303,199.363481,208.134202,7251,1684,2832,207.226328666667,0.0437388012280599
"ABHD12B",111,0.589088,70,0.398745,127,0.708596,0.565476333333,"Abhd12b",0.170078,0.151447,0.182774,12,2,5,0.168099666666667,1.34019072002674
"ABHD13",357,3.93437,470,5.55962,462,5.35287,4.94895333333,"Abhd13",3.425154,2.566317,3.608387,713,132,298,3.19995266666667,1.41643342329652
"ABHD14A",256,4.57571,307,5.88975,216,4.05892,4.84146,"Abhd14a",19.7553,20.709479,18.454951,796,192,283,19.63991,0.283017706957056
"ABHD14A-ACY1",514,6.20219,530,6.86433,401,5.08703,6.05118333333,"Acy1",4.989371,3.982819,4.037825,145,35,48,4.33667166666667,1.32126984265724
"ABHD14B",619,7.25763,689,8.6709,638,7.86436,7.93096333333,"Abhd14b",18.377497,14.011024,14.704548,754,156,268,15.6976896666667,0.534862218164154
"ABHD15",318,8.55867,325,9.38864,418,11.8275,9.92493666667,"Abhd15",1.258226,1.963905,0.849918,121,26,37,1.35734966666667,4.6344150047617
"ABHD16A",1232,13.1221,1310,14.9763,1014,11.3545,13.1509666667,"Abhd16a",70.646955,78.385633,75.72245,2758,659,1094,74.918346,0.186397193989184
"ABHD16B",39,4.56959,46,5.7851,51,6.28234,5.54567666667,"Abhd16b",0.100346,0.059159,0.073675,7,1,2,0.0777266666666667,6.07359627364081
"ABHD17A",1446,28.9099,1530,32.833,1345,28.2709,30.0046,"Abhd17a",54.32776,41.861233,48.254641,1996,396,869,48.147878,0.630843105779664
"ABHD17B",532,1.91708,563,2.17759,736,2.78833,2.29433333333,"Abhd17b",22.041201,20.581638,22.935141,1825,435,732,21.85266,0.144155355802344
"ABHD17C",287,0.660257,270,0.666708,448,1.08355,0.803505,"Abhd17c",11.283472,13.469857,8.899621,714,148,294,11.21765,0.147614721325296
"ABHD18",391,0.915378,473,1.18857,664,1.63429,1.24607933333,"Abhd18",3.17983,3.46159,2.752458,273,75,108,3.13129266666667,0.543674707786376
"ABHD2",17724,26.9491,16264,26.543,12739,20.3636,24.6185666667,"Abhd2",36.723837,35.505954,38.19751,10887,2566,4419,36.8091003333333,0.677576732607787
"ABHD3",1424,4.61714,1403,4.88271,1271,4.33258,4.61081,"Abhd3",14.353249,12.050526,13.142816,749,205,280,13.182197,0.395623470749983
"ABHD4",738,8.60724,755,9.45138,690,8.46048,8.8397,"Abhd4",50.359455,48.462447,50.512159,4010,834,1505,49.7780203333333,0.193778724247363
"ABHD5",469,1.85103,419,1.77498,452,1.8755,1.83383666667,"Abhd5",30.875776,28.899154,33.675929,1450,328,540,31.1502863333333,0.0881434347827841
"ABHD6",462,1.38769,518,1.67002,434,1.3705,1.47607,"Abhd6",12.397356,10.977638,11.245281,974,215,348,11.5400916666667,0.19745230464158
"ABHD8",802,7.73824,756,7.82943,603,6.11679,7.22815333333,"Abhd8",37.222072,31.595592,35.732559,2814,569,1151,34.8500743333333,0.229515656141317
"ABI1",1701,2.59542,1851,3.03145,2269,3.63979,3.08888666667,"Abi1",73.499723,76.395454,73.837698,3519,880,1307,74.577625,0.0541018147457002
"ABI2",4245,6.20636,4621,7.25163,4889,7.5148,6.99093,"Abi2",33.5103,22.271769,32.250394,3171,695,1283,29.3441543333333,0.263343308639249
"ABI3",335,4.56685,245,3.58491,572,8.19797,5.44991,"Abi3",0.648225,0.232863,1.080233,18,6,10,0.653773666666667,3.90011652138614
"ABI3BP",385,0.275246,801,0.614658,1404,1.05528,0.648394666667,"Abi3bp",1.766439,2.649653,2.136867,308,112,149,2.18431966666667,0.517659920868602
"ABITRAM",1122,11.9922,1332,15.2809,1849,20.7769,16.0166666667,"Abitram",3.739558,3.621243,4.375773,439,119,176,3.91219133333333,3.46417016601688
"ABL1",1330,1.3303,1558,1.67265,1785,1.87704,1.62666333333,"Abl1",8.536541,8.902709,11.083969,1262,319,543,9.50773966666667,0.249974153971712
"ABL2",1534,2.05583,1795,2.58207,2285,3.21949,2.61913,"Abl2",5.264426,4.654585,6.798877,2047,472,841,5.57262933333333,0.550636559047298
"ABLIM1",9790,5.07585,10498,5.84216,8705,4.74497,5.22099333333,"Ablim1",44.867705,42.117908,43.063424,9236,2061,3536,43.349679,0.14027143992023
"ABLIM2",835,0.75378,569,0.551329,725,0.688072,0.664393666667,"Ablim2",27.7936,29.426839,21.693994,1532,345,560,26.304811,0.060956058866952
"ABLIM3",3540,5.19431,3148,4.95792,2904,4.47981,4.87734666667,"Ablim3",13.169178,12.081958,12.860354,2375,528,912,12.70383,0.428883506776573
"ABO",280,1.90898,318,2.32708,308,2.20766,2.14790666667,"Abo",0.10168,0,0.037192,7,0,1,0.0462906666666667,3.00863494911866
"ABR",3546,2.7384,3554,2.94588,3798,3.08355,2.92261,"Abr",59.447352,52.550682,58.358209,10128,2156,3916,56.7854143333333,0.0678823548339127
"ABRA",10,0.16233,32,0.557555,60,1.02397,0.581285,"Abra",0.017227,0,0.044071,2,0,2,0.0204326666666667,1.54962208840825
"ABRACL",136,1.63203,150,1.93206,207,2.61154,2.05854333333,"Abracl",37.088713,47.865666,52.35161,184,56,84,45.768663,0.0653972796556104
"ABRAXAS1",607,1.66127,747,2.19439,763,2.19541,2.01702333333,"Abraxas1",3.576158,3.463709,2.394861,158,35,60,3.14490933333333,0.727886448339682
"ABRAXAS2",669,3.35372,688,3.70194,758,3.99492,3.68352666667,"Abraxas2",19.151046,15.849001,18.553229,1604,384,645,17.851092,0.248448560256881
"ABT1",253,11.6712,303,15.003,253,12.2703,12.9815,"Abt1",1.783222,1.437852,1.858162,334,66,136,1.69307866666667,5.19164188297012
"ABTB1",1543,33.7288,1425,33.4342,937,21.5334,29.5654666667,"Abtb1",46.710301,42.045226,46.427737,1463,361,559,45.061088,0.663585425222696
"ABTB2",364,0.307165,368,0.333318,470,0.416971,0.352484666667,"Abtb2",16.08518,16.368571,14.737303,2968,692,1128,15.7303513333333,0.0808401831928256
"ACAA1",1192,6.10428,1253,6.88731,1152,6.20224,6.39794333333,"Acaa1a",25.849155,26.174187,25.673361,1300,309,546,25.898901,0.275027717055429
"ACAA1",1192,6.10428,1253,6.88731,1152,6.20224,6.39794333333,"Acaa1b",0.255714,0.200968,0.42739,5,3,3,0.294690666666667,5.71406245815989
"ACAA2",1316,7.23196,1158,6.83045,1297,7.49339,7.18526666667,"Acaa2",48.921519,40.774913,50.141634,1806,371,659,46.6126886666667,0.171913556992644
"ACACA",4300,2.33406,4641,2.70393,4008,2.28723,2.44174,"Acaca",28.483863,24.922881,36.571534,7673,1813,3098,29.9927593333333,0.111049808859656
"ACACB",3042,3.50477,3493,4.31955,2522,3.0548,3.62637333333,"Acacb",2.097291,2.286744,2.776692,428,116,205,2.386909,1.36595737686782
"ACAD10",802,1.97192,897,2.36727,684,1.76811,2.03576666667,"Acad10",5.900381,5.058764,3.772682,398,85,139,4.910609,0.513613177029643
"ACAD10",802,1.97192,897,2.36727,684,1.76811,2.03576666667,"Acad12",3.621239,3.400602,3.793902,278,56,108,3.60524766666667,0.659197265033809
"ACAD11",1114,1.90902,1115,2.05088,1118,2.01421,1.99137,"Acad11",8.306437,8.234552,10.686786,908,217,371,9.075925,0.296882916456802
"ACAD8",819,11.575,885,13.4252,746,11.0844,12.0282,"Acad8",19.029721,18.683449,17.581744,1000,249,370,18.431638,0.670463292904077
"ACAD9",1039,4.97676,1126,5.78908,1091,5.49407,5.41997,"Acad9",35.76316,32.365758,33.771603,1593,407,659,33.9668403333333,0.183601661997465
"ACADL",894,4.07549,1008,4.93223,2279,10.9226,6.64344,"Acadl",73.220247,63.531695,77.515492,4260,1046,1720,71.422478,0.105539608849065
"ACADM",1245,3.43988,1406,4.16965,1536,4.46173,4.02375333333,"Acadm",104.286834,133.069582,89.941463,2042,555,727,109.099293,0.0456292969413528
"ACADS",317,3.89038,354,4.66312,259,3.34173,3.96507666667,"Acads",9.784882,10.757871,9.318308,551,138,214,9.953687,0.453279034417361
"ACADSB",866,3.0667,1330,5.05528,1095,4.07667,4.06621666667,"Acadsb",96.232375,126.89331,108.03208,1698,455,653,110.385921666667,0.045483455995733
"ACADVL",7556,162.126,6596,151.908,4694,105.887,139.973666667,"Acadvl",42.023617,41.941155,42.073591,3114,819,1237,42.0127876666667,3.27748268165026
"ACAN",7,0.0170047,96,0.250313,28,0.0715101,0.1129426,"Acan",0.130892,0.191164,0.119876,36,15,14,0.147310666666667,0.970044672585048
"ACAP1",124,1.44911,135,1.69337,286,3.51385,2.21877666667,"Acap1",0.091783,0.232758,0.226778,10,6,5,0.183773,2.71908268449272
"ACAP2",1382,1.43455,1840,2.05005,1856,2.02545,1.83668333333,"Acap2",20.793923,20.213468,20.579347,2488,592,1000,20.5289126666667,0.131761569998937
"ACAP3",1458,14.7916,1582,17.2268,1149,12.2551,14.7578333333,"Acap3",26.341607,23.504182,26.967993,2641,611,998,25.604594,0.592297455593571
"ACAT1",1814,10.2528,2004,12.1575,1738,10.3275,10.9126,"Acat1",45.268253,39.492711,43.532401,3117,754,1257,42.764455,0.272198065759073
"ACAT2",4118,42.1497,3190,35.046,2391,25.7292,34.3083,"Acat3",0.439284,0.279318,1.026169,16,4,8,0.581590333333333,22.3245547572264
"ACAT2",4118,42.1497,3190,35.046,2391,25.7292,34.3083,"Acat2",118.574216,110.048324,111.242826,6929,1639,2550,113.288455333333,0.308940215326386
"ACBD3",1022,4.24464,1115,4.97056,1412,6.16543,5.12687666667,"Acbd3",19.496714,17.2792,18.511416,2687,586,1015,18.42911,0.315345204524036
"ACBD4",398,6.0033,374,6.05507,392,6.21629,6.09155333333,"Acbd4",125.69735,116.889252,125.849008,2023,465,730,122.81187,0.057276845372984
"ACBD5",1433,5.33589,1976,7.89747,1715,6.71371,6.64902333333,"Acbd5",54.568877,48.479724,53.439881,5713,1396,2284,52.1628273333333,0.143879167399625
"ACBD6",1053,0.788498,1177,0.945995,1134,0.892737,0.875743333333,"Acbd6",31.172844,27.736285,33.386355,1047,224,446,30.7651613333333,0.0590503323326318
"ACBD7",50,0.656665,111,1.56472,52,0.717985,0.97979,"Acbd7",2.097597,1.943282,1.424488,26,6,7,1.821789,0.701608093305346
"ACCS",561,5.35173,673,6.89107,851,8.53491,6.92590333333,"Accs",5.583149,6.109839,6.953522,303,83,147,6.21550333333333,1.09845467005952
"ACCSL",0,0,0,0,1,0.0153093,0.0051031,"Accsl",0.399985,0.65421,0.94449,14,3,7,0.666228333333333,0.603220506993339
"ACD",257,13.5889,202,11.4642,154,8.5607,11.2046,"Acd",9.397863,8.513551,9.52039,513,112,212,9.14393466666667,1.20314260699103
"ACE",115,0.942326,128,1.12578,299,2.5758,1.54796866667,"Ace",1.529936,1.266676,2.28227,228,53,111,1.69296066666667,0.946158886837312
"ACE2",22,0.0934765,3,0.0136817,17,0.0759393,0.0610325,"Ace2",0.39351,0.513533,0.554108,55,13,29,0.487050333333333,0.713514853005424
"ACER1",15,0.095391,7,0.0477809,21,0.140402,0.0945246333333,"Acer1",0.010316,0,0,1,0,0,0.00343866666666667,1.09077382573786
"ACER2",68,0.273112,56,0.241412,58,0.244905,0.253143,"Acer2",1.42388,1.059207,1.465725,188,45,74,1.31627066666667,0.541017514936366
