"Hs_symbol","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","FoldChange"
"CLEC4C",0.054769,0,0,0.0182563333333333,1,0,0,"Clec4a4",0,0,0,0,0,0,0,1.01825633333333
"CLEC4C",0.054769,0,0,0.0182563333333333,1,0,0,"Clec4a3",1.163625,0.541496,1.163175,18,17,10,0.956098666666667,0.520554689129519
"CLEC4C",0.054769,0,0,0.0182563333333333,1,0,0,"Clec4a2",0.594192,1.903567,1.24732,10,16,10,1.24835966666667,0.452888542891788
"CLEC4D",0.529687,0.150099,0.486757,0.388847666666667,14,6,12,"Clec4d",0.212856,0.096261,0.117118,3,2,2,0.142078333333333,1.21607040964791
"CLEC4E",0.031566,0,0.065544,0.03237,1,0,3,"Clec4e",0,0,0,0,0,0,0,1.03237
"CLEC4F",0.13173,0.057384,0.159426,0.11618,4,3,8,"Clec4f",0.01245,0,0,1,0,0,0.00415,1.1115669969626
"CLEC4G",0.210373,0.189433,0.140311,0.180039,4,5,4,"Clec4g",0.111355,0.222511,0.269211,4,3,3,0.201025666666667,0.982526046487488
"CLEC4M",0.021595,0,0.059459,0.027018,1,0,4,"Cd209f",0.060327,0.064678,0,2,2,0,0.0416683333333333,0.985935702502876
"CLEC4M",0.021595,0,0.059459,0.027018,1,0,4,"Cd209g",0,0,0,0,0,0,0,1.027018
"CLEC5A",0,0,0,0,0,0,0,"Clec5a",0.494945,0.613776,0.459683,16,14,12,0.522801333333333,0.656684478868331
"CLEC6A",0,0.031063,0.059626,0.0302296666666667,0,1,2,"Clec4n",0.672272,0.253146,0.685661,11,7,9,0.537026333333333,0.670274571309665
"CLEC7A",0.509842,0.125357,0.148987,0.261395333333333,13,2,4,"Clec7a",0.199138,0.304715,0.547326,14,20,22,0.350393,0.934094988150363
"CLEC9A",0,0,0,0,0,0,0,"Clec9a",0.353244,0.339982,0.639823,36,33,28,0.444349666666667,0.692353121324038
"CLGN",8.791585,8.63648,7.893422,8.44049566666667,355,495,471,"Clgn",0.008,0.01513,0,1,1,0,0.00771,9.36826633323741
"CLHC1",6.59969,9.147361,17.702061,11.149704,165,168,174,"Clhc1",0,0,0.021448,0,0,1,0.00714933333333333,12.0634583153508
"CLIC1",75.479062,87.581734,87.513195,83.5246636666667,1171,1843,1959,"Clic1",6.271134,7.861537,7.260034,222,269,191,7.13090166666667,10.3954846746189
"CLIC3",0.126385,0.093384,0,0.0732563333333333,1,1,0,"Clic3",0.945091,0.370618,0.390541,13,8,6,0.56875,0.684147463479416
"CLIC4",12.40742,10.391975,9.910046,10.903147,772,961,872,"Clic4",31.006701,32.628488,33.475071,4223,4179,3275,32.3700866666667,0.35670111135462
"CLIC5",0.289053,0.285913,0.265652,0.280206,28,38,33,"Clic5",20.391307,18.724882,17.41046,4045,3447,2475,18.8422163333333,0.0645193046227077
"CLIC6",0.460375,0.110818,0.547151,0.372781333333333,24,8,47,"Clic6",0,0,0.02393,0,0,2,0.00797666666666667,1.36191776926053
"CLINT1",23.138545,18.264479,19.22854,20.2105213333333,657,747,723,"Clint1",4.567448,4.712628,5.915191,510,485,471,5.065089,3.49714923117094
"CLIP1",51.035994,44.232986,45.555067,46.941349,2194,2747,2673,"Clip1",38.131659,29.322603,27.885841,3197,2454,1959,31.7800343333333,1.46251674151694
"CLIP2",50.908681,47.985017,46.889325,48.594341,2871,3905,3885,"Clip2",1.208601,0.591005,1.244986,102,95,90,1.014864,24.6142374869966
"CLIP3",131.563224,163.182057,127.481322,140.742201,4300,6144,6174,"Clip3",0.969063,0.969505,1.219169,38,40,28,1.052579,69.0556616822057
"CLIP4",7.144448,5.154933,3.675149,5.32484333333333,284,341,341,"Clip4",50.429991,58.75756,51.722882,2098,2066,1859,53.636811,0.115761575713731
"CLK1",53.219939,55.009128,53.115872,53.7816463333333,1060,1531,1234,"Clk1",18.163346,13.197136,11.873351,677,444,324,14.4112776666667,3.55464663723642
"CLK2",16.839129,13.259033,14.240884,14.779682,373,432,482,"Clk2",4.75312,5.114259,4.129351,137,137,102,4.66557666666667,2.78518550332917
"CLK3",29.710734,25.701931,23.45655,26.2897383333333,448,605,541,"Clk3",8.524455,9.580963,10.327673,292,256,211,9.477697,2.60455502133086
"CLK4",7.536915,9.311926,7.634494,8.16111166666667,250,384,290,"Clk4",14.814219,7.385242,6.7154,377,201,140,9.638287,0.861145376757242
"CLMN",2.193732,0.436166,0.369904,0.999934,132,68,99,"Clmn",0.121955,0.143916,0.156235,23,28,21,0.140702,1.75324843824242
"CLMP",3.203147,2.990028,5.238657,3.81061066666667,170,246,292,"Clmp",0.232874,0.565364,0.417823,31,36,35,0.405353666666667,3.42306052972194
"CLN3",17.151136,19.502219,19.515474,18.722943,273,346,341,"Cln3",1.802469,2.678154,1.694564,39,47,29,2.05839566666667,6.44878725632513
"CLN5",4.960746,6.604546,4.900976,5.488756,222,388,302,"Cln5",5.269866,3.89093,3.156939,254,237,169,4.10591166666667,1.27083201269639
"CLN6",4.555804,4.67749,4.491676,4.57499,80,151,142,"Cln6",3.087989,2.502379,4.650015,168,162,145,3.413461,1.26317871620481
"CLN8",8.316473,6.07109,5.939972,6.775845,630,635,666,"Cln8",2.527716,2.92336,4.30007,183,184,176,3.250382,1.82944615331046
"CLNK",0.147095,0.022936,0.123028,0.0976863333333333,3,2,5,"Clnk",0,0,0.027094,0,0,1,0.00903133333333333,1.08786149356445
"CLNS1A",288.53769,215.513236,271.360349,258.470425,838,1014,1206,"Clns1a",5.002888,6.410869,7.838452,172,186,155,6.417403,34.9813034292461
"CLOCK",2.710647,2.102707,1.846662,2.22000533333333,326,428,374,"Clock",1.912851,1.705085,1.93707,505,416,375,1.85166866666667,1.12916530976133
"CLP1",6.198125,5.835062,3.551788,5.19499166666667,121,158,140,"Clp1",0.685498,0.874669,0.876563,41,43,33,0.812243333333333,3.41841051514421
"CLPB",15.470197,10.641827,10.119033,12.077019,728,1018,965,"Clpb",15.826412,16.682988,17.464768,719,746,650,16.658056,0.74056957345701
"CLPP",48.850156,68.934238,70.936289,62.9068943333333,308,541,584,"Clpp",11.415363,10.32496,12.091163,315,268,234,11.277162,5.20534748448651
"CLPS",0,0,0,0,0,0,0,"Clps",0,0,0,0,0,0,0,1
"CLPSL2",0,0.6551,0,0.218366666666667,0,1,0,"Clpsl2",0,0,0,0,0,0,0,1.21836666666667
"CLPTM1",72.819102,86.499768,67.620847,75.6465723333333,1479,2159,2173,"Clptm1",20.015892,29.44466,17.244019,828,891,687,22.234857,3.29877529839471
"CLPTM1L",74.375744,78.400312,84.333428,79.0364946666667,823,1064,1116,"Clptm1l",17.168755,15.079267,16.454743,492,513,384,16.234255,4.64403565263869
"CLPX",27.159082,21.788057,17.711368,22.2195023333333,578,813,749,"Clpx",15.857881,15.956411,17.640048,908,869,801,16.48478,1.32798367113188
"CLRN1",0,0,0,0,0,0,0,"Clrn1",0.020646,0,0,2,0,0,0.006882,0.993165038207059
"CLRN2",0,0,0,0,0,0,0,"Clrn2",0,0,0,0,0,0,0,1
"CLRN3",0,0,0,0,0,0,0,"Clrn3",0,0.010373,0,0,1,0,0.00345766666666667,0.99655424759656
"CLSPN",0.325815,0.285272,0.256971,0.289352666666667,44,47,45,"Clspn",0.22226,0.187299,0.193791,10,4,4,0.201116666666667,1.07346163986291
"CLSTN1",61.89641,63.745942,56.056393,60.5662483333333,4293,6005,5595,"Clstn1",6.602156,8.500047,8.550705,750,777,698,7.88430266666667,6.92977835664311
"CLSTN2",34.501831,31.934914,32.916943,33.117896,8216,10377,11328,"Clstn2",0.02128,0.037252,0.067973,3,5,7,0.0421683333333333,32.7374138215036
"CLSTN3",450.535901,446.804655,330.612175,409.317577,6203,7711,7255,"Clstn3",0.018676,0.11929,0.030048,2,1,3,0.0560046666666667,388.556594446868
"CLTA",120.663662,134.840087,120.129885,125.211211333333,1448,2147,2229,"Clta",10.349634,10.136611,11.255708,298,294,216,10.580651,10.8984556510108
"CLTB",90.886392,87.565533,98.258205,92.23671,992,1342,1658,"Cltb",13.519196,15.992176,14.610118,414,471,340,14.7071633333333,5.93593559965952
"CLTC",226.838415,244.763865,219.10034,230.234206666667,9276,12533,12348,"Cltc",26.006607,19.624257,25.356359,2149,2030,1761,23.6624076666667,9.37597860646831
"CLTRN",0.473873,0.533134,0.354295,0.453767333333333,9,16,11,"Cltrn",0,0,0,0,0,0,0,1.45376733333333
"CLU",385.341468,322.827471,335.744799,347.971246,1644,1820,2192,"Clu",95.346256,94.5715,98.254333,4141,3964,3668,96.057363,3.59551542730457
"CLUAP1",23.539071,25.162839,23.513399,24.0717696666667,387,515,527,"Cluap1",2.245681,1.727149,3.330933,88,70,71,2.43458766666667,7.29979028050238
"CLUH",90.456232,78.618636,54.990908,74.688592,524,819,708,"Cluh",15.54321,17.174768,19.450186,2874,2982,2527,17.389388,4.11588422627224
"CLVS1",9.760583,11.659447,12.973398,11.464476,321,522,514,"Clvs1",0.413619,0.620025,0.052401,6,4,2,0.362015,9.15149686310356
"CLVS2",2.870964,3.464923,2.38038,2.90542233333333,517,845,596,"Clvs2",0,0,0.018974,0,0,2,0.00632466666666667,3.88087707943162
"CLYBL",6.340525,3.974832,5.187531,5.16762933333333,56,56,63,"Clybl",16.5825,18.379772,21.954511,549,565,527,18.972261,0.308809770377692
"CMA1",0,0,0,0,0,0,0,"Cma1",0.171819,0.147998,0.284472,5,4,6,0.201429666666667,0.832341690691285
"CMAS",66.636422,59.129829,55.445842,60.404031,902,1038,1140,"Cmas",4.653024,4.503679,4.867913,208,212,165,4.674872,10.820337621712
"CMBL",5.522687,7.165024,5.978336,6.22201566666667,141,179,204,"Cmbl",10.019097,8.605508,12.275081,280,238,217,10.2998953333333,0.639122350572805
"CMC1",11.330841,12.105153,15.338144,12.9247126666667,85,123,151,"Cmc1",8.37276,9.084016,8.982594,113,110,86,8.81312333333333,1.41898885743819
"CMC4",3.271555,2.496548,6.376177,4.04809333333333,36,37,101,"Cmc4",4.26972,1.689224,2.083832,52,29,25,2.68092533333333,1.37141965027634
"CMIP",121.430425,122.085774,113.976347,119.164182,3204,4204,4329,"Cmip",1.309984,1.258747,1.199472,102,96,69,1.25606766666667,53.262667505688
"CMKLR1",0.057398,0,0.008236,0.021878,5,0,1,"Cmklr1",1.907008,5.744172,3.191419,157,167,118,3.61419966666667,0.22146375835925
"CMPK1",37.516828,39.097926,31.546046,36.0536,1132,1716,1328,"Cmpk1",7.235112,4.736925,6.087955,317,273,266,6.01999733333333,5.27829260334002
"CMPK2",4.936797,8.580735,6.414222,6.643918,133,249,192,"Cmpk2",2.413445,4.786335,4.825023,88,125,60,4.00826766666667,1.52625987841571
"CMSS1",29.541765,34.381491,33.921663,32.614973,266,386,423,"Cmss1",9.765646,12.100615,11.59722,289,329,246,11.1544936666667,2.7656415743741
"CMTM1",2.85895,3.228396,2.915174,3.00084,33,43,49,"Cmtm1",0,0,0,0,0,0,0,4.00084
"CMTM2",0,0.064531,0.150829,0.0717866666666667,0,1,3,"Cmtm2b",0,0,0,0,0,0,0,1.07178666666667
"CMTM2",0,0.064531,0.150829,0.0717866666666667,0,1,3,"Cmtm2a",0,0,0,0,0,0,0,1.07178666666667
"CMTM3",9.983433,6.782762,6.097989,7.62139466666667,134,168,135,"Cmtm3",2.696734,2.590682,4.204244,114,96,103,3.16388666666667,2.07051616838755
"CMTM4",8.454132,6.364226,4.848887,6.55574833333333,637,700,577,"Cmtm4",1.238807,1.099604,1.234955,319,267,228,1.191122,3.44834670699912
"CMTM5",0,0,0,0,0,0,0,"Cmtm5",0,0.199849,0.104771,0,3,1,0.10154,0.907819961145306
"CMTM6",5.543601,4.194615,3.661569,4.466595,260,289,251,"Cmtm6",2.515858,4.068205,5.677665,282,281,245,4.08724266666667,1.07456934103399
"CMTM7",0.650998,0.188063,1.228429,0.689163333333333,7,5,17,"Cmtm7",2.406596,2.636724,2.917559,64,67,59,2.65362633333333,0.462325147463082
"CMTM8",0.527142,1.922653,2.356212,1.60200233333333,7,35,46,"Cmtm8",2.64709,2.783341,3.411077,77,79,72,2.94716933333333,0.659207171924387
"CMTR1",23.081545,21.947294,15.613529,20.2141226666667,912,1287,1063,"Cmtr1",29.414335,45.275379,45.589065,618,613,436,40.0929263333333,0.516247553035872
"CMTR2",6.195089,4.663254,3.370314,4.74288566666667,269,361,292,"Cmtr2",0.279159,0.302063,0.400411,32,32,33,0.327211,4.32703290333388
"CMYA5",0.273831,0.129639,0.294961,0.232810333333333,22,16,18,"Cmya5",29.903752,28.82811,30.978451,11954,10793,8900,29.9034376666667,0.0398923364653078
"CNBD1",0,0,0,0,0,0,0,"Cnbd1",0,0,0,0,0,0,0,1
"CNBD2",1.827902,2.079536,2.36439,2.09060933333333,18,22,28,"Cnbd2",0.331349,0.240255,0.11433,11,16,4,0.228644666666667,2.51546229530968
"CNBP",56.386613,57.869654,54.205092,56.1537863333333,1316,1808,1807,"Cnbp",54.287298,57.84624,57.544984,2393,2406,1879,56.5595073333333,0.99295127740322
"CNDP1",0.129486,0.133211,0.372502,0.211733,8,12,9,"Cndp1",0,0.010426,0.039818,0,1,0,0.016748,1.19177318273555
"CNDP2",88.263335,75.692326,59.761808,74.5724896666667,1131,1462,1415,"Cndp2",16.469374,7.998419,10.993101,237,259,192,11.820298,5.89475296648071
"CNEP1R1",11.796335,11.923313,12.257721,11.9924563333333,199,299,285,"Cnep1r1",5.820548,6.049766,6.940145,277,269,251,6.270153,1.7870953105572
"CNFN",1.228349,0.735765,0.830591,0.931568333333333,6,5,6,"Cnfn",0,0,0,0,0,0,0,1.93156833333333
"CNGA1",0,0.147562,0.512516,0.220026,0,2,5,"Cnga1",0,0,0,0,0,0,0,1.220026
"CNGA3",2.925136,0.449629,0.681968,1.35224433333333,146,35,41,"Cnga3",0.446767,0.400291,0.580733,50,34,43,0.475930333333333,1.59373669624424
"CNGA4",0.418516,0.249038,0.329626,0.332393333333333,10,10,11,"Cnga4",0,0.016896,0,0,1,0,0.005632,1.32493132013831
"CNGB1",9.894388,5.735645,8.443606,8.02454633333333,214,229,326,"Cngb1",0.153718,0.139046,0.063489,10,5,9,0.118751,8.06662638364867
"CNGB3",0.126581,0,0.31981,0.148797,2,0,2,"Cngb3",0.380298,0.448551,0.460293,59,65,51,0.429714,0.803515248504246
"CNIH1",62.550359,59.13058,59.793702,60.491547,1250,1919,1730,"Cnih1",10.931625,11.88768,13.251246,376,346,296,12.023517,4.7215776660022
"CNIH2",131.843801,138.516992,144.690558,138.350450333333,1677,2385,2697,"Cnih2",0.036881,0,0,1,0,0,0.0122936666666667,137.658127203535
"CNIH3",9.046472,9.367389,9.802235,9.40536533333333,118,181,196,"Cnih3",0,0,0,0,0,0,0,10.4053653333333
"CNIH4",15.625629,12.176772,12.122179,13.3081933333333,513,616,653,"Cnih4",11.349331,9.183077,11.763863,427,333,281,10.7654236666667,1.21612223568886
"CNKSR1",4.594998,6.594973,4.644981,5.27831733333333,67,121,106,"Cnksr1",1.588459,2.091565,0.938712,68,61,51,1.53957866666667,2.47218856251221
"CNKSR2",12.74198,5.222886,7.304857,8.423241,431,477,576,"Cnksr2",0.047885,0.028111,0.037441,9,5,5,0.0378123333333333,9.07990847413967
"CNKSR3",2.300438,1.478173,1.945363,1.90799133333333,152,99,138,"Cnksr3",1.969058,1.648513,1.372675,218,178,106,1.66341533333333,1.09182796124174
"CNMD",0.386304,0.36203,0.204325,0.317553,5,10,6,"Cnmd",0.422281,0.149657,0.192192,5,2,3,0.25471,1.05008567716843
"CNN1",18.520973,8.060167,16.671975,14.417705,163,77,167,"Cnn1",2.263655,0.373902,2.167215,34,6,18,1.60159066666667,5.92626088244474
"CNN2",39.340234,35.134861,43.777508,39.4175343333333,644,706,845,"Cnn2",4.966079,5.296138,6.336422,279,291,267,5.53287966666667,6.18678689882496
"CNN3",60.516879,43.359379,35.370373,46.4155436666667,996,930,890,"Cnn3",49.81605,39.534379,49.299025,413,387,336,46.2164846666667,1.00421587929312
"CNNM1",2.974985,3.093808,3.205727,3.09150666666667,219,359,435,"Cnnm1",0,0.023423,0,0,2,0,0.00780766666666667,4.05980903102212
"CNNM2",5.644769,4.698442,3.932841,4.758684,433,681,595,"Cnnm2",0.625741,0.511329,0.708853,73,45,46,0.615307666666667,3.56506944084749
"CNNM3",13.26231,18.451412,13.135774,14.949832,297,427,348,"Cnnm3",1.951883,2.049043,1.729123,159,120,90,1.91001633333333,5.48101116041846
"CNNM4",3.965264,5.000269,5.497231,4.82092133333333,301,409,426,"Cnnm4",0.392147,0.387187,0.506826,61,57,56,0.42872,4.07422121432704
"CNOT1",81.598232,70.909943,62.450078,71.652751,1509,1820,1721,"Cnot1",14.470756,16.029057,15.805599,1405,1229,1037,15.4351373333333,4.42057462170684
"CNOT10",38.855159,43.453165,28.533575,36.9472996666667,257,409,363,"Cnot10",4.183031,5.288734,4.617364,286,259,194,4.69637633333333,6.66165601535339
"CNOT11",26.263168,23.133894,22.244348,23.88047,421,625,604,"Cnot11",3.433818,2.963641,3.508881,161,163,142,3.30211333333333,5.78331347229346
"CNOT2",44.859934,40.063781,39.760442,41.5613856666667,533,686,669,"Cnot2",10.68712,9.587256,12.727367,329,324,245,11.000581,3.5466104238342
"CNOT3",34.582946,44.816094,42.774286,40.724442,395,628,478,"Cnot3",3.266446,2.849305,4.122911,157,140,125,3.41288733333333,9.45513421220362
"CNOT4",12.906171,11.733587,13.373403,12.6710536666667,434,647,621,"Cnot4",2.935839,3.723414,2.439794,224,191,186,3.03301566666667,3.38978441855792
"CNOT6",9.636023,8.091559,7.050754,8.25944533333333,543,830,644,"Cnot6",2.471216,2.153676,2.986653,355,287,306,2.53718166666667,2.61774661465413
"CNOT6L",2.877776,2.30151,1.878494,2.35259333333333,345,446,376,"Cnot6l",3.381994,4.256198,2.662624,522,391,351,3.43360533333333,0.756177666092065
"CNOT7",50.425293,51.232502,46.24685,49.3015483333333,1494,2226,2058,"Cnot7",25.693069,25.605268,32.958952,472,416,390,28.085763,1.72942165324435
"CNOT8",19.916585,24.701503,16.898726,20.5056046666667,625,1039,871,"Cnot8",30.164425,26.052893,15.840009,347,301,257,24.019109,0.859567167906206
"CNOT9",22.788863,18.658307,14.213921,18.553697,591,771,645,"Cnot9",1.187079,1.264245,1.659938,123,123,101,1.37042066666667,8.24904088753867
"CNP",36.530247,57.450568,41.166209,45.049008,1326,2019,1987,"Cnp",1.503065,1.212229,3.670902,61,69,58,2.128732,14.7181056095568
"CNPPD1",19.331817,22.879628,18.467487,20.2263106666667,590,928,806,"Cnppd1",5.942313,6.343931,3.940504,219,203,142,5.408916,3.311997015824
"CNPY1",0.079786,0.031145,0.082783,0.0645713333333333,2,1,3,"Cnpy1",0,0,0,0,0,0,0,1.06457133333333
"CNPY3",15.105685,14.498558,14.739672,14.781305,311,402,434,"Cnpy3",2.180638,2.723202,1.837269,122,122,72,2.24703633333333,4.86021817433723
"CNPY4",10.595713,8.994431,8.903889,9.498011,156,173,192,"Cnpy4",1.124729,0.581016,1.144824,54,30,46,0.950189666666667,5.38307180036677
"CNR1",70.369331,68.666801,51.395382,63.4771713333333,5084,6738,5640,"Cnr1",0,0,0,0,0,0,0,64.4771713333333
"CNR2",0.116182,0.044748,0.060199,0.0737096666666667,10,5,8,"Cnr2",0.040343,0.103006,0.055486,5,12,5,0.0662783333333333,1.00696941230167
"CNRIP1",44.668723,46.317617,53.269859,48.0853996666667,1023,1447,1823,"Cnrip1",0.751101,0.327816,0.703702,36,16,23,0.594206333333333,30.7898661800156
"CNST",35.140569,36.41063,36.878723,36.1433073333333,2865,4045,4322,"Cnst",4.611041,4.818814,5.767604,713,692,635,5.06581966666667,6.12337810460241
"CNTD1",0.391795,0.416072,0.4936,0.433822333333333,17,16,23,"Cntd1",0.053269,0.169478,0.091442,3,6,2,0.104729666666667,1.29789429631201
"CNTF",0.150764,0.332182,0.112225,0.198390333333333,4,13,5,"Cntf",0.141021,0.227858,0.436975,4,6,9,0.268618,0.944642385125651
"CNTFR",27.896667,28.891747,23.617096,26.8018366666667,755,1034,926,"Cntfr",0.221253,0.428176,0.311805,14,16,14,0.320411333333333,21.0554362605188
"CNTLN",0.98979,1.134317,0.819131,0.981079333333333,83,95,87,"Cntln",0.475047,0.291845,0.351852,70,48,42,0.372914666666667,1.4429733918884
"CNTN1",83.373369,58.150615,82.983798,74.8359273333333,5329,5218,7094,"Cntn1",0.008204,0.015426,0.031531,1,2,3,0.018387,74.4667079738187
"CNTN2",37.296662,36.637462,27.193913,33.7093456666667,2576,3297,3198,"Cntn2",0.174004,0.571981,0.391299,40,41,44,0.379094666666667,25.1682110776055
"CNTN3",2.125957,0.424114,0.77407,1.108047,103,45,30,"Cntn3",0.015005,0.006304,0.027941,3,1,3,0.0164166666666667,2.07399885217676
"CNTN4",2.512248,4.226003,4.330123,3.689458,107,216,213,"Cntn4",0.012042,0,0,1,0,0,0.004014,4.67070977097929
"CNTN5",3.716463,4.014915,1.223395,2.98492433333333,244,253,127,"Cntn5",0.201397,0.319441,0.451451,21,34,39,0.324096333333333,3.00954260880817
"CNTN6",1.187734,0.980148,0.827659,0.998513666666667,66,68,60,"Cntn6",0,0,0,0,0,0,0,1.99851366666667
"CNTNAP1",70.906937,70.212683,61.590981,67.5702003333333,4852,6787,6590,"Cntnap1",0.270105,0.204817,0.298668,52,37,41,0.257863333333333,54.5132356721318
"CNTNAP2",47.413924,34.867997,29.383733,37.2218846666667,4211,3110,2871,"Cntnap2",0,0,0,0,0,0,0,38.2218846666667
"CNTNAP3",1.277245,0.893885,0.516508,0.895879333333333,21,6,6,"Cntnap3",0,0,0,0,0,0,0,1.89587933333333
"CNTNAP3B",1.639937,1.099685,0.276984,1.00553533333333,82,35,25,"Cntnap3",0,0,0,0,0,0,0,2.00553533333333
"CNTNAP3C",0,0,0,0,0,0,0,"Cntnap3",0,0,0,0,0,0,0,1
"CNTNAP4",0.07392,0.124266,0.178555,0.125580333333333,6,10,5,"Cntnap4",0,0,0,0,0,0,0,1.12558033333333
"CNTRL",2.502048,3.266087,2.515873,2.761336,148,218,178,"Cntrl",1.427275,1.919045,0.880864,149,109,81,1.40906133333333,1.56132845102602
"CNTROB",23.89425,27.842686,24.865528,25.5341546666667,378,635,552,"Cntrob",0.824103,1.698688,1.182512,37,35,31,1.235101,11.871568518231
"COA3",44.346909,44.918032,43.5083,44.257747,409,563,582,"Coa3",31.656747,36.969742,21.584308,281,317,223,30.0702656666667,1.45662568468329
"COA4",14.275182,14.492508,15.649725,14.805805,140,197,224,"Coa4",2.162976,2.172345,2.774735,49,46,36,2.37001866666667,4.69012387270654
"COA5",24.260832,24.17115,22.670422,23.7008013333333,301,394,363,"Coa5",15.299535,15.035734,18.031437,1846,1700,1575,16.1222353333333,1.44261545601153
"COA6",17.877738,18.406032,20.123647,18.8024723333333,139,191,226,"Coa6",6.014081,9.345155,9.555529,82,114,83,8.30492166666667,2.12817184740763
"COA7",13.501004,14.031489,12.636917,13.3898033333333,736,1052,958,"Coa7",10.966595,7.349297,4.320954,192,192,142,7.54561533333333,1.68388147278335
"COA8",30.177407,35.224376,37.028651,34.143478,302,473,449,"Coa8",6.210271,11.499256,7.096504,160,179,140,8.268677,3.79163908721817
"COASY",45.151024,34.54995,39.76579,39.8222546666667,682,702,767,"Coasy",1.573339,2.461728,2.454422,109,116,86,2.163163,12.9055172517719
"COBL",2.912951,1.831386,1.641001,2.128446,146,81,150,"Cobl",3.801284,3.794694,2.179268,75,67,36,3.25841533333333,0.73465027601034
"COBLL1",0.888349,0.64984,1.558104,1.03209766666667,20,48,68,"Cobll1",9.478635,10.741547,8.482193,1028,829,733,9.56745833333333,0.192297674858745
"COCH",13.480285,22.271908,17.005493,17.5858953333333,309,708,603,"Coch",0.026054,0.014003,0.018174,2,1,1,0.0194103333333333,18.232006019166
"COG1",33.454308,18.572004,27.363079,26.4631303333333,656,760,787,"Cog1",3.630055,3.089181,3.40608,169,160,122,3.37510533333333,6.27713580381607
"COG2",9.109068,5.814323,6.303963,7.07578466666667,215,277,251,"Cog2",2.631099,2.740634,2.442713,165,160,153,2.60481533333333,2.24027694067731
"COG3",14.763324,6.275182,8.423328,9.82061133333333,396,554,470,"Cog3",1.922269,1.871702,2.058007,265,243,202,1.95065933333333,3.66718421577641
"COG4",16.694382,17.202195,15.502883,16.4664866666667,611,799,812,"Cog4",10.941272,10.910341,10.003157,639,599,486,10.6182566666667,1.50336553648181
"COG5",29.053002,21.739552,44.3204,31.704318,716,907,965,"Cog5",6.707231,7.701899,8.637026,516,548,470,7.682052,3.76688805826088
"COG6",32.564721,31.384027,20.338384,28.0957106666667,304,386,405,"Cog6",8.312987,8.858344,9.356859,760,782,632,8.84273,2.95606103862106
"COG7",10.307992,9.066995,8.42619,9.267059,209,260,267,"Cog7",2.339305,2.470786,2.9416,226,225,205,2.583897,2.86477513165138
"COG8",5.059223,6.442825,5.992971,5.831673,191,341,307,"Cog8",2.499698,2.725593,3.110249,246,260,213,2.77851333333333,1.80803199494687
"COIL",7.354715,7.345131,7.077436,7.259094,301,408,414,"Coil",0.957975,0.551212,0.720437,61,36,32,0.743208,4.73787063850097
"COL11A1",26.722373,1.506663,1.073771,9.76760233333333,1034,128,85,"Col11a1",0.012224,0.004179,0.017104,1,1,2,0.011169,10.6486673675057
"COL11A2",2.626247,3.040541,3.179521,2.94876966666667,231,390,349,"Col11a2",0.260223,0.113894,0.257981,15,25,15,0.210699333333333,3.26156094907131
"COL12A1",5.186367,0.390526,0.175912,1.91760166666667,300,37,18,"Col12a1",0.0796,0.057348,0.04979,13,11,11,0.062246,2.74663464646293
"COL13A1",0.404921,0.285877,0.257272,0.316023333333333,9,6,6,"Col13a1",0.099342,0.128642,0.014087,10,11,1,0.0806903333333333,1.21776173316377
"COL14A1",0.498308,0.116165,0.18819,0.267554333333333,35,12,6,"Col14a1",0.816134,1.073539,1.149432,113,155,136,1.013035,0.629673271122128
"COL15A1",2.872761,1.695348,1.362852,1.976987,39,34,30,"Col15a1",17.801937,22.340575,28.413841,907,979,921,22.8521176666667,0.124810175834422
"COL16A1",22.602445,2.100257,2.72707,9.14325733333333,239,18,46,"Col16a1",2.433064,2.609996,3.830418,81,83,92,2.957826,2.56283559038051
"COL17A1",0,0,0.14009,0.0466966666666667,0,0,3,"Col17a1",0.005119,0.005296,0.073837,1,1,3,0.028084,1.01810422754042
"COL18A1",31.014195,21.233295,15.356427,22.534639,1651,1326,1198,"Col18a1",0.851845,0.935128,1.278136,96,115,109,1.021703,11.6409972186815
"COL19A1",0.279091,0.123135,1.885475,0.762567,34,16,93,"Col19a1",0,0.009695,0.012689,0,1,1,0.00746133333333333,1.74951329811169
"COL1A1",225.814631,1.916891,5.309663,77.680395,13150,156,517,"Col1a1",7.547488,10.096651,10.502869,585,720,588,9.382336,7.57829403710302
"COL1A2",95.495002,0.546278,2.350218,32.797166,5481,47,151,"Col1a2",6.336219,8.365151,8.357337,1055,1160,948,7.68623566666667,3.89088752561668
"COL20A1",0.044888,0.221741,0.087931,0.118186666666667,6,13,5,"Col20a1",0.138569,0.251498,0.14696,16,16,6,0.179009,0.948412324814032
"COL23A1",0.146242,0.285798,0.484866,0.305635333333333,6,15,26,"Col23a1",0.25066,0.101161,0.409428,18,15,18,0.253749666666667,1.04138439119558
"COL25A1",0.435432,0.136571,0.088503,0.220168666666667,56,24,16,"Col25a1",0.040524,0.061856,0.029826,6,11,5,0.0440686666666667,1.16866706723632
