"Hs_symbol","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","FoldChange"
"COX10",4.637228,5.401005,4.554327,4.86418666666667,182,285,284,"Cox10",4.925918,4.925327,4.889468,292,437,97,4.913571,0.991648982766364
"COX11",27.888239,39.032279,45.708561,37.5430263333333,617,892,843,"Cox11",13.597934,9.255746,11.915625,260,258,79,11.5897683333333,3.06145635986683
"COX14",42.540096,33.376068,41.801415,39.239193,185,206,265,"Cox14",18.103868,25.43359,20.907908,550,838,228,21.4817886666667,1.78985727499796
"COX15",18.960924,19.304286,22.473098,20.2461026666667,644,782,839,"Cox15",15.754663,11.039057,11.35695,544,738,194,12.71689,1.54890085629225
"COX16",180.166636,222.579148,184.431097,195.725627,511,804,762,"Cox16",31.451721,30.72133,39.497568,278,371,84,33.8902063333333,5.63841970782651
"COX17",47.240077,54.137583,48.270214,49.8826246666667,169,275,260,"Cox17",238.387966,213.900278,323.454124,480,657,153,258.580789333333,0.196018452664951
"COX18",8.143189,6.601742,8.022297,7.589076,391,471,476,"Cox18",10.539033,9.076148,8.768553,138,194,47,9.46124466666667,0.821037675121768
"COX19",6.044223,4.702491,4.773311,5.17334166666667,315,377,353,"Cox19",28.662978,32.693716,36.196074,363,523,126,32.5175893333333,0.184182150013016
"COX20",73.679798,76.209201,64.157627,71.3488753333333,1400,2169,1768,"Cox20",25.774568,20.91465,21.194407,133,162,34,22.627875,3.06201363149811
"COX4I1",438.335464,424.289464,428.938701,430.521209666667,2124,2826,2905,"Cox4i1",854.858524,773.584149,1204.437582,5625,7958,2270,944.293418333333,0.456494461188031
"COX4I2",0,0,0,0,0,0,0,"Cox4i2",0.895211,1.295514,0.847009,10,22,3,1.012578,0.496875152168015
"COX5A",203.012214,213.105777,268.327758,228.148583,1173,1655,2141,"Cox5a",246.995506,212.599006,285.236839,2289,2942,830,248.277117,0.919252379671898
"COX5B",87.286929,82.019014,87.227225,85.511056,655,838,954,"Cox5b",739.168552,680.820772,870.461626,2061,2842,791,763.48365,0.113162728856268
"COX6A1",346.0706,329.166703,352.05428,342.430527666667,1740,2257,2557,"Cox6a1",272.695733,259.965534,361.1082,2064,2978,856,297.923155666667,1.14889235295519
"COX6A2",0,0.345888,0.369934,0.238607333333333,0,1,1,"Cox6a2",0.791754,1.103578,0.314315,8,17,1,0.736549,0.71325792323357
"COX6B1",545.811229,533.381802,598.180102,559.124377666667,1021,1262,1461,"Cox6b1",960.816055,897.897496,1119.852471,1977,2791,722,992.855340666667,0.563587430431215
"COX6B2",19.517961,30.853527,29.089516,26.4870013333333,110,168,238,"Cox6b2",3.423228,5.938385,6.734431,17,36,11,5.365348,4.31822444481171
"COX6C",496.42801,469.128249,490.834205,485.463488,1585,2055,2290,"Cox6c",350.900527,320.864237,315.667043,2044,2842,618,329.143935666667,1.4734890920158
"COX7A1",1.703131,0.461107,0.250596,0.804944666666667,5,2,1,"Cox7a1",8.353163,10.486274,7.536466,28,53,11,8.79196766666667,0.184329108112864
"COX7A2",745.696327,715.232543,632.380392,697.769754,1263,1654,1568,"Cox7a2",365.277061,361.309781,400.035624,1711,2370,642,375.540822,1.85576095119907
"COX7A2L",90.860793,97.223464,84.116913,90.7337233333333,1143,1640,1652,"Cox7a2l",133.411569,113.485387,157.07501,2034,2732,825,134.657322,0.676216528388592
"COX7B",159.766026,137.258092,138.330551,145.118223,1089,1352,1410,"Cox7b",354.265214,507.521254,439.431107,1666,2570,560,433.739191666667,0.336105476112757
"COX7B2",0,0,0,0,0,0,0,"Cox7b2",0.897406,0.691079,0.960573,6,7,2,0.849686,0.540632301915028
"COX7C",967.234193,892.330322,945.490538,935.018351,1885,2390,2660,"Cox7c",245.917784,234.606821,235.836173,437,605,128,238.786926,3.90354205967009
"COX8A",206.394197,209.043578,226.235596,213.891123666667,878,1228,1404,"Cox8a",358.099721,313.234919,455.181594,2576,3449,1025,375.505411333333,0.570751753356384
"COX8C",0.198429,0.289618,0.957189,0.481745333333333,1,2,7,"Cox8b",3.483172,4.335674,1.23025,9,17,1,3.01636533333333,0.36892693028589
"CP",4.390805,0.217781,0.186848,1.598478,130,2,4,"Cp",13.907645,8.823284,20.432885,467,404,180,14.387938,0.168864600312271
"CPA1",0,0,0,0,0,0,0,"Cpa1",0,0,0,0,0,0,0,1
"CPA2",0.054642,0.04006,0,0.0315673333333333,1,1,0,"Cpa2",4.488061,4.24972,2.732739,42,48,7,3.82350666666667,0.213862528782656
"CPA3",0,0,0,0,0,0,0,"Cpa3",0,0,0,0,0,0,0,1
"CPA4",3.544021,0.279792,0.097876,1.30722966666667,74,5,6,"Cpa4",0.102305,0.160588,0.162054,6,14,3,0.141649,2.02096236817679
"CPA5",0.04805,0,0,0.0160166666666667,1,0,0,"Cpa5",0.055588,0.140803,0,2,6,0,0.0654636666666667,0.953591096959039
"CPA6",0,0,0,0,0,0,0,"Cpa6",0.239918,0.355378,0.229773,23,47,7,0.275023,0.784299577340958
"CPAMD8",11.497592,10.392051,11.326473,11.0720386666667,254,358,336,"Mug1",0.01998,0.192474,0.6812,2,2,1,0.297884666666667,9.3013185044177
"CPAMD8",11.497592,10.392051,11.326473,11.0720386666667,254,358,336,"Gm7298",0.249242,0.196192,0.348113,26,30,11,0.264515666666667,9.54676876284912
"CPAMD8",11.497592,10.392051,11.326473,11.0720386666667,254,358,336,"Mug2",0,0.010648,0,0,2,0,0.00354933333333333,12.0293425202813
"CPB1",0.190169,0.351427,0,0.180532,1,2,0,"Cpb1",0.057946,0.012657,0,3,1,0,0.0235343333333333,1.15338778734991
"CPB2",0.192782,0.124969,0.072501,0.130084,18,15,9,"Cpb2",0.142267,0.048185,0,2,1,0,0.063484,1.06262435542049
"CPD",11.945445,6.404383,6.513329,8.287719,1084,1168,1306,"Cpd",38.212456,32.111566,31.691419,3409,6173,1033,34.005147,0.26532438215443
"CPE",270.025949,227.757076,233.257812,243.680279,5729,6787,7226,"Cpe",681.685795,627.851265,666.727806,15981,20995,5207,658.754955333333,0.370865390281727
"CPEB1",28.707552,23.136085,22.780659,24.8747653333333,1171,1243,1340,"Cpeb1",60.288028,51.494695,50.285512,1472,1948,474,54.022745,0.470255806636571
"CPEB2",12.340708,8.191042,9.146538,9.89276266666667,1120,1049,1134,"Cpeb2",16.634258,17.639492,13.537707,1627,2733,497,15.9371523333333,0.643128340130062
"CPEB3",3.298949,4.015981,3.753629,3.68951966666667,401,667,658,"Cpeb3",17.799655,17.703732,14.183752,1624,2209,452,16.5623796666667,0.267020742955885
"CPEB4",12.735364,11.484943,10.164598,11.461635,1205,1597,1521,"Cpeb4",16.524226,14.642572,10.209321,1497,2164,320,13.7920396666667,0.842455488277377
"CPED1",0.142802,0,0.026874,0.0565586666666667,5,0,1,"Cped1",1.225193,0.940963,3.618702,106,94,43,1.928286,0.360811295982246
"CPHXL",0.052091,0,0,0.0173636666666667,1,0,0,"Cphx1",0.300217,0.070559,0.585278,4,1,2,0.318684666666667,0.771498821805769
"CPLANE1",26.582915,19.215877,14.031696,19.943496,689,824,697,"Cplane1",52.691704,35.287103,4.196018,1633,1702,287,30.7249416666667,0.660158692175163
"CPLANE2",14.867058,14.009644,13.452683,14.109795,92,109,142,"Cplane2",2.299676,2.944839,1.344255,21,51,8,2.19625666666667,4.7273409415389
"CPLX1",12.091442,19.69927,30.066771,20.619161,227,536,1042,"Cplx1",372.905823,334.061892,424.357918,16766,21252,6095,377.108544333333,0.0571771289594053
"CPLX2",34.673157,38.710084,44.062079,39.14844,2465,3986,4503,"Cplx2",33.115767,22.011432,25.760859,3627,3647,890,26.962686,1.43578624742988
"CPLX3",0.097253,0.118522,0.347702,0.187825666666667,3,5,15,"Cplx3",0.016373,0.196481,0,1,4,0,0.0709513333333333,1.10913132062646
"CPLX4",0,0.070758,0.060876,0.043878,0,3,3,"Cplx4",0.149556,0,0,1,0,0,0.049852,0.994309674125496
"CPM",0.811052,1.082266,0.209153,0.700823666666667,29,17,31,"Cpm",7.195955,8.14125,7.647196,686,1109,176,7.661467,0.196366697081068
"CPN1",0,0,0,0,0,0,0,"Cpn1",0.027151,0.053734,0,1,3,0,0.0269616666666667,0.973746180074881
"CPN2",0.062366,0.045504,0.10022,0.0693633333333333,3,3,7,"Cpn2",0,0,0,0,0,0,0,1.06936333333333
"CPNE1",105.451004,121.033616,93.335899,106.606839666667,656,1081,912,"Cpne1",18.30491,13.802416,12.161734,521,673,178,14.7563533333333,6.82942540003969
"CPNE2",6.675367,15.072046,10.768912,10.838775,177,471,367,"Cpne2",13.334252,8.952012,16.214123,230,290,72,12.8334623333333,0.855807079582174
"CPNE3",33.315103,24.829956,28.133898,28.7596523333333,1764,1647,1962,"Cpne3",3.879774,3.902902,4.172421,441,657,149,3.98503233333333,5.96980126574906
"CPNE4",10.776705,55.644214,47.512087,37.9776686666667,304,1731,1587,"Cpne4",6.374565,4.517777,3.696543,265,273,66,4.86296166666667,6.64811930943889
"CPNE5",3.219393,1.556748,5.009582,3.26190766666667,69,79,230,"Cpne5",5.40399,3.036222,4.833503,214,171,34,4.42457166666667,0.785667132550865
"CPNE6",0.235531,0.545781,0.562322,0.447878,4,7,4,"Cpne6",31.394967,29.875537,39.545208,1417,2006,559,33.6052373333333,0.0418398517557728
"CPNE7",78.940354,73.39193,78.892436,77.0749066666667,767,1078,1117,"Cpne7",3.178218,2.1429,1.176196,156,158,21,2.16577133333333,24.6622065986236
"CPNE8",2.722361,29.753169,14.671331,15.7156203333333,50,641,477,"Cpne8",15.724884,13.90749,11.867996,237,301,55,13.8334566666667,1.12688638319187
"CPNE9",16.792161,12.120935,20.985925,16.633007,312,366,608,"Cpne9",13.549707,12.200026,4.008881,339,367,49,9.919538,1.61481254976172
"CPOX",11.814689,9.795196,12.731904,11.447263,326,410,500,"Cpox",41.845158,57.071885,44.222119,908,2424,309,47.713054,0.255522123494864
"CPPED1",5.818327,6.150132,3.88665,5.28503633333333,252,418,306,"Cpped1",10.146233,9.435146,9.710414,551,730,162,9.763931,0.583897865318287
"CPQ",6.296645,2.313109,3.395785,4.00184633333333,93,58,73,"Cpq",13.268068,11.252059,13.123696,455,619,151,12.547941,0.369196052251285
"CPS1",0.52734,0.646115,0.191516,0.454990333333333,6,7,6,"Cps1",0.01619,0.016231,0,2,3,0,0.010807,1.43943436613847
"CPSF1",49.574088,58.940265,44.112603,50.875652,904,1583,1288,"Cpsf1",117.342627,92.885433,86.747008,899,1161,251,98.9916893333333,0.518799635708391
"CPSF2",22.114414,18.433989,12.798912,17.7824383333333,744,877,816,"Cpsf2",7.471981,5.756876,5.904518,945,1087,234,6.37779166666667,2.54580763213925
"CPSF3",18.527503,23.717712,16.954774,19.7333296666667,336,541,511,"Cpsf3",153.181018,112.871228,118.313346,785,1031,236,128.121864,0.160571796474892
"CPSF4",30.523546,33.320154,20.507133,28.1169443333333,364,550,399,"Cpsf4",6.870896,5.200143,6.13023,263,316,75,6.06708966666667,4.12007568980894
"CPSF4L",0,0.113293,0.099973,0.0710886666666667,0,1,2,"Cpsf4l",1.864968,1.030131,0.992258,35,31,6,1.29578566666667,0.466545584902888
"CPSF6",117.360847,74.553572,122.593931,104.836116666667,1571,2094,1668,"Cpsf6",15.917693,14.162447,10.698412,1267,1881,284,13.5928506666667,7.25260054284116
"CPSF7",46.113063,52.191134,32.886287,43.7301613333333,741,1127,918,"Cpsf7",24.366215,18.426133,20.731151,1387,1557,379,21.1744996666667,2.01718920407359
"CPT1A",2.274025,2.089741,2.88453,2.41609866666667,168,240,273,"Cpt1a",21.721806,16.455619,14.905926,1115,1573,366,17.6944503333333,0.182733303507488
"CPT1B",42.353935,38.274071,27.316428,35.981478,578,807,639,"Cpt1b",4.419112,2.353116,2.377999,48,59,4,3.05007566666667,9.13105853907092
"CPT1C",108.111609,96.958929,88.92212,97.9975526666667,1092,1541,1257,"Cpt1c",20.036506,18.328481,18.897329,965,1230,326,19.0874386666667,4.92833129745627
"CPT2",3.425658,3.882254,3.528288,3.61206666666667,146,220,215,"Cpt2",9.913901,8.544791,10.866605,237,398,96,9.775099,0.428030096676297
"CPTP",6.195171,7.581322,8.562544,7.44634566666667,181,313,405,"Cptp",28.392595,24.221595,19.064421,584,807,182,23.8928703333333,0.339307824030096
"CPVL",1.561985,1.683457,2.320862,1.85543466666667,18,26,33,"Cpvl",0.103393,0.138674,0.109463,3,6,1,0.117176666666667,2.55593833264211
"CPXCR1",0,0,0,0,0,0,0,"Cpxcr1",0,0,0,0,0,0,0,1
"CPXM1",20.106644,21.028126,20.380285,20.5050183333333,746,1074,1100,"Cpxm1",3.642329,2.908344,4.694721,125,131,38,3.74846466666667,4.52883612766344
"CPXM2",0.541401,0.088441,0.109291,0.246377666666667,28,5,9,"Cpxm2",2.770436,5.229025,6.345737,97,180,41,4.78173266666667,0.21557165274216
"CPZ",1.227514,0.369679,0.699824,0.765672333333333,17,12,15,"Cpz",0,0,0.06801,0,0,1,0.02267,1.72653185615432
"CR1",0.147466,0.360618,0.066726,0.191603333333333,5,8,6,"Cr1l",15.818808,13.567906,13.970104,501,611,121,14.4522726666667,0.0771150858542534
"CR2",0.307561,0.591994,0.555974,0.485176333333333,5,11,13,"Cr2",4.321051,3.414854,2.184925,13,26,4,3.30694333333333,0.344833033172018
"CRABP1",52.252865,94.242909,56.552619,67.6827976666667,356,896,589,"Crabp1",8.472327,3.465015,5.317562,111,69,22,5.75163466666667,10.1727657163914
"CRABP2",25.830704,21.844618,36.509864,28.0617286666667,242,224,469,"Crabp2",0.624477,0.500514,1.379532,10,12,7,0.834841,15.8388267248588
"CRACD",126.577571,134.776212,118.571968,126.641917,1486,2170,1851,"Cracd",17.599801,20.14653,15.208566,1423,2072,339,17.6516323333333,6.84347164467124
"CRACDL",0.099868,0.056205,0.057145,0.0710726666666667,4,4,5,"Cracdl",3.853906,2.976379,2.327588,274,332,51,3.05262433333333,0.264291130529164
"CRACR2A",0.103517,0.218456,0.123765,0.148579333333333,9,10,9,"Cracr2a",0.653566,0.6381,0.476095,74,110,23,0.589253666666667,0.722716176419078
"CRACR2B",3.446667,4.904266,4.52724,4.29272433333333,59,111,115,"Cracr2b",4.388854,5.552284,6.381876,37,70,13,5.44100466666667,0.821723412299965
"CRADD",7.383271,8.711968,4.921941,7.00572666666667,101,123,82,"Cradd",2.697749,2.605338,2.945749,81,112,25,2.749612,2.13508135419523
"CRAMP1",16.65262,20.141625,15.863099,17.552448,928,1493,1131,"Cramp1l",4.934818,3.6095,3.857853,810,882,181,4.134057,3.61360382247412
"CRAT",31.112025,38.508158,38.872773,36.1643186666667,973,1268,1454,"Crat",60.968917,44.33399,38.850344,695,869,225,48.0510836666667,0.757665598567034
"CRB1",0.119136,0.080828,0.169814,0.123259333333333,8,10,6,"Crb1",0.340568,0.383788,0.546231,41,64,11,0.423529,0.789066702071636
"CRB2",0.461776,0.037182,0.023397,0.174118333333333,37,4,3,"Crb2",0.855024,0.413717,0.583792,102,89,26,0.617511,0.725879659138846
"CRB3",0.628776,0.560892,0.590697,0.593455,12,9,13,"Crb3",0.223743,0.232764,0,5,8,0,0.152169,1.38300457658555
"CRBN",40.707808,48.568051,33.548401,40.94142,635,876,766,"Crbn",26.158514,22.893327,21.102677,1082,1356,279,23.3848393333333,1.71997934563659
"CRCP",18.434543,13.114424,11.859498,14.4694883333333,550,664,587,"Crcp",18.975363,11.994551,11.811394,290,361,107,14.260436,1.01369897513632
"CREB1",33.23718,26.733477,28.731162,29.567273,721,879,797,"Creb1",7.283657,5.137188,4.613084,871,1066,191,5.67797633333333,4.57732574573864
"CREB3",20.755787,21.699049,17.516845,19.9905603333333,449,642,549,"Creb3",64.98539,61.405111,69.178549,501,731,165,65.1896833333333,0.317127372065284
"CREB3L1",12.683274,7.935699,10.534343,10.3844386666667,264,228,302,"Creb3l1",0.285289,0.349716,0.851506,15,28,14,0.495503666666667,7.61244450308937
"CREB3L2",3.238059,2.221898,1.92827,2.46274233333333,357,360,323,"Creb3l2",4.626741,4.354192,6.085613,630,961,182,5.022182,0.574997954783388
"CREB3L3",0.232085,0,0.06684,0.0996416666666667,1,0,4,"Creb3l3",0.17223,0.168419,0,5,7,0,0.113549666666667,0.987510211339174
"CREB3L4",2.599211,3.475755,4.703848,3.592938,44,65,86,"Creb3l4",0.220294,0.122607,0.347411,6,5,3,0.230104,3.73378023321605
"CREB5",5.250861,6.043684,5.995402,5.76331566666667,464,492,551,"Creb5",2.127851,1.909665,1.408495,202,416,70,1.815337,2.40231122123805
"CREBBP",29.512604,36.540592,18.125406,28.059534,1081,1670,1154,"Crebbp",20.458069,15.827935,7.569412,951,1164,216,14.618472,1.86058751457889
"CREBL2",9.559476,8.831723,7.549132,8.646777,573,720,643,"Crebl2",26.917517,17.334135,17.305972,1679,1833,404,20.519208,0.448286804979068
"CREBRF",1.627654,0.849562,0.804086,1.09376733333333,122,120,139,"Crebrf",19.725762,11.93426,14.288866,1364,1564,325,15.316296,0.128323691439119
"CREBZF",23.816322,24.889517,23.879584,24.195141,868,1275,1018,"Crebzf",40.438665,30.933534,41.788701,759,930,233,37.7203,0.650695914029592
"CREG1",12.685716,22.492918,20.93843,18.705688,358,867,882,"Creg1",25.504567,21.692018,23.24258,423,589,180,23.4797216666667,0.804980067515746
"CREG2",13.81208,21.349043,21.25106,18.804061,933,1899,2100,"Creg2",12.59525,8.790117,8.722546,1709,1792,370,10.035971,1.79450100041039
"CRELD1",78.448812,81.090097,86.481703,82.0068706666667,863,1195,1365,"Creld1",27.698737,21.469275,33.528615,927,1106,305,27.5655423333333,2.90583912946772
"CRELD2",13.91143,12.673913,10.290465,12.291936,253,320,323,"Creld2",5.177851,4.022038,7.824408,136,159,65,5.67476566666667,1.99137118271867
"CREM",34.678364,34.930099,51.581046,40.396503,364,571,690,"Crem",9.905541,7.245622,5.794848,136,182,29,7.64867033333333,4.78645865832709
"CRH",1.459108,4.250294,2.289634,2.66634533333333,24,97,60,"Crh",0.119965,0.131663,0.258286,3,5,2,0.169971333333333,3.13370527027158
"CRHBP",1.698183,4.312441,1.950062,2.653562,24,73,34,"Crhbp",1.972834,1.333789,1.308903,70,68,14,1.53850866666667,1.43925527928077
"CRHR1",70.398424,25.040733,4.582297,33.3404846666667,176,41,100,"Crhr1",4.526378,3.110521,5.087133,234,244,83,4.241344,6.55184713437368
"CRHR2",0.471898,0.366536,0.293431,0.377288333333333,23,7,17,"Crhr2",0.313688,0.163462,0.05485,11,10,1,0.177333333333333,1.16983720271801
"CRIM1",6.891315,5.455496,2.884887,5.07723266666667,293,269,149,"Crim1",30.191233,20.002459,27.434616,1467,1727,423,25.8761026666667,0.226120310003281
"CRIP1",0.688749,0.364666,0,0.351138333333333,8,3,0,"Crip1",15.70467,7.713852,27.073089,76,65,39,16.830537,0.0757766484168892
"CRIP2",85.837819,86.573282,99.808484,90.7398616666667,1217,1690,2187,"Crip2",30.172596,29.778028,44.672605,457,642,209,34.8744096666667,2.55725076786165
"CRIP3",4.596274,4.772262,5.836784,5.06844,31,41,57,"Crip3",3.560587,2.788245,2.058733,30,31,6,2.80252166666667,1.59589886185176
"CRIPT",5.383682,4.594649,4.966059,4.98146333333333,375,434,439,"Cript",42.813933,42.155507,48.505943,715,1087,236,44.4917943333333,0.131484445073878
"CRISP1",0,0,0,0,0,0,0,"Crisp4",0,0,0,0,0,0,0,1
"CRISP2",0,0,0,0,0,0,0,"Crisp2",0,0,0,0,0,0,0,1
"CRISP3",0,0,0,0,0,0,0,"Crisp3",0,0,0,0,0,0,0,1
"CRISP3",0,0,0,0,0,0,0,"Crisp1",0,0,0,0,0,0,0,1
"CRISPLD1",7.485423,4.305234,4.484035,5.42489733333333,197,143,193,"Crispld1",0.853572,0.671616,0.641379,59,69,16,0.722189,3.73065751397398
"CRISPLD2",0.371785,0.271817,0.420985,0.354862333333333,24,13,18,"Crispld2",1.905848,2.016734,2.29146,167,217,67,2.07134733333333,0.441129636700158
"CRK",18.563963,23.317803,20.048179,20.643315,970,1693,1520,"Crk",29.888872,26.319027,27.195068,2261,2999,649,27.800989,0.751478187085867
"CRKL",10.973691,11.23203,10.350445,10.8520553333333,931,1301,1301,"Crkl",14.023563,12.233409,12.172536,1436,1841,425,12.809836,0.858232880776668
"CRLF1",15.513901,4.880883,6.530672,8.975152,100,37,49,"Crlf1",1.25179,0.412913,2.131456,8,12,5,1.26538633333333,4.40328956400225
"CRLF2",0.244642,0.841812,1.211645,0.766033,4,24,36,"Crlf2",4.430741,4.121686,4.58773,84,119,21,4.38005233333333,0.328255728863108
"CRLF3",10.007245,8.415801,7.83743,8.753492,177,258,249,"Crlf3",12.340773,8.048268,7.080011,299,378,89,9.15635066666667,0.960334309055628
"CRLS1",12.585935,16.393654,17.812556,15.5973816666667,247,435,464,"Crls1",11.047747,9.220707,11.624824,303,427,96,10.6310926666667,1.42698387351283
"CRMP1",223.06914,280.191666,222.150345,241.803717,10349,17775,15112,"Crmp1",28.911823,20.519744,20.837874,1203,1311,331,23.423147,9.94154098978318
"CRNKL1",4.64325,5.11126,3.601068,4.45185933333333,197,283,222,"Crnkl1",4.022551,4.658366,2.871802,279,352,66,3.85090633333333,1.12388468436723
"CRNN",0,0,0,0,0,0,0,"Crnn",0,0,0,0,0,0,0,1
"CROCC",14.927041,17.827691,14.61025,15.7883273333333,325,479,471,"Crocc",10.210155,6.680603,6.928597,684,708,130,7.939785,1.87793412630542
"CROCC2",0,0,0,0,0,0,0,"Crocc2",0.184922,0.125076,0.156567,30,31,8,0.155521666666667,0.865409995196975
"CROT",3.662978,6.11261,4.037011,4.60419966666667,125,242,190,"Crot",12.789834,12.432475,12.440126,751,1013,220,12.554145,0.413467589926673
"CRP",0,0,0,0,0,0,0,"Crp",0.097594,0,0,3,0,0,0.0325313333333333,0.968493611493307
"CRPPA",1.159995,1.130223,1.100945,1.13038766666667,60,89,71,"Crppa",4.841332,3.87625,4.717714,231,259,70,4.478432,0.388868140859769
"CRTAC1",32.859039,41.562625,102.104969,58.842211,712,1376,3655,"Crtac1",49.509561,51.037775,90.151592,1302,1839,533,63.5663093333333,0.926833384436697
"CRTAM",0.168622,0.11,0.128033,0.135551666666667,4,4,5,"Crtam",0.026039,0.061749,0,1,9,0,0.0292626666666667,1.10326712844276
"CRTAP",17.956646,10.495253,10.616865,13.0229213333333,468,490,503,"Crtap",5.135761,3.206306,9.559766,91,97,46,5.96727766666667,2.01268300249074
"CRTC1",6.90376,7.399095,7.452561,7.25180533333333,419,808,711,"Crtc1",20.968426,14.767478,17.164702,1558,1686,500,17.6335353333333,0.442847005987735
"CRTC2",86.448097,60.424995,36.674179,61.1824236666667,275,338,325,"Crtc2",12.748613,10.252158,11.977529,388,492,131,11.6594333333333,4.91194368889603
"CRTC3",7.689043,10.801446,5.869732,8.12007366666667,419,619,524,"Crtc3",5.512394,4.250982,3.60642,394,466,92,4.45659866666667,1.67138435934083
"CRX",0.047916,0.244847,0.315199,0.202654,1,11,8,"Crx",0.084322,0.09022,0.111572,5,8,2,0.0953713333333333,1.09794182429459
"CRY1",14.814475,10.061709,7.551655,10.8092796666667,353,455,378,"Cry1",38.168298,46.552334,58.524764,239,318,93,47.7484653333333,0.242249260277568
"CRY2",14.189381,19.384553,13.45824,15.6773913333333,714,1084,1006,"Cry2",17.576796,13.526206,15.800902,1466,1716,433,15.6346346666667,1.00257033998783
"CRYAA",0,0,0,0,0,0,0,"Cryaa",0.180622,0.118624,0,4,4,0,0.0997486666666667,0.909298670059765
"CRYAA2",0,0.09685,0,0.0322833333333333,0,2,0,"Cryaa",0.180622,0.118624,0,4,4,0,0.0997486666666667,0.938653862124861
"CRYAB",0.271128,0.332738,0.405666,0.336510666666667,5,9,10,"Cryab",254.458965,269.480063,333.804479,2729,4506,1140,285.914502333333,0.00465821928064803
"CRYBA1",0.156206,0,0,0.0520686666666667,1,0,0,"Cryba1",0.114834,0,0,3,0,0,0.038278,1.01328224874905
"CRYBA2",0.54233,0.134033,0.408335,0.361566,2,1,3,"Cryba2",1.019188,1.077963,0.571839,12,19,2,0.889663333333333,0.720533640031117
"CRYBA4",0.145318,0,0,0.0484393333333333,1,0,0,"Cryba4",0.604914,0.720656,0.547232,7,13,2,0.624267333333333,0.645484466637471
"CRYBB1",0.072097,0,1.174132,0.415409666666667,1,0,4,"Crybb1",1.856413,2.457552,2.720812,26,53,11,2.34492566666667,0.423151306700687
"CRYBB2",0,0.093607,0.085896,0.0598343333333333,0,1,1,"Crybb2",0,0.072021,0.567071,0,1,2,0.213030666666667,0.873707782051127
"CRYBB3",0.323487,0.117688,0.064996,0.168723666666667,2,1,1,"Crybb3",1.509185,1.605402,0.663952,7,18,4,1.259513,0.517245825390988
"CRYBG1",2.855935,6.691994,10.17575,6.57455966666667,268,799,1269,"Crybg1",0.20736,0.122391,0.128824,23,30,6,0.152858333333333,6.57024323601483
"CRYBG2",2.521466,3.178417,4.15399,3.28462433333333,50,43,88,"Crybg2",0.452489,2.450087,1.092462,22,24,3,1.33167933333333,1.83757014615217
"CRYBG3",0.357896,0.131814,0.019806,0.169838666666667,10,4,5,"Crybg3",7.52963,6.925571,6.909445,553,945,142,7.12154866666667,0.144041329391775
"CRYGA",0,0.334866,0,0.111622,0,3,0,"Cryga",0.27982,0.343901,0.361257,2,5,1,0.328326,0.836859325195773
"CRYGB",0,0,0,0,0,0,0,"Crygb",0,0,0,0,0,0,0,1
"CRYGC",0,0,0,0,0,0,0,"Crygc",0,0,0,0,0,0,0,1
"CRYGN",0.496619,0.357971,0.384908,0.413166,3,4,7,"Crygn",3.579927,11.893175,0,5,6,0,5.15770066666667,0.229495728438028
"CRYGS",1.563068,1.773076,1.659145,1.66509633333333,31,36,37,"Crygs",0.475161,0.090714,0.428137,7,2,2,0.331337333333333,2.00181897300258
"CRYL1",11.40275,9.308145,12.231703,10.980866,228,250,337,"Cryl1",4.487905,4.4668,3.537636,100,147,33,4.16411366666667,2.32002368137908
"CRYM",0.518087,0.62192,1.013614,0.717873666666667,10,13,16,"Crym",0.088415,0.061648,0.178375,3,3,2,0.109479333333333,1.54836022182177
"CRYZ",12.4861,5.239761,5.773056,7.83297233333333,215,169,170,"Cryz",12.7042,9.795002,15.256623,273,334,80,12.585275,0.65018723090503
"CRYZL1",54.056774,41.32159,47.773476,47.71728,373,438,494,"Cryzl1",64.042653,44.949734,55.288121,864,993,236,54.7601693333333,0.873693186058474
"CSAD",18.012532,15.850595,13.452207,15.771778,229,239,272,"Csad",41.339788,35.44617,34.77196,325,433,101,37.1859726666667,0.439213062513933
"CSDC2",22.404329,17.079484,18.379941,19.287918,831,905,1062,"Csdc2",47.123009,43.276354,53.712358,2469,3383,901,48.0372403333333,0.413724709263649
"CSDE1",228.255847,306.739777,234.966055,256.653893,7326,13113,11532,"Csde1",80.894148,66.055382,59.406064,4207,5836,1278,68.785198,3.69209947645344
"CSE1L",25.037452,25.909185,23.97605,24.974229,1349,1890,1852,"Cse1l",41.114362,28.116581,40.160895,1376,1504,370,36.463946,0.69331268521474
"CSF1",2.07258,0.6416,1.46467,1.39295,107,57,94,"Csf1",12.5058,16.038089,17.667521,710,1436,277,15.4038033333333,0.145877754772724
"CSF1R",0.301291,0.066101,0.159905,0.175765666666667,5,3,2,"Csf1r",17.492337,23.822425,13.555467,1028,2110,357,18.2900763333333,0.0609518410580335
"CSF2",0,0,0,0,0,0,0,"Csf2",0,0,0,0,0,0,0,1
