"Hs_symbol","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","FoldChange"
"ABCA7",42.45405,52.111696,39.796489,44.7874116666667,1395,2369,1835,"Abca7",6.531162,5.344626,6.635365,985,1230,314,6.17038433333333,6.38562865505164
"ABCA8",0.244206,0.413915,0.141469,0.26653,6,7,6,"Abca8b",2.986576,2.668696,2.137732,492,660,110,2.597668,0.35204193383047
"ABCA9",4.035468,0.682386,0.739211,1.81902166666667,21,27,35,"Abca9",1.374692,1.128702,1.013082,182,236,45,1.17215866666667,1.29779730639689
"ABCB1",2.608253,0.395444,0.72192,1.24187233333333,71,28,37,"Abcb1b",2.49553,1.937662,4.193703,104,138,26,2.87563166666667,0.57845340479982
"ABCB1",2.608253,0.395444,0.72192,1.24187233333333,71,28,37,"Abcb1a",51.550946,45.585615,82.118006,956,1215,296,59.7515223333333,0.0369023235505533
"ABCB10",4.784184,6.526598,5.638334,5.64970533333333,213,397,298,"Abcb10",7.860339,9.169756,7.734576,712,1245,220,8.25489033333333,0.718507199310952
"ABCB11",1.713152,2.345963,2.257067,2.105394,8,17,14,"Abcb11",0.107312,0.072965,0,3,3,0,0.0600923333333333,2.9293618134521
"ABCB4",2.613821,0.236469,0.112046,0.987445333333333,20,11,9,"Abcb4",1.400501,1.459437,1.017312,106,145,28,1.29241666666667,0.866965138681886
"ABCB5",0.031732,0.170177,0.033162,0.078357,3,5,1,"Abcb5",0,0,0,0,0,0,0,1.078357
"ABCB6",39.80428,30.533985,38.474452,36.2709056666667,602,671,937,"Abcb6",11.256848,9.906954,10.797514,311,438,107,10.653772,3.19818387271234
"ABCB7",6.507055,5.040312,4.209266,5.252211,171,274,200,"Abcb7",7.537502,7.121689,6.273685,852,1270,219,6.97762533333333,0.783718304477907
"ABCB8",21.51191,19.464312,14.629305,18.5351756666667,551,761,665,"Abcb8",32.393634,22.982948,29.272752,764,1061,243,28.2164446666667,0.668636307036857
"ABCB9",13.522164,13.523465,13.352624,13.4660843333333,392,512,531,"Abcb9",13.338002,13.437693,14.346582,897,1194,345,13.7074256666667,0.983590511432581
"ABCC1",11.500209,10.367327,9.302465,10.3900003333333,903,1271,1197,"Abcc1",6.382838,7.348494,2.504568,439,657,118,5.41196666666667,1.77636611751985
"ABCC10",36.128396,35.014973,37.78168,36.3083496666667,526,739,582,"Abcc10",4.048571,3.606159,3.043047,272,388,93,3.56592566666667,8.17103746104203
"ABCC12",0,0,0,0,0,0,0,"Abcc12",0.455108,0.934647,0.773761,35,106,17,0.721172,0.580999458508505
"ABCC2",0.525342,0.194318,0.093136,0.270932,8,4,5,"Abcc2",0.077074,0.105317,0.017706,5,9,1,0.066699,1.19146263378891
"ABCC3",0.735677,0.386222,0.301105,0.474334666666667,6,5,4,"Abcc3",0.811729,0.712912,0.426075,31,43,6,0.650238666666667,0.893406933461746
"ABCC4",7.050166,6.396275,5.373786,6.273409,388,482,551,"Abcc4",3.071147,2.167471,3.352535,318,388,87,2.86371766666667,1.88248977474458
"ABCC5",40.658816,35.616212,29.02946,35.101496,2274,2699,2335,"Abcc5",183.364476,141.300881,150.092514,4295,5403,1092,158.252623666667,0.22669325734667
"ABCC6",1.563937,2.080382,1.038311,1.56087666666667,47,91,70,"Abcc6",1.008744,1.57666,0.876534,63,89,18,1.15397933333333,1.18890493842559
"ABCC8",59.334917,46.332088,44.755074,50.140693,729,907,811,"Abcc8",11.549855,10.608686,22.413235,564,647,172,14.8572586666667,3.22506519411846
"ABCC9",2.011239,0.868414,0.975146,1.284933,245,158,167,"Abcc9",2.029741,1.735282,2.238094,334,424,115,2.001039,0.76138064183771
"ABCD1",10.618352,6.729346,8.415782,8.58782666666667,351,364,475,"Abcd1",3.751694,3.290507,2.928051,253,362,74,3.32341733333333,2.2176500502843
"ABCD2",1.015291,0.95263,0.78988,0.919267,101,128,108,"Abcd2",26.320987,26.081769,26.769714,1181,1617,306,26.3908233333333,0.0700697082611731
"ABCD3",11.715671,11.503515,12.736033,11.985073,658,873,979,"Abcd3",23.379323,22.163501,20.687641,1616,2217,462,22.0768216666667,0.562688969372082
"ABCD4",58.610022,52.354869,50.095508,53.6867996666667,722,999,947,"Abcd4",9.282074,6.916407,9.782007,391,509,129,8.66016266666667,5.66106405799654
"ABCE1",47.293811,49.347163,47.386876,48.0092833333333,1200,1864,1735,"Abce1",20.233439,17.96782,16.699634,1557,2065,408,18.3002976666667,2.53930194133621
"ABCF1",49.941811,50.936379,55.648464,52.1755513333333,769,1208,1106,"Abcf1",39.898575,34.456644,30.824655,1253,1481,371,35.059958,1.47464263084647
"ABCF2",19.522918,29.608502,27.332976,25.488132,499,751,734,"Abcf2",28.959469,23.183203,30.132421,1585,1906,522,27.425031,0.931859388297589
"ABCF3",46.460597,40.982435,31.451225,39.631419,710,879,744,"Abcf3",251.730555,202.838829,291.535145,1377,1754,455,248.701509666667,0.162719957337222
"ABCG1",2.981022,2.516257,2.216058,2.57111233333333,133,150,148,"Abcg1",18.19387,16.716273,15.025299,1036,1496,310,16.6451473333333,0.202384954110707
"ABCG2",0,0.032841,0.010415,0.0144186666666667,0,3,1,"Abcg3",0.078591,0.126965,0.100245,5,12,2,0.101933666666667,0.920580518912058
"ABCG4",12.913126,10.418173,10.808669,11.3799893333333,598,780,776,"Abcg4",26.644854,17.078907,23.610972,1180,1262,410,22.444911,0.52804590869777
"ABCG5",0.106507,0.151389,0.042838,0.100244666666667,5,10,3,"Abcg5",0.145426,0.040795,0.09925,3,3,1,0.095157,1.00464560484631
"ABCG8",0.375379,0.464493,0.42013,0.420000666666667,27,45,55,"Abcg8",0.024937,0.008273,0,2,1,0,0.01107,1.40445336788419
"ABHD1",0.400221,0.717874,0.22597,0.448021666666667,14,18,14,"Abhd1",1.196823,0.71728,1.031029,31,27,8,0.981710666666667,0.730692775198263
"ABHD10",22.938499,24.352688,21.626771,22.9726526666667,576,818,829,"Abhd10",10.83551,11.441995,11.652591,366,588,127,11.310032,1.94740782693877
"ABHD11",6.937606,7.064101,6.864255,6.95532066666667,76,110,135,"Abhd11",14.205171,12.188733,16.893946,276,355,101,14.4292833333333,0.515598845053292
"ABHD12",64.546737,62.306897,62.683147,63.178927,766,1044,1187,"Abhd12",220.058829,194.911665,204.331185,3618,4930,1247,206.433893,0.30939460312785
"ABHD12B",1.904262,0.479376,0.66991,1.01784933333333,10,10,16,"Abhd12b",0.266634,0.335715,0.208905,7,20,3,0.270418,1.58833496796592
"ABHD13",2.367033,2.196661,1.88721,2.15030133333333,196,246,214,"Abhd13",5.454363,4.367787,4.270211,591,721,144,4.69745366666667,0.552931452828547
"ABHD14A",22.540257,19.428712,18.954588,20.3078523333333,283,320,352,"Abhd14a",13.142815,14.339487,11.925889,244,407,75,13.1360636666667,1.50733986743269
"ABHD14B",3.320588,2.072545,1.528819,2.30731733333333,54,55,44,"Abhd14b",12.490752,10.736031,18.244562,299,361,106,13.8237816666667,0.223108880561179
"ABHD15",0.626613,0.218831,0.501833,0.449092333333333,33,16,41,"Abhd15",0.515703,0.794554,0.51023,29,56,9,0.606829,0.901833569927686
"ABHD16A",37.200716,47.134845,37.037113,40.457558,666,1034,935,"Abhd16a",51.520744,49.225194,58.978636,1022,1419,372,53.2415246666667,0.764314024260405
"ABHD16B",0,0,0,0,0,0,0,"Abhd16b",0,0.018444,0,0,1,0,0.006148,0.993889566942438
"ABHD17A",15.282057,19.663938,28.463204,21.1363996666667,503,831,1086,"Abhd17a",54.09094,54.838004,80.823187,1138,1767,543,63.2507103333333,0.344531594309585
"ABHD17B",10.201998,14.689547,11.447473,12.113006,457,762,669,"Abhd17b",15.276339,14.658277,14.065653,575,887,163,14.6667563333333,0.836995592514588
"ABHD17C",22.112876,26.685209,23.848278,24.2154543333333,525,820,771,"Abhd17c",8.324551,5.812786,7.446699,240,377,81,7.19467866666667,3.07705223828992
"ABHD18",4.011071,3.517854,4.147912,3.892279,213,284,273,"Abhd18",5.207263,4.045483,2.511846,323,360,56,3.92153066666667,0.994056388418996
"ABHD2",13.588883,13.921576,10.695473,12.7353106666667,1685,2486,2111,"Abhd2",10.865608,9.806749,11.171332,1666,2251,544,10.614563,1.18259384073828
