"Hs_symbol","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","DRG","dHs_Avg_TPM","FoldChange"
"ABHD10","Abhd10",15.744209,13.053989,13.082247,155,575,337,13.9601483333333,33.57802,33.57802,0.432649073987849
"ABHD11","Abhd11",10.616167,13.349118,17.343117,58,295,193,13.7694673333333,27.69246,27.69246,0.514750820715036
"ABHD12","Abhd12",194.435324,224.464164,226.37899,1076,4396,2480,215.092826,152.8051,152.8051,1.40497828745601
"ABHD13","Abhd13",8.065108,8.209743,8.759599,280,1053,639,8.34481666666667,2.89574,2.89574,2.39872698554489
"ABHD14A","Abhd14a",9.111682,11.625296,10.462999,55,273,135,10.3999923333333,66.64381,66.64381,0.168529719620071
"ABHD14B","Abhd14b",9.900957,11.07616,10.725091,59,304,184,10.5674026666667,32.82534,32.82534,0.341974468450773
"ABHD15","Abhd15",0.570942,0.544336,0.246583,10,30,9,0.453953666666667,5.26878,5.26878,0.231935666376339
"ABHD16A","Abhd16a",84.799733,87.707752,104.500541,575,2204,1387,92.3360086666667,86.71535,86.71535,1.06407839296847
"ABHD16B","Abhd16b",0,0.023675,0,0,1,0,0.00789166666666667,14.72959,14.72959,0.0640761562549734
"ABHD2","Abhd2",11.033863,14.096476,15.211377,518,2535,1550,13.4472386666667,40.91668,40.91668,0.344665623963221
"ABHD3","Abhd3",55.682784,53.328998,62.270616,427,1662,1021,57.0941326666667,21.57691,21.57691,2.5731657993351
"ABHD4","Abhd4",31.723046,34.102686,39.716449,385,1661,1007,35.180727,20.10291,20.10291,1.7144899447517
"ABHD5","Abhd5",21.566522,17.853184,20.208764,143,531,290,19.8761566666667,9.24127,9.24127,2.03843436084262
"ABHD6","Abhd6",17.385249,17.188792,18.917148,233,860,531,17.8303963333333,13.96645,13.96645,1.25817387111395
"ABHD8","Abhd8",65.067793,67.246917,70.625685,840,3106,1873,67.6467983333333,33.32713,33.32713,1.9997826306287
"ABI1","Abi1",61.894673,67.568242,60.34268,492,1777,1100,63.2685316666667,20.06109,20.06109,3.05152922601189
"ABI2","Abi2",21.449798,32.690883,39.515265,634,2558,1589,31.2186486666667,14.84458,14.84458,2.03341765238755
"ABI3","Abi3",0.868416,1.488242,0.946114,10,26,22,1.100924,28.44514,28.44514,0.0713504503629461
"ABL1","Abl1",17.901029,13.698011,17.087719,305,1363,769,16.2289196666667,12.37745,12.37745,1.28790761069312
"ABL2","Abl2",4.995949,5.682749,8.350547,342,1365,865,6.34308166666667,3.27208,3.27208,1.71885396965101
"ABLIM1","Ablim1",34.801176,35.93125,43.941288,1345,5168,3521,38.2245713333333,43.05974,43.05974,0.890258801648247
"ABLIM2","Ablim2",45.109793,56.693162,60.767226,382,1889,1015,54.1900603333333,16.78901,16.78901,3.10248070765789
"ABLIM3","Ablim3",9.713718,10.446052,13.010561,280,1148,806,11.056777,33.63029,33.63029,0.348156974717798
"ABO","Abo",0,0.04772,0,0,2,0,0.0159066666666667,0.56451,0.56451,0.649344949323857
"ABR","Abr",72.847619,78.817078,72.995401,1670,6447,3704,74.8866993333333,47.79537,47.79537,1.55520286726657
"ABRA","Abra",0.104979,0.014323,0.024908,2,1,1,0.04807,1.81898,1.81898,0.371790505785781
"ABRACL","Abracl",23.553344,24.607412,18.383949,18,67,32,22.1815683333333,15.0223,15.0223,1.446831499431
"ABT1","Abt1",2.169662,2.135689,2.150485,66,245,139,2.15194533333333,17.48943,17.48943,0.170472823301385
"ABTB1","Abtb1",20.252164,25.862883,30.335142,130,636,382,25.4833963333333,128.13382,128.13382,0.205084898234508
"ABTB2","Abtb2",4.467642,5.02184,4.513611,139,562,291,4.66769766666667,3.15709,3.15709,1.36338103497078
"ACAA1","Acaa1b",0.263199,0.567147,0.28493,3,22,6,0.371758666666667,107.02734,107.02734,0.0126982545961667
"ACAA2","Acaa2",16.960302,15.003065,16.159893,87,361,209,16.0410866666667,67.23968,67.23968,0.249724011992241
"ACACA","Acaca",19.485886,15.979125,16.156752,704,2629,1715,17.2072543333333,24.54583,24.54583,0.712729018134597
"ACACB","Acacb",2.347324,2.448333,1.442423,63,283,136,2.07936,11.31115,11.31115,0.250127729740926
"ACAD10","Acad10",0.953402,2.089012,1.322435,20,83,38,1.45494966666667,39.86084,39.86084,0.0600807439755685
"ACAD11","Acad11",11.510665,10.029851,9.42974,198,617,402,10.3234186666667,7.42229,7.42229,1.34445841530827
"ACAD8","Acad8",22.587965,18.479586,22.129273,169,624,442,21.065608,23.71997,23.71997,0.892622766127952
"ACAD9","Acad9",33.288168,40.760278,41.790665,258,1076,590,38.613037,31.85313,31.85313,1.20576142973287
"ACADL","Acadl",23.989554,27.786441,27.839466,286,1063,571,26.538487,10.45393,10.45393,2.40428280948111
"ACADM","Acadm",53.479148,49.461303,49.645235,187,658,428,50.8618953333333,32.77307,32.77307,1.53559908333277
"ACADS","Acads",7.376174,4.693633,4.113654,41,181,88,5.394487,28.90512,28.90512,0.213825826480549
"ACADSB","Acadsb",192.571336,128.986745,179.660881,434,1410,912,167.072987333333,5.8542,5.8542,24.5211676538959
"ACADVL","Acadvl",27.327889,26.55274,25.529242,288,1140,639,26.469957,745.69976,745.69976,0.0367884904636905
"ACAN","Acan",1.886721,2.604057,2.264707,54,340,200,2.25182833333333,0.09409,0.09409,2.97217626825337
"ACAP1","Acap1",0,0.039392,0.070892,0,2,3,0.0367613333333333,16.41267,16.41267,0.059540629514792
"ACAP2","Acap2",22.737422,25.4554,28.768513,509,2068,1130,25.6537783333333,5.09106,5.09106,4.37588504026119
"ACAT1","Acat1",27.981588,41.326883,51.020392,423,1692,1035,40.109621,141.03397,141.03397,0.289435133017827
"ACAT2","Acat2",21.793864,27.314291,29.301711,186,906,543,26.136622,82.49196,82.49196,0.325020780444009
"ACBD3","Acbd3",11.640037,11.430117,12.696939,265,965,610,11.9223643333333,11.19616,11.19616,1.0595436869747
"ACBD5","Acbd5",36.358403,38.338337,37.022115,721,2219,1388,37.2396183333333,20.22836,20.22836,1.80134585683177
"ACBD6","Acbd6",35.945392,35.894611,35.871149,188,692,414,35.9037173333333,80.75661,80.75661,0.451385121439518
"ACBD7","Acbd7",0.489517,0.389686,0.926633,1,3,4,0.601945333333333,0.48088,0.48088,1.08175229143032
"ACCS","Accs",4.011864,4.156498,4.12503,21,102,76,4.09779733333333,11.22752,11.22752,0.416911796777542
"ACCSL","Accsl",0,0.036953,0.308815,0,2,4,0.115256,0,0,1.115256
"ACD","Acd",12.505277,15.687622,17.331572,102,490,312,15.1748236666667,16.4963,16.4963,0.924471097698752
"ACE","Ace",7.222874,11.540329,13.795783,209,1077,644,10.8529953333333,6.07373,6.07373,1.67563581495665
"ACE2","Ace2",0.85973,0.864133,0.577398,15,60,28,0.767087,0.1359,0.1359,1.55567127387974
"ACE3P","Ace3",0,0,0,0,0,0,0,0,0,1
"ACER1","Acer1",0,0.018434,0.02977,0,1,1,0.016068,0.10454,0.10454,0.919901497455954
"ACER2","Acer2",4.509376,2.843414,1.85398,75,244,99,3.06892333333333,0.08363,0.08363,3.75490096558173
"ACER3","Acer3",5.509058,6.757561,6.453785,157,709,365,6.24013466666667,11.8234,11.8234,0.564603355324381
"ACHE","Ache",62.86421,90.196685,78.823217,529,2718,1405,77.294704,247.40272,247.40272,0.315192619468901
"ACIN1","Acin1",53.375948,57.667286,55.722878,628,2276,1280,55.588704,36.56785,36.56785,1.50630669575182
"ACLY","Acly",62.900693,84.057985,88.066181,1466,6929,3937,78.3416196666667,93.47905,93.47905,0.839780032363436
"ACMSD","Acmsd",0,0.12895,0.079902,0,6,3,0.0696173333333333,0.1359,0.1359,0.941647445491094
"ACO1","Aco1",6.130113,9.373893,10.179954,158,755,490,8.56132,12.07429,12.07429,0.731307015524361
"ACO2","Aco2",282.147415,284.798699,303.885091,2956,11701,6722,290.277068333333,112.07659,112.07659,2.57592723952264
"ACOT1","Acot3",0.109079,0.207848,0.217536,1,10,7,0.178154333333333,4.03522,4.03522,0.233982692580132
"ACOT11","Acot11",18.795607,22.115918,27.499553,496,1856,1128,22.8036926666667,1.43219,1.43219,9.7869379722253
"ACOT12","Acot12",0.049362,0.069376,0.069691,1,3,3,0.0628096666666667,0.22999,0.22999,0.864079924769036
"ACOT13","Acot13",91.817633,140.443014,291.317742,173,570,376,174.526129666667,113.34151,113.34151,1.53510417753506
"ACOT2","Acot2",1.585568,1.620148,1.475092,22,79,41,1.56026933333333,11.03935,11.03935,0.212658435325274
"ACOT4","Acot4",0.107848,1.515178,1.377756,5,43,25,1.00026066666667,2.35213,2.35213,0.596713333512324
"ACOT6","Acot6",1.879721,2.153377,2.397557,42,175,111,2.14355166666667,0.09409,0.09409,2.87321122272086
"ACOT7","Acot7",251.136288,215.300178,179.593733,1118,4564,2557,215.343399666667,824.49103,824.49103,0.262078437928837
"ACOT8","Acot8",10.297145,8.541505,9.081612,50,177,114,9.306754,123.19957,123.19957,0.0829854241846409
"ACOT9","Acot9",5.697424,9.097912,8.198204,61,348,179,7.66451333333333,22.4864,22.4864,0.36891619547199
"ACOX1","Acox1",43.253675,46.046219,46.908816,1058,3903,2410,45.4029033333333,12.56562,12.56562,3.42062532588509
"ACOX2","Acox2",0.063548,0.608585,0.661379,1,12,5,0.444504,12.28337,12.28337,0.108745295809723
"ACOX3","Acox3",9.973444,19.362258,19.637784,198,866,525,16.3244953333333,6.50234,6.50234,2.3092122368932
"ACOXL","Acoxl",0.106043,0.028109,0.049084,1,2,1,0.0610786666666667,0.63769,0.63769,0.647911794458455
"ACP1","Acp1",70.115091,40.378466,30.815997,259,1021,517,47.1031846666667,91.26281,91.26281,0.521371337667546
"ACP2","Acp2",27.545288,17.097309,16.681153,483,1845,1102,20.44125,61.68864,61.68864,0.342027678380006
"ACP5","Acp5",0,0.131785,0.116811,0,4,2,0.0828653333333333,7.92408,7.92408,0.121341957191479
"ACP6","Acp6",3.569569,7.034978,8.482897,33,199,122,6.36248133333333,6.57552,6.57552,0.971878014094522
"ACR","Acr",0.262898,0.331001,0.321071,1,11,6,0.30499,0.49133,0.49133,0.875051128858133
"ACRBP","Acrbp",4.871569,6.490464,4.630272,25,115,59,5.33076833333333,1.62036,1.62036,2.41599182300651
"ACRV1","Acrv1",0,0.036969,0,0,3,0,0.012323,1.60991,1.60991,0.387876593445751
"ACSBG1","Acsbg1",94.207837,117.349815,128.950509,1456,5807,3500,113.502720333333,34.69659,34.69659,3.20766550343698
"ACSBG2","Acsbg2",0,0.015367,0.027109,0,1,1,0.0141586666666667,0.03136,0.03136,0.983321698210777
"ACSF2","Acsf2",13.151681,17.421665,16.907815,103,469,261,15.8270536666667,12.0952,12.0952,1.28497874539271
"ACSF3","Acsf3",6.433811,7.398949,7.850011,91,401,238,7.22759033333333,29.46963,29.46963,0.270025935114189
"ACSL1","Acsl1",34.24096,29.027217,22.595622,239,1064,585,28.6212663333333,41.32439,41.32439,0.699862805662015
"ACSL3","Acsl3",164.82735,125.218524,133.505579,1233,3872,2280,141.183817666667,27.2743,27.2743,5.02872989487509
"ACSL4","Acsl4",15.650734,15.820655,27.954734,343,1313,799,19.8087076666667,18.97388,18.97388,1.04179596886868
"ACSL5","Acsl5",23.386902,25.908157,26.057943,121,580,317,25.1176673333333,4.58928,4.58928,4.67281426826592
"ACSL6","Acsl6",139.440799,134.120983,127.066489,2061,7719,4466,133.542757,22.19369,22.19369,5.80083449420942
"ACSM1","Acsm1",0,0,0,0,0,0,0,0.15681,0.15681,0.864446192546745
"ACSM2B","Acsm2",0.021506,0.029627,0.030493,1,5,3,0.0272086666666667,0.07318,0.07318,0.957163445709636
"ACSM3","Acsm3",0.578683,7.953216,0.307985,1,9,5,2.946628,0.9304,0.9304,2.04446125155408
"ACSM4","Acsm4",0,0,0,0,0,0,0,0,0,1
"ACSM5","Acsm5",1.167392,0.530411,1.04196,16,37,32,0.913254333333333,7.64182,7.64182,0.221394837352934
"ACSS1","Acss1",6.481707,7.349056,11.038161,90,441,254,8.28964133333333,10.40166,10.40166,0.814762177905089
"ACSS2","Acss2",21.66178,26.37256,25.142039,306,1411,776,24.3921263333333,70.14587,70.14587,0.356902323821936
"ACSS3","Acss3",1.880805,1.868718,1.826704,43,165,88,1.85874233333333,5.10152,5.10152,0.468529535809656
"ACTA1","Acta1",0.383569,0.39472,0.53884,2,13,10,0.439043,1.11857,1.11857,0.679252042651411
"ACTA2","Acta2",10.206045,9.622577,10.670508,95,326,175,10.1663766666667,82.33516,82.33516,0.133993582860664
"ACTB","Actb",1341.615807,1028.725086,1137.997089,2783,10848,6712,1169.445994,3647.18813,3647.18813,0.320829395933592
"ACTBL2","Actbl2",0,0.059496,0.105002,0,4,4,0.0548326666666667,0,0,1.05483266666667
"ACTC1","Actc1",0,0.029694,0,0,1,0,0.009898,4.652,4.652,0.178679759377212
"ACTG1","Actg1",421.073874,536.035053,489.351942,3202,14564,7993,482.153623,3916.71136,3916.71136,0.123325477199014
"ACTG2","Actg2",0,0.312093,0.151151,0,9,2,0.154414666666667,3.1989,3.1989,0.274932641088539
"ACTL10","Actl10",0.106591,0.285117,0.45635,1,10,9,0.282686,1.54718,1.54718,0.50357100793819
"ACTL6A","Actl6a",12.522326,10.655135,12.492026,71,254,145,11.889829,17.77168,17.77168,0.68666358045737
"ACTL6B","Actl6b",25.579593,21.634274,24.562795,168,689,394,23.925554,30.92273,30.92273,0.780808972164975
"ACTL7A","Actl7a",0,0,0,0,0,0,0,0,0,1
"ACTL7B","Actl7b",0,0,0.053651,0,0,1,0.0178836666666667,0.02091,0.02091,0.997035651200073
"ACTL9","Actl9",0,0.032174,0.056975,0,1,1,0.0297163333333333,0,0,1.02971633333333
"ACTN1","Actn1",10.569857,10.026463,10.456415,149,708,399,10.3509116666667,19.08888,19.08888,0.565034569705562
"ACTN2","Actn2",2.203623,1.072808,0.807368,6,43,15,1.36126633333333,5.38377,5.38377,0.369885872036952
"ACTN4","Actn4",32.219291,44.111705,43.53803,489,2007,1154,39.956342,154.94816,154.94816,0.262627927126553
"ACTR10","Actr10",127.846118,128.727641,140.774903,793,2806,1710,132.449554,226.8921,226.8921,0.585582185604503
"ACTR1A","Actr1a",63.964873,73.98816,62.283988,903,3941,2231,66.7456736666667,278.2209,278.2209,0.242623935624685
"ACTR1B","Actr1b",140.584729,140.358561,143.625242,1093,4643,2641,141.522844,132.78582,132.78582,1.06530605410947
"ACTR2","Actr2",57.821246,62.383079,68.380285,1378,5453,3425,62.8615366666667,57.96704,57.96704,1.08300394028031
"ACTR3","Actr3",76.499837,84.923628,88.497279,861,3061,1901,83.3069146666667,75.04877,75.04877,1.10859011482588
"ACTR3B","Actr3b",18.740312,20.622546,21.368132,228,950,549,20.2436633333333,30.56729,30.56729,0.672964430375029
"ACTR5","Actr5",3.392317,3.962584,3.518118,38,105,65,3.62433966666667,6.39781,6.39781,0.625095760321861
"ACTR6","Actr6",9.147979,11.692093,10.713922,76,303,182,10.517998,37.71778,37.71778,0.297486012886069
"ACTR8","Actr8",23.598822,27.016114,22.334226,287,987,584,24.3163873333333,13.86191,13.86191,1.70344103371191
"ACTRT1","Actrt1",0,0,0,0,0,0,0,0,0,1
"ACTRT2","Actrt2",0,0,0,0,0,0,0,0,0,1
"ACTRT3","Actrt3",1.216491,0.708266,0.872153,15,33,23,0.932303333333333,2.62394,2.62394,0.533205111931581
"ACVR1","Acvr1",10.71087,8.067406,8.633113,154,550,342,9.13712966666667,8.99038,8.99038,1.01468909757854
"ACVR1B","Acvr1b",14.511199,17.045267,17.419927,437,1953,1127,16.3254643333333,13.88282,13.88282,1.16412510084334
"ACVR1C","Acvr1c",2.05229,1.570526,2.263541,113,369,271,1.962119,0.08363,0.08363,2.73351512970294
"ACVR2A","Acvr2a",6.975064,6.161448,5.002539,201,720,402,6.04635033333333,5.34196,5.34196,1.11106823968195
"ACVR2B","Acvr2b",1.968819,1.95784,2.063383,30,126,62,1.99668066666667,1.01403,1.01403,1.48790269592144
"ACVRL1","Acvrl1",15.014036,19.879249,17.011901,86,373,192,17.3017286666667,15.74362,15.74362,1.09305685787582
"ACY1","Acy1",8.674023,13.234966,13.062822,36,200,117,11.6572703333333,23.16591,23.16591,0.52376551652031
"ACY3","Acy3",3.611599,3.53033,2.102148,18,73,30,3.081359,3.93068,3.93068,0.827747694030032
"ACYP1","Acyp1",25.379229,24.505633,30.086442,72,259,177,26.6571013333333,33.84983,33.84983,0.793607926734028
"ACYP2","Acyp2",28.481269,22.98424,24.737602,117,346,213,25.401037,88.38798,88.38798,0.295353323791409
"ADA","Ada",0.484101,0.454674,0.643301,5,18,7,0.527358666666667,1.589,1.589,0.589941547573066
"ADAD1","Adad1",0,0,0,0,0,0,0,0.01045,0.01045,0.989658073135732
"ADAD2","Adad2",0,0.022048,0.039075,0,1,1,0.0203743333333333,0.99312,0.99312,0.511948268711033
"ADAL","Adal",11.435668,11.190203,12.850595,125,526,284,11.8254886666667,6.65915,6.65915,1.67453159510738
"ADAM10","Adam10",23.377228,20.262773,21.955765,685,2263,1463,21.8652553333333,13.71556,13.71556,1.55381482820452
"ADAM11","Adam11",55.795915,54.957369,54.606606,721,3269,1828,55.1199633333333,52.30101,52.30101,1.05288742808688
"ADAM12","Adam12",0.307239,0.758381,0.820879,16,87,66,0.628833,0.11499,0.11499,1.46084987309303
"ADAM15","Adam15",49.965673,51.480704,45.129362,343,1554,811,48.8585796666667,99.64686,99.64686,0.495381372719096
"ADAM17","Adam17",5.421171,12.897747,12.973021,114,531,311,10.4306463333333,9.50262,9.50262,1.08836141204131
"ADAM18","Adam18",0.144031,0.133886,0,2,7,0,0.092639,0.01045,0.01045,1.08133900737295
"ADAM19","Adam19",2.615182,3.013677,3.178297,114,472,256,2.93571866666667,6.81596,6.81596,0.503548977562151
"ADAM1A","Adam1a",2.787087,3.101342,3.349857,75,305,197,3.07942866666667,0.91995,0.91995,2.12475776278896
"ADAM1B","Adam1b",0.053602,0.035735,0,1,3,0,0.029779,0.28226,0.28226,0.803096875828615
"ADAM2","Adam2",0.1252,0.031196,0.165239,1,1,3,0.107211666666667,0,0,1.10721166666667
"ADAM20","Adam25",0.058434,0.015596,0,1,1,0,0.0246766666666667,0.14636,0.14636,0.89385242564872
"ADAM21","Adam21",0.209513,0.334237,0.368602,4,24,15,0.304117333333333,0.53315,0.53315,0.850613008077053
"ADAM22","Adam22",30.279681,45.37552,48.664399,1303,6041,3580,41.4398666666667,19.30841,19.30841,2.08976806488872
"ADAM23","Adam23",60.922865,74.252702,70.555705,1489,6187,3507,68.5770906666667,51.57969,51.57969,1.32326932065721
"ADAM24P","Adam24",0,0,0,0,0,0,0,0,0,1
"ADAM28","Adam28",0,0.146549,0,0,7,0,0.0488496666666667,7.84045,7.84045,0.118642112863787
"ADAM29","Adam29",0,0,0,0,0,0,0,0.09409,0.09409,0.914001590362767
"ADAM32","Adam32",0,0.580325,1.931946,0,8,8,0.837423666666667,0.71087,0.71087,1.07397035816086
"ADAM33","Adam33",0.836836,0.93188,2.04287,4,27,19,1.27052866666667,24.57719,24.57719,0.0887716229447671
"ADAM3A","Adam3",0,0.360959,0,0,2,0,0.120319666666667,0.02091,0.02091,1.09737358500423
"ADAM5","Adam5",0,0.393045,0.227056,0,6,8,0.206700333333333,0.02091,0.02091,1.18198502643067
"ADAM7","Adam7",0,0,0.052884,0,0,1,0.017628,0.01045,0.01045,1.00710376564897
"ADAM8","Adam8",2.366782,1.501168,0.438611,6,36,16,1.43552033333333,4.00386,4.00386,0.486728312409486
"ADAM9","Adam9",15.279117,15.16946,15.616793,380,1437,799,15.3551233333333,19.93565,19.93565,0.781209245155194
"ADAMDEC1","Adamdec1",0,0.033796,0,0,2,0,0.0112653333333333,0.22999,0.22999,0.822173622007767
"ADAMTS1","Adamts1",5.081839,4.830322,5.651011,114,478,353,5.187724,18.81707,18.81707,0.312242122574124
"ADAMTS10","Adamts10",17.667156,26.394146,23.52364,262,1217,708,22.528314,5.1956,5.1956,3.79758441474595
"ADAMTS12","Adamts12",0.016635,0.079186,0.046635,1,18,6,0.0474853333333333,0.86768,0.86768,0.560848396584711
"ADAMTS13","Adamts13",0.045027,0,0,1,0,0,0.015009,5.32105,5.32105,0.160576011896758
