"Hs_symbol","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","FoldChange"
"BMPR1A","Bmpr1a",16.553917,15.199559,15.680501,540,1886,1152,15.8113256666667,9.11121,9.42295,13.26198,10.5987133333333,1.44941298086512
"BMPR1B","Bmpr1b",5.115899,4.573286,4.551435,178,539,335,4.74687333333333,23.12591,18.79062,9.26372,17.0600833333333,0.318208572311866
"BMPR2","Bmpr2",15.146135,16.4136,16.739305,1343,5320,3102,16.09968,12.09306,11.16384,9.02339,10.7600966666667,1.45404246960555
"BMX","Bmx",0.455846,0.527031,0.569132,9,39,21,0.517336333333333,0.0497,0.05527,0,0.03499,1.46603960746803
"BNC1","Bnc1",0,0,0,0,0,0,0,0,0.05527,0,0.0184233333333333,0.981909945765841
"BNC2","Bnc2",1.41541,0.316496,0.504156,6,14,9,0.745354,0.7289,0.77373,0.08739,0.530006666666667,1.14074927778092
"BNIP1","Bnip1",9.36857,10.923641,11.813859,48,219,138,10.7020233333333,7.90191,12.43497,8.78306,9.70664666666667,1.09296810641614
"BNIP2","Bnip2",19.607158,17.424851,17.855433,164,563,324,18.295814,12.92136,12.35207,9.08894,11.4541233333333,1.54935144638844
"BNIP3","Bnip3",70.349482,64.497977,70.606619,563,2058,1267,68.4846926666667,63.08272,76.51653,87.48101,75.69342,0.906005921585798
"BNIP3L","Bnip3l",151.779981,164.386555,175.16457,937,3448,2131,163.777035333333,46.91446,45.78833,45.48838,46.0637233333333,3.50114745844234
"BNIPL","Bnipl",0.621519,0.324814,0.30075,3,10,5,0.415694333333333,1.52406,2.1554,1.76972,1.81639333333333,0.502662151830119
"BOC","Boc",9.729066,9.230831,11.442794,298,1067,746,10.1342303333333,17.24504,22.05135,21.45513,20.2505066666667,0.523951287749688
"BOD1","Bod1",35.857335,35.260392,37.446816,266,984,592,36.188181,42.93866,35.37059,23.09376,33.8010033333333,1.06859508169353
"BOD1L1","Bod1l",7.907918,7.66765,8.819106,569,2068,1316,8.131558,26.91949,86.98954,22.74419,45.5510733333333,0.196162136469177
"BOK","Bok",8.375927,6.693079,5.900039,61,175,100,6.98968166666667,38.51558,32.71779,30.93734,34.0569033333333,0.227906087160579
"BOLA1","Bola1",8.560646,7.390725,6.667694,31,97,50,7.53968833333333,36.61051,37.24965,31.02473,34.96163,0.237466664701609
"BOLA2","Bola2",33.886214,59.503092,51.215626,74,353,159,48.201644,0,0,0,0,49.201644
"BOLA3","Bola3",87.494764,49.256895,56.618903,107,344,200,64.456854,64.34173,45.2633,50.95048,53.5185033333333,1.20063556403572
"BOLL","Boll",0,0.4082,0.229477,0,4,1,0.212559,0.08283,0.27633,0.87394,0.411033333333333,0.859341144787508
"BOP1","Bop1",11.594679,17.932012,16.813016,149,749,387,15.446569,22.24793,18.51429,30.65331,23.8051766666667,0.663029706299209
"BORA","Bora",1.064665,1.623704,1.632288,22,138,72,1.440219,2.13699,1.4093,1.13612,1.56080333333333,0.952911521254398
"BPGM","Bpgm",32.864888,45.336405,42.554731,289,1259,742,40.252008,13.99814,11.71651,11.95108,12.5552433333333,3.0432510125848
"BPHL","Bphl",57.4849,73.5939,83.596208,105,486,297,71.558336,15.62159,11.99284,12.03847,13.2176333333333,5.10340464540512
"BPI","Bpi",0,0.023736,0,0,1,0,0.007912,0.13253,3.42653,3.58314,2.38073333333333,0.298134132633945
"BPIFA1","Bpifa1",0,0,0,0,0,0,0,0,0,0,0,1
"BPIFA2","Bpifa2",0,0,0,0,0,0,0,0,0,0,0,1
"BPIFA3","Bpifa3",0,0,0,0,0,0,0,0,0,0,0,1
"BPIFB1","Bpifb1",0,0.104548,0,0,4,0,0.0348493333333333,0.69577,0.63557,0.10924,0.480193333333333,0.699131194573682
"BPIFB2","Bpifb2",0.093755,0.048855,0,1,2,0,0.0475366666666667,0,0,0.39327,0.13109,0.926130251939869
"BPIFB3","Bpifb3",0,0,0,0,0,0,0,0,0,0,0,1
"BPIFB4","Bpifb4",0,0.088559,0,0,3,0,0.0295196666666667,0,0,0,0,1.02951966666667
"BPIFB6","Bpifb6",0,0.116457,0.045052,0,3,1,0.0538363333333333,0,0,0,0,1.05383633333333
"BPIFB9P","Bpifb9a",0,0,0,0,0,0,0,2.20326,0.4974,0.83024,1.17696666666667,0.459354759680902
"BPIFC","Bpifc",0.056606,0.09189,0.07925,1,6,3,0.0759153333333333,0,0,0,0,1.07591533333333
"BPNT1","Bpnt1",45.828965,40.099685,41.895128,353,1191,793,42.607926,30.1167,25.83711,24.49206,26.81529,1.56776815916713
"BRAF","Braf",17.277021,17.848423,23.287405,774,3294,1920,19.4709496666667,4.78753,4.72529,8.36794,5.96025333333333,2.94112134807354
"BRAP","Brap",25.73565,21.268283,17.769935,336,1198,680,21.5912893333333,9.49223,9.69928,6.46713,8.55288,2.36486686039533
"BRAT1","Brat1",3.86174,3.825675,4.372067,87,316,206,4.01982733333333,39.87398,42.96974,56.67476,46.50616,0.105666872113708
"BRCA1","Brca1",1.26017,0.371883,0.610729,12,47,27,0.747594,2.93215,3.56469,2.14114,2.87932666666667,0.450489002387012
"BRCA2","Brca2",6.915639,6.891492,7.401043,62,263,154,7.06939133333333,0.03313,0.19343,0.0437,0.0900866666666667,7.40252273519537
"BRCC3","Brcc3",25.506579,20.477944,22.674899,280,816,519,22.886474,11.91084,10.39011,11.33932,11.2134233333333,1.95575583913546
"BRD1","Brd1",9.154349,10.00237,10.882891,303,1185,734,10.0132033333333,17.79171,14.8667,13.83004,15.49615,0.667622647304573
"BRD2","Brd2",120.544115,94.026116,147.748995,951,3566,2347,120.773075333333,128.66689,124.93002,141.79614,131.797683333333,0.916981925261999
"BRD3","Brd3",13.919163,9.602186,11.669894,284,1092,673,11.7304143333333,20.06123,26.11344,27.3105,24.4950566666667,0.499328732615748
"BRD4","Brd4",32.899078,30.314164,33.187436,438,1666,1054,32.1335593333333,20.19376,20.06175,22.21983,20.8251133333333,1.51813916506581
"BRD7","Brd7",39.930689,39.604254,44.523691,291,955,632,41.352878,55.72749,64.30262,41.49012,53.8400766666667,0.772297935639891
"BRD8","Brd8",20.475089,15.517611,17.17729,371,1351,881,17.72333,81.22232,50.32019,65.80739,65.7833,0.280359461122766
"BRD9","Brd9",20.459842,23.828681,22.618551,229,918,487,22.302358,34.95393,45.6778,46.14383,42.25852,0.538676727729012
"BRDT","Brdt",2.954288,3.954657,4.497413,49,181,119,3.80211933333333,0.24849,0.96716,0.06555,0.427066666666667,3.36502802952443
"BRF1","Brf1",13.330802,13.383118,12.610797,191,640,358,13.108239,51.95048,34.84555,40.17921,42.32508,0.325636767433551
"BRF2","Brf2",10.185596,11.598209,11.682841,39,210,135,11.1555486666667,8.36575,10.36248,7.38476,8.70433,1.25259020114389
"BRI3","Bri3",24.463753,24.649154,24.219728,77,296,160,24.4442116666667,139.41812,121.44823,95.39013,118.75216,0.212473926705511
"BRI3BP","Bri3bp",17.54084,18.474734,18.569818,780,3088,1759,18.1951306666667,13.30237,11.90994,11.79814,12.3368166666667,1.43925879364016
"BRIP1","Brip1",0.932075,0.767059,0.699653,45,137,71,0.799595666666667,0.61294,0.2487,0.28403,0.38189,1.3022712854617
"BRIX1","Brix1",21.000798,15.838003,17.630804,120,409,238,18.156535,12.98762,13.8719,13.02165,13.2937233333333,1.34020608579477
"BRK1","Brk1",53.165015,57.53114,58.490676,322,1335,768,56.3956103333333,190.17586,204.84544,211.4707,202.164,0.282508763035446
"BRMS1","Brms1",12.388814,7.350286,5.548567,50,179,92,8.42922233333333,27.76435,22.24478,19.02996,23.01303,0.392671076217093
"BRMS1L","Brms1l",29.800686,24.798135,23.14851,361,1315,774,25.915777,13.3355,7.59915,10.02842,10.3210233333333,2.37750388878273
"BROX","Brox",24.2511,30.842738,37.849911,526,2037,1204,30.9812496666667,19.76305,16.99446,13.32753,16.6950133333333,1.80735945569599
"BRPF1","Brpf1",9.482275,9.299681,10.926843,249,976,642,9.902933,11.62922,12.7113,7.75618,10.6989,0.931962235765756
"BRPF3","Brpf3",13.898513,17.596603,23.747379,113,594,315,18.414165,19.99497,19.03932,23.57443,20.8695733333333,0.887724909127933
"BRS3","Brs3",0.109345,0.014637,0,2,1,0,0.0413273333333333,0.46384,0.05527,0,0.173036666666667,0.887719338128106
"BRSK1","Brsk1",80.533621,84.433388,83.119459,1316,5304,2957,82.6954893333333,243.96515,236.51317,511.77701,330.751776666667,0.252283469810707
"BRSK2","Brsk2",47.107564,59.182082,58.630213,856,3302,1961,54.9732863333333,100.20677,75.43883,191.52311,122.38957,0.453630613457307
"BRWD1","Brwd1",30.499439,48.36085,78.856295,616,2756,1644,52.5721946666667,54.08747,39.18398,50.12024,47.79723,1.09785319098372
"BRWD3","Brwd3",1.786487,1.883121,2.011126,136,544,328,1.893578,1.65658,1.4093,1.11427,1.39338333333333,1.20899061997312
"BSCL2","Bscl2",34.037275,37.90995,35.218481,268,1230,666,35.721902,1058.17625,675.77165,790.21307,841.38699,0.0435926746684442
"BSDC1","Bsdc1",30.272229,26.047082,29.87102,298,1161,653,28.7301103333333,47.36174,50.18202,44.98586,47.5098733333333,0.61286720187959
"BSG","Bsg",292.125788,273.258235,291.086439,1962,7360,4500,285.490154,658.35967,848.59012,722.96368,743.30449,0.384909882781978
"BSN","Bsn",15.576559,20.616259,23.168709,1286,6200,4180,19.7871756666667,19.43173,15.1154,25.12566,19.89093,0.995033522522294
"BSND","Bsnd",0,0.01442,0,0,1,0,0.00480666666666667,0.26505,0.02763,0,0.09756,0.915491332288592
"BSPH1","Bsph1",0,0,0,0,0,0,0,0,0,0,0,1
"BSPRY","Bspry",0.3763,0.688372,0.27797,5,27,8,0.447547333333333,42.90553,34.04419,1.90081,26.28351,0.0530557590769418
"BST1","Bst1",0,0.317236,0.2973,0,11,4,0.204845333333333,2.17013,2.68043,2.0756,2.30872,0.364142427686034
"BST2","Bst2",3.033965,4.182925,3.064879,12,47,26,3.42725633333333,61.01199,84.28148,44.63629,63.30992,0.068842510351954
"BSX","Bsx",0,0,0,0,0,0,0,0,0,0,0,1
"BTBD1","Btbd1",112.844262,90.37001,100.779245,654,2228,1405,101.331172333333,33.49613,32.24803,32.11715,32.6204366666667,3.0437193112007
"BTBD10","Btbd10",20.089248,18.730882,17.773589,313,1096,612,18.864573,45.00939,38.68658,23.13746,35.6111433333333,0.542582700003087
"BTBD11","Btbd11",13.007735,12.267648,10.640524,297,1171,684,11.971969,5.63239,3.09493,5.63689,4.78807,2.24115620578189
"BTBD16","Btbd16",0.043795,0.165985,0.27553,1,13,11,0.16177,2.94872,0.88426,2.18484,2.00594,0.386491413667605
"BTBD17","Btbd17",17.038685,20.996904,18.527438,92,496,265,18.8543423333333,3.51196,5.74772,3.88902,4.3829,3.6884100268133
"BTBD18","Btbd18",0,0.039105,0.046066,0,3,2,0.0283903333333333,0.13253,0.1658,0.06555,0.121293333333333,0.917146568843122
"BTBD3","Btbd3",79.7653,67.941388,73.404911,2621,8498,5194,73.7038663333333,14.29632,10.63881,20.75598,15.23037,4.60272109220759
"BTBD6","Btbd6",18.3114,17.219999,19.139218,158,684,411,18.223539,57.50004,60.82083,53.31011,57.2103266666667,0.330242761049614
"BTBD7","Btbd7",4.420382,4.534131,5.091692,238,906,550,4.68206833333333,6.82513,11.85467,4.41338,7.69772666666667,0.653282007022525
"BTBD9","Btbd9",48.473368,70.867923,65.12517,268,1197,745,61.4888203333333,35.13615,35.56402,27.50714,32.73577,1.85230158770152
"BTC","Btc",0.196749,0.434521,0.557554,3,12,11,0.396274666666667,0.16566,0.2487,1.11427,0.509543333333333,0.924964945248342
"BTD","Btd",5.045894,6.580234,6.0758,54,277,141,5.90064266666667,14.71047,12.26917,10.61832,12.5326533333333,0.509925326297183
"BTF3","Btf3",122.442855,119.243837,129.021593,505,1758,1065,123.569428333333,290.25011,253.3142,154.49006,232.68479,0.533066051638762
"BTF3L4","Btf3l4",41.029597,40.266929,45.754208,315,1120,678,42.3502446666667,26.7207,21.85792,18.30896,22.29586,1.86085616357012
"BTG1","Btg1",31.450427,29.522544,37.672055,511,1688,1202,32.8816753333333,22.57924,18.65246,20.93077,20.7208233333333,1.55987067402448
"BTG2","Btg2",3.500133,3.935591,5.357195,63,269,207,4.26430633333333,17.79171,13.9548,59.64614,30.4642166666667,0.167310897617558
"BTG3","Btg3",9.068882,2.654459,2.956966,33,89,55,4.89343566666667,18.80223,12.43497,14.85691,15.3647033333333,0.360130919982051
"BTG4","Btg4",0,0.209356,0,0,1,0,0.0697853333333333,0.11596,0.44213,0,0.18603,0.901988426374825
"BTK","Btk",0.251215,0.317206,0.311692,3,11,10,0.293371,4.77096,4.64239,6.33604,5.24979666666667,0.206946092646214
"BTLA","Btla",0.229654,0.439648,0.35623,5,11,4,0.341844,0.18222,0.35923,0.10924,0.216896666666667,1.10267702817823
"BTN1A1","Btn1a1",0.044974,0.362551,0.161646,1,6,4,0.189723666666667,0.16566,0.2487,0,0.13812,1.04534114738926
"BTN2A2","Btn2a2",0.070561,0.258005,0.105029,1,14,3,0.144531666666667,9.55849,7.57152,4.56632,7.23211,0.139032601200259
"BTNL10","Btnl10",0.051862,0.097704,0.12084,1,7,6,0.0901353333333333,0,0,0,0,1.09013533333333
"BTNL2","Btnl2",0,0.015699,0.027792,0,1,1,0.014497,0.77859,0.829,2.18484,1.26414333333333,0.448071014349798
"BTNL9","Btnl9",0.027875,0.061388,0.079341,1,8,6,0.0562013333333333,46.30153,40.75907,34.78266,40.61442,0.0253806573138189
"BTRC","Btrc",60.865847,39.10738,48.13925,353,1534,810,49.3708256666667,31.44197,28.02014,30.17265,29.8782533333333,1.63127185734599
"BUB1","Bub1",0,0.581544,0.04143,0,9,2,0.207658,0.71233,0.22107,0.37142,0.43494,0.84160870837805
"BUB1B","Bub1b",0.679798,1.18546,1.082731,10,70,24,0.982663,0.71233,2.59753,0.06555,1.12513666666667,0.93295788035593
"BUB3","Bub3",35.162728,41.859338,41.676648,344,1424,800,39.566238,28.14536,28.3241,25.9996,27.4896866666667,1.42389203765667
"BUD13","Bud13",9.448193,8.585875,9.09661,52,193,108,9.04355933333333,9.01182,7.51625,9.37297,8.63368,1.04254649659666
"BUD31","Bud31",45.138878,44.304697,46.752484,158,546,335,45.3986863333333,103.6359,111.19628,94.21032,103.014166666667,0.446080450579649
"BVES","Bves",0.101294,0.300306,1.198795,3,31,15,0.533465,3.54509,4.69766,1.92266,3.38847,0.349430439310284
"BYSL","Bysl",3.103911,3.832434,3.225764,81,381,181,3.38736966666667,10.81749,5.25032,6.8167,7.62817,0.508493651222295
"BZW1","Bzw1",46.350497,52.278004,56.539964,1154,4252,2473,51.7228216666667,28.64234,28.3241,29.67013,28.8788566666667,1.76455284935602
"BZW2","Bzw2",13.891011,18.746691,16.023827,140,507,286,16.2205096666667,21.18771,15.55753,14.26701,17.0040833333333,0.956478002675319
"C10orf90","D7Ertd443e",7.708483,7.620622,8.817269,44,173,64,8.04879133333333,12.63974,8.73211,17.63166,13.00117,0.64628822686485
"C11orf71","Gm5617",3.732144,3.534063,3.591786,8,28,16,3.619331,10.86719,12.7942,8.28055,10.6473133333333,0.396600560816028
"C12orf4","D6Wsu163e",15.418156,13.935388,13.702103,148,502,276,14.3518823333333,6.0631,4.75292,5.00328,5.2731,2.44725611473328
"C12orf45","D10Wsu102e",1.017266,1.391964,1.280916,899,4625,2412,1.23004866666667,12.83853,10.80461,10.2032,11.2821133333333,0.1815688071054
"C12orf57","Grcc10",137.92369,148.692792,123.603078,229,907,432,136.739853333333,248.37166,314.43899,236.98964,266.600096666667,0.514722733844553
"C14orf28","Gm527",4.043224,5.428712,4.96229,11,64,33,4.81140866666667,2.83276,4.11736,3.34281,3.43097666666667,1.31154124786635
"C15orf62","Gm14137",0.29369,0.400181,0.298923,6,31,13,0.330931333333333,2.6671,1.4093,1.83527,1.97055666666667,0.448041051789395
"C17orf67","Gm525",0,0.118275,0,0,1,0,0.039425,1.57375,2.12776,2.31593,2.00581333333333,0.345804906935893
"C17orf78","Gm11437",0,0,0,0,0,0,0,0.06626,0,0,0.0220866666666667,0.978390612668202
"C17orf80","D11Wsu47e",3.149717,3.221023,2.640584,27,92,49,3.00377466666667,11.71205,10.47301,7.20997,9.79834333333333,0.37077675186595
"C19orf53","D8Ertd738e",52.909931,56.79056,60.903046,139,573,346,56.8678456666667,224.8813,209.59836,185.44925,206.64297,0.278689163744222
"C1D","C1d",23.570219,40.595049,32.604866,137,594,315,32.2567113333333,41.39804,42.6105,46.47155,43.4933633333333,0.747453301837001
"C1GALT1","C1galt1",3.169591,3.390191,3.451784,129,502,291,3.33718866666667,18.38808,17.51949,30.30374,22.0704366666667,0.187997684193523
"C1GALT1C1","C1galt1c1",13.079438,13.872853,16.697566,110,428,294,14.5499523333333,5.71522,5.41612,5.37471,5.50201666666667,2.39155836266184
"C1QA","C1qa",14.280078,19.00179,18.804408,84,420,234,17.362092,78.47239,28.407,14.72582,40.53507,0.442086458503621
"C1QB","C1qb",16.313605,15.645538,16.999166,100,365,223,16.3194363333333,233.03169,56.84164,41.57751,110.483613333333,0.155354099275098
"C1QBP","C1qbp",45.516777,56.750409,56.599303,209,923,515,52.9554963333333,103.76843,102.04967,108.60842,104.80884,0.509933728914648
"C1QC","C1qc",11.388651,12.606907,11.715041,80,327,172,11.903533,157.35893,32.52436,20.12238,70.00189,0.181735063672249
"C1QL1","C1ql1",8.152452,12.557233,10.373806,62,331,156,10.3611636666667,28.01284,42.72104,45.31359,38.68249,0.286301682849707
"C1QL2","C1ql2",1.271939,1.569705,1.120161,16,69,28,1.32060166666667,7.3221,13.59557,24.33912,15.0855966666667,0.144265812127164
"C1QL3","C1ql3",5.901229,7.057796,5.787522,96,409,191,6.248849,0.5798,0.11053,8.78306,3.15779666666667,1.74343518482145
"C1QL4","C1ql4",0.456778,1.19135,0.332216,4,38,6,0.660114666666667,0,0.05527,0.17479,0.0766866666666667,1.54187352556918
"C1QTNF1","C1qtnf1",0.940423,2.014354,6.814451,11,59,43,3.25640933333333,16.25109,33.29809,9.24187,19.5970166666667,0.206651740017365
"C1QTNF2","C1qtnf2",0.480503,1.251561,0.899585,3,24,9,0.877216333333333,2.35235,1.38166,2.20669,1.98023333333333,0.629889046718937
"C1QTNF3","C1qtnf3",0.200194,0.179439,0.070492,3,9,2,0.150041666666667,21.56873,15.08777,11.55781,16.0714366666667,0.0673664255166183
"C1QTNF4","C1qtnf4",32.995386,21.61697,25.618611,218,443,305,26.7436556666667,159.97633,160.8809,87.04404,135.96709,0.202557093581142
"C1QTNF5","C1qtnf5",35.631638,96.205651,84.004408,53,289,140,71.9472323333333,12.85509,46.78313,39.85149,33.1632366666667,2.13525530514234
"C1QTNF6","C1qtnf6",0.782406,4.070813,1.217282,11,47,37,2.02350033333333,12.25872,13.2916,6.96964,10.8399866666667,0.255363491400328
"C1QTNF7","C1qtnf7",0.13477,0.388745,0.374956,1,17,8,0.299490333333333,0.59637,1.93433,0.19664,0.909113333333333,0.680677417439859
"C1QTNF9B","C1qtnf9",0.251895,0.132153,0.03899,3,6,1,0.141012666666667,2.25295,6.07932,1.66048,3.33091666666667,0.263457543630101
"C1R","C1ra",0.279935,0.305795,0.376144,6,23,16,0.320624666666667,35.76565,28.29647,35.08854,33.05022,0.038784614803272
"C1RL","C1rl",0.050319,0.105656,0.140145,1,8,6,0.0987066666666667,12.54034,7.07412,11.09899,10.2378166666667,0.0977686946901014
"C1orf87","Gm12695",0,0.089556,0.039495,0,4,1,0.043017,3.18064,6.41092,0.32773,3.30643,0.242199919655028
"C2","C2",3.262938,1.780576,2.695325,18,51,25,2.579613,4.90349,7.51625,7.55955,6.65976333333333,0.467326840820582
"C2CD2","C2cd2",20.658091,17.914276,14.622367,163,596,276,17.731578,21.86691,18.15506,22.72234,20.91477,0.854746730173303
"C2CD2L","C2cd2l",49.553054,57.491587,64.878364,322,1301,779,57.3076683333333,85.24782,67.70151,46.75558,66.5683033333333,0.862944094447441
"C2CD3","C2cd3",6.326733,9.008909,7.758663,175,837,502,7.69810166666667,27.66496,25.67131,24.14249,25.8262533333333,0.324238407748827
"C2CD4C","C2cd4c",1.061761,0.764753,0.739771,23,61,39,0.855428333333333,5.08571,5.83062,42.12372,17.6800166666667,0.0993269099510082
"C2CD4D","C2cd4d",1.153967,0.75453,1.042187,5,10,7,0.983561333333333,0.96082,0.5803,1.81342,1.11818,0.936446068480173
"C3","C3",0.673423,3.194298,3.38479,23,106,57,2.41750366666667,40.8348,18.26559,9.59145,22.89728,0.143008060610524
"C3AR1","C3ar1",0.30727,0.337273,0.209158,9,37,13,0.284567,6.36128,1.9067,3.4739,3.91396,0.261411773803613
"C4B","C4b",6.019394,8.015214,7.747969,129,614,302,7.260859,1.50749,0.85663,0.6336,0.99924,4.13199965987075
"C4orf33","D3Ertd751e",11.691831,11.846585,9.352298,129,479,281,10.9635713333333,8.92899,8.87028,5.74613,7.84846666666667,1.35205022339087
"C4orf48","Gm1673",20.100617,18.050744,17.846216,35,117,65,18.665859,68.38379,97.49018,109.37311,91.7490266666667,0.212033049906579
"C5AR1","C5ar1",0.656069,0.170854,0.116175,2,10,4,0.314366,2.15356,3.50943,5.26547,3.64282,0.283096480156457
"C5orf46","Gm94",0,0,0,0,0,0,0,0.26505,0.829,0,0.364683333333333,0.732770728251975
"C6orf163","Gm136",0,0,0,0,0,0,0,1.34183,0.22107,0.80839,0.79043,0.558525047055735
"C7orf57","Gm11992",0.692265,0.763409,0.751473,10,41,23,0.735715666666667,0.84486,2.26593,0.19664,1.10247666666667,0.825557635994375
"C8A","C8a",0.042384,0.067328,0.158567,1,6,8,0.0894263333333333,0,0.13817,0,0.0460566666666667,1.0414601503424
"C8B","C8b",0,0.018425,0.079597,0,1,1,0.032674,0,0.30397,0.37142,0.22513,0.842909732028438
"C8G","C8g",1.034607,1.376043,1.600941,5,25,15,1.337197,1.47436,3.17783,2.90584,2.51934333333333,0.664100310379872
"C9","C9",0,0,0,0,0,0,0,0.03313,0,0,0.0110433333333333,0.989077289796349
"CAAP1","Caap1",3.442362,2.397762,2.527461,43,107,65,2.789195,7.38837,11.16384,9.32927,9.29382666666667,0.368103633634139
"CAB39","Cab39",60.123725,65.784921,67.526338,1466,5400,3079,64.478328,31.83955,30.20317,31.13398,31.0589,2.04243838684422
"CAB39L","Cab39l",21.551834,22.232931,27.249026,325,1271,773,23.6779303333333,22.49641,26.52794,27.61638,25.54691,0.929597091839816
"CABLES1","Cables1",7.580429,7.366235,8.070013,126,486,293,7.67222566666667,368.6231,578.53016,355.51723,434.223496666667,0.0199259133137029
"CABLES2","Cables2",10.66787,13.621988,12.366296,198,979,502,12.218718,7.43806,3.53706,6.20495,5.72669,1.96511478899726
"CABP1","Cabp1",52.942547,71.958982,66.067382,323,1367,728,63.6563036666667,50.04541,36.42065,468.71381,185.059956666667,0.347502519214819
"CABP2","Cabp2",11.389421,11.102012,20.749741,11,25,17,14.4137246666667,0,0,0,0,15.4137246666667
"CABP4","Cabp4",0.112497,0.295711,0.438976,2,20,10,0.282394666666667,0.89456,0.80136,0.78654,0.827486666666667,0.701725867584989
"CABP5","Cabp5",0,0,0,0,0,0,0,0,0,0,0,1
"CABP7","Cabp7",35.239586,42.23917,39.334111,613,2791,1463,38.9376223333333,2.43518,1.9896,1.22351,1.88276333333333,13.8539372523354
"CABS1","Cabs1",0,0,0,0,0,0,0,0,0,0,0,1
"CABYR","Cabyr",3.3667,3.876779,4.328587,32,161,90,3.85735533333333,8.26635,4.67002,4.85035,5.92890666666667,0.701027675361962
"CACFD1","Cacfd1",13.373535,20.127968,21.036274,148,772,488,18.179259,16.61554,23.62645,23.2904,21.1774633333333,0.86480850905852
"CACHD1","Cachd1",10.955513,13.739001,15.448668,183,742,438,13.3810606666667,23.12591,16.3589,10.2032,16.56267,0.818842503256433
"CACNA1A","Cacna1a",55.314516,64.61162,75.743819,1387,5867,4110,65.2233183333333,117.65061,113.60038,168.3638,133.20493,0.49344922227025
"CACNA1B","Cacna1b",12.714096,29.794218,31.727108,314,1490,893,24.7451406666667,25.27947,15.41937,25.58448,22.09444,1.11477657248527
"CACNA1C","Cacna1c",4.11117,5.435247,5.959285,298,1465,977,5.16856733333333,7.57059,9.09135,9.30742,8.65645333333333,0.638802583143017
"CACNA1D","Cacna1d",16.354499,12.147091,14.068835,201,1049,671,14.1901416666667,7.35523,8.28998,12.89056,9.51192333333333,1.44503923639727
"CACNA1E","Cacna1e",14.702458,26.066621,24.571325,738,4034,2424,21.7801346666667,26.35625,17.32606,7.20997,16.9640933333333,1.2680926470359
"CACNA1F","Cacna1f",0.048091,0.059214,0.033341,2,5,3,0.046882,0.81173,1.7409,2.18484,1.57915666666667,0.405900895253875
"CACNA1H","Cacna1h",1.618925,3.287947,3.97113,59,334,168,2.959334,62.13847,52.50322,9.30742,41.31637,0.0935650671359571
"CACNA1S","Cacna1s",0.047411,0.440976,0.35441,2,18,15,0.280932333333333,0.54667,0.35923,0.24033,0.382076666666667,0.926817132672331
"CACNA2D1","Cacna2d1",11.898618,12.019686,12.653094,508,1863,1080,12.190466,13.15328,7.79258,11.6889,10.8782533333333,1.11047185388649
"CACNA2D2","Cacna2d2",21.944123,34.898372,36.809833,768,3039,1973,31.2174426666667,27.86375,16.13783,9.54775,17.8497766666667,1.70916840217205
"CACNA2D3","Cacna2d3",13.072852,16.007802,20.805816,309,1368,873,16.6288233333333,158.40258,88.84097,156.65306,134.632203333333,0.129975204266263
"CACNA2D4","Cacna2d4",0.350689,0.887608,1.845855,14,51,44,1.02805066666667,2.31922,3.17783,1.3983,2.29845,0.614849601075253
"CACNB1","Cacnb1",9.345248,10.282184,7.629645,160,715,343,9.08569233333333,62.81767,55.87447,76.75344,65.1485266666667,0.152470400197374
"CACNB2","Cacnb2",12.931096,21.723581,23.373244,254,1009,596,19.3426403333333,40.22186,24.98048,46.51525,37.2391966666667,0.53198398780867
"CACNB3","Cacnb3",14.545947,22.442087,24.02045,169,906,544,20.3361613333333,83.97225,79.47329,183.11147,115.519003333333,0.18311314655083
"CACNB4","Cacnb4",109.012697,90.315469,101.23828,2154,7731,4980,100.188815333333,18.90163,10.27958,9.06709,12.7494333333333,7.35948986988555
"CACNG1","Cacng1",0,0,0.064248,0,0,1,0.021416,2.45174,1.9067,0.89578,1.75140666666667,0.371234108128933
"CACNG2","Cacng2",25.175384,21.276703,23.950955,933,2889,1850,23.4676806666667,5.93057,6.05169,16.21152,9.39792666666667,2.35313072029103
"CACNG3","Cacng3",4.960212,6.968285,5.948405,59,270,149,5.95896733333333,53.70646,44.65537,82.63066,60.33083,0.113466055054747
"CACNG4","Cacng4",12.737707,17.265025,16.045769,236,833,526,15.3495003333333,90.83051,87.708,24.66685,67.73512,0.237862396011432
"CACNG5","Cacng5",10.556544,9.901994,11.804084,262,936,631,10.7542073333333,0.6792,0.60793,0.37142,0.55285,7.56944156443529
"CACNG6","Cacng6",0,0,0,0,0,0,0,0.21536,0.85663,3.05878,1.37692333333333,0.42071192872579
"CACNG7","Cacng7",78.790079,84.964916,93.801107,952,3736,2342,85.852034,49.6147,60.65503,129.67028,79.9800033333333,1.07251210700123
"CACNG8","Cacng8",7.923635,8.608262,7.30266,52,227,108,7.94485233333333,28.67547,17.63003,56.65291,34.31947,0.253255565084452
"CACTIN","Cactin",8.460898,10.955277,13.971574,108,448,292,11.1292496666667,29.20558,26.50031,30.65331,28.7864,0.407207640623461
