"Hs_symbol","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","FoldChange"
"ABCC10","Abcc10",1.510449,2.511756,2.606775,37,240,138,2.20966,43.66756,37.52598,47.14886,42.7808,0.0733120454628513
"ABCC12","Abcc12",1.138639,1.50393,1.752502,20,105,71,1.46502366666667,0.19879,0.11053,5.26547,1.85826333333333,0.862420070928851
"ABCC2","Abcc2",0.035961,0.118254,0.016838,2,5,2,0.0570176666666667,0.76203,0.4974,0.26218,0.507203333333333,0.70131059511988
"ABCC3","Abcc3",0.723344,0.342288,0.608015,4,17,10,0.557882333333333,0.34788,1.1606,1.76972,1.09273333333333,0.744424675862508
"ABCC5","Abcc5",84.855585,97.027185,94.560298,703,3269,1802,92.1476893333333,56.07537,36.86278,41.27163,44.7365933333333,2.03661187999864
"ABCC6","Abcc6",4.55294,0.592951,0.217231,22,47,16,1.78770733333333,1.49093,1.93433,0.74285,1.38937,1.16671228538625
"ABCC9","Abcc9",2.793501,2.280107,2.219166,120,438,241,2.43092466666667,4.50591,6.68725,4.85035,5.34783666666667,0.540487231608039
"ABCD1","Abcd1",2.605473,3.036115,3.167152,60,263,160,2.93624666666667,5.74835,9.11898,4.91589,6.59440666666667,0.51830864996256
"ABCD2","Abcd2",23.27771,33.025179,31.912742,417,1487,943,29.4052103333333,2.31922,2.81859,2.81844,2.65208333333333,8.32544264689104
"ABCD3","Abcd3",25.762613,25.372644,25.767711,537,2125,1219,25.6343226666667,15.57189,20.36572,16.73588,17.55783,1.43520673843152
"ABCD4","Abcd4",4.797787,5.916789,4.686713,66,317,152,5.133763,152.14069,105.3933,111.73274,123.08891,0.0494303882595149
"ABCE1","Abce1",21.471621,21.878849,23.233798,536,2036,1236,22.194756,13.71652,12.73894,10.83681,12.4307566666667,1.72698803021026
"ABCF1","Abcf1",62.771934,40.780579,54.400409,408,1580,966,52.650974,49.05146,56.31661,38.89016,48.0860766666667,1.0929978039258
"ABCF2","Abcf2",35.004874,31.624163,32.51526,585,2023,1175,33.048099,28.19506,21.08419,28.0315,25.77025,1.2718633184225
"ABCF3","Abcf3",165.753745,270.992357,262.995844,349,1659,960,233.247315333333,78.67118,63.80522,52.65465,65.0436833333333,3.54685419574569
"ABCG1","Abcg1",29.852875,28.362905,37.823919,513,2100,1285,32.013233,18.12303,12.51787,7.14443,12.59511,2.42831672564621
"ABCG2","Abcg2",17.188758,17.152966,20.431548,142,476,266,18.2577573333333,17.85798,27.32931,8.2587,17.81533,1.02351419471959
"ABCG5","Abcg5",0,0.0174,0.094988,0,1,2,0.0374626666666667,0.28162,0.1658,0.28403,0.243816666666667,0.834096128850715
"ABCG8","Abcg8",0,0.017747,0,0,1,0,0.00591566666666667,0.29819,0,0.15294,0.150376666666667,0.874422870190343
"ABHD1","Abhd1",0.959765,1.019278,1.583523,7,31,26,1.187522,10.0886,9.45058,8.8923,9.47716,0.208789595653784
"ABHD10","Abhd10",15.744209,13.053989,13.082247,155,575,337,13.9601483333333,22.52954,22.41058,17.95939,20.9665033333333,0.681043683025868
