"Hs_symbol","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","FoldChange"
"ABCA8",41.403634,26.861255,35.063602,34.4428303333333,1731,991,983,"Abca8b",1.19705,1.355302,1.389084,299,302,226,1.313812,15.3179386801232
"ABCA9",1.381284,1.137468,5.074584,2.531112,58,43,31,"Abca9",1.730124,1.818871,1.712961,360,349,256,1.75398533333333,1.2821825727467
"ABCB1",0.30007,0.314046,0.298593,0.304236333333333,3,1,5,"Abcb1b",1.448958,1.10462,1.336334,101,103,68,1.29663733333333,0.567889546339634
"ABCB1",0.30007,0.314046,0.298593,0.304236333333333,3,1,5,"Abcb1a",22.341597,11.92902,15.633074,306,260,232,16.6345636666667,0.0739590929487321
"ABCB10",4.896031,7.84716,8.051324,6.931505,306,313,320,"Abcb10",3.70404,4.009373,4.926604,497,533,463,4.213339,1.5213867734287
"ABCB11",1.175122,1.322998,0.805546,1.101222,11,4,8,"Abcb11",0,0,0,0,0,0,0,2.101222
"ABCB4",2.033786,0.852535,0.451585,1.11263533333333,44,12,10,"Abcb4",2.855218,3.428858,3.224924,367,397,282,3.16966666666667,0.506667679270925
"ABCB5",0.028091,0.34729,0.350931,0.242104,3,10,12,"Abcb5",0,0,0,0,0,0,0,1.242104
"ABCB6",54.080406,38.532465,32.137188,41.583353,870,459,384,"Abcb6",4.179214,5.497167,4.20283,223,255,203,4.62640366666667,7.56848522125827
"ABCB7",11.18593,7.852267,6.075745,8.371314,297,164,171,"Abcb7",3.502681,3.231758,4.404847,659,544,597,3.71309533333333,1.98835655492081
"ABCB8",18.529731,23.651367,21.054635,21.0785776666667,617,605,535,"Abcb8",15.227893,15.429945,18.285769,744,727,657,16.3145356666667,1.27514696851915
"ABCB9",15.865448,14.222772,16.455124,15.514448,442,382,371,"Abcb9",1.277403,0.974135,1.355097,117,101,104,1.20221166666667,7.49902847667534
"ABCC1",5.953924,4.982028,4.693158,5.20970333333333,660,375,308,"Abcc1",2.436638,4.138721,7.941157,446,428,346,4.83883866666667,1.06351685460739
"ABCC10",35.009112,58.850277,42.406563,45.421984,641,664,643,"Abcc10",0.487548,0.662952,0.381423,47,52,34,0.510641,30.7299907787489
"ABCC12",0,0.024085,0,0.00802833333333333,0,1,0,"Abcc12",0,0,0,0,0,0,0,1.00802833333333
"ABCC2",0.146712,0.308158,0.143396,0.199422,16,10,4,"Abcc2",0.003846,0.018808,0,1,1,0,0.00755133333333333,1.19043264627708
"ABCC3",0.822929,0,0.384356,0.402428333333333,11,0,3,"Abcc3",0.252275,0.270166,0.237298,18,12,7,0.253246333333333,1.11903645439218
"ABCC4",3.767094,1.945293,3.623133,3.11184,163,129,110,"Abcc4",1.07834,1.027357,0.899832,184,175,110,1.001843,2.05402721392237
"ABCC5",24.407761,29.952643,29.4664,27.942268,1378,1518,1344,"Abcc5",10.385666,13.130438,7.183393,582,426,255,10.2331656666667,2.57650148309335
"ABCC6",0.709936,0.292227,1.18336,0.728507666666667,40,15,21,"Abcc6",0,0,0,0,0,0,0,1.72850766666667
"ABCC8",14.908165,22.713792,23.804669,20.475542,270,363,349,"Abcc8",5.196664,5.907268,4.973336,286,348,267,5.35908933333333,3.3771411084648
"ABCC9",1.933667,0.299867,0.41351,0.882348,229,35,44,"Abcc9",19.684747,22.99213,23.672163,4837,5123,4198,22.1163466666667,0.0814293031309446
"ABCD1",7.188261,4.56707,5.591021,5.78211733333333,256,128,147,"Abcd1",2.313105,2.752033,3.025499,286,317,273,2.696879,1.83455215421801
"ABCD2",0.823714,0.905926,0.985813,0.905151,90,77,76,"Abcd2",0.907229,0.389841,2.345446,72,65,60,1.214172,0.860434961692226
"ABCD3",22.412866,15.820691,18.169306,18.8009543333333,1142,727,822,"Abcd3",13.628574,15.300532,16.369644,1441,1359,1208,15.0995833333333,1.22990476979218
"ABCD4",63.780985,46.864754,55.905635,55.5171246666667,1013,556,577,"Abcd4",0.85394,1.106506,1.124445,67,57,53,1.028297,27.8643239459836
"ABCE1",47.892143,47.474433,56.270122,50.545566,1284,1130,1197,"Abce1",6.423351,6.420801,6.784214,778,717,590,6.54278866666667,6.83375450087735
"ABCF1",48.558347,63.90383,48.560484,53.6742203333333,990,770,800,"Abcf1",14.572771,13.528038,17.357068,822,833,714,15.1526256666667,3.38485033093794
"ABCF2",15.544121,48.430262,33.217097,32.39716,485,502,554,"Abcf2",7.208005,7.781313,7.405033,605,609,448,7.46478366666667,3.94542392518714
"ABCF3",38.478334,54.941591,52.139742,48.519889,684,676,609,"Abcf3",56.843927,45.142544,60.394936,472,407,364,54.1271356666667,0.898285180268178
"ABCG1",9.640229,12.006134,8.714856,10.1204063333333,505,488,311,"Abcg1",0.251662,0.952119,0.477321,40,67,36,0.560367333333333,7.1267874530399
"ABCG2",0.524925,0.589011,0.449804,0.521246666666667,43,28,26,"Abcg3",0.080428,0.035451,0.075727,7,3,5,0.0638686666666667,1.4299196078714
"ABCG4",9.828186,11.963485,13.918554,11.9034083333333,504,512,438,"Abcg4",0.127302,0.011319,0.156331,3,1,1,0.0983173333333333,11.7483426162202
"ABCG5",0.143393,0,0.032884,0.058759,8,0,1,"Abcg5",0,0,0,0,0,0,0,1.058759
"ABCG8",0.175022,0.165036,0.187492,0.17585,13,11,10,"Abcg8",0,0,0,0,0,0,0,1.17585
"ABHD1",0.980869,0.239741,0.305691,0.508767,35,9,12,"Abhd1",0.884254,0.707662,0.256382,35,26,7,0.616099333333333,0.933585559303492
"ABHD10",21.945498,27.924148,27.804594,25.8914133333333,652,596,653,"Abhd10",2.955729,5.14223,4.358272,111,153,102,4.152077,5.21952861599959
"ABHD11",9.519305,7.909704,9.968295,9.13243466666667,144,94,107,"Abhd11",8.843995,9.876887,10.511257,261,260,220,9.74404633333333,0.943074364378982
"ABHD12",61.002748,58.3518,58.606077,59.3202083333333,751,570,568,"Abhd12",14.072634,12.994731,16.910777,328,371,288,14.6593806666667,3.85201749783974
"ABHD12B",1.215684,4.568525,10.647778,5.477329,18,72,72,"Abhd12b",0,0,0,0,0,0,0,6.477329
"ABHD13",3.390322,2.495253,3.321503,3.069026,307,176,213,"Abhd13",1.612849,1.579601,1.789031,270,250,213,1.66049366666667,1.52942517810918
"ABHD14A",15.051411,20.447943,23.789903,19.7630856666667,233,218,216,"Abhd14a",2.996884,2.658814,3.062354,93,81,73,2.90601733333333,5.31566654594125
"ABHD14B",7.978791,5.158438,4.171231,5.76948666666667,200,107,84,"Abhd14b",2.264105,1.928432,2.675018,78,66,63,2.289185,2.05810456592337
"ABHD15",1.666242,0.980568,1.679204,1.44200466666667,104,46,69,"Abhd15",0.151803,0.17299,0.243191,13,15,13,0.189328,2.05326425230606
"ABHD16A",38.772235,39.606803,45.286219,41.2217523333333,679,661,613,"Abhd16a",14.283377,10.868275,15.117416,382,329,324,13.4230226666667,2.92738584061945
"ABHD16B",0,0,0,0,0,0,0,"Abhd16b",0.017708,0,0.024841,1,0,1,0.014183,0.986015344370789
"ABHD17A",19.891946,16.379027,21.502911,19.2579613333333,759,552,573,"Abhd17a",5.672737,6.770556,6.724789,179,222,144,6.38936066666667,2.7415039334481
"ABHD17B",8.626714,9.022235,10.593376,9.41410833333333,391,316,341,"Abhd17b",1.521296,1.357875,1.700168,97,77,81,1.52644633333333,4.12203821467809
"ABHD17C",13.219325,17.660275,23.594158,18.1579193333333,422,387,432,"Abhd17c",4.881013,3.750363,3.185882,225,242,149,3.939086,3.87883898626858
"ABHD18",5.486353,3.54464,4.951791,4.660928,236,155,188,"Abhd18",9.310011,9.508344,9.476552,916,811,624,9.43163566666667,0.542669259250395
"ABHD2",36.149134,28.486848,25.146828,29.9276033333333,3943,2908,2699,"Abhd2",1.304402,1.438202,1.694681,300,309,284,1.479095,12.4753602961296
"ABHD3",9.642693,6.919606,4.384585,6.98229466666667,104,59,62,"Abhd3",0.888587,0.607436,0.76617,29,24,18,0.754064333333333,4.55074224757625
"ABHD4",39.666519,10.931269,10.1797,20.2591626666667,306,154,175,"Abhd4",7.115654,8.510248,7.961919,372,402,389,7.862607,2.39874820881335
"ABHD5",7.984091,8.165592,14.175874,10.108519,242,266,255,"Abhd5",15.998376,19.309326,20.137932,581,531,496,18.481878,0.570197544610432
"ABHD6",8.283415,13.65003,12.504431,11.479292,185,149,202,"Abhd6",1.14656,1.497619,1.057626,62,71,46,1.233935,5.58623773744536
"ABHD8",6.351783,4.187949,6.20397,5.581234,187,106,136,"Abhd8",1.768592,1.567081,2.48411,113,106,108,1.93992766666667,2.238570041916
"ABI1",15.274284,15.178726,16.016221,15.4897436666667,630,503,508,"Abi1",6.582961,5.608406,7.829215,235,207,167,6.67352733333333,2.14891313347334
"ABI2",55.693149,35.541915,32.008028,41.0810306666667,3195,2224,2142,"Abi2",3.10948,2.06312,2.241759,181,174,166,2.471453,12.1220222963314
"ABI3",0.080843,0.106816,0.123214,0.103624333333333,1,1,1,"Abi3",1.239273,1.75973,1.679233,55,64,50,1.559412,0.431202296985922
"ABI3BP",15.784185,1.403237,1.486131,6.22451766666667,97,18,19,"Abi3bp",0.63739,0.657506,0.804077,96,93,82,0.699657666666667,4.25057222307316
"ABITRAM",15.771021,15.579426,12.779188,14.7098783333333,218,171,188,"Abitram",0.446832,0.177343,0.347871,40,22,34,0.324015333333333,11.8653296059512
"ABL1",25.90656,19.930765,26.375471,24.070932,2130,1113,1157,"Abl1",4.576983,4.469049,5.447473,515,535,499,4.83116833333333,4.29946977463922
"ABL2",6.897981,5.749299,4.319143,5.65547433333333,1188,807,647,"Abl2",1.102341,1.060429,1.307922,344,316,270,1.15689733333333,3.08567043524866
"ABLIM1",40.278722,80.432426,57.957359,59.556169,4547,5302,4617,"Ablim1",34.740714,33.153558,32.594338,6250,5160,4006,33.4962033333333,1.7554444590569
"ABLIM2",8.029056,12.377298,11.75464,10.7203313333333,245,279,223,"Ablim2",3.791717,5.042325,4.622022,160,167,153,4.48535466666667,2.13665880249372
"ABLIM3",55.789335,56.612711,66.861423,59.7544896666667,2333,2247,2011,"Ablim3",4.102483,4.042407,4.089614,594,546,424,4.078168,11.9638597357682
"ABO",0.183863,0.173732,0.075984,0.144526333333333,22,16,6,"Abo",0,0,0,0,0,0,0,1.14452633333333
"ABR",197.043613,257.031715,274.908047,242.994458333333,1875,1447,1461,"Abr",2.378324,2.984923,3.713034,327,330,296,3.025427,60.613310919148
"ABRA",0.063103,0.063272,0,0.042125,3,2,0,"Abra",4.116302,4.098666,3.441195,388,344,235,3.88538766666667,0.213314699079152
"ABRACL",11.912176,11.774747,14.945013,12.877312,113,90,104,"Abracl",31.510388,28.625277,45.292012,127,91,115,35.142559,0.383960416305885
"ABRAXAS1",7.491499,5.007126,3.562498,5.35370766666667,275,121,99,"Abraxas1",2.62357,2.493772,2.986119,96,98,87,2.70115366666667,1.71668302342846
"ABRAXAS2",7.8423,8.782454,8.707067,8.44394033333333,412,353,319,"Abraxas2",4.709873,4.263116,4.741499,222,212,183,4.571496,1.69504569927598
"ABT1",4.02236,4.495368,5.868998,4.79557533333333,215,183,215,"Abt1",0.499136,0.4238,0.530647,73,58,56,0.484527666666667,3.90398607143956
"ABTB1",8.227788,5.243431,7.957303,7.14284066666667,219,121,132,"Abtb1",5.82147,7.44892,5.830129,156,143,134,6.36683966666667,1.10533702851051
"ABTB2",3.451672,3.840048,4.832426,4.041382,318,267,292,"Abtb2",1.685686,1.76883,2.249357,255,274,221,1.901291,1.73763403946726
"ACAA1",37.51069,45.687812,49.761725,44.3200756666667,672,620,569,"Acaa1a",12.394399,14.285179,15.320303,538,517,430,13.9999603333333,3.02134636756039
"ACAA1",37.51069,45.687812,49.761725,44.3200756666667,672,620,569,"Acaa1b",0.028191,0.028929,0,1,1,0,0.01904,44.4733039592819
"ACAA2",24.508458,12.44024,15.340642,17.42978,617,249,284,"Acaa2",248.985981,224.128048,293.242253,7301,6225,5954,255.452094,0.0718644161275595
"ACACA",52.07295,52.263549,60.592741,54.9764133333333,2805,2326,1935,"Acaca",1.200972,0.900763,0.781195,175,153,147,0.960976666666667,28.5451705187721
"ACACB",5.82404,4.214339,4.586609,4.874996,290,101,72,"Acacb",15.474208,14.95871,16.499206,4311,3965,3460,15.6440413333333,0.352978935965151
"ACAD10",24.09517,13.699953,18.003391,18.5995046666667,465,241,262,"Acad12",17.801517,18.65883,21.112006,1100,1042,881,19.1907843333333,0.97071536910577
"ACAD10",24.09517,13.699953,18.003391,18.5995046666667,465,241,262,"Acad10",0.598761,1.056781,1.076999,53,41,50,0.910847,10.2569722571544
"ACAD11",21.296656,12.759557,10.656436,14.9042163333333,568,268,245,"Acad11",20.220395,25.148927,24.795126,1888,1884,1652,23.3881493333333,0.652128872755248
"ACAD8",29.394922,40.292933,40.865493,36.851116,722,686,705,"Acad8",12.259437,10.062579,9.130213,439,390,308,10.4840763333333,3.29596520445745
"ACAD9",20.618117,20.88167,21.133159,20.8776486666667,574,471,475,"Acad9",14.866479,14.620374,16.037408,450,448,379,15.1747536666667,1.35258002177509
"ACADL",0.63777,0.16945,0.095375,0.300865,23,5,4,"Acadl",202.319337,208.242625,216.801061,9518,8357,7420,209.121007666667,0.00619102780081693
"ACADM",31.38729,31.831206,37.816546,33.6783473333333,662,516,582,"Acadm",734.222656,649.816797,808.160715,11829,9984,9558,730.733389333333,0.0473920526777219
"ACADS",3.919399,3.709052,4.464577,4.03100933333333,114,83,88,"Acads",43.777134,43.427381,54.486167,1956,1744,1558,47.2302273333333,0.104312370301772
"ACADSB",7.753468,4.374615,3.829584,5.31922233333333,527,304,282,"Acadsb",128.314701,142.932978,153.196559,1614,1467,1364,141.481412666667,0.0443512049400933
"ACADVL",417.243124,362.292121,441.590667,407.041970666667,2854,1977,2042,"Acadvl",139.431027,132.111617,154.831617,9440,8497,7659,142.124753666667,2.85095317346002
"ACAN",0.61022,0.60714,1.230414,0.815924666666667,58,65,66,"Acan",0.015363,0.024935,0.010729,4,3,2,0.017009,1.78555417569232
"ACAP1",11.702953,8.178989,5.156753,8.34623166666667,76,54,37,"Acap1",0.252565,0.107747,0.114382,16,5,7,0.158231333333333,8.06939978023964
"ACAP2",18.902318,8.651381,7.061189,11.538296,805,452,432,"Acap2",2.510354,3.088726,3.307991,345,341,264,2.96902366666667,3.159037852382
"ACAP3",213.831943,213.096372,204.054479,210.327598,2582,2252,2362,"Acap3",1.933753,2.709172,2.375971,133,146,103,2.339632,63.2787079534512
"ACAT1",113.018886,107.505607,145.26679,121.930427666667,828,668,739,"Acat1",93.491079,94.716414,110.493341,5260,5078,4190,99.5669446666667,1.22237409194567
"ACAT2",94.414141,82.903806,86.300184,87.8727103333333,2278,1511,1430,"Acat2",0.66719,0.447738,1.304108,34,26,33,0.806345333333333,49.2002878371725
"ACAT2",94.414141,82.903806,86.300184,87.8727103333333,2278,1511,1430,"Acat3",0.106014,0.029888,0,4,2,0,0.0453006666666667,85.0211935832178
"ACBD3",43.967242,69.083492,58.658097,57.236277,939,748,717,"Acbd3",2.402008,2.812018,2.585089,261,286,201,2.599705,16.1780693140132
"ACBD4",5.340975,3.641431,4.100437,4.36094766666667,153,68,74,"Acbd4",7.598094,6.460876,8.388294,99,80,69,7.48242133333333,0.632006765049476
"ACBD5",15.374346,21.627524,21.759596,19.5871553333333,885,847,801,"Acbd5",2.76439,3.148991,3.874531,318,223,239,3.26263733333333,4.82967555610329
"ACBD6",30.045769,28.430908,40.527744,33.0014736666667,567,434,470,"Acbd6",7.456026,9.740249,9.378408,138,215,119,8.85822766666667,3.44904528647019
"ACBD7",1.327791,0.639002,1.059258,1.00868366666667,81,30,45,"Acbd7",0.204416,0.219119,0.143098,2,2,1,0.188877666666667,1.68956295755689
"ACCS",14.477036,14.943544,19.448083,16.2895543333333,190,194,188,"Accs",0.560678,1.577455,1.883585,37,56,40,1.34057266666667,7.38689064414151
"ACCSL",0,0,0,0,0,0,0,"Accsl",0,0,0,0,0,0,0,1
"ACD",13.137008,9.048602,13.611827,11.932479,198,130,153,"Acd",1.489058,1.256628,1.749415,61,49,54,1.498367,5.17637280671735
"ACE",6.841322,8.479831,10.149919,8.49035733333333,209,183,161,"Ace",5.44445,6.520775,5.744452,634,788,585,5.90322566666667,1.37477141724615
"ACE2",0,0.095415,0.225191,0.106868666666667,0,0,1,"Ace2",0.168836,0.249512,0.378854,15,17,20,0.265734,0.874487583225754
"ACER1",0,0,0,0,0,0,0,"Acer1",0.013295,0,0,1,0,0,0.00443166666666667,0.995587886350324
"ACER2",2.060095,1.631226,2.154176,1.948499,103,62,73,"Acer2",2.221571,2.142382,1.847638,289,254,156,2.07053033333333,0.960257245463894
"ACER3",7.649808,4.8069,3.760922,5.40587666666667,518,375,350,"Acer3",0.926464,1.225774,1.221333,111,103,103,1.12452366666667,3.01520607521278
"ACHE",52.081818,67.700639,62.028934,60.603797,1662,1679,1380,"Ache",0.171761,0.250681,0.356746,15,19,19,0.259729333333333,48.9024073425297
"ACIN1",122.816081,100.430979,109.79734,111.0148,3076,1982,1940,"Acin1",11.374627,9.188783,8.456991,624,549,377,9.673467,10.4946968028289
"ACKR1",2.616941,4.886551,6.520383,4.674625,86,122,141,"Ackr1",0.082963,0.172283,0.044259,3,5,1,0.099835,5.15952392858929
"ACKR2",0.123068,0.277159,0.172717,0.190981333333333,7,9,4,"Ackr2",1.140292,0.306534,0.79591,18,14,17,0.747578666666667,0.681503703409823
"ACKR3",2.012493,0.697493,1.28327,1.33108533333333,52,13,22,"Ackr3",7.941244,7.112321,8.687354,750,644,565,7.91363966666667,0.261518910400948
"ACKR4",0.105038,0.101865,0.037545,0.0814826666666667,4,3,1,"Ackr4",0.754575,1.177246,1.223792,37,56,45,1.051871,0.527071471192227
"ACLY",200.668971,184.300449,184.729433,189.899617666667,7551,5465,5135,"Acly",5.502024,5.385161,3.778894,400,366,307,4.888693,32.4179945646117
"ACMSD",0.185122,0.039662,0.088863,0.104549,6,1,2,"Acmsd",0,0.051825,0.043596,0,3,2,0.031807,1.07049961863023
"ACO1",9.64322,6.563351,6.68116,7.62924366666667,860,462,416,"Aco1",3.025734,3.427605,3.641342,344,340,322,3.36489366666667,1.97696538006539
"ACO2",71.653142,76.994982,73.567485,74.0718696666667,2492,1993,1982,"Aco2",417.561995,438.868693,454.781168,22690,21156,18663,437.070618666667,0.171369332860439
"ACOD1",0,0,0,0,0,0,0,"Acod1",0,0.025515,0,0,2,0,0.008505,0.991566725003842
"ACOT1",4.205801,4.758707,5.368048,4.77751866666667,99,81,76,"Acot3",0.184964,0.130714,0.304544,11,9,16,0.206740666666667,4.78770528437206
"ACOT1",4.205801,4.758707,5.368048,4.77751866666667,99,81,76,"Acot2",7.7519,7.104215,8.971836,492,470,388,7.94265033333333,0.646063353850617
"ACOT1",4.205801,4.758707,5.368048,4.77751866666667,99,81,76,"Acot1",8.562106,6.189232,7.189175,155,116,95,7.31350433333333,0.694955873602119
"ACOT1",4.205801,4.758707,5.368048,4.77751866666667,99,81,76,"Acot5",0,0,0,0,0,0,0,5.77751866666667
"ACOT11",1.265227,0.289037,0.841305,0.798523,109,23,34,"Acot11",3.849478,4.688608,4.957258,323,275,216,4.498448,0.327096482498334
"ACOT12",0.237945,0.109798,0.174106,0.173949666666667,8,3,2,"Acot12",0,0,0,0,0,0,0,1.17394966666667
"ACOT13",11.326065,11.195552,12.209772,11.5771296666667,355,281,284,"Acot13",395.632453,377.75228,442.9371,1311,1270,1043,405.440611,0.0309445693325824
"ACOT2",24.173517,18.076715,19.437196,20.562476,254,164,153,"Acot1",8.562106,6.189232,7.189175,155,116,95,7.31350433333333,2.59366870280495
"ACOT2",24.173517,18.076715,19.437196,20.562476,254,164,153,"Acot5",0,0,0,0,0,0,0,21.562476
"ACOT2",24.173517,18.076715,19.437196,20.562476,254,164,153,"Acot3",0.184964,0.130714,0.304544,11,9,16,0.206740666666667,17.8683594541992
"ACOT2",24.173517,18.076715,19.437196,20.562476,254,164,153,"Acot2",7.7519,7.104215,8.971836,492,470,388,7.94265033333333,2.41119524931293
"ACOT4",0.591094,0.748843,1.193545,0.844494,24,23,33,"Acot4",0.165596,0.144667,0.185633,33,17,26,0.165298666666667,1.58285086284031
"ACOT6",0.245134,0.088672,0.12044,0.151415333333333,3,1,1,"Acot6",0.552336,0.322506,0.388205,56,33,27,0.421015666666667,0.810276311755418
"ACOT7",80.632403,114.029529,128.44021,107.700714,1778,1946,1942,"Acot7",12.066454,10.657095,11.339034,443,375,355,11.3541943333333,8.79868901743842
"ACOT8",20.763417,18.37889,19.993785,19.7120306666667,370,284,270,"Acot8",1.641596,1.505389,1.975407,52,44,36,1.707464,7.64997453951989
