"Hs_symbol","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","FoldChange"
"ABCA7",22.668326,32.522392,34.714621,29.9684463333333,715,882,818,"Abca7",28.284582,28.185107,28.557071,8307,2009,3301,28.3422533333333,1.05542154453941
"ABCA8",41.403634,26.861255,35.063602,34.4428303333333,1731,991,983,"Abca8b",12.161258,12.465005,14.473483,3737,944,1732,13.0332486666667,2.52563260120382
"ABCA9",1.381284,1.137468,5.074584,2.531112,58,43,31,"Abca9",2.510507,2.960071,2.962372,676,194,314,2.81098333333333,0.92656191096786
"ABCB1",0.30007,0.314046,0.298593,0.304236333333333,3,1,5,"Abcb1b",1.29574,1.66082,2.204825,117,36,57,1.72046166666667,0.479417280277796
"ABCB1",0.30007,0.314046,0.298593,0.304236333333333,3,1,5,"Abcb1a",40.156561,54.850987,5.961506,1174,289,483,33.6563513333333,0.0376334000307438
"ABCB10",4.896031,7.84716,8.051324,6.931505,306,313,320,"Abcb10",5.679646,5.373036,5.311046,963,220,368,5.454576,1.22881890305421
"ABCB11",1.175122,1.322998,0.805546,1.101222,11,4,8,"Abcb11",0,0,0.012404,0,0,1,0.00413466666666667,2.09256992090038
"ABCB4",2.033786,0.852535,0.451585,1.11263533333333,44,12,10,"Abcb4",2.85706,2.376162,2.887682,430,81,174,2.706968,0.569909244788014
"ABCB5",0.028091,0.34729,0.350931,0.242104,3,10,12,"Abcb5",0,0,0,0,0,0,0,1.242104
"ABCB6",54.080406,38.532465,32.137188,41.583353,870,459,384,"Abcb6",11.693171,5.646987,10.839573,709,152,266,9.39324366666667,4.09721491824288
"ABCB7",11.18593,7.852267,6.075745,8.371314,297,164,171,"Abcb7",7.456802,7.129243,7.31946,1722,415,663,7.301835,1.12882441050683
"ABCB8",18.529731,23.651367,21.054635,21.0785776666667,617,605,535,"Abcb8",25.498487,22.60307,29.797684,1350,316,528,25.9664136666667,0.818743565220841
"ABCB9",15.865448,14.222772,16.455124,15.514448,442,382,371,"Abcb9",15.429411,12.471241,16.112352,1637,348,695,14.6710013333333,1.05382212972394
"ABCC1",5.953924,4.982028,4.693158,5.20970333333333,660,375,308,"Abcc1",8.351031,6.08049,11.592946,994,209,349,8.67482233333333,0.641841588339934
"ABCC10",35.009112,58.850277,42.406563,45.421984,641,664,643,"Abcc10",2.622562,2.513981,2.584121,288,85,131,2.57355466666667,12.9904222350407
"ABCC12",0,0.024085,0,0.00802833333333333,0,1,0,"Abcc12",0.581075,0.452147,0.584976,67,15,32,0.539399333333333,0.654819260672669
"ABCC2",0.146712,0.308158,0.143396,0.199422,16,10,4,"Abcc2",0.140255,0.055143,0.014914,11,3,2,0.070104,1.12084619812654
"ABCC3",0.822929,0,0.384356,0.402428333333333,11,0,3,"Abcc3",0.786365,0.247674,1.21136,64,13,30,0.748466333333333,0.802090555932923
"ABCC4",3.767094,1.945293,3.623133,3.11184,163,129,110,"Abcc4",7.38802,4.529168,6.372067,1235,251,481,6.09641833333333,0.579424691000225
"ABCC5",24.407761,29.952643,29.4664,27.942268,1378,1518,1344,"Abcc5",198.841532,203.71343,188.884774,9456,2400,3630,197.146578666667,0.146064939373434
"ABCC6",0.709936,0.292227,1.18336,0.728507666666667,40,15,21,"Abcc6",0.085526,0.0381,0.217017,4,2,4,0.113547666666667,1.5522529644742
"ABCC8",14.908165,22.713792,23.804669,20.475542,270,363,349,"Abcc8",7.000264,4.430874,5.406411,502,87,201,5.61251633333333,3.24771099494197
"ABCC9",1.933667,0.299867,0.41351,0.882348,229,35,44,"Abcc9",0.457331,0.586749,0.748134,144,44,89,0.597404666666667,1.17837892882079
"ABCD1",7.188261,4.56707,5.591021,5.78211733333333,256,128,147,"Abcd1",3.015163,2.892315,3.204815,439,97,175,3.037431,1.67981009045934
"ABCD2",0.823714,0.905926,0.985813,0.905151,90,77,76,"Abcd2",12.532056,12.875819,24.69632,1069,277,522,16.7013983333333,0.107627146970216
"ABCD3",22.412866,15.820691,18.169306,18.8009543333333,1142,727,822,"Abcd3",23.050902,26.579739,25.839073,2983,814,1204,25.1565713333333,0.757016433117113
"ABCD4",63.780985,46.864754,55.905635,55.5171246666667,1013,556,577,"Abcd4",7.701302,7.200632,7.596608,671,162,279,7.499514,6.64945368248898
"ABCE1",47.892143,47.474433,56.270122,50.545566,1284,1130,1197,"Abce1",34.359215,33.442045,35.396792,5248,1252,2130,34.3993506666667,1.45611614420197
"ABCF1",48.558347,63.90383,48.560484,53.6742203333333,990,770,800,"Abcf1",48.874882,43.044373,42.180863,2775,693,1070,44.7000393333333,1.19637140647829
"ABCF2",15.544121,48.430262,33.217097,32.39716,485,502,554,"Abcf2",34.216991,31.769168,33.397482,3604,812,1372,33.1278803333333,0.978588757162875
"ABCF3",38.478334,54.941591,52.139742,48.519889,684,676,609,"Abcf3",239.440985,240.481862,262.081136,2543,620,992,247.334661,0.199407882897184
"ABCG1",9.640229,12.006134,8.714856,10.1204063333333,505,488,311,"Abcg1",18.773829,17.063098,18.789429,2286,536,842,18.2087853333333,0.578922932416549
