"Hs_symbol","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","FoldChange"
"ABCA7",22.668326,32.522392,34.714621,29.9684463333333,715,882,818,"Abca7",6.006372,6.820605,6.873234,281,1214,685,6.566737,4.09270816910028
"ABCA8",41.403634,26.861255,35.063602,34.4428303333333,1731,991,983,"Abca8b",3.153485,3.895227,4.491881,163,747,478,3.84686433333333,7.3125278315678
"ABCA9",1.381284,1.137468,5.074584,2.531112,58,43,31,"Abca9",1.270159,1.202612,1.247372,56,199,117,1.24004766666667,1.57635574123944
"ABCB1",0.30007,0.314046,0.298593,0.304236333333333,3,1,5,"Abcb1b",2.13694,1.316029,0.596432,14,59,33,1.34980033333333,0.55504134322902
"ABCB1",0.30007,0.314046,0.298593,0.304236333333333,3,1,5,"Abcb1a",27.54529,43.96477,12.947455,267,1104,708,28.152505,0.0447383966946694
"ABCB10",4.896031,7.84716,8.051324,6.931505,306,313,320,"Abcb10",6.396777,7.750892,7.766959,180,805,458,7.304876,0.955041953666737
"ABCB11",1.175122,1.322998,0.805546,1.101222,11,4,8,"Abcb11",0,0,0,0,0,0,0,2.101222
"ABCB4",2.033786,0.852535,0.451585,1.11263533333333,44,12,10,"Abcb4",0.981707,0.995733,1.250511,17,64,51,1.07598366666667,1.01765508431264
"ABCB5",0.028091,0.34729,0.350931,0.242104,3,10,12,"Abcb5",0,0.027506,0,0,1,0,0.00916866666666667,1.23081903058161
"ABCB6",54.080406,38.532465,32.137188,41.583353,870,459,384,"Abcb6",10.008954,6.259513,8.472193,70,339,192,8.24688666666666,4.60515571727565
