"Hs_symbol","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","FoldChange"
"ABCA7",22.668326,32.522392,34.714621,29.9684463333333,715,882,818,"Abca7",2.326388,0.985227,1.206147,237,188,232,1.50592066666667,12.3581112304433
"ABCA8",41.403634,26.861255,35.063602,34.4428303333333,1731,991,983,"Abca8b",2.621557,1.038747,0.94953,304,198,190,1.53661133333333,13.9725112269203
"ABCA9",1.381284,1.137468,5.074584,2.531112,58,43,31,"Abca9",2.00727,0.817394,0.714638,198,138,123,1.17976733333333,1.61994904043276
"ABCB1",0.30007,0.314046,0.298593,0.304236333333333,3,1,5,"Abcb1b",2.4332,1.327262,2.14074,30,60,49,1.96706733333333,0.439570857958285
"ABCB1",0.30007,0.314046,0.298593,0.304236333333333,3,1,5,"Abcb1a",99.75214,6.975101,6.917955,673,568,486,37.881732,0.0335436789012725
"ABCB10",4.896031,7.84716,8.051324,6.931505,306,313,320,"Abcb10",6.080809,6.701589,6.717685,367,738,755,6.50002766666667,1.05753009888897
"ABCB11",1.175122,1.322998,0.805546,1.101222,11,4,8,"Abcb11",0.013403,0.0077,0.13836,1,1,1,0.0531543333333333,1.99517006529274
"ABCB4",2.033786,0.852535,0.451585,1.11263533333333,44,12,10,"Abcb4",1.083928,0.701036,1.304195,65,75,81,1.02971966666667,1.04085079729401
"ABCB5",0.028091,0.34729,0.350931,0.242104,3,10,12,"Abcb5",0,0,0,0,0,0,0,1.242104
"ABCB6",54.080406,38.532465,32.137188,41.583353,870,459,384,"Abcb6",9.396261,8.069201,9.543446,170,375,348,9.00296933333333,4.25707123364835
"ABCB7",11.18593,7.852267,6.075745,8.371314,297,164,171,"Abcb7",9.304969,6.351937,6.056985,796,927,836,7.23796366666667,1.13757651516712
"ABCB8",18.529731,23.651367,21.054635,21.0785776666667,617,605,535,"Abcb8",21.123623,23.448565,21.308368,425,891,876,21.9601853333333,0.961602763485242
"ABCB9",15.865448,14.222772,16.455124,15.514448,442,382,371,"Abcb9",13.886122,10.841195,11.737911,471,761,775,12.155076,1.25536697773544
"ABCC1",5.953924,4.982028,4.693158,5.20970333333333,660,375,308,"Abcc1",10.519469,1.171945,2.39971,274,180,219,4.69704133333333,1.08998741100936
"ABCC10",35.009112,58.850277,42.406563,45.421984,641,664,643,"Abcc10",1.597096,1.12677,1.004533,82,102,115,1.24279966666667,20.6982302922285
"ABCC12",0,0.024085,0,0.00802833333333333,0,1,0,"Abcc12",0.053002,0.104746,0.147696,3,8,12,0.101814666666667,0.914880118979478
"ABCC2",0.146712,0.308158,0.143396,0.199422,16,10,4,"Abcc2",0,0.004608,0.018311,0,1,4,0.00763966666666667,1.1903282886508
"ABCC3",0.822929,0,0.384356,0.402428333333333,11,0,3,"Abcc3",1.461523,0.214629,0.317509,29,21,26,0.664553666666667,0.842525153389467
"ABCC4",3.767094,1.945293,3.623133,3.11184,163,129,110,"Abcc4",2.782009,1.147171,1.115621,203,176,168,1.68160033333333,1.53335303135528
"ABCC5",24.407761,29.952643,29.4664,27.942268,1378,1518,1344,"Abcc5",86.190976,31.297927,40.065383,1665,1327,1402,52.5180953333333,0.540794058901673
"ABCC6",0.709936,0.292227,1.18336,0.728507666666667,40,15,21,"Abcc6",0.373831,0.133197,0.189503,12,15,27,0.232177,1.40280792992132
"ABCC8",14.908165,22.713792,23.804669,20.475542,270,363,349,"Abcc8",9.077188,3.798732,7.06148,338,209,235,6.6458,2.80880247979283
"ABCC9",1.933667,0.299867,0.41351,0.882348,229,35,44,"Abcc9",2.051365,0.582775,0.654602,234,116,131,1.09624733333333,0.897960832230039
"ABCD1",7.188261,4.56707,5.591021,5.78211733333333,256,128,147,"Abcd1",2.686316,1.6366,1.846768,138,162,188,2.05656133333333,2.21887166449793
"ABCD2",0.823714,0.905926,0.985813,0.905151,90,77,76,"Abcd2",17.561996,16.181786,14.615399,695,907,808,16.119727,0.111283959142573
"ABCD3",22.412866,15.820691,18.169306,18.8009543333333,1142,727,822,"Abcd3",22.337243,19.371378,19.426874,1135,1664,1589,20.3784983333333,0.926208848937706
"ABCD4",63.780985,46.864754,55.905635,55.5171246666667,1013,556,577,"Abcd4",4.359746,3.381328,3.474536,149,205,205,3.73853666666667,11.9271261662356
"ABCE1",47.892143,47.474433,56.270122,50.545566,1284,1130,1197,"Abce1",23.623258,18.664945,16.190277,1327,1826,1551,19.4928266666667,2.51529800346398
"ABCF1",48.558347,63.90383,48.560484,53.6742203333333,990,770,800,"Abcf1",42.586641,27.88631,16.795441,940,1220,942,29.089464,1.81705530990294
"ABCF2",15.544121,48.430262,33.217097,32.39716,485,502,554,"Abcf2",31.257595,33.14353,31.918211,1170,2228,2179,32.1064453333333,1.0087812105389
"ABCF3",38.478334,54.941591,52.139742,48.519889,684,676,609,"Abcf3",187.359797,215.552443,216.367976,715,1524,1442,206.426738666667,0.238734356613388
"ABCG1",9.640229,12.006134,8.714856,10.1204063333333,505,488,311,"Abcg1",17.44561,15.173097,13.007637,975,1194,1038,15.2087813333333,0.686072944328284
"ABCG2",0.524925,0.589011,0.449804,0.521246666666667,43,28,26,"Abcg3",0,0.136891,0.059757,0,10,4,0.0655493333333333,1.42766422827912
"ABCG4",9.828186,11.963485,13.918554,11.9034083333333,504,512,438,"Abcg4",18.541567,8.825353,11.627465,718,762,801,12.9981283333333,0.921795259056657
"ABCG5",0.143393,0,0.032884,0.058759,8,0,1,"Abcg5",0,0.081567,0.025253,0,3,1,0.0356066666666667,1.02235630001094
"ABCG8",0.175022,0.165036,0.187492,0.17585,13,11,10,"Abcg8",0,0,0.031248,0,0,2,0.010416,1.16372860287248
"ABHD1",0.980869,0.239741,0.305691,0.508767,35,9,12,"Abhd1",0.646129,1.838952,1.144674,11,59,36,1.20991833333333,0.682725228911174
"ABHD10",21.945498,27.924148,27.804594,25.8914133333333,652,596,653,"Abhd10",7.407598,8.355175,8.138571,216,388,372,7.96711466666667,2.99889254603785
"ABHD11",9.519305,7.909704,9.968295,9.13243466666667,144,94,107,"Abhd11",14.510702,19.169353,18.676671,173,436,448,17.452242,0.549116723413158
"ABHD12",61.002748,58.3518,58.606077,59.3202083333333,751,570,568,"Abhd12",251.752332,303.428597,281.089441,2928,6286,6265,278.75679,0.215616601596456
"ABHD12B",1.215684,4.568525,10.647778,5.477329,18,72,72,"Abhd12b",1.853474,0.478275,0.82166,43,30,41,1.05113633333333,3.15792221839959
"ABHD13",3.390322,2.495253,3.321503,3.069026,307,176,213,"Abhd13",8.435331,5.711411,5.393523,646,763,711,6.51342166666667,0.541567634630737
"ABHD14A",15.051411,20.447943,23.789903,19.7630856666667,233,218,216,"Abhd14a",12.401468,16.017875,14.871911,157,419,397,14.430418,1.34559450474165
"ABHD14B",7.978791,5.158438,4.171231,5.76948666666667,200,107,84,"Abhd14b",9.543977,7.060984,8.598408,140,239,266,8.401123,0.720072130389813
"ABHD15",1.666242,0.980568,1.679204,1.44200466666667,104,46,69,"Abhd15",0.356555,0.447731,0.224641,13,31,16,0.342975666666667,1.81835362119989
"ABHD16A",38.772235,39.606803,45.286219,41.2217523333333,679,661,613,"Abhd16a",41.183855,61.475216,60.134246,564,1496,1639,54.264439,0.763994950411662
"ABHD16B",0,0,0,0,0,0,0,"Abhd16b",0.040812,0,0,1,0,0,0.013604,0.986578584930604
"ABHD17A",19.891946,16.379027,21.502911,19.2579613333333,759,552,573,"Abhd17a",58.483824,79.896002,84.757266,762,2077,2222,74.3790306666667,0.268747968157298
"ABHD17B",8.626714,9.022235,10.593376,9.41410833333333,391,316,341,"Abhd17b",13.462328,12.425725,11.081772,411,633,517,12.323275,0.781647780544448
"ABHD17C",13.219325,17.660275,23.594158,18.1579193333333,422,387,432,"Abhd17c",13.103004,9.007656,13.856976,380,472,433,11.989212,1.47491005099719
"ABHD18",5.486353,3.54464,4.951791,4.660928,236,155,188,"Abhd18",3.492566,4.65432,2.618732,161,244,203,3.58853933333333,1.23371024824312
"ABHD2",36.149134,28.486848,25.146828,29.9276033333333,3943,2908,2699,"Abhd2",19.626201,7.092046,7.529354,2086,1334,1439,11.415867,2.49097411669546
"ABHD3",9.642693,6.919606,4.384585,6.98229466666667,104,59,62,"Abhd3",38.388158,39.33974,44.624386,668,1261,1382,40.7840946666667,0.19103667867751
"ABHD4",39.666519,10.931269,10.1797,20.2591626666667,306,154,175,"Abhd4",30.102026,40.118908,40.409999,828,1966,2027,36.8769776666667,0.561268717207488
"ABHD5",7.984091,8.165592,14.175874,10.108519,242,266,255,"Abhd5",15.396005,16.375689,21.571022,243,450,555,17.7809053333333,0.591479420338913
"ABHD6",8.283415,13.65003,12.504431,11.479292,185,149,202,"Abhd6",20.131196,19.454461,16.882188,613,1035,897,18.822615,0.629548220555159
"ABHD8",6.351783,4.187949,6.20397,5.581234,187,106,136,"Abhd8",73.165664,99.876587,96.017002,1879,5091,5065,89.6864176666667,0.0725713306284789
"ABI1",15.274284,15.178726,16.016221,15.4897436666667,630,503,508,"Abi1",83.535127,72.202167,67.21898,1473,2226,1830,74.318758,0.218932761300534
"ABI2",55.693149,35.541915,32.008028,41.0810306666667,3195,2224,2142,"Abi2",73.550072,33.93638,32.706777,2945,2764,2269,46.7310763333333,0.881627524441117
"ABI3",0.080843,0.106816,0.123214,0.103624333333333,1,1,1,"Abi3",2.741241,3.098633,2.942035,27,77,59,2.927303,0.28101328910281
"ABI3BP",15.784185,1.403237,1.486131,6.22451766666667,97,18,19,"Abi3bp",1.005749,0.614508,0.331046,67,69,42,0.650434333333333,4.37734329730982
"ABITRAM",15.771021,15.579426,12.779188,14.7098783333333,218,171,188,"Abitram",7.343123,3.117896,3.047484,317,313,275,4.50283433333333,2.85487030532084
"ABL1",25.90656,19.930765,26.375471,24.070932,2130,1113,1157,"Abl1",16.493449,7.635737,7.237194,757,701,772,10.45546,2.1885574215265
"ABL2",6.897981,5.749299,4.319143,5.65547433333333,1188,807,647,"Abl2",9.166805,2.613638,2.099504,1313,592,529,4.626649,1.18284867837559
"ABLIM1",40.278722,80.432426,57.957359,59.556169,4547,5302,4617,"Ablim1",19.521036,10.009919,8.622963,1779,1479,1369,12.7179726666667,4.41436722987104
"ABLIM2",8.029056,12.377298,11.75464,10.7203313333333,245,279,223,"Ablim2",97.913663,59.151526,46.287557,1212,1466,1295,67.7842486666667,0.170392663444372
"ABLIM3",55.789335,56.612711,66.861423,59.7544896666667,2333,2247,2011,"Ablim3",4.516867,3.560203,3.140058,289,412,368,3.73904266666667,12.8199921249918
"ABO",0.183863,0.173732,0.075984,0.144526333333333,22,16,6,"Abo",0,0,0,0,0,0,0,1.14452633333333
"ABR",197.043613,257.031715,274.908047,242.994458333333,1875,1447,1461,"Abr",121.644538,73.850699,64.046723,7113,7103,6497,86.5139866666667,2.78806243009689
"ABRA",0.063103,0.063272,0,0.042125,3,2,0,"Abra",0.023622,0.027351,0.115394,1,2,8,0.0554556666666667,0.987369752148124
"ABRACL",11.912176,11.774747,14.945013,12.877312,113,90,104,"Abracl",33.217061,37.836813,39.468236,67,98,101,36.8407033333333,0.366729758634684
"ABRAXAS1",7.491499,5.007126,3.562498,5.35370766666667,275,121,99,"Abraxas1",2.097837,2.986823,1.808422,42,70,66,2.297694,1.92671232281305
"ABRAXAS2",7.8423,8.782454,8.707067,8.44394033333333,412,353,319,"Abraxas2",15.079319,12.887985,9.021063,380,628,479,12.3294556666667,0.708501574970541
"ABT1",4.02236,4.495368,5.868998,4.79557533333333,215,183,215,"Abt1",2.396752,2.64066,2.619396,162,315,315,2.55226933333333,1.63151348884206
"ABTB1",8.227788,5.243431,7.957303,7.14284066666667,219,121,132,"Abtb1",21.831981,27.654929,23.552319,275,528,482,24.3464096666667,0.321262094858958
"ABTB2",3.451672,3.840048,4.832426,4.041382,318,267,292,"Abtb2",3.117546,2.432269,2.363293,188,299,300,2.63770266666667,1.38586972657102
"ACAA1",37.51069,45.687812,49.761725,44.3200756666667,672,620,569,"Acaa1a",32.745647,29.059165,34.358911,520,1066,1037,32.0545743333333,1.37106819799414
"ACAA1",37.51069,45.687812,49.761725,44.3200756666667,672,620,569,"Acaa1b",0.135692,0.223053,0.257686,3,9,11,0.205477,37.5951392408703
"ACAA2",24.508458,12.44024,15.340642,17.42978,617,249,284,"Acaa2",16.998977,25.66273,27.282412,209,607,599,23.3147063333333,0.757968438826439
