"Hs_symbol","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg__TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","FoldChange"
"ABCA13",0.018797,0.084847,0.059631,0.054425,1,8,6,0.064986,0.353211,0.084842,0.167679666666667,4,8,5,0.903008787512785
"ABCA17P",4.66571,1.657589,2.029971,2.78442333333333,35,13,40,1.321805,0.403783,0.722064,0.815884,13,4,7,2.08406667679947
"ABCA2",86.10463,86.558699,80.710993,84.4581073333333,2072,2678,2585,50.768809,33.180849,36.909447,40.2863683333333,1020,646,751,2.06988676367393
"ABCA3",55.59978,54.652489,44.714698,51.6556556666667,4782,6902,6185,21.599438,17.726576,24.450837,21.2589503333333,1930,1121,1708,2.36559473282141
"ABCA4",0.709647,0.545438,0.159905,0.471663333333333,39,1,1,1.22204,0.556301,1.285668,1.02133633333333,23,10,13,0.728064552674642
"ABCA5",10.668791,9.107596,7.662206,9.14619766666667,513,604,633,6.679427,7.075997,6.759744,6.83838933333333,323,230,276,1.29442379488847
"ABCA6",0.332708,0.201177,0.26943,0.267771666666667,9,14,15,1.179883,0.523131,0.304506,0.669173333333333,17,18,12,0.759520680895932
"ABCA7",42.45405,52.111696,39.796489,44.7874116666667,1395,2369,1835,24.152072,12.964013,24.639795,20.5852933333333,710,377,537,2.12123184798045
"ABCA8",0.244206,0.413915,0.141469,0.26653,6,7,6,8.680828,3.745783,8.184944,6.87051833333333,258,141,202,0.160920786453921
"ABCA9",4.035468,0.682386,0.739211,1.81902166666667,21,27,35,2.080644,1.631188,5.048676,2.92016933333333,56,70,42,0.719107116801417
"ABCA9.AS1",0,0,0,0,0,0,0,0,0.188498,0,0.0628326666666667,0,1,0,0.940881882315749
"ABCB1",2.608253,0.395444,0.72192,1.24187233333333,71,28,37,0.242278,0.606745,0.127132,0.325385,1,5,2,1.69148763063814
"ABCB10",4.784184,6.526598,5.638334,5.64970533333333,213,397,298,4.487977,5.694735,6.12157,5.43476066666667,229,188,232,1.03340367696659
"ABCB10P3",0.002934,0,0,0.000978,0,0,0,0,0,0,0,0,0,0,1.000978
"ABCB10P4",0.064339,0.102838,0.076226,0.0811343333333333,2,4,4,0.036736,0,0,0.0122453333333333,1,0,0,1.06805563605134
"ABCB11",1.713152,2.345963,2.257067,2.105394,8,17,14,1.580405,3.39585,0.543683,1.83997933333333,8,15,6,1.09345654862747
"ABCB4",2.613821,0.236469,0.112046,0.987445333333333,20,11,9,0.391427,0.466284,0.700631,0.519447333333333,11,23,7,1.30800541073926
"ABCB5",0.031732,0.170177,0.033162,0.078357,3,5,1,0.218901,0.076822,0,0.0985743333333333,4,2,0,0.981596754338881
"ABCB6",39.80428,30.533985,38.474452,36.2709056666667,602,671,937,17.599676,11.88309,16.193697,15.2254876666667,250,162,216,2.2970591967621
"ABCB7",6.507055,5.040312,4.209266,5.252211,171,274,200,5.349743,5.631146,5.087587,5.35615866666667,135,114,121,0.983646149802428
"ABCB8",21.51191,19.464312,14.629305,18.5351756666667,551,761,665,25.451568,21.496367,20.678115,22.5420166666667,717,431,556,0.829800434825394
"ABCB9",13.522164,13.523465,13.352624,13.4660843333333,392,512,531,20.038858,11.346602,23.406662,18.2640406666667,473,230,418,0.750937177908089
