"Hs_symbol","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Hs_Avg_TPM","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Hs_Avg__TPM","FoldChange"
"PMP2",0.018038,0.026537,0.015265,1,2,1,0,0.098904,0.067291,0.01734,5,4,1,0,1
"PMP22",27.702434,4.735167,6.411845,624,145,214,0,22.408922,21.433059,19.328818,647,632,578,0,1
"PMPCA",35.561494,42.561862,32.545158,569,825,773,0,21.722754,17.215636,11.539488,711,581,485,0,1
"PMPCB",24.987769,24.493839,22.675362,571,870,807,23.0372643333333,34.308171,29.67478,22.184164,922,861,617,2.90187533333333,6.16043883513791
"PMS1",25.38576,21.262062,20.272301,311,485,398,0,8.083371,10.171408,9.584052,142,165,113,0,1
"PMS2",9.677,9.021455,7.798457,674,902,883,0,3.35651,2.275899,1.794643,275,208,180,0,1
"PMS2CL",9.521865,7.935949,10.153762,281,377,414,9.670207,3.195878,2.811905,3.550301,133,108,123,0,10.670207
"PMS2P3",7.837479,27.489151,24.20692,67,76,107,0,4.468344,12.940291,5.343944,65,40,31,0,1
"PMS2P4",7.589232,7.634115,6.191476,46,70,61,0,2.513942,1.703719,1.646623,25,17,12,0,1
"PMVK",21.243094,16.378098,17.150871,280,297,327,0,22.679696,21.476278,19.298022,406,365,322,0,1
"PNCK",118.778058,119.917757,142.076865,663,984,1025,3.54535,22.151588,17.869526,18.805987,185,130,133,0,4.54535
"PNISR",63.211965,54.827203,30.839366,1676,1973,1664,0,57.850071,55.42922,42.842406,2000,1430,1132,2.90187533333333,0.256287019592117
"PNKD",47.368372,43.713093,32.410048,446,589,626,0,54.319006,59.587471,44.537458,873,787,649,0,1
"PNKP",56.745392,72.88099,129.884342,256,380,363,0,52.912966,90.434996,48.341733,381,341,257,0,1
"PNLDC1",0.037091,0.054633,0.025648,1,2,1,0,0,0.200499,0,0,2,0,0,1
"PNLIP",0.235921,0.243742,0.195872,5,7,6,0,0,0,0,0,0,0,0,1
"PNLIPRP1",0.305958,0.399941,0.627091,4,4,4,0,0,0.399663,0,0,2,0,0,1
"PNLIPRP2",0.160463,0.073844,0.330347,2,2,4,0,0,0,0,0,0,0,0,1
"PNLIPRP3",0.027436,0.080885,0.095817,1,4,5,0,0,0,0,0,0,0,0,1
"PNMA1",73.502207,80.223584,67.960757,2828,4231,3976,0,11.139732,9.832924,8.519951,589,490,427,0,1
"PNMA2",57.036773,55.181635,39.277604,3608,4935,4055,0,0.172023,0.332375,0.072102,6,13,7,0,1
"PNMA3",18.873531,22.210966,14.613843,834,1436,1115,18.588517,0.596619,0.348449,0.379936,45,25,29,0,19.588517
"PNMA5",0.748387,0.116042,0.164667,39,8,12,0,0,0,0,0,0,0,11.0140473333333,0.0832358964680845
"PNMA6A",9.997594,10.883969,8.834866,329,500,450,16.5469136666667,0.42773,0.401954,0.285047,21,18,13,0,17.5469136666667
"PNMA6E",0,0,0.012594,0,0,1,0,0.034261,0,0.018449,2,0,1,0,1
"PNMA6F",3.936779,1.308146,1.687514,207,95,131,0,0,0,0,0,0,0,0,1
"PNMA8A",37.956302,36.737226,30.971202,2233,2929,2631,0,5.616249,4.650528,4.000092,441,339,293,0,1
"PNMA8B",7.445518,3.865867,3.537504,499,386,396,0,0.185834,0.133418,0.261836,20,13,26,0,1
"PNMT",3.125124,4.855449,4.862368,33,66,82,0,3.85628,3.325633,2.730909,53,46,37,0,1
"PNN",34.159047,43.808603,23.109177,1259,1729,1365,3.33135666666667,22.604247,18.771835,14.702055,1353,1176,957,0,4.33135666666667
"PNO1",9.426973,13.025728,11.792665,199,353,337,0,7.772934,6.891163,5.726938,173,169,157,0,1
"PNOC",0.563813,0,0,5,0,0,0,0,0.057597,0,0,1,0,0,1
"PNP",23.014486,13.842643,16.410262,430,333,452,0,9.664514,7.938224,8.512921,261,217,213,0,1
"PNPLA1",0.037274,0.040712,0.076652,1,2,4,0,0,0.042926,0.021692,0,2,1,0,1
"PNPLA2",10.567328,8.433584,14.168546,187,193,266,0,39.572542,39.340656,38.977751,941,787,743,0,1
"PNPLA3",6.279043,7.53542,6.847964,195,207,254,0,0.737273,0.089707,0,7,5,0,0,1
"PNPLA4",4.773395,3.837296,3.880284,118,140,132,0,13.291709,11.924192,13.088957,255,225,223,0,1
"PNPLA5",0.088859,0.633926,0.623934,3,15,33,46.0953443333333,0.042086,0.044823,0,2,2,0,14.5093773333333,3.03657221828721
"PNPLA6",76.907173,76.193411,63.925189,1211,1602,1562,0,9.581885,9.060693,5.713293,189,155,119,0,1
"PNPLA7",2.56177,2.724547,2.061172,147,225,179,0,1.236362,0.88819,0.653439,109,71,50,0,1
"PNPLA8",37.885449,38.865784,30.293636,1216,1747,1628,0,12.351456,7.922999,8.947421,363,329,283,0,1
"PNPO",34.127121,21.100637,19.951022,581,668,781,5.330171,8.302851,3.500349,4.701996,257,171,190,0,6.330171
"PNPT1",23.526928,61.066539,30.448518,386,636,521,0,36.299088,10.006298,4.034917,264,209,150,0,1
"PNRC1",7.15849,4.235748,5.025177,118,110,152,0,32.399951,40.233342,33.313986,639,765,646,0,1
"PNRC2",240.373713,158.021315,119.928845,404,459,404,0,217.64066,96.669219,110.567805,330,372,272,0,1
"POC1A",1.427831,1.083194,0.95314,42,43,41,0,3.990201,3.596852,2.931187,156,136,110,0,1
"POC1B",10.915985,4.576138,6.218543,161,175,231,0,5.116668,2.621015,2.876235,89,83,59,0,1
"POC1B.GALNT4",0.306536,0.281199,0.061915,27,30,8,0,0.266633,0.111539,0.010898,19,9,0,0,1
"POC5",12.807946,21.145976,13.556492,129,254,216,0,5.253145,4.2995,1.154254,67,70,38,0,1
"PODN",0.851728,0.401083,0.468187,37,21,27,0,0.745297,0.904356,0.575186,43,39,16,0,1
"PODNL1",7.757833,4.61904,5.022185,96,73,122,13.0015636666667,0.610051,0.352303,0.187491,7,3,3,0,14.0015636666667
"PODXL",6.173031,7.458778,5.109471,411,638,435,10.2080636666667,4.295753,2.309916,1.883075,369,291,190,0,11.2080636666667
"PODXL2",80.72305,88.149028,87.102875,2520,3809,4213,53.937941,1.679761,1.579886,1.862312,77,66,79,18.567399,2.80762614387329
